Entry_ID	Assessment	Supporting_observation	Limit_or_counterevidence
d1861	apical comparison	Tamil kuṟṟu supplies an alveolar apical beside Telugu gruccu.	The PSTDr reconstruction gru-cc- projects a Telugu-shaped cluster deeper than the presented comparison warrants; TVB used an older grouping.
d1898	quantity unresolved	Tamil/Kannada kūr supplies an apical beside Telugu krūru.	Length already occurs in cognates; an invented short-root high-vowel formative is not independent evidence.
d1923	input unresolved	Tamil kūṟu-koḷ offers an apical comparison with Telugu krukku.	Kannada kuluku differs in apical identity and vowel sequence; root quantity and medial loss remain unresolved.
d1964	input unresolved	Tamil cerumu/ceṟumu offers rhotic material for Telugu krēṭu.	Kannada kemmu and differing formative ṭ prevent a simple string-reversal analysis; root reconstruction requires care.
d2008	quantity unresolved	Kui kēri corresponds to Telugu krēva/krē.	The long vowel is already present outside Telugu, and v/r morphology requires analysis.
d2010	quantity unresolved	Gondi kīrī and Kui grēspa support rhotic comparanda for Telugu krēḍincu.	Already-long vowels and divergent suffixes do not securely reconstruct a contraction input.
d2090	input unresolved	Telugu krottaḷamu has an initial cluster.	Tamil/Kannada/Tulu kottaḷam-type forms lack corresponding r; similarity to krotta new cannot prove historical connection.
d2146	apical comparison	Kannada korvu/korbu/kobbu supports a consonantal formation corresponding to Telugu krovvu.	Kui krōga reflects a different vowel-retention history; root o plus high u need not contract in Telugu.
d2149	apical comparison	Tamil koẓu- and regional koṛ- support the apical behind krotta.	Tamil koẓuntu and Telugu krotta have different nt/tt formations; deriving one modern word directly from the other is unjustified.
d2176	quantity unresolved	Tamil kōr supplies rhotic material beside Telugu krōva.	The comparison also includes vowel-final kō; an additional r and short preform are not established by the Telugu shape alone.
d2233	quantity unresolved	Malayalam kōruka and Kannada koḷḷu offer an apical comparison with Telugu krōlu.	Apical identity, existing length and derivative l require further evidence.
d2247	input unresolved	Telugu krōvi/grōvi is clustered.	Tamil/Kannada kōvai/kōve do not supply corresponding r; plant-name diffusion and secondary r remain alternatives.
d2356	apical comparison	Tamil caraṭu supports the ordering behind Telugu trāḍu.	Initial c/s to t and intervocalic retroflex voicing are separate changes.
d2359	apical comparison	Konda saras/sarasu and Kui srāsu support Telugu trācu and Kuvi rācu.	Initial s/tr/r correspondences, nasal variants and suffix identity need separate stages.
d2360	apical comparison	Kannada sari/jari and Tulu sarki- support a rhotic source for Telugu sraggu.	Voicing, the geminate and possible early Kannada borrowing cannot be inferred from metathesis alone.
d2687	apical comparison	Tamil curuŋku and Kannada surku/sukku support Telugu srukku.	The root's initial palatal history and derivational ŋk/k alternation precede or accompany the cluster developments.
d3095	apical comparison	Telugu tari/tarcu/tarucu/traccu and Parji terip-/terit- independently support the apical and the earlier order.	The different c/p formatives and Telugu gemination still need separate treatment; a protoform is not an independent vote.
d3115	apical comparison	Gondi tarmī/taṛmi and Tamil taẓal support an apical in Telugu trampi.	The m/p formation differs from Kui dlāva; no single full-word ancestor follows from root membership.
d3122	apical comparison	Gondi taṛ-, Konda tāṛ/ṟeb and Kuvi taṛj/tṛaj support displacement behind Telugu travvu.	Suffixal v/b/j correspondence and quantity vary; some regional forms may have separate contact histories.
d3174	input unresolved	Parji tār, in the full group, is a possible unmetathesized comparison with Telugu trāgu.	Its loan status and the exact tar-agu formative require checking; root length cannot be inferred solely from contracted Telugu.
d3192	quantity unresolved	Kannada tāṟ and Tulu taruṇṭu provide an apical comparison with Telugu trāḍuvaḍu.	Root-quantity alternants and the Telugu derivative are not fixed by those comparisons.
d3246	apical comparison	Tamil tiri, Kannada tirigu and Telugu tirugu/trippu expose different derivatives of an r-root.	Unchanged tirugu does not refute displacement in trippu; exact pp formation and its chronology must be retained.
d3305	alternative comparison	Telugu truŋgu/truncu is assigned here by meaning.	Tamil tuṇi lacks the required rhotic; d3339 is an explicit alternative with r. Do not count both as regular proofs.
d3339	alternative comparison	Tamil tura and Kannada turi provide the r absent in the alternative d3305.	Semantic fit and derivative ŋg/nc remain questions; this is the same disputed Telugu evidence.
d3340	apical comparison	Tamil tura supports the root behind Telugu trōcu/trōyu and drobbu.	The long and short formations differ; voiced-geminate drobbu may involve Kannada contact, unlike an automatic treatment of all derivatives.
d3343	apical comparison	Tamil turu supports Telugu truppu/trukku.	Different pp/kk formatives and strengthening are not explained by moving r alone.
d3364	secondary rhotic proposal	Comparative tuḷḷu lacks r; TVB p. 131 n. 80 explicitly proposes secondary r in Telugu truḷḷu.	Literary hyperstandardization is a proposed mechanism, not a directly witnessed act; do not generalize to every difficult cluster.
d3393	input unresolved	Kannada tuppuẓ and Gondi tōṛ contain apical material beside Telugu truppuḍu.	The apical's later position and differing suffixes make this more complex than immediate VR transposition.
d3411	input unresolved	Telugu treḍḍu has an initial cluster beside teḍḍu.	The wider ṭaḍ/teḍ comparison does not itself supply r; secondary formation is possible but unproved.
d3437	apical comparison	Tamil teṟi and Kannada tiṟi support Telugu tregu/trevvu/trencu.	Different derivatives have singleton, geminate and nasal-stop outcomes; the root alone does not determine quantity.
d3451	input unresolved	Gondi dēr and Kuvi dreb- offer rhotic evidence beside Telugu trēncu.	Tamil/Kannada tēk/tēg lack that rhotic; inherited length, expressive formations and semantic relation need attention.
d3522	apical comparison	Kannada tuẓi and Kuvi tuṛb support Telugu trokku.	Root-vowel lowering, consonantal formative and gemination need distinct stages.
d3821	alternative comparison	Kannada pasir has an apical in the broader green/fresh group.	Telugu prāñci is also compared with foulness d4057; the apical's position and morphology remain unresolved.
d3949	apical comparison	Tamil para, Kannada paraḍu and Tulu parapuni support Telugu prāku.	Final k and nasalized historical variants require the proper formative; root-level similarity does not supply it automatically.
d3962	apical comparison	Tamil pari and Tulu partɛ support a consonantal formation for Telugu bradda.	Initial p/b, suffix voicing and gemination may include contact; not all regional forms have undergone displacement.
d3972	apical comparison	Tamil paru and Kannada bardu/hariba support a rhotic formation beside Telugu prabbu.	Root length, medial d/b and the proposed early-loan class require independent evidence.
d3976	apical comparison	Tamil parutti and Kannada/Tulu/Gondi parti supply the sequence behind Telugu pratti.	The inherited tt and secondary high-vowel loss must be distinguished; crop vocabulary can diffuse.
d3982	apical comparison	Tamil parukkai, Gondi paṛek and Konda perku support Telugu prālu and Kui prāu.	The a/e root alternation and differing final k/l prevent one unquestioned full-word derivation.
d3999	apical comparison	Tamil/Kannada paẓa and Gondi paṛana support Telugu prānta.	Nasal loss/retention is later; Konda pāta cloth is explicitly a Telugu loan and cannot count as independent inheritance.
d4002	apical comparison	Tamil/Kannada paẓi supports Telugu prayi/prabbu.	The y and bb formations are different derivatives; their quantity is not a free choice by metathesis.
d4005	apical comparison	Kannada paẓke and Konda paṛka supply consonantal inputs; Kuvi paṛka/pṛaka is an internal contrast.	Tamil paẓu identifies the root, not the exact suffix; Telugu gemination needs explicit treatment.
d4057	alternative comparison	Telugu prāñci has a plausible stale/mouldy semantic field.	Konda pās lacks the rhotic; the possible link to d3821 remains unresolved, not two successful applications.
d4175	apical comparison	Tamil pirampu supports r and a low second vowel beside Telugu prēmu.	Telugu prabba and Kannada prabbali also show clusters; contact and divergent suffixal strengthening complicate independence.
d4176	apical comparison	Tamil piri and Kuvi/ Kui pri- support Telugu pridulu.	The longer Telugu derivative does not fit an undifferentiated monosyllabic output template; inspect morphology.
d4193	input unresolved	Gondi pīr and Central Dravidian forms in the full group support an apical relation to Telugu prēgu.	Root vowel, final g/l formations and a fitting low second vowel are not independently established here.
d4194	competing apical inputs	Current DEDR has Tamil piḷ/piḷa and regional pl-/pṛ- forms; K61 p. 445 instead proposes pir-al > per-al > Telugu prēlu, linked to Tamil piri separate.	The r-root derivative would fit the narrow rule, but its cognacy competes with the lateral comparison. Gondi/Konda rhotics can also reflect ḷ; their spelling alone does not decide the input.
d4283	apical comparison	Tamil pura and Kannada pore support Telugu prōcu/prōdi.	Telugu prāpu has different vowel history; it cannot be mechanically generated by the same o-a contraction.
d4312	apical comparison	Tamil puẓu, Konda piṛvu and Kui piṛu/pṛiu/pṛīu support Telugu pruvvu.	Identical high vowels can yield short Telugu outcomes; later Kui plural contraction is not proof of an ancestral Telugu hiatus stage.
d4430	quantity unresolved	Kannada pēẓ supplies apical evidence for Telugu prēlu prattle.	Long vowels are already present; distinguish this group from prēlu burst d4194 rather than using homophony as proof.
d4537	apical comparison	Tamil pori and regional por-/pro- support Telugu proyyi.	The y formative and gemination require separate analysis; root-level reconstruction does not decide the precise lost vowel.
d4545	input unresolved	Gondi porskeng offers a rhotic comparison with Telugu prōṅgu.	Sparse evidence and divergent s/k/ŋ derivatives leave the full history underdetermined.
d4555	apical comparison	Kannada poẓal and archaic Telugu pẓōlu support both ordering and identity of the displaced apical.	The city term's contact history is separate from its clear correspondence pattern.
d4559	apical comparison	Tamil poẓutu and Kannada poẓtu/portu/pottu support Telugu proddu.	The head ap-pōẓ is a compound, not the ancestor of the entire time/day root group; voiced-stop history is separate.
d4591	quantity unresolved	Tamil pōr and Kannada poraḷi support an apical in Telugu prōgu.	Preexisting long vowels and alternative derivatives weaken inference of a unique contraction input.
d4599	quantity unresolved	Tamil/Kannada pōẓ supplies the apical behind Telugu prōṅgu/prōñju.	The long root variant and nasal formations require analysis; metathesis alone does not predict all quantity.
d4608	input unresolved	Telugu prāmu has the expected surface shape.	No independent unmetathesized form occurs in this DEDR set; TVB's param-p type reconstruction must not count as its own evidence.
d4680	input unresolved	Gondi maṛg and Kui mṛahpa provide regional apical evidence.	Tamil maṇṭu has a nasal-stop formation; nasal versus apical identity and the derivative require further comparison.
d4710	apical comparison	Tulu maramara drowsy supplies r beside Telugu mrālu/mrāṅgu droop.	An expressive repeated formation and sparse distribution leave the precise derivative and transmission uncertain.
d4711	apical comparison	Konda maran : mrānu and widespread final n support tree; Tamil also has historical maran beside maram.	Do not insert an unnecessary Tamil m to Telugu n sound change; final u and nasalized variants require separate morphology/history.
d4716	apical comparison	Tamil marukkārai supplies medial r beside Telugu mraŋga.	Plant-name suffixes and nasal-stop alternation remain unresolved; borrowing is not excluded by the cluster.
d4728	apical comparison	Kannada marvu/marbu/mabbu and Tulu marbu support Telugu mrabbu.	Possible early Kannada contact requires evaluation; Gondi mabbu is explicitly a Telugu loan.
d4750	apical comparison	Kannada maẓgu supplies a consonantal apical formation corresponding to Telugu mraggu.	Do not merge this ẓ-root automatically with the homophonous ṟ-root in d4761.
d4761	apical comparison	Tamil maṟaŋku and Konda maṟ-/maR- support Telugu mraŋgu/mrandu.	Surface merger with d4750 does not prove original root identity; nasal and geminate formations differ.
d4866	apical comparison	Tamil miẓuŋku and Konda miṛiŋ/ṛiŋ strongly support Telugu mriŋgu.	High-vowel syncope and later C1 loss in Konda are distinct from the shared displacement correspondence.
d4971	apical comparison	Tamil muraṭu and Kannada moraḍu support Telugu mrōḍu stump.	Root-vowel lowering and contraction involve the low-vowel derivative, not every member of the roughness group.
d4973	alternative comparison	Tamil mural and Kannada moraḷ offer r-root evidence for Telugu mrōṅgu.	D4989 with ẓ is an explicit alternative; count the Telugu form once and preserve uncertainty in apical identity.
d4975	apical comparison	Tamil muri and Kui mrunga support Telugu bruyyu/bruŋgu perish.	Initial m to b is a separate restricted development; do not confuse homophonous bruŋgu sink in d4993.
d4989	alternative comparison	Tamil muẓaŋku and Kannada moẓagu offer ẓ-root evidence for Telugu mrōṅgu.	D4973 is an explicit alternative; unrelated joint material also occurs in Jambu's proto records and needs linkage audit.
d4993	apical comparison	Tamil muẓuku, Tulu murku and Konda muṛg support a short consonantal formation for Telugu bruŋgu.	Identical u vowels can precede syncope; m to b and nasal-stop formations are additional changes.
d5007	apical comparison	Tamil muṟi, Tulu murguni and Gondi murk support Telugu mrukku.	Geminate voicing and historical root quantity vary; the set does not justify a single long-vowel ancestor for all derivatives.
d5017	alternative comparison	Tamil muṟṟu supplies an alveolar-stop comparison for Telugu mruggu ripen.	D5046 with ẓ is explicitly alternative; do not count both or silently collapse distinct proto-apicals.
d5046	alternative comparison	Tamil mūẓ and Gondi mūṛ supply the alternative apical comparison for Telugu mruggu.	Long-vowel history and suffixal g remain unresolved; d5017 competes for the same Telugu datum.
d5082	vowel-conditioning residual	Tamil meẓuku, Konda miṛis and Kui mrānḍa support the apical comparison with Telugu mrēṅgu.	The e-u input is not in the stated e-a contraction branch; a lost a-formative would need independent support.
d5087	semantic uncertainty	The source specifically records archaic Telugu mṛ̆ēka.	Its meaning is explicitly unknown; the goat gloss of other members cannot be assigned to it to manufacture a secure cognate.
d5114	input unresolved	Telugu mrōḍu paḍu has a cluster.	The other bluntness forms have moṇṭ/moṭ, not r; possible interaction with stump d4971 is a hypothesis.
d5123	apical comparison	Kannada moẓgu/mokku supports Telugu mrokku/mroggu.	Voicing and strengthening differ; Kui mrōŋga has a different long-vowel formation.
d5250	input unresolved	Telugu vranti has a cluster.	The remaining comparison lacks independent medial r; reconstructing vant versus varant requires further sources.
d5263	apical comparison	Tamil varai and Kannada bare/bari support Telugu vrāyu.	Later vrāyu to rāyu loses w/v, unlike vrēlu to vēlu; modern regional writing terms may also be loans.
d5295	apical comparison	Tamil vaẓi, Kannada baẓi, and archaic Telugu vẓaccu support the displaced apical's identity.	The cc formative and gemination are additional history; modern r-only spellings erase useful evidence.
d5368	input unresolved	Telugu vrālu perch has an initial cluster.	Kannada vāluvike lacks a matching r; lateral identity, preexisting length and secondary r remain open.
d5369	input unresolved	Telugu vrālu incline has a cluster.	Kannada vālu/ōlu lacks a matching r; do not assume the same mechanism as varay write.
d5372	apical comparison and extraction error	Kannada barduku supports Telugu braduku/bratuku, with widespread vāẓ/bāẓ root comparanda.	Long-root history, initial v/b and the longer derivative need separate analysis; markup fragments are not words or exceptions.
d5409	apical comparison	Tamil viral and Kannada beral support the apical and a low-vowel formative; immediate wer-al accounts for Telugu vrēlu.	The deeper i/e choice is underdetermined after southern vowel mergers. Different al/and/anj formatives must remain distinct.
d5411	quantity underdetermined	Tamil viri and Kui vriŋga support the r-root comparison with Telugu vrīlu.	TVB admits that its exact vir-il formative is unattested elsewhere; the fitted high vowel is not independent confirmation.
d5555	input unresolved	Telugu vrēyu/vrēṭu has a cluster.	Konda vey and Kui vēpa do not independently supply r; secondary formation or a different etymology needs evidence.
