Row	Language_ID	Entry_ID	Form	Gloss	Note	Source	Audit
184	PDr	d707	*oṯ-a-nku	to sleep	PSD	krishnamurti	historical-level-or-distribution-note: requires source review
186	PDr	d1025	*on-patV	ten minus one	SDI	krishnamurti	historical-level-or-distribution-note: requires source review
188	PDr	d697	*oḷ-an	house	PGondi; see uḷ- ‘to be’	krishnamurti	historical-level-or-distribution-note: requires source review
212	PDr	d1173	*kaṇṭ-anṯu	husband, warrior	SDI	krishnamurti	historical-level-or-distribution-note: requires source review
232	PDr	d1283	*kar-V-nt-	to consider	SD I + Te	krishnamurti	historical-level-or-distribution-note: requires source review
233	PDr	d1283	*kar-V-ntt	will, mind	n.; SD I + Te	krishnamurti	historical-level-or-distribution-note: requires source review
239	PDr	d1303	*kal-a-nku	to be stirred	PSD	krishnamurti	historical-level-or-distribution-note: requires source review
240	PDr	d1303	*kal-a-nkku	to stir	PSD	krishnamurti	historical-level-or-distribution-note: requires source review
241	PDr	d1309	*kal-Vnk-	covered drain, sluice	PSD	krishnamurti	historical-level-or-distribution-note: requires source review
248	PDr	d1366	*kaẓ-u-tt-	neck/throat	SDI	krishnamurti	historical-level-or-distribution-note: requires source review
249	PDr	d1366	*kaẓ-nt(t)-	neck/throat	Tulu, CD, SDII	krishnamurti	historical-level-or-distribution-note: requires source review
253	PDr	d1356	*kaẓi (-nt-)	time to pass, be spent	PSD; v.i.	krishnamurti	historical-level-or-distribution-note: requires source review
254	PDr	d1356	*kaẓi (-nt-t-)	to spend, waste, reject	PSD; v.t.	krishnamurti	historical-level-or-distribution-note: requires source review
291	PDr	d1600	*kin-	to be angry	SDI	krishnamurti	historical-level-or-distribution-note: requires source review
292	PDr	d1977	*kir-V-	ear	some languages of SD I and II	krishnamurti	historical-level-or-distribution-note: requires source review
293	PDr	d1574	*kil-	sound, noise	PSD	krishnamurti	historical-level-or-distribution-note: requires source review
294	PDr	d1570	*kil-	to be able	SDI	krishnamurti	historical-level-or-distribution-note: requires source review
303	PDr	d1347	*kiẓ-ank-	tuber	SDI	krishnamurti	historical-level-or-distribution-note: requires source review
313	PDr	d1652	*kuṭ-al	intestines	SDI	krishnamurti	historical-level-or-distribution-note: requires source review
319	PDr	d1840	*kuṯ-V-nk-	thigh	SDI	krishnamurti	historical-level-or-distribution-note: requires source review
320	PDr	d1840	*kuṯ-V-v	thigh	SDI	krishnamurti	historical-level-or-distribution-note: requires source review
321	PDr	d1711	*kut-i	to jump	SDI	krishnamurti	historical-level-or-distribution-note: requires source review
322	PDr	d1711	*kut-ir-ay	horse	SDI	krishnamurti	historical-level-or-distribution-note: requires source review
329	PDr	d1718	*ku-nt-	throat, voice, toan	SDI	krishnamurti	historical-level-or-distribution-note: requires source review
330	PDr	d1718	*ku-ntt-	throat, voice, toan	SDI	krishnamurti	historical-level-or-distribution-note: requires source review
331	PDr	d1718	*ko-nt-	throat, voice, toan	SDII	krishnamurti	historical-level-or-distribution-note: requires source review
332	PDr	d1718	*ko-ntt-	throat, voice, toan	SDII	krishnamurti	historical-level-or-distribution-note: requires source review
341	PDr	d1882	*kūṭ-u	to be joined, meet	PSD; v.i.	krishnamurti	historical-level-or-distribution-note: requires source review
342	PDr	d1882	*kūṭṭ-	to unite, put together	PSD; v.t.; < *kūṭ-tt	krishnamurti	historical-level-or-distribution-note: requires source review
343	PDr	d1882	*kūṭṭ-am	union	PSD; n.	krishnamurti	historical-level-or-distribution-note: requires source review
344	PDr	d1882	*kūṭ-al	joining	PSD	krishnamurti	historical-level-or-distribution-note: requires source review
345	PDr	d1882	*kūṭṭ-al	uniting	PSD	krishnamurti	historical-level-or-distribution-note: requires source review
377	PDr	d2004	*kē-mpu	yam	PSD; < *key-ampu < *kic-ampu	krishnamurti	historical-level-or-distribution-note: requires source review
388	PDr	d2168	*koṯ-ay	to pierce	PSD	krishnamurti	historical-level-or-distribution-note: requires source review
405	PDr	d2200	*kōṯ-		SDII	krishnamurti	historical-level-or-distribution-note: requires source review
407	PDr	d2203	*kōṭ-ay	west wind, monsoon	SDI	krishnamurti	historical-level-or-distribution-note: requires source review
409	PDr	d2177	*kōy-il	palace, temple	PSD	krishnamurti	historical-level-or-distribution-note: requires source review
422	PDr	d2327	*cat-V-	to read	PTelugu	krishnamurti	historical-level-or-distribution-note: requires source review
426	PDr	d2359	*car-ac-	snake	PSD	krishnamurti	historical-level-or-distribution-note: requires source review
429	PDr	d2781	*can-ṯ-	to go, pass, occur	SDI; < *cal-nt-	krishnamurti	historical-level-or-distribution-note: requires source review
430	PDr	d2781	*can-ṯṯ-	to go, pass, occur	SDII	krishnamurti	historical-level-or-distribution-note: requires source review
436	PDr	d2426	*caH-	to die	PSD	krishnamurti	historical-level-or-distribution-note: requires source review
437	PDr	d2426	*cā-	to die	PSD	krishnamurti	historical-level-or-distribution-note: requires source review
438	PDr	d2426	*cay-	to die	PCD	krishnamurti	historical-level-or-distribution-note: requires source review
439	PDr	d2426	*cāy-	to die	PCD	krishnamurti	historical-level-or-distribution-note: requires source review
440	PDr	d2426	*keH-	to die	PND	krishnamurti	historical-level-or-distribution-note: requires source review
441	PDr	d2426	*key-	to die	PND	krishnamurti	historical-level-or-distribution-note: requires source review
457	PDr	d2553	*cir	day	PCD	krishnamurti	historical-level-or-distribution-note: requires source review
458	PDr	d2584	*cir-V-tt-	the low area	SDI	krishnamurti	historical-level-or-distribution-note: requires source review
465	PDr	d2625	*cīr-ppī	nits, (lit. lice eggs)	PSD	krishnamurti	historical-level-or-distribution-note: requires source review
467	PDr	d2674	*cup	salt	SDII	krishnamurti	historical-level-or-distribution-note: requires source review
468	PDr	d2674	*cov-ar	salt	SDII	krishnamurti	historical-level-or-distribution-note: requires source review
469	PDr	d2674	*up	salt	SD I + Te	krishnamurti	historical-level-or-distribution-note: requires source review
470	PDr	d2674	*ov-ar	salt	SD I + Te	krishnamurti	historical-level-or-distribution-note: requires source review
475	PDr	d2654	*cuṯ-	be hot	SDII	krishnamurti	historical-level-or-distribution-note: requires source review
481	PDr	d2795	*ceṯ-Vkk-	sugar-cane	SDII	krishnamurti	historical-level-or-distribution-note: requires source review
486	PDr	d2783	*cēl-āḷ	younger sister	SDII	krishnamurti	historical-level-or-distribution-note: requires source review
498	PDr	d2910	*ñāc-Vṯu	son	SDI	krishnamurti	historical-level-or-distribution-note: requires source review
536	PDr	d3175	*tāli	wedding string with a gold piece	SD I, Te.	krishnamurti	historical-level-or-distribution-note: requires source review
575	PDr	d3268	*tē-	sweet	PSD; (< *tiy-a)	krishnamurti	historical-level-or-distribution-note: requires source review
576	PDr	d3268	*tēn-ī	honey-bee (lit. honey-fly)	SDI	krishnamurti	historical-level-or-distribution-note: requires source review
579	PDr	d3559	*tokk-	skin	PSD	krishnamurti	historical-level-or-distribution-note: requires source review
580	PDr	d3559	*tok-al	skin	PSD	krishnamurti	historical-level-or-distribution-note: requires source review
581	PDr	d3559	*tō-l	skin	PSD	krishnamurti	historical-level-or-distribution-note: requires source review
590	PDr	d3542	*tōc-ay	a cereal pancake	PSD	krishnamurti	historical-level-or-distribution-note: requires source review
600	PDr	d3610	*nal	good	PSD	krishnamurti	historical-level-or-distribution-note: requires source review
605	PDr	d3638	*nāṯu	country, place	SDII	krishnamurti	historical-level-or-distribution-note: requires source review
606	PDr		*nā	obl of 1sg	SDII	krishnamurti	historical-level-or-distribution-note: requires source review
614	PDr	d3656	*nāḷ	day	SDII	krishnamurti	historical-level-or-distribution-note: requires source review
615	PDr	d3656	*nāṇ-ṭ-	day	SDII; < *nāḷ-nt-	krishnamurti	historical-level-or-distribution-note: requires source review
627	PDr		*nī	obl of 2sg	SDII	krishnamurti	historical-level-or-distribution-note: requires source review
633	PDr		*nīr	you (2pl)	PSD	krishnamurti	historical-level-or-distribution-note: requires source review
646	PDr	d3736	*neñ-cV	mind, heart, pith	SDI	krishnamurti	historical-level-or-distribution-note: requires source review
647	PDr	d3683	*nen-ay	to think	SDI	krishnamurti	historical-level-or-distribution-note: requires source review
655	PDr	d3774	*nēram	time, sun	SDI	krishnamurti	historical-level-or-distribution-note: requires source review
657	PDr	d3783	*noṯ-	to wash	SDII	krishnamurti	historical-level-or-distribution-note: requires source review
669	PDr	d3881	*paḍḍ-V	a female buffalo	SDII	krishnamurti	historical-level-or-distribution-note: requires source review
694	PDr	d4065	*pāṯ-	to sing	SDII	krishnamurti	historical-level-or-distribution-note: requires source review
699	PDr	d4048	*pānkk-	betel nut	SDI	krishnamurti	historical-level-or-distribution-note: requires source review
711	PDr	d4199	*piṯ-u	rain	SD II, ND	krishnamurti	historical-level-or-distribution-note: requires source review
714	PDr	d4410	*pin-cc-Vr	name	PSD	krishnamurti	historical-level-or-distribution-note: requires source review
715	PDr	d4410	*pec-ar	name	PSD	krishnamurti	historical-level-or-distribution-note: requires source review
720	PDr	d4193	*piẓ-ul	intestines	CD	krishnamurti	historical-level-or-distribution-note: requires source review
748	PDr	d4388	*peṭṭi	box	PSD	krishnamurti	historical-level-or-distribution-note: requires source review
751	PDr	d4395	*peṇ-(ḍ)li	marriage	SD II	krishnamurti	historical-level-or-distribution-note: requires source review
769	PDr	d4240	*pok-ay	smoke	PSD	krishnamurti	historical-level-or-distribution-note: requires source review
770	PDr	d4460	*pok-kuẓ-V-	navel	SD I, SD II, CD	krishnamurti	historical-level-or-distribution-note: requires source review
776	PDr	d4531	*poy-nkk-am	falsehood	n.; Pre-Telugu	krishnamurti	historical-level-or-distribution-note: requires source review
781	PDr	d4536	*por-a-	to sell	PSD II	krishnamurti	historical-level-or-distribution-note: requires source review
782	PDr	d4536	*prō-	to sell	PSD II	krishnamurti	historical-level-or-distribution-note: requires source review
785	PDr	d4570	*pon	gold	PSD	krishnamurti	historical-level-or-distribution-note: requires source review
786	PDr	d4572	*pō-	to go	PSD	krishnamurti	historical-level-or-distribution-note: requires source review
787	PDr	d4572	*pō-k-	to go	PSD	krishnamurti	historical-level-or-distribution-note: requires source review
788	PDr	d4572	*pō-kk-	to send	PSD	krishnamurti	historical-level-or-distribution-note: requires source review
800	PDr	d4654	*maṭi-vēl-	washerman	SD I, Te.	krishnamurti	historical-level-or-distribution-note: requires source review
802	PDr	d4688	*maṯ-Vku	covered drain	SD	krishnamurti	historical-level-or-distribution-note: requires source review
803	PDr	d4772	*mat-kāy	mango	SD II	krishnamurti	historical-level-or-distribution-note: requires source review
804	PDr	d4694	*mat-al	marriage	SD I	krishnamurti	historical-level-or-distribution-note: requires source review
805	PDr	d4694	*mat-uv-ay	marriage	SD I	krishnamurti	historical-level-or-distribution-note: requires source review
819	PDr	d4753	*maẓ-ay	rain	SD I	krishnamurti	historical-level-or-distribution-note: requires source review
823	PDr		*mā	obl of 1pl	SD II	krishnamurti	historical-level-or-distribution-note: requires source review
839	PDr		*mī	obl of 2pl	SD II	krishnamurti	historical-level-or-distribution-note: requires source review
854	PDr	d4985	*mul-ay	breast, teat	SD I	krishnamurti	historical-level-or-distribution-note: requires source review
875	PDr	d4902	*moc-Vr	buttermilk	SD I	krishnamurti	historical-level-or-distribution-note: requires source review
876	PDr	d4968	*moy-al	hare	PSD	krishnamurti	historical-level-or-distribution-note: requires source review
901	PDr	d5205	*vak-ay	to deliberate	SD I, Te.	krishnamurti	historical-level-or-distribution-note: requires source review
902	PDr	d5259	*vac-Vṯ	stomach, foetus	SD I	krishnamurti	historical-level-or-distribution-note: requires source review
903	PDr	d5259	*vac-V-(kk)	stomach, foetus	SD II except Te.	krishnamurti	historical-level-or-distribution-note: requires source review
906	PDr	d5218	*vaṭ-a-kku	north	PSD	krishnamurti	historical-level-or-distribution-note: requires source review
911	PDr		*vay-	to throw	aux SD II	krishnamurti	historical-level-or-distribution-note: requires source review
918	PDr	d5270	*vaH-	to come	(past *wa-nt- < *war-nt- SD I, CD, ND; *wa-cc-/wā-tt- SD II)	krishnamurti	historical-level-or-distribution-note: requires source review
919	PDr	d5270	*vaH-r	to come	(past *wa-nt- < *war-nt- SD I, CD, ND; *wa-cc-/wā-tt- SD II)	krishnamurti	historical-level-or-distribution-note: requires source review
930	PDr	d5373	*vāẓ-ay	banana	SD I	krishnamurti	historical-level-or-distribution-note: requires source review
931	PDr	d5340	*viṭ-u	to leave	PSD	krishnamurti	historical-level-or-distribution-note: requires source review
933	PDr	d5409	*vir-al	finger	SD I	krishnamurti	historical-level-or-distribution-note: requires source review
934	PDr	d5409	*vir-and	finger	SD II, CD	krishnamurti	historical-level-or-distribution-note: requires source review
935	PDr	d5409	*vir-anj	finger	SD II, CD	krishnamurti	historical-level-or-distribution-note: requires source review
957	PDr	d5528	*vēṇṭ-V	to want	PSD (< *wēḷ-nt-)	krishnamurti	historical-level-or-distribution-note: requires source review
1346	PDr	d1494	*kāẓ-		PSD	southworth2005m	historical-level-or-distribution-note: requires source review
1347	PDr	d1029	*ōṅkk-		PSD	southworth2005m	historical-level-or-distribution-note: requires source review
1350	PDr	d5347	*val-ant-		PSD	southworth2005m	historical-level-or-distribution-note: requires source review
1352	PDr	d4493	*poṭṭ-		PSD	southworth2005m	historical-level-or-distribution-note: requires source review
1354	PDr	d4677	*maṇṭi		PSD	southworth2005m	historical-level-or-distribution-note: requires source review
1355	PDr	d2540	*cim-i(ṇ)ṭ/u(ṇ)ṭ-		PSDI	southworth2005m	historical-level-or-distribution-note: requires source review
1359	PDr	d2548	*cim(p)-		PSD	southworth2005m	historical-level-or-distribution-note: requires source review
1360	PDr	d1670	*kiṭṭ-		PSDI	southworth2005m	historical-level-or-distribution-note: requires source review
1363	PDr	d513	*lenk-		PSD2	southworth2005m	historical-level-or-distribution-note: requires source review
