Partition	Input_Domain	Language_A	Language_B	N_Input_Families	N_Common_DR_Informative	N_Both_D_Bearing	N_A_D_B_R	N_A_R_B_D	N_Both_R_No_D	N_Common_With_Mixed_Cell	Both_D_Over_Common	Both_D_Proportion	N_Excluded_Not_Common_Informative	Caution
primary	all-reviewed-inputs	Brahui	Tamil	403	28	0	6	0	22	3	0/28	0.0	375	Mixed cells remain identifiable; D includes supported displacement-family histories. Shared outcome does not establish one inherited event.
primary	all-reviewed-inputs	Brahui	Telugu	403	28	0	5	14	9	12	0/28	0.0	375	Mixed cells remain identifiable; D includes supported displacement-family histories. Shared outcome does not establish one inherited event.
primary	all-reviewed-inputs	Brahui	Toda	403	16	0	1	0	15	1	0/16	0.0	387	Mixed cells remain identifiable; D includes supported displacement-family histories. Shared outcome does not establish one inherited event.
primary	all-reviewed-inputs	Brahui	Tulu	403	21	0	1	0	20	1	0/21	0.0	382	Mixed cells remain identifiable; D includes supported displacement-family histories. Shared outcome does not establish one inherited event.
primary	all-reviewed-inputs	Brahui	markodi	403	3	0	0	0	3	0	0/3	0.0	400	Mixed cells remain identifiable; D includes supported displacement-family histories. Shared outcome does not establish one inherited event.
primary	all-reviewed-inputs	Gadaba	Gondi	403	56	0	0	6	50	3	0/56	0.0	347	Mixed cells remain identifiable; D includes supported displacement-family histories. Shared outcome does not establish one inherited event.
primary	all-reviewed-inputs	Gadaba	Kannada	403	60	0	0	0	60	0	0/60	0.0	343	Mixed cells remain identifiable; D includes supported displacement-family histories. Shared outcome does not establish one inherited event.
primary	all-reviewed-inputs	Gadaba	Kodagu	403	33	0	0	0	33	0	0/33	0.0	370	Mixed cells remain identifiable; D includes supported displacement-family histories. Shared outcome does not establish one inherited event.
primary	all-reviewed-inputs	Gadaba	Kolami	403	31	0	0	0	31	0	0/31	0.0	372	Mixed cells remain identifiable; D includes supported displacement-family histories. Shared outcome does not establish one inherited event.
primary	all-reviewed-inputs	Gadaba	Konda	403	52	0	0	13	39	5	0/52	0.0	351	Mixed cells remain identifiable; D includes supported displacement-family histories. Shared outcome does not establish one inherited event.
primary	all-reviewed-inputs	Gadaba	Koraga	403	8	0	0	0	8	0	0/8	0.0	395	Mixed cells remain identifiable; D includes supported displacement-family histories. Shared outcome does not establish one inherited event.
primary	all-reviewed-inputs	Gadaba	Kota	403	42	0	0	0	42	0	0/42	0.0	361	Mixed cells remain identifiable; D includes supported displacement-family histories. Shared outcome does not establish one inherited event.
primary	all-reviewed-inputs	Gadaba	Kui	403	43	0	0	27	16	6	0/43	0.0	360	Mixed cells remain identifiable; D includes supported displacement-family histories. Shared outcome does not establish one inherited event.
primary	all-reviewed-inputs	Gadaba	Kurux	403	16	0	0	0	16	0	0/16	0.0	387	Mixed cells remain identifiable; D includes supported displacement-family histories. Shared outcome does not establish one inherited event.
primary	all-reviewed-inputs	Gadaba	Kuwi	403	47	0	0	24	23	7	0/47	0.0	356	Mixed cells remain identifiable; D includes supported displacement-family histories. Shared outcome does not establish one inherited event.
primary	all-reviewed-inputs	Gadaba	Malayalam	403	58	0	0	0	58	0	0/58	0.0	345	Mixed cells remain identifiable; D includes supported displacement-family histories. Shared outcome does not establish one inherited event.
primary	all-reviewed-inputs	Gadaba	Malto	403	20	0	0	0	20	0	0/20	0.0	383	Mixed cells remain identifiable; D includes supported displacement-family histories. Shared outcome does not establish one inherited event.
primary	all-reviewed-inputs	Gadaba	Manda	403	25	0	0	12	13	2	0/25	0.0	378	Mixed cells remain identifiable; D includes supported displacement-family histories. Shared outcome does not establish one inherited event.
primary	all-reviewed-inputs	Gadaba	Naiki	403	18	0	0	0	18	0	0/18	0.0	385	Mixed cells remain identifiable; D includes supported displacement-family histories. Shared outcome does not establish one inherited event.
primary	all-reviewed-inputs	Gadaba	Naikri	403	26	0	0	0	26	0	0/26	0.0	377	Mixed cells remain identifiable; D includes supported displacement-family histories. Shared outcome does not establish one inherited event.
primary	all-reviewed-inputs	Gadaba	Parji	403	57	0	0	0	57	0	0/57	0.0	346	Mixed cells remain identifiable; D includes supported displacement-family histories. Shared outcome does not establish one inherited event.
primary	all-reviewed-inputs	Gadaba	Pengo	403	31	0	0	13	18	3	0/31	0.0	372	Mixed cells remain identifiable; D includes supported displacement-family histories. Shared outcome does not establish one inherited event.
primary	all-reviewed-inputs	Gadaba	Tamil	403	66	0	0	0	66	0	0/66	0.0	337	Mixed cells remain identifiable; D includes supported displacement-family histories. Shared outcome does not establish one inherited event.
primary	all-reviewed-inputs	Gadaba	Telugu	403	70	0	0	33	37	17	0/70	0.0	333	Mixed cells remain identifiable; D includes supported displacement-family histories. Shared outcome does not establish one inherited event.
primary	all-reviewed-inputs	Gadaba	Toda	403	35	0	0	0	35	0	0/35	0.0	368	Mixed cells remain identifiable; D includes supported displacement-family histories. Shared outcome does not establish one inherited event.
primary	all-reviewed-inputs	Gadaba	Tulu	403	52	0	0	0	52	0	0/52	0.0	351	Mixed cells remain identifiable; D includes supported displacement-family histories. Shared outcome does not establish one inherited event.
primary	all-reviewed-inputs	Gadaba	markodi	403	12	0	0	0	12	0	0/12	0.0	391	Mixed cells remain identifiable; D includes supported displacement-family histories. Shared outcome does not establish one inherited event.
primary	all-reviewed-inputs	Gondi	Irula	403	1	0	0	0	1	0	0/1	0.0	402	Mixed cells remain identifiable; D includes supported displacement-family histories. Shared outcome does not establish one inherited event.
primary	all-reviewed-inputs	Gondi	Kannada	403	102	0	10	0	92	5	0/102	0.0	301	Mixed cells remain identifiable; D includes supported displacement-family histories. Shared outcome does not establish one inherited event.
primary	all-reviewed-inputs	Gondi	Kodagu	403	62	0	8	0	54	4	0/62	0.0	341	Mixed cells remain identifiable; D includes supported displacement-family histories. Shared outcome does not establish one inherited event.
primary	all-reviewed-inputs	Gondi	Kolami	403	46	0	4	0	42	4	0/46	0.0	357	Mixed cells remain identifiable; D includes supported displacement-family histories. Shared outcome does not establish one inherited event.
primary	all-reviewed-inputs	Gondi	Konda	403	83	9	3	14	57	13	9/83	0.108434	320	Mixed cells remain identifiable; D includes supported displacement-family histories. Shared outcome does not establish one inherited event.
primary	all-reviewed-inputs	Gondi	Koraga	403	11	0	1	0	10	1	0/11	0.0	392	Mixed cells remain identifiable; D includes supported displacement-family histories. Shared outcome does not establish one inherited event.
primary	all-reviewed-inputs	Gondi	Kota	403	69	0	8	0	61	3	0/69	0.0	334	Mixed cells remain identifiable; D includes supported displacement-family histories. Shared outcome does not establish one inherited event.
primary	all-reviewed-inputs	Gondi	Kui	403	76	8	0	41	27	13	8/76	0.105263	327	Mixed cells remain identifiable; D includes supported displacement-family histories. Shared outcome does not establish one inherited event.
primary	all-reviewed-inputs	Gondi	Kurux	403	25	0	3	0	22	2	0/25	0.0	378	Mixed cells remain identifiable; D includes supported displacement-family histories. Shared outcome does not establish one inherited event.
primary	all-reviewed-inputs	Gondi	Kuwi	403	80	11	1	33	35	19	11/80	0.1375	323	Mixed cells remain identifiable; D includes supported displacement-family histories. Shared outcome does not establish one inherited event.
primary	all-reviewed-inputs	Gondi	Malayalam	403	102	0	12	0	90	5	0/102	0.0	301	Mixed cells remain identifiable; D includes supported displacement-family histories. Shared outcome does not establish one inherited event.
primary	all-reviewed-inputs	Gondi	Malto	403	23	0	2	0	21	1	0/23	0.0	380	Mixed cells remain identifiable; D includes supported displacement-family histories. Shared outcome does not establish one inherited event.
primary	all-reviewed-inputs	Gondi	Manda	403	41	6	1	16	18	8	6/41	0.146341	362	Mixed cells remain identifiable; D includes supported displacement-family histories. Shared outcome does not establish one inherited event.
primary	all-reviewed-inputs	Gondi	Naiki	403	24	0	0	0	24	0	0/24	0.0	379	Mixed cells remain identifiable; D includes supported displacement-family histories. Shared outcome does not establish one inherited event.
primary	all-reviewed-inputs	Gondi	Naikri	403	37	0	3	0	34	3	0/37	0.0	366	Mixed cells remain identifiable; D includes supported displacement-family histories. Shared outcome does not establish one inherited event.
primary	all-reviewed-inputs	Gondi	Parji	403	71	0	10	0	61	5	0/71	0.0	332	Mixed cells remain identifiable; D includes supported displacement-family histories. Shared outcome does not establish one inherited event.
primary	all-reviewed-inputs	Gondi	Pengo	403	52	5	2	22	23	11	5/52	0.096154	351	Mixed cells remain identifiable; D includes supported displacement-family histories. Shared outcome does not establish one inherited event.
primary	all-reviewed-inputs	Gondi	Tamil	403	113	0	14	0	99	6	0/113	0.0	290	Mixed cells remain identifiable; D includes supported displacement-family histories. Shared outcome does not establish one inherited event.
primary	all-reviewed-inputs	Gondi	Telugu	403	115	10	3	42	60	29	10/115	0.086957	288	Mixed cells remain identifiable; D includes supported displacement-family histories. Shared outcome does not establish one inherited event.
primary	all-reviewed-inputs	Gondi	Toda	403	60	0	9	0	51	5	0/60	0.0	343	Mixed cells remain identifiable; D includes supported displacement-family histories. Shared outcome does not establish one inherited event.
primary	all-reviewed-inputs	Gondi	Tulu	403	94	0	10	0	84	4	0/94	0.0	309	Mixed cells remain identifiable; D includes supported displacement-family histories. Shared outcome does not establish one inherited event.
primary	all-reviewed-inputs	Gondi	markodi	403	15	0	2	0	13	2	0/15	0.0	388	Mixed cells remain identifiable; D includes supported displacement-family histories. Shared outcome does not establish one inherited event.
primary	all-reviewed-inputs	Irula	Kannada	403	1	0	0	0	1	0	0/1	0.0	402	Mixed cells remain identifiable; D includes supported displacement-family histories. Shared outcome does not establish one inherited event.
primary	all-reviewed-inputs	Irula	Kodagu	403	1	0	0	0	1	0	0/1	0.0	402	Mixed cells remain identifiable; D includes supported displacement-family histories. Shared outcome does not establish one inherited event.
primary	all-reviewed-inputs	Irula	Kolami	403	1	0	0	0	1	0	0/1	0.0	402	Mixed cells remain identifiable; D includes supported displacement-family histories. Shared outcome does not establish one inherited event.
primary	all-reviewed-inputs	Irula	Konda	403	1	0	0	0	1	0	0/1	0.0	402	Mixed cells remain identifiable; D includes supported displacement-family histories. Shared outcome does not establish one inherited event.
primary	all-reviewed-inputs	Irula	Kota	403	1	0	0	0	1	0	0/1	0.0	402	Mixed cells remain identifiable; D includes supported displacement-family histories. Shared outcome does not establish one inherited event.
primary	all-reviewed-inputs	Irula	Kuwi	403	1	0	0	0	1	0	0/1	0.0	402	Mixed cells remain identifiable; D includes supported displacement-family histories. Shared outcome does not establish one inherited event.
primary	all-reviewed-inputs	Irula	Malayalam	403	2	0	0	0	2	0	0/2	0.0	401	Mixed cells remain identifiable; D includes supported displacement-family histories. Shared outcome does not establish one inherited event.
primary	all-reviewed-inputs	Irula	Naikri	403	1	0	0	0	1	0	0/1	0.0	402	Mixed cells remain identifiable; D includes supported displacement-family histories. Shared outcome does not establish one inherited event.
primary	all-reviewed-inputs	Irula	Parji	403	1	0	0	0	1	0	0/1	0.0	402	Mixed cells remain identifiable; D includes supported displacement-family histories. Shared outcome does not establish one inherited event.
primary	all-reviewed-inputs	Irula	Tamil	403	2	0	0	0	2	0	0/2	0.0	401	Mixed cells remain identifiable; D includes supported displacement-family histories. Shared outcome does not establish one inherited event.
primary	all-reviewed-inputs	Irula	Telugu	403	2	0	0	0	2	0	0/2	0.0	401	Mixed cells remain identifiable; D includes supported displacement-family histories. Shared outcome does not establish one inherited event.
primary	all-reviewed-inputs	Irula	Toda	403	2	0	0	0	2	0	0/2	0.0	401	Mixed cells remain identifiable; D includes supported displacement-family histories. Shared outcome does not establish one inherited event.
primary	all-reviewed-inputs	Irula	Tulu	403	2	0	0	0	2	0	0/2	0.0	401	Mixed cells remain identifiable; D includes supported displacement-family histories. Shared outcome does not establish one inherited event.
primary	all-reviewed-inputs	Kannada	Kodagu	403	105	0	0	0	105	0	0/105	0.0	298	Mixed cells remain identifiable; D includes supported displacement-family histories. Shared outcome does not establish one inherited event.
primary	all-reviewed-inputs	Kannada	Kolami	403	45	0	0	0	45	0	0/45	0.0	358	Mixed cells remain identifiable; D includes supported displacement-family histories. Shared outcome does not establish one inherited event.
primary	all-reviewed-inputs	Kannada	Konda	403	95	0	0	24	71	7	0/95	0.0	308	Mixed cells remain identifiable; D includes supported displacement-family histories. Shared outcome does not establish one inherited event.
primary	all-reviewed-inputs	Kannada	Koraga	403	19	0	0	0	19	0	0/19	0.0	384	Mixed cells remain identifiable; D includes supported displacement-family histories. Shared outcome does not establish one inherited event.
primary	all-reviewed-inputs	Kannada	Kota	403	131	0	0	0	131	0	0/131	0.0	272	Mixed cells remain identifiable; D includes supported displacement-family histories. Shared outcome does not establish one inherited event.
primary	all-reviewed-inputs	Kannada	Kui	403	80	0	0	51	29	9	0/80	0.0	323	Mixed cells remain identifiable; D includes supported displacement-family histories. Shared outcome does not establish one inherited event.
primary	all-reviewed-inputs	Kannada	Kurux	403	39	0	0	0	39	0	0/39	0.0	364	Mixed cells remain identifiable; D includes supported displacement-family histories. Shared outcome does not establish one inherited event.
primary	all-reviewed-inputs	Kannada	Kuwi	403	84	0	0	42	42	14	0/84	0.0	319	Mixed cells remain identifiable; D includes supported displacement-family histories. Shared outcome does not establish one inherited event.
primary	all-reviewed-inputs	Kannada	Malayalam	403	208	0	0	0	208	0	0/208	0.0	195	Mixed cells remain identifiable; D includes supported displacement-family histories. Shared outcome does not establish one inherited event.
primary	all-reviewed-inputs	Kannada	Malto	403	38	0	0	0	38	0	0/38	0.0	365	Mixed cells remain identifiable; D includes supported displacement-family histories. Shared outcome does not establish one inherited event.
primary	all-reviewed-inputs	Kannada	Manda	403	36	0	0	16	20	1	0/36	0.0	367	Mixed cells remain identifiable; D includes supported displacement-family histories. Shared outcome does not establish one inherited event.
primary	all-reviewed-inputs	Kannada	Naiki	403	24	0	0	0	24	0	0/24	0.0	379	Mixed cells remain identifiable; D includes supported displacement-family histories. Shared outcome does not establish one inherited event.
primary	all-reviewed-inputs	Kannada	Naikri	403	36	0	0	0	36	0	0/36	0.0	367	Mixed cells remain identifiable; D includes supported displacement-family histories. Shared outcome does not establish one inherited event.
primary	all-reviewed-inputs	Kannada	Parji	403	65	0	0	0	65	0	0/65	0.0	338	Mixed cells remain identifiable; D includes supported displacement-family histories. Shared outcome does not establish one inherited event.
primary	all-reviewed-inputs	Kannada	Pengo	403	53	0	0	21	32	3	0/53	0.0	350	Mixed cells remain identifiable; D includes supported displacement-family histories. Shared outcome does not establish one inherited event.
primary	all-reviewed-inputs	Kannada	Tamil	403	228	0	0	0	228	0	0/228	0.0	175	Mixed cells remain identifiable; D includes supported displacement-family histories. Shared outcome does not establish one inherited event.
primary	all-reviewed-inputs	Kannada	Telugu	403	235	0	0	90	145	47	0/235	0.0	168	Mixed cells remain identifiable; D includes supported displacement-family histories. Shared outcome does not establish one inherited event.
primary	all-reviewed-inputs	Kannada	Toda	403	102	0	0	0	102	0	0/102	0.0	301	Mixed cells remain identifiable; D includes supported displacement-family histories. Shared outcome does not establish one inherited event.
primary	all-reviewed-inputs	Kannada	Tulu	403	178	0	0	0	178	0	0/178	0.0	225	Mixed cells remain identifiable; D includes supported displacement-family histories. Shared outcome does not establish one inherited event.
primary	all-reviewed-inputs	Kannada	markodi	403	17	0	0	0	17	0	0/17	0.0	386	Mixed cells remain identifiable; D includes supported displacement-family histories. Shared outcome does not establish one inherited event.
primary	all-reviewed-inputs	Kodagu	Kolami	403	33	0	0	0	33	0	0/33	0.0	370	Mixed cells remain identifiable; D includes supported displacement-family histories. Shared outcome does not establish one inherited event.
primary	all-reviewed-inputs	Kodagu	Konda	403	59	0	0	19	40	7	0/59	0.0	344	Mixed cells remain identifiable; D includes supported displacement-family histories. Shared outcome does not establish one inherited event.
primary	all-reviewed-inputs	Kodagu	Koraga	403	11	0	0	0	11	0	0/11	0.0	392	Mixed cells remain identifiable; D includes supported displacement-family histories. Shared outcome does not establish one inherited event.
primary	all-reviewed-inputs	Kodagu	Kota	403	81	0	0	0	81	0	0/81	0.0	322	Mixed cells remain identifiable; D includes supported displacement-family histories. Shared outcome does not establish one inherited event.
primary	all-reviewed-inputs	Kodagu	Kui	403	51	0	0	31	20	8	0/51	0.0	352	Mixed cells remain identifiable; D includes supported displacement-family histories. Shared outcome does not establish one inherited event.
primary	all-reviewed-inputs	Kodagu	Kurux	403	19	0	0	0	19	0	0/19	0.0	384	Mixed cells remain identifiable; D includes supported displacement-family histories. Shared outcome does not establish one inherited event.
primary	all-reviewed-inputs	Kodagu	Kuwi	403	54	0	0	28	26	9	0/54	0.0	349	Mixed cells remain identifiable; D includes supported displacement-family histories. Shared outcome does not establish one inherited event.
primary	all-reviewed-inputs	Kodagu	Malayalam	403	110	0	0	0	110	0	0/110	0.0	293	Mixed cells remain identifiable; D includes supported displacement-family histories. Shared outcome does not establish one inherited event.
primary	all-reviewed-inputs	Kodagu	Malto	403	19	0	0	0	19	0	0/19	0.0	384	Mixed cells remain identifiable; D includes supported displacement-family histories. Shared outcome does not establish one inherited event.
primary	all-reviewed-inputs	Kodagu	Manda	403	24	0	0	10	14	0	0/24	0.0	379	Mixed cells remain identifiable; D includes supported displacement-family histories. Shared outcome does not establish one inherited event.
primary	all-reviewed-inputs	Kodagu	Naiki	403	16	0	0	0	16	0	0/16	0.0	387	Mixed cells remain identifiable; D includes supported displacement-family histories. Shared outcome does not establish one inherited event.
primary	all-reviewed-inputs	Kodagu	Naikri	403	26	0	0	0	26	0	0/26	0.0	377	Mixed cells remain identifiable; D includes supported displacement-family histories. Shared outcome does not establish one inherited event.
primary	all-reviewed-inputs	Kodagu	Parji	403	41	0	0	0	41	0	0/41	0.0	362	Mixed cells remain identifiable; D includes supported displacement-family histories. Shared outcome does not establish one inherited event.
primary	all-reviewed-inputs	Kodagu	Pengo	403	33	0	0	13	20	0	0/33	0.0	370	Mixed cells remain identifiable; D includes supported displacement-family histories. Shared outcome does not establish one inherited event.
primary	all-reviewed-inputs	Kodagu	Tamil	403	110	0	0	0	110	0	0/110	0.0	293	Mixed cells remain identifiable; D includes supported displacement-family histories. Shared outcome does not establish one inherited event.
primary	all-reviewed-inputs	Kodagu	Telugu	403	102	0	0	42	60	27	0/102	0.0	301	Mixed cells remain identifiable; D includes supported displacement-family histories. Shared outcome does not establish one inherited event.
primary	all-reviewed-inputs	Kodagu	Toda	403	64	0	0	0	64	0	0/64	0.0	339	Mixed cells remain identifiable; D includes supported displacement-family histories. Shared outcome does not establish one inherited event.
primary	all-reviewed-inputs	Kodagu	Tulu	403	95	0	0	0	95	0	0/95	0.0	308	Mixed cells remain identifiable; D includes supported displacement-family histories. Shared outcome does not establish one inherited event.
primary	all-reviewed-inputs	Kodagu	markodi	403	16	0	0	0	16	0	0/16	0.0	387	Mixed cells remain identifiable; D includes supported displacement-family histories. Shared outcome does not establish one inherited event.
primary	all-reviewed-inputs	Kolami	Konda	403	38	0	0	5	33	2	0/38	0.0	365	Mixed cells remain identifiable; D includes supported displacement-family histories. Shared outcome does not establish one inherited event.
primary	all-reviewed-inputs	Kolami	Koraga	403	6	0	0	0	6	0	0/6	0.0	397	Mixed cells remain identifiable; D includes supported displacement-family histories. Shared outcome does not establish one inherited event.
primary	all-reviewed-inputs	Kolami	Kota	403	32	0	0	0	32	0	0/32	0.0	371	Mixed cells remain identifiable; D includes supported displacement-family histories. Shared outcome does not establish one inherited event.
primary	all-reviewed-inputs	Kolami	Kui	403	37	0	0	16	21	4	0/37	0.0	366	Mixed cells remain identifiable; D includes supported displacement-family histories. Shared outcome does not establish one inherited event.
primary	all-reviewed-inputs	Kolami	Kurux	403	16	0	0	0	16	0	0/16	0.0	387	Mixed cells remain identifiable; D includes supported displacement-family histories. Shared outcome does not establish one inherited event.
primary	all-reviewed-inputs	Kolami	Kuwi	403	37	0	0	13	24	4	0/37	0.0	366	Mixed cells remain identifiable; D includes supported displacement-family histories. Shared outcome does not establish one inherited event.
