Entry_ID	Language_ID	Process	Reconstructed_Input	Observed_Form	Process_Outcome	Direction_Evidence	Relative_Chronology	Confidence	References	Form_ID	Database_Language_ID	Source	Tags	Gloss
d810	Kannada	nonadjacent-liquid-transposition	*er-al / *el-ar	elar	D	Telugu temm-eral and the cited Tamil nir̤ali wind comparison weakly favor r-l; Kannada itself has both orders and assimilation.	Exact direction remains less certain than the existence of the order alternation; this is not initial V/l metathesis.	medium-low for direction	DEDR810; DEN1 p.416 S96	f_u5ubt2nmjt4nw	Kannada	dedr		wind, air
d810	Kannada	nonadjacent-liquid-transposition	*er-al / *el-ar	elal	O	Telugu temm-eral and the cited Tamil nir̤ali wind comparison weakly favor r-l; Kannada itself has both orders and assimilation.	Exact direction remains less certain than the existence of the order alternation; this is not initial V/l metathesis.	medium-low for direction	DEDR810; DEN1 p.416 S96	f_42xjdpr2lqvoc	Kannada	dedr		wind, air
d2674	Gondi	vowel-order-alternation	*sov-ar	hovar	R	K03 p.97 explicitly calls sawwor beside sovar vowel metathesis. DEDR savvor is compatible with o-a > a-o, but savvar also permits progressive/regressive vowel assimilation; gemination is independent.	This vowel-vowel process precedes no uniquely established apical displacement and must not enter the initial-metathesis count.	medium for savvor exchange; low for savvar mechanism	K03 p.97 example10; DEDR2674	f_qdalhfs5sm2qc	Gondi	dedr;L-Gondi	dialect:Gondi:maria:Maria	salt (<i>Voc.</i> 3360)
d2674	Gondi	vowel-order-alternation	*sov-ar	ovar	R	K03 p.97 explicitly calls sawwor beside sovar vowel metathesis. DEDR savvor is compatible with o-a > a-o, but savvar also permits progressive/regressive vowel assimilation; gemination is independent.	This vowel-vowel process precedes no uniquely established apical displacement and must not enter the initial-metathesis count.	medium for savvor exchange; low for savvar mechanism	K03 p.97 example10; DEDR2674	f_mj6sk7aqm3ykc	Gondi	dedr;L-Gondi	dialect:Gondi:maria:Maria	salt (<i>Voc.</i> 3360)
d2674	Gondi	vowel-order-alternation	*sov-ar	savvor	A	K03 p.97 explicitly calls sawwor beside sovar vowel metathesis. DEDR savvor is compatible with o-a > a-o, but savvar also permits progressive/regressive vowel assimilation; gemination is independent.	This vowel-vowel process precedes no uniquely established apical displacement and must not enter the initial-metathesis count.	medium for savvor exchange; low for savvar mechanism	K03 p.97 example10; DEDR2674	f_etzf5pp5wznim	Gondi	dedr;Tr-Gondi	dialect:Gondi:betul:Betul	salt (<i>Voc.</i> 3360)
d2674	Gondi	vowel-order-alternation	*sov-ar	savvar	A	K03 p.97 explicitly calls sawwor beside sovar vowel metathesis. DEDR savvor is compatible with o-a > a-o, but savvar also permits progressive/regressive vowel assimilation; gemination is independent.	This vowel-vowel process precedes no uniquely established apical displacement and must not enter the initial-metathesis count.	medium for savvor exchange; low for savvar mechanism	K03 p.97 example10; DEDR2674	f_dpcp34eficax6	Gondi	dedr;Tr-Gondi	dialect:Gondi:betul:Betul	salt (<i>Voc.</i> 3360)
d4760	Kui	stop-cluster-transposition	*mrāk-p-	mrāpka (&lt; mrāk-p-; mrākt-)	D	DEDR explicitly supplies mrāk-p- and past mrākt-, independently placing root-final k before the verbal labial formative.	Suffixation precedes k-p > p-k. Initial m-a-r displacement is a separate change; its ordering with the local stop exchange is not uniquely established by the output.	high for local exchange	DEDR 4760	f_37pzhlkx3bqaq	Kui	dedr	noun	to lose, obliterate; losing, obliterating
d4194	Kui	stop-cluster-transposition	*plik-p-	plipka	D	DEDR explicitly gives plik-p- with past plikt-, establishing root-final k before the verbal labial formative.	Causative combination precedes k-p > p-k. This is distinct from root-initial p-l displacement.	high for local exchange	DEDR 4194	f_zkmyxy3xxs4hm	Kui	dedr	tr	(&lt;plik-p-; plikt-) to split , burst, crack
d4761	Kui	stop-cluster-transposition	*mag-b-	mabga (&lt; mag-b-; magd-)	D	DEDR explicitly gives mag-b- and past magd-, establishing g before the labial formative.	Suffix formation precedes local g-b > b-g, independent of any root-apical loss.	high for local exchange	DEDR 4761	f_odg4kc4xbuvsu	Kui	dedr		to grovel, wallow, roll on the ground, roll upon, overlay
d5411	Kui	stop-cluster-transposition	*vrik-p-	vripka (&lt; vrik-p-; vrikt-)	D	Source gives vrik-p- and past vrikt-, establishing k before a labial formative.	Suffixation precedes k-p > p-k; no unique ordering relative to root-initial displacement follows.	high for local exchange	DEDR 5411	f_qwsgre2k35ii2	Kui	dedr	noun	to pull to pieces, untie, loosen, disperse; dismantling, unfastening, dismissing
d715	Kui	stop-cluster-transposition	*jūk-p-	jūpka	D	DEDR gives jūk-p- and jūkt-, independently establishing the velar before the verbal labial formative.	Suffixation precedes k-p > p-k; the root’s earlier initial metathesis is a separate analysis.	high for local exchange	DEDR 715 p.70	f_tjcebrjvs5vmg	Kui	dedr	noun	(&lt;jūk-p-; jūkt-)to afflict, persecute, cause to suffer; act of afflicting, persecution, ill-treatment. DED(S) 613
d4761	Kannada	nonadjacent-liquid-transposition	*mar-al	maral	R	Telugu maralu and Kannada maral/maraḷ support r before a second lateral. Kannada malar reverses the two liquids.	The second-lateral formation must exist before reversal. Earlier root apical ṟ>r and later lateral retroflexion have independent chronologies not fixed by this pair.	high for local order alternation; medium for relative chronology	DEDR 4761	f_rsn37antvi6ms	Kannada	dedr		the face to be turned or averted, turn back or backward, turn, retreat, return, happen or occur again, do again
d4761	Kannada	nonadjacent-liquid-transposition	*mar-al	maraḷ	R	Telugu maralu and Kannada maral/maraḷ support r before a second lateral. Kannada malar reverses the two liquids.	The second-lateral formation must exist before reversal. Earlier root apical ṟ>r and later lateral retroflexion have independent chronologies not fixed by this pair.	high for local order alternation; medium for relative chronology	DEDR 4761	f_yjq3tjiczonps	Kannada	dedr		the face to be turned or averted, turn back or backward, turn, retreat, return, happen or occur again, do again
d4761	Kannada	nonadjacent-liquid-transposition	*mar-al	malar	D	Telugu maralu and Kannada maral/maraḷ support r before a second lateral. Kannada malar reverses the two liquids.	The second-lateral formation must exist before reversal. Earlier root apical ṟ>r and later lateral retroflexion have independent chronologies not fixed by this pair.	high for local order alternation; medium for relative chronology	DEDR 4761	f_imrevx6z7rp4q	Kannada	dedr		the face to be turned or averted, turn back or backward, turn, retreat, return, happen or occur again, do again
d247	Tamil	nonadjacent-liquid-transposition	*al-ar-	alar	R	Tamil, Malayalam, Telugu and retained Kannada/Tulu alar favor earlier l...r; Kannada/Tulu aral reverses the two liquids. Badaga may share the change or the word through contact.	A route alar > aral > arlu places Kannada medial syncope after exchange, but an alternative alar > alr > arl plus final-vowel development is not excluded. Retroflexion of final l is a separate local change. No link to Telugu initial metathesis chronology follows.	high for liquid-order alternation; medium for full trajectory	DEDR 247	f_gunqjoqtmdjvw	Tamil	dedr	noun verb Tamil-class-2 weak	to blossom, open up, spread (as rays of the sun, water), increase in size, manifest itself; full-blown flower
d247	Tamil	nonadjacent-liquid-transposition	*al-ar-	alari	R	Tamil, Malayalam, Telugu and retained Kannada/Tulu alar favor earlier l...r; Kannada/Tulu aral reverses the two liquids. Badaga may share the change or the word through contact.	A route alar > aral > arlu places Kannada medial syncope after exchange, but an alternative alar > alr > arl plus final-vowel development is not excluded. Retroflexion of final l is a separate local change. No link to Telugu initial metathesis chronology follows.	high for liquid-order alternation; medium for full trajectory	DEDR 247	f_uhhbfrmvz6mru	Tamil	dedr		flower
d247	Malayalam	nonadjacent-liquid-transposition	*al-ar-	alar	R	Tamil, Malayalam, Telugu and retained Kannada/Tulu alar favor earlier l...r; Kannada/Tulu aral reverses the two liquids. Badaga may share the change or the word through contact.	A route alar > aral > arlu places Kannada medial syncope after exchange, but an alternative alar > alr > arl plus final-vowel development is not excluded. Retroflexion of final l is a separate local change. No link to Telugu initial metathesis chronology follows.	high for liquid-order alternation; medium for full trajectory	DEDR 247	f_fkt4tm6i2uvzq	Malayalam	dedr		a blossom, opening flower
d247	Malayalam	nonadjacent-liquid-transposition	*al-ar-	alaruka	R	Tamil, Malayalam, Telugu and retained Kannada/Tulu alar favor earlier l...r; Kannada/Tulu aral reverses the two liquids. Badaga may share the change or the word through contact.	A route alar > aral > arlu places Kannada medial syncope after exchange, but an alternative alar > alr > arl plus final-vowel development is not excluded. Retroflexion of final l is a separate local change. No link to Telugu initial metathesis chronology follows.	high for liquid-order alternation; medium for full trajectory	DEDR 247	f_fmvz3exn4j7aa	Malayalam	dedr		to open (as flowers), be hot and dry
d247	Telugu	nonadjacent-liquid-transposition	*al-ar-	alaru	R	Tamil, Malayalam, Telugu and retained Kannada/Tulu alar favor earlier l...r; Kannada/Tulu aral reverses the two liquids. Badaga may share the change or the word through contact.	A route alar > aral > arlu places Kannada medial syncope after exchange, but an alternative alar > alr > arl plus final-vowel development is not excluded. Retroflexion of final l is a separate local change. No link to Telugu initial metathesis chronology follows.	high for liquid-order alternation; medium for full trajectory	DEDR 247	f_sbkthip6qkwii	Telugu	dedr	noun	to open as a flower, expand, shine, glitter, rejoice; a flower, blossom, (K. also) splendour, joy; splendid
d247	Telugu	nonadjacent-liquid-transposition	*al-ar-	alarcu	R	Tamil, Malayalam, Telugu and retained Kannada/Tulu alar favor earlier l...r; Kannada/Tulu aral reverses the two liquids. Badaga may share the change or the word through contact.	A route alar > aral > arlu places Kannada medial syncope after exchange, but an alternative alar > alr > arl plus final-vowel development is not excluded. Retroflexion of final l is a separate local change. No link to Telugu initial metathesis chronology follows.	high for liquid-order alternation; medium for full trajectory	DEDR 247	f_5niqcsf7gzfq2	Telugu	dedr;K-Telugu		to blossom
d247	Kannada	nonadjacent-liquid-transposition	*al-ar-	alar	R	Tamil, Malayalam, Telugu and retained Kannada/Tulu alar favor earlier l...r; Kannada/Tulu aral reverses the two liquids. Badaga may share the change or the word through contact.	A route alar > aral > arlu places Kannada medial syncope after exchange, but an alternative alar > alr > arl plus final-vowel development is not excluded. Retroflexion of final l is a separate local change. No link to Telugu initial metathesis chronology follows.	high for liquid-order alternation; medium for full trajectory	DEDR 247	f_idnhtlkgnjsy4	Kannada	dedr		to spread, become distended, open, blossom
d247	Kannada	nonadjacent-liquid-transposition	*al-ar-	alar	R	Tamil, Malayalam, Telugu and retained Kannada/Tulu alar favor earlier l...r; Kannada/Tulu aral reverses the two liquids. Badaga may share the change or the word through contact.	A route alar > aral > arlu places Kannada medial syncope after exchange, but an alternative alar > alr > arl plus final-vowel development is not excluded. Retroflexion of final l is a separate local change. No link to Telugu initial metathesis chronology follows.	high for liquid-order alternation; medium for full trajectory	DEDR 247	f_rcb4ayfdungog	Kannada	dedr		a flower
d247	Kannada	nonadjacent-liquid-transposition	*al-ar-	aral	D	Tamil, Malayalam, Telugu and retained Kannada/Tulu alar favor earlier l...r; Kannada/Tulu aral reverses the two liquids. Badaga may share the change or the word through contact.	A route alar > aral > arlu places Kannada medial syncope after exchange, but an alternative alar > alr > arl plus final-vowel development is not excluded. Retroflexion of final l is a separate local change. No link to Telugu initial metathesis chronology follows.	high for liquid-order alternation; medium for full trajectory	DEDR 247	f_cs7vrl3bao3vi	Kannada	dedr		a flower
d247	Kannada	nonadjacent-liquid-transposition	*al-ar-	aral	D	Tamil, Malayalam, Telugu and retained Kannada/Tulu alar favor earlier l...r; Kannada/Tulu aral reverses the two liquids. Badaga may share the change or the word through contact.	A route alar > aral > arlu places Kannada medial syncope after exchange, but an alternative alar > alr > arl plus final-vowel development is not excluded. Retroflexion of final l is a separate local change. No link to Telugu initial metathesis chronology follows.	high for liquid-order alternation; medium for full trajectory	DEDR 247	f_lf64yewkojfsa	Kannada	dedr		to spread, become distended, open, blossom
d247	Kannada	nonadjacent-liquid-transposition	*al-ar-	araḷ	D	Tamil, Malayalam, Telugu and retained Kannada/Tulu alar favor earlier l...r; Kannada/Tulu aral reverses the two liquids. Badaga may share the change or the word through contact.	A route alar > aral > arlu places Kannada medial syncope after exchange, but an alternative alar > alr > arl plus final-vowel development is not excluded. Retroflexion of final l is a separate local change. No link to Telugu initial metathesis chronology follows.	high for liquid-order alternation; medium for full trajectory	DEDR 247	f_avkk6xsltyuue	Kannada	dedr		a flower
d247	Kannada	nonadjacent-liquid-transposition	*al-ar-	araḷ	D	Tamil, Malayalam, Telugu and retained Kannada/Tulu alar favor earlier l...r; Kannada/Tulu aral reverses the two liquids. Badaga may share the change or the word through contact.	A route alar > aral > arlu places Kannada medial syncope after exchange, but an alternative alar > alr > arl plus final-vowel development is not excluded. Retroflexion of final l is a separate local change. No link to Telugu initial metathesis chronology follows.	high for liquid-order alternation; medium for full trajectory	DEDR 247	f_vtatxfqrnsgga	Kannada	dedr		to spread, become distended, open, blossom
d247	Kannada	nonadjacent-liquid-transposition	*al-ar-	arlu	D	Tamil, Malayalam, Telugu and retained Kannada/Tulu alar favor earlier l...r; Kannada/Tulu aral reverses the two liquids. Badaga may share the change or the word through contact.	A route alar > aral > arlu places Kannada medial syncope after exchange, but an alternative alar > alr > arl plus final-vowel development is not excluded. Retroflexion of final l is a separate local change. No link to Telugu initial metathesis chronology follows.	high for liquid-order alternation; medium for full trajectory	DEDR 247	f_hogiazfvslh7i	Kannada	dedr		to spread, become distended, open, blossom
d247	Kannada	nonadjacent-liquid-transposition	*al-ar-	alal	O	Tamil, Malayalam, Telugu and retained Kannada/Tulu alar favor earlier l...r; Kannada/Tulu aral reverses the two liquids. Badaga may share the change or the word through contact.	A route alar > aral > arlu places Kannada medial syncope after exchange, but an alternative alar > alr > arl plus final-vowel development is not excluded. Retroflexion of final l is a separate local change. No link to Telugu initial metathesis chronology follows.	high for liquid-order alternation; medium for full trajectory	DEDR 247	f_cdnvzmgfzk4l6	Kannada	dedr		a flower
d247	Tulu	nonadjacent-liquid-transposition	*al-ar-	alaruni	R	Tamil, Malayalam, Telugu and retained Kannada/Tulu alar favor earlier l...r; Kannada/Tulu aral reverses the two liquids. Badaga may share the change or the word through contact.	A route alar > aral > arlu places Kannada medial syncope after exchange, but an alternative alar > alr > arl plus final-vowel development is not excluded. Retroflexion of final l is a separate local change. No link to Telugu initial metathesis chronology follows.	high for liquid-order alternation; medium for full trajectory	DEDR 247	f_oyifn2cpgxrto	Tulu	dedr		to open, expand, bloom, blossom
d247	Tulu	nonadjacent-liquid-transposition	*al-ar-	araluni	D	Tamil, Malayalam, Telugu and retained Kannada/Tulu alar favor earlier l...r; Kannada/Tulu aral reverses the two liquids. Badaga may share the change or the word through contact.	A route alar > aral > arlu places Kannada medial syncope after exchange, but an alternative alar > alr > arl plus final-vowel development is not excluded. Retroflexion of final l is a separate local change. No link to Telugu initial metathesis chronology follows.	high for liquid-order alternation; medium for full trajectory	DEDR 247	f_hp6zhglsh7jes	Tulu	dedr		to open, expand, bloom, blossom
d247	Tulu	nonadjacent-liquid-transposition	*al-ar-	araḷuni	D	Tamil, Malayalam, Telugu and retained Kannada/Tulu alar favor earlier l...r; Kannada/Tulu aral reverses the two liquids. Badaga may share the change or the word through contact.	A route alar > aral > arlu places Kannada medial syncope after exchange, but an alternative alar > alr > arl plus final-vowel development is not excluded. Retroflexion of final l is a separate local change. No link to Telugu initial metathesis chronology follows.	high for liquid-order alternation; medium for full trajectory	DEDR 247	f_zerwryxwsk7h2	Tulu	dedr		to open, expand, bloom, blossom
d247	Badaga	nonadjacent-liquid-transposition	*al-ar-	araḷu	A	Tamil, Malayalam, Telugu and retained Kannada/Tulu alar favor earlier l...r; Kannada/Tulu aral reverses the two liquids. Badaga may share the change or the word through contact.	A route alar > aral > arlu places Kannada medial syncope after exchange, but an alternative alar > alr > arl plus final-vowel development is not excluded. Retroflexion of final l is a separate local change. No link to Telugu initial metathesis chronology follows.	high for liquid-order alternation; medium for full trajectory	DEDR 247	f_wtpdnipcvccme	Badaga	hockings-pilotraichoor1992[p. 28, col. 2]	noun uncertain	blosso m, flower
d228	Kui	stop-cluster-transposition	*rāk-p-	rāpka	D	K61 p.55 explicitly gives rāpka < rākpa; root-final velar is supported by rāga and p is causative material. This moves the velar after the labial.	Suffix combination must create k-p before reversal. Initial a/r displacement can be ordered before or after this local k/p exchange; the two operations commute in the relevant representation, so the final form does not decide their relative chronology.	high for published local derivation; medium for prehistory	K61 p.55 §1.131; DEDR 228	f_2vphnxjlhsbli	Kui	dedr		(&lt;rāk-p-; rākt-) to cause to rub together, wear by friction
d240	Kui	stop-cluster-transposition	*lāk-p-	lāpka (&lt; lākp-; lākt-)	D	DEDR explicitly provides lākp- and a velar-bearing past lākt-. The labial is causative material, making k-p > p-k direction morphologically motivated.	Consonantal suffixation precedes the cluster exchange. Ordering relative to the separate initial a/l contraction is not uniquely decided by the output.	high for cluster exchange	DEDR 240	f_ffthrj4v74uj4	Kui	dedr		to change a person's character, cause a person to change for the worse
d246	Kui	nonadjacent-lateral-stop-transposition	*al-akk-? or different root	akali	A	Tamil/Malayalam/Kannada washing stems have l before a velar in relevant derivatives, but no independently identical full *alakali input is available. Kui akali is attested as a rinsing noun with light-verb/echo constructions.	No secure order of transposition, suffix change and possible borrowing can yet be given.	low	DEDR 246; Winfield 1929 A Vocabulary of the Kui Language p.3, title and page visually verified	f_jfrpz7yxawsrm	Kui	dedr		rinsing. DED(N) 208
d474	Malto	rhotic-labial-cluster-transposition	*ir-w- (two persons)	ivr	D	Tamil iruvar, Kannada irvar/irbar, Telugu iruvuru and Kurux irb independently support r before the human suffix labial. DEDR source spells Malto iwr/iwresti; corpus uses v in these forms.	Medial vowel loss/formation of an r-w cluster precedes local rw > wr under this derivation. This does not move r ahead of the initial i and must not be counted as initial apical displacement.	high for relative order, medium for exact prehistoric suffix stages	DEDR 474 p.46; K03 p.159 explicitly iwr < irw	f_mlhqylm6o3iwi	Malto	dedr		two persons
d474	Malto	rhotic-labial-cluster-transposition	*ir-w- (two persons)	ivresti	D	Tamil iruvar, Kannada irvar/irbar, Telugu iruvuru and Kurux irb independently support r before the human suffix labial. DEDR source spells Malto iwr/iwresti; corpus uses v in these forms.	Medial vowel loss/formation of an r-w cluster precedes local rw > wr under this derivation. This does not move r ahead of the initial i and must not be counted as initial apical displacement.	high for relative order, medium for exact prehistoric suffix stages	DEDR 474 p.46; K03 p.159 explicitly iwr < irw	f_pd24emkodpekq	Malto	dedr		two by two (persons)
d520	Kui	stop-cluster-transposition	*rek-p-	repka	D	DEDR explicitly gives <rek-p-, with velar-bearing past rekt-. The morphological input independently establishes k before p.	Suffixation creates k-p before exchange. Its relative order to initial vowel/apical displacement is not uniquely determined by repka.	high for local cluster exchange	DEDR 520	f_fj4accsqwye66	Kui	dedr		(&lt;rek-p-; rekt-) to break into pieces
d695	Kui	stop-cluster-transposition	*ḍuk-p-	ḍupka	D	Original DEDR gives ḍuk-p- and past ḍukt-; source-only corrected Kui record restores the language heading lost in the database.	Suffixation precedes k-p > p-k. The initial vowel/apical prehistory is independently uncertain because short and long sweep formations coexist.	high for local cluster exchange	DEDR 695 p.68 directly checked	research:d695-kui-dupka		DEDR 695 p.68; <ḍuk-p-, past ḍukt-; https://dsal.uchicago.edu/cgi-bin/app/burrow_query.py?page=68	research-only source-verified observation	scrape together, sweep up
d710	Kui	stop-cluster-transposition	*ug-b-	ubga (&lt; ug-b-; ugd-)	D	The source gives ug-b- and past ugd-, independently identifying g before labial b. Homophonous butt ubga occurs in d706 and should not create a second automatic counting unit.	Stem plus labial formation precedes g-b > b-g. This is independent of any initial vowel/apical displacement; the latter does not occur in the attested form.	high for local morphological exchange; root cognacy with uṟu less secure	DEDR 710 p.70 and 706 p.69 directly checked	f_hkbi2vxi6hfw4	Kui	dedr		to agree with, suit, fit, fulfil. DED(S) 608
d707	Gondi	rhotic-fricative-cluster-transposition	urh- / uhr-	urh- (<i>Voc.</i> 267a)	R	The two transitive stems are given as alternatives in Gondi Koya. Related urŋg bent and southern uṟ-aŋk establish root-r before suffix material, favoring urh as earlier order.	The cluster must first arise through stem formation/syncope. Exact development of h from earlier suffix material and whether the variants are dialectal need the Gondi Vocabulary 267a original.	medium; lexical variant reversal clear, full suffix history pending	DEDR 707 p.69 directly checked	f_7sapy5asnysl4	Gondi	dedr	tr	to be bent
d707	Gondi	rhotic-fricative-cluster-transposition	urh- / uhr-	uhr- (<i>Voc.</i> 267a)	D	The two transitive stems are given as alternatives in Gondi Koya. Related urŋg bent and southern uṟ-aŋk establish root-r before suffix material, favoring urh as earlier order.	The cluster must first arise through stem formation/syncope. Exact development of h from earlier suffix material and whether the variants are dialectal need the Gondi Vocabulary 267a original.	medium; lexical variant reversal clear, full suffix history pending	DEDR 707 p.69 directly checked	f_6ehk65jzfdp7q	Gondi	dedr	tr	to bend (<i>Voc.</i> 3183)
d664	Telugu	medial-rhotic-cluster-transposition	*ur-ṇḍ / uṇḍ + r formation	uṇḍramu	A	Vowel-first urul/uruṇṭ roll/round comparanda support an earlier r before the nasal-stop, but an independent r-suffix or analogical formation after uṇḍa is not excluded.	If metathesis, medial syncope creates the r-nasal-stop cluster before r shifts right. If suffixal/analogical, no consonant reversal need have occurred.	low; competing morphology remains viable	DEDR 664 p.64 directly checked	f_shnqvq5xosxj2	Telugu	dedr		round
d664	Telugu	medial-rhotic-cluster-transposition	*ur-ṇḍ / uṇḍ + r formation	uṇḍrālu	A	Vowel-first urul/uruṇṭ roll/round comparanda support an earlier r before the nasal-stop, but an independent r-suffix or analogical formation after uṇḍa is not excluded.	If metathesis, medial syncope creates the r-nasal-stop cluster before r shifts right. If suffixal/analogical, no consonant reversal need have occurred.	low; competing morphology remains viable	DEDR 664 p.64 directly checked	f_2s4q2f6gxixo2	Telugu	dedr		round cakes prepared as an offering to Vighneswara
d931	Kui	stop-cluster-transposition	*ok-p-	opka (&lt; ok-p-; okt-)	D	Source explicitly supplies ok-p- and past okt-, independently placing velar before labial formative.	Morphological combination precedes k-p reversal; no target apical displacement is implicated.	high for local source analysis	DEDR931	f_ej6yqr6zxl3iy	Kui	dedr	noun	to remove in loads, cart; carting, cartage
