Entry_ID	Primary_Family_ID	Domain	Onset	C1_Identity	Quantity	Apical_Group	Apical_Structure	V1_Quality	Following_Vowel	Grammatical_Category	Domain_Following_Vowel	Domain_Apical_Group	Domain_V1_Quality	Telugu_Broad_Obligatory_Hypothesis	Raw_C1	Raw_C2	Raw_Quantity	Raw_V2	Raw_Structure	Input_Confidence
d228	d228	short-vowel-initial-singleton-apical	vowel-initial	Ø	short	rhotic	singleton	a	low-a	verb/noun	short-vowel-initial-singleton-apical / low-a	short-vowel-initial-singleton-apical / rhotic	short-vowel-initial-singleton-apical / a	eligible; obligatory application predicts D	Ø	r	short	a	singleton	high
d229	d229	short-vowel-initial-singleton-apical	vowel-initial	Ø	short	rhotic	singleton	a	low-a	noun/adjective	short-vowel-initial-singleton-apical / low-a	short-vowel-initial-singleton-apical / rhotic	short-vowel-initial-singleton-apical / a	eligible; obligatory application predicts D	Ø	r	short	a	singleton	high
d233	d233	short-vowel-initial-singleton-apical	vowel-initial	Ø	short	rhotic	singleton	a	mixed/unknown-formative	verb	short-vowel-initial-singleton-apical / mixed/unknown-formative	short-vowel-initial-singleton-apical / rhotic	short-vowel-initial-singleton-apical / a	eligible; obligatory application predicts D	Ø	r	short	unknown	singleton	medium
d236	d236	short-vowel-initial-singleton-apical	vowel-initial	Ø	short	lateral	singleton	a	low-a	verb/noun	short-vowel-initial-singleton-apical / low-a	short-vowel-initial-singleton-apical / lateral	short-vowel-initial-singleton-apical / a	eligible; obligatory application predicts D	Ø	l	short	a	singleton	medium
d237	d237	short-vowel-initial-singleton-apical	vowel-initial	Ø	short	lateral	singleton	a	mixed/unknown-formative	noun	short-vowel-initial-singleton-apical / mixed/unknown-formative	short-vowel-initial-singleton-apical / lateral	short-vowel-initial-singleton-apical / a	eligible; obligatory application predicts D	Ø	l	short	a/u	singleton	medium
d240	d240	short-vowel-initial-singleton-apical	vowel-initial	Ø	short	lateral	singleton	a	low-a	verb/noun	short-vowel-initial-singleton-apical / low-a	short-vowel-initial-singleton-apical / lateral	short-vowel-initial-singleton-apical / a	eligible; obligatory application predicts D	Ø	l	short	a	singleton	high
d61	d61	short-vowel-initial-singleton-apical	vowel-initial	Ø	short	retroflex-stop	singleton	a	low-a	verb	short-vowel-initial-singleton-apical / low-a	short-vowel-initial-singleton-apical / retroflex-stop	short-vowel-initial-singleton-apical / a	eligible; obligatory application predicts D	Ø	ṭ	short	a	singleton	low
d64	d64+d88	short-vowel-initial-singleton-apical	vowel-initial	Ø	short	retroflex-stop	singleton	a	low-a	noun	short-vowel-initial-singleton-apical / low-a	short-vowel-initial-singleton-apical / retroflex-stop	short-vowel-initial-singleton-apical / a	eligible; obligatory application predicts D	Ø	ṭ	short	a	singleton	high
d75	d75	short-vowel-initial-singleton-apical	vowel-initial	Ø	short	retroflex-stop	singleton	a	mixed/unknown-formative	noun	short-vowel-initial-singleton-apical / mixed/unknown-formative	short-vowel-initial-singleton-apical / retroflex-stop	short-vowel-initial-singleton-apical / a	eligible; obligatory application predicts D	Ø	ṭ	short	unknown	singleton	medium
d76	d76	short-vowel-initial-singleton-apical	vowel-initial	Ø	short	retroflex-stop	singleton	a	high-u	verb/noun	short-vowel-initial-singleton-apical / high-u	short-vowel-initial-singleton-apical / retroflex-stop	short-vowel-initial-singleton-apical / a	eligible; obligatory application predicts D	Ø	ṭ	short	u	singleton	high
d83	d83	short-strong-or-mixed-structure	vowel-initial	Ø	short	retroflex-stop	mixed/cluster/other	a	low-a	verb/noun/adjective	short-strong-or-mixed-structure / low-a	short-strong-or-mixed-structure / retroflex-stop	short-strong-or-mixed-structure / a	outside narrow classical Telugu domain; no D prediction from that rule	Ø	ṭ	short	a	singleton-and-geminate-formations	high
d84	d84	short-vowel-initial-singleton-apical	vowel-initial	Ø	short	retroflex-stop	singleton	a	low-a	verb/noun	short-vowel-initial-singleton-apical / low-a	short-vowel-initial-singleton-apical / retroflex-stop	short-vowel-initial-singleton-apical / a	eligible; obligatory application predicts D	Ø	ṭ	short	a	singleton	high
d88	d64+d88	short-vowel-initial-singleton-apical	vowel-initial	Ø	short	retroflex-stop	singleton	a	low-a	noun	short-vowel-initial-singleton-apical / low-a	short-vowel-initial-singleton-apical / retroflex-stop	short-vowel-initial-singleton-apical / a	eligible; obligatory application predicts D	Ø	ṭ	short	a	singleton	high
d89	d89	short-vowel-initial-singleton-apical	vowel-initial	Ø	short	retroflex-stop	singleton	a	low-a	noun	short-vowel-initial-singleton-apical / low-a	short-vowel-initial-singleton-apical / retroflex-stop	short-vowel-initial-singleton-apical / a	eligible; obligatory application predicts D	Ø	ṭ	short	a	singleton	low
d109	d109	nonapical-or-uncertain-input	vowel-initial	Ø	short	nonapical-or-uncertain	mixed/cluster/other	a	mixed/unknown-formative	noun/verb	nonapical-or-uncertain-input / mixed/unknown-formative	nonapical-or-uncertain-input / nonapical-or-uncertain	nonapical-or-uncertain-input / a	outside narrow classical Telugu domain; no D prediction from that rule	Ø	uncertain-apical	short	unknown	singleton/geminate/nasal-cluster-uncertain	low
d201	d201	nonapical-or-uncertain-input	consonant-initial	r	long	nonapical-or-uncertain	singleton	mixed/uncertain-vowel	low-a	noun	nonapical-or-uncertain-input / low-a	nonapical-or-uncertain-input / nonapical-or-uncertain	nonapical-or-uncertain-input / mixed/uncertain-vowel	outside narrow classical Telugu domain; no D prediction from that rule	r	j	long	a	singleton	high
d205	d205	short-vowel-initial-singleton-apical	vowel-initial	Ø	short	rhotic	singleton	a	mixed/unknown-formative	noun	short-vowel-initial-singleton-apical / mixed/unknown-formative	short-vowel-initial-singleton-apical / rhotic	short-vowel-initial-singleton-apical / a	eligible; obligatory application predicts D	Ø	r	short	unknown	singleton	low
d207	d207	short-vowel-initial-singleton-apical	vowel-initial	Ø	short	rhotic	singleton	a	mixed/unknown-formative	verb/noun	short-vowel-initial-singleton-apical / mixed/unknown-formative	short-vowel-initial-singleton-apical / rhotic	short-vowel-initial-singleton-apical / a	eligible; obligatory application predicts D	Ø	r	short	i/a	singleton	medium
d216	d216	short-vowel-initial-singleton-apical	vowel-initial	Ø	short	rhotic	singleton	a	high-i	noun/verb	short-vowel-initial-singleton-apical / high-i	short-vowel-initial-singleton-apical / rhotic	short-vowel-initial-singleton-apical / a	eligible; obligatory application predicts D	Ø	r	short	i	singleton	low
d222	d222	short-vowel-initial-singleton-apical	vowel-initial	Ø	short	rhotic	singleton	a	mixed/unknown-formative	verb/noun	short-vowel-initial-singleton-apical / mixed/unknown-formative	short-vowel-initial-singleton-apical / rhotic	short-vowel-initial-singleton-apical / a	eligible; obligatory application predicts D	Ø	r	short	u/i	singleton	high
d227	d227	short-vowel-initial-singleton-apical	vowel-initial	Ø	short	rhotic	singleton	a	high-u	noun/verb	short-vowel-initial-singleton-apical / high-u	short-vowel-initial-singleton-apical / rhotic	short-vowel-initial-singleton-apical / a	eligible; obligatory application predicts D	Ø	r	short	u	singleton	high
d232	d232	short-strong-or-mixed-structure	vowel-initial	Ø	short	rhotic	mixed/cluster/other	a	mixed/unknown-formative	verb/noun	short-strong-or-mixed-structure / mixed/unknown-formative	short-strong-or-mixed-structure / rhotic	short-strong-or-mixed-structure / a	outside narrow classical Telugu domain; no D prediction from that rule	Ø	r	short	unknown	cluster-or-syncopated-unknown	low
d244	d244	short-vowel-initial-singleton-apical	vowel-initial	Ø	short	lateral	singleton	a	mixed/unknown-formative	noun	short-vowel-initial-singleton-apical / mixed/unknown-formative	short-vowel-initial-singleton-apical / lateral	short-vowel-initial-singleton-apical / a	eligible; obligatory application predicts D	Ø	l	short	a/u	singleton	low
d245	d245	short-vowel-initial-singleton-apical	vowel-initial	Ø	short	lateral	singleton	a	low-a	verb/noun	short-vowel-initial-singleton-apical / low-a	short-vowel-initial-singleton-apical / lateral	short-vowel-initial-singleton-apical / a	eligible; obligatory application predicts D	Ø	l	short	a	singleton	high
d246	d246	short-vowel-initial-singleton-apical	vowel-initial	Ø	short	lateral	singleton	a	mixed/unknown-formative	verb/noun	short-vowel-initial-singleton-apical / mixed/unknown-formative	short-vowel-initial-singleton-apical / lateral	short-vowel-initial-singleton-apical / a	eligible; obligatory application predicts D	Ø	l	short	a/u	singleton	high
d247	d247	short-vowel-initial-singleton-apical	vowel-initial	Ø	short	lateral	singleton	a	low-a	verb/noun	short-vowel-initial-singleton-apical / low-a	short-vowel-initial-singleton-apical / lateral	short-vowel-initial-singleton-apical / a	eligible; obligatory application predicts D	Ø	l	short	a	singleton	high
d248	d248	short-vowel-initial-singleton-apical	vowel-initial	Ø	short	lateral	singleton	a	low-a	noun/verb	short-vowel-initial-singleton-apical / low-a	short-vowel-initial-singleton-apical / lateral	short-vowel-initial-singleton-apical / a	eligible; obligatory application predicts D	Ø	l	short	a	singleton	medium
d249	d249	short-vowel-initial-singleton-apical	vowel-initial	Ø	short	lateral	singleton	a	low-a	verb/noun	short-vowel-initial-singleton-apical / low-a	short-vowel-initial-singleton-apical / lateral	short-vowel-initial-singleton-apical / a	eligible; obligatory application predicts D	Ø	l	short	a	singleton	low
d259	d259+d260	short-vowel-initial-singleton-apical	vowel-initial	Ø	short	lateral	singleton	a	consonantal/no-vowel	noun	short-vowel-initial-singleton-apical / consonantal/no-vowel	short-vowel-initial-singleton-apical / lateral	short-vowel-initial-singleton-apical / a	eligible; obligatory application predicts D	Ø	l	short	Ø	singleton	medium
d260	d259+d260	short-strong-or-mixed-structure	vowel-initial	Ø	short	lateral	mixed/cluster/other	a	consonantal/no-vowel	verb/noun	short-strong-or-mixed-structure / consonantal/no-vowel	short-strong-or-mixed-structure / lateral	short-strong-or-mixed-structure / a	outside narrow classical Telugu domain; no D prediction from that rule	Ø	l	short	Ø	singleton-and-geminate-formations	high
d276	d276	short-vowel-initial-singleton-apical	vowel-initial	Ø	short	retroflex-approximant	singleton	a	mixed/unknown-formative	verb/noun	short-vowel-initial-singleton-apical / mixed/unknown-formative	short-vowel-initial-singleton-apical / retroflex-approximant	short-vowel-initial-singleton-apical / a	eligible; obligatory application predicts D	Ø	ẓ	short	a/u	singleton	high
d277	d277	short-vowel-initial-singleton-apical	vowel-initial	Ø	short	retroflex-approximant	singleton	a	high-i	verb/noun	short-vowel-initial-singleton-apical / high-i	short-vowel-initial-singleton-apical / retroflex-approximant	short-vowel-initial-singleton-apical / a	eligible; obligatory application predicts D	Ø	ẓ	short	i	singleton	high
d281	d281	short-vowel-initial-singleton-apical	vowel-initial	Ø	short	retroflex-approximant	singleton	a	high-i	noun/verb	short-vowel-initial-singleton-apical / high-i	short-vowel-initial-singleton-apical / retroflex-approximant	short-vowel-initial-singleton-apical / a	eligible; obligatory application predicts D	Ø	ẓ	short	i	singleton	high
d282	d282	short-vowel-initial-singleton-apical	vowel-initial	Ø	short	retroflex-approximant	singleton	a	mixed/unknown-formative	verb/noun	short-vowel-initial-singleton-apical / mixed/unknown-formative	short-vowel-initial-singleton-apical / retroflex-approximant	short-vowel-initial-singleton-apical / a	eligible; obligatory application predicts D	Ø	ẓ	short	u/a	singleton	high
d285	d285	short-vowel-initial-singleton-apical	vowel-initial	Ø	short	retroflex-approximant	singleton	a	high-u	verb/noun	short-vowel-initial-singleton-apical / high-u	short-vowel-initial-singleton-apical / retroflex-approximant	short-vowel-initial-singleton-apical / a	eligible; obligatory application predicts D	Ø	ẓ	short	u	singleton	high
d295	d291+d295	short-vowel-initial-singleton-apical	vowel-initial	Ø	short	lateral	singleton	a	low-a	verb/noun	short-vowel-initial-singleton-apical / low-a	short-vowel-initial-singleton-apical / lateral	short-vowel-initial-singleton-apical / a	eligible; obligatory application predicts D	Ø	ḷ	short	a	singleton	high
d296	d296	short-vowel-initial-singleton-apical	vowel-initial	Ø	short	lateral	singleton	a	low-a	verb	short-vowel-initial-singleton-apical / low-a	short-vowel-initial-singleton-apical / lateral	short-vowel-initial-singleton-apical / a	eligible; obligatory application predicts D	Ø	ḷ	short	a	singleton	high
d298	d298	short-vowel-initial-singleton-apical	vowel-initial	Ø	short	lateral	singleton	a	mixed/unknown-formative	noun/adjective	short-vowel-initial-singleton-apical / mixed/unknown-formative	short-vowel-initial-singleton-apical / lateral	short-vowel-initial-singleton-apical / a	eligible; obligatory application predicts D	Ø	ḷ	short	a/u	singleton	medium
d299	d299	short-vowel-initial-singleton-apical	vowel-initial	Ø	short	lateral	singleton	a	low-a	noun	short-vowel-initial-singleton-apical / low-a	short-vowel-initial-singleton-apical / lateral	short-vowel-initial-singleton-apical / a	eligible; obligatory application predicts D	Ø	ḷ	short	a	singleton	high
d301	d301	short-vowel-initial-singleton-apical	vowel-initial	Ø	short	lateral	singleton	a	high-i	verb/noun	short-vowel-initial-singleton-apical / high-i	short-vowel-initial-singleton-apical / lateral	short-vowel-initial-singleton-apical / a	eligible; obligatory application predicts D	Ø	ḷ	short	i	singleton	high
d303	d303	short-vowel-initial-singleton-apical	vowel-initial	Ø	short	lateral	singleton	a	mixed/unknown-formative	noun	short-vowel-initial-singleton-apical / mixed/unknown-formative	short-vowel-initial-singleton-apical / lateral	short-vowel-initial-singleton-apical / a	eligible; obligatory application predicts D	Ø	ḷ	short	a/i	singleton	medium
d304	d304	short-vowel-initial-singleton-apical	vowel-initial	Ø	short	lateral	singleton	a	mixed/unknown-formative	verb/noun	short-vowel-initial-singleton-apical / mixed/unknown-formative	short-vowel-initial-singleton-apical / lateral	short-vowel-initial-singleton-apical / a	eligible; obligatory application predicts D	Ø	ḷ	short	u/a	singleton	medium
d305	d305	short-vowel-initial-singleton-apical	vowel-initial	Ø	short	lateral	singleton	a	mixed/unknown-formative	verb	short-vowel-initial-singleton-apical / mixed/unknown-formative	short-vowel-initial-singleton-apical / lateral	short-vowel-initial-singleton-apical / a	eligible; obligatory application predicts D	Ø	l/ḷ	short	unknown	singleton	medium
d314	d314	short-vowel-initial-singleton-apical	vowel-initial	Ø	short	alveolar	singleton	a	mixed/unknown-formative	verb/noun	short-vowel-initial-singleton-apical / mixed/unknown-formative	short-vowel-initial-singleton-apical / alveolar	short-vowel-initial-singleton-apical / a	eligible; obligatory application predicts D	Ø	ṯ	short	unknown	singleton	high
d321	d321	short-vowel-initial-singleton-apical	vowel-initial	Ø	short	alveolar	singleton	a	low-a	noun	short-vowel-initial-singleton-apical / low-a	short-vowel-initial-singleton-apical / alveolar	short-vowel-initial-singleton-apical / a	eligible; obligatory application predicts D	Ø	ṯ	short	a	singleton	high
d203	d203	short-vowel-initial-singleton-apical	vowel-initial	Ø	short	rhotic	singleton	a	low-a	noun	short-vowel-initial-singleton-apical / low-a	short-vowel-initial-singleton-apical / rhotic	short-vowel-initial-singleton-apical / a	eligible; obligatory application predicts D	Ø	r	short	a	singleton	medium
d211	d211	short-vowel-initial-singleton-apical	vowel-initial	Ø	short	rhotic	singleton	a	low-a	noun	short-vowel-initial-singleton-apical / low-a	short-vowel-initial-singleton-apical / rhotic	short-vowel-initial-singleton-apical / a	eligible; obligatory application predicts D	Ø	r	short	a	singleton	medium
d215	d215	short-vowel-initial-singleton-apical	vowel-initial	Ø	short	rhotic	singleton	a	high-i	noun	short-vowel-initial-singleton-apical / high-i	short-vowel-initial-singleton-apical / rhotic	short-vowel-initial-singleton-apical / a	eligible; obligatory application predicts D	Ø	r	short	i	singleton	medium
d241	d241	short-strong-or-mixed-structure	vowel-initial	Ø	short	lateral	mixed/cluster/other	a	low-a	noun	short-strong-or-mixed-structure / low-a	short-strong-or-mixed-structure / lateral	short-strong-or-mixed-structure / a	outside narrow classical Telugu domain; no D prediction from that rule	Ø	l	short	a	singleton-and-geminate-formations	low
d242	d242	short-vowel-initial-singleton-apical	vowel-initial	Ø	short	lateral	singleton	a	low-a	noun	short-vowel-initial-singleton-apical / low-a	short-vowel-initial-singleton-apical / lateral	short-vowel-initial-singleton-apical / a	eligible; obligatory application predicts D	Ø	l	short	a	singleton	medium
d256	d256	short-strong-or-mixed-structure	vowel-initial	Ø	short	lateral	geminate	a	high-i	noun	short-strong-or-mixed-structure / high-i	short-strong-or-mixed-structure / lateral	short-strong-or-mixed-structure / a	outside narrow classical Telugu domain; no D prediction from that rule	Ø	l	short	i	geminate	high
d257	d257	short-strong-or-mixed-structure	vowel-initial	Ø	short	lateral	mixed/cluster/other	a	mixed/unknown-formative	noun	short-strong-or-mixed-structure / mixed/unknown-formative	short-strong-or-mixed-structure / lateral	short-strong-or-mixed-structure / a	outside narrow classical Telugu domain; no D prediction from that rule	Ø	l	short	i/a	singleton-and-geminate-formations	medium
d291	d291+d295	short-vowel-initial-singleton-apical	vowel-initial	Ø	short	lateral	singleton	a	low-a	noun/adjective	short-vowel-initial-singleton-apical / low-a	short-vowel-initial-singleton-apical / lateral	short-vowel-initial-singleton-apical / a	eligible; obligatory application predicts D	Ø	ḷ	short	a	singleton	high
d306	d306	short-vowel-initial-singleton-apical	vowel-initial	Ø	short	lateral	singleton	a	high-u	verb/noun	short-vowel-initial-singleton-apical / high-u	short-vowel-initial-singleton-apical / lateral	short-vowel-initial-singleton-apical / a	eligible; obligatory application predicts D	Ø	ḷ	short	u	singleton	high
d307	d307	short-vowel-initial-singleton-apical	vowel-initial	Ø	short	lateral	singleton	a	mixed/unknown-formative	verb/noun	short-vowel-initial-singleton-apical / mixed/unknown-formative	short-vowel-initial-singleton-apical / lateral	short-vowel-initial-singleton-apical / a	eligible; obligatory application predicts D	Ø	ḷ	short	unknown	singleton	medium
d308	d308	short-vowel-initial-singleton-apical	vowel-initial	Ø	short	lateral	singleton	a	low-a	noun	short-vowel-initial-singleton-apical / low-a	short-vowel-initial-singleton-apical / lateral	short-vowel-initial-singleton-apical / a	eligible; obligatory application predicts D	Ø	ḷ	short	a	singleton	high
d310	d310	short-vowel-initial-singleton-apical	vowel-initial	Ø	short	alveolar	singleton	a	low-a	noun	short-vowel-initial-singleton-apical / low-a	short-vowel-initial-singleton-apical / alveolar	short-vowel-initial-singleton-apical / a	eligible; obligatory application predicts D	Ø	ṯ	short	a	singleton	medium
d313	d313	short-vowel-initial-singleton-apical	vowel-initial	Ø	short	rhotic-or-alveolar	singleton	a	mixed/unknown-formative	proper noun/ethnonym	short-vowel-initial-singleton-apical / mixed/unknown-formative	short-vowel-initial-singleton-apical / rhotic-or-alveolar	short-vowel-initial-singleton-apical / a	eligible; obligatory application predicts D	Ø	r/ṟ	short	u/a	singleton	low
d315	d315	short-vowel-initial-singleton-apical	vowel-initial	Ø	short	alveolar	singleton	a	high-u	verb/noun	short-vowel-initial-singleton-apical / high-u	short-vowel-initial-singleton-apical / alveolar	short-vowel-initial-singleton-apical / a	eligible; obligatory application predicts D	Ø	ṯ	short	u	singleton	high
d316	d316	short-vowel-initial-singleton-apical	vowel-initial	Ø	short	alveolar	singleton	a	mixed/unknown-formative	verb/noun	short-vowel-initial-singleton-apical / mixed/unknown-formative	short-vowel-initial-singleton-apical / alveolar	short-vowel-initial-singleton-apical / a	eligible; obligatory application predicts D	Ø	ṯ	short	u/a	singleton	high
d317	d317	short-vowel-initial-singleton-apical	vowel-initial	Ø	short	alveolar	singleton	a	high-u	verb/noun	short-vowel-initial-singleton-apical / high-u	short-vowel-initial-singleton-apical / alveolar	short-vowel-initial-singleton-apical / a	eligible; obligatory application predicts D	Ø	ṯ	short	u	singleton	medium
d318	d318	short-vowel-initial-singleton-apical	vowel-initial	Ø	short	alveolar	singleton	a	mixed/unknown-formative	noun	short-vowel-initial-singleton-apical / mixed/unknown-formative	short-vowel-initial-singleton-apical / alveolar	short-vowel-initial-singleton-apical / a	eligible; obligatory application predicts D	Ø	ṯ	short	u/a/i	singleton	medium
d319	d319	short-vowel-initial-singleton-apical	vowel-initial	Ø	short	alveolar	singleton	a	low-a	verb/noun	short-vowel-initial-singleton-apical / low-a	short-vowel-initial-singleton-apical / alveolar	short-vowel-initial-singleton-apical / a	eligible; obligatory application predicts D	Ø	ṯ	short	a	singleton	high
d322	d322	short-strong-or-mixed-structure	vowel-initial	Ø	short	alveolar	mixed/cluster/other	a	low-a	noun	short-strong-or-mixed-structure / low-a	short-strong-or-mixed-structure / alveolar	short-strong-or-mixed-structure / a	outside narrow classical Telugu domain; no D prediction from that rule	Ø	ṯ	short	a	singleton-and-geminate-formations	high
d328	d328	nasal-or-nasal-cluster-input	vowel-initial	Ø	short	nasal	singleton	a	mixed/unknown-formative	adjective/noun	nasal-or-nasal-cluster-input / mixed/unknown-formative	nasal-or-nasal-cluster-input / nasal	nasal-or-nasal-cluster-input / a	outside narrow classical Telugu domain; no D prediction from that rule	Ø	n	short	u/a	singleton	medium
d329	d329	nasal-or-nasal-cluster-input	vowel-initial	Ø	short	nasal	singleton	a	high-u	verb/noun	nasal-or-nasal-cluster-input / high-u	nasal-or-nasal-cluster-input / nasal	nasal-or-nasal-cluster-input / a	outside narrow classical Telugu domain; no D prediction from that rule	Ø	n	short	u	singleton	high
d432	d432	short-vowel-initial-singleton-apical	vowel-initial	Ø	short	retroflex-stop	singleton	i	mixed/unknown-formative	verb/noun	short-vowel-initial-singleton-apical / mixed/unknown-formative	short-vowel-initial-singleton-apical / retroflex-stop	short-vowel-initial-singleton-apical / i	eligible; obligatory application predicts D	Ø	ṭ	short	i/a	singleton	high
d434	d434+d448	short-vowel-initial-singleton-apical	vowel-initial	Ø	short	retroflex-stop	singleton	i	low-a	noun	short-vowel-initial-singleton-apical / low-a	short-vowel-initial-singleton-apical / retroflex-stop	short-vowel-initial-singleton-apical / i	eligible; obligatory application predicts D	Ø	ṭ	short	a	singleton	high
d435	d435	short-vowel-initial-singleton-apical	vowel-initial	Ø	short	retroflex-stop	singleton	i	mixed/unknown-formative	noun/verb	short-vowel-initial-singleton-apical / mixed/unknown-formative	short-vowel-initial-singleton-apical / retroflex-stop	short-vowel-initial-singleton-apical / i	eligible; obligatory application predicts D	Ø	ṭ	short	a/u	singleton	medium
d437	d437	short-vowel-initial-singleton-apical	vowel-initial	Ø	short	retroflex-stop	singleton	i	low-a	verb	short-vowel-initial-singleton-apical / low-a	short-vowel-initial-singleton-apical / retroflex-stop	short-vowel-initial-singleton-apical / i	eligible; obligatory application predicts D	Ø	ṭ	short	a	singleton	medium
d439	d439	short-vowel-initial-singleton-apical	vowel-initial	Ø	short	retroflex-stop	singleton	i	high-i	noun	short-vowel-initial-singleton-apical / high-i	short-vowel-initial-singleton-apical / retroflex-stop	short-vowel-initial-singleton-apical / i	eligible; obligatory application predicts D	Ø	ṭ	short	i	singleton	high
d442	d442	short-vowel-initial-singleton-apical	vowel-initial	Ø	short	retroflex-stop	singleton	i	high-u	verb/noun	short-vowel-initial-singleton-apical / high-u	short-vowel-initial-singleton-apical / retroflex-stop	short-vowel-initial-singleton-apical / i	eligible; obligatory application predicts D	Ø	ṭ	short	u	singleton	high
d443	d443	short-vowel-initial-singleton-apical	vowel-initial	Ø	short	retroflex-stop	singleton	i	high-i	verb/noun	short-vowel-initial-singleton-apical / high-i	short-vowel-initial-singleton-apical / retroflex-stop	short-vowel-initial-singleton-apical / i	eligible; obligatory application predicts D	Ø	ṭ	short	i	singleton	high
d445	d445	short-strong-or-mixed-structure	vowel-initial	Ø	short	retroflex-stop	geminate	i	low-a	adjective/noun/verb	short-strong-or-mixed-structure / low-a	short-strong-or-mixed-structure / retroflex-stop	short-strong-or-mixed-structure / i	outside narrow classical Telugu domain; no D prediction from that rule	Ø	ṭ	short	a	geminate	high
d446	d446	short-vowel-initial-singleton-apical	vowel-initial	Ø	short	retroflex-stop	singleton	i	low-a	verb/adjective	short-vowel-initial-singleton-apical / low-a	short-vowel-initial-singleton-apical / retroflex-stop	short-vowel-initial-singleton-apical / i	eligible; obligatory application predicts D	Ø	ṭ	short	a	singleton	high
d447	d447	short-vowel-initial-singleton-apical	vowel-initial	Ø	short	retroflex-stop	singleton	i	low-a	verb	short-vowel-initial-singleton-apical / low-a	short-vowel-initial-singleton-apical / retroflex-stop	short-vowel-initial-singleton-apical / i	eligible; obligatory application predicts D	Ø	ṭ	short	a	singleton	medium
d448	d434+d448	short-vowel-initial-singleton-apical	vowel-initial	Ø	short	retroflex-stop	singleton	i	low-a	noun	short-vowel-initial-singleton-apical / low-a	short-vowel-initial-singleton-apical / retroflex-stop	short-vowel-initial-singleton-apical / i	eligible; obligatory application predicts D	Ø	ṭ	short	a	singleton	high
