Form_ID	Entry_ID	Issue	Disposition	Evidence
f_jceeymrnocioy;f_pskgs2dzlcqic	d257	Botanical gloss parsed as form or appended to form	Exclude bare Memecylon; recover Tulu alimārɯ only as a source-labeled research annotation	DEDR p.24 prints Tu. alimarů, alimārů Memecylon
f_m4xkfhgr6osde;f_dax24yy2mjr2q	d308	Kurub. language heading parsed as Malayalam form; following aḷe mislabeled Malayalam	aḷe is Kuruba (LSB 1.11), exact Jambu language ID to resolve; heading fragment excluded	Original DEDR p.29 explicitly labels Kurub. (LSB 1.11) aḷe hole
f_5lyxsgnsmc5z4;f_utlcofw7ovbqu	d310	Kolami ārankei and editorial n-not-ŋ comment split into lexical fragments	Recover ārankei as source form; isolated ŋ is not an attestation	DEDR p.29: Kol. (SR.) ārankei (n, not ŋ), (Hislop) árungkei
f_x7smouaxgvw5u	d236	Editorial prose parsed as Malto lexical record	Do not use as Malto attestation or a reconstruction witness	Gloss explicitly discusses the convergence of two Tamil roots; DEDR 236/240
f_ycboqqa34f6pa	d88	Botanical Latin parsed as Kannada	Exclude from lexical evidence; retain raw record in appendix	Areca catecʰu plus continuation of italic species gloss
f_pxzkpsn2ogcei	d244	Botanical Latin parsed as Kannada	Exclude from lexical evidence; retain raw record in appendix	Alysicarpus plus continuation of italic species gloss
f_eq5bsq6jp4ujm	d83	Light verb extracted as standalone root cognate	Keep construction context; not a reflex of the obstruction root	Kuvi addu ānai/kīnai light-verb expression in DEDR 83
f_gnijejgj2azew;f_urisgmhctnpv4;f_pl35jhsbdizp2	d3115	Reconstructed initials and an editorial alternative comparison parsed as Kui forms	Exclude these fragments from lexical outcomes; preserve raw rows	DEDR3115 row gloss explicitly says on the assumption of original initial; *c/*t are reconstruction fragments
f_5uyyv3lfyn4za;f_ecdu4ryu2ioss	d4716	Badaga home compounds linked to an emetic-nut tree entry	Do not use as plant cognates; alternative intended DEDR root requires source review	Source glosses natal-home visit and funeral house; Hockings/Pilot-Raichoor1992 pp.458,204; imported Etymology cites4716
f_3vyangtlizprs;f_drdkfloiennjk;f_4vemxvy7keywc;f_r7vaevbwexzfy	d5372	HTML arrow and source-label fragments parsed as Telugu/Gondi forms	Exclude from lexical evidence; atuku remains A until original display is checked	Original b(r)&lt and -&gt are damaged editorial notation; LSI and Maria of Bastar are source headings
f_36i43w5b54vmc	d4395	Long louse *pēn reconstruction crosslinked to another etymon	Use actual louse4449 comparison; do not let wrong head define reconstructed input	DEDR4449 full comparative panel versus unrelated4395 head linkage
d698	d698	Old Telugu oḷana locative may rest on a superseded inscription reading	Retain raw record but classify alleged early locative A until inscription identity is established	Sastri1969 p.285 n.1 and DHARMA00099 read ēḷan/ēḷaN instead of earlier oḷana
d513	d513	DHARMA40 long vowel in ḷēnṟu is partly inferred from metathesis theory	Initial lateral is usable evidence; long quantity cannot independently validate the same theory	DHARMA00040 apparatus and commentary compare older ḷenṟu; photograph not newly checked
