Entry_ID	Screen	Has_Telugu	Review_Status	Displayed_Input	Evidence_IDs	Independent_Screen_Forms
d101	consonant-initial-short-nonnasal-apical	0	pending	aṭ	f_edi477uotc7cy;f_em7tunilfbsdw;f_evitarwzfrfcc;f_fxlwfqh32knl4;f_it2ul2d4hyfy6;f_ktmydtvhicmnw;f_liuxeut5hakew;f_tqndnfbfgmf3u	Badaga: haṭtṭtu | Badaga: haṭttu | Badaga: Hulihattu Diṭtu | Badaga: Huliyaṭtu | Badaga: Kalḷihaṭṭu Bettu | Badaga: Bareyattu Haḷḷa | Badaga: Hulihaṭṭtu Haḷḷa | Badaga: Huliyaṭttu Haḷḷa
d119	consonant-initial-short-nonnasal-apical	0	pending	*kapp-al	f_rl4vy2bl7j2w2	Kannada: Terminalia cʰebula
d122	consonant-initial-short-nonnasal-apical	1	pending	aṇai	f_xetj57p453dxs	Badaga: Teraṇe Haḷḷa
d128	consonant-initial-short-nonnasal-apical	0	pending	andipunāru-mara	f_b7pelrmtgzd5e	Kannada: Carallia integerrima
d131	consonant-initial-short-nonnasal-apical	1	pending	*aṇṇa-	f_uokt5qh5y2j4o	Badaga: bala anna
d156	consonant-initial-short-nonnasal-apical	1	pending	*appa-	f_g6jirnsgdv25w;f_pytr6qnutqgde;f_w75hrvanewswe	Badaga: beḷḷappa | Badaga: bala appa | Badaga: Kuruda Hettappa
d174	consonant-initial-short-nonnasal-apical	1	pending	*amp-ali	f_slffwum7pxzf2	Kolami: vallambā
d178	consonant-initial-short-nonnasal-apical	1	pending	*amb-	f_aosefvy3aewok	Badaga: Selambaṭtṭti Bettu
d183	consonant-initial-short-nonnasal-apical	1	pending	*amm-a	f_6vxgtecnmlc5i;f_bvaxex4ndbxry;f_g4zqoc2j7364w;f_n7cxmhco5tpae;f_pgpsdgk552uy4;f_r5qw73mpfowxc;f_ubecpfuyv2zrs;f_zduhivgw3i7d2	Badaga: bala amme | Badaga: Pariyamma | Badaga: Doḷḷatiamma | Badaga: Girijimādi | Badaga: Nallamma | Badaga: Maleya Mādappa | Badaga: Girijamma | Badaga: kaṭtikal Māriamma
d195	consonant-initial-short-nonnasal-apical	0	pending	ayk	f_fot53tn4qygfs	Gadaba: koṟṟalu [i.e. Setaria italica]. [
d196	consonant-initial-short-nonnasal-apical	1	pending	*ája-	f_bcosgykqrgnos;f_dsmdkosigicoc;f_ijdltwkwb2zsg;f_pzeiup4q4zpq2;f_z3elknwta6xvc	Badaga: Siringayya | Badaga: Serangayya | Badaga: Gurubijjayya
d201	consonant-initial-short-nonnasal-apical	1	reviewed	aracaṉ	f_lmw2m3epob6wk	Badaga: Nelliā}ḷa
d209	consonant-initial-short-nonnasal-apical	0	pending	aralai	f_jpfnrrywph7n6	Badaga: koṭṭi
d212	consonant-initial-short-nonnasal-apical	0	pending	*ar-	f_p3tu2rzjsa5nm;f_wrwmeqzh2mod6;f_zpof774dvosry	Badaga: hari | Badaga: kaḷlḷa ari
d215	consonant-initial-short-nonnasal-apical	1	reviewed	ari	f_eewkd47rdyhq4;f_i6bggwmprpf7o;f_qz5vynyyvtcfc	Tulu: Bel. (LSB | Badaga: nellakki | Badaga: beḷḷakki
d220	consonant-initial-short-nonnasal-apical	0	pending	aricaṉam	f_uapzzxagrxqss	Kannada: Curcuma longa
d224	consonant-initial-short-nonnasal-apical	0	pending	arumpu	f_hxlcab7ckfy4a	Badaga: Beḷḷarambu Haḷḷa
d226	consonant-initial-short-nonnasal-apical	0	pending	aruvu	f_yao47eoaw63ze	Malayalam: Kurub. (LSB
d234	consonant-initial-short-nonnasal-apical	0	pending	*al-	f_a4apxzkhtycjq;f_alz5w6dkr76dg	Gondi: hal | Gondi: hallē
d235	consonant-initial-short-nonnasal-apical	0	pending	*jal-	d235;f_rbyqm2vxzvoza	PDr: *jal-
d239	consonant-initial-short-nonnasal-apical	0	pending	alaku	f_5q727duxcetos	Kannada: halaku
d242	consonant-initial-short-nonnasal-apical	1	reviewed	alaśaṇṭa	f_d2ml5hgtgcgcg;f_r2ibwhzctmxp2;f_yc5x4flmsczgk	Tulu: Dolicʰos catjang | Malayalam: halasande | Malayalam: halasandi
d252	consonant-initial-short-nonnasal-apical	0	pending	alku	f_xnvm2oqcipmxu	Tamil: nalkūr
d256	consonant-initial-short-nonnasal-apical	1	reviewed	alli	f_usbuypsdcge2k	Tamil: pulli
d264	consonant-initial-short-nonnasal-apical	0	pending	avarai	f_3qxvzi3zqgoay;f_ospzv6rsnxaao	Badaga: taragini avare | Badaga: moravare
d273	consonant-initial-short-nonnasal-apical	1	pending	*ávai	f_4iqqstlk34mus	Badaga: bala auve
d282	consonant-initial-short-nonnasal-apical	1	reviewed	*jeẓ-	d282;f_5bz5gutz5hpzs;f_mbq7gr3ziztb2	PDr: *jeẓ- | PDr: *jeẓái-
d296	consonant-initial-short-nonnasal-apical	1	reviewed	*aḷ-a-	f_eltwxsk5sev6e	Brahui: halling (present halē-, imper. haṛ̆ẖ, past halk-)
d306	consonant-initial-short-nonnasal-apical	1	reviewed	*nari-(kkV)	d306;f_h7k225qhqedsc	PDr: *nari-(kkV)
d308	consonant-initial-short-nonnasal-apical	1	reviewed	**aḷVppV	f_dax24yy2mjr2q	Malayalam: Kurub. (LSB
d314	consonant-initial-short-nonnasal-apical	1	reviewed	*aṯ-V-	f_2z37k4bb3j7qm;f_4qkatsjekodm6;f_feeucghr7ru52;f_kriaglsjkfqzm;f_zlwwt6o6ltla6	Badaga: harisu | Brahui: harrifing
d315	consonant-initial-short-nonnasal-apical	1	reviewed	*aru-	f_g2q3etmki5n6i;f_gn5sbq34mv5lc	Badaga: harakada | Brahui: harring
d321	consonant-initial-short-nonnasal-apical	1	reviewed	aṟai	f_af5ysw2lfpski;f_gsb5jctko47no;f_hrcblykq2tapk;f_ip6aqi4ur2xii;f_j7okvztj6wkfe;f_mcbqog3espxsw;f_uob3v5mf7b7p4	Badaga: Beḷḷarekombe | Badaga: Talepattaremandu | Badaga: Hulivare | Badaga: Koraliare Bettu | Badaga: Kaṭttare Bettu | Badaga: Koleyare | Badaga: Beḷḷare
d333	consonant-initial-short-nonnasal-apical	1	pending	*ā-	f_onxulqijrzd7k;f_ukpephmguahqi;f_xkeymsveogb76	Badaga: baṭṭe ikku | Badaga: kalaga hāku | Kota: gerunds a·ṛy
d347	consonant-initial-short-nonnasal-apical	1	pending	*āṭ-u	f_635wysjkjrqmu;f_6cqkp63ovyjg2;f_7k6hqwpleo4we;f_elkab44s5mnqk;f_g7f3xamsghdyk;f_jyi7v6wpwkuhw;f_qwkeyj5ocayn6;f_sccovuwv5samc;f_shdjgjceqzq2y;f_sj5tf5shvxmoq;f_vnaqu6s6t4mly;f_y3p5qz6eltn7w	Badaga: selkāṭa | Badaga: beṭtṭtu kanāṭa guppāṭa sungāṭa | Badaga: hiḷḷāṭa | Badaga: kore āṭa | Badaga: Koraḷavādi | Badaga: karumāqdi | Badaga: beṭṭu kanāṭa | Badaga: galātṭa | Badaga: taḷḷāta | Badaga: meṭṭāṭta | Badaga: huli āṭta | Badaga: beṭṭtu kanāṭa sungāṭa
d361	consonant-initial-short-nonnasal-apical	0	pending	a·mi·r giṛv	f_2bhkraosa2d5g	Badaga: mola
d365	consonant-initial-short-nonnasal-apical	0	pending	āyiṉi	f_5v7yai2fstccs	Malayalam: hirsuta
d368	consonant-initial-short-nonnasal-apical	1	pending	*ār-āy	f_g2urub5th2j3e	Badaga: Baraḷiyar
d382	consonant-initial-short-nonnasal-apical	0	pending	*āl	f_3mtkdkyutkpas;f_fdhfnjxnh2olo;f_iu6e3wpoydtty;f_juqijo3xeps6e;f_lk53lhvjsvd3s;f_wfscfolpd4vd6;f_zcdne2beems3q	Gondi: barēlī | Gondi: berelī | Gondi: berel | Gondi: birelī
d389	consonant-initial-short-nonnasal-apical	1	pending	*tūmpu	f_isbvmbbcpjjbm	Badaga: haṭttane
d396	consonant-initial-short-nonnasal-apical	1	pending	āṛ̆	f_a2zir4cykrekw	Badaga: Nelliā}ḷa
d410	consonant-initial-short-nonnasal-apical	1	reviewed	*iH-	f_cboq2rvd5pfpk;f_iwdm7ywkawboq;f_m6w32prxiobli;f_whepprovh47qq	Tulu: muḷta | Tulu: muḷḷa | Tulu: muḷpa | Tulu: muḷḷu
d421	consonant-initial-short-nonnasal-apical	0	pending	icaŋku	f_2cj7bg4xe7lgs	PSD1: *muṭ-caŋku
d425	consonant-initial-short-nonnasal-apical	0	pending	is- (-t-)	f_u7s6jvivoofi6	Kuwi: daṛata sīle ihimū
d446	consonant-initial-short-nonnasal-apical	1	reviewed	*eḍ-	f_t526yjyufjkhw;f_zl6mssudqcdf6	Brahui: haṛsēnging | Brahui: haṛsēfing
d449	consonant-initial-short-nonnasal-apical	1	reviewed	*iṭai	f_ktzb432xosdku;f_ywkr2mnjklhhm	Tulu: yaḍambu | Tulu: yaḍa
d471	consonant-initial-short-nonnasal-apical	1	pending	iyal	f_34wuvrsm5pt4k;f_3nuytyw4tovdq;f_d67g2ajfwtiwa;f_jogzwlsxdsu4k;f_mrskq6jzbqs7o;f_pdl7c5blap57c	Badaga: Karimorahaṭtṭi | Badaga: Billimorahāda | Badaga: mora jōṇi | Badaga: mora koṭṭi | Badaga: mora sandu hakkilu | Badaga: Beḷḷimorahāda
d474	consonant-initial-short-nonnasal-apical	1	reviewed	*īr	f_4xs4whejdseva;f_ygo3rq55sfapm	markodi: daḍ | Naikri: balg-eṛ
d483	consonant-initial-short-nonnasal-apical	1	reviewed	īṭṭi	f_5ssd7nxa5lmgs	Tulu: kari-bīṭi
d484	consonant-initial-short-nonnasal-apical	1	reviewed	*irs-u	f_usg3qyovvr2qe	Gondi: nirsu
d485	consonant-initial-short-nonnasal-apical	1	reviewed	*ir-u-ppay	f_37ozkzllhrmv4;f_bnf3ojnj2ttg6;f_m2sl3otd43uje	Gondi: hirūk | Gondi: hirp | Gondi: hiruk
d486	consonant-initial-short-nonnasal-apical	1	reviewed	*cir-umpu	d486	PDr: *cir-umpu
d492	consonant-initial-short-nonnasal-apical	0	pending	irku	f_qpeggrvemzgoo;f_tnr6jlczafzky	Badaga: beṭttikkudu | Badaga: baṭtṭe āku
d495	consonant-initial-short-nonnasal-apical	0	reviewed	*[ń]elV[v]-[k-] (*-i-)	f_54rreqhkkhvfk	Parji: neluk
d497	consonant-initial-short-nonnasal-apical	0	pending	*el-ay	f_c6vh2rgv2winy	Gondi: koṛk-ila
d509	consonant-initial-short-nonnasal-apical	0	pending	*lēs-	f_kggomcaqiav2u	Brahui: hiṛ̆ẖ
d512	consonant-initial-short-nonnasal-apical	1	reviewed	iḷai	f_npn2hporml2m2;f_v24tisr7h45me	Badaga: heḷa | Tamil: ciḷai
d516	consonant-initial-short-nonnasal-apical	1	reviewed	*yĀn-ay	f_u34yxch6xgngo	Tulu: Bel. (LSB
d524	consonant-initial-short-nonnasal-apical	1	reviewed	*id_-	f_3yrwhrp7z656a	Badaga: Koḷikkūr
d542	consonant-initial-short-nonnasal-apical	0	pending	*īr-	f_zxt3sxb7xj4lg	Pengo: nir- (-t-)
d554	consonant-initial-short-nonnasal-apical	1	pending	īṟu	f_otfffbzc6hzya	Gondi: hiraṛ
d557	consonant-initial-short-nonnasal-apical	0	pending	*uH	f_qu3axm3gc2pao	Kurux: hurū
d560	consonant-initial-short-nonnasal-apical	1	reviewed	ukā	f_ffsdxfom7jcou;f_ktiqap3sksvvq	Malayalam: Careya arborea | Malayalam: malay-uka
d574	consonant-initial-short-nonnasal-apical	1	pending	*uSir-	f_ix5hldagf3lf6;f_m6s4hjkzzutp4;f_vv6joglxabwoi	Kuwi: jur'o | Kui: jura
d583	consonant-initial-short-nonnasal-apical	0	pending	ujjērɯ	f_a7damplokzjuo;f_l2qaiczbwzktw	Tulu: jiḍḍe | Tulu: Bel. (LSB
d586	consonant-initial-short-nonnasal-apical	1	reviewed	uṭal	f_2qob37k37bnwi;f_5w7a46yy7yl5e;f_b4ikz2gw7xgeu;f_cxmzrxiivv5ga;f_ibbc3huxnxsyk;f_ifaeffci6qw5o;f_jp7gft56jvfwo;f_k4ldrxfnemwuy;f_qvxu5g62bugqs;f_vtxgmobes5lwc	Kannada: doḷḷu | Badaga: hore voḍalu | Badaga: doḷḷa | Tulu: ṭoḷḷu | Tulu: toḷḷɛ | Badaga: Doḷḷatiamma | Kannada: ḍoḷḷu | Badaga: doḷḷu | Badaga: doḷḷi | Tulu: ḍoḷḷu
d592	consonant-initial-short-nonnasal-apical	1	reviewed	*uṭ-ump-	f_26xgxodqegvw6;f_pjo32neyqxtxk	Tamil: Varanus bengalensis | Naikri: huṛug ( huṛgul)
d593	consonant-initial-short-nonnasal-apical	1	reviewed	*Ùḍ-	f_ndd2cr6onhxvc	Badaga: horu halla odeya
d594	consonant-initial-short-nonnasal-apical	0	pending	oḍejāli	f_gipczez2gya2q;f_mbsaigyk77ruq	Badaga: sullu | Badaga: sullu hode
d600	consonant-initial-short-nonnasal-apical	1	pending	*uṇ-	f_ponypcuyxa53q	Brahui: huṛing
d644	consonant-initial-short-nonnasal-apical	0	pending	*umbḷ-	f_3q6hdbsh6y7zm;f_7rfw4ihqsiixg;f_bg3gwnuvy4yhi;f_lkm2uhbjt3nvq;f_rfxd7pe2ml4bm;f_ya577lu4gdn2s;f_yuiqz3753vdyw	Tamil: maḷ | Kota: moḷ | Malayalam: moḷḷuka | Malayalam: moḷḷu | Irula: maḷḷu | Malayalam: moḷḷa | Kuwi: murkinai
d650	consonant-initial-short-nonnasal-apical	0	pending	orp- (orpy-)	f_3gwtex7c62pdk;f_eqaftribkh7ya;f_uditpc2x3nhx6	Toda: varp- | Toda: varp- (varpy-) | Toda: varpy-
d655	consonant-initial-short-nonnasal-apical	1	reviewed	uṟi	f_zxkeuaqweh4do	Kuwi: huru ( -ka)
d656	consonant-initial-short-nonnasal-apical	1	reviewed	*ur-	f_cvr7mck3ofspk;f_drwdaql7mrzrw;f_ovlhb6iv3v6km	Badaga: huri | Badaga: hoṭtṭe uri
d663	consonant-initial-short-nonnasal-apical	1	reviewed	*ur-c-	f_5xith5lzpiulk;f_cgofxwsy6sm7m	Kurux: hurnā | Kurux: huṛnā
d665	consonant-initial-short-nonnasal-apical	1	reviewed	*ur-ay	f_berc5jpralu7k;f_l5cykbblk6kuw;f_pfsgww4trqnr2	Toda: vart- | Toda: varf- | Toda: varf- (vart-)
d672	consonant-initial-short-nonnasal-apical	0	reviewed	ulakkai	f_u4qjadj52fldi	Malayalam: Kurub. (LSB
d685	consonant-initial-short-nonnasal-apical	0	pending	uṛ̆iñai	f_fwvlejvdeoalq;f_ihw7c4mgllo76	Tulu: Cardiospermum halicacabum (būru | Malayalam: Cardiospermum halicacabum
d697	consonant-initial-short-nonnasal-apical	1	reviewed	*uḷ-	f_b5lsl7bdapeds;f_qh7col3d3cxby	Toda: viḷd- (3 pers. vɨḍ-i) | Toda: viḷd-
d698	consonant-initial-short-nonnasal-apical	1	reviewed	*uḷḷ-am	f_kq6npg7taiwm2	Badaga: horeyaḷōge
d701	consonant-initial-short-nonnasal-apical	0	pending	uḷai	f_h4cf76bwkdv5i	Brahui: hullī
d705	consonant-initial-short-nonnasal-apical	1	reviewed	*uḷḷi	f_fo5alzbe4sjpy;f_gro6xg7v535oe;f_iua2a7m4yqxq2;f_mrba3op3xeane;f_vnaselpmfjbi4	Manda: vella ūlli | markodi: veḷḷuḷḷi | markodi: veḷḷuḷŭ | Tulu: boḷḷ-uḷḷi | markodi: beḷutuḷḷi
d707	consonant-initial-short-nonnasal-apical	1	reviewed	*oṯ-a-nku	f_4uuzp54q4l4ww;f_5y2jlnjvm4pcu;f_7cu6mmpjw57io;f_7n7plnr3lxphu;f_ca44shhsonmdy;f_cjjh3iotk4iwi;f_ecnq7lwoo6gjs;f_gdznm2sjc36e6;f_hwp4dlva7lfwk;f_iglizkucsx2vq;f_ljnrel6tzhwkm;f_lusmzjmer3qpq;f_yyi43rdmj3gfk;f_yzqwoh3l23adq;f_zbq7yuwmnaegw	Toda: vaṟx- (vaṟxy-) | Toda: vaṟky- | Toda: vaṟx- | Toda: vaṟk- (vaṟky-) | Toda: vaṟk | Toda: vaṟ- | Gondi: variyānā | Gondi: varī | Toda: vaṟxy- | Toda: vaṟy- | Gondi: varūs | Gondi: varah | Toda: vaṟk- | Toda: vaṟ- (vaṟy-)
d710	consonant-initial-short-nonnasal-apical	1	reviewed	*coṯ-ac-	d710;f_yl4fmzonetbjm	PDr: *coṯ-ac-
d732	consonant-initial-short-nonnasal-apical	1	pending	*ūsarel-	f_3kvtguxplrmac	Badaga: halli
d752	consonant-initial-short-nonnasal-apical	0	pending	*ūr	f_74calftuhb2mc;f_aoj4ig3p4rdxg;f_eabqeg6oxrev2;f_ediuy2owgaecq;f_ez76xcb7hdzoa;f_jle37vqtojumk;f_kg3kpjkmmhuyq;f_mhyppihjfe77q;f_qdyhj5ziymhik;f_rr4kgutyiktim;f_sgc7xhuq5cqny;f_swwrgubqrsltq;f_u6kerzqmyiu4w;f_xnq52qxbf7aqy	Badaga: Paraḷūr | Badaga: Sirūr | Badaga: Koḷikkūr | Badaga: Siriyūr | Badaga: Baraḷūr | Badaga: Siriyūr Haḷḷa | Badaga: Mulḷlḷūr | Badaga: Kallūr | Badaga: Karavaḷūr Amma | Badaga: Hullangūru | Badaga: Pillūr | Badaga: Mullagūr | Badaga: Karesīgūr | Badaga: Nalḷḷūr
d761	consonant-initial-short-nonnasal-apical	1	pending	*ū̆r- (*-d_-)	f_lom5d7v36t4p6	Tulu: voratɛ
d784	consonant-initial-short-nonnasal-apical	1	pending	*eṇ- (-nṭ-)	f_lc5rwivjbgtak	Gondi: yermud
d792	consonant-initial-short-nonnasal-apical	1	pending	eṭṭaṉ	f_5cnazedlzkj66;f_6fldyjunnyfpg;f_aaq2bxofff5oq;f_bcay36bpjnzvy;f_eywhhd4dfdgi4;f_iax2rqkszfsyc;f_tyq4trapjnbgc;f_vwfelhgvr7crg;f_x6owr5qohcsji	Kannada: heḍḍu | Tulu: heḍḍe | Tulu: heḍḍu | Kodagu: heḍḍə | Kannada: heḍḍatana | Tulu: heḍḍi | Kannada: heḍḍati | Kannada: heḍḍa | Tulu: heḍḍa
d796	consonant-initial-short-nonnasal-apical	1	pending	*et-	f_5w4rpt7yxf7su;f_tq5u6ik57libg	Badaga: bale tūvadu habba | Badaga: ciḷḷu ettu
d815	consonant-initial-short-nonnasal-apical	1	reviewed	*er-utu	f_4jv64arbxzsgc	Naikri: heḍḍ ( heḍḷ)
d816	consonant-initial-short-nonnasal-apical	1	reviewed	*er-umV-	f_5o4h6pgyjmd2a;f_f6k2knysiwmmq;f_fjigua4okfhfi;f_pfrl2cmvwt36c;f_r5ia667tmdgvi;f_tiqibwel6lumq;f_zpmrhpvxwxsxc	Badaga: piḷḷēru | Gondi: hermi | Badaga: kaṭtṭtida emme | Badaga: malemme | Badaga: paḷḷemme | Badaga: karaji emme
d830	consonant-initial-short-nonnasal-apical	0	pending	*elav-	f_oog54upeaug5i	Gondi: helva
d833	consonant-initial-short-nonnasal-apical	1	reviewed	*el-i	f_5ew5ozbee5j7o;f_gjxthn5fit3sm	Brahui: hal | Gadaba: sirel
d839	consonant-initial-short-nonnasal-apical	1	reviewed	*el-V-mp	f_55ad7eiqnjo6s	Badaga: naṭḷlu ilu
d845	consonant-initial-short-nonnasal-apical	1	reviewed	*elli	f_fmetozyizkngu;f_wufay4n2ob374	markodi: yelle | markodi: yelleᵘ̆
d851	consonant-initial-short-nonnasal-apical	1	reviewed	*eẓ-c-	f_4in2otrrvoiyg	Brahui: harfing
d854	consonant-initial-short-nonnasal-apical	0	pending	eḷ	f_3m2dlmzdvcgbq;f_6gv6g4jo663vy	markodi: veḷŭcēṇṇa | markodi: veḷiceṇṇa
d857	consonant-initial-short-nonnasal-apical	1	reviewed	*eḷ-V-ñc-	f_rnasumvg6zxkq	PDr: *joḷǯ-
d860	consonant-initial-short-nonnasal-apical	1	reviewed	remmu	f_3libcbuzabh34;f_faxtzv23rhipe	Pengo: jel- (-t-) | Kui: jelba (jes-)
d864	consonant-initial-short-nonnasal-apical	0	pending	*kunṯ-am	f_2k7jgwm5g5vni	Badaga: kaṭṭiruppu
d886	consonant-initial-short-nonnasal-apical	0	pending	ēṇ	f_33xadxjfkzbfs;f_7wosx4uyd5dwm;f_bblpreuon2r74;f_xxghfn5im2gjo	Badaga: Haruvēṇu Kēti Kēri | Badaga: Haruvēṇu
d901	consonant-initial-short-nonnasal-apical	0	pending	ēri	f_hs3bio4r5sda4;f_smkd2eylqqqqa	Badaga: Velakēri Beṭṭa | Badaga: Kurunṇēri
d910	consonant-initial-short-nonnasal-apical	1	reviewed	*eẓ-V	f_4miv6ukszwdmg	Gondi: yeḍung
d916	consonant-initial-short-nonnasal-apical	1	reviewed	*ñāl-	f_atve4tn2b76uw;f_ldv3rscgmnl4i;f_ntauuwpkome4y;f_smv3nw55mhscu	Brahui: salīng | Kota: kalm ēcd | PDr: *sal- (?) | Brahui: saling
d917	consonant-initial-short-nonnasal-apical	0	reviewed	*ēṯu	f_4hsf4okozjk7a;f_cj7widi4v7utk;f_csr67ysfuaqha	Kota: tirēr | Kota: tir e·r | Kota: tirim
d927	consonant-initial-short-nonnasal-apical	0	pending	okkuka	f_detdlkozqzdk4	Badaga: Kalokki Bettu
d929	consonant-initial-short-nonnasal-apical	0	pending	*kōḍ-ai	f_w2bmmtqscrppy	markodi: koḍe
d946	consonant-initial-short-nonnasal-apical	1	reviewed	*oṭ-ay	f_3kvrpbdwhstmk;f_dcly5zo2ppc4e;f_dmvk6lqtpyego;f_efucpjcni74eq;f_jhwpqg4h6kc62;f_kkcnf454e345a;f_kpd3njlemixdi;f_styex3lw2jzgk;f_zbvgai7oai43k	Tamil: noṭi | Toda: vaṛf- | Toda: vaṛ aḍy | Toda: vaṛt- | Toda: vaṛ- (vaṛQ-) | Toda: vaṛθ- | Toda: vaṛf- (vaṛt-) | Toda: vaṛ-
d947	consonant-initial-short-nonnasal-apical	1	reviewed	*òḍ-	f_zqdsubuizwgqq	Malayalam: Kurub. (LSB
d953	consonant-initial-short-nonnasal-apical	0	pending	ocg- (ocgy-)	f_e5udxsnowjuck;f_pfn3p4fhtuoti	PSD1: *huḍugu | Kannada: huḍugu
d962	consonant-initial-short-nonnasal-apical	1	reviewed	*oḍḍ-	f_fvlxw2robqlyg	Badaga: bale oddudu
d965	consonant-initial-short-nonnasal-apical	1	reviewed	*oḍḍ-	f_47f6nmoqkw52o;f_gumwz45gyc4ds;f_ouhipvhhfxpme;f_pnbm5xf7st4uq	Badaga: Porodde Beṭtu | Badaga: Karukodde | Badaga: Morahodde
d984	consonant-initial-short-nonnasal-apical	1	pending	*oy-	f_ezuq64amb2iks	Tulu: Bel. (LSB
d988	consonant-initial-short-nonnasal-apical	0	pending	oraḷe	f_6djx4ybkfrlee;f_h5flu3za5hova	PSD1: *valle (Hal.) | Kannada: valle
d990	consonant-initial-short-nonnasal-apical	1	pending	*okk-	f_2cgan7wfmypnq;f_bsgntfpfu3fns;f_guss5zht3tk34;f_ig4zyenj3c4dk;f_mtkeiqdiwvx22;f_xea2hflmaekik;f_ybtsseniewefw;f_zofyzwuxzboe2;f_zzl66eycca3du	Gondi: varpne | Kurux: hormā | Kurux: hormar | Badaga: huṭttobbe | Toda: vaṭy | Gondi: varpane | Kurux: hurmī | Badaga: huṭttobba | Kannada: Koḍ. orɨ
d993	consonant-initial-short-nonnasal-apical	0	pending	oruvu	f_kpsd5q2goq2q6	Gondi: vorke
d1006	consonant-initial-short-nonnasal-apical	1	pending	ollu	f_2x6uo54xz7ph2;f_ac4qqyswlmj7m;f_ggq64544ofg74;f_hanoxu26o5stk;f_jfucxme5roa6g;f_nbuh6zn3liow6;f_nqpw6rsvnohl2	Malayalam: vallā | Toda: val- | Toda: valo(θ) | Toda: val | PSTDr: *val- | Toda: valo(Q) | Kannada: valavara
d1007	consonant-initial-short-nonnasal-apical	0	pending	ollu	f_ig3w353nvmmdq;f_p4hfdjpu7h3ao;f_pajr3vlw6xnem;f_uqqgtmbgrm3ky	Gondi: valcānā | Gondi: valc
d1010	consonant-initial-short-nonnasal-apical	0	pending	oṛ̆uku	f_ezbqt2j5y7r2u;f_zjqznvmibqdfa	Toda: vaṛf- | Toda: vaṛf- (vaṛt-) (po·x
d1012	consonant-initial-short-nonnasal-apical	1	pending	*oẓ-ukk-	f_jooqqd3clgega;f_pol5xdohvyppe;f_rkovnm7n6ntu2;f_uuxyps6xz2nea	Gondi: vaḍitānā | Gondi: vaḍḍānā | Gondi: vaṛk | Gondi: vaḍūyānā
d1015	consonant-initial-short-nonnasal-apical	1	pending	**oḷi	f_5kguwboj4vwg6;f_dwnmu7yykfcxg;f_kqmrceeurtk3q;f_p46w5yxdyccci;f_xcsss3sathtc6	Badaga: huḷisu bikke | Badaga: huḷi | Badaga: huḷisu kudi | Badaga: huḷusu gidu | Badaga: huḷisu gidu
d1016	consonant-initial-short-nonnasal-apical	0	pending	oḷi	f_7sr23paethvrc	Badaga: hola
d1017	consonant-initial-short-nonnasal-apical	0	pending	oḷi	f_32lkmygexcmbe;f_oktacricdwv2i	Toda: viḷy
d1018	consonant-initial-short-nonnasal-apical	0	pending	oḷḷe	f_azbxay4r5akjk;f_vaorfzep7wjc4	Kannada: hoḷḷe | PSD1: *hoḷḷe
