Entry_ID	Family_ID	Language_ID	Language_Outcome	Observed_Outcome	Evidence_Form	Form_ID	Record_Origin	Linked_Database_IDs	Database_Language_ID	Research_Correction	Original	Gloss	Source	Tags	Description	Borrowed_In_Path	Outcome_Note
d63	d63	Konda	D	D	ḍāp	f_bambfikmg7hwe	database	f_bambfikmg7hwe	Konda		ḍāp-	to hide, save (money)	dedr			0	Vowel-initial apical promoted; low long vowel. Derivational consonants differ by transitivity.
d63	d63	Kota	R	R	aṛg- (aṛgy-)	f_pe6n3sbv4xltm	database	f_pe6n3sbv4xltm	Kota		aṛg- (aṛgy-)	to stop, be obedient	dedr			0	Medial vowel deletion yields aṛ-C; no initial displacement.
d63	d63	Kota	R	R	aṛk- (aṛky-)	f_3ffda2nan4gsa	database	f_3ffda2nan4gsa	Kota		aṛk- (aṛky-)	to cause to stop	dedr			0	Medial vowel deletion yields aṛ-C; no initial displacement.
d63	d63	Kui	M	R	āṛpa (āṛt-)	f_2lop65gm7nwpw	database	f_2lop65gm7nwpw	Kui		āṛpa (āṛt-)	to hide , conceal	dedr	tr		0	Retained and displaced related formations; length in retained root requires separate quantity history.
d63	d63	Kui	M	R	āṭpa (āṭt-)	f_dzxs7wemkwyl6	database	f_dzxs7wemkwyl6	Kui		āṭpa (āṭt-)	to hide , conceal	dedr	tr		0	Retained and displaced related formations; length in retained root requires separate quantity history.
d63	d63	Kui	M	D	ḍāpa (ḍāt-)	f_wwn327xmgxgmo	database	f_wwn327xmgxgmo	Kui		ḍāpa (ḍāt-)	to lie in wait for	dedr			0	Retained and displaced related formations; length in retained root requires separate quantity history.
d63	d63	Kurux	R	R	aṛknā	f_njgmwhq3lchug	database	f_njgmwhq3lchug	Kurux		aṛknā	to knead, shampoo by squeezing from place to place	dedr			0	Order retained with suffix-vowel syncope.
d63	d63	Malayalam	R	R	aṭaŋŋuka	f_4vqdnztpjafzg	database	f_4vqdnztpjafzg	Malayalam		aṭaṅṅuka	to be pressed down, enclosed, contained, submit, yield, be allayed, calmed	dedr			0	Same order and formative distinction.
d63	d63	Malayalam	R	R	aṭakkuka	f_sdddavbegthf6	database	f_sdddavbegthf6	Malayalam		aṭakkuka	to press down, subdue, swallow, allay, quiet	dedr			0	Same order and formative distinction.
d63	d63	Malto	R	R	aṛge	f_bzfbx5dsqhuq2	database	f_bzfbx5dsqhuq2	Malto		aṛge	to press down, close an opening by pressing a heavy object against	dedr			0	Order retained with suffix-vowel syncope.
d63	d63	Malto	R	R	aṛke	f_hi4xqrdmonsn4	database	f_hi4xqrdmonsn4	Malto		aṛke	to thrust or wedge in	dedr			0	Order retained with suffix-vowel syncope.
d63	d63	Naikri	B	B	ḍʰāŋ	f_66vm44y7urzsy	database	f_66vm44y7urzsy	Naikri		ḍhāŋ-	to hide , be hidden	dedr	intr		0	K03 early Telugu loan diagnosis; aspiration is separate.
d63	d63	Naikri	B	B	ḍʰāp	f_smfegdm6uchnu	database	f_smfegdm6uchnu	Naikri		ḍhāp-	to cover, hide	dedr			0	K03 early Telugu loan diagnosis; aspiration is separate.
d63	d63	Tamil	R	R	aṭaŋku	f_n24eeudesckqa	database	f_n24eeudesckqa	Tamil		aṭaṅku (aṭaṅki-)	to submit, be subdued, be compressed, cease, disappear, be comprised, settle, subside, sleep	dedr	verb Tamil-class-3 weak	(aṭaŋki-)	0	Both root and formative vowels remain.
d63	d63	Tamil	R	R	aṭakku	f_ozoclt2zgnm4u	database	f_ozoclt2zgnm4u	Tamil		aṭakku (aṭakki-)	to control, repress, hide, conceal, bury	dedr	verb Tamil-class-3 weak	(aṭakki-)	0	Both root and formative vowels remain.
d63	d63	Telugu	M	R	aḍagu	f_jyl2im2bylpky	database	f_jyl2im2bylpky	Telugu		aḍagu	to yield, submit, be humbled	dedr			0	Semantic specialization accompanies divergent reflexes; both orders are attested.
d63	d63	Telugu	M	R	aḍãgu	f_7dpiziz3womlk	database	f_7dpiziz3womlk	Telugu		aḍãgu	to yield, submit, be humbled	dedr			0	Semantic specialization accompanies divergent reflexes; both orders are attested.
d63	d63	Telugu	M	R	aḍacu	f_ba2xhgycj3vys	database	f_ba2xhgycj3vys	Telugu		aḍacu	to suppress, humble, subject	dedr			0	Semantic specialization accompanies divergent reflexes; both orders are attested.
d63	d63	Telugu	M	D	ḍāgu	f_6rdekkcsrmxj4	database	f_6rdekkcsrmxj4	Telugu		ḍāgu	to lie hidden	dedr			0	Semantic specialization accompanies divergent reflexes; both orders are attested.
d63	d63	Telugu	M	D	ḍā̃gu	f_i77nwvutqgc7i	database	f_i77nwvutqgc7i	Telugu		ḍā̃gu	to lie hidden	dedr			0	Semantic specialization accompanies divergent reflexes; both orders are attested.
d63	d63	Telugu	M	D	dā̃gu	f_sp7jg6ayxkr4m	database	f_sp7jg6ayxkr4m	Telugu		dā̃gu	to lie hidden	dedr			0	Semantic specialization accompanies divergent reflexes; both orders are attested.
d63	d63	Telugu	M	D	ḍācu	f_ccljx3athxqva	database	f_ccljx3athxqva	Telugu		ḍācu	to hide, conceal	dedr			0	Semantic specialization accompanies divergent reflexes; both orders are attested.
d63	d63	Telugu	M	D	dā̃cu	f_4b2n5ptvxwd5w	database	f_4b2n5ptvxwd5w	Telugu		dā̃cu	to hide, conceal	dedr			0	Semantic specialization accompanies divergent reflexes; both orders are attested.
d63	d63	Toda	R	R	oḍg- (oḍgy-)	f_uaxdlfyps5cgi	database	f_uaxdlfyps5cgi	Toda		oḍg- (oḍgy-)	to be quiet, find sleeping accommodation in a crowded place	dedr			0	Vowel change and syncope preserve V–apical order.
d63	d63	Toda	R	R	oṛk- (oṛky-)	f_kvaqlmzkbxmv6	database	f_kvaqlmzkbxmv6	Toda		oṛk- (oṛky-)	to subdue, give sleeping accommodation in a crowded place	dedr			0	Vowel change and syncope preserve V–apical order.
d63	d63	Tulu	A	R	aḍeŋgɯ	f_iucnjfjzlv64k	database	f_iucnjfjzlv64k	Tulu		aḍeṅgů	to hide	dedr		B-K	0	Local aphaeresis retains the attested second vowel e; insufficient evidence for the same contraction as Telugu.
d63	d63	Tulu	A	O	ḍeŋgɯ	f_wyvbjmqvb57ve	database	f_wyvbjmqvb57ve	Tulu		ḍeṅgů	to hide	dedr		B-K	0	Local aphaeresis retains the attested second vowel e; insufficient evidence for the same contraction as Telugu.
d63	d63	Tulu	A	O	deŋguni	f_f52ior4auvizw	database	f_f52ior4auvizw	Tulu		deṅguni	to be hidden, concealed, lie in ambush	dedr			0	Local aphaeresis retains the attested second vowel e; insufficient evidence for the same contraction as Telugu.
d72	d72	Badaga	R	R	adi-	f_rp5sa6e7beeki	database	f_rp5sa6e7beeki	Badaga		adi-	underneath, below, at the bottom	hockings-pilotraichoor1992[p. 13, col. 1]	adv uncertain		0	Order retained; uncertainty tag belongs to the source/import.
d72	d72	Gadaba	B	B	aḍugu	f_zgesrx6clumay	database	f_zgesrx6clumay	Gadaba		aḍugu	footstep (&lt; Te.)	dedr		S.2	0	Source explicitly says from Telugu.
d72	d72	Gondi	R	R	aḍi	f_kwbi3ezqxay76	database	f_kwbi3ezqxay76	Gondi		aḍ(ḍ)i	below, low	dedr;M-Gondi	dialect:Gondi:maria:Maria	M.	0	Several dialects preserve initial V; geminate variant is separate strengthening.
d72	d72	Gondi	R	R	aḍi	f_pmci7phqgjnqs	database	f_pmci7phqgjnqs	Gondi		aḍi	beneath	dedr	dialect:Gondi:gommu:Koya%20%28Gommu%29	G.	0	Several dialects preserve initial V; geminate variant is separate strengthening.
d72	d72	Gondi	R	R	aṛgi	f_ewxusotoaccry	database	f_ewxusotoaccry	Gondi		aṛgi	underneath	dedr	dialect:Gondi:koya:Koya	Ko.	0	Several dialects preserve initial V; geminate variant is separate strengthening.
d72	d72	Gondi	R	R	aḍita	f_7f6757uq4t7jg	database	f_7f6757uq4t7jg	Gondi		aḍita	lower	dedr	dialect:Gondi:maria:Maria	Ma.	0	Several dialects preserve initial V; geminate variant is separate strengthening.
d72	d72	Gondi	R	R	aḍita	f_g3pw46aygu47s	database	f_g3pw46aygu47s	Gondi		aḍita	lower	dedr			0	Several dialects preserve initial V; geminate variant is separate strengthening.
d72	d72	Kannada	R	R	aḍi	f_3mexxqauz2kpo	database	f_3mexxqauz2kpo	Kannada		aḍi	foot, measure of foot, step, pace, base, bottom, under	dedr			0	Same order.
d72	d72	Kannada	R	R	aḍime	f_b6s2zjwqpujcu	database	f_b6s2zjwqpujcu	Kannada		aḍime	slavery	dedr			0	Same order.
d72	d72	Kodagu	R	R	aḍi	f_udmhtbfyw7ga2	database	f_udmhtbfyw7ga2	Kodagu		aḍi	place below, down	dedr			0	Same order.
d72	d72	Konda	R	R	aḍgi	f_mxvsk2lo5gwdk	database	f_mxvsk2lo5gwdk	Konda		aḍgi	below, underneath	dedr			0	Syncope produces medial cluster; no metathesis.
d72	d72	Kota	R	R	aṛy	f_l6ud7ipfqtotg	database	f_l6ud7ipfqtotg	Kota		aṛy	foot (measure)	dedr			0	Postvocalic apical with later glide.
d72	d72	Malayalam	R	R	aṭi	f_qmdxre7upwoya	database	f_qmdxre7upwoya	Malayalam		aṭi	sole of foot, footstep, measure of foot, bottom, base	dedr			0	Same order.
d72	d72	Malayalam	R	R	aṭima	f_katdlrmocjk24	database	f_katdlrmocjk24	Malayalam		aṭima	slavery, slave, feudal dependency	dedr			0	Same order.
d72	d72	Tamil	R	R	aṭi	f_32volkpfuzpk6	database	f_32volkpfuzpk6	Tamil		aṭi	foot, footprint, base, bottom, source, origin	dedr			0	Short-vowel base and derived noun retain order.
d72	d72	Tamil	R	R	aṭimai	f_y2gkehxi5ozmw	database	f_y2gkehxi5ozmw	Tamil		aṭimai	slavery, servitude, slave, servant, devotee	dedr			0	Short-vowel base and derived noun retain order.
d72	d72	Telugu	R	R	aḍugu	f_a57tvmje7sedi	database	f_a57tvmje7sedi	Telugu		aḍugu	foot, footstep, footprint, step, pace, measure of a foot, bottom, basis	dedr			0	Relevant derivatives preserve vowel-first order.
d72	d72	Telugu	R	R	aḍime	f_b6gtt7wm2j7f4	database	f_b6gtt7wm2j7f4	Telugu		aḍime	slavery, slave, bondman	dedr			0	Relevant derivatives preserve vowel-first order.
d72	d72	Toda	R	R	oṛy	f_gua22tnrtmfx4	database	f_gua22tnrtmfx4	Toda		oṛy	foot, step, foot print, hoof of buffalo	bhaskararao-toda2025[p. 149, entry 23];emeneau-toda1984[p. 274];bhaskararao-toda-notes[p. 102]	noun		0	Root-vowel change; no apical displacement.
d72	d72	Toda	R	R	oṛy	f_xwlxh5qynvqh6	database	f_xwlxh5qynvqh6	Toda		oṛy	foot	dedr			0	Root-vowel change; no apical displacement.
d72	d72	Tulu	R	R	aḍi	f_iral76aquwvns	database	f_iral76aquwvns	Tulu		aḍi	bottom, base	dedr			0	Same order.
d77	d77	Gadaba	R	R	aṭ	f_7opmbjxm44zsk	database	f_7opmbjxm44zsk	Gadaba		aṭ-	to strike, (rain) comes in torrents, (finger) to snap	dedr;Oll-Gadaba		Oll.	0	Ollari and Salur source labels preserved in corpus.
d77	d77	Gadaba	R	R	aṭṭ	f_6senj2ewqs3ik	database	f_6senj2ewqs3ik	Gadaba		aṭṭ-	to strike, beat	dedr;S-Gadaba	dialect:Gadaba:salur:Salur	S.	0	Ollari and Salur source labels preserved in corpus.
d77	d77	Kannada	R	R	aḍi	f_amgrwqvrcqtos	database	f_amgrwqvrcqtos	Kannada		aḍi	beating, a blow	dedr			0	Order retained; aṇe is an additional consonant development.
d77	d77	Kannada	R	R	aḍar	f_xd36qsctyvzqu	database	f_xd36qsctyvzqu	Kannada		aḍar	to pounce upon, rush at (as dogs, etc., do)	dedr			0	Order retained; aṇe is an additional consonant development.
d77	d77	Kannada	R	R	aḍacu	f_fs2tz7eijs5y2	database	f_fs2tz7eijs5y2	Kannada		aḍacu	to rap, cuff	dedr			0	Order retained; aṇe is an additional consonant development.
d77	d77	Kodagu	R	R	aḍi- (aḍip-, aḍic-)	f_3jrrbncgh5uuq	database	f_3jrrbncgh5uuq	Kodagu		aḍi- (aḍip-, aḍic-)	(lightning) strikes (song word)	dedr			0	Order retained.
d77	d77	Konda	M	R	aṭ- (-t-)	f_njfakfvwvy47e	database	f_njfakfvwvy47e	Konda		aṭ- (-t-)	to hit, as an arrow	dedr			0	Non-displaced hit root alongside displaced pound/beat derivatives.
d77	d77	Konda	M	D	ḍaŋ- (-it-)	f_som7y7eqnohmq	database	f_som7y7eqnohmq	Konda		ḍaŋ- (-it-)	to be beaten (as a drum); to beat a drum	dedr			0	Non-displaced hit root alongside displaced pound/beat derivatives.
d77	d77	Konda	M	D	ḍak- (-t-)	f_zylieid5j4mvk	database	f_zylieid5j4mvk	Konda		ḍak- (-t-)	to beat, strike, beat (as a drum)	dedr			0	Non-displaced hit root alongside displaced pound/beat derivatives.
d77	d77	Konda	M	D	ḍas- (-t-)	f_ccytnxr5jxsq4	database	f_ccytnxr5jxsq4	Konda		ḍas- (-t-)	to pound (as paddy or any raw grain)	dedr			0	Non-displaced hit root alongside displaced pound/beat derivatives.
d77	d77	Kota	R	R	ayṛ- (aṛc-)	f_36rqgbvs25ohc	database	f_36rqgbvs25ohc	Kota		ayṛ- (aṛc-)	to strike (ball in game)	dedr			0	Apical remains after vowel; glide position needs separate Kota analysis.
d77	d77	Kui	D	D	ḍāmba (ḍāmbi-)	f_6kk3mka5267pq	database	f_6kk3mka5267pq	Kui		ḍāmba (ḍāmbi-)	to pound, crush by pounding; pounding, crushing	dedr	noun		0	Displaced long-vowel labial formation.
d77	d77	Kuwi	D	D	ḍamb- (-it-)	f_g6algi3qtxmi2	database	f_g6algi3qtxmi2	Kuwi		ḍamb- (-it-)	to be broken	dedr	dialect:Kuwi:sunkar:Sunkarametta	Su.	0	Displaced labial derivatives, including Sunkarametta.
d77	d77	Kuwi	D	D	ḍap- (-h-)	f_etiw3vfzf7tmq	database	f_etiw3vfzf7tmq	Kuwi		ḍap- (-h-)	to break. DED(S, N) 67	dedr			0	Displaced labial derivatives, including Sunkarametta.
d77	d77	Malayalam	R	R	aṭi	f_d3qufpp6u6duc	database	f_d3qufpp6u6duc	Malayalam		aṭi	blow, stroke	dedr			0	Order retained.
d77	d77	Malayalam	R	R	aṭikka	f_gbqnbozo5zkec	database	f_gbqnbozo5zkec	Malayalam		aṭikka	to beat, strike	dedr			0	Order retained.
d77	d77	Malayalam	R	R	aṭar	f_tusvojk5y7kuo	database	f_tusvojk5y7kuo	Malayalam		aṭar	war	dedr			0	Order retained.
d77	d77	Parji	R	R	aṭṭ	f_r5edz4iifflgy	database	f_r5edz4iifflgy	Parji		aṭṭ-	to strike	dedr			0	Order retained; geminate strengthened formation.
d77	d77	Tamil	R	R	aṭu	f_hmvxhnxifr2e2	database	f_hmvxhnxifr2e2	Tamil		aṭu (aṭuv-, aṭṭ-)	to pound (as rice), kill, destroy, conquer	dedr	verb Tamil-class-4 weak	(aṭuv-, aṭṭ-)	0	Retained root ordering in multiple derivatives.
d77	d77	Tamil	R	R	aṭi	f_gbu5e2v54ulz4	database	f_gbu5e2v54ulz4	Tamil		aṭi (-pp-, -tt-)	to beat, strike, dash against, strike, defeat, overcome, slay, punish; blow, stroke	dedr	noun verb Tamil-class-6 strong	(-pp-, -tt-)	0	Retained root ordering in multiple derivatives.
d77	d77	Tamil	R	R	aṭar	f_lfrpjjvqj3a2u	database	f_lfrpjjvqj3a2u	Tamil		aṭar (-v-, -nt-)	to beat, strike, mould by beating	dedr	verb Tamil-class-2 weak	(-v-, -nt-)	0	Retained root ordering in multiple derivatives.
d77	d77	Tamil	R	R	aṭar	f_zyh3wzb6xvj2e	database	f_zyh3wzb6xvj2e	Tamil		aṭar (-pp-, -tt-)	to attack, kill, destroy; troubling, oppressing; thin flat plate of metal, esp. gold	dedr	noun verb Tamil-class-6 strong	(-pp-, -tt-)	0	Retained root ordering in multiple derivatives.
d77	d77	Telugu	M	R	aḍupu	f_5om2wvp6x5pcu	database	f_5om2wvp6x5pcu	Telugu		aḍupu	a stroke, blow	dedr			0	Displacement restricted among related beat/pound formations; no output-independent suffix law yet established.
d77	d77	Telugu	M	R	aḍucu	f_gyswcvqfxkoiu	database	f_gyswcvqfxkoiu	Telugu		aḍucu	to beat, strike, break, destroy	dedr			0	Displacement restricted among related beat/pound formations; no output-independent suffix law yet established.
d77	d77	Telugu	M	R	aḍaru	f_e5iah74rikmqu	database	f_e5iah74rikmqu	Telugu		aḍaru	"(Tikkana; comm. by Velcheru Narayana Rao and George L. Hart<xref=""iii"">III</xref=""iii"">) to fight, do battle, kill"	dedr			0	Displacement restricted among related beat/pound formations; no output-independent suffix law yet established.
d77	d77	Telugu	M	D	ḍaŋgu	f_vamndeveceg4i	database	f_vamndeveceg4i	Telugu		ḍaṅgu	to be pounded or cleaned (as rice, etc.)	dedr;K-Telugu;K-also-Telugu		K. also	0	Displacement restricted among related beat/pound formations; no output-independent suffix law yet established.
d77	d77	Telugu	M	D	daŋgu	f_yu3lxrlzvmafs	database	f_yu3lxrlzvmafs	Telugu		daṅgu	to be pounded or cleaned (as rice, etc.)	dedr			0	Displacement restricted among related beat/pound formations; no output-independent suffix law yet established.
d77	d77	Telugu	M	D	ḍancu	f_yclhpsvgoowz6	database	f_yclhpsvgoowz6	Telugu		ḍancu	to pound, beat, clean grain in a mortar	dedr;K-Telugu;K-also-Telugu		K. also	0	Displacement restricted among related beat/pound formations; no output-independent suffix law yet established.
d77	d77	Telugu	M	D	dancu	f_evtufgngj723g	database	f_evtufgngj723g	Telugu		dancu	to pound, beat, clean grain in a mortar	dedr			0	Displacement restricted among related beat/pound formations; no output-independent suffix law yet established.
d77	d77	Telugu	M	D	dampu	f_6ekcbbq2hx3i2	database	f_6ekcbbq2hx3i2	Telugu		dampu	to pound, beat, clean grain in a mortar; (alsodampuḍu) pounding, etc	dedr	noun		0	Displacement restricted among related beat/pound formations; no output-independent suffix law yet established.
d77	d77	Tulu	A	A	darpuni	f_hqnhx7dujvi2m	database	f_hqnhx7dujvi2m	Tulu		darpuni	to thrash, beat, strike, break	dedr			0	Initial loss/reordering in dar-; derivation and cognacy of individual extensions unresolved.
d77	d77	Tulu	A	R	aḍikai	f_m7eizrykk22tw	database	f_m7eizrykk22tw	Tulu		aḍikai	defeated, vanquished	dedr			0	Initial loss/reordering in dar-; derivation and cognacy of individual extensions unresolved.
d77	d77	Tulu	A	R	aṇepuni	f_tkhoz5u4ro5xy	database	f_tkhoz5u4ro5xy	Tulu		aṇepuni	to push, strike against	dedr			0	Initial loss/reordering in dar-; derivation and cognacy of individual extensions unresolved.
d78	d78	Kannada	R	R	aḍagu	f_6a6mg5ntfueea	database	f_6a6mg5ntfueea	Kannada		aḍagu	the state of being fit, agreeableness, beauty	dedr			0	Order retained; Havyaka eḍi has independent vowel history.
d78	d78	Kannada	R	R	aḍavu	f_c2vnaxqrf2q7w	database	f_c2vnaxqrf2q7w	Kannada		aḍavu	suitableness, properness, proper way, the state of being sufficient	dedr			0	Order retained; Havyaka eḍi has independent vowel history.
d78	d78	Konda	R	R	aṭ- (-t-)	f_mcpi7ghi2ntiu	database	f_mcpi7ghi2ntiu	Konda		aṭ- (-t-)	to be able	dedr			0	Bare stem retains order.
d78	d78	Kui	R	R	āḍa (āḍi-)	f_va25fz4qit7ig	database	f_va25fz4qit7ig	Kui		āḍa (āḍi-)	to be suitable, fitting, proper, convenient, excellent, good, handsome; to suit, fit, agree; āṭka (āṭki-)	dedr			0	Lengthening without displacement.
d78	d78	Kuwi	R	R	aḍ- (-it-)	f_2gib44io22lfm	database	f_2gib44io22lfm	Kuwi		aḍ- (-it-)	to be able	dedr	dialect:Kuwi:sunkar:Sunkarametta	Su.	0	Quantity and consonant variants; original V–apical order retained.
d78	d78	Kuwi	R	R	āḍ- (-it-)	f_a3altkvyewc3a	database	f_a3altkvyewc3a	Kuwi		āḍ- (-it-)	to be able	dedr;Isr-Kuwi		Isr.	0	Quantity and consonant variants; original V–apical order retained.
d78	d78	Kuwi	R	R	āḍ	f_t2plhmcrbvuw6	database	f_t2plhmcrbvuw6	Kuwi		āḍ-	to be able	dedr;S-Kuwi		S.	0	Quantity and consonant variants; original V–apical order retained.
d78	d78	Kuwi	R	R	aṙdali	f_w4xpm3xia26s4	database	f_w4xpm3xia26s4	Kuwi		aṙdali	to be able	dedr;F-Kuwi		F.	0	Quantity and consonant variants; original V–apical order retained.
d78	d78	Malayalam	R	R	aṭukka	f_6yxfhwwxoukwc	database	f_6yxfhwwxoukwc	Malayalam		aṭukka	to beseem, become [i.e. be becoming to], be proportionate to	dedr			0	Order retained.
d78	d78	Malayalam	R	R	aṭavu	f_jaudq2qwxlr5w	database	f_jaudq2qwxlr5w	Malayalam		aṭavu	regular custom, dexterity, perfection	dedr			0	Order retained.
d78	d78	Malto	R	R	aṭye	f_pl6klobvb6bum	database	f_pl6klobvb6bum	Malto		aṭye	to be fit, be enough. DED 68, DEDS 11	dedr			0	Order retained.
d78	d78	Manda	R	R	aḍ	f_sj4dimtzmtowu	database	f_sj4dimtzmtowu	Manda		aḍ-	id	dedr			0	Order retained.
d78	d78	Pengo	R	R	aḍ- (aṛt-)	f_t3ebrrb75lky6	database	f_t3ebrrb75lky6	Pengo		aḍ- (aṛt-)	id	dedr			0	Order retained.
d78	d78	Tamil	R	R	aṭu	f_rzk2hws6shs5o	database	f_rzk2hws6shs5o	Tamil		aṭu (-pp-, -tt-)	to be fit, becoming, deserving	dedr	verb Tamil-class-6 strong	(-pp-, -tt-)	0	Order retained.
d78	d78	Tamil	R	R	aṭaivu	f_esldkqabmijng	database	f_esldkqabmijng	Tamil		aṭaivu	fitness, propriety, order, manner, course	dedr			0	Order retained.
d78	d78	Telugu	R	R	aḍaru	f_uozmojogquqli	database	f_uozmojogquqli	Telugu		aḍaru	to be fit or proper	dedr			0	No displacement in the attested derivative.
d79	d79	Badaga	R	R	adasu	f_pxknpfkckkxt2	database	f_pxknpfkckkxt2	Badaga		adasu	to approach, join, follow suit	hockings-pilotraichoor1992[p. 13, col. 1]	verb tr uncertain		0	Order retained; import marks these uncertain.
d79	d79	Badaga	R	R	aduve	f_l7aff4qald56e	database	f_l7aff4qald56e	Badaga		aduve	possessions, personal property, articles kept permanently	hockings-pilotraichoor1992[p. 14, col. 1]	noun uncertain		0	Order retained; import marks these uncertain.
d79	d79	Kannada	R	R	aḍe	f_inibm27wdoacq	database	f_inibm27wdoacq	Kannada		aḍe	to obtain, get; trust	dedr	noun		0	Original order retained.
d79	d79	Kannada	R	R	aḍar	f_mum63zb5tebbi	database	f_mum63zb5tebbi	Kannada		aḍar	to be united or joined with, arise, come, appear	dedr			0	Original order retained.
d79	d79	Kannada	R	R	aḍasu	f_p7q4vgf4rtbtu	database	f_p7q4vgf4rtbtu	Kannada		aḍasu	to join, be joined with, unite with, be near to, associate oneself to	dedr			0	Original order retained.
d79	d79	Kodagu	R	R	aḍɨ- (aḍɨp-, aḍɨt-)	f_qe3invpaphrac	database	f_qe3invpaphrac	Kodagu		aḍï- (aḍïp-, aḍït-)	to approach	dedr			0	Order retained.
d79	d79	Kota	R	R	aṛ- (aṭ-)	f_cyevisd4o4omq	database	f_cyevisd4o4omq	Kota		aṛ- (aṭ-)	(something) happens to a person	dedr			0	Root order retained, tense allomorphy separate.
d79	d79	Kui	M	R	aḍa (aḍi-)	f_n62fnanapyddg	database	f_n62fnanapyddg	Kui		aḍa (aḍi-)	to be associated with, joined to, united with, associate with, accompany, aid, assist, help; association, assistance, help	dedr	noun		0	Displaced marriage derivatives coexist with retained join derivatives.
d79	d79	Kui	M	R	aṭpa (aṭt-)	f_rcx76quvo7nbw	database	f_rcx76quvo7nbw	Kui		aṭpa (aṭt-)	to join , unite, associate	dedr	tr		0	Displaced marriage derivatives coexist with retained join derivatives.
d79	d79	Kui	M	D	ṛānja (ṛānji-)	f_lj7tp7vi4m3o2	database	f_lj7tp7vi4m3o2	Kui		ṛānja (ṛānji-)	to be married; marry; marriage	dedr	noun		0	Displaced marriage derivatives coexist with retained join derivatives.
d79	d79	Kui	M	D	ṛāspa (ṛāspi-)	f_2vxco53vunhbq	database	f_2vxco53vunhbq	Kui		ṛāspa (ṛāspi-)	to give in marriage; giving in marriage	dedr	noun		0	Displaced marriage derivatives coexist with retained join derivatives.
d79	d79	Kuwi	A	A	dagira	f_7jfw3hogse72i	database	f_7jfw3hogse72i	Kuwi		dagira	near	dedr;F-Kuwi		F.	0	Displaced-looking extended near word; likely contact candidate, donor not established.
d79	d79	Kuwi	A	A	daggire	f_n3ldpatq3cxaw	database	f_n3ldpatq3cxaw	Kuwi		daggire	near	dedr;S-Kuwi		S.	0	Displaced-looking extended near word; likely contact candidate, donor not established.
