Group_ID	Display_Form	Display_Gloss	Head_Strategy	N_Records	N_Attested	N_Telugu_Records	Languages	Reconstructions	Reconstruction_IDs	Reconstructed_Input_Flags	Comparative_Input_Flags	Telugu_Forms	Status	Scope	In_Independent_Input_Screen	In_Prior_Cluster_Triage	In_Local_Stop_Process_Audit
d1013	oṛ- (oṛt-)		dedr-reflex	5	3	0	Gadaba;Parji	*oṛ-	f_qbecoahrjmyvc	short-vowel-apical	long-vowel-apical-control;short-vowel-apical		entry	not-in-current-full-casebook	1	0	0
d1014	oṛ̆uŋkai		dedr-reflex	6	4	0	Kannada;Tamil;Tulu	*oẓ-uŋk-	f_nhhmsrcr45nyo	short-vowel-apical	postapical-cluster;short-vowel-apical		entry	not-in-current-full-casebook	1	0	0
d1015	**oḷi		krishnamurti-pfeiffer	46	44	2	Badaga;Gadaba;Gondi;Kannada;Kodagu;Koraga;Kota;Kurux;Malayalam;Tamil;Telugu;Toda;Tulu	**oḷi | *oḷ-	d1015;f_t7tnj7fbjewzk	short-vowel-apical	long-vowel-apical-control;nonapical-control;postapical-cluster;short-vowel-apical	oḷavu | ōlamu	entry	not-in-current-full-casebook	1	0	0
d1016	oḷi		dedr-reflex	26	24	0	Badaga;Kannada;Konda;Malayalam;Tamil;Tulu	*oḷ-i-	f_sjl6qv4ymvsuq	short-vowel-apical	long-vowel-apical-control;postapical-cluster;short-vowel-apical		entry	not-in-current-full-casebook	1	0	0
d1017	oḷi		dedr-reflex	39	37	0	Badaga;Kannada;Kota;Tamil;Toda	*oḷ-i	f_qzwskqcfzgrnk	short-vowel-apical	geminate-apical-control;postapical-cluster;short-vowel-apical		entry	not-in-current-full-casebook	1	0	0
d1018	oḷḷe		dedr-reflex	10	6	0	Kannada;Kodagu;Tulu	*oḷḷe | *hoḷḷe | *uḷḷi	f_j2bkalzehz4uq;f_vaorfzep7wjc4;f_xbcnqswomsthw	geminate-apical-control;postapical-cluster;short-vowel-apical	geminate-apical-control;postapical-cluster;short-vowel-apical		entry	not-in-current-full-casebook	1	0	0
d1019	oṟu		dedr-reflex	19	17	8	Kannada;Malayalam;Tamil;Telugu	*or_u (-pp-, -tt-)	f_hb7jecc2bwjfs	short-vowel-apical	nonapical-control;short-vowel-apical	orudala | rompi | rō̃ta | roccu | ṟoccu | rōta | ṟōyu | rōyu	entry	not-in-current-full-casebook	1	0	0
d102	aṭṭnā		dedr-reflex	5	3	0	Kurux;Malto	*aṭṭ-	f_tuhro6tmpl27m	geminate-apical-control;postapical-cluster;short-vowel-apical	geminate-apical-control;postapical-cluster;short-vowel-apical		entry	not-in-current-full-casebook	1	0	0
d1020	oṟṟi		dedr-reflex	7	5	0	Kannada;Malayalam;Tamil;Tulu	*ot_-i	f_izr5hevdu56js	nonapical-control	geminate-apical-control;nonapical-control;postapical-cluster;short-vowel-apical		entry	not-in-current-full-casebook	1	0	0
d1021	oṟṟu		dedr-reflex	35	33	2	Badaga;Kannada;Kodagu;Kota;Kuwi;Malayalam;Tamil;Telugu;Tulu	*ot_-	f_3i6wsi7wi6fte	nonapical-control	geminate-apical-control;nonapical-control;postapical-cluster;short-vowel-apical	ottu | ottaḍamu	entry	not-in-current-full-casebook	1	0	0
d1022	oṟṟu		dedr-reflex	12	10	0	Malayalam;Tamil	*or_r_u (or_r_i-)	f_l4idz3tpb6xku	short-vowel-apical	geminate-apical-control;postapical-cluster;short-vowel-apical		entry	not-in-current-full-casebook	1	0	0
d1023	oṟṟu		dedr-reflex	6	4	1	Malayalam;Tamil;Telugu	*or_r_u	f_3axzpj7vinbjy	short-vowel-apical	geminate-apical-control;nonapical-control;postapical-cluster;short-vowel-apical	ottulu	entry	not-in-current-full-casebook	1	0	0
d1024	on'nā		dedr-reflex	4	2	0	Kurux;Malto	*on-	f_dfdvdywuasoew	short-vowel-apical	postapical-cluster;short-vowel-apical		entry	not-in-current-full-casebook	1	0	0
d1025	*on-patV	ten minus one	krishnamurti-pfeiffer	51	46	0	Badaga;Gondi;Kannada;Kodagu;Kota;Malayalam;Tamil;Toda;Tulu;markodi	*on-patV | *on-pad- | *ten, teṯ-kku	d1025;f_bsamqb6zpxgck;f_mq76jpntl6jo4;f_nu4jutgkkvhha;f_qjiqlydpnafzk	postapical-cluster;short-vowel-apical	long-vowel-apical-control;nonapical-control;postapical-cluster;short-vowel-apical		entry	not-in-current-full-casebook	1	0	0
d1026	ō-nāy		dedr-reflex	4	2	0	Malayalam;Tamil	*ō-nāy	f_6s5rvlxxtsv6g	long-vowel-apical-control	long-vowel-apical-control		entry	not-in-current-full-casebook	0	0	0
d1027	ō		dedr-reflex	6	4	0	Malayalam;Tamil	*ō	f_a5hkaandy3ooc				entry	not-in-current-full-casebook	0	0	0
d1028	ōkaḷi		dedr-reflex	7	4	0	Kannada;Tulu	*ōkaḷi | *ōkuḷi	f_f5yeozui6w7uo;f_onsbbpjymonlg				entry	not-in-current-full-casebook	0	0	0
d1029	*ōṅkk-		krishnamurti-pfeiffer	35	30	6	Kannada;Malayalam;Tamil;Telugu;Tulu	*ōṅkk- | *ō(ŋ)kaL- | *ōŋkk	d1029;f_bffg2kr6tm4us;f_h67wn2nleolie		nonapical-control	ōkili | ōkarinta | ōkarincu | ōkilinta | ōkara | ōkilincu	entry	not-in-current-full-casebook	0	0	0
d103	aḍeyḷm		dedr-reflex	5	3	0	Kota;Tulu	*aḍḍagVl-	f_w6jkxrp3qi5cg	geminate-apical-control;postapical-cluster;short-vowel-apical	geminate-apical-control;postapical-cluster;short-vowel-apical		entry	not-in-current-full-casebook	1	0	0
d1030	ōrai		dedr-reflex	8	6	2	Kannada;Malayalam;OTelugu;Tamil;Telugu	*ōrai	f_ocuda7uln7olo	long-vowel-apical-control	long-vowel-apical-control	ōremu | ōgiramu	entry	not-in-current-full-casebook	1	0	0
d1031	ōgnā (ūgyas)		dedr-reflex	6	4	0	Kurux;Malto	*ōg-	f_c6pujja74aodg		nonapical-control		entry	not-in-current-full-casebook	0	0	0
d1032	o·garv- (o·gard-)		dedr-reflex	10	7	0	Kota;Toda;Tulu	*ōŋoṇuni | *ōŋgēruni	f_mikri2cx3fz7m;f_vijphh5gkabom				entry	not-in-current-full-casebook	0	0	0
d1033	ōŋku		dedr-reflex	19	17	0	Kannada;Kota;Malayalam;Tamil;Toda	*ōŋ-	f_i2co4ep2cceva				entry	not-in-current-full-casebook	0	0	0
d1034	ōcaram		dedr-reflex	8	6	2	Kannada;Tamil;Telugu	*ōcaram	f_czqorufu4v3ca			kōsaramu | kōsamu	entry	not-in-current-full-casebook	0	0	0
d1035	ōsā		dedr-reflex	4	2	0	Kurux;Malto	*ōs-	f_zmfbvsuwcayu6		nonapical-control		entry	not-in-current-full-casebook	0	0	0
d1036	ōcai		dedr-reflex	9	8	0	Kota;Malayalam;Tamil				nonapical-control		entry	not-in-current-full-casebook	0	0	0
d1037	ōspa (ōst-)		dedr-reflex	14	12	0	Kui;Kuwi	*ōǯ-	f_6o36k6tqosjqk		nonapical-control		entry	not-in-current-full-casebook	0	0	0
d1038	ōje		dedr-reflex	6	4	1	Kannada;Telugu	*ōǯ-	f_i432d6gdon2tu			ōja	entry	not-in-current-full-casebook	0	0	0
d1039	*ōḍ-		merriam-pdr	33	13	1	Gondi;Kannada;Malayalam;Parji;Tamil;Telugu;Tulu	*ōḍ-	d1039;f_5u5uoq72o77za	long-vowel-apical-control	long-vowel-apical-control;nonapical-control	ōḍa	entry	not-in-current-full-casebook	1	0	0
d104	aḍm ( aḍt-)		dedr-reflex	7	5	1	Badaga;Kannada;Kota;Telugu	*aḍḍa-	f_pgaqbme3lexde	geminate-apical-control;postapical-cluster;short-vowel-apical	geminate-apical-control;nonapical-control;postapical-cluster;short-vowel-apical	aḍḍuga	entry	not-in-current-full-casebook	1	0	0
d1040	ōṛā		dedr-reflex	5	3	0	Kurux	*ōṛ-ā	f_o66r5o7swjlpc	long-vowel-apical-control	long-vowel-apical-control;short-vowel-apical		entry	not-in-current-full-casebook	1	0	0
d1041	*ōṭu	to flee; defeat	krishnamurti-pfeiffer	60	56	11	Badaga;Gadaba;Gondi;Kannada;Kodagu;Kota;Kui;Malayalam;Tamil;Telugu;Toda;Tulu	*ōṭu | *ōḍ- | *ōṭṭ-am | *ōṭṭam	d1041;f_5g4u5rwxcyppu;f_bzrek4dio3bvw;f_eg4hw2ox6h562	long-vowel-apical-control	long-vowel-apical-control;nonapical-control;postapical-cluster;short-vowel-apical	ōṭa | ōrcu | ōṭāṟu | ōṭamu | ōḍu | ōḍigillu | ōṭami | ōḍincu | ōṭaṟu | ōṭu | oḍucu	entry	not-in-current-full-casebook	1	0	0
d1042	ōṭu ( ōṭṭ		dedr-reflex	22	20	1	Badaga;Kannada;Kodagu;Kota;Malayalam;Tamil;Telugu;Toda;Tulu	*ōḍ-	f_zewk4xo7nscss	long-vowel-apical-control	long-vowel-apical-control;nonapical-control;postapical-cluster;short-vowel-apical	ōḍu-billa	entry	not-in-current-full-casebook	1	0	0
d1043	ōṭai		dedr-reflex	26	24	0	Badaga;Kannada;Kodagu;Kota;Malayalam;Tamil;Toda;Tulu	*ōḍ-ai	f_5kdxouv6bhbcy	long-vowel-apical-control	geminate-apical-control;long-vowel-apical-control;nonapical-control;postapical-cluster;short-vowel-apical		entry	not-in-current-full-casebook	1	0	0
d1044	ōṭe		dedr-reflex	6	5	0	Kannada;Tulu				long-vowel-apical-control;postapical-cluster;short-vowel-apical		entry	not-in-current-full-casebook	1	0	0
d1045	ōṭai		dedr-reflex	3	2	0	Malayalam;Tamil				long-vowel-apical-control		entry	not-in-current-full-casebook	1	0	0
d1046	ōṇi		dedr-reflex	12	10	1	Badaga;Kannada;Kodagu;Malayalam;Telugu;Tulu	*ōṇ-i	f_huvu35ldujebi	long-vowel-apical-control	geminate-apical-control;long-vowel-apical-control;nonapical-control;postapical-cluster;short-vowel-apical	ōni-kaṭṭu	entry	not-in-current-full-casebook	1	0	0
d1047	*odd-		merriam-pdr	9	7	0	Kannada;Malayalam;Naiki;Tamil;Tulu	*odd-	d1047;f_ejgljoeez7e26	nonapical-control	nonapical-control		entry	not-in-current-full-casebook	0	0	0
d1048	ōda		dedr-reflex	5	3	1	Kannada;Telugu	*ōda-m	f_wn7ckik32tnvw			ōdamu	entry	not-in-current-full-casebook	0	0	0
d1049	ōti		dedr-reflex	3	2	0	Kodagu;Malayalam						entry	not-in-current-full-casebook	0	0	0
d105	aḍḍa		dedr-reflex	5	3	1	Konda;Kuwi;Telugu	*aḍ-a	f_on34ur25ogv74	short-vowel-apical	short-vowel-apical	aḍḍa	entry	not-in-current-full-casebook	1	0	0
d1050	ōti		dedr-reflex	5	4	0	Malayalam;Tamil						entry	not-in-current-full-casebook	0	0	0
d1051	*uj		merriam-pdr	6	4	0	Gadaba;Kurux;Parji	*uj	d1051;f_pxryzg2p3rpgs	nonapical-control	nonapical-control		entry	not-in-current-full-casebook	0	0	0
d1052	*ōtu	to recite, read	krishnamurti-pfeiffer	35	31	0	Badaga;Kannada;Kodagu;Kota;Malayalam;Tamil;Toda;Tulu	*ōtu | *ōṭu | *ōd-	d1052;f_2lshtbnvlxl4s;f_636juvbbw4ezi;f_osiychx74bjga	long-vowel-apical-control			entry	not-in-current-full-casebook	1	0	0
d1053	*ōntti	bloodsucker lizard	krishnamurti-pfeiffer	22	19	0	Badaga;Kannada;Kodagu;Malayalam;Malto;Tamil;Toda;Tulu	*ōntti | *ōnt-i	d1053;f_eu3wsjyngyq44;f_qdntreomz3usq	long-vowel-apical-control	long-vowel-apical-control;nonapical-control;postapical-cluster;short-vowel-apical		entry	not-in-current-full-casebook	1	0	0
d1054	ōmam		dedr-reflex	16	14	1	Badaga;Kannada;Malayalam;Tamil;Telugu;Tulu	*ōm-	f_qvqpmwxtpkoke		nonapical-control	ōmamu	entry	not-in-current-full-casebook	0	0	0
d1055	ōmal		dedr-reflex	3	2	0	Malayalam;Tamil						entry	not-in-current-full-casebook	0	0	0
d1056	ōmpu		dedr-reflex	10	8	1	Kannada;Malayalam;Tamil;Telugu;Tulu	*ōm-	f_7qncgkywqfflk			ōmu	entry	not-in-current-full-casebook	0	0	0
d1057	ōy		dedr-reflex	10	8	1	Malayalam;Tamil;Telugu	*ov-	f_b53aewnd55e64	nonapical-control	nonapical-control	ovvu	entry	not-in-current-full-casebook	0	0	0
d1058	ōy		dedr-reflex	6	5	2	Kannada;Tamil;Telugu;Tulu					ōyī | ōyi	entry	not-in-current-full-casebook	0	0	0
d1059	ōr		dedr-reflex	28	26	4	Kannada;Kota;Malayalam;Tamil;Telugu;Toda	*ōr-	f_taaoritl3ziea	long-vowel-apical-control	long-vowel-apical-control	rōyu | vārcu | ṟōyu | vārucu	entry	not-in-current-full-casebook	1	0	0
d106	aḍḍa		dedr-reflex	4	2	1	Konda;Telugu	*aḍ[ḍ]-a	f_537ggpgiv3aac	short-vowel-apical	short-vowel-apical	aḍḍa	entry	not-in-current-full-casebook	1	0	0
d1060	ōram		dedr-reflex	24	22	1	Badaga;Kannada;Konda;Kota;Malayalam;Tamil;Telugu	*ōr-	f_56b7ylq5yqg72	long-vowel-apical-control	geminate-apical-control;long-vowel-apical-control;nonapical-control;postapical-cluster;short-vowel-apical	ōra	entry	not-in-current-full-casebook	1	0	0
d1061	*ōr-		merriam-pdr	6	4	0	Gadaba;Malayalam;Tamil;Tulu	*ōr-	d1061;f_enql44amt6pdq	long-vowel-apical-control	long-vowel-apical-control		entry	not-in-current-full-casebook	1	0	0
d1062	vɨ·ry		dedr-reflex	45	43	5	Badaga;Kannada;Kodagu;Konda;Telugu;Toda;Tulu	*ōr-ai	f_snuzvlke4or6s	long-vowel-apical-control	geminate-apical-control;long-vowel-apical-control;nonapical-control;postapical-cluster;short-vowel-apical	ōragilu | ōrasilu | ōragincu | ōrasillu | ōra	entry	not-in-current-full-casebook	1	0	0
d1063	**ōr-		krishnamurti-pfeiffer	18	15	8	Kurux;Kuwi;Tamil;Telugu	**ōr- | *ōr- | **ōr	d1063;f_6ijpbfpvqbios;f_nm3huoct3nvlq	long-vowel-apical-control	long-vowel-apical-control;postapical-cluster;short-vowel-apical	ōrucu | ōrcu | ōrmi | ōrupari | ōrupu | ōpu | ōrpari | ōrpu	entry	not-in-current-full-casebook	1	0	0
d1064	*ōr- (?)		merriam-pdr	7	5	0	Kui;Kurux;Malto	*ōr- (?)	d1064;f_ciak7vzmu5w2o	long-vowel-apical-control	long-vowel-apical-control;nonapical-control;postapical-cluster;short-vowel-apical		entry	not-in-current-full-casebook	1	0	0
d1065	ōr		dedr-reflex	7	5	0	Kurux;Malto	*ōṛ	f_3wa7ohasylhqa	long-vowel-apical-control	long-vowel-apical-control;short-vowel-apical		entry	not-in-current-full-casebook	1	0	0
d1066	o·l- (o·lt-)		dedr-reflex	5	3	0	Kolami;Naikri	*ōl-	f_qi72lc2purvrm	long-vowel-apical-control	long-vowel-apical-control		entry	not-in-current-full-casebook	1	0	0
d1067	*ol-		merriam-pdr	6	4	0	Gadaba;Gondi	*ol-	d1067;f_godka25jphcfm	short-vowel-apical	long-vowel-apical-control;short-vowel-apical		entry	not-in-current-full-casebook	1	0	0
d1068	ōl-āḍu		dedr-reflex	5	3	2	Kannada;Telugu	*ōl-	f_qz47yndrzrtxm	long-vowel-apical-control	long-vowel-apical-control	ōlal-āḍu | ōl-āḍu	entry	not-in-current-full-casebook	1	0	0
d1069	ōlaṉ		dedr-reflex	5	4	0	Malayalam;Tamil				long-vowel-apical-control		entry	not-in-current-full-casebook	1	0	0
d107	*aḍr- (*-rl-)		merriam-pdr	7	5	0	Gondi;Kolami;Kui;Parji	*aḍr- (*-rl-)	d107;f_aa5hpdjru6p4s	postapical-cluster;short-vowel-apical	postapical-cluster;short-vowel-apical		entry	not-in-current-full-casebook	1	0	0
d1070	ōlai		dedr-reflex	28	26	0	Badaga;Kannada;Kodagu;Kota;Malayalam;Tamil;Toda;Tulu	*ōl-ai	f_w7z7cuormqxse	long-vowel-apical-control	long-vowel-apical-control;nonapical-control;postapical-cluster;short-vowel-apical		entry	not-in-current-full-casebook	1	0	0
d1071	ō		dedr-reflex	10	8	0	Kannada;Kodagu;Malayalam;Tamil	*ō[ḷ]-	f_paotqighrkmhq		long-vowel-apical-control		entry	not-in-current-full-casebook	1	0	0
d1072	ōṛ		dedr-reflex	5	3	0	Gadaba;Parji	*ōṛ-	f_2grzki4i4pemc	long-vowel-apical-control	long-vowel-apical-control		entry	not-in-current-full-casebook	1	0	0
d1073	*ōṛ-		merriam-pdr	8	6	0	Gadaba;Gondi;Konda;Parji	*ōṛ-	d1073;f_dgrgriussmo2e	long-vowel-apical-control	long-vowel-apical-control		entry	not-in-current-full-casebook	1	0	0
d1074	ōṟe		dedr-reflex	5	3	1	Kannada;Telugu	*ōr_-	f_xogspcyuphakg	long-vowel-apical-control	long-vowel-apical-control	ōru	entry	not-in-current-full-casebook	1	0	0
d1075	kakulāte		dedr-reflex	9	7	2	Badaga;Kannada;Telugu	*kakulat-	f_swadzz6ti5odm	nonapical-control	nonapical-control	kakkūṟiti | kakkuṟiti	entry	not-in-current-full-casebook	0	0	0
d1076	kakkaṭa		dedr-reflex	5	3	0	Kannada;Malayalam	*kakaḍ-ai	f_p73d33lgov42e	nonapical-control	nonapical-control;postapical-cluster;short-vowel-apical		entry	not-in-current-full-casebook	1	0	0
d1077	kakadg <i> ('our k.')		dedr-reflex	12	10	0	Badaga;Kota;Toda	*kak- (?)	f_tcd5rwcjtvcae	nonapical-control	nonapical-control;short-vowel-apical		entry	not-in-current-full-casebook	0	0	0
d1078	*kakar-		merriam-pdr	6	4	0	Gondi;Kolami;Parji	*kakar-	d1078;f_rm2br2gheusyg	nonapical-control	nonapical-control		entry	not-in-current-full-casebook	0	0	0
d108	aḍrnā		dedr-reflex	5	3	0	Kurux;Malto	*aḍr-	f_poynv372prwn6	postapical-cluster;short-vowel-apical	postapical-cluster;short-vowel-apical		entry	not-in-current-full-casebook	1	0	0
d1080	kapka (&lt; kak-p-; kakt-)		dedr-reflex	9	7	0	Kui;Kuwi	*kak-	f_h3qarkvlnayiy	nonapical-control	nonapical-control		entry	not-in-current-full-casebook	0	0	1
d1081	kakke		dedr-reflex	7	5	0	Kannada;Tamil;Tulu	*kaḍk-ai	f_kxnnkp5olzu2u	postapical-cluster;short-vowel-apical	nonapical-control;short-vowel-apical		entry	not-in-current-full-casebook	1	0	0
d1082	xakkʰnā		dedr-reflex	5	3	0	Kurux;Malto	*qaq	f_zljsii3soe7xw		nonapical-control		entry	not-in-current-full-casebook	0	0	0
d1083	kaŋkaṇam		dedr-reflex	4	2	1	Tamil;Telugu	*Kaŋkaṇ-	f_xjfxgqcxwhk22			kaŋkaṇamu	entry	not-in-current-full-casebook	0	0	0
d1084	kaŋki		dedr-reflex	5	3	1	Kannada;Telugu	*kaŋk-	f_j53q5rbcacmkk			kaŋki	entry	not-in-current-full-casebook	0	0	0
d1085	kaŋku		dedr-reflex	3	2	0	Kota;Tamil				nonapical-control		entry	not-in-current-full-casebook	0	0	0
d1086	kacak		dedr-reflex	15	13	0	Gondi;Kannada;Kota;Tulu	*kacak-	f_mgxrupj36ky4i	nonapical-control	nonapical-control		entry	not-in-current-full-casebook	0	0	0
d1087	**kaccV-		krishnamurti-pfeiffer	11	8	0	Kurux;Malayalam;Tamil	**kaccV- | *Kas-aŋk- | **kaccV	d1087;f_mvuonelwkz2vu;f_xlkzv4fsvs6uc	nonapical-control	nonapical-control		entry	not-in-current-full-casebook	0	0	0
d1088	**kacV		krishnamurti-pfeiffer	54	52	3	Badaga;Kannada;Kota;Kurux;Malayalam;Malto;Pengo;Tamil;Telugu;Toda;Tulu	**kacV | *k̂ac-	d1088;f_fcejkwf5xd362	nonapical-control	nonapical-control;postapical-cluster;short-vowel-apical	gasi | kasaṭu | kasavu	entry	not-in-current-full-casebook	0	0	0
d1089	*kac-		merriam-pdr	40	38	11	Badaga;Gadaba;Kannada;Kota;Kui;Kurux;Kuwi;Malayalam;Parji;Tamil;Telugu;Tulu	*kac-	d1089;f_w7xkxehbxhcbk	nonapical-control	long-vowel-apical-control;nonapical-control	āḷincu | kasugu | kayyamu | kasi | gayy&lt | kisaru | gayāḷi | gayyāḷi | &gt | gay&lt | kasaru	entry	not-in-current-full-casebook	0	0	0
d1090	kas- (-t-)		dedr-reflex	6	4	0	Konda;Kuwi;Pengo	*kah-	f_pqtbcgkmhm75g	nonapical-control	nonapical-control		entry	not-in-current-full-casebook	0	0	0
d1091	kacaṉai		dedr-reflex	9	7	0	Kannada;Kuwi;Tamil	*kas-	f_piwbiadkjs4je	nonapical-control	nonapical-control		entry	not-in-current-full-casebook	0	0	0
d1092	*kasur		merriam-pdr	5	3	0	Gondi	*kasur	d1092;f_e7hiaq2hkzk7k	nonapical-control	nonapical-control		entry	not-in-current-full-casebook	0	0	0
d1093	kaya		dedr-reflex	12	10	3	Kuwi;Malayalam;Pengo;Tamil;Telugu	*kaǯ- (?)	f_kveytbha2a2xq		nonapical-control	"Citrus bergamia </i> (cf. <i><xref=""dbia"">DBIA</xref=""dbia""></i> 229) | gaja | gaja nimma"	entry	not-in-current-full-casebook	0	0	0
d1094	kaccāṉ		dedr-reflex	4	2	0	Malayalam;Tamil	*Kac-	f_u3vlm6o66a2xs	nonapical-control	nonapical-control		entry	not-in-current-full-casebook	0	0	0
d1095	kaccitam		dedr-reflex	4	2	1	Tamil;Telugu	*Kacit-	f_iszcccbqlswsc	nonapical-control	nonapical-control	kaccitamu	entry	not-in-current-full-casebook	0	0	0
d1096	*kac-		merriam-pdr	12	10	0	Gondi;Kolami	*kac-	d1096;f_aymshfngimfhm	nonapical-control	nonapical-control		entry	not-in-current-full-casebook	0	0	0
d1097	**kaṯV-		krishnamurti-pfeiffer	37	34	0	Badaga;Gadaba;Gondi;Kannada;Kolami;Kui;Kurux;Kuwi;Malto;Manda;Parji;Pengo;Tamil;Toda;Tulu	**kaṯV- | *kac- | **kaṯV	d1097;f_wsvll5wnthfre;f_z2lzgvv4uefuk	nonapical-control;postapical-cluster;short-vowel-apical	nonapical-control;postapical-cluster;short-vowel-apical		entry	not-in-current-full-casebook	1	0	0
d1098	kaccu		dedr-reflex	4	2	0	Malayalam;Tamil	*Kac-	f_sbvm4leauwhxs	nonapical-control	nonapical-control		entry	not-in-current-full-casebook	0	0	0
