Form_ID	Field	Original_Value	Research_Value	Evidence	Reason
f_5iyhofvsla4v2	Language_ID	Kodagu	Tulu	DEDR 688 p.67; https://dsal.uchicago.edu/cgi-bin/app/burrow_query.py?page=67; directly read 2026-09-09	Only preceding ūḷ plough paradigm is Kodagu; nine subsequent plough/song forms follow Tu.
f_c3n2jsofrzp4s	Language_ID	Kodagu	Tulu	DEDR 688 p.67; https://dsal.uchicago.edu/cgi-bin/app/burrow_query.py?page=67; directly read 2026-09-09	Only preceding ūḷ plough paradigm is Kodagu; nine subsequent plough/song forms follow Tu.
f_cds7ss3ibcus6	Language_ID	Kodagu	Tulu	DEDR 688 p.67; https://dsal.uchicago.edu/cgi-bin/app/burrow_query.py?page=67; directly read 2026-09-09	Only preceding ūḷ plough paradigm is Kodagu; nine subsequent plough/song forms follow Tu.
f_fkuwrlq5apamq	Language_ID	Kodagu	Tulu	DEDR 688 p.67; https://dsal.uchicago.edu/cgi-bin/app/burrow_query.py?page=67; directly read 2026-09-09	Only preceding ūḷ plough paradigm is Kodagu; nine subsequent plough/song forms follow Tu.
f_oqs3d7c7m3z5i	Language_ID	Kodagu	Tulu	DEDR 688 p.67; https://dsal.uchicago.edu/cgi-bin/app/burrow_query.py?page=67; directly read 2026-09-09	Only preceding ūḷ plough paradigm is Kodagu; nine subsequent plough/song forms follow Tu.
f_uddy4fbfyz3u6	Language_ID	Kodagu	Tulu	DEDR 688 p.67; https://dsal.uchicago.edu/cgi-bin/app/burrow_query.py?page=67; directly read 2026-09-09	Only preceding ūḷ plough paradigm is Kodagu; nine subsequent plough/song forms follow Tu.
f_uee7dtwtla532	Language_ID	Kodagu	Tulu	DEDR 688 p.67; https://dsal.uchicago.edu/cgi-bin/app/burrow_query.py?page=67; directly read 2026-09-09	Only preceding ūḷ plough paradigm is Kodagu; nine subsequent plough/song forms follow Tu.
f_v6iobv7g5c4yo	Language_ID	Kodagu	Tulu	DEDR 688 p.67; https://dsal.uchicago.edu/cgi-bin/app/burrow_query.py?page=67; directly read 2026-09-09	Only preceding ūḷ plough paradigm is Kodagu; nine subsequent plough/song forms follow Tu.
f_y4k4qaqxqyomk	Language_ID	Kodagu	Tulu	DEDR 688 p.67; https://dsal.uchicago.edu/cgi-bin/app/burrow_query.py?page=67; directly read 2026-09-09	Only preceding ūḷ plough paradigm is Kodagu; nine subsequent plough/song forms follow Tu.
f_xn35byczjqea2	Language_ID	Gondi	Kui	DEDR 695 p.68; https://dsal.uchicago.edu/cgi-bin/app/burrow_query.py?page=68; directly read 2026-09-09	Queried rūṭpa follows the Kui heading and is not a Gondi form.
f_a6nyxlm7cjw6i	Language_ID	Kodagu	Tulu	DEDR 664 p.64; https://dsal.uchicago.edu/cgi-bin/app/burrow_query.py?page=64; directly read 2026-09-09	Five round/cake forms follow Tu. in the original; only two preceding roll-verb paradigms are Kodagu.
f_s5g2bd3nynvu2	Language_ID	Kodagu	Tulu	DEDR 664 p.64; https://dsal.uchicago.edu/cgi-bin/app/burrow_query.py?page=64; directly read 2026-09-09	Five round/cake forms follow Tu. in the original; only two preceding roll-verb paradigms are Kodagu.
f_7t3fatoa3mjay	Language_ID	Kodagu	Tulu	DEDR 664 p.64; https://dsal.uchicago.edu/cgi-bin/app/burrow_query.py?page=64; directly read 2026-09-09	Five round/cake forms follow Tu. in the original; only two preceding roll-verb paradigms are Kodagu.
f_kek56negcdvjg	Language_ID	Kodagu	Tulu	DEDR 664 p.64; https://dsal.uchicago.edu/cgi-bin/app/burrow_query.py?page=64; directly read 2026-09-09	Five round/cake forms follow Tu. in the original; only two preceding roll-verb paradigms are Kodagu.
f_udfxvvixjx2ik	Language_ID	Kodagu	Tulu	DEDR 664 p.64; https://dsal.uchicago.edu/cgi-bin/app/burrow_query.py?page=64; directly read 2026-09-09	Five round/cake forms follow Tu. in the original; only two preceding roll-verb paradigms are Kodagu.
f_7wyepvkx6uqdo	Language_ID	Gondi	Konda	DEDR 260, p.25; https://dsal.uchicago.edu/cgi-bin/app/burrow_query.py?page=25; directly read 2026-09-09	The original entry places these five forms after the explicit Konḍa heading; the preceding Gondi Koya all- is a different record. The source parser failed to switch language here.
f_st3scffpxz4nm	Language_ID	Gondi	Konda	DEDR 260, p.25; https://dsal.uchicago.edu/cgi-bin/app/burrow_query.py?page=25; directly read 2026-09-09	The original entry places these five forms after the explicit Konḍa heading; the preceding Gondi Koya all- is a different record. The source parser failed to switch language here.
f_wgn7ssdwgyjiw	Language_ID	Gondi	Konda	DEDR 260, p.25; https://dsal.uchicago.edu/cgi-bin/app/burrow_query.py?page=25; directly read 2026-09-09	The original entry places these five forms after the explicit Konḍa heading; the preceding Gondi Koya all- is a different record. The source parser failed to switch language here.
f_xvmvtpdunbcoa	Language_ID	Gondi	Konda	DEDR 260, p.25; https://dsal.uchicago.edu/cgi-bin/app/burrow_query.py?page=25; directly read 2026-09-09	The original entry places these five forms after the explicit Konḍa heading; the preceding Gondi Koya all- is a different record. The source parser failed to switch language here.
f_ybkj7hvpl54na	Language_ID	Gondi	Konda	DEDR 260, p.25; https://dsal.uchicago.edu/cgi-bin/app/burrow_query.py?page=25; directly read 2026-09-09	The original entry places these five forms after the explicit Konḍa heading; the preceding Gondi Koya all- is a different record. The source parser failed to switch language here.
f_bmevygelp5lac	Language_ID	Malayalam	Kannada	DEDR 242, p.23; https://dsal.uchicago.edu/cgi-bin/app/burrow_query.py?page=23; directly read 2026-09-09	These five pulse-name forms occur after Ka. in the source; only alaśaṇṭa and alasāndram are Malayalam.
f_f7qgdtpmoqkye	Language_ID	Malayalam	Kannada	DEDR 242, p.23; https://dsal.uchicago.edu/cgi-bin/app/burrow_query.py?page=23; directly read 2026-09-09	These five pulse-name forms occur after Ka. in the source; only alaśaṇṭa and alasāndram are Malayalam.
f_n2s7u3y35zyiy	Language_ID	Malayalam	Kannada	DEDR 242, p.23; https://dsal.uchicago.edu/cgi-bin/app/burrow_query.py?page=23; directly read 2026-09-09	These five pulse-name forms occur after Ka. in the source; only alaśaṇṭa and alasāndram are Malayalam.
f_r2ibwhzctmxp2	Language_ID	Malayalam	Kannada	DEDR 242, p.23; https://dsal.uchicago.edu/cgi-bin/app/burrow_query.py?page=23; directly read 2026-09-09	These five pulse-name forms occur after Ka. in the source; only alaśaṇṭa and alasāndram are Malayalam.
f_yc5x4flmsczgk	Language_ID	Malayalam	Kannada	DEDR 242, p.23; https://dsal.uchicago.edu/cgi-bin/app/burrow_query.py?page=23; directly read 2026-09-09	These five pulse-name forms occur after Ka. in the source; only alaśaṇṭa and alasāndram are Malayalam.
f_osfi4ajucckey	Language_ID	Kolami	Konda	DEDR 443 p.43; https://dsal.uchicago.edu/cgi-bin/app/burrow_query.py?page=43; directly read 2026-09-09	The ṛī form follows the Koṇḍa heading, not the preceding Kolami iṛ-.
f_c3tujgqwn53m4	Language_ID	Telugu	Kolami	DEDR 449 p.44; https://dsal.uchicago.edu/cgi-bin/app/burrow_query.py?page=44; directly read 2026-09-09	Hislop edamakei is explicitly labeled Kol. and borrowed from Telugu, not itself a Telugu attestation.
f_bjfsuq3va4d5i	Language_ID	Kolami	Gondi	DEDR 452 p.44; https://dsal.uchicago.edu/cgi-bin/app/burrow_query.py?page=44; directly read 2026-09-09	Go. (Mu.) ḍīpi follows Kol. (Kin.) iṛp. The source has different languages on the two sides of the wall comparison.
f_5va2ta4nyxn2m	Language_ID	Kui	Kuwi	DEDR 453 p.44; https://dsal.uchicago.edu/cgi-bin/app/burrow_query.py?page=44; directly read 2026-09-09	Four touch forms follow the explicit Kuwi heading; only ḍīga (ḍīgi-) is Kui.
f_nqxts67yzhx3c	Language_ID	Kui	Kuwi	DEDR 453 p.44; https://dsal.uchicago.edu/cgi-bin/app/burrow_query.py?page=44; directly read 2026-09-09	Four touch forms follow the explicit Kuwi heading; only ḍīga (ḍīgi-) is Kui.
f_wue4o7mgxluak	Language_ID	Kui	Kuwi	DEDR 453 p.44; https://dsal.uchicago.edu/cgi-bin/app/burrow_query.py?page=44; directly read 2026-09-09	Four touch forms follow the explicit Kuwi heading; only ḍīga (ḍīgi-) is Kui.
f_yzkxwzeadth26	Language_ID	Kui	Kuwi	DEDR 453 p.44; https://dsal.uchicago.edu/cgi-bin/app/burrow_query.py?page=44; directly read 2026-09-09	Four touch forms follow the explicit Kuwi heading; only ḍīga (ḍīgi-) is Kui.
f_4apt5slmaf4ze	Language_ID	Telugu	Kolami	DEDR 475 p.46; https://dsal.uchicago.edu/cgi-bin/app/burrow_query.py?page=46; directly read 2026-09-09	rēŋga is Kolami Kinwat; Telugu rē̃gu/rēnu are absent from the parsed group and are research-supplemented from the source.
