Record_ID	Entry_ID	Language_ID	Source_Form	Source_Gloss	Source	Input_Class	Proposed_Immediate_Input	Supporting_Past_Stem	Disposition	Observed_Outcome	Derivation_and_Direction	Confidence	Exception_Notes	Family_ID	Review_Scope
f_5oxdbblrif6gi	d3323	Kuwi	hūpkinai	to vomit	dedr	labial-stem+velar-formative	hūp spit + k-i/a		labial-stem-plus-velar-control	O	Independent labial base (panel-029 for heap, quiet and spit) supports original p-before-k, not an underlying velar-before-labial sequence. The interlace compound remains less fully segmented.	high for labial bases except interlace, medium for exact derivation		d3323	Complete screen hit adjudicated for local velar/labial process; wider etymon comparison is limited unless separately present in casebook.
f_64cwfkd4pln3y	d2804	Pengo	hēbga (&lt; hēg-b-)	to whisper	dedr	verbal-velar+labial-formative	hēg-b-		source-supported-verbal-input	D	The source explicitly supplies velar-before-labial morphological input; attested labial-before-velar supports a synchronic exchange analysis. Garrett and Blevins2009 pp.537–543 propose an analogical origin through replacement and double marking, so these forms do not independently prove prehistoric phonetic transposition.	high for local source analysis; deeper root history not asserted		d2804	Complete screen hit adjudicated for local velar/labial process; wider etymon comparison is limited unless separately present in casebook.
f_6e4zjs67hwkmi	d4527	Kuwi	pompki-ahanaha	with arms interlaced	dedr;F-Kuwi	labial-stem+velar-formative	pomp interlace + k-i		labial-stem-plus-velar-control	O	Independent labial base (panel-029 for heap, quiet and spit) supports original p-before-k, not an underlying velar-before-labial sequence. The interlace compound remains less fully segmented.	high for labial bases except interlace, medium for exact derivation		d4527	Complete screen hit adjudicated for local velar/labial process; wider etymon comparison is limited unless separately present in casebook.
f_6p76ehnd34kgg	d1957	Kui	kiva (kit-)	to do, make, perform, cause; action, performance; gipka (gip ki-)	dedr	vowel-stem+p+ki	gī + p + ki		vowel-stem-plus-complex-pk-control	O	Winfield1928 p.73 directly supplies gīva:gīpki do and explains p strengthening before ki. The lexical gipka form differs in written quantity, but no velar-before-labial input is established.	high for independent vowel-final stem; medium for exact historical morphology		d1957	Complete screen hit adjudicated for local velar/labial process; wider etymon comparison is limited unless separately present in casebook.
f_7elevopcvv4ww	d2958	Kuwi	ḍīmbu	(ḍīpka) gourd	dedr;Isr-Kuwi	nominal-stem+plural-k	ḍīmb + plural-k		nominal-plural-control	O	This is a noun plural formation; the record supplies no velar-before-labial input. Nasal/labial alternation or plural allomorphy is separate from verbal k-p reversal.	medium; exact nominal allomorphy partly unresolved		d2958	Complete screen hit adjudicated for local velar/labial process; wider etymon comparison is limited unless separately present in casebook.
f_7law2kza56pwg	d4955	Kuwi	murˀ esi	back-bone. DED(S) 4058	dedr;Isr-Kuwi	not-established			english-or-metadata-match	ineligible	English gloss or bibliographic shorthand matched the broad screen; no relevant lexical sequence.			d4955	Complete screen hit adjudicated for local velar/labial process; wider etymon comparison is limited unless separately present in casebook.
f_7mmbwmoolt3gs	d5180	Kui	napka	(&lt;nak-p-; nakt-) to be sweet	dedr	verbal-velar+labial-formative	nak-p-	nakt-	source-supported-verbal-input	D	The source explicitly supplies velar-before-labial morphological input; attested labial-before-velar supports a synchronic exchange analysis. Garrett and Blevins2009 pp.537–543 propose an analogical origin through replacement and double marking, so these forms do not independently prove prehistoric phonetic transposition.	high for local source analysis; deeper root history not asserted		d5180	Complete screen hit adjudicated for local velar/labial process; wider etymon comparison is limited unless separately present in casebook.
f_7o3txxgzmu6cy	d2335	Kui	japka japka vēpa	to slap, beat with open hand	dedr	not-established			input-unresolved	A	japka reduplicated slapping construction can be expressive; no independent jak-p input.			d2335	Complete screen hit adjudicated for local velar/labial process; wider etymon comparison is limited unless separately present in casebook.
f_7rze6k5rcztvq	d3339	Kui	trupka (&lt; truk-p-; trukt-)	to bore, pierce	dedr	verbal-velar+labial-formative	truk-p-	trukt-	source-supported-verbal-input	D	The source explicitly supplies velar-before-labial morphological input; attested labial-before-velar supports a synchronic exchange analysis. Garrett and Blevins2009 pp.537–543 propose an analogical origin through replacement and double marking, so these forms do not independently prove prehistoric phonetic transposition.	high for local source analysis; deeper root history not asserted		d3339	Complete screen hit adjudicated for local velar/labial process; wider etymon comparison is limited unless separately present in casebook.
f_7wr5b6lzlmmms	d4975	Kui	mrupka	(&lt;mruk-p-; mrukt-)to tear, murder, kill; tearing, murder	dedr	verbal-velar+labial-formative	mruk-p-	mrukt-	source-supported-verbal-input	D	The source explicitly supplies velar-before-labial morphological input; attested labial-before-velar supports a synchronic exchange analysis. Garrett and Blevins2009 pp.537–543 propose an analogical origin through replacement and double marking, so these forms do not independently prove prehistoric phonetic transposition.	high for local source analysis; deeper root history not asserted		d4975	Complete screen hit adjudicated for local velar/labial process; wider etymon comparison is limited unless separately present in casebook.
f_a6wowa7sc5wkq	d3714	Kui	ṛupka	(&lt;ṛuk-p-; ṛukt-) to thrust in between, fit in something between two surfaces, twist something into a cloth, insert	dedr	verbal-velar+labial-formative	ṛuk-p-	ṛukt-	source-supported-verbal-input	D	The source explicitly supplies velar-before-labial morphological input; attested labial-before-velar supports a synchronic exchange analysis. Garrett and Blevins2009 pp.537–543 propose an analogical origin through replacement and double marking, so these forms do not independently prove prehistoric phonetic transposition.	high for local source analysis; deeper root history not asserted		d3714	Complete screen hit adjudicated for local velar/labial process; wider etymon comparison is limited unless separately present in casebook.
f_aegukbebzu2sq	d2908	Kui	nōsu	string, cord made from a forest climbing plant	dedr	not-established			english-or-metadata-match	ineligible	Screen matched English text (pumpkin, climbing, scoop, bag-pipe, etc.), not a relevant lexical velar–labial sequence.			d2908	Complete screen hit adjudicated for local velar/labial process; wider etymon comparison is limited unless separately present in casebook.
f_annskmmh7hmag	d178	Kuwi	ambu ( apka)	arrow	dedr;Isr-Kuwi	nominal-stem+plural-k	amb + plural-k		nominal-plural-control	O	This is a noun plural formation; the record supplies no velar-before-labial input. Nasal/labial alternation or plural allomorphy is separate from verbal k-p reversal.	medium; exact nominal allomorphy partly unresolved		d178	Complete screen hit adjudicated for local velar/labial process; wider etymon comparison is limited unless separately present in casebook.
f_aq52w67yubthg	d4979	Kuwi	mūrmū ( mrūpka)	nose-ring	dedr;F-Kuwi	nominal-stem+plural-k	mūrm / mrū? + plural-k		nominal-plural-control	O	This is a noun plural formation; the record supplies no velar-before-labial input. Nasal/labial alternation or plural allomorphy is separate from verbal k-p reversal.	medium; exact nominal allomorphy partly unresolved		d4979	Complete screen hit adjudicated for local velar/labial process; wider etymon comparison is limited unless separately present in casebook.
f_arcejhidriz2w	d2046	Kui	grōḍa	the scoop or receptacle made by holding both hands together	dedr	not-established			english-or-metadata-match	ineligible	Screen matched English text (pumpkin, climbing, scoop, bag-pipe, etc.), not a relevant lexical velar–labial sequence.			d2046	Complete screen hit adjudicated for local velar/labial process; wider etymon comparison is limited unless separately present in casebook.
f_azxiuawfg7ieo	d1628	Kuwi	kupki ki	to make to sit. DED(S) 1356	dedr;Mah-Kuwi	verbal-velar+labial-formative	kug/kok + pi#ki		comparatively-supported-verbal-input	D	Independent local full stem in panel-029 supports a final velar. Labial derivation and voicing assimilation yield the observed p-k/b-g order; purely phonetic origin versus analogical history remains unresolved.	medium-high for local morphological ordering		d1628	Complete screen hit adjudicated for local velar/labial process; wider etymon comparison is limited unless separately present in casebook.
f_b2hjwxrptnka6	d4833	Kui	māla	a creeping or climbing plant, creeper; tendril, long branch of creeping or climbing plant	dedr	not-established			english-or-metadata-match	ineligible	Screen matched English text (pumpkin, climbing, scoop, bag-pipe, etc.), not a relevant lexical velar–labial sequence.			d4833	Complete screen hit adjudicated for local velar/labial process; wider etymon comparison is limited unless separately present in casebook.
f_baluuupon4fbk	d2018	Kui	klāmbu ( klāpka)	family, lineage, kin, tribe, sort, species, kind	dedr	nasal/labial-stem+plural-k	klāmbu + plural-k		nominal-plural-control	O	Labial precedes the plural velar in the morphological input already; nasal loss and/or devoicing can yield p-k without k-p reversal. This is an independently different input class.	medium; precise plural allomorphy requires full paradigms		d2018	Complete screen hit adjudicated for local velar/labial process; wider etymon comparison is limited unless separately present in casebook.
f_bbjlshrg6bkx6	d1994	Kui	kēga	magpie	dedr	not-established			english-or-metadata-match	ineligible	Screen matched English text (pumpkin, climbing, scoop, bag-pipe, etc.), not a relevant lexical velar–labial sequence.			d1994	Complete screen hit adjudicated for local velar/labial process; wider etymon comparison is limited unless separately present in casebook.
f_bzzp2cg5za254	d5519	Kui	vēpka	(&lt;vēk-p-; vēkt-) to stretch forth, stretch up, crane the neck, spread out, open out	dedr	verbal-velar+labial-formative	vēk-p-	vēkt-	source-supported-verbal-input	D	The source explicitly supplies velar-before-labial morphological input; attested labial-before-velar supports a synchronic exchange analysis. Garrett and Blevins2009 pp.537–543 propose an analogical origin through replacement and double marking, so these forms do not independently prove prehistoric phonetic transposition.	high for local source analysis; deeper root history not asserted	Homophonous vēpka stretch and d5522 cease are not merged merely from their surface identity.	d5519	Complete screen hit adjudicated for local velar/labial process; wider etymon comparison is limited unless separately present in casebook.
f_c7zutuml3qcuw	d3439	Kui	tepka	(&lt;tek-p-; tekt-) to have time for, overtake. DED(S) 2831	dedr	verbal-velar+labial-formative	tek-p-	tekt-	source-supported-verbal-input	D	The source explicitly supplies velar-before-labial morphological input; attested labial-before-velar supports a synchronic exchange analysis. Garrett and Blevins2009 pp.537–543 propose an analogical origin through replacement and double marking, so these forms do not independently prove prehistoric phonetic transposition.	high for local source analysis; deeper root history not asserted		d3439	Complete screen hit adjudicated for local velar/labial process; wider etymon comparison is limited unless separately present in casebook.
f_coyje55tr4sra	d3143	Kuwi	tapkali	to quiet	dedr	labial-stem+velar-formative	tap stop + k-ali		labial-stem-plus-velar-control	O	Independent labial base (panel-029 for heap, quiet and spit) supports original p-before-k, not an underlying velar-before-labial sequence. The interlace compound remains less fully segmented.	high for labial bases except interlace, medium for exact derivation		d3143	Complete screen hit adjudicated for local velar/labial process; wider etymon comparison is limited unless separately present in casebook.
f_czs3pdlrlsej4	d5141	Kui	mohori	pipe, bag-pipe, trumpet (said to be &lt; Or.)	dedr	not-established			english-or-metadata-match	ineligible	Screen matched English text (pumpkin, climbing, scoop, bag-pipe, etc.), not a relevant lexical velar–labial sequence.			d5141	Complete screen hit adjudicated for local velar/labial process; wider etymon comparison is limited unless separately present in casebook.
f_d46mmvltgn4ao	d3962	Kui	pṛāpka	(&lt;pṛāk-p-; pṛākt-) to split open, cut open, tear open	dedr	verbal-velar+labial-formative	pṛāk-p-	pṛākt-	source-supported-verbal-input	D	The source explicitly supplies velar-before-labial morphological input; attested labial-before-velar supports a synchronic exchange analysis. Garrett and Blevins2009 pp.537–543 propose an analogical origin through replacement and double marking, so these forms do not independently prove prehistoric phonetic transposition.	high for local source analysis; deeper root history not asserted		d3962	Complete screen hit adjudicated for local velar/labial process; wider etymon comparison is limited unless separately present in casebook.
f_db4jy7jyupb46	d4423	Kui	pebga	(&lt;peg-b-; pegd-)to collect, pick up, peck up, gather; peska (peski-)	dedr	verbal-velar+labial-formative	peg-b-		source-supported-verbal-input	D	The source explicitly supplies velar-before-labial morphological input; attested labial-before-velar supports a synchronic exchange analysis. Garrett and Blevins2009 pp.537–543 propose an analogical origin through replacement and double marking, so these forms do not independently prove prehistoric phonetic transposition.	high for local source analysis; deeper root history not asserted		d4423	Complete screen hit adjudicated for local velar/labial process; wider etymon comparison is limited unless separately present in casebook.
f_dh3te37yrt2fe	d1079	Pengo	kabga	id. (<i>intensive;</i> &lt; kag-ba-); kakohiŋ (<i>pl.</i>)vomit, what is vomited	dedr	verbal-velar+labial-formative	kag-ba-		source-supported-verbal-input	D	The source explicitly supplies velar-before-labial morphological input; attested labial-before-velar supports a synchronic exchange analysis. Garrett and Blevins2009 pp.537–543 propose an analogical origin through replacement and double marking, so these forms do not independently prove prehistoric phonetic transposition.	high for local source analysis; deeper root history not asserted		d1079	Complete screen hit adjudicated for local velar/labial process; wider etymon comparison is limited unless separately present in casebook.
f_dmvxrc66ml2gc	d2260	Kui	gripka	(&lt;grik-p; grikt-) to irritate the throat, as when something briny or pungent is eaten	dedr	verbal-velar+labial-formative	grik-p	grikt-	source-supported-verbal-input	D	The source explicitly supplies velar-before-labial morphological input; attested labial-before-velar supports a synchronic exchange analysis. Garrett and Blevins2009 pp.537–543 propose an analogical origin through replacement and double marking, so these forms do not independently prove prehistoric phonetic transposition.	high for local source analysis; deeper root history not asserted		d2260	Complete screen hit adjudicated for local velar/labial process; wider etymon comparison is limited unless separately present in casebook.
f_dprnsutprxa5k	d809	Pengo	ipka vā	id. (intensive; &lt; ik-pa-)	dedr	verbal-velar+labial-formative	ik-pa-		source-supported-verbal-input	D	The source explicitly supplies velar-before-labial morphological input; attested labial-before-velar supports a synchronic exchange analysis. Garrett and Blevins2009 pp.537–543 propose an analogical origin through replacement and double marking, so these forms do not independently prove prehistoric phonetic transposition.	high for local source analysis; deeper root history not asserted	ipka and ipka vā are simplex and compound uses of one intensive; one family.	d809	Complete screen hit adjudicated for local velar/labial process; wider etymon comparison is limited unless separately present in casebook.
f_ds72snylx7xny	d1080	Kui	kapka (&lt; kak-p-; kakt-)	to laugh, laugh at, ridicule; laughter, ridicule	dedr	verbal-velar+labial-formative	kak-p-	kakt-	source-supported-verbal-input	D	The source explicitly supplies velar-before-labial morphological input; attested labial-before-velar supports a synchronic exchange analysis. Garrett and Blevins2009 pp.537–543 propose an analogical origin through replacement and double marking, so these forms do not independently prove prehistoric phonetic transposition.	high for local source analysis; deeper root history not asserted		d1080	Complete screen hit adjudicated for local velar/labial process; wider etymon comparison is limited unless separately present in casebook.
f_dvee2apjwd5pk	d4678	Pengo	manḍi	cooking pot	dedr	not-established			english-or-metadata-match	ineligible	Screen matched English text (pumpkin, climbing, scoop, bag-pipe, etc.), not a relevant lexical velar–labial sequence.			d4678	Complete screen hit adjudicated for local velar/labial process; wider etymon comparison is limited unless separately present in casebook.
f_e5qvybvkyc5c4	d1851	Kui	kṛōpka (&lt; kṛōkp-; kṛōkt-)	to lower, reduce; reduction	dedr	verbal-velar+labial-formative	kṛōkp-	kṛōkt-	source-supported-verbal-input	D	The source explicitly supplies velar-before-labial morphological input; attested labial-before-velar supports a synchronic exchange analysis. Garrett and Blevins2009 pp.537–543 propose an analogical origin through replacement and double marking, so these forms do not independently prove prehistoric phonetic transposition.	high for local source analysis; deeper root history not asserted	kōpka and kṛōpka are related formations within one entry; do not count two independent roots.	d1851	Complete screen hit adjudicated for local velar/labial process; wider etymon comparison is limited unless separately present in casebook.
f_efkuicf2me4va	d2364	Kui	jrāmbu ( jrāpka)	id	dedr	nasal/labial-stem+plural-k	jrāmbu + plural-k		nominal-plural-control	O	Labial precedes the plural velar in the morphological input already; nasal loss and/or devoicing can yield p-k without k-p reversal. This is an independently different input class.	medium; precise plural allomorphy requires full paradigms		d2364	Complete screen hit adjudicated for local velar/labial process; wider etymon comparison is limited unless separately present in casebook.
f_ej6yqr6zxl3iy	d931	Kui	opka (&lt; ok-p-; okt-)	to remove in loads, cart; carting, cartage	dedr	verbal-velar+labial-formative	ok-p-	okt-	source-supported-verbal-input	D	The source explicitly supplies velar-before-labial morphological input; attested labial-before-velar supports a synchronic exchange analysis. Garrett and Blevins2009 pp.537–543 propose an analogical origin through replacement and double marking, so these forms do not independently prove prehistoric phonetic transposition.	high for local source analysis; deeper root history not asserted		d931	Complete screen hit adjudicated for local velar/labial process; wider etymon comparison is limited unless separately present in casebook.
f_ejxzdnny5tjf6	d2654	Kui	subga	(&lt;sug-b-; sugd-) id.; roasting	dedr	verbal-velar+labial-formative	sug-b-		source-supported-verbal-input	D	The source explicitly supplies velar-before-labial morphological input; attested labial-before-velar supports a synchronic exchange analysis. Garrett and Blevins2009 pp.537–543 propose an analogical origin through replacement and double marking, so these forms do not independently prove prehistoric phonetic transposition.	high for local source analysis; deeper root history not asserted		d2654	Complete screen hit adjudicated for local velar/labial process; wider etymon comparison is limited unless separately present in casebook.
f_eqez2oit4olfu	d4152	Kui	pṛupka	(&lt;pṛuk-p-; pṛukt-) to snap, break off, pluck	dedr	verbal-velar+labial-formative	pṛuk-p-	pṛukt-	source-supported-verbal-input	D	The source explicitly supplies velar-before-labial morphological input; attested labial-before-velar supports a synchronic exchange analysis. Garrett and Blevins2009 pp.537–543 propose an analogical origin through replacement and double marking, so these forms do not independently prove prehistoric phonetic transposition.	high for local source analysis; deeper root history not asserted	brupka and pṛupka are related pluck/break formations; one family, cluster voicing/place history separate.	d4152	Complete screen hit adjudicated for local velar/labial process; wider etymon comparison is limited unless separately present in casebook.
f_ertjifr7prkju	d3323	Kuwi	hūpki	to vomit	dedr	labial-stem+velar-formative	hūp spit + k-i/a		labial-stem-plus-velar-control	O	Independent labial base (panel-029 for heap, quiet and spit) supports original p-before-k, not an underlying velar-before-labial sequence. The interlace compound remains less fully segmented.	high for labial bases except interlace, medium for exact derivation		d3323	Complete screen hit adjudicated for local velar/labial process; wider etymon comparison is limited unless separately present in casebook.
f_evjbstf4h4l2a	d3665	Kui	nipka (&lt; nik-p-; nikt-)	to raise, cause to stand up	dedr	verbal-velar+labial-formative	nik-p-	nikt-	source-supported-verbal-input	D	The source explicitly supplies velar-before-labial morphological input; attested labial-before-velar supports a synchronic exchange analysis. Garrett and Blevins2009 pp.537–543 propose an analogical origin through replacement and double marking, so these forms do not independently prove prehistoric phonetic transposition.	high for local source analysis; deeper root history not asserted		d3665	Complete screen hit adjudicated for local velar/labial process; wider etymon comparison is limited unless separately present in casebook.
f_exaq32y35n4sq	d3514	Kui	tropka (&lt; trok-p-; trokt-)	to cause to roll, roll something over and over	dedr	verbal-velar+labial-formative	trok-p-	trokt-	source-supported-verbal-input	D	The source explicitly supplies velar-before-labial morphological input; attested labial-before-velar supports a synchronic exchange analysis. Garrett and Blevins2009 pp.537–543 propose an analogical origin through replacement and double marking, so these forms do not independently prove prehistoric phonetic transposition.	high for local source analysis; deeper root history not asserted		d3514	Complete screen hit adjudicated for local velar/labial process; wider etymon comparison is limited unless separately present in casebook.
f_fagiavp6euxmy	d859	Kui	ibga	(&lt;ig-b-; igd-) to throw down, let fall, drop; iska (iski-)	dedr	verbal-velar+labial-formative	ig-b-		source-supported-verbal-input	D	The source explicitly supplies velar-before-labial morphological input; attested labial-before-velar supports a synchronic exchange analysis. Garrett and Blevins2009 pp.537–543 propose an analogical origin through replacement and double marking, so these forms do not independently prove prehistoric phonetic transposition.	high for local source analysis; deeper root history not asserted		d859	Complete screen hit adjudicated for local velar/labial process; wider etymon comparison is limited unless separately present in casebook.
f_fctyqtw2rilfy	d4955	Kuwi	ṭuḍu mur'eni	back-bone. DED(S) 4058	dedr;Ḍ-Kuwi	not-established			english-or-metadata-match	ineligible	English gloss or bibliographic shorthand matched the broad screen; no relevant lexical sequence.			d4955	Complete screen hit adjudicated for local velar/labial process; wider etymon comparison is limited unless separately present in casebook.
f_ffthrj4v74uj4	d240	Kui	lāpka (&lt; lākp-; lākt-)	to change a person's character, cause a person to change for the worse	dedr	verbal-velar+labial-formative	lākp-	lākt-	source-supported-verbal-input	D	The source explicitly supplies velar-before-labial morphological input; attested labial-before-velar supports a synchronic exchange analysis. Garrett and Blevins2009 pp.537–543 propose an analogical origin through replacement and double marking, so these forms do not independently prove prehistoric phonetic transposition.	high for local source analysis; deeper root history not asserted		d240	Complete screen hit adjudicated for local velar/labial process; wider etymon comparison is limited unless separately present in casebook.
f_fg3hglufftxxc	d688	Kuwi	ṛuki	ploughing bullock, bullock	dedr;Isr-Kuwi	not-established			english-or-metadata-match	ineligible	English gloss or bibliographic shorthand matched the broad screen; no relevant lexical sequence.			d688	Complete screen hit adjudicated for local velar/labial process; wider etymon comparison is limited unless separately present in casebook.
f_fj4accsqwye66	d520	Kui	repka	(&lt;rek-p-; rekt-) to break into pieces	dedr	verbal-velar+labial-formative	rek-p-	rekt-	source-supported-verbal-input	D	The source explicitly supplies velar-before-labial morphological input; attested labial-before-velar supports a synchronic exchange analysis. Garrett and Blevins2009 pp.537–543 propose an analogical origin through replacement and double marking, so these forms do not independently prove prehistoric phonetic transposition.	high for local source analysis; deeper root history not asserted		d520	Complete screen hit adjudicated for local velar/labial process; wider etymon comparison is limited unless separately present in casebook.
f_forp7syckxzsa	d2800	Kui	sēpka (&lt; sek-p-; sēkt-)	to itch	dedr	verbal-velar+labial-formative	sek-p-	sēkt-	source-supported-verbal-input	D	The source explicitly supplies velar-before-labial morphological input; attested labial-before-velar supports a synchronic exchange analysis. Garrett and Blevins2009 pp.537–543 propose an analogical origin through replacement and double marking, so these forms do not independently prove prehistoric phonetic transposition.	high for local source analysis; deeper root history not asserted	Source prints sek-p- beside sēpka and sēkt-. Vowel-length mismatch is separate from local k-p reversal; exact vowel needs original vocabulary checking.	d2800	Complete screen hit adjudicated for local velar/labial process; wider etymon comparison is limited unless separately present in casebook.
f_ftfwofn4hon26	d5334	Kui	vāpka (&lt; vāk-p-; vākt-)	to cause to leak, pour out from a small opening, sow in drills; sowing in drills	dedr	verbal-velar+labial-formative	vāk-p-	vākt-	source-supported-verbal-input	D	The source explicitly supplies velar-before-labial morphological input; attested labial-before-velar supports a synchronic exchange analysis. Garrett and Blevins2009 pp.537–543 propose an analogical origin through replacement and double marking, so these forms do not independently prove prehistoric phonetic transposition.	high for local source analysis; deeper root history not asserted		d5334	Complete screen hit adjudicated for local velar/labial process; wider etymon comparison is limited unless separately present in casebook.
f_g25m63kvlg2s4	d4955	Kuwi	mur'esi pṛēnu	back-bone. DED(S) 4058	dedr	not-established			english-or-metadata-match	ineligible	English gloss or bibliographic shorthand matched the broad screen; no relevant lexical sequence.			d4955	Complete screen hit adjudicated for local velar/labial process; wider etymon comparison is limited unless separately present in casebook.
f_g4fwvnxfj45iw	d3482	Kui	tubga (&lt; tug-b-; tugd-)	to fasten a necklace; act of fastening	dedr	verbal-velar+labial-formative	tug-b-		source-supported-verbal-input	D	The source explicitly supplies velar-before-labial morphological input; attested labial-before-velar supports a synchronic exchange analysis. Garrett and Blevins2009 pp.537–543 propose an analogical origin through replacement and double marking, so these forms do not independently prove prehistoric phonetic transposition.	high for local source analysis; deeper root history not asserted		d3482	Complete screen hit adjudicated for local velar/labial process; wider etymon comparison is limited unless separately present in casebook.
f_gmpcz42sj4bps	d3246	Kui	tija (tiji-)	to turn back, return, retreat; act of turning back, etc	dedr	not-established			english-or-metadata-match	ineligible	Screen matched English text (pumpkin, climbing, scoop, bag-pipe, etc.), not a relevant lexical velar–labial sequence.			d3246	Complete screen hit adjudicated for local velar/labial process; wider etymon comparison is limited unless separately present in casebook.
