ID	Research_Group	DEDR_ID	Language_ID	Database_Language_ID	Form	Original	Gloss	Source	Tags	Description	Borrowed_In_Path	Is_Dravidian	Status	Research_Correction	Record_Origin	Linked_Database_IDs
research:d410-Telugu-paradigm-vīṭi-	d410	d410	Telugu		vīṭi-		demonstrative: direct form or oblique stem	DEDR410; source paradigm already preserved in linked database record; compare Krishnamurti2003 pp.222–223	research-only source-verified observation	Split one attested paradigm to annotate its direct and oblique outcomes separately; no new lexical attestation or independent root.	0	1	research-only	Split one attested paradigm to annotate its direct and oblique outcomes separately; no new lexical attestation or independent root.	source-supplement	d410;f_yy5ihgoamqbww
research:d1-Konda-paradigm-adi	d1	d1	Konda		adi		demonstrative: direct form or oblique stem	DEDR1; source paradigm already preserved in linked database record; compare Krishnamurti2003 pp.222–223	research-only source-verified observation	Split one attested paradigm to annotate its direct and oblique outcomes separately; no new lexical attestation or independent root.	0	1	research-only	Split one attested paradigm to annotate its direct and oblique outcomes separately; no new lexical attestation or independent root.	source-supplement	d1;f_y543pnnelt56m
research:d1-Konda-paradigm-dani-	d1	d1	Konda		dani-		demonstrative: direct form or oblique stem	DEDR1; source paradigm already preserved in linked database record; compare Krishnamurti2003 pp.222–223	research-only source-verified observation	Split one attested paradigm to annotate its direct and oblique outcomes separately; no new lexical attestation or independent root.	0	1	research-only	Split one attested paradigm to annotate its direct and oblique outcomes separately; no new lexical attestation or independent root.	source-supplement	d1;f_y543pnnelt56m
research:d1-Konda-paradigm-avi	d1	d1	Konda		avi		demonstrative: direct form or oblique stem	DEDR1; source paradigm already preserved in linked database record; compare Krishnamurti2003 pp.222–223	research-only source-verified observation	Split one attested paradigm to annotate its direct and oblique outcomes separately; no new lexical attestation or independent root.	0	1	research-only	Split one attested paradigm to annotate its direct and oblique outcomes separately; no new lexical attestation or independent root.	source-supplement	d1;f_lbx6olf6zwfj4
research:d1-Konda-paradigm-vanka-	d1	d1	Konda		vanka-		demonstrative: direct form or oblique stem	DEDR1; source paradigm already preserved in linked database record; compare Krishnamurti2003 pp.222–223	research-only source-verified observation	Split one attested paradigm to annotate its direct and oblique outcomes separately; no new lexical attestation or independent root.	0	1	research-only	Split one attested paradigm to annotate its direct and oblique outcomes separately; no new lexical attestation or independent root.	source-supplement	d1;f_lbx6olf6zwfj4
research:d410-Konda-paradigm-idi	d410	d410	Konda		idi		demonstrative: direct form or oblique stem	DEDR410; source paradigm already preserved in linked database record; compare Krishnamurti2003 pp.222–223	research-only source-verified observation	Split one attested paradigm to annotate its direct and oblique outcomes separately; no new lexical attestation or independent root.	0	1	research-only	Split one attested paradigm to annotate its direct and oblique outcomes separately; no new lexical attestation or independent root.	source-supplement	d410;f_xxmnduuboq7nm
research:d410-Konda-paradigm-deni-	d410	d410	Konda		deni-		demonstrative: direct form or oblique stem	DEDR410; source paradigm already preserved in linked database record; compare Krishnamurti2003 pp.222–223	research-only source-verified observation	Split one attested paradigm to annotate its direct and oblique outcomes separately; no new lexical attestation or independent root.	0	1	research-only	Split one attested paradigm to annotate its direct and oblique outcomes separately; no new lexical attestation or independent root.	source-supplement	d410;f_xxmnduuboq7nm
research:d410-Konda-paradigm-ivi	d410	d410	Konda		ivi		demonstrative: direct form or oblique stem	DEDR410; source paradigm already preserved in linked database record; compare Krishnamurti2003 pp.222–223	research-only source-verified observation	Split one attested paradigm to annotate its direct and oblique outcomes separately; no new lexical attestation or independent root.	0	1	research-only	Split one attested paradigm to annotate its direct and oblique outcomes separately; no new lexical attestation or independent root.	source-supplement	d410;f_s46cyeeg4a5ru
research:d410-Konda-paradigm-venka-	d410	d410	Konda		venka-		demonstrative: direct form or oblique stem	DEDR410; source paradigm already preserved in linked database record; compare Krishnamurti2003 pp.222–223	research-only source-verified observation	Split one attested paradigm to annotate its direct and oblique outcomes separately; no new lexical attestation or independent root.	0	1	research-only	Split one attested paradigm to annotate its direct and oblique outcomes separately; no new lexical attestation or independent root.	source-supplement	d410;f_s46cyeeg4a5ru
research:d4438-Kuwi-paradigm-pēnu	d4438	d4438	Kuwi		pēnu		god/devil or fish; singular/plural paradigm component	DEDR4438 source paradigms preserved in database; compare Hume2004 p.225	research-only source-verified observation	Split printed paradigm for per-form outcomes; Isr. fish forms were stranded in the shared gloss. No additional independent root.	0	1	research-only	Split printed paradigm for per-form outcomes; Isr. fish forms were stranded in the shared gloss. No additional independent root.	source-supplement	d4438;f_fm36hjmxgpg22;f_rfvppue7sk6vu;f_zt6ushuz6ei2c
research:d4438-Kuwi-paradigm-pēṇka	d4438	d4438	Kuwi		pēṇka		god/devil or fish; singular/plural paradigm component	DEDR4438 source paradigms preserved in database; compare Hume2004 p.225	research-only source-verified observation	Split printed paradigm for per-form outcomes; Isr. fish forms were stranded in the shared gloss. No additional independent root.	0	1	research-only	Split printed paradigm for per-form outcomes; Isr. fish forms were stranded in the shared gloss. No additional independent root.	source-supplement	d4438;f_fm36hjmxgpg22;f_rfvppue7sk6vu;f_zt6ushuz6ei2c
research:d4438-Kuwi-paradigm-pṇēka	d4438	d4438	Kuwi		pṇēka		god/devil or fish; singular/plural paradigm component	DEDR4438 source paradigms preserved in database; compare Hume2004 p.225	research-only source-verified observation	Split printed paradigm for per-form outcomes; Isr. fish forms were stranded in the shared gloss. No additional independent root.	0	1	research-only	Split printed paradigm for per-form outcomes; Isr. fish forms were stranded in the shared gloss. No additional independent root.	source-supplement	d4438;f_fm36hjmxgpg22;f_rfvppue7sk6vu;f_zt6ushuz6ei2c
research:d4438-Kuwi-paradigm-pēnka	d4438	d4438	Kuwi		pēnka		god/devil or fish; singular/plural paradigm component	DEDR4438 source paradigms preserved in database; compare Hume2004 p.225	research-only source-verified observation	Split printed paradigm for per-form outcomes; Isr. fish forms were stranded in the shared gloss. No additional independent root.	0	1	research-only	Split printed paradigm for per-form outcomes; Isr. fish forms were stranded in the shared gloss. No additional independent root.	source-supplement	d4438;f_fm36hjmxgpg22;f_rfvppue7sk6vu;f_zt6ushuz6ei2c
research:d4885-Kuwi-paradigm-mīnu	d4885	d4885	Kuwi		mīnu		god/devil or fish; singular/plural paradigm component	DEDR4885 p.436 directly read; https://dsal.uchicago.edu/cgi-bin/app/burrow_query.py?page=436	research-only source-verified observation	Split printed paradigm for per-form outcomes; Isr. fish forms were stranded in the shared gloss. No additional independent root.	0	1	research-only	Split printed paradigm for per-form outcomes; Isr. fish forms were stranded in the shared gloss. No additional independent root.	source-supplement	d4885;f_2m2d5367gggug;f_623ooaklmcdzw;f_fzpvjwsuj3r2m;f_zfbwv4ozp5voy
research:d4885-Kuwi-paradigm-mīnka	d4885	d4885	Kuwi		mīnka		god/devil or fish; singular/plural paradigm component	DEDR4885 p.436 directly read; https://dsal.uchicago.edu/cgi-bin/app/burrow_query.py?page=436	research-only source-verified observation	Split printed paradigm for per-form outcomes; Isr. fish forms were stranded in the shared gloss. No additional independent root.	0	1	research-only	Split printed paradigm for per-form outcomes; Isr. fish forms were stranded in the shared gloss. No additional independent root.	source-supplement	d4885;f_2m2d5367gggug;f_623ooaklmcdzw;f_fzpvjwsuj3r2m;f_zfbwv4ozp5voy
research:d4885-Kuwi-paradigm-mrīka	d4885	d4885	Kuwi		mrīka		god/devil or fish; singular/plural paradigm component	DEDR4885 p.436 directly read; https://dsal.uchicago.edu/cgi-bin/app/burrow_query.py?page=436	research-only source-verified observation	Split printed paradigm for per-form outcomes; Isr. fish forms were stranded in the shared gloss. No additional independent root.	0	1	research-only	Split printed paradigm for per-form outcomes; Isr. fish forms were stranded in the shared gloss. No additional independent root.	source-supplement	d4885;f_2m2d5367gggug;f_623ooaklmcdzw;f_fzpvjwsuj3r2m;f_zfbwv4ozp5voy
research:d4885-Kuwi-paradigm-mnīka	d4885	d4885	Kuwi		mnīka		god/devil or fish; singular/plural paradigm component	DEDR4885 p.436 directly read; https://dsal.uchicago.edu/cgi-bin/app/burrow_query.py?page=436	research-only source-verified observation	Split printed paradigm for per-form outcomes; Isr. fish forms were stranded in the shared gloss. No additional independent root.	0	1	research-only	Split printed paradigm for per-form outcomes; Isr. fish forms were stranded in the shared gloss. No additional independent root.	source-supplement	d4885;f_2m2d5367gggug;f_623ooaklmcdzw;f_fzpvjwsuj3r2m;f_zfbwv4ozp5voy
research:d4885-Kuwi-paradigm-mṇīka	d4885	d4885	Kuwi		mṇīka		god/devil or fish; singular/plural paradigm component	DEDR4885 p.436 directly read; https://dsal.uchicago.edu/cgi-bin/app/burrow_query.py?page=436	research-only source-verified observation	Split printed paradigm for per-form outcomes; Isr. fish forms were stranded in the shared gloss. No additional independent root.	0	1	research-only	Split printed paradigm for per-form outcomes; Isr. fish forms were stranded in the shared gloss. No additional independent root.	source-supplement	d4885;f_2m2d5367gggug;f_623ooaklmcdzw;f_fzpvjwsuj3r2m;f_zfbwv4ozp5voy
research:d4885-Kuwi-paradigm-mṇīnu	d4885	d4885	Kuwi		mṇīnu		god/devil or fish; singular/plural paradigm component	DEDR4885 p.436 directly read; https://dsal.uchicago.edu/cgi-bin/app/burrow_query.py?page=436	research-only source-verified observation	Split printed paradigm for per-form outcomes; Isr. fish forms were stranded in the shared gloss. No additional independent root.	0	1	research-only	Split printed paradigm for per-form outcomes; Isr. fish forms were stranded in the shared gloss. No additional independent root.	source-supplement	d4885;f_2m2d5367gggug;f_623ooaklmcdzw;f_fzpvjwsuj3r2m;f_zfbwv4ozp5voy
research:d4885-Gadaba-source	d4885	d4885	Gadaba		mīn (mīnil)		fish; plural in parentheses	DEDR4885 p.436; Oll.; directly read; https://dsal.uchicago.edu/cgi-bin/app/burrow_query.py?page=436	research-only source-verified observation	Actual printed language evidence omitted by corpus parser; one root per language regardless of dialect listing.	0	1	research-only	Actual printed language evidence omitted by corpus parser; one root per language regardless of dialect listing.	source-supplement	d4885
research:d4885-Gondi-source	d4885	d4885	Gondi		mīn		fish; plural in parentheses	DEDR4885 p.436; Tr. A. W. Ph. Mu. etc.; Voc.2852; directly read; https://dsal.uchicago.edu/cgi-bin/app/burrow_query.py?page=436	research-only source-verified observation	Actual printed language evidence omitted by corpus parser; one root per language regardless of dialect listing.	0	1	research-only	Actual printed language evidence omitted by corpus parser; one root per language regardless of dialect listing.	source-supplement	d4885
research:d4885-Konda-source	d4885	d4885	Konda		mīn (mīnga)		fish; plural in parentheses	DEDR4885 p.436; BB; directly read; https://dsal.uchicago.edu/cgi-bin/app/burrow_query.py?page=436	research-only source-verified observation	Actual printed language evidence omitted by corpus parser; one root per language regardless of dialect listing.	0	1	research-only	Actual printed language evidence omitted by corpus parser; one root per language regardless of dialect listing.	source-supplement	d4885
research:d916-konda-le	d916	d916	Konda		le		get up, rise; defective imperative paradigm	DEDR916 p.88; https://dsal.uchicago.edu/cgi-bin/app/burrow_query.py?page=88; directly read 2026-09-09	research-only source-verified observation	Defective rise verb and singular/plural imperatives are stranded in the gloss of ēṟasi steep; one paradigm, not three independent roots.	0	1	research-only	Defective rise verb and singular/plural imperatives are stranded in the gloss of ēṟasi steep; one paradigm, not three independent roots.	source-supplement	d916;f_3o3sco6gvxt5o
research:d916-konda-leˀ e	d916	d916	Konda		leˀ e		get up, rise; defective imperative paradigm	DEDR916 p.88; https://dsal.uchicago.edu/cgi-bin/app/burrow_query.py?page=88; directly read 2026-09-09	research-only source-verified observation	Defective rise verb and singular/plural imperatives are stranded in the gloss of ēṟasi steep; one paradigm, not three independent roots.	0	1	research-only	Defective rise verb and singular/plural imperatives are stranded in the gloss of ēṟasi steep; one paradigm, not three independent roots.	source-supplement	d916;f_3o3sco6gvxt5o
research:d916-konda-ledu	d916	d916	Konda		ledu		get up, rise; defective imperative paradigm	DEDR916 p.88; https://dsal.uchicago.edu/cgi-bin/app/burrow_query.py?page=88; directly read 2026-09-09	research-only source-verified observation	Defective rise verb and singular/plural imperatives are stranded in the gloss of ēṟasi steep; one paradigm, not three independent roots.	0	1	research-only	Defective rise verb and singular/plural imperatives are stranded in the gloss of ēṟasi steep; one paradigm, not three independent roots.	source-supplement	d916;f_3o3sco6gvxt5o
research:d2698-ḍolucu	d2698	d2698	Telugu		ḍolucu		cause to roll	DEDR original local SQL row 63997, form field ḍol(u)cu; DEDR 2698	research-only source-verified observation	Expand source optional u in a form damaged by HTML parsing; two variants of one formation, not two roots.	0	1	research-only	Expand source optional u in a form damaged by HTML parsing; two variants of one formation, not two roots.	source-supplement	d2698;f_huorhdtptiy7a;f_siomky4eyhipi;f_dgxfshhu7n7ws
research:d2698-ḍolcu	d2698	d2698	Telugu		ḍolcu		cause to roll	DEDR original local SQL row 63997, form field ḍol(u)cu; DEDR 2698	research-only source-verified observation	Expand source optional u in a form damaged by HTML parsing; two variants of one formation, not two roots.	0	1	research-only	Expand source optional u in a form damaged by HTML parsing; two variants of one formation, not two roots.	source-supplement	d2698;f_huorhdtptiy7a;f_siomky4eyhipi;f_dgxfshhu7n7ws
research:d5153-konda-nrund	d5153	d5153	Konda		nṛund		last year	Krishnamurti 1980 p.498 item18, image directly checked	research-only source-verified observation	Source-only compound form; corpus Konda last-year search has no result. Exact compound input remains uncertain.	0	1	research-only	Source-only compound form; corpus Konda last-year search has no result. Exact compound input remains uncertain.	source-supplement	d5153
research:d698-telugu-lona	d698	d698	Telugu		lōna		within, inside	DEDR 698 p.68; https://dsal.uchicago.edu/cgi-bin/app/burrow_query.py?page=68	research-only source-verified observation	Remove date transferred from preceding Old Telugu oḷana; this lōna is undated in the source.	0	1	research-only	Remove date transferred from preceding Old Telugu oḷana; this lōna is undated in the source.	source-supplement	d698;f_bizfzqn6oj7je
research:d2149-telugu-kotta	d2149	d2149	Telugu		kotta		new	Krishnamurti 2003 p.159 example 90, explicitly Mdn Te.	research-only source-verified observation	Modern r-loss reflex explicitly attested in comparative source but absent from this corpus group.	0	1	research-only	Modern r-loss reflex explicitly attested in comparative source but absent from this corpus group.	source-supplement	d2149;f_ti4dmnqgr73ha
research:d4711-konda-mranu	d4711	d4711	Konda		mrānu		tree	Krishnamurti 2003 pp.160–161 n.16; Sova village dialect	research-only source-verified observation	Directly reported dialect counterpart to Araku marán; not an attested ancestral intermediate.	0	1	research-only	Directly reported dialect counterpart to Araku marán; not an attested ancestral intermediate.	source-supplement	d4711;f_hjm3qovym4kum
research:d4711-konda-maran-stress	d4711	d4711	Konda		marán		tree	Krishnamurti 2003 p.161 n.16; Araku valley informant	research-only source-verified observation	Preserve reported second-syllable stress as source evidence; same lexeme as database maran, no extra root.	0	1	research-only	Preserve reported second-syllable stress as source evidence; same lexeme as database maran, no extra root.	source-supplement	d4711;f_hjm3qovym4kum
research:d561-Gondi-gōr	d561	d561	Gondi		gōr		nail; finger	DEDR 561 p.55; S.; Voc.1233; https://dsal.uchicago.edu/cgi-bin/app/burrow_query.py?page=55	research-only source-verified observation	Original source directly checked; omitted lexical observation, not an extra root.	0	1	research-only	Original source directly checked; omitted lexical observation, not an extra root.	source-supplement	d561
research:d561-Gadaba-gēre	d561	d561	Gadaba		gēre		nail; finger	DEDR 561 p.55; S.; https://dsal.uchicago.edu/cgi-bin/app/burrow_query.py?page=55	research-only source-verified observation	Original source directly checked; omitted lexical observation, not an extra root.	0	1	research-only	Original source directly checked; omitted lexical observation, not an extra root.	source-supplement	d561
research:d561-Kui-unjuli	d561	d561	Kui		unjuli		nail; finger	DEDR 561 p.55; K.; https://dsal.uchicago.edu/cgi-bin/app/burrow_query.py?page=55	research-only source-verified observation	Original source directly checked; omitted lexical observation, not an extra root.	0	1	research-only	Original source directly checked; omitted lexical observation, not an extra root.	source-supplement	d561
research:d695-kui-dupka	d695	d695	Kui		ḍupka		scrape together, sweep up	DEDR 695 p.68; <ḍuk-p-, past ḍukt-; https://dsal.uchicago.edu/cgi-bin/app/burrow_query.py?page=68	research-only source-verified observation	Restore Kui language and remove embedded source heading.	0	1	research-only	Restore Kui language and remove embedded source heading.	source-supplement	d695;f_d6ykhtysg47w6
research:d695-konda-urs	d695	d695	Konda		ūṛs- (-t-)		sweep or clean a threshing floor	DEDR 695 p.68; https://dsal.uchicago.edu/cgi-bin/app/burrow_query.py?page=68	research-only source-verified observation	Restore Konda language and remove embedded source heading.	0	1	research-only	Restore Konda language and remove embedded source heading.	source-supplement	d695;f_emynt4gsbupp6
research:d449-IA-loan-Kui-deba	d449	d449	Kui		deba		left	DEDR 449 p.44; Indo-Aryan *ḍavva/*ḍevva loan comparison, CDIAL 5539; https://dsal.uchicago.edu/cgi-bin/app/burrow_query.py?page=44	research-only source-verified observation	Source-only separate Indo-Aryan loan comparison; not an inherited reflex of *iṭam and not a metathesis denominator token.	0	1	research-only	Source-only separate Indo-Aryan loan comparison; not an inherited reflex of *iṭam and not a metathesis denominator token.	source-supplement	d449
research:d449-IA-loan-Kui-debe	d449	d449	Kui		debe		left	DEDR 449 p.44; Indo-Aryan *ḍavva/*ḍevva loan comparison, CDIAL 5539; https://dsal.uchicago.edu/cgi-bin/app/burrow_query.py?page=44	research-only source-verified observation	Source-only separate Indo-Aryan loan comparison; not an inherited reflex of *iṭam and not a metathesis denominator token.	0	1	research-only	Source-only separate Indo-Aryan loan comparison; not an inherited reflex of *iṭam and not a metathesis denominator token.	source-supplement	d449
research:d449-IA-loan-Kui-debo	d449	d449	Kui		debo		left	DEDR 449 p.44; Indo-Aryan *ḍavva/*ḍevva loan comparison, CDIAL 5539; https://dsal.uchicago.edu/cgi-bin/app/burrow_query.py?page=44	research-only source-verified observation	Source-only separate Indo-Aryan loan comparison; not an inherited reflex of *iṭam and not a metathesis denominator token.	0	1	research-only	Source-only separate Indo-Aryan loan comparison; not an inherited reflex of *iṭam and not a metathesis denominator token.	source-supplement	d449
research:d449-IA-loan-Kuwi-tebri	d449	d449	Kuwi		tebri		left	DEDR 449 p.44; Indo-Aryan *ḍavva/*ḍevva loan comparison, CDIAL 5539; https://dsal.uchicago.edu/cgi-bin/app/burrow_query.py?page=44	research-only source-verified observation	Source-only separate Indo-Aryan loan comparison; not an inherited reflex of *iṭam and not a metathesis denominator token.	0	1	research-only	Source-only separate Indo-Aryan loan comparison; not an inherited reflex of *iṭam and not a metathesis denominator token.	source-supplement	d449
research:d449-IA-loan-Kuwi-tēbri	d449	d449	Kuwi		tēbri		left	DEDR 449 p.44; Indo-Aryan *ḍavva/*ḍevva loan comparison, CDIAL 5539; https://dsal.uchicago.edu/cgi-bin/app/burrow_query.py?page=44	research-only source-verified observation	Source-only separate Indo-Aryan loan comparison; not an inherited reflex of *iṭam and not a metathesis denominator token.	0	1	research-only	Source-only separate Indo-Aryan loan comparison; not an inherited reflex of *iṭam and not a metathesis denominator token.	source-supplement	d449
research:d449-IA-loan-Kuwi-ṭebri	d449	d449	Kuwi		ṭebri		left	DEDR 449 p.44; Indo-Aryan *ḍavva/*ḍevva loan comparison, CDIAL 5539; https://dsal.uchicago.edu/cgi-bin/app/burrow_query.py?page=44	research-only source-verified observation	Source-only separate Indo-Aryan loan comparison; not an inherited reflex of *iṭam and not a metathesis denominator token.	0	1	research-only	Source-only separate Indo-Aryan loan comparison; not an inherited reflex of *iṭam and not a metathesis denominator token.	source-supplement	d449
