Language_ID	Input_Tier	Prediction	Family_ID	Formation_IDs	Category	Has_D	Has_R	Outcome_Evidence_IDs
Telugu	cluster	short-from-consonantal-input	d1850	d1850:pound	match	1	0	f_ery2rzlbv2jv6
Telugu	cluster	short-from-consonantal-input	d2360	d2360:slip	match	1	0	f_wfczz7oghcdqo
Telugu	cluster	short-from-consonantal-input	d2687	d2687:shrink-cluster	match	1	0	f_ias2iuporltk6
Telugu	cluster	short-from-consonantal-input	d3095	d3095:churn;d3095:churn-retained	match	1	1	f_di2wo2qrrzvns;f_noavm52n3qx4a
Telugu	cluster	short-from-consonantal-input	d3962	d3962:split	match	1	0	f_gs5vla3nwer2g
Telugu	cluster	short-from-consonantal-input	d4312	d4312:worm-cluster	match	1	0	f_vpsp47wizynhc
Telugu	cluster	short-from-consonantal-input	d4559	d4559:day-cluster	match	1	0	f_zuzesjd7nkk44
Telugu	cluster	short-from-consonantal-input	d4728	d4728:cloud	match	1	0	f_wvu3wftw2bels
Telugu	cluster	short-from-consonantal-input	d5007	d5007:mould	match	1	0	f_dcisehtnly34y
Telugu	cluster	short-from-consonantal-input	d5123	d5123:bow	match	1	0	f_miahekturqw6i;f_nnjwkozyvi3cc
Telugu	cluster	short-from-consonantal-input	d5372	d5372:live	match	1	0	f_si3ulrjzpo4cm;f_skfcmvhkfpxnc
Telugu	conditional	input-underdetermined	d77	d77:pound	not-strictly-testable	1	0	f_6ekcbbq2hx3i2;f_vamndeveceg4i
Telugu	conditional	input-underdetermined	d79	d79:near	not-strictly-testable	1	0	f_6ud64zlrr5o3a;f_k4y6jfdltdh4y
Telugu	conditional	input-underdetermined	d307	d307:cover	not-strictly-testable	1	0	f_leszidqrkkwly;research:d307-telugu-lampu
Telugu	conditional	input-underdetermined	d308	d308:hole	not-strictly-testable	1	0	f_ovrxifgbq5t7k
Telugu	conditional	input-underdetermined	d315	d315:scratch	not-strictly-testable	1	0	f_fsjwlrfbiqn2c;f_uf342pwxoe4fw
Telugu	conditional	input-underdetermined	d319	d319:shout	not-strictly-testable	1	0	f_2isaz6z4unlea;f_2ttu4tbf2ucwy
Telugu	conditional	input-underdetermined	d5295	d5295:erase	not-strictly-testable	1	0	f_xhmz3p5ipzksu;f_zcoseodl46ssi
Telugu	conditional	input-underdetermined	d3982	d3982:rice	not-strictly-testable	1	0	f_277gnmswzytey
Telugu	conditional	input-underdetermined	d5082	d5082:smear	not-strictly-testable	1	0	f_7msblpleyzn3c;f_xaskqvo4umu2k
Telugu	conditional	input-underdetermined	d817	d817:wild-dog	not-strictly-testable	1	0	f_nwwdms524xmne
Telugu	conditional	input-underdetermined	d859	d859:throw	not-strictly-testable	1	0	f_zdun4kuo43iac
Telugu	conditional	input-underdetermined	d1287	d1287:abound	not-strictly-testable	1	0	f_g36apaatcn5zk
Telugu	conditional	input-underdetermined	d1291	d1291:ring-dental	not-strictly-testable	1	0	f_iisnwj7yl53wq
Telugu	conditional	input-underdetermined	d1368	d1368:overflow-palatal	not-strictly-testable	1	0	f_rdfzg6mtkcdg2
Telugu	conditional	input-underdetermined	d1822	d1822:rot	not-strictly-testable	1	0	f_fao23wizo6rio
Telugu	conditional	input-underdetermined	d3122	d3122:dig	not-strictly-testable	1	0	f_cpjuuxs5a7tmu
Telugu	conditional	input-underdetermined	d4175	d4175:rattan-short	not-strictly-testable	1	0	f_qze4v6mbwqdfa;f_skqx63r7annky
Telugu	conditional	input-underdetermined	d4283	d4283:support-a	not-strictly-testable	1	0	f_fgmcm4bmdpl2g
Telugu	conditional	input-underdetermined	d4545	d4545:earring	not-strictly-testable	1	0	f_tm4y4odxa5fg4
Telugu	conditional	long-if-displaced	d202	d202:pipal	not-strictly-testable	1	0	f_jd42hn34rdaqo;f_zffwdujrcnywi
Telugu	conditional	long-if-displaced	d233	d233:fall	not-strictly-testable	1	0	f_aipxzonbdeepe
Telugu	conditional	long-if-displaced	d437	d437:stumble	not-strictly-testable	1	0	f_mmvjzablirjpa
Telugu	conditional	long-if-displaced	d475	d475:jujube	not-strictly-testable	1	0	research:d475-Telugu-rē̃gu
Telugu	conditional	long-if-displaced	d516	d516:landing	not-strictly-testable	1	0	f_x56ndqpatzxga
Telugu	conditional	long-if-displaced	d517	d517:prawn	not-strictly-testable	1	0	f_egseskzv55o6u;f_t4jkutlbao6tm
Telugu	conditional	long-if-displaced	d648	d648:pant	not-strictly-testable	1	0	f_g3tocbxdksz7e
Telugu	conditional	long-if-displaced	d2359	d2359:snake	not-strictly-testable	1	0	f_edr47oxqlvqaw
Telugu	conditional	long-if-displaced	d5411	d5411:open	not-strictly-testable	1	0	f_zdd65kl3o22re
Telugu	conditional	long-if-displaced	d820	d820:soil	not-strictly-testable	1	0	f_n5gtgqy7thqgm
Telugu	conditional	long-if-displaced	d296	d296:seize	not-strictly-testable	0	1	f_2mgbteusy362g
Telugu	conditional	long-if-displaced	d1507	d1507:pongamia	not-strictly-testable	1	0	f_vx5ejnfq4o4gi
Telugu	conditional	long-if-displaced	d1580	d1580:curd	not-strictly-testable	1	0	f_z3hnf3r6w2viw
Telugu	conditional	long-if-displaced	d1769	d1769:monkey	not-strictly-testable	1	0	f_fnt4htr2q5egm
Telugu	conditional	long-if-displaced	d3340	d3340:push-long	not-strictly-testable	1	0	f_ed5z4y2qdk7lg;f_fjq43hg5dyxlk;f_smcykvf5urehu
Telugu	conditional	long-if-displaced	d3999	d3999:old	not-strictly-testable	1	0	f_k6jtvm35n2m3g
Telugu	conditional	long-if-displaced	d4283	d4283:protect	not-strictly-testable	1	0	f_6dxoy6cuwxdao;f_mykc2tvmmswzi;f_xi4grd3d64hlg
Telugu	conditional	outside-short-singleton-rule	deictic-a-i	d410:proximal-oblique	not-strictly-testable	1	1	research:d410-Telugu-paradigm-dīni-;research:d410-Telugu-paradigm-idi
Telugu	conditional	outside-short-singleton-rule	d1278	d1278:scorch	not-strictly-testable	1	0	f_hseb3zltndwo2
Telugu	conditional	outside-short-singleton-rule	d2010	d2010:mock	not-strictly-testable	1	0	f_ptwfxjvf3zdlm;f_sler5dshllljq
Telugu	conditional	outside-short-singleton-rule	d4193	d4193:intestine	not-strictly-testable	1	0	f_mjnf4qdw3jyyk
Telugu	conditional	outside-short-singleton-rule	d4599	d4599:strand	not-strictly-testable	1	0	f_3bhnvnrn3loau;f_touc7knyckgvy
Telugu	conditional	short-from-consonantal-input	d321	d321:small-stone	not-strictly-testable	1	0	f_cbgze364tf5ow
Telugu	conditional	short-from-consonantal-input	d1818	d1818:dig	not-strictly-testable	1	0	f_5culweofdbrd6;f_h2yol63wxiceq
Telugu	conditional	short-from-consonantal-input	d3115	d3115:embers	not-strictly-testable	1	0	f_6iieamq4yekai
Telugu	conditional	short-from-consonantal-input	d3340	d3340:push-labial	not-strictly-testable	1	0	f_ad2a7upowopsu
Telugu	conditional	short-if-displaced	d301	d301:desire	not-strictly-testable	1	0	f_ngcio5lcxvtdu
Telugu	conditional	short-if-displaced	d2149	d2149:new	not-strictly-testable	1	0	f_ti4dmnqgr73ha;research:d2149-telugu-kotta
Telugu	full	long-if-displaced	d63	d63:hide;d63:submit	match	1	1	f_7dpiziz3womlk;f_jyl2im2bylpky;f_i77nwvutqgc7i;f_sp7jg6ayxkr4m
Telugu	full	long-if-displaced	d79	d79:approach;d79:arise	match	1	1	f_nfiovvrlffkag;f_yq3xcphvgf2xs;f_xcacbitxwveko
Telugu	full	long-if-displaced	d86	d86:anvil	match	1	0	f_6lm5yuchfts6k;f_od5d6qhvd3ncw
Telugu	full	long-if-displaced	d228	d228:rub	match	1	0	f_s56rotjltglxa
Telugu	full	long-if-displaced	d291+d295	d295:measure;d295:size	match	1	1	f_id6ukobamzgt2;f_z6qwxumua56to
Telugu	full	long-if-displaced	d296	d296:join	match	1	0	f_fwrfyx5d3kvve
Telugu	full	long-if-displaced	d321	d321:stone	match	1	0	f_37vuatl2jy4l6;f_ek6ihenhscv7g
Telugu	full	long-if-displaced	d443	d443:strike	match	1	0	f_ntoe672qyz6ps
Telugu	full	long-if-displaced	d474	d474:nonhuman-two	counterexample	1	0	f_2htxvumaoczjw
Telugu	full	long-if-displaced	d513	d513:young-calf;d513:young-human	match	1	0	f_h55dqkqddalhw;f_iidp2lwtlxkrw
Telugu	full	long-if-displaced	d527	d527:lord	match	1	0	f_z55xejz2iehee
Telugu	full	long-if-displaced	d651	d651:mortar	match	1	0	f_x4pwvek6ghyki
Telugu	full	long-if-displaced	d694	d694:deer	counterexample	1	0	f_gyfzg7pv2m4qm
Telugu	full	long-if-displaced	d698	d698:inside-locative	match	1	0	f_ht5gmk7adngog;research:d698-telugu-lona
Telugu	full	long-if-displaced	d718	d718:lament;d718:thunder	match	1	1	f_3ffh7wgvhadic;f_i46ewddu6kt6g;f_pq2gjbkidkrvu
Telugu	full	long-if-displaced	d4711	d4711:tree	match	1	0	f_cqc6qamwv6hmy;f_rirwcupcemybq
Telugu	full	long-if-displaced	d5409	d5409:finger	match	1	0	f_5krorzllosgw6;f_m4k2ln4qkit3k
Telugu	full	long-if-displaced	d1787	d1787:blind-full	counterexample	1	0	f_ndolyy4ysamdc;f_pmbylqwhanjmy
Telugu	full	long-if-displaced	d4993	d4993:sink-full	counterexample	1	0	f_d2g74plrs2woe
Telugu	full	long-if-displaced	d5263	d5263:write	match	1	0	f_vj7msytpxb3s6;f_vphwyxedrelvg
Telugu	full	long-if-displaced	d4555	d4555:town	match	1	0	f_kziszm7hwafvi;f_wcautegmjcbds
Telugu	full	long-if-displaced	d1818	d1818:tube	match	1	0	f_jby43elvgqkno
Telugu	full	long-if-displaced	d3949	d3949:crawl;d3949:spread-labial	match	1	1	f_ctfbeec4tlsze;f_kgllbsyi4naxw;f_nsdlra3u4dqcq
Telugu	full	long-if-displaced	d64+d88	d64:betel-pouch	not-strictly-testable	0	1	f_26rtmygv6su5a
Telugu	full	long-if-displaced	d229	d229:half	not-strictly-testable	0	1	f_bzeztn2fkuamo
Telugu	full	long-if-displaced	d472	d472:borrow	not-strictly-testable	0	1	f_7mxhybbcyt32g
Telugu	full	long-if-displaced	d490	d490:prey	not-strictly-testable	0	1	f_lzfmtmyxydwz4
Telugu	full	long-if-displaced	d587	d587:clothing	not-strictly-testable	0	1	f_cv4l4xl2sicn4
Telugu	full	long-if-displaced	d593	d593:owner;d593:property	not-strictly-testable	0	1	f_5wpnj765xtkhq;f_eofl3optqhdr2;f_gv4pqg7pjdjkw;f_rwap2pbzy6ybk
Telugu	full	long-if-displaced	d665	d665:rub-ay	not-strictly-testable	0	1	f_relhjannylmyi
Telugu	full	long-if-displaced	d661	d661:steel	not-strictly-testable	0	0	f_blqakidyr2tns
Telugu	full	long-if-displaced	d690	d690:black-gram	not-strictly-testable	0	0	f_2r47wx7v3nbls
Telugu	full	long-if-displaced	d5411	d5411:open-root	not-strictly-testable	0	1	f_binykjwbdnjxq;f_qt3g6zhjyayes
Telugu	full	long-if-displaced	d945	d945:with-compound	not-strictly-testable	0	1	f_boh2xgn5soehs
Telugu	full	long-if-displaced	d1292	d1292:melt;d1292:melt-retained	match	1	1	f_5gwnxam7vnqwu;f_xkyq4cpz52abe
Telugu	full	long-if-displaced	d1349	d1349:loosen	match	1	0	f_g2emb2ud5fcbw
Telugu	full	long-if-displaced	d1767	d1767:bend-full	counterexample	1	0	f_eqqola7bngbzy
Telugu	full	long-if-displaced	d1774	d1774:recite	match	1	0	f_bswc5toyx646c
Telugu	full	long-if-displaced	d2356	d2356:rope	match	1	0	f_lig27p5hu5tzw
Telugu	full	long-if-displaced	d2687	d2687:shrink-full	counterexample	1	0	f_ias2iuporltk6
Telugu	full	long-if-displaced	d4175	d4175:rattan-long	match	1	0	f_fzxffnanjdxb4
Telugu	full	long-if-displaced	d4312	d4312:worm-full;d4312:worm-retained	counterexample	1	1	f_7pjgouimyggc6;f_vpsp47wizynhc
Telugu	full	long-if-displaced	d4971	d4971:stump;d4971:stump-retained	match	1	1	f_grid5klclsjtm;f_uiinf2gj237r2
Telugu	full	long-if-displaced	d4975	d4975:perish	counterexample	1	0	f_jajb7pda62h54
Telugu	full	outside-short-singleton-rule	d76	d76:pancake	not-strictly-testable	0	1	f_oaicvmfv6cppq
Telugu	full	outside-short-singleton-rule	d698	d698:mind	not-strictly-testable	0	1	f_bjokttep4ugls
Telugu	full	outside-short-singleton-rule	d910	d910:seven	not-strictly-testable	0	1	f_uvwbefljrdew6
Telugu	full	outside-short-singleton-rule	d1619	d1619:long-below	not-strictly-testable	0	1	f_qkgdzhc7kr2vu
Telugu	full	outside-short-singleton-rule	d913	d913:song	not-strictly-testable	0	1	f_t6ppphdv3hvd4
Telugu	full	outside-short-singleton-rule	d868	d868:say-infinitive;d868:say-negative;d868:say-negative-person	not-strictly-testable	1	1	research:d868-literary-anaka;research:d868-literary-nāka;research:d868-literary-anan;research:d868-literary-nān;research:d868-literary-anaru;research:d868-literary-naru
Telugu	full	outside-short-singleton-rule	deictic-a-i	d1:distal-oblique	not-strictly-testable	1	1	research:d1-Telugu-paradigm-adi;research:d1-Telugu-paradigm-dāni-
Telugu	full	short-if-displaced	d277	d277:destroy-labial;d277:destroy-past	match	1	0	f_ds7sq7ekdyp7i;f_ivbm3kubj7mya
Telugu	full	short-if-displaced	d4866	d4866:swallow	match	1	0	f_7dp2pr3nbysj6;f_vsrzcq3kxyfta
Telugu	full	short-if-displaced	d3976	d3976:cotton	match	1	0	f_beigjhoyb4dck;f_lehyil4knhwl6
Telugu	full	short-if-displaced	d910	d910:seventy	match	1	0	f_iecku5o7g5pjg
Telugu	full	short-if-displaced	d3246	d3246:turn-labial;d3246:turn-strong-velar;d3246:turn-weak-velar	match	1	1	f_3ov3kfkm5dkwg;f_stvomvek524nu;f_ysr4jv2l77hdc
Telugu	full	short-if-displaced	d4750	d4750:blunt	match	1	0	f_qubbupqrnim6g;f_xrwtk7qdnczyu
Telugu	full	short-if-displaced	d76	d76:cook	not-strictly-testable	0	1	f_km5iruujn6hz2
Telugu	full	short-if-displaced	d227	d227:grace	not-strictly-testable	0	1	f_6hd2mzztm7g6o
Telugu	full	short-if-displaced	d474	d474:human-two	not-strictly-testable	0	1	f_i3k7naryq6kzm
Telugu	full	short-if-displaced	d5263	d5263:scratch-high	not-strictly-testable	0	1	f_56oibpri2i2vm
Telugu	full	short-if-displaced	d1368	d1368:overflow-labial	match	1	0	f_jwub5lbwzqohi
Telugu	full	short-if-displaced	d4559	d4559:day-full	match	1	0	f_zuzesjd7nkk44
Telugu	mixed	input-underdetermined	d502	d502:descend-labial	not-strictly-testable	1	0	f_dgfr7xfpeadze;f_l3p7f5axkekz2
Telugu	mixed	input-underdetermined	d665	d665:rub-labial	not-strictly-testable	1	0	f_mi74tsrybn3k6
Telugu	mixed	input-underdetermined	d692	d692:tiger	not-strictly-testable	1	0	f_6sktwdc2utfhk
Telugu	mixed	input-underdetermined	d719	d719:throw	not-strictly-testable	1	0	f_k7gr7lb4dodvu;f_yfgjji5rlntdc
Telugu	mixed	input-underdetermined	d2146	d2146:fat	not-strictly-testable	1	0	f_iffkeavvvwzxk;f_pxrplumkoerqe
Telugu	mixed	input-underdetermined	d4761	d4761:fall-turn	not-strictly-testable	1	0	f_6z5eoiaabglnc;f_dnwme76geuspu
Telugu	mixed	input-underdetermined	d954	d954:shrink	not-strictly-testable	1	0	f_a3mddc5yszinm;f_er2aspxshysro;f_ladcd3ubww5gw
Telugu	mixed	input-underdetermined	d1347	d1347:bonduc	not-strictly-testable	1	0	f_xrgs6g6gqjumu
Telugu	mixed	input-underdetermined	d1359	d1359:canal	not-strictly-testable	1	0	f_loq3jelndwedg
Telugu	mixed	input-underdetermined	d1594	d1594:grow-lean	not-strictly-testable	1	0	f_4o6nkyuec2pg6
Telugu	mixed	input-underdetermined	d3343	d3343:rust	not-strictly-testable	1	0	f_ouwrj4t6guwre;f_xioannge7h26u
Telugu	mixed	input-underdetermined	d3437	d3437:snap	not-strictly-testable	1	0	f_ac5m6v5uobtos;f_bkr27kz5jnw3e;f_lr7rrcqoxabam;f_wcmnrwtkxjxes
Telugu	mixed	input-underdetermined	d3522	d3522:tread	not-strictly-testable	1	0	f_xzsphjsyelcgq
Telugu	mixed	input-underdetermined	d3972	d3972:grow	not-strictly-testable	1	0	f_k5ir6ygi5ylhg
Telugu	mixed	input-underdetermined	d4002	d4002:blame	not-strictly-testable	1	0	f_d6q6h6dajzzpo;f_tjngsa3fs2ncw
Telugu	mixed	input-underdetermined	d4176	d4176:separate	not-strictly-testable	1	0	f_klyzqvnlsuysa
Telugu	mixed	input-underdetermined	d4537	d4537:hearth	not-strictly-testable	1	0	f_alslnjparpqqy
Telugu	mixed	input-underdetermined	d4975	d4975:kill-glide	not-strictly-testable	1	0	f_mffezlqquvhqa;f_p5jhlgg64xjwy
Telugu	mixed	outside-short-singleton-rule	d916	d916:rise	not-strictly-testable	1	0	f_qiwnhy2wm4n4q;f_wkvdrkbmthw4k
Telugu	mixed	outside-short-singleton-rule	d1477	d1477:vomit	not-strictly-testable	1	0	f_eykqzbsh7udsw;f_vjqzbh72uhj3q
Telugu	mixed	outside-short-singleton-rule	d1923	d1923:cram	not-strictly-testable	1	0	f_o4b4iwmz35zfk
Telugu	mixed	outside-short-singleton-rule	d2008	d2008:side	not-strictly-testable	1	0	f_7x6k5qa45vu7q;f_u5urt7a2sgsws
Telugu	mixed	outside-short-singleton-rule	d3192	d3192:wither	not-strictly-testable	1	0	f_vcb7tcir2mmg2
Telugu	mixed	outside-short-singleton-rule	d4591	d4591:heap	not-strictly-testable	1	0	f_7sdnwuz6xvvro;f_en7ftxqquk6iw
