ID	Entry_ID	Compared_Entry_ID	Relation	Direction	Confidence	Source	Evidence
cdial:10055:dedr:d4813	10055	d4813	related	undetermined	medium	CDIAL[entry 10055]	[Nursery word: similar words in Drav. DED 3945]
cdial:10059:dedr:d295	10059	d295	influence	entry-from-compared	low	CDIAL[entry 10059]	DEDR 295 is Ta. aḷa/aḷavu 'measure'; DEDR 63 supplies aḍagu 'be contained', the semantic alternation cited by CDIAL.
cdial:10059:dedr:d63	10059	d63	influence	entry-from-compared	low	CDIAL[entry 10059]	DEDR 295 is Ta. aḷa/aḷavu 'measure'; DEDR 63 supplies aḍagu 'be contained', the semantic alternation cited by CDIAL.
cdial:10092:dedr:d4827	10092	d4827	loan	entry-from-compared	high	CDIAL[entry 10092]	[← Drav., Tam. mālai 'wreath' &c. DED 3954, EWA ii 628 with lit. Derivation from * vr̥tman - (P. Tedesco JAOS 67, 87) is phonet. unacceptable]
cdial:10118:dedr:d4519	10118	d4519	related	undetermined	low	CDIAL[entry 10118]	[Cf. Khot. nä-mäjs - 'to blink', Bal. mičāč 'eyelids', Russ. migatĭ 'to blink', Kur. mīnxnā 'to close the eyes' DED 3693, and * miṭṭ - 'to close the eyes', Kan. miṭakisa 'to blink' DED 3969; further miṣánt - 'with open eyes' RV., √ mīl in sáṁ mīlya 'with closed eyes' RV. A non-Aryan or widespread onom. word, scarcely (like Lat. micāre 'to sparkle', Tam. mĩcu 'to flash') to be assigned to a common IE. root (J. C. W.)]
cdial:10118:dedr:d4845	10118	d4845	related	undetermined	low	CDIAL[entry 10118]	[Cf. Khot. nä-mäjs - 'to blink', Bal. mičāč 'eyelids', Russ. migatĭ 'to blink', Kur. mīnxnā 'to close the eyes' DED 3693, and * miṭṭ - 'to close the eyes', Kan. miṭakisa 'to blink' DED 3969; further miṣánt - 'with open eyes' RV., √ mīl in sáṁ mīlya 'with closed eyes' RV. A non-Aryan or widespread onom. word, scarcely (like Lat. micāre 'to sparkle', Tam. mĩcu 'to flash') to be assigned to a common IE. root (J. C. W.)]
cdial:10140a:dedr:d4885	10140a	d4885	loan	entry-from-compared	high	CDIAL[entry 10140a]	[← Drav. Tam. mīṉ &c., DED 3999]
cdial:10144:dedr:d4888	10144	d4888	loan	entry-from-compared	low	CDIAL[entry 10144]	[← Drav., Tam. mukaṭu 'top' &c., DED 4002; mauli - m.f. 'diadem, etc.' MBh. is MIA. (cf. EWA ii 694)]
cdial:10146:dedr:d4893	10146	d4893	loan	entry-from-compared	low	CDIAL[entry 10146]	[Cf. similar interchange of initial in bakula -¹. — ← Drav., Tam. mokkuḷ &c., DED 4007; also mudgara -² m. 'bud' lex. with same variation of - k - ~ - dg - as in mukuṣṭha -]
cdial:10150:dedr:d4932	10150	d4932	loan	entry-from-compared	high	CDIAL[entry 10150]	DEDR 4932 contains Parji muṭka 'blow with fist' and Kurux muṭkā 'fist', CDIAL's exact forms.
cdial:10152:dedr:d4959	10152	d4959	loan	entry-from-compared	medium	CDIAL[entry 10152]	(Lüders PhilInd 179 < * mūrtā -: mūrtá -; but rather, with mutya - n. lex., ← Drav., Tam. muttu , muruntu &c., DED 4062)
cdial:10186:dedr:d4927	10186	d4927	influence	entry-from-compared	low	CDIAL[entry 10186]	[Cf. mū́ta - m.n. 'woven basket' TBr., mū̆ṭa -, mōṭa -¹, mūtōḍī (Pa. mū̆tōḷī -, v.l. mū̆ṭōlī - with which compare * murōṭati above) 'basket, bundle' BHSk. ← Drav. (Tam. muṭai 'to plait, braid' DED 4036, mūṭai 'bundle' DED 4134 prob. unconnected with muṭai ). Partly (cf. galamōṭana -) collides with muṭáti 'ākṣēpē, pramardanē' Dhātup.← Drav. (Tam. muṭṭu 'to dash against' DED 4041) and poss. infl. by √ mr̥d (see múṇṭati ). Cf. also * mōṭa -² 'wicker stool' (J. C. W.). — √ muṭ ]
cdial:10186:dedr:d4932	10186	d4932	influence	entry-from-compared	low	CDIAL[entry 10186]	[Cf. mū́ta - m.n. 'woven basket' TBr., mū̆ṭa -, mōṭa -¹, mūtōḍī (Pa. mū̆tōḷī -, v.l. mū̆ṭōlī - with which compare * murōṭati above) 'basket, bundle' BHSk. ← Drav. (Tam. muṭai 'to plait, braid' DED 4036, mūṭai 'bundle' DED 4134 prob. unconnected with muṭai ). Partly (cf. galamōṭana -) collides with muṭáti 'ākṣēpē, pramardanē' Dhātup.← Drav. (Tam. muṭṭu 'to dash against' DED 4041) and poss. infl. by √ mr̥d (see múṇṭati ). Cf. also * mōṭa -² 'wicker stool' (J. C. W.). — √ muṭ ]
cdial:10186:dedr:d5037	10186	d5037	influence	entry-from-compared	low	CDIAL[entry 10186]	[Cf. mū́ta - m.n. 'woven basket' TBr., mū̆ṭa -, mōṭa -¹, mūtōḍī (Pa. mū̆tōḷī -, v.l. mū̆ṭōlī - with which compare * murōṭati above) 'basket, bundle' BHSk. ← Drav. (Tam. muṭai 'to plait, braid' DED 4036, mūṭai 'bundle' DED 4134 prob. unconnected with muṭai ). Partly (cf. galamōṭana -) collides with muṭáti 'ākṣēpē, pramardanē' Dhātup.← Drav. (Tam. muṭṭu 'to dash against' DED 4041) and poss. infl. by √ mr̥d (see múṇṭati ). Cf. also * mōṭa -² 'wicker stool' (J. C. W.). — √ muṭ ]
cdial:10191:dedr:d5114	10191	d5114	related	undetermined	low	CDIAL[entry 10191]	[Prob. of Drav. origin (A. Master BSOAS xii 354) with coalescence of two Drav. wordgroups (DED 4199, 4200); less likely Mu. connexions (J. Przyluski BSL xxx 199, PMWS 102). Not with P. Thieme ZDMG 93, 134 < * mr̥ṁṣṭa - nor with P. Tedesco JAOS 65, 82 < vr̥ddha -² 'cut'. In IA. it forms part of 'defective' word-group s.v. * muṭṭa -¹ with all variations characteristic of such groups. — Cf. * muṇḍa -² 'lump']
cdial:10209:dedr:d4982	10209	d4982	loan	entry-from-compared	high	CDIAL[entry 10209]	[← Drav., Tam. muruṅkai etc., DED 4085]
cdial:10210:dedr:d4973	10210	d4973	loan	entry-from-compared	low	CDIAL[entry 10210]	[← Drav., Tam. muracam etc., DED 4076. — Cf. muralī -]
cdial:10214:dedr:d4973	10214	d4973	loan	entry-from-compared	low	CDIAL[entry 10214]	[← Drav., Tam. muraḷi &c., DED 4076. — Cf. muraja -]
cdial:10221:dedr:d4932	10221	d4932	influence	entry-from-compared	medium	CDIAL[entry 10221]	near handle', mūṭhā , muṭṭhā 'the smallest sheaf (about a handful)'; Mth. muṭhā 'handle of mattock'; Bhoj. mūṭhⁱ 'fist'; OAw. mūṭhī f. 'handful'; H. mūṭh f., mūṭhā m. 'fist, blow with fist', mūṭhī , muṭṭhī f. 'fist, handful', muṭṭhā m. 'handful, handle (of plough), bundle'; G. mūṭh f. 'fist', muṭṭhī f. 'handful'; M. mūṭh f. 'fist', Ko. mūṭ ; Si. miṭa , pl. miṭi 'fist, handful', miṭiya 'hammer, bundle'; Md. muři 'hammer': the forms of P. H. Si. meaning 'bundle' perh. rather < * muṭṭha -² s.v. mūta -; — in Gy. wel. mušī , gr. musī 'arm' loss of ṭ is unexpl. unless - ī is secondary. — Poss. ← or infl. by Drav. (Prj. muṭka 'blow with fist' &c., DED 4041: see * mukka -¹): Ku. muṭhagī , muṭhkī f. 'blow with fist', N. muṭki , muṛki , M. muṭkā m. nimuṣṭi -. Addenda: muṣṭí-: WPah.kṭg. mvṭ - (in cmpd.), múṭṭh i f. 'clenched hand, handful'; J. muṭhā m. 'handful', Garh. muṭṭhi ; A. muṭh (phonet. muth ) 'abridgement' AFD 94; Md. muř 'fist, handle', muři 'hammer'. † muṣṭigraha -.
cdial:10223:dedr:d4628	10223	d4628	related	undetermined	low	CDIAL[entry 10223]	CDIAL sends musala 'pestle' to maṣati; the latter is already compared with DEDR 4628 Ka. masagu 'rub, whet'.
cdial:10233:dedr:d4921	10233	d4921	loan	entry-from-compared	low	CDIAL[entry 10233]	[← Drav. cf. Tam. muṭi 'knot, tuft, bundle' &c. DED 4030, Tam. muṭai 'to plait, braid' &c. (see muṭáti ), and Tam. mūṭai , mūṭṭai 'sack, bundle' &c. DED 4134. — For mng. 'capital sum &c.' see also * mūḍa - s.v. mū́la -]
cdial:10233:dedr:d5037	10233	d5037	loan	entry-from-compared	low	CDIAL[entry 10233]	[← Drav. cf. Tam. muṭi 'knot, tuft, bundle' &c. DED 4030, Tam. muṭai 'to plait, braid' &c. (see muṭáti ), and Tam. mūṭai , mūṭṭai 'sack, bundle' &c. DED 4134. — For mng. 'capital sum &c.' see also * mūḍa - s.v. mū́la -]
cdial:10250:dedr:d5004	10250	d5004	related	undetermined	low	CDIAL[entry 10250]	[Despite early occurrence and proposed connexion with Gk. μω̑λυ (IEW 750), variation of - l / r - ~ - ḍ - supports non-Aryan, perh. Drav., origin: cf. Tam. muḷā , muḷḷaṅki 'radish' &c., DED 4105. Prob. only chance resemblance with L. and Bi. forms of MIA. muḍḍha - < mūrdhán - with meaning of 'root']
cdial:10299:dedr:d4861	10299	d4861	influence	entry-from-compared	medium	CDIAL[entry 10299]	(poss. influenced by Drav., Tam. miti 'tread on', &c. DED 3982?)
cdial:10313:dedr:d5072	10313	d5072	loan	entry-from-compared	low	CDIAL[entry 10313]	[ mēthī - f. Pañcad., mēthikā -, mēthinī -, manthā -², vēdhanī - f. lex. — ← Drav. cf. Tam. mēti , mentiyam , vental , &c. DED 4161]
cdial:10320:dedr:d5092	10320	d5092	loan	undetermined	low	CDIAL[entry 10320]	[→ Bal. mēδ 'boatman, fisherman'. — Cf. Tam. metavar 'basket-maker' &c. DED 4178]
cdial:10330:dedr:d5094	10330	d5094	related	undetermined	low	CDIAL[entry 10330]	[Cf. Kan. mēruve 'pyramid' DED 4180 with (?)]
cdial:10970:dedr:d3705	10970	d3705	loan	entry-from-compared	high	CDIAL[entry 10970]	[ niṭā̆la - (~ lalā́ṭa -) later ← Drav., Tam. nutal , &c. DED 3069, 3118]
cdial:11006:dedr:d2907	11006	d2907	loan	undetermined	medium	CDIAL[entry 11006]	[→ Ir. dial of Lar in South Persia liṅgṓr 'plough' Morgenstierne. — Initial n - in all Drav. forms (DED 2368); PMWS 127 derives both IA. and Drav. words from Mu. sources]
cdial:11212:dedr:d5220	11212	d5220	loan	entry-from-compared	medium	CDIAL[entry 11212]	[Prob. ← Drav. Tam. vaṭam , Kan. vaṭi , vaṭara , &c. DED 4268]
cdial:11429:dedr:d5316	11429	d5316	loan	entry-from-compared	low	CDIAL[entry 11429]	[Cf. vēlli - and see mallikā -. — Poss. ← Drav. Tam. vaḷḷi , &c. DED 4351]
cdial:11503:dedr:d5301	11503	d5301	loan	entry-from-compared	medium	CDIAL[entry 11503]	[Prob. of same ultimate origin as other names for this plant s.v. bhaṇṭākī -: LM 404 ← Drav., see DED 4339. — → Ir. (Pers. badiṅgān ) → Phal. bētiṅgala , Sh. bhatiṅgar G. Morgenstierne BSOS viii 671]
cdial:11584:dedr:d5370	11584	d5370	loan	entry-from-compared	high	CDIAL[entry 11584]	[J. Bloch in Thomas EIS 35 ← Drav. Tam. vaval &c. (DED 4400). — vātuli - f. 'large bat' lex. sanskritized from * vāuli - < eastern MIA. vāguli - (see Si. bel.)]
cdial:12042:dedr:d5450	12042	d5450	loan	entry-from-compared	low	CDIAL[entry 12042]	[J. Bloch BSOS v 741 ← Drav., Tam. vīcu 'to fan', &c. DED 4479; but cf. √ vic 'blow, winnow' (see * vicyatē ¹) and √ vij 'sudden motion' (see * vijyatē ) and Dhātup. √ vij = √vic 'separate'. Perh. vīj - from IA. vic -, vij -, vyaj - X Drav. vīc - (J. C. W.)]
cdial:12046:dedr:d5515	12046	d5515	loan	entry-from-compared	low	CDIAL[entry 12046]	[Poss. ← Drav., cf. Tam. veṟṟ-ilai , Kota vetl : DED 4539. — See vīṭā -]
cdial:12115:dedr:d5479	12115	d5479	loan	entry-from-compared	medium	CDIAL[entry 12115]	The old DED 4558 footer is lost, but its cited Kurux bīṛī and Malto béru survive in DEDR 5479 and 5517 respectively.
cdial:12115:dedr:d5517	12115	d5517	loan	entry-from-compared	medium	CDIAL[entry 12115]	The old DED 4558 footer is lost, but its cited Kurux bīṛī and Malto béru survive in DEDR 5479 and 5517 respectively.
cdial:12353:dedr:d2401	12353	d2401	related	undetermined	medium	CDIAL[entry 12353]	[~ Drav. DED 243]
cdial:12356:dedr:d2426	12356	d2426	loan	entry-from-compared	high	CDIAL[entry 12356]	[← Drav. T. Burrow BSOAS xii 143, Tel. cāvu 'death', Kui sāva 'to die', &c. DED 2002]
cdial:12588:dedr:d429	12588	d429	loan	entry-from-compared	high	CDIAL[entry 12588]	(← Drav. Tam. iñci 'ginger', &c. DED 363, and Tam. vēr 'root', &c. DED 4554: T. Burrow BSOAS xi 130)
cdial:12588:dedr:d5535	12588	d5535	loan	entry-from-compared	high	CDIAL[entry 12588]	(← Drav. Tam. iñci 'ginger', &c. DED 363, and Tam. vēr 'root', &c. DED 4554: T. Burrow BSOAS xi 130)
cdial:12766:dedr:d2776	12766	d2776	loan	entry-from-compared	medium	CDIAL[entry 12766]	[ sēdhā - is prob. with T. Burrow BSOAS xii 141 ← Drav., Tam. ey , Tel. ēdu , &c. DED 2283 (and not with Lüders PhilInd 177 < * śvavidh -). The retroflex in śvāviḍh - (nom. °viṭ , °viḍ ) of some MSS. of Āpastamba and most of Baudhāyana and in * sēḍhā - also suggests non-Aryan origin. But if sēdhā - was replaced through pop. etym. by śvāvidh -, the antiquity of the latter is attested by its occurrence in AV., by the ċ - of Dm. and s - of Kt. and Pr. and by śuv - ~ śv - in * śuvāvidh -. — śván-, √vyadh? ]
cdial:13096:dedr:d47	13096	d47	related	undetermined	medium	CDIAL[entry 13096]	[~ Drav. DED 44]
cdial:13267:dedr:d343	13267	d343	loan	entry-from-compared	medium	CDIAL[entry 13267]	The old DED 288 footer is lost, but CDIAL's cited Ta. āccā 'Shorea robusta' survives in DEDR 343.
cdial:13387:dedr:d2281	13387	d2281	related	undetermined	medium	CDIAL[entry 13387]	[~ Drav. DED 2065, also Tam. caṅku 'be dispirited' DED 1882?]
cdial:13387:dedr:d2503	13387	d2503	related	undetermined	medium	CDIAL[entry 13387]	[~ Drav. DED 2065, also Tam. caṅku 'be dispirited' DED 1882?]
cdial:13392:dedr:d2599	13392	d2599	loan	entry-from-compared	high	CDIAL[entry 13392]	DEDR 2599 contains Ta. cīku 'broom-grass', CDIAL's exact comparandum.
cdial:13417:dedr:d2535	13417	d2535	loan	entry-from-compared	high	CDIAL[entry 13417]	[← Drav. Tam. cippi DED 2089]
cdial:13676:dedr:d3045	13676	d3045	influence	entry-from-compared	low	CDIAL[entry 13676]	'to stand'; Bhoj. ṭhāṛh 'standing'; OAw. ṭhāḍha 'standing up', pret. 'he stood up', lakh. ṭhāṛh 'standing', ṭhaṛhiyāwab 'to make stand up'; H. ṭhāṛh , ṭhāṛ , ṭhāṛā , ṭhaṛhā 'fixed, stationary, erect, steep', ṭhāṛhnā 'to be fixed, stand up', ṭhaḍḍā m. 'back stick of a paper kite'; M. ṭhāḍā 'erect'; Si. tada 'firm, hard'. 2. For the development 'firm — sluggish — cold' cf. * stharati and sthirá- (in H.): Pa. thaddha - 'slow'; Pk. ṭhaḍḍha - 'blunted, cold'; S. thadho 'cold', L. ṭhaḍḍhā , mult. khet. ṭhaḍā ; N. ṭhāṛo 'rude, gauche'; G. tāḍhũ , ṭāḍhũ 'sluggish, contented, cold'. — * thaṇḍha -, * ṭhaṇḍha - infl. by Drav., Tam. taṇ , &c. 'cold' (DED 2473) J. Bloch BSOS v 742 (cf. also Pa. dhandha - 'dull, slow' BHS ii 275): K. thanḍ 'cold', thanḍī f. 'coldness'; Ku. ṭhano 'cold'; N. ṭhā̃ṛo 'abusive name for useless cooking pot' (i.e. 'cold'? But perh. X bhā̃ṛo < bhāṇḍa- ¹); H. ṭhaṇḍh , ṭhaṇḍhā , ṭhaṇḍā 'cold' → P. ṭhaṇḍhā , ṭhaṇḍā , WPah.bhad. ṭhaṇḍū 'cold', pād. paṇ. cur. ṭhaṇḍā , jaun. ṭhaṇḍō , bhal. ṭhεṇḍyoṇū 'to become cold'; N. ṭhaṇḍā 'cold', B. ṭhāṇḍā , Or. thaṇḍā , ṭhaṇḍā , Bhoj. ṭhaṇḍhā , Aw.lakh. ṭhaṇḍ , G. thãḍũ , ṭhãḍũ , M. thaṇḍ , °ḍā , Ko. thaṁḍ . Addenda: stabdha-: S.kcch. thadho 'cold, cool'; WPah.kṭg. tháṛɔ m. 'grasshopper', J. ṭhāḍā m. (Him.I 95 with ?); A. tadhā 'amazed
cdial:14016:dedr:d240	14016	d240	loan	entry-from-compared	high	CDIAL[entry 14016]	[J. Bloch BSOS v 742 ← Drav., Kan. ale , alaku 'to shake', &c. (DED 203)]
cdial:14122:dedr:d791	14122	d791	loan	entry-from-compared	high	CDIAL[entry 14122]	[← Drav., Kan. eḍḍisu , ēḍisu 'to abuse, mock', &c. DED 676]
cdial:14165:dedr:d903	14165	d903	loan	entry-from-compared	high	CDIAL[entry 14165]	[J. Bloch FestschrWackernagel 149 ← Drav., Kui ēra 'to spy', Malt. ére 'to see', DED 765]
cdial:14174:dedr:d1039	14174	d1039	loan	entry-from-compared	high	CDIAL[entry 14174]	[← Drav., Kan. ōḍa ., &c. DED 876]
cdial:14175:dedr:d959	14175	d959	loan	entry-from-compared	high	CDIAL[entry 14175]	[← Drav., Kan. oḍḍa , &c. DED 808]
cdial:14198a:dedr:da3	14198a	f_tn4usp35zlloe	related	undetermined	low	CDIAL[entry 14198a]	[Cf. Kan. Tu. agra 'the thrush', Tam. akkaram DED 22]
cdial:14271:dedr:da12	14271	f_5q56nqablbw5w	loan	compared-from-entry	medium	CDIAL[entry 14271]	14271 āpāka-: prob. → Drav. Kan. āvi 'potter's kiln', &c. DED 336. ābhā-: haridrābha -.
cdial:14281:dedr:d300	14281	d300	related	undetermined	low	CDIAL[entry 14281]	[Cf. similar words in Drav. DED 305]
cdial:14302:dedr:d690	14302	d690	loan	entry-from-compared	high	CDIAL[entry 14302]	[← Drav. Tam. uruntu 'Phaseolus mungo', &c. DED 594]
cdial:1558:dedr:d517	1558	d517	related	undetermined	low	CDIAL[entry 1558]	Turner/EWA identifies iñcāka- 'prawn, shrimp' as Dravidian; DEDR 517 is the Dravidian prawn/shrimp set (Ta. iṟā/iṟāl, Te. reyya/royya), although the formal correspondence is not transparent.
cdial:1695:dedr:d1039	1695	d1039	loan	entry-from-compared	medium	CDIAL[entry 1695]	Turner compares uḍupa- 'raft' with a probably Dravidian boat word and cites Ta. ōṭam; DEDR 1039 contains Ta./Ma. ōṭam 'boat, raft'.
cdial:1699:dedr:d664	1699	d664	loan	entry-from-compared	high	CDIAL[entry 1699]	Turner derives the ball/roll senses from Dravidian and explicitly compares Ta. uṇṭai, Ma. uṇḍa, and Ka./Tu. uṇḍe, all contained in DEDR 664.
cdial:16:dedr:d23	16	d23	loan	entry-from-compared	high	CDIAL[entry 16]	Ta. akkai 'elder sister' is in DEDR 23.
cdial:179:dedr:d83	179	d83	loan	entry-from-compared	medium	CDIAL[entry 179]	CDIAL sends *aṭṭ- 'obstruct' to the *aḍ- group; DEDR 83 is the matching Dravidian obstruct/stop set.
cdial:191:dedr:d72	191	d72	loan	entry-from-compared	high	CDIAL[entry 191]	Turner derives *aḍḍi/*aḍi- 'heel' from Dravidian and explicitly cites Ta./Ka. aḍi and Te. aḍugu 'foot, footstep', the forms collected in DEDR 72.
cdial:2227:dedr:d758	2227	d758	loan	entry-from-compared	high	CDIAL[entry 2227]	(← Drav. DED 646)
cdial:222:dedr:d142	222	d142	loan	entry-from-compared	high	CDIAL[entry 222]	Ta. attai and the corresponding aunt/mother-in-law forms are in DEDR 142.
cdial:2538:dedr:d1029	2538	d1029	related	undetermined	medium	CDIAL[entry 2538]	[~ Drav. DED 866]
cdial:2547:dedr:d587	2547	d587	loan	entry-from-compared	medium	CDIAL[entry 2547]	Turner compares *ōḍḍh- 'put on, wear, cover' with Ta. uṭu-, Ka. uḍu-, and Te. uḍupu; DEDR 587 is the corresponding Dravidian 'put on clothes, dress' set.
cdial:2615:dedr:d1088	2615	d1088	related	undetermined	medium	CDIAL[entry 2615]	[~ Drav. DED 916]
cdial:2622:dedr:d1278	2622	d1278	related	undetermined	low	CDIAL[entry 2622]	DEDR 1278 contains Ta./Ma. kari 'charcoal, lampblack' in the *kar- 'black, scorched' family; CDIAL also leaves Munda open.
cdial:2652:dedr:d1299	2652	d1299	loan	entry-from-compared	high	CDIAL[entry 2652]	Ka. kalapu 'miscellaneous mass' and Ma. kalappu 'whole, sum' match 'collection'.
cdial:2688:dedr:d1104	2688	d1104	related	undetermined	low	CDIAL[entry 2688]	Turner considers kaṇḍū- 'itching; sexual desire' Dravidian or Austroasiatic and cross-refers to kacchū-. DEDR 1104 contains Ka. kajji/gajji, Te. kasi, and related forms meaning 'itch' or 'itching, desire'; the formal connection and direction remain uncertain.
cdial:2723:dedr:d1171	2723	d1171	loan	entry-from-compared	medium	CDIAL[entry 2723]	Turner treats kanda- 'bulbous root' as probably Dravidian; DEDR 1171 contains Ta. kaṇṭa and Ka. gaḍḍe/geḍḍe 'bulbous root', especially the root of the lotus.
cdial:2727:dedr:d2766	2727	d2766	loan	entry-from-compared	high	CDIAL[entry 2727]	DEDR 2766 ceṇṭu/ceṇḍu is the widespread Dravidian word for a playing ball.
cdial:2740:dedr:d1342	2740	d1342	related	undetermined	low	CDIAL[entry 2740]	DEDR 1342 includes Te. gavva 'cowrie' beside kavva- forms; the internal relationship and direction are uncertain.
cdial:2764:dedr:d256	2764	d256	related	undetermined	low	CDIAL[entry 2764]	DEDR 256 is a native Dravidian lotus set, but CDIAL supplies no particular Dravidian form and the formal match is weak.
cdial:2795:dedr:d1265	2795	d1265	loan	entry-from-compared	medium	CDIAL[entry 2795]	DEDR 1265 contains Ka. karaku/garaku and Te. karagasamu 'saw, saw teeth', matching CDIAL's krakara-/karakaya- comparison.
cdial:2807:dedr:d1261	2807	d1261	related	undetermined	medium	CDIAL[entry 2807]	[~ Drav. DED 1057]
cdial:2813:dedr:d2550	2813	d2550	loan	entry-from-compared	high	CDIAL[entry 2813]	Turner derives karōṭi- 'cup, skull' probably from Dravidian and explicitly cites Ta. ciraṭṭai 'coconut shell, begging bowl', the form recorded in DEDR 2550.
cdial:2851:dedr:d1355	2851	d1355	related	undetermined	low	CDIAL[entry 2851]	DEDR 1355 contains Ka. garde/gadde 'field'; CDIAL cites historical galde/gardde/gadde in its Dravidian hole/field comparison.
cdial:2913:dedr:d1348	2913	d1348	related	undetermined	medium	CDIAL[entry 2913]	[~ Drav. DED 1135]
cdial:2918:dedr:d1297	2918	d1297	loan	entry-from-compared	high	CDIAL[entry 2918]	DEDR 1297 contains Ta./Ka. kal- and Gondi kar- 'learn', exactly CDIAL's comparanda.
cdial:2927:dedr:d1297	2927	d1297	loan	entry-from-compared	high	CDIAL[entry 2927]	The 'practical art' noun is referred to kalayati; DEDR 1297 includes Ta. kalai 'arts and sciences'.
