K80_Item	Entry_ID	Concept	Source_Role	Input_Support_Tier	Process	K80_Lowering_Languages	Reconstruction_Audit	Independent_Input_Evidence	Assessment	Full_Exception_Notes	Reference
11	d3754	moon, month, moonlight	positive	root-low-only	displacement	Kui	*nel-a-nc/-ncc; *nel-V	Kodagu nelaci, Gondi nelenj/nalenj and Parji neliñ independently support n-V-l followed by a palatal/nasal formation. Tamil nilā/nilavu and Malayalam nilā are linked through final *-ac > -ah > ā in K03, independently distinguishing later final ā from the first-syllable quantity.	Low moon base independent; eastern -nj versus southern -v requires morphology.	Telugu nonapplication accords with exclusion of post-C l from its narrow class. Kui ā versus Kuvi/Pengo/Manda ē supports language-specific lowering after, or during, contraction rather than one inherited identical vowel outcome. The exact extinct *nl cluster is reconstructed, not directly observed here. Gondi n/l assimilation supplies a concrete competing pathway, to be tested with dialect chronology and stress. Moon and month do not add independent roots.	Krishnamurti1980 pp.496–504; DOI10.3765/bls.v6i0.2099
12	d4536	sell	positive	unknown	displacement	Kui;Kuwi	*por-V; proposed *por-a, *prō	Konda por independently supports p-o-r and corresponds semantically to eastern prā/pro/pre. It does not itself attest a following low-a vowel; the K80 *por-a input remains a reconstruction requiring support beyond the outcome.	Konda por has no independent -a; separation from spread partly uses vowel outcome.	K80 separated sell from spread d3949 (old DED3255); preserve that editorial distinction and record a family-merge sensitivity rather than counting the separation as proof of independent roots. No Telugu reflex in the linked group. Imported PSD1 reconstructions misassign a source explicitly labeled PSDII; these are not South Dravidian I attestations. Exact low-a conditioning remains unverified here.	Krishnamurti1980 pp.496–504; DOI10.3765/bls.v6i0.2099
13	d3982	husked rice, grain of boiled rice	positive	unknown	displacement	Kui	*per/par-V; velar, labial and plural formations	Gondi pere/perek/paṛem, Konda per/peru and central perku/peruk independently establish p-V-r. Tamil parukkai/poruku supplies a possible related grain formation but does not settle the exact vowel of the bare eastern rice root.	Rice has high-u and plural velar comparanda; proposed -a not independently matched.	The shared rice semantics and regional distribution permit inheritance or old agricultural borrowing. Telugu ā should not be used to reconstruct a-a while Kui ā is used to infer earlier e-a without independent evidence. Exact V2 and whether Telugu lu is synchronically/plausibly plural need historical lexical evidence. Gondi kuṭkī is an explanatory species name, not a cognate. Keep this case outside strict vowel-conditioning counts, while retaining secure order comparison.	Krishnamurti1980 pp.496–504; DOI10.3765/bls.v6i0.2099
14	d4410	name, name someone	positive	full-low-formation	contraction	Kui	*pin-cc-Vr > *pic-ar / *pec-ar; regional pidir/peder	Kannada pesar, Tamil peyar, Tulu pudar, central pidir and northern pinj/pin independently support a medial palatal/dental plus a later final rhotic formation. K03 reconstructs *pic-ar and deeper *pin-cc-Vr; long pēr results from loss/contraction, not an originally short p-e-r root.	Southern pec-ar/pey-ar supports contraction; eastern dōr has a distinct unresolved history.	A useful contraction control and possible different secondary-apical process. K03 p.104 explicitly treats Kolami/Naikri pēr as Telugu loans. Their forms therefore cannot independently reconstruct early long quantity. Badaga pēru may similarly involve southern contact, while hesaru provides its fuller comparison. The northern naming verb lacks the final rhotic extension and is not a retained instance of the same CVr input.	Krishnamurti1980 pp.496–504; DOI10.3765/bls.v6i0.2099
15	d4968	hare	positive	root-low-only	secondary-apical-displacement	Kui;Kuwi	*muc/y-al; regional *mol/mor-Vl, K80 *moẓ-al	Tamil mucal/muyal and Malayalam muyal independently support a low-a final-l formation with medial c/y. Gondi molol/malol and Konda morol establish a regional two-liquid stage before initial clusters. K80 *moẓ-al is a scholarly intermediate, not a directly attested Proto-Dravidian root.	Southern muc/y-al supplies low-a but not a primary apical input; regional morol needed.	No Telugu attestation in this group. The independently low-a southern ending supports a historical formation, but reconstructing first-syllable o rather than u needs the umlaut/relative chronology argument. Do not classify this as ordinary inherited PDr apical metathesis without the secondary-apical stages. K80 p.498 additionally quotes Indi mnāl/mnōl, absent from this group; later nasal clusters need separate source annotation.	Krishnamurti1980 pp.496–504; DOI10.3765/bls.v6i0.2099
16	d4976	rope, cord, bark fibre	positive	full-low-formation	displacement	Kui;Kuwi	*mur-a-ṟc / regional *mor-a-(n)c	Tamil muraṟci and Tulu murajɛ independently supply a low-a formative; Gondi moros/moras/maronj gives matching regional rhotic and final s/nj formations. First-vowel u/o/a variation remains important.	Tamil muraṟci/Tulu murajɛ/Gondi moras support low-a cord formation; Kuvi marcu source quantity differs.	Kui direction is plausible with strong suffix support, but not all branches share the same material or rope construction. The Kui leather rope versus Gondi tree fibre could reflect semantic specialization or contact. Telugu is unattested here. Preserve discrepancy between short database Kuvi marcu and long K80 spelling instead of silently normalizing it or counting two independent roots.	Krishnamurti1980 pp.496–504; DOI10.3765/bls.v6i0.2099
17	d5082	smear, plaster, wax	positive	unknown	displacement	Kui	*meẓ-u-k; other *meẓ-V-nḍ/ŋk/w formations	Tamil meẓuku, Malayalam meẓukuka and Konda miṛis independently establish an apical root and high-vowel formations. No compared form independently supplies the exact low-a formative required by K80 *meẓ-a for the Telugu/Kui long outputs.	Independent meẓ-uk is high-u; low-a nasal/labial formation must not be inferred from ē/ā.	A real quantity/formative residual: do not use long ē/ā to manufacture the a whose prediction is being tested. Telugu mēdu could be another formation or internal assimilation and is uncertain. Kolami mēg/Naikri mēgh may be old Telugu loans or independently medially reduced forms. Kuvi mṇek introduces a nasal not directly expected from ẓ, so its cognacy/assimilation needs separate evidence.	Krishnamurti1980 pp.496–504; DOI10.3765/bls.v6i0.2099
18	d5153	year; this/last/next year compounds	positive	compound-underdetermined	compound	Kui;Kuwi	*yĀṇṭ-u; K80 *nīt-yāṇṭ > *nir-ēṇḍ/*nir-ōṇḍ	Tamil yāṇṭu/āṇṭu, Kodagu āṇḍɨ and Telugu ēṇḍu independently establish the long year root. Last-year r-initial forms contain additional material; the year root itself has no r that could be simply transposed to its beginning.	Completed+year analysis and exact first member unresolved; bare long year is not eligible.	Do not count last-year as ordinary metathesis of the bare year root or use its morphology-free head to test a vowel rule. Kui ṛānḍu last year versus ṛōnḍu previous year preserve a meaning distinction, potentially analogical rather than free phonetic variation. K80 prints Kui twice where the second set appears to be Kuvi; DEDR independently confirms Kuvi r-initial forms. Corpus-wide Konda gloss search last year returned zero; K80 nṛund is a source-only observation. Complete-root component remains to be independently linked.	Krishnamurti1980 pp.496–504; DOI10.3765/bls.v6i0.2099
19	d3559	skin, bark, rind	control	full-low-formation	contraction-control		*tokk; *tok-al > *tōl; short *toli	Tamil/Malayalam tōl alongside tokku, Malayalam tukal, Kannada togal/toval and Tulu tugal independently motivate velar-bearing *tok-al and contracted long *tōl. Telugu tōlu is already a long-root control at the apical-metathesis stage, not an arbitrary long outcome.	Full togal/tukal supports low formation, but Kui/Kuvi retain ō; earlier contraction is a chronology hypothesis.	This distinguishes vowel contraction from metathesis and provides a long/free-root control across many branches. Gondi tolka and central compounds/plurals do not change the inherited long-root analysis without further evidence. Badaga dai wet is explicitly alternatively linked to d3555 and not skin evidence; Nihali ṭōl is marked borrowed and lies outside Dravidian rates. Short toli peeling may reflect another formation/grade, not a compulsory pre-metathesis shortening of every skin noun.	Krishnamurti1980 pp.496–504; DOI10.3765/bls.v6i0.2099
20	d2929	fire, blaze, live coal	control	high-vowel-formation	high-vowel-control		*nir-/ner-; labial *nir/ner-upp and velar derivatives	Tamil neruppu, Malayalam nerippu, Gondi nirvānā and Parji nir independently support n-V-r, with i/e and labial/velar formative variation. Neither imported *nijur nor **nirVvV is treated as uniquely established.	Southern neruppu independent high-u; Kui drē is long, so do not universalize Telugu short-output rule.	The geminate labial environment alone does not certify Telugu metathesis: nippu is opaque without an attested nr/dr intermediate. This is a crucial comparison with trippu and krovvu. Related burning eri d811 may involve nasal prothesis/loss, but that deeper union remains a sensitivity hypothesis. Initial n is independently recoverable here and must not be removed to make a vowel-initial metathesis case.	Krishnamurti1980 pp.496–504; DOI10.3765/bls.v6i0.2099
21	d5159	river, water, thirst	control	independent-long-root	long-vowel-control		*yĀṯ-u, oblique *yĀṯṯ-; regional *ēṯ	Tamil yāṟu/āṟu with oblique ṟṟ, Malayalam āṟu, Telugu ēṟu/ēṭi and Gondi yēr/yēt independently establish long quantity and an apical paradigm. The difference ā/ē is linked to the special initial-y vowel correspondence, not to metathesis.	Long yĀṯ is independently supported; no lowering or apical displacement.	A strong long-vowel control across Telugu and eastern languages. Tulu tārɯ/sārɯ/hārɯ add or preserve initial material requiring separate local explanation, but final r stays postvocalic. Gondi and central big-river compounds combine this root with per/bere big; do not screen that compound-initial per as the river input. Badaga proper names are not independent basic reflexes. Imported goat reconstruction is erroneous metadata.	Krishnamurti1980 pp.496–504; DOI10.3765/bls.v6i0.2099
22	d811	burn, blaze, smart, pungency	control	different-formations	long-causative-control		*er-i; related high/low and long derivatives	Tamil eri, Malayalam eriyuka, Telugu eriyu and Konda er independently establish e-r with a high-i burn formation. Long causatives/nouns and wildfire compounds have different morphology.	Short eri and long causative/nominal grades must remain separate; not uniformly long input.	A strong Telugu short-vowel/high-i retained control. Kui exact mechanism and input vowel remain uncertain despite the r-initial form; no invented *iri should count as independently verified conditioning. The relation to n-initial fire d2929 is a possible prothesis/loss connection, not a license to merge all fire formations. Toda row/sitting and Kota scooping senses reflect polysemy/homonym alignment issues; only the cited brightness meanings support this comparison. Badaga scattering senses need separate semantic review.	Krishnamurti1980 pp.496–504; DOI10.3765/bls.v6i0.2099
23	d2237	stick, shaft, long	control	independent-long-root	long-vowel-control		*kōl	Tamil, Malayalam, Kannada and Konda kōl independently establish a long-vowel free root; Telugu kōla and eastern kōl/kōḍu continue that input.	Independent long kōl; no lowering.	A strong independent long/free-root control, including Kui/Kuvi plural formations that retain initial order. Short Gondi kola/Kolami kolā cannot establish original short V against the broad long comparison and may be local shortening. Many Badaga stick compounds and proper names are not independent etyma. The imported *kōy-il palace reconstruction is unrelated metadata, excluded.	Krishnamurti1980 pp.496–504; DOI10.3765/bls.v6i0.2099
24	d2628	chironji tree and nut	proposed-exception	unknown	proposed-exception		*cir/cēr-V?; regional *ser/ sar-ēk	Kolami sire/cīre, Naikri śīre and Parji cīr independently support c-V-r but mix short/long grades. Gondi serkā/sirkā and sarēkā/saṛēka support a velar tree formation; exact V1/V2 before metathesis remains uncertain.	Chironji exact historical vowel/formation needs evidence; mid output cannot establish or disprove an -a input.	No Telugu attestation in the linked corpus. The restricted geography and regional tree-name traffic weaken family-wide inheritance claims. Gondi full and r-initial variants preserve useful lect evidence, but distinct suffix vowels and quantity prevent a deterministic conditioning assignment. Latin B. latifolia is a parser fragment, not a Gondi word.	Krishnamurti1980 pp.496–504; DOI10.3765/bls.v6i0.2099
25	d4418	bone, hard stone of fruit	proposed-exception	independent-nonlow-formation	proposed-exception		*peẓ/ṛ-V-n; plural -k	Gondi peṛeŋka/peṛeka and Konda peṛen independently establish p-e-apical-V-n/k. No southern cognate in this group uniquely establishes underlying ẓ rather than another source of regional ṛ, or low a rather than e in V2.	Konda peṛen/Gondi peṛe- support e, not -a; ē is not a decisive exception to a low-a rule.	A good regional order comparison, weaker exact input class. Kui ē without lowering cannot falsify the low-a rule unless V2 a is independently established; K03 *peẓ-an is a scholarly reconstruction to test, not independently observed a. Do not call Kuvi pēṛnu a certain reversal of metathesis or certain long-root exception. Nihali bone loans are not independent Dravidian languages or ancestral witnesses.	Krishnamurti1980 pp.496–504; DOI10.3765/bls.v6i0.2099
