entry_id	family_id	concept	reconstruction	c1	v1	v1_quantity	c2	c2_structure	v2	structure	eligibility	input_confidence
d298	d298	water, semiliquid	*aḷ-ak- / *aḷ-uk-?	Ø	a	short	ḷ	singleton	a/u	VC-V-C	cognacy-or-input-uncertain	medium
d299	d299	saltpan, salt marsh	*aḷ-am; compound *uppu + aḷam	Ø	a	short	ḷ	singleton	a	VC-am as noninitial compound member	noninitial-compound-control	high
d301	d301	love, desire, protect	*aḷ-i-; Telugu nasal-palatal extension unresolved	Ø	a	short	ḷ	singleton	i	VC-i-C / VC-V-NC?	core	high
d303	d303	earthen vessel	*aḷ-Vk-; regional a/i variation	Ø	a	short	ḷ	singleton	a/i	VC-V-C	core-formation-uncertain	medium
d304	d304	prick, throb, be angry	*aḷ-Vk-; high-u and low-a variants	Ø	a	short	ḷ	singleton	u/a	VC-V-C	core-formation-uncertain	medium
d305	d305	sprinkle, scatter, bail water	*al/ḷ- with *-Vk and *-Vñc formations	Ø	a	short	l/ḷ	singleton	unknown	VC-V-C / VC-C	core	medium
d306	d306	fear, start, be frightened	*aḷ-uk(k)-, beside *aḷ-ar/ik-	Ø	a	short	ḷ	singleton	u	VC-u-C(C)	core	high
d307	d307	enclose, cover, spread	*aḷ-V- with *-r, *-m and nasal-palatal extensions	Ø	a	short	ḷ	singleton	unknown	VC-V-C	core	medium
d308	d308	hole, cave, burrow	*aḷ-ay; labial and velar formations of uncertain relationship	Ø	a	short	ḷ	singleton	a	VC-ay / VC-V-C	core	high
d310	d310	palm of hand, sole of foot	*aṟ-a(n) + hand/foot compound	Ø	a	short	ṯ	singleton	a	VCV(N) + body-part noun	compound-formation-control	medium
d313	d313	Tamil people/language, regional name	aruvā/arava regional ethnonym; proto-root unspecified	Ø	a	short	r/ṟ	singleton	u/a	VCVCV, regional name	proper-name-contact-control	low
d314	d314	know, understand, inquire	*aṯ-V-; regional *eṟ-uk/ŋk-	Ø	a	short	ṯ	singleton	unknown	VC-V / VC-V-C	core-formation-uncertain	high
d315	d315	sever, cut, decrease, scratch	*aṯ-u- / *aṯ-al- and velar/labial formations	Ø	a	short	ṯ	singleton	u	VC-u-C / VC-a-C	core	high
d316	d316	digest, wear away, indigestion	*aṯ-u-; *aṟ-ak/uk- and labial formations	Ø	a	short	ṯ	singleton	u/a	VC-V-C	core	high
d317	d317	abide, preserve, secure	*aṯ-u-; labial extension *-p	Ø	a	short	ṯ	singleton	u	VC-u-p / VC-u-	core-formation-uncertain	medium
d318	d318	cloth, rag, curtain	*aṟ-Vv-ay / *aṟ-ay; quantity of formative variable	Ø	a	short	ṯ	singleton	u/a/i	VC-V-v-ay / VC-ay	core-formation-uncertain	medium
d319	d319	sound, shout, ring, prattle	*aṯ-ay / *aṯ-a-; *-c/-p/-ŋk and consonantal extensions	Ø	a	short	ṯ	singleton	a	VC-a-C / VC-C	core	high
d321	d321	rock, stone	*aṯ-ay / regional *aṟ-ay; *aṟ-pp-? derivative	Ø	a	short	ṯ	singleton	a	VC-ay / VC-C	core	high
d322	d322	room, partition	*aṯ-ay; regional strengthened *aṟṟa	Ø	a	short	ṯ	singleton-and-geminate-formations	a	VC-ay / VCCV	core	high
d328	d328	fit, suitable, fertile	*an-V-v-; possible older *can- comparison	Ø	a	short	n	singleton	u/a	VC-V-C	nasal-control	medium
d329	d329	send, leave, start off	*an-V-p-; high-u regional extension	Ø	a	short	n	singleton	u	VC-u-p / VC-p	nasal-control	high
d410	deictic-a-i	proximal demonstratives and adverbs	*i-t(u), *i-w-an/-ar; oblique *id-an-i / *iw-an-i, *iw-att-i	Ø	i	short deictic input; secondary long formations	t/w/b	morphological dental/labial elements	a/i/u/variable	deictic base + gender/number + oblique augment	morphological-pronoun-domain	high for order; medium for immediate oblique prehistory
d432	d432	split, crumble, crack	*iṭ-i- / *iṭ-a- and labial nominal extensions	Ø	i	short	ṭ	singleton	i/a	VCV / VCVC	core	high
d434	d434+d448	place, room, opportunity	*iṭ-a-m / *iṭ-ay	Ø	i	short	ṭ	singleton	a	VC-a-C / VC-ay	core	high
d435	d435	affliction, obstacle	*iṭ-ar / *iṭ-um(p)-	Ø	i	short	ṭ	singleton	a/u	VCVC / VC-V-NC	core	medium
d437	d437	stumble, hinder	*iṭ-aṟ / *iṭ-aŋk / *iṭ-Vp	Ø	i	short	ṭ	singleton	a	VC-a-C	core	medium
d439	d439	flour-based cake	*iṭ-i (food noun)	Ø	i	short	ṭ	singleton	i	VCV, also compound-initial	core-formation-uncertain	high
d442	d442	put, place, give	*iṭ-u- (past *iṭ-ṭ-); nominal *īṭ-u	Ø	i	short	ṭ	singleton	u	VC-u / VC-C tense alternation	core	high
d443	d443	beat, strike, butt	*iṭ-i- / *iṭ-u- / *iṭ-a- formations	Ø	i	short	ṭ	singleton	i	VC-i (beside u/a formations)	core	high
d444	d444	pinch, pincers, tongs	*iṭ-uk-; distinct tool-name formations	Ø	i	short	ṭ	singleton	u	VC-u-CC	core-formation-uncertain	medium
d445	d445	narrow, crowded, abundant	*iṭ-u-k / *iṭ-ṭ-aḷ formation	Ø	i	short	ṭ	geminate	a	VCC-a-C (Telugu-matching strong formation)	geminate-control	high
d446	d446	separate, distant	*iṭ-ay / *iṭ-av; regional *eṭ-	Ø	i	short	ṭ	singleton	a	VC-a-y / VC-a-v	core	high
d447	d447	grow weary, become thin	*iṭ-ay?; vowel reconstruction and lexical direction not final	Ø	i	short	ṭ	singleton	a	VC-ay	cognacy-or-input-uncertain	medium
d448	d434+d448	interval, middle, waist	*iṭ-ay / *iṭ-a-m	Ø	i	short	ṭ	singleton	a	VC-ay / VC-a-C	core	high
d449	d449	left side	*iṭ-a(y)/m; *eṭ- regional outcome	Ø	i	short	ṭ	singleton	a	VC-a-C / VC-ay	core	high
d451	d451	parch, roast grain	Kurux–Malto *i/eṛ-; deeper apical source unresolved	Ø	i/e	short	ṛ	singleton	unknown	VC plus language-specific inflection	regional-input-only	medium
d452	d452	wall	regional *iṬ-V-p; Ṭ likely retroflex, V2 unknown	Ø	i	short	ṭ	singleton	unknown	VC-(V)-p	cognacy-or-input-uncertain	medium
d453	d453	touch, feel	regional *iṭ-(V)-; velar extension, quantity unresolved	Ø	i	short	ṭ	singleton	unknown	VC-(V)-k / VC-C	core-formation-uncertain	medium
d454	d454	notched timber block, mortice	regional *iṭṭaṟa / *iṭṭire	Ø	i	short	ṭ	geminate	a/i	VCCVCV	geminate-contact-control	high
d455	d455	steamed cake	regional *iṭṭali / *iḍḍali	Ø	i	short	ṭ	geminate	a	VCCVCV	geminate-contact-control	high
d457	d457	join, equal, pair	*iṇ-ay / *iṇ-aŋk-; nasal control	Ø	i	short	ṇ	singleton	a	VC-ay / VC-a-NC	nasal-control	high
d472	d472	beg, borrow	*ir-a / *ir-av-	Ø	i	short	r	singleton	a	VC-a / VC-a-v	core	high
d474	d474	two	*īr / *ir-V; nonhuman *ir-aṇ-ṭ; human *ir-u-var	Ø	i	short-and-long-bound-allomorphs	r	singleton	a/u	VC-V + gender/number formation	core	high
d475	d475	jujube	regional *ir-a-; nasal/velar and dental tree-name formations	Ø	i	short	r/l	singleton	a	VC-a-NC / VC-a-C	core	medium
d476	d476	deer, antelope	*ir-al-ay, r/l order variation	Ø	i	short	r	singleton	a	VC-a-C-ay	core	medium
d477	d477	cassia tree	*ir/ṟ-al/ḷ-i; regional liquid identity uncertain	Ø	i	short	r/ṟ	singleton	a	VC-a-C-i	cognacy-or-input-uncertain	medium
d480	d480	be, sit, abode	*ir-u-; *ir-u-v / *ir-a-v place nouns	Ø	i	short	r	singleton	u/a	VC-u / VC-V-v / VC-C formations	core	high
d481	d481	great, vast	*ir-u, compound-bound; Telugu inu-	Ø	i	short	r	singleton	u	VC-u + compound member	compound-formation-control	medium
d483	d483	blackwood tree	*ir-u-? plus tree-name formations; bīṭi series uncertain	Ø	i	short	r	singleton	u	complex plant-name derivatives	complex-or-contact-input-uncertain	low
d484	d484	axle	*ir-u-c/s; regional technical term	Ø	i	short	r	singleton	u	VC-u-C	core-formation-uncertain	high
d485	d485	mahua tree	*ir-u-ppay / *ir-V-p; r/l variants	Ø	i	short	r	singleton	u	VC-u-PP-ay / VC-C	core	high
d486	d486	iron	regional *ir-ump; earlier *cir-ump proposed	Ø	i	short	r	singleton	u	VC-u-NP	core	high
d489	d489	roar, noise, cough	*ir-a/um(p)- versus expressive *ramp-; direction uncertain	Ø	i	short	r	singleton	a/u	VC-V-NP or original expressive CVC	expressive-or-contact-input-uncertain	low
d490	d490	food, prey	*ir-ay	Ø	i	short	r	singleton	a	VC-ay	core	high
d494	d494	house	*il; strengthened free form *ill-u/am	Ø	i	short	l	root-final-singleton-with-strengthened-free-forms	none	VC root / VCCV free form	root-shape-control	high
d495	d495	silk-cotton tree	regional *il-av-; *il-a-k tree formation?	Ø	i	short	l	singleton	a	VC-a-v / VC-a-k	core	medium
d499	d499	backbiter, tell-tale	regional illāmalli; deeper segmentation unknown	Ø	i	short	ll	geminate	ā	VCCVCCV opaque word	regional-opaque-control	low
d502	d502	descend, lower, sink	*iẓ-i-; *iẓ-k-, *iẓi-(m)pp-, *iẓi-nt(t)-	Ø	i	short	ẓ	singleton	i/zero	VC-i + tense/voice suffixes	core	high
d504	d504	pull, drag, pant	*i/īẓ-u-; long and short formations	Ø	i/ī	mixed/uncertain	ẓ	singleton	u	VC-u / VVC-C	core	medium
d507	d507	copulate, desire	regional *iẓ-ay- / *iẓ-aŋ-?	Ø	i	short	ẓ	singleton	a	VC-ay / VC-a-NC	cognacy-or-input-uncertain	low
d508	d508	creep, slide along ground	regional *iẓ-ay-; *iẓ-aŋk-?	Ø	i	short	ẓ	singleton	a	VC-ay / VC-a-NC	cognacy-or-input-uncertain	low
d512	d512	grow weary, become emaciated	*iḷ-ay-; Telugu *iḷ-a-n-?	Ø	i	short	ḷ	singleton	a	VC-ay / VC-a-n	core	medium
d513	d513	young, tender; young person; calf	*i/eḷ-a-; *iḷ-aŋk- and human formations	Ø	i/e	short	ḷ	singleton	a	VC-a + nominal/human suffixes	core	high
d516	d516	descend, bow; landing place	*i/eṟ-a-; *iṟ-aŋk- and *iṟ-av- formations	Ø	i/e	short	ṟ	singleton	a	VC-a-NC / VC-av	core	high
d517	d517	prawn, shrimp	*i/eṟ-a/v/y-; exact nominal formation uncertain	Ø	i/e	short	ṟ	singleton	a	VC-a-v / VC-V-y	core	medium
d520	d520	break, snap	*iṟ-u-; eastern *iṟ-aŋk / *iṟ-ek-p?	Ø	i	short	ṟ	singleton	u/unknown	VC-u / VC-NC / VC-C-p	core	medium
d524	d524	be tight, squeeze, narrow place	*iṟ-u-k(k)-; other *iṟ-V formations	Ø	i	short	ṟ	singleton	u	VC-u-k(k)	core	high
d527	d527	lord, king, husband	*i/eṟ-ay-; human *iṟ-ay-anṟu	Ø	i/e	short	ṟ	singleton	a	VC-ay + human suffix	core	high
d528	d528	eaves, roof, edge	*i/eṟ-ay-; *iṟ-ak- roof formation	Ø	i/e	short	ṟ	singleton	a	VC-ay / VC-ak; second compound member	core	high
d529	d529	meat, eat meat	*iṟ-ay-cci / *iṟ-a-cci	Ø	i	short	ṟ	singleton	a	VC-a-cc-i	core	high
d533	d533	fly, bee	*ī; formations with -p/-k and compounds	Ø	ī	long	Ø	absent	none	V long root + nominal extensions	outside-target-control	high
d536	d536	winged termite	*īc-al / *īy-al; Telugu i/u-vowel variants	Ø	ī	long	c/y	singleton	a	VVC-al	other-process-control	medium
d545	d545	slight, minute	regional *īr	Ø	ī	long	r	singleton	none	VVC free/bound adjective	long-root-control	high
d558	d558	be pleased, love; affection	*uk-a / *uv-a; possible Telugu gōmu comparison	Ø	u	short	k/v	singleton	a	VC-a + nominal extensions	exceptional-nonapical-input	medium
d560	d560	sandpaper, toothbrush and related tree names	regional *uk-a / *uv-a; Kannada *og-an-	Ø	u/o	short	k/v	singleton	a	VC-a / VC-a-n	exceptional-nonapical-input	medium
d561	d561	finger/toe nail; finger	regional *ukir, *gōr/*kōr, *or-kk; deeper order unresolved	Ø	u/o	mixed/uncertain	k	singleton	i/u/unknown	VC-VC / CVC / VC-CC regional formations	exceptional-nonapical-input	low
d562	d562	shed, spill, pour	*uk-u; *uk-ipp / *uk-upp transitive formations	Ø	u	short	k	singleton	u/i	VC-u / VC-V-pp	exceptional-nonapical-input	medium
d570	d570	suspending cord, load-rope knot	regional *ukk/ugg-; relation to *uṟ-V unresolved	Ø	u	short	kk	geminate	unknown	VCC-V nominal formations	input-or-contact-uncertain-control	medium
d572	d572	finger ring	regional *uŋgar- / *uŋgur-	Ø	u	short	ŋg	nasal-stop-cluster	a/u	VNCVC regional noun	outside-target-control	high
d586	d586	body, belly	*uṭ-al / *uṭ-amp-; expressive belly formations	Ø	u	short	ṭ	singleton	a	VC-al / VC-a-mp	core	high
d587	d587	wear clothes; clothing	*uṭ-u-; *uṭ-upp- clothing noun	Ø	u	short	ṭ	singleton	u	VC-u-pp	core	high
d588	d588	boil, heat	regional *uṭ-uk- / *uṭ-ik-; deeper *uṭ-V	Ø	u	short	ṭ	singleton	u/i	VC-V-k	core-formation-uncertain	medium
d589	d589	hourglass drum	regional *uṭ-ukk-ay	Ø	u	short	ṭ	singleton	u	VC-u-kk-ay	contact-chronology-control	high
d590	d590	squirrel	regional *uḍ-ut-V	Ø	u	short	ṭ/ḍ	singleton	u	VC-u-t-V	regional-control	medium
d592	d592	monitor lizard	*uṭ-ump-; regional velar and labial formations	Ø	u	short	ṭ	singleton	u	VC-u-mp	core	high
d593	d593	property; owner, lord	*uṭ-ay-; *uṭ-ay-an human and *uṭ-am property forms	Ø	u	short	ṭ	singleton	a	VC-ay + human/nominal suffixes	core	high
d648	d648	speak, roar, pant; silence	*ur-ay / *ur-a; nasal-palatal extensions	Ø	u	short	r	singleton	a	VC-ay / VC-a-NC	core	medium
d649	d649	strength, firmness, coarseness	*ur-a-; *ur-k- and *ur-aṭ- formations	Ø	u	short	r	singleton	a/zero	VC-a / VC-k / VC-aṭ	core	medium
d651	d651	mortar	*ur-al; compounds with stone	Ø	u	short	r	singleton	a	VC-a-C	core	high
d655	d655	noose, snare	*ur-i/u; *ur-ul and related extensions	Ø	u	short	r/ṟ	singleton	i/u	VC-V / VC-V-l	core	medium
d656	d656	burn, heat, sweat, grief	*ur-u / *ur-i; nominal *ur-u-m and other extensions	Ø	u	short	r	singleton	u/i	VC-V + heat/sweat formations	core	high
d657	d657	form, shape, beauty	regional *ur-u/v; possible adaptation of Sanskrit rūpa	Ø	u	short	r	singleton	u/a	VC-u-v	loan-or-inheritance-uncertain	low
d658	d658	ripen, mature, become grey	regional *ur-u / *ur-i	Ø	u	short	r	singleton	u/i	VC-V	core	medium
d661	d661	melt, steel	*ur-uk(k)-; shorter *ur- forms	Ø	u	short	r	singleton	u	VC-u-k(k)	core	high
d663	d663	pierce, penetrate	*ur-uv- / *ur-c-; labial nasal extension	Ø	u	short	r	singleton	u/zero	VC-u-v / VC-c	core	high
d664	d664	roll, round object, wheel, egg	*ur-uḷ-; *ur-uṇṭ- and low-vowel variants	Ø	u	short	r	singleton	u/a	VC-V-lateral / nasal-stop formation	core	high
d665	d665	rub, grind, touchstone; pestle	*ur-ay; *ur-d / *ur-upp and other formations	Ø	u	short	r	singleton	a/u/zero	VC-ay / VC-C / VC-V-pp	core	high
d666	d666	swell, boil over	*ur-p / *ur-k; long and short *ūr/ur	Ø	u/ū	mixed/uncertain	r	singleton	zero/unknown	VC-C / VVC	core	medium
d672	d672	pestle	regional *ul-akk-ay; contact comparison with Indo-Aryan ulūkhala	Ø	u	short	l	singleton	a	VC-a-kk-ay	regional-contact-uncertain	medium
d675	d675	Crataeva tree	regional *ulimiri	Ø	u	short	l	singleton	i	VC-i-C-i-C-i	regional-control	medium
d676	d676	hilsa fish	regional *ullam / *uḷḷam	Ø	u	short	ll/ḷḷ	geminate	a	VCC-am + fish compound	geminate-contact-control	high
d686	d686+d689	stroke, rub, anoint	*uẓ-i/v-; long *ū-s anoint series uncertain	Ø	u	short	ẓ	singleton	i/u/unknown	VC-V + labial/palatal extensions	core	medium
d688	d688	plough, root up soil	*uẓ-u; *uẓ-n- verb and *uẓ-kk- noun	Ø	u	short	ẓ	singleton	u/zero	VC-u / VC-n / VC-kk	core	high
d689	d686+d689	comb, arrange hair	*uẓ-u/v; consonantal labial expansion	Ø	u	short	ẓ	singleton	u/zero	VC-u / VC-v	core	high
d690	d690	black gram	*uẓ-unt- / *uẓ-untu	Ø	u	short	ẓ	singleton	u	VC-u-NT	core	high
d692	d692	tiger, panther	*uẓ-uv-ay / *uẓ-v-	Ø	u	short	ẓ	singleton	u/zero	VC-u-v-ay / VC-v	core	medium
d693	d693	goby and related fish names	regional *uẓ-uv-ay; Telugu comparison uncertain	Ø	u	short	ẓ	singleton	u	VC-u-v-ay	cognacy-or-input-uncertain	medium
d694	d694	spotted deer, stag	*uẓ-up(p)-; southern shorter *uẓ-ay	Ø	u	short	ẓ	singleton	u	VC-u-p(p)	core	high
d695	d695	sweep, scrape into heap	regional *ū/uẓ-C; labial, velar and coronal extensions	Ø	u/ū	mixed/uncertain	ẓ	singleton	zero/unknown	V(V)C-C	core	medium
d696	d696	urine, purge, diarrhoea	*ur/ẓ-c-; northern *uṛ-k- extension	Ø	u	short	r/ẓ	singleton	zero	VC-C	core	medium
d697	d697	be, exist, have	*uḷ-; *uḷ-nt- > *uṇṭ-	Ø	u	short	ḷ	singleton	zero/a	VC + person/tense formations	core	high
d698	d698	inside, mind, house	*uḷ; locative *uḷ-a-n; geminate *uḷḷ-am mind	Ø	u	short	ḷ	singleton/geminate by formation	a/zero	VC-a-n versus VCC-am	core	high
d699	d699	chisel	*uḷ-i	Ø	u	short	ḷ	singleton	i	VC-i	core	high
d700	d700	woodworm, ant	*uḷ-u; *uḷ-u-pp derivatives; ant cognacy queried	Ø	u	short	ḷ	singleton	u	VC-u-(pp)	cognacy-or-input-uncertain	medium
d703	d703	start with fear	*uḷ-k / *uḷ-uk; Tamil uṭk; exact deep cluster uncertain	Ø	u	short	ḷ/ṭ	cluster-or-vocalic-extension	zero/u/a	VC-C / VC-V-C	core-formation-uncertain	medium
d704	d704	snipe, lapwing	regional *uḷḷ-V(n/k)-	Ø	u	short	ḷ	geminate	a/i/u	VCC-V	structural-control	high
d705	d705	onion, garlic	*uḷḷ-i	Ø	u	short	ḷ	geminate	i	VCC-i	structural-control	high
d706	d706	butt, gore, crush nits	*uṯ-/uṟ-; velar/labial derivative uncertain	zero	u	short	ṟ	singleton	zero/unknown	VC / VC-C	core	high for apical set; low for Kui velar linkage
