Language_ID	Disposition	Family_ID	Record_IDs
Kui	vowel-stem-plus-complex-pk-control	d1957	f_6p76ehnd34kgg;f_manikmv6wdwyo
Kui	vowel-stem-plus-complex-pk-control	d2024	f_t56nhs4rv3tho
Kuwi	comparatively-supported-verbal-input	d1628	f_azxiuawfg7ieo
Kuwi	comparatively-supported-verbal-input	d766	f_wrglyexxvikvs
Kuwi	different-noninitial-contraction	d1224	f_l2gtjfhvbcotg
Kuwi	english-or-metadata-match	d4955	f_7law2kza56pwg;f_fctyqtw2rilfy;f_g25m63kvlg2s4;f_kksn7nck2rqt6
Kuwi	english-or-metadata-match	d688	f_fg3hglufftxxc
Kuwi	english-or-metadata-match	d1192	f_gyfe5ok66oej4
Kuwi	english-or-metadata-match	d4976	f_iqs44o4csqkzm
Kuwi	english-or-metadata-match	d4587	f_ju2ynpaa7czsc
Kuwi	english-or-metadata-match	d4993	f_khj6ijwl32xmo
Kuwi	english-or-metadata-match	d3322	f_nvvqhbqbi3exk
Kuwi	english-or-metadata-match	d5025	f_pgdkmnvvukipi
Kuwi	english-or-metadata-match	d2969	f_pi7fibzwji2wm
Kuwi	english-or-metadata-match	d2815	f_ub356vpc6h5nw
Kuwi	english-or-metadata-match	d1805	f_x26hbteq3bt5o
Kuwi	input-unresolved	d2800	f_nijiujr5drqzi
Kuwi	input-unresolved	d2926	f_vj7jpnyejfxzu
Kuwi	labial-stem-plus-velar-control	d3323	f_5oxdbblrif6gi;f_ertjifr7prkju;f_h3cx6pl6dhtqc;f_izemgh4kdtu3a;f_lfkwmepqr5lb6;f_yxnvgoe5kayd4
Kuwi	labial-stem-plus-velar-control	d4527	f_6e4zjs67hwkmi
Kuwi	labial-stem-plus-velar-control	d3143	f_coyje55tr4sra
Kuwi	nominal-plural-control	d2958	f_7elevopcvv4ww
Kuwi	nominal-plural-control	d178	f_annskmmh7hmag;f_mlvvdits4qrow
Kuwi	nominal-plural-control	d4979	f_aq52w67yubthg
Kuwi	nominal-plural-control	d3032	f_oz6lgv2vlwk5i
Kuwi	nominal-plural-control	d2468	f_r5nhjtehubhv4;f_zmnthfsiwbki6
Kuwi	possible-retained-counterexample	d1080	f_qoztnu46jjrho
Pengo	english-or-metadata-match	d4678	f_dvee2apjwd5pk
Pengo	input-unresolved	d2872	f_llwexcpoazhge
Pengo	input-unresolved	d153	f_pnjkptxd6duhy;f_smrich2yxtabe
Pengo	input-unresolved	d297	f_uvineozkzfl5m
Pengo	input-unresolved	d4527	f_w2g46pt5rztqy
Pengo	input-unresolved	d2800	f_ycvy4yb2ncvsq
Pengo	nominal-plural-control	d178	f_oiicp75wqj5dw
Pengo	source-supported-verbal-input	d2804	f_64cwfkd4pln3y
Pengo	source-supported-verbal-input	d1079	f_dh3te37yrt2fe
Pengo	source-supported-verbal-input	d809	f_dprnsutprxa5k;f_iski53l7zilry
Pengo	source-supported-verbal-input	d3253	f_qgvjdtv2ttoyg
Pengo	word-boundary-control	d5190	f_jnn6imecxkwim
Manda	comparatively-supported-verbal-input	d1079	f_5i3fgvjaw2ryk
Manda	comparatively-supported-verbal-input	d3570	f_qjdj2voohgwei
Manda	english-or-metadata-match	d5167	f_zyizyf2t57zfc
Manda	labial-stem-plus-velar-control	d1731	f_pis6b46fcgn2g
Manda	nominal-plural-control	d178	f_lpx34es6dcfyg
