Partition	Family_ID	Entry_IDs	Language_ID	Raw_Language_IDs	Outcome_State	Has_D	Has_R	Has_O	Has_A	Has_B	Attested	Reviewed	Has_Unreviewed_Attested_Member	N_Database_Records	N_Unique_Cited_Form_IDs	Evidence_IDs	Evidence_Forms
primary	d63	d63	Malayalam	Malayalam	R-bearing-no-D	0	1	0	0	0	1	1	0	3	2	f_4vqdnztpjafzg;f_sdddavbegthf6	aṭakkuka;aṭaŋŋuka
primary	d63	d63	Malto	Malto	R-bearing-no-D	0	1	0	0	0	1	1	0	3	2	f_bzfbx5dsqhuq2;f_hi4xqrdmonsn4	aṛge;aṛke
primary	d63	d63	Manda		missing	0	0	0	0	0	0	0	0	0	0		
primary	d63	d63	Mannan		missing	0	0	0	0	0	0	0	0	0	0		
primary	d63	d63	Muduga		missing	0	0	0	0	0	0	0	0	0	0		
primary	d63	d63	Muthuvan		missing	0	0	0	0	0	0	0	0	0	0		
primary	d63	d63	Naiki		missing	0	0	0	0	0	0	0	0	0	0		
primary	d63	d63	Naikri	Naikri	borrowed-only	0	0	0	0	1	1	1	0	3	2	f_66vm44y7urzsy;f_smfegdm6uchnu	ḍʰāp;ḍʰāŋ
primary	d63	d63	Paliya		missing	0	0	0	0	0	0	0	0	0	0		
primary	d63	d63	PaluKurumba		missing	0	0	0	0	0	0	0	0	0	0		
primary	d63	d63	Parji		missing	0	0	0	0	0	0	0	0	0	0		
primary	d63	d63	Pengo		missing	0	0	0	0	0	0	0	0	0	0		
primary	d63	d63	Sholaga		missing	0	0	0	0	0	0	0	0	0	0		
primary	d63	d63	Tamil	Tamil	R-bearing-no-D	0	1	0	0	0	1	1	0	3	2	f_n24eeudesckqa;f_ozoclt2zgnm4u	aṭakku;aṭaŋku
primary	d63	d63	Telugu	Telugu	mixed	1	1	0	0	0	1	1	0	17	8	f_4b2n5ptvxwd5w;f_6rdekkcsrmxj4;f_7dpiziz3womlk;f_ba2xhgycj3vys;f_ccljx3athxqva;f_i77nwvutqgc7i;f_jyl2im2bylpky;f_sp7jg6ayxkr4m	aḍacu;aḍagu;aḍãgu;dā̃cu;dā̃gu;ḍācu;ḍāgu;ḍā̃gu
primary	d63	d63	Toda	Toda	R-bearing-no-D	0	1	0	0	0	1	1	0	8	2	f_kvaqlmzkbxmv6;f_uaxdlfyps5cgi	oḍg- (oḍgy-);oṛk- (oṛky-)
primary	d63	d63	Tulu	Tulu	R-bearing-no-D	0	1	1	0	0	1	1	0	6	3	f_f52ior4auvizw;f_iucnjfjzlv64k;f_wyvbjmqvb57ve	aḍeŋgɯ;deŋguni;ḍeŋgɯ
primary	d63	d63	Urali		missing	0	0	0	0	0	0	0	0	0	0		
primary	d63	d63	markodi		missing	0	0	0	0	0	0	0	0	0	0		
primary	d72	d72	AluKurumba		missing	0	0	0	0	0	0	0	0	0	0		
primary	d72	d72	Badaga	Badaga	R-bearing-no-D	0	1	0	0	0	1	1	0	10	1	f_rp5sa6e7beeki	adi-
primary	d72	d72	Belari		missing	0	0	0	0	0	0	0	0	0	0		
primary	d72	d72	BettaKurumba		missing	0	0	0	0	0	0	0	0	0	0		
primary	d72	d72	Brahui		missing	0	0	0	0	0	0	0	0	0	0		
primary	d72	d72	Eravallan		missing	0	0	0	0	0	0	0	0	0	0		
primary	d72	d72	Gadaba	Gadaba	borrowed-only	0	0	0	0	1	1	1	0	1	1	f_zgesrx6clumay	aḍugu
primary	d72	d72	Gondi	Gondi	R-bearing-no-D	0	1	0	0	0	1	1	0	11	5	f_7f6757uq4t7jg;f_ewxusotoaccry;f_g3pw46aygu47s;f_kwbi3ezqxay76;f_pmci7phqgjnqs	aḍi;aḍita;aṛgi
primary	d72	d72	Irula		missing	0	0	0	0	0	0	0	0	0	0		
primary	d72	d72	Kadar		missing	0	0	0	0	0	0	0	0	0	0		
primary	d72	d72	Kannada	Kannada	R-bearing-no-D	0	1	0	0	0	1	1	0	3	2	f_3mexxqauz2kpo;f_b6s2zjwqpujcu	aḍi;aḍime
primary	d72	d72	Kodagu	Kodagu	R-bearing-no-D	0	1	0	0	0	1	1	0	1	1	f_udmhtbfyw7ga2	aḍi
primary	d72	d72	Kolami		missing	0	0	0	0	0	0	0	0	0	0		
primary	d72	d72	Konda	Konda	R-bearing-no-D	0	1	0	0	0	1	1	0	4	1	f_mxvsk2lo5gwdk	aḍgi
primary	d72	d72	Koraga		missing	0	0	0	0	0	0	0	0	0	0		
primary	d72	d72	Kota	Kota	R-bearing-no-D	0	1	0	0	0	1	1	0	12	1	f_l6ud7ipfqtotg	aṛy
primary	d72	d72	Kudiya		missing	0	0	0	0	0	0	0	0	0	0		
primary	d72	d72	Kui		missing	0	0	0	0	0	0	0	0	0	0		
primary	d72	d72	Kurumba		missing	0	0	0	0	0	0	0	0	0	0		
primary	d72	d72	Kurux		missing	0	0	0	0	0	0	0	0	0	0		
primary	d72	d72	Kuwi		missing	0	0	0	0	0	0	0	0	0	0		
primary	d72	d72	MalaMalasar		missing	0	0	0	0	0	0	0	0	0	0		
primary	d72	d72	MalaPulaya		missing	0	0	0	0	0	0	0	0	0	0		
primary	d72	d72	Malasar		missing	0	0	0	0	0	0	0	0	0	0		
primary	d72	d72	Malayalam	Malayalam	R-bearing-no-D	0	1	0	0	0	1	1	0	4	2	f_katdlrmocjk24;f_qmdxre7upwoya	aṭi;aṭima
primary	d72	d72	Malto		missing	0	0	0	0	0	0	0	0	0	0		
primary	d72	d72	Manda		missing	0	0	0	0	0	0	0	0	0	0		
primary	d72	d72	Mannan		missing	0	0	0	0	0	0	0	0	0	0		
primary	d72	d72	Muduga		missing	0	0	0	0	0	0	0	0	0	0		
primary	d72	d72	Muthuvan		missing	0	0	0	0	0	0	0	0	0	0		
primary	d72	d72	Naiki		missing	0	0	0	0	0	0	0	0	0	0		
primary	d72	d72	Naikri		missing	0	0	0	0	0	0	0	0	0	0		
primary	d72	d72	Paliya		missing	0	0	0	0	0	0	0	0	0	0		
primary	d72	d72	PaluKurumba		missing	0	0	0	0	0	0	0	0	0	0		
primary	d72	d72	Parji		missing	0	0	0	0	0	0	0	0	0	0		
primary	d72	d72	Pengo		missing	0	0	0	0	0	0	0	0	0	0		
primary	d72	d72	Sholaga		missing	0	0	0	0	0	0	0	0	0	0		
primary	d72	d72	Tamil	Tamil	R-bearing-no-D	0	1	0	0	0	1	1	0	7	2	f_32volkpfuzpk6;f_y2gkehxi5ozmw	aṭi;aṭimai
primary	d72	d72	Telugu	Telugu	R-bearing-no-D	0	1	0	0	0	1	1	0	4	2	f_a57tvmje7sedi;f_b6gtt7wm2j7f4	aḍime;aḍugu
primary	d72	d72	Toda	Toda	R-bearing-no-D	0	1	0	0	0	1	1	0	2	2	f_gua22tnrtmfx4;f_xwlxh5qynvqh6	oṛy
primary	d72	d72	Tulu	Tulu	R-bearing-no-D	0	1	0	0	0	1	1	0	3	1	f_iral76aquwvns	aḍi
primary	d72	d72	Urali		missing	0	0	0	0	0	0	0	0	0	0		
primary	d72	d72	markodi		missing	0	0	0	0	0	0	0	0	0	0		
primary	d77	d77	AluKurumba		missing	0	0	0	0	0	0	0	0	0	0		
primary	d77	d77	Badaga		missing	0	0	0	0	0	0	0	0	0	0		
primary	d77	d77	Belari		missing	0	0	0	0	0	0	0	0	0	0		
primary	d77	d77	BettaKurumba		missing	0	0	0	0	0	0	0	0	0	0		
primary	d77	d77	Brahui		missing	0	0	0	0	0	0	0	0	0	0		
primary	d77	d77	Eravallan		missing	0	0	0	0	0	0	0	0	0	0		
primary	d77	d77	Gadaba	Gadaba	R-bearing-no-D	0	1	0	0	0	1	1	0	2	2	f_6senj2ewqs3ik;f_7opmbjxm44zsk	aṭ;aṭṭ
primary	d77	d77	Gondi		missing	0	0	0	0	0	0	0	0	0	0		
primary	d77	d77	Irula		missing	0	0	0	0	0	0	0	0	0	0		
primary	d77	d77	Kadar		missing	0	0	0	0	0	0	0	0	0	0		
primary	d77	d77	Kannada	Kannada	R-bearing-no-D	0	1	0	0	0	1	1	0	6	3	f_amgrwqvrcqtos;f_fs2tz7eijs5y2;f_xd36qsctyvzqu	aḍacu;aḍar;aḍi
primary	d77	d77	Kodagu	Kodagu	R-bearing-no-D	0	1	0	0	0	1	1	0	1	1	f_3jrrbncgh5uuq	aḍi- (aḍip-, aḍic-)
primary	d77	d77	Kolami		missing	0	0	0	0	0	0	0	0	0	0		
primary	d77	d77	Konda	Konda	mixed	1	1	0	0	0	1	1	0	4	4	f_ccytnxr5jxsq4;f_njfakfvwvy47e;f_som7y7eqnohmq;f_zylieid5j4mvk	aṭ- (-t-);ḍak- (-t-);ḍas- (-t-);ḍaŋ- (-it-)
primary	d77	d77	Koraga		missing	0	0	0	0	0	0	0	0	0	0		
primary	d77	d77	Kota	Kota	R-bearing-no-D	0	1	0	0	0	1	1	0	9	1	f_36rqgbvs25ohc	ayṛ- (aṛc-)
primary	d77	d77	Kudiya		missing	0	0	0	0	0	0	0	0	0	0		
primary	d77	d77	Kui	Kui	D-bearing-no-R	1	0	0	0	0	1	1	0	1	1	f_6kk3mka5267pq	ḍāmba (ḍāmbi-)
primary	d77	d77	Kurumba		missing	0	0	0	0	0	0	0	0	0	0		
primary	d77	d77	Kurux		missing	0	0	0	0	0	0	0	0	0	0		
primary	d77	d77	Kuwi	Kuwi	D-bearing-no-R	1	0	0	0	0	1	1	0	2	2	f_etiw3vfzf7tmq;f_g6algi3qtxmi2	ḍamb- (-it-);ḍap- (-h-)
primary	d77	d77	MalaMalasar		missing	0	0	0	0	0	0	0	0	0	0		
primary	d77	d77	MalaPulaya		missing	0	0	0	0	0	0	0	0	0	0		
primary	d77	d77	Malasar		missing	0	0	0	0	0	0	0	0	0	0		
primary	d77	d77	Malayalam	Malayalam	R-bearing-no-D	0	1	0	0	0	1	1	0	8	3	f_d3qufpp6u6duc;f_gbqnbozo5zkec;f_tusvojk5y7kuo	aṭar;aṭi;aṭikka
primary	d77	d77	Malto		missing	0	0	0	0	0	0	0	0	0	0		
primary	d77	d77	Manda		missing	0	0	0	0	0	0	0	0	0	0		
primary	d77	d77	Mannan		missing	0	0	0	0	0	0	0	0	0	0		
primary	d77	d77	Muduga		missing	0	0	0	0	0	0	0	0	0	0		
primary	d77	d77	Muthuvan		missing	0	0	0	0	0	0	0	0	0	0		
primary	d77	d77	Naiki		missing	0	0	0	0	0	0	0	0	0	0		
primary	d77	d77	Naikri		missing	0	0	0	0	0	0	0	0	0	0		
primary	d77	d77	Paliya		missing	0	0	0	0	0	0	0	0	0	0		
primary	d77	d77	PaluKurumba		missing	0	0	0	0	0	0	0	0	0	0		
primary	d77	d77	Parji	Parji	R-bearing-no-D	0	1	0	0	0	1	1	0	3	1	f_r5edz4iifflgy	aṭṭ
primary	d77	d77	Pengo		missing	0	0	0	0	0	0	0	0	0	0		
primary	d77	d77	Sholaga		missing	0	0	0	0	0	0	0	0	0	0		
primary	d77	d77	Tamil	Tamil	R-bearing-no-D	0	1	0	0	0	1	1	0	8	4	f_gbu5e2v54ulz4;f_hmvxhnxifr2e2;f_lfrpjjvqj3a2u;f_zyh3wzb6xvj2e	aṭar;aṭi;aṭu
primary	d77	d77	Telugu	Telugu	mixed	1	1	0	0	0	1	1	0	11	8	f_5om2wvp6x5pcu;f_6ekcbbq2hx3i2;f_e5iah74rikmqu;f_evtufgngj723g;f_gyswcvqfxkoiu;f_vamndeveceg4i;f_yclhpsvgoowz6;f_yu3lxrlzvmafs	aḍaru;aḍucu;aḍupu;dampu;dancu;daŋgu;ḍancu;ḍaŋgu
primary	d77	d77	Toda		missing	0	0	0	0	0	0	0	0	0	0		
primary	d77	d77	Tulu	Tulu	R-bearing-no-D	0	1	0	1	0	1	1	0	6	3	f_hqnhx7dujvi2m;f_m7eizrykk22tw;f_tkhoz5u4ro5xy	aḍikai;aṇepuni;darpuni
primary	d77	d77	Urali		missing	0	0	0	0	0	0	0	0	0	0		
primary	d77	d77	markodi		missing	0	0	0	0	0	0	0	0	0	0		
primary	d78	d78	AluKurumba		missing	0	0	0	0	0	0	0	0	0	0		
primary	d78	d78	Badaga		missing	0	0	0	0	0	0	0	0	0	0		
primary	d78	d78	Belari		missing	0	0	0	0	0	0	0	0	0	0		
primary	d78	d78	BettaKurumba		missing	0	0	0	0	0	0	0	0	0	0		
primary	d78	d78	Brahui		missing	0	0	0	0	0	0	0	0	0	0		
primary	d78	d78	Eravallan		missing	0	0	0	0	0	0	0	0	0	0		
primary	d78	d78	Gadaba		missing	0	0	0	0	0	0	0	0	0	0		
primary	d78	d78	Gondi		missing	0	0	0	0	0	0	0	0	0	0		
primary	d78	d78	Irula		missing	0	0	0	0	0	0	0	0	0	0		
primary	d78	d78	Kadar		missing	0	0	0	0	0	0	0	0	0	0		
primary	d78	d78	Kannada	Kannada	R-bearing-no-D	0	1	0	0	0	1	1	0	4	2	f_6a6mg5ntfueea;f_c2vnaxqrf2q7w	aḍagu;aḍavu
primary	d78	d78	Kodagu		missing	0	0	0	0	0	0	0	0	0	0		
primary	d78	d78	Kolami		missing	0	0	0	0	0	0	0	0	0	0		
primary	d78	d78	Konda	Konda	R-bearing-no-D	0	1	0	0	0	1	1	0	1	1	f_mcpi7ghi2ntiu	aṭ- (-t-)
primary	d78	d78	Koraga		missing	0	0	0	0	0	0	0	0	0	0		
primary	d78	d78	Kota		missing	0	0	0	0	0	0	0	0	0	0		
primary	d78	d78	Kudiya		missing	0	0	0	0	0	0	0	0	0	0		
primary	d78	d78	Kui	Kui	R-bearing-no-D	0	1	0	0	0	1	1	0	1	1	f_va25fz4qit7ig	āḍa (āḍi-)
primary	d78	d78	Kurumba		missing	0	0	0	0	0	0	0	0	0	0		
primary	d78	d78	Kurux		missing	0	0	0	0	0	0	0	0	0	0		
primary	d78	d78	Kuwi	Kuwi	R-bearing-no-D	0	1	0	0	0	1	1	0	4	4	f_2gib44io22lfm;f_a3altkvyewc3a;f_t2plhmcrbvuw6;f_w4xpm3xia26s4	aḍ- (-it-);aṙdali;āḍ;āḍ- (-it-)
primary	d78	d78	MalaMalasar		missing	0	0	0	0	0	0	0	0	0	0		
primary	d78	d78	MalaPulaya		missing	0	0	0	0	0	0	0	0	0	0		
primary	d78	d78	Malasar		missing	0	0	0	0	0	0	0	0	0	0		
primary	d78	d78	Malayalam	Malayalam	R-bearing-no-D	0	1	0	0	0	1	1	0	3	2	f_6yxfhwwxoukwc;f_jaudq2qwxlr5w	aṭavu;aṭukka
primary	d78	d78	Malto	Malto	R-bearing-no-D	0	1	0	0	0	1	1	0	1	1	f_pl6klobvb6bum	aṭye
primary	d78	d78	Manda	Manda	R-bearing-no-D	0	1	0	0	0	1	1	0	1	1	f_sj4dimtzmtowu	aḍ
primary	d78	d78	Mannan		missing	0	0	0	0	0	0	0	0	0	0		
primary	d78	d78	Muduga		missing	0	0	0	0	0	0	0	0	0	0		
primary	d78	d78	Muthuvan		missing	0	0	0	0	0	0	0	0	0	0		
primary	d78	d78	Naiki		missing	0	0	0	0	0	0	0	0	0	0		
primary	d78	d78	Naikri		missing	0	0	0	0	0	0	0	0	0	0		
primary	d78	d78	Paliya		missing	0	0	0	0	0	0	0	0	0	0		
primary	d78	d78	PaluKurumba		missing	0	0	0	0	0	0	0	0	0	0		
primary	d78	d78	Parji		missing	0	0	0	0	0	0	0	0	0	0		
primary	d78	d78	Pengo	Pengo	R-bearing-no-D	0	1	0	0	0	1	1	0	1	1	f_t3ebrrb75lky6	aḍ- (aṛt-)
primary	d78	d78	Sholaga		missing	0	0	0	0	0	0	0	0	0	0		
primary	d78	d78	Tamil	Tamil	R-bearing-no-D	0	1	0	0	0	1	1	0	3	2	f_esldkqabmijng;f_rzk2hws6shs5o	aṭaivu;aṭu
primary	d78	d78	Telugu	Telugu	R-bearing-no-D	0	1	0	0	0	1	1	0	1	1	f_uozmojogquqli	aḍaru
primary	d78	d78	Toda		missing	0	0	0	0	0	0	0	0	0	0		
primary	d78	d78	Tulu		missing	0	0	0	0	0	0	0	0	0	0		
primary	d78	d78	Urali		missing	0	0	0	0	0	0	0	0	0	0		
primary	d78	d78	markodi		missing	0	0	0	0	0	0	0	0	0	0		
primary	d79	d79	AluKurumba		missing	0	0	0	0	0	0	0	0	0	0		
primary	d79	d79	Badaga	Badaga	R-bearing-no-D	0	1	0	0	0	1	1	0	4	2	f_l7aff4qald56e;f_pxknpfkckkxt2	adasu;aduve
primary	d79	d79	Belari		missing	0	0	0	0	0	0	0	0	0	0		
primary	d79	d79	BettaKurumba		missing	0	0	0	0	0	0	0	0	0	0		
primary	d79	d79	Brahui		missing	0	0	0	0	0	0	0	0	0	0		
primary	d79	d79	Eravallan		missing	0	0	0	0	0	0	0	0	0	0		
primary	d79	d79	Gadaba		missing	0	0	0	0	0	0	0	0	0	0		
primary	d79	d79	Gondi		missing	0	0	0	0	0	0	0	0	0	0		
primary	d79	d79	Irula		missing	0	0	0	0	0	0	0	0	0	0		
primary	d79	d79	Kadar		missing	0	0	0	0	0	0	0	0	0	0		
primary	d79	d79	Kannada	Kannada	R-bearing-no-D	0	1	0	0	0	1	1	0	7	3	f_inibm27wdoacq;f_mum63zb5tebbi;f_p7q4vgf4rtbtu	aḍar;aḍasu;aḍe
primary	d79	d79	Kodagu	Kodagu	R-bearing-no-D	0	1	0	0	0	1	1	0	1	1	f_qe3invpaphrac	aḍɨ- (aḍɨp-, aḍɨt-)
primary	d79	d79	Kolami		missing	0	0	0	0	0	0	0	0	0	0		
primary	d79	d79	Konda		missing	0	0	0	0	0	0	0	0	0	0		
primary	d79	d79	Koraga		missing	0	0	0	0	0	0	0	0	0	0		
primary	d79	d79	Kota	Kota	R-bearing-no-D	0	1	0	0	0	1	1	0	1	1	f_cyevisd4o4omq	aṛ- (aṭ-)
primary	d79	d79	Kudiya		missing	0	0	0	0	0	0	0	0	0	0		
primary	d79	d79	Kui	Kui	mixed	1	1	0	0	0	1	1	0	12	4	f_2vxco53vunhbq;f_lj7tp7vi4m3o2;f_n62fnanapyddg;f_rcx76quvo7nbw	aḍa (aḍi-);aṭpa (aṭt-);ṛānja (ṛānji-);ṛāspa (ṛāspi-)
primary	d79	d79	Kurumba		missing	0	0	0	0	0	0	0	0	0	0		
primary	d79	d79	Kurux		missing	0	0	0	0	0	0	0	0	0	0		
primary	d79	d79	Kuwi	Kuwi	uncertain-no-DR	0	0	0	1	0	1	1	0	3	3	f_7jfw3hogse72i;f_e5twbsmh3y5le;f_n3ldpatq3cxaw	daggire;dagira;ḍagre
primary	d79	d79	MalaMalasar		missing	0	0	0	0	0	0	0	0	0	0		
primary	d79	d79	MalaPulaya		missing	0	0	0	0	0	0	0	0	0	0		
primary	d79	d79	Malasar		missing	0	0	0	0	0	0	0	0	0	0		
primary	d79	d79	Malayalam	Malayalam	R-bearing-no-D	0	1	0	0	0	1	1	0	12	3	f_b5amyywv2kg64;f_ga7cbzcxumte4;f_x2ib3lxudi6hc	aṭayuka;aṭukka;aṭuppu
primary	d79	d79	Malto	Malto	R-bearing-no-D	0	1	0	0	0	1	1	0	3	2	f_d7wfeufjfooya;f_pehluqy2luwlg	aṭge;aṭgi
primary	d79	d79	Manda		missing	0	0	0	0	0	0	0	0	0	0		
primary	d79	d79	Mannan		missing	0	0	0	0	0	0	0	0	0	0		
primary	d79	d79	Muduga		missing	0	0	0	0	0	0	0	0	0	0		
primary	d79	d79	Muthuvan		missing	0	0	0	0	0	0	0	0	0	0		
primary	d79	d79	Naiki		missing	0	0	0	0	0	0	0	0	0	0		
primary	d79	d79	Naikri		missing	0	0	0	0	0	0	0	0	0	0		
primary	d79	d79	Paliya		missing	0	0	0	0	0	0	0	0	0	0		
primary	d79	d79	PaluKurumba		missing	0	0	0	0	0	0	0	0	0	0		
primary	d79	d79	Parji		missing	0	0	0	0	0	0	0	0	0	0		
primary	d79	d79	Pengo		missing	0	0	0	0	0	0	0	0	0	0		
primary	d79	d79	Sholaga		missing	0	0	0	0	0	0	0	0	0	0		
primary	d79	d79	Tamil	Tamil	R-bearing-no-D	0	1	0	0	0	1	1	0	12	4	f_3nv75kwdqoaog;f_g5cok7qpyz4a2;f_g5na5idrg5qia;f_v5o7vwbqjyze4	aṭai;aṭaicu;aṭu
primary	d79	d79	Telugu	Telugu	mixed	1	1	0	0	0	1	1	0	11	7	f_52de2l2gjglkq;f_6ud64zlrr5o3a;f_k4y6jfdltdh4y;f_nfiovvrlffkag;f_q4h3lpx6xi6ow;f_xcacbitxwveko;f_yq3xcphvgf2xs	aḍaru;daggaṟa;dāpu;dāyu;ḍaggaṟa;ḍāpu;ḍāyu
primary	d79	d79	Toda	Toda	R-bearing-no-D	0	1	0	0	0	1	1	0	7	2	f_qfw7yw6m7zejo;f_xxhclaurmefxe	aṛpɨn
primary	d79	d79	Tulu	Tulu	R-bearing-no-D	0	1	0	0	0	1	1	0	5	3	f_2czl4itijl5my;f_to5qe237ulnnk;f_ypmg2llxfyqem	aḍavu;aḍepuni;aḍevuni
primary	d79	d79	Urali		missing	0	0	0	0	0	0	0	0	0	0		
primary	d79	d79	markodi	markodi	R-bearing-no-D	0	1	0	0	0	1	1	0	1	1	f_kucttwvkjljwk	adut
primary	d80	d80	AluKurumba		missing	0	0	0	0	0	0	0	0	0	0		
primary	d80	d80	Badaga	Badaga	R-bearing-no-D	0	1	0	0	0	1	1	0	4	3	f_omynkozumxnbq;f_qlp56u3lfnxfg;f_rpwardm5k5nay	adaku;adangu;aḍduku
primary	d80	d80	Belari		missing	0	0	0	0	0	0	0	0	0	0		
primary	d80	d80	BettaKurumba		missing	0	0	0	0	0	0	0	0	0	0		
primary	d80	d80	Brahui		missing	0	0	0	0	0	0	0	0	0	0		
primary	d80	d80	Eravallan		missing	0	0	0	0	0	0	0	0	0	0		
primary	d80	d80	Gadaba		missing	0	0	0	0	0	0	0	0	0	0		
primary	d80	d80	Gondi		missing	0	0	0	0	0	0	0	0	0	0		
primary	d80	d80	Irula		missing	0	0	0	0	0	0	0	0	0	0		
primary	d80	d80	Kadar		missing	0	0	0	0	0	0	0	0	0	0		
primary	d80	d80	Kannada	Kannada	R-bearing-no-D	0	1	0	0	0	1	1	0	4	2	f_etc3hvk2wv3fq;f_fob2thjnbbgdg	aḍaku;aḍuku
primary	d80	d80	Kodagu	Kodagu	R-bearing-no-D	0	1	0	0	0	1	1	0	2	2	f_cdobzpxcdl4ko;f_yul7gpbpiiqao	aḍak- (aḍaki-);aḍaŋg- (aḍaŋgi-)
primary	d80	d80	Kolami		missing	0	0	0	0	0	0	0	0	0	0		
primary	d80	d80	Konda		missing	0	0	0	0	0	0	0	0	0	0		
primary	d80	d80	Koraga		missing	0	0	0	0	0	0	0	0	0	0		
primary	d80	d80	Kota	Kota	R-bearing-no-D	0	1	0	0	0	1	1	0	3	2	f_4xnogxq7ygdtw;f_hmb5m77xlqboo	aṛg- (aṛgy-);aṛk- (aṛky-)
primary	d80	d80	Kudiya		missing	0	0	0	0	0	0	0	0	0	0		
primary	d80	d80	Kui		missing	0	0	0	0	0	0	0	0	0	0		
primary	d80	d80	Kurumba		missing	0	0	0	0	0	0	0	0	0	0		
primary	d80	d80	Kurux		missing	0	0	0	0	0	0	0	0	0	0		
primary	d80	d80	Kuwi		missing	0	0	0	0	0	0	0	0	0	0		
primary	d80	d80	MalaMalasar		missing	0	0	0	0	0	0	0	0	0	0		
primary	d80	d80	MalaPulaya		missing	0	0	0	0	0	0	0	0	0	0		
primary	d80	d80	Malasar		missing	0	0	0	0	0	0	0	0	0	0		
primary	d80	d80	Malayalam	Malayalam	R-bearing-no-D	0	1	0	0	0	1	1	0	3	2	f_byyhvqqcidgf2;f_gvtu6wbc4nznu	aṭukku;aṭukkuka
primary	d80	d80	Malto		missing	0	0	0	0	0	0	0	0	0	0		
primary	d80	d80	Manda		missing	0	0	0	0	0	0	0	0	0	0		
primary	d80	d80	Mannan		missing	0	0	0	0	0	0	0	0	0	0		
primary	d80	d80	Muduga		missing	0	0	0	0	0	0	0	0	0	0		
primary	d80	d80	Muthuvan		missing	0	0	0	0	0	0	0	0	0	0		
primary	d80	d80	Naiki		missing	0	0	0	0	0	0	0	0	0	0		
primary	d80	d80	Naikri		missing	0	0	0	0	0	0	0	0	0	0		
primary	d80	d80	Paliya		missing	0	0	0	0	0	0	0	0	0	0		
primary	d80	d80	PaluKurumba		missing	0	0	0	0	0	0	0	0	0	0		
primary	d80	d80	Parji		missing	0	0	0	0	0	0	0	0	0	0		
primary	d80	d80	Pengo		missing	0	0	0	0	0	0	0	0	0	0		
primary	d80	d80	Sholaga		missing	0	0	0	0	0	0	0	0	0	0		
