ID	Language_ID	Form	Gloss	Native	Phonemic	Original	Cognateset	Description	Tags	Source	Etymology	Redirect	Status	Research_Group	DEDR_ID	Accepted_Root_ID	Immediate_Parent_ID	Immediate_Kind	Borrowed_In_Path	Clade	Is_Dravidian	Candidate_Flags	Database_Language_ID	Research_Correction	Record_Origin	Linked_Database_IDs	Annotation_Entry_ID	Annotation_Family_ID	Individually_Cited_Evidence	Observed_Token_Outcome	Language_Review_Status
f_dalim3d52bnak	Telugu	dā̃parincu	to steal			dā̃parincu	0:			dedr				d63	d63	d63	d63	reflex	0	S. Dravidian II	1		Telugu		database	f_dalim3d52bnak	d63	d63	0	not-individually-adjudicated	M
f_dzxs7wemkwyl6	Kui	āṭpa (āṭt-)	to hide , conceal			āṭpa (āṭt-)	0:		tr	dedr				d63	d63	d63	d63	reflex	0	S. Dravidian II	1	long-vowel-apical-control	Kui		database	f_dzxs7wemkwyl6	d63	d63	1	R	M
f_e2dymctjz7p7k	Konda	ḍāŋ- (-it-)	to lie hidden, hide oneself			ḍāŋ- (-it-)	0:			dedr				d63	d63	d63	d63	reflex	0	S. Dravidian II	1		Konda		database	f_e2dymctjz7p7k	d63	d63	1	D	D
f_e4siy5jtekrfw	Kannada	aḍaŋgu	to hide, be concealed, disappear, cease, be quenched, be appeased, be humbled, crouch, be contained in			aḍaṅgu	0:			dedr				d63	d63	d63	d63	reflex	0	S. Dravidian I	1	short-vowel-apical	Kannada		database	f_e4siy5jtekrfw	d63	d63	1	R	A
f_etvqxyeqjsviu	PDr	*aṭ-a-nk	to be compressed, hidden			*aṭ-a-nk-	0:	PSD		krishnamurti				d63	d63	d63	d63	variant	0	Old Dravidian	1	short-vowel-apical	PDr		database	f_etvqxyeqjsviu	d63	d63	0	not-individually-adjudicated	not-reviewed
f_f52ior4auvizw	Tulu	deŋguni	to be hidden, concealed, lie in ambush			deṅguni	0:			dedr				d63	d63	d63	d63	reflex	0	S. Dravidian I	1		Tulu		database	f_f52ior4auvizw	d63	d63	1	O	A
f_fjk4dzrq3rutg	Kannada	akku	to subdue, bring under control			akku	0:			dedr				d63	d63	d63	d63	reflex	0	S. Dravidian I	1	nonapical-control	Kannada		database	f_fjk4dzrq3rutg	d63	d63	0	not-individually-adjudicated	A
f_hi4xqrdmonsn4	Malto	aṛke	to thrust or wedge in			aṛke	0:			dedr				d63	d63	d63	d63	reflex	0	N. Dravidian	1	short-vowel-apical;postapical-cluster	Malto		database	f_hi4xqrdmonsn4	d63	d63	1	R	R
f_i77nwvutqgc7i	Telugu	ḍā̃gu	to lie hidden			ḍā̃gu	0:			dedr				d63	d63	d63	d63	reflex	0	S. Dravidian II	1		Telugu		database	f_i77nwvutqgc7i	d63	d63	1	D	M
f_ill2ek7fbc3hw	Malayalam	aṭakkam	being contained; all, whole; self-control, modesty, secrecy			aṭakkam	0:			dedr				d63	d63	d63	d63	reflex	0	S. Dravidian I	1	short-vowel-apical	Malayalam		database	f_ill2ek7fbc3hw	d63	d63	0	not-individually-adjudicated	R
f_iucnjfjzlv64k	Tulu	aḍeŋgɯ	to hide			aḍeṅgů	0:	B-K		dedr				d63	d63	d63	d63	reflex	0	S. Dravidian I	1	short-vowel-apical	Tulu		database	f_iucnjfjzlv64k	d63	d63	1	R	A
f_j72jgi37gnp26	Kota	aṛng-	to calm down, submit (after a struggle)			aṛng-				wolf-kota[p. 3, entry 18]	Conjugational stem(s): aṛyng-; Wolf's related reference to DEDR 63			d63	d63	d63	d63	reflex	0	S. Dravidian I	1	short-vowel-apical;postapical-cluster	Kota		database	f_j72jgi37gnp26	d63	d63	0	not-individually-adjudicated	R
f_jnhlv3snz4s26	Telugu	dā̃gurinta	concealment, deceit			dā̃gurinta	0:			dedr				d63	d63	d63	d63	reflex	0	S. Dravidian II	1		Telugu		database	f_jnhlv3snz4s26	d63	d63	0	not-individually-adjudicated	M
f_jp42uqasanrs2	Tulu	aḍeka	small, narrow			aḍeka	0:	source label: B-K		dedr;burrow-emeneau1972den1[p. 399, entry 56(a)]	DEN I (1972) records this reflex under old main 56; resolved to current DEDR d63.			d63	d63	d63	d63	reflex	0	S. Dravidian I	1	short-vowel-apical	Tulu		database	f_jp42uqasanrs2	d63	d63	0	not-individually-adjudicated	A
f_jyl2im2bylpky	Telugu	aḍagu	to yield, submit, be humbled			aḍagu	0:			dedr				d63	d63	d63	d63	reflex	0	S. Dravidian II	1	short-vowel-apical	Telugu		database	f_jyl2im2bylpky	d63	d63	1	R	M
f_jzlvnkx47dko2	Kannada	aḍacu	to press down, pack, stuff in, be humble, silence, shut as the mouth			aḍacu	0:			dedr				d63	d63	d63	d63	reflex	0	S. Dravidian I	1	short-vowel-apical	Kannada		database	f_jzlvnkx47dko2	d63	d63	0	not-individually-adjudicated	A
f_kulte4qbhyc3u	Badaga	adukicu	to control, make to control (CAUS of adaku			adukicu			verb tr uncertain alternate	hockings-pilotraichoor1992[p. 12, col. 1]	Printed alternate of adakicu			d63	d63	d63	f_567msy7ksjr5i	variant	0	S. Dravidian I	1	nonapical-control	Badaga		database	f_kulte4qbhyc3u	d63	d63	0	not-individually-adjudicated	R
f_kvaqlmzkbxmv6	Toda	oṛk- (oṛky-)	to subdue, give sleeping accommodation in a crowded place			oṛk- (oṛky-)	0:			dedr				d63	d63	d63	d63	reflex	0	S. Dravidian I	1	short-vowel-apical;postapical-cluster	Toda		database	f_kvaqlmzkbxmv6	d63	d63	1	R	R
f_ljxewdmd4dbee	Telugu	dā̃gurincu	to conceal, deceive			dā̃gurincu	0:			dedr				d63	d63	d63	d63	reflex	0	S. Dravidian II	1		Telugu		database	f_ljxewdmd4dbee	d63	d63	0	not-individually-adjudicated	M
f_lyswcbvpvwqai	Toda	oṛk-	to subdue, pile; to give sleeping accommodation in a crowded place			oṛk-			verb tr	bhaskararao-toda2025[p. 149, entry 16];emeneau-toda1984[p. 28];bhaskararao-toda-notes[p. 101]	Bhaskararao and Kobayashi cite DEDR 63			d63	d63	d63	d63	reflex	0	S. Dravidian I	1	short-vowel-apical;postapical-cluster	Toda		database	f_lyswcbvpvwqai	d63	d63	0	not-individually-adjudicated	R
f_n24eeudesckqa	Tamil	aṭaŋku	to submit, be subdued, be compressed, cease, disappear, be comprised, settle, subside, sleep			aṭaṅku (aṭaṅki-)	0:	(aṭaŋki-)	verb Tamil-class-3 weak	dedr				d63	d63	d63	d63	reflex	0	S. Dravidian I	1	short-vowel-apical	Tamil		database	f_n24eeudesckqa	d63	d63	1	R	R
f_ndzdyseuco4rc	PSTDr	*aṭ-a-nk-	to be compressed, hidden			aṭ-a-nk-				merriam2026dravidiandb[record 5810, DEDR 63];krishnamurti	Upstream reconstruction attribution: Krishnamurti, 2003.			d63	d63	d63	d63	reflex	0	Old Dravidian	1	short-vowel-apical	PSTDr		database	f_ndzdyseuco4rc	d63	d63	0	not-individually-adjudicated	not-reviewed
f_njgmwhq3lchug	Kurux	aṛknā	to knead, shampoo by squeezing from place to place			aṛknā	0:			dedr				d63	d63	d63	d63	reflex	0	N. Dravidian	1	short-vowel-apical;postapical-cluster	Kurux		database	f_njgmwhq3lchug	d63	d63	1	R	R
f_nm2d4px4kqsca	PDr	*aṭ-a-nkk-	v.t. ‘to control, hide’ PSD			*aṭ-a-nkk-		derived *aṭ-a-nk-		merriam2026dravidiandb[record 5960, DEDR 63];krishnamurti	Upstream reconstruction attribution: Krishnamurti, 2003.			d63	d63	d63	d63	variant	0	Old Dravidian	1	short-vowel-apical	PDr		database	f_nm2d4px4kqsca	d63	d63	0	not-individually-adjudicated	not-reviewed
f_nnwitu2ittoui	Kolami	ḍāŋg- (ḍāŋkt-)	to hide			ḍāŋg- (ḍāŋkt-)	0:		intr	dedr				d63	d63	d63	d63	reflex	0	C. Dravidian	1		Kolami		database	f_nnwitu2ittoui	d63	d63	1	B	B
f_oc7fe2msqzc4m	Badaga	adangu	to subside, quench, control oneself			adangu			verb intr uncertain	hockings-pilotraichoor1992[p. 12, col. 2]	Hockings and Pilot-Raichoor cite DEDR 63			d63	d63	d63	d63	reflex	0	S. Dravidian I	1	nonapical-control	Badaga		database	f_oc7fe2msqzc4m	d63	d63	1	R	R
f_ojq76jvzm4pcc	Tulu	aḍēvuni	to be concealed, hide			aḍēvuni	0:			dedr				d63	d63	d63	d63	reflex	0	S. Dravidian I	1	short-vowel-apical	Tulu		database	f_ojq76jvzm4pcc	d63	d63	0	not-individually-adjudicated	A
f_ov5tvffwoccxm	Kota	aṛkm ( aṛkt-)	act of making submit, burial			aṛkm ( aṛkt-)	0:		obl	dedr				d63	d63	d63	d63	reflex	0	S. Dravidian I	1	short-vowel-apical;postapical-cluster	Kota		database	f_ov5tvffwoccxm	d63	d63	0	not-individually-adjudicated	R
f_ozoclt2zgnm4u	Tamil	aṭakku	to control, repress, hide, conceal, bury			aṭakku (aṭakki-)	0:	(aṭakki-)	verb Tamil-class-3 weak	dedr				d63	d63	d63	d63	reflex	0	S. Dravidian I	1	short-vowel-apical	Tamil		database	f_ozoclt2zgnm4u	d63	d63	1	R	R
f_pe6n3sbv4xltm	Kota	aṛg- (aṛgy-)	to stop, be obedient			aṛg- (aṛgy-)	0:			dedr				d63	d63	d63	d63	reflex	0	S. Dravidian I	1	short-vowel-apical;postapical-cluster	Kota		database	f_pe6n3sbv4xltm	d63	d63	1	R	R
f_pndzgbvkfl2ta	PDr	*aṭ-a-nk-	be compressed, hidden			*aṭ-a-nk-				merriam2026dravidiandb[record 5959, DEDR 63];krishnamurti	Upstream reconstruction attribution: Krishnamurti, 2003.			d63	d63	d63	d63	variant	0	Old Dravidian	1	short-vowel-apical	PDr		database	f_pndzgbvkfl2ta	d63	d63	0	not-individually-adjudicated	not-reviewed
f_pqp2zet24vmku	Kota	aṛkaṭm	obedience			aṛkaṭm	0:			dedr				d63	d63	d63	d63	reflex	0	S. Dravidian I	1	short-vowel-apical;postapical-cluster	Kota		database	f_pqp2zet24vmku	d63	d63	0	not-individually-adjudicated	R
f_pv76rzna6dfs6	Toda	oḍgy-	(2) to be quiet; to be obedient, listen to others; to adjust oneself in a crowded place (as in a bus or sleeping place)			oḍgy-			verb intr variant	bhaskararao-toda2025[p. 145, entry 25];bhaskararao-toda-notes[p. 100]	Printed S2 or alternate stem of oḍg-			d63	d63	d63	f_da674egcpk4vc	variant	0	S. Dravidian I	1	short-vowel-apical;postapical-cluster	Toda		database	f_pv76rzna6dfs6	d63	d63	0	not-individually-adjudicated	R
f_qmdjzaq6yae3q	Telugu	ḍā̃cu	to hide, conceal			ḍā̃cu	0:			dedr				d63	d63	d63	d63	reflex	0	S. Dravidian II	1		Telugu		database	f_qmdjzaq6yae3q	d63	d63	0	not-individually-adjudicated	M
f_rlue3ctx4b5u6	PSTDr	*aṭ-a-nkk-	to control, hide			aṭ-a-nkk-				merriam2026dravidiandb[record 5811, DEDR 63];krishnamurti	Upstream reconstruction attribution: Krishnamurti, 2003.			d63	d63	d63	d63	reflex	0	Old Dravidian	1	short-vowel-apical	PSTDr		database	f_rlue3ctx4b5u6	d63	d63	0	not-individually-adjudicated	not-reviewed
f_rv77sjjjndjkm	Kodagu	aḍak- (aḍaki-)	to hold in closed hands			aḍak- (aḍaki-)	0:			dedr				d63	d63	d63	d63	reflex	0	S. Dravidian I	1	short-vowel-apical	Kodagu		database	f_rv77sjjjndjkm	d63	d63	1	R	R
f_sdddavbegthf6	Malayalam	aṭakkuka	to press down, subdue, swallow, allay, quiet			aṭakkuka	0:			dedr				d63	d63	d63	d63	reflex	0	S. Dravidian I	1	short-vowel-apical	Malayalam		database	f_sdddavbegthf6	d63	d63	1	R	R
f_shhvemxuc2joe	Kodagu	aḍaka	act of bringing within a compass, thriftiness, restrictions at festivals			aḍaka	0:			dedr				d63	d63	d63	d63	reflex	0	S. Dravidian I	1	short-vowel-apical	Kodagu		database	f_shhvemxuc2joe	d63	d63	0	not-individually-adjudicated	R
f_smfegdm6uchnu	Naikri	ḍʰāp	to cover, hide			ḍhāp-	0:			dedr				d63	d63	d63	d63	reflex	0	C. Dravidian	1		Naikri		database	f_smfegdm6uchnu	d63	d63	1	B	B
f_sp7jg6ayxkr4m	Telugu	dā̃gu	to lie hidden			dā̃gu	0:			dedr				d63	d63	d63	d63	reflex	0	S. Dravidian II	1		Telugu		database	f_sp7jg6ayxkr4m	d63	d63	1	D	M
f_t3fheoo3l4w6i	Telugu	aḍākuva	humility, modesty, submissiveness			aḍākuva	0:			dedr				d63	d63	d63	d63	reflex	0	S. Dravidian II	1	short-vowel-apical	Telugu		database	f_t3fheoo3l4w6i	d63	d63	0	not-individually-adjudicated	M
f_u2c3zw3ghrcpi	Kota	aṛgy-	“to stop, be obedient”			aṛgy-			variant	wolf-kota[p. 3, entry 7]	Variant or conjugational stem of aṛg-			d63	d63	d63	f_wcbdofbhx6s72	variant	0	S. Dravidian I	1	short-vowel-apical;postapical-cluster	Kota		database	f_u2c3zw3ghrcpi	d63	d63	0	not-individually-adjudicated	R
f_u5xakmoidafms	Malto	aṛgese	to press down, close an opening by pressing a heavy object against			aṛgese	0:			dedr				d63	d63	d63	d63	reflex	0	N. Dravidian	1	short-vowel-apical;postapical-cluster	Malto		database	f_u5xakmoidafms	d63	d63	0	not-individually-adjudicated	R
f_uaxdlfyps5cgi	Toda	oḍg- (oḍgy-)	to be quiet, find sleeping accommodation in a crowded place			oḍg- (oḍgy-)	0:			dedr				d63	d63	d63	d63	reflex	0	S. Dravidian I	1	short-vowel-apical;postapical-cluster	Toda		database	f_uaxdlfyps5cgi	d63	d63	1	R	R
f_uqozfm3nvs76g	Badaga	adaka	burial (of corpse)			adaka			noun uncertain	hockings-pilotraichoor1992[p. 12, col. 1]	Hockings and Pilot-Raichoor cite DEDR 63			d63	d63	d63	d63	reflex	0	S. Dravidian I	1	nonapical-control	Badaga		database	f_uqozfm3nvs76g	d63	d63	0	not-individually-adjudicated	R
f_wcbdofbhx6s72	Kota	aṛg-	“to stop, be obedient”			aṛg-				wolf-kota[p. 3, entry 7]	Conjugational stem(s): aṛgy-; Wolf's direct reference to DEDR 63			d63	d63	d63	d63	reflex	0	S. Dravidian I	1	short-vowel-apical;postapical-cluster	Kota		database	f_wcbdofbhx6s72	d63	d63	0	not-individually-adjudicated	R
f_wwn327xmgxgmo	Kui	ḍāpa (ḍāt-)	to lie in wait for			ḍāpa (ḍāt-)	0:			dedr				d63	d63	d63	d63	reflex	0	S. Dravidian II	1		Kui		database	f_wwn327xmgxgmo	d63	d63	1	D	M
f_wyvbjmqvb57ve	Tulu	ḍeŋgɯ	to hide			ḍeṅgů	0:	B-K		dedr				d63	d63	d63	d63	reflex	0	S. Dravidian I	1		Tulu		database	f_wyvbjmqvb57ve	d63	d63	1	O	A
f_xbrnbnwgjyffc	Telugu	dā̃parī̃ḍu	thief			dā̃parī̃ḍu	0:			dedr				d63	d63	d63	d63	reflex	0	S. Dravidian II	1		Telugu		database	f_xbrnbnwgjyffc	d63	d63	0	not-individually-adjudicated	M
f_y26xgjb2tqa5u	Telugu	aḍācu	to suppress, humble, subject			aḍācu	0:			dedr				d63	d63	d63	d63	reflex	0	S. Dravidian II	1	short-vowel-apical	Telugu		database	f_y26xgjb2tqa5u	d63	d63	0	not-individually-adjudicated	M
191	Indo-Aryan	*aḍḍi	heel			*aḍḍi				CDIAL;BSOS[v 738]	<number>191</number> <b>*aḍḍi</b> 'heel'. 2. <b>*aḍi-.</b> 3. <b>*ēḍḍi-.</b> 4. <b>*ēḍi-.</b> [J. Bloch BSOS v 738 ← Drav., cf. Tam. Kan. <i>aḍi</i>, Tel. <i>aḍugu</i> 'foot, footstep']			d72	d72	d72	d72	borrowed	1	OIA	0	short-vowel-apical;geminate-apical-control;postapical-cluster	Indo-Aryan		database	191	d72	d72	0	not-individually-adjudicated	not-reviewed
191-2	Indo-Aryan	*aḍi				*aḍi		3		CDIAL				d72	d72	d72	191	reflex	1	OIA	0	short-vowel-apical	Indo-Aryan		database	191-2	d72	d72	0	not-individually-adjudicated	not-reviewed
191-3	Indo-Aryan	*ēḍḍi				*ēḍḍi		4		CDIAL				d72	d72	d72	191	reflex	1	OIA	0	long-vowel-apical-control	Indo-Aryan		database	191-3	d72	d72	0	not-individually-adjudicated	not-reviewed
191-4	Indo-Aryan	*ēḍi				*ēḍi				CDIAL				d72	d72	d72	191	reflex	1	OIA	0	long-vowel-apical-control	Indo-Aryan		database	191-4	d72	d72	0	not-individually-adjudicated	not-reviewed
d72	PDr	*aṭ-V	foot, bottom, base			*aṭ-V				dedr[entry 72, DED(S) 63];krishnamurti			entry	d72	d72	d72			0	Old Dravidian	1	short-vowel-apical;postapical-cluster	PDr		database	d72	d72	d72	0	not-individually-adjudicated	not-reviewed
