entry_id	family_id	concept	reconstruction	c1	v1	v1_quantity	c2	c2_structure	v2	structure	grammatical_category	boundary_evidence	input_support	input_confidence	direction_argument	derivation	exception_notes	confidence	references	eligibility	mechanism	review_status	review_date
d228	d228	rub, grind, smear	*ar-ay-; additional *ar-a-C formations	Ø	a	short	r	singleton	a	VC-ay / VC-a-C	verb/noun	plausible formative boundary; not independently dated	Tamil arai, Malayalam arayuka and Kannada are/arayisu establish the ar-ay type independently. Telugu ṟ/r doublets need historical rhotic checking; their existence does not overturn the cross-language V–rhotic ordering.	high	The wide SD I ar- comparison and Gondi aṛs make vowel-first order preferable; Telugu rā- and several SCDr r-initial formations are innovative. The initial vowel cannot be restored merely from a hypothesized ban on initial r.	*ar-ay- > *rāy- > Telugu rāyu; strengthened/transitive derivatives give rācu/ṟācu and rāpu/ṟāpu. Different rē-/re- formations in Konda, Kui and Pengo require a vowel or suffix history beyond simple a+a contraction. Kui rāk-p- > rāpka illustrates separate stop metathesis after the initial displacement.	Telugu fragment nouns aravuḍu/aṟavaṟalu preserve order; ragulu/ravulu “kindle” have short a and semantic drift, so no unique long-to-short derivation is assumed. Kuvi mlekʰ'nai lacks a convincing segmental path from ar- and remains a questionable member. Gondi Koya rāy may be influenced by Telugu; Kolami rāk is a loan candidate. Malayalam rākuka beside irāvuka could arise by local aphaeresis plus v/k derivational variation. Neither southern nor central initial r automatically demonstrates shared inheritance.	medium	DEDR 228; PSS83 pp.246–248 on independent southern aphaeresis	core	Target initial-order comparison; literal exchange, assimilation and syncope distinguished in the derivation and language notes	reviewed	2026-09-09
d229	d229	half	*ar-ay	Ø	a	short	r	singleton	a	VC-ay; free nominal base	noun/adjective	The historical separability of -ay is unproved; retain as a root-shape control instead of forcing the core classification.	Tamil arai, Kannada are, Telugu ara/aṟa and Naiki ar establish V–r ordering and the ay/a/e regional vowel correspondences.	high	The same ordering is widespread within SD I and retained in Telugu and Naiki. Nothing requires either a prior displacement or reinsertion.	*aray > Tamil arai, Kannada/Tulu are, Malayalam/Telugu ara; Kota/Toda/Naiki ar lose the final vowel. These changes do not relocate the rhotic.	This is a useful contrast to *ar-ay “grind”, but historical identity of the formative -ay is not proven: half may be a lexical free base, whereas grind enters verbal derivation. The distinction cannot be manufactured after noticing opposite outcomes. Telugu ṟ/r is recorded but its chronology remains unestablished.	medium	DEDR 229	free-base-control	Target initial-order comparison; literal exchange, assimilation and syncope distinguished in the derivation and language notes	reviewed	2026-09-09
d233	d233	fall, drop	*ar-; Telugu *ar-al-? and regional high-vowel derivatives	Ø	a	short	r	singleton	unknown	VC-VC / VC-V	verb	-al in Telugu is recoverable conditionally from the older Tamil comparison, not independently from current DEDR descendants.	Gondi ar, Konda ar/arap and Pengo ar- support the vowel-first root. The -al required by Telugu rālu is not independently preserved in this current DEDR set; K61 p.56 compares Tamil aṟ-al, outside the present grouping.	medium	Regional ar- stems independently favor earlier V–r order. Telugu rāl- has an added lateral formation; the Koya rāl loan cannot be counted as independent support for its antiquity.	If the older -al comparison is accepted, *ar-al- > *rāl- > Telugu rālu, with causative rāl-p-/rāl-c-. Pengo ar- : rat- suggests displacement in a derived causative. Kuvi rī- and Manda re- cannot be predicted from *ar-al; their formations and vowel histories remain separate.	Gondi rāl is explicitly labeled from Telugu. Kolami/Naikri rāl- forms are probable contact comparanda but have not been independently dated. K61 source comparison must be checked before *ar-al is treated as a secure low-vowel input. A shared abstract “fall” meaning does not make every derivative identical.	medium	K61 p.56; PSS83 p.233; DEDR 233	core-formation-uncertain	Target initial-order comparison; literal exchange, assimilation and syncope distinguished in the derivation and language notes	reviewed	2026-09-09
d236	d236	suffer, tire	*al-a- and *al-a-NC- formations	Ø	a	short	l	singleton	a	VC-a-(NC)	verb/noun	-ay and nasal extensions are independently attested; lampaṭa segmentation remains unresolved.	Tamil alai/alaŋku, Malayalam alayuka/alaŋŋuka, Telugu alayu/alãgu independently supply short al-a- and extended stems. The CLDF negative *al “be not” is not evidence for this lexical family.	medium	SD I, Telugu, Kolami and Parji agree on initial al-; r/l-initial variants need their own histories rather than a uniform reconstructed initial liquid.	Retained *al-a-y > Telugu alayu and *al-aŋ- > alãgu. Telugu lampaṭa and Kannada lampaṭe admit initial-vowel loss or contact-related restructuring; their exact earlier compound is unknown. Kui laha may reflect loss/reordering from al-a-, but short a and h are not fully explained.	DEDR explicitly separates Sanskrit-derived Telugu lampaṭũḍu from the trouble noun and tentatively proposes Dravidian > Sanskrit borrowing for lampaṭa. This can involve export and reborrowing, not a simple one-way loan label. Kurux layā- vs algā requires separate suffix and vowel analysis. A bogus Malto alaŋku row is actually the opening of DEDR editorial prose about Tamil; only Malto alesi is lexical evidence. DEDR warns that d236 “suffer” and d240 “move” have converged semantically; separate roots remain the primary partition, with a collapsed sensitivity analysis.	medium	DEDR 236 and preserved editorial comparison; PSS83 pp.246–248	core	Target initial-order comparison; literal exchange, assimilation and syncope distinguished in the derivation and language notes	reviewed	2026-09-09
d237	d237	blade, tip	*al-ak- / *al-uk-	Ø	a	short	l	singleton	a/u	VC-V-C	noun	plausible formative boundary; not independently dated	Tamil/Malayalam alaku and Kannada alagu/alugu establish vowel-first lateral and an extended stem; Telugu alũgu has nasalization and high medial u.	medium	All witnesses retain a before l. Vowel change and nasalization in Telugu are not evidence that earlier metathesis has occurred.	*al-ak- > alaku/alagu, beside *al-uk- > alugu and Telugu alũgu; no apical relocation. The origin of nasalization needs source or derivative evidence.	Root/formative segmentation is plausible but not established by a corresponding bare *al “blade”. Keep exact V2 classification variable, not a chosen vowel tailored to expected length. The root is phonologically eligible if that segmentation is accepted; retention itself does not establish non-eligibility.	medium	DEDR 237	core-formation-uncertain	Target initial-order comparison; literal exchange, assimilation and syncope distinguished in the derivation and language notes	reviewed	2026-09-09
d240	d240	move, shake, wave	*al-ay-; *al-aŋ- / *al-uk- extensions	Ø	a	short	l	singleton	a	VC-ay / VC-a-NC	verb/noun	-ay and -aŋ/-uk formations independently visible in SD I; exact Pengo/Irula formations unknown.	Tamil alai/alaŋku, Malayalam alayuka/alaŋŋuka and Kannada ale/alagu supply medial l and low formative independently; Telugu ala and allāḍu preserve the order.	high	The shared vowel-first SD I/Telugu base plus Kurux alr- favors original al-. Kui lāng- is a derived innovative outcome, not a reason to reverse the reconstructed comparison.	*al-aŋ- > *lāŋ- > Kui lānga; its causative lāk-p- > lāpka requires separate stop-cluster metathesis. Telugu allāḍu can be analyzed as a reinforced/reduplicated formation associated with “move” and must not be reduced to an imaginary initial *lā-. Pengo lem- and Irula le·- require a separate vowel and derivative history.	Tulu landuni/landele may show independent aphaeresis in a wanderer derivative; no shared SCDr event follows. Pengo e and Irula e· cannot be generated by simple a+a contraction without another change. Malayalam alaŋŋ-/anaŋŋ- is l/n assimilation/variation, not vowel–liquid displacement. DEDR treats this root as originally distinct from d236 but acknowledges semantic convergence.	medium	DEDR 240; DEDR 236 editorial note	core	Target initial-order comparison; literal exchange, assimilation and syncope distinguished in the derivation and language notes	reviewed	2026-09-09
d61	d61	shoot, discharge	regional *aṭ-a- (Te -r-, Tu -k-)	Ø	a	short	ṭ	singleton	a	VC-a-C	verb	Different final extensions support segmentation only provisionally.	Tulu aḍakuni and Telugu aḍarucu/aḍarincu agree in aḍa-, with different final extensions. The database PSTDr reconstruction rests on only this two-language comparison.	low	Both comparative members are vowel-initial; no independent displaced member motivates an earlier alternative order.	*aṭ-a-r- > aḍarucu in Telugu; *aṭ-a-k- > aḍakuni in Tulu, conditionally on cognacy. No vowel/apical exchange is necessary.	A low second vowel is directly shared, but the narrow distribution and final r:k mismatch limit the reconstruction level. The contrast is retained as a narrow comparison, not elevated to secure PDr evidence.	medium	DEDR 61	narrow-comparison-control	Target initial-order comparison; literal exchange, assimilation and syncope distinguished in the derivation and language notes	reviewed	2026-09-09
d64	d64+d88	betel pouch	*aṭ-a-ppay / *aṭay-ppay	Ø	a	short	ṭ	singleton	a	VC-a(y) + pp-ay	noun	Areca + bag comparison is explicit in DEDR 88; probable cultural diffusion is not independently dated.	Tamil aṭappam/aṭaippam, Malayalam aṭappam and Kannada aḍapa support aṭ-a-pp-. DEDR 88 supplies Tamil aṭaippai and explicitly cross-refers to this pouch family.	high	All daughter forms retain the vowel before ṭ/ḍ. Optional h in Kannada, Tulu and Telugu does not reverse the vowel/apical sequence.	*aṭay-ppay (areca + bag) > aṭappam/aṭaippam and aḍapa-mu, with compounding and nominal-final alternation. The exact relation of pp-ay to -ppam needs separate morphology; no metathesis is needed.	Count together with d88, since the pouch is an areca compound and d88 actually repeats its Tamil form and Telugu derivatives. h-prothesis may mark regional transmission, but is not alone proof of a particular loan direction. This cultural vocabulary supplies an attested retention comparison with uncertain inheritance chronology.	medium	DEDR 64,88; K03 reconstruction in CLDF	compound-contact-control	Target initial-order comparison; literal exchange, assimilation and syncope distinguished in the derivation and language notes	reviewed	2026-09-09
d75	d75	earthen pot	*aṭ-V-k-? / *aṭ-V-	Ø	a	short	ṭ	singleton	unknown	VC-V-C / VC-C	noun	plausible formative boundary; not independently dated	Kannada aḍigera, Telugu aṭika and Gondi aṛka/aṭkā suggest *aṭ-Vk-. Tulu aḍḍyara and Kurux aṛī have different extensions; reconstruction of one fully specified word is unwarranted.	medium	SD I, Telugu, Gondi and Kurux agree on V–apical ordering, independently supporting a vowel-initial base.	*aṭ-ik- > aṭika is compatible with Telugu, but i is not securely common to all extensions; *aṭ-Vk- > Gondi aṛka/aṭkā illustrates medial syncope. No initial displacement.	Tulu gemination and the final r/k correspondence require formation-level history. Gondi Chanda adka and aṛka include broken editorial gloss fragments; use the securely glossed dialect rows for semantics. Pot terminology could diffuse, so inheritance at PDr level remains provisional.	medium	DEDR 75	core-formation-uncertain	Target initial-order comparison; literal exchange, assimilation and syncope distinguished in the derivation and language notes	reviewed	2026-09-09
d76	d76	cook, burn; pancake	*aṭ-u- / *aṭ-; strengthened *aṭṭ-u noun	Ø	a	short	ṭ	singleton	u	VC-u; VC-CV; derivatives and compounds	verb/noun	Root singleton versus tense/noun gemination is independently supported by Tamil and Kannada paradigms; compounds not treated as independent roots.	Tamil aṭu (aṭuv-, aṭṭ-), Malayalam aṭuka and Kannada aḍu (aṭṭ-) support singleton *aṭ- and high-vowel verb formations independently of the geminate food noun *aṭṭu displayed at the DEDR head.	high	Both southern and south-central languages have vowel-initial roots, including Kui aṭa and Kuvi aṭ. An initial ṭ reconstruction would require unmotivated widespread prothesis.	*aṭ-u- > retained cooking verbs; tense/noun strengthening yields aṭṭ- and Telugu aṭṭu. Telugu aḍugaṇṭu retains the singleton in a compound. Kui aṭa and Konda aṭk- retain order in heat/burn formations.	The pancake head is not the only reconstructed input of this etymon. Counting all members as geminate-root exclusions would discard eligible singleton derivatives. Conversely the geminate pancake alone does not test movement of a singleton. Telugu aḍasāla contains a separate kitchen component and may be regionally transmitted. Badaga aṭra/attara hot variants require local cluster/epenthesis history, not the initial metathesis examined here; nāgaṭṭte plant name has uncertain linkage.	medium	DEDR 76; K03 pancake reconstruction in CLDF	core	Target initial-order comparison; literal exchange, assimilation and syncope distinguished in the derivation and language notes	reviewed	2026-09-09
d83	d83	close, obstruct, transverse	*aṭ-ay- beside *aṭṭ-a- / *aṭṭ-i-	Ø	a	short	ṭ	singleton-and-geminate-formations	a	VC-ay and VCC-V	verb/noun/adjective	Singleton -ay verbal root and strengthened crosswise noun supported across SD I; root-family relation plausible but not a license to erase stem distinctions.	Tamil aṭai and Malayalam aṭayuka support singleton *aṭ-ay, while Tamil aṭṭam, Kannada aḍḍa and Telugu aḍḍamu independently support a strengthened transverse/obstruction formation. Both must be represented.	high	Numerous SD I and SD II forms retain initial a. Initial ḍ in Kui ḍākoli could be displaced, but the word is not segmentally identical to the native simple closing stems and needs independent history.	Retained *aṭay > Tamil aṭai / Tulu aḍe-vuni; strengthened *aṭṭa > Telugu aḍḍa(mu). Telugu aḍucu-konu retains the singleton in a derived construction. Hypothetical *aṭ-a-k... > *ḍāk... for Kui shield remains unverified.	Do not classify the entire etymon as a geminate blocker from Telugu aḍḍa alone. Kui aḍa is explicitly said to be from Oriya; ḍākoli shield could be inherited, compounded or borrowed, with no independently recovered complete input. Brahui āṛ and Malto aṛatre have explicit IA doubts. The broad IA obstruction series is contact evidence, not extra independent Dravidian controls. Kuvi kīnai is an extracted light verb, not a standalone cognate of aṭ-.	medium	DEDR 83	mixed-input-formations	Target initial-order comparison; literal exchange, assimilation and syncope distinguished in the derivation and language notes	reviewed	2026-09-09
d84	d84	collect, crowd, increase	*aṭ-ay- / *aṭ-ar-; strengthened *aṭṭ-	Ø	a	short	ṭ	singleton	a	VC-ay / VC-ar / VCC	verb/noun	plausible formative boundary; not independently dated	Tamil aṭai/aṭar, Kannada aḍe/aḍar and Telugu aḍaru establish short a, singleton apical and low vowel extensions. These are independent of the strengthened pile nouns.	high	SD I, Telugu, Konda aḍar and Pengo aḍer all put a before the apical; no reversal is required.	*aṭ-ar- > aḍaru in Telugu and aḍar in Kannada/Konda. *aṭ-ay- > aṭai/aḍe; strengthened *aṭṭ- appears in pile nouns. Pengo e after the apical is a local vowel development without displacement.	Telugu eṭṭam differs in V1, and aṭṭaḍi/aṭṭava have strengthened compound-like shapes: these are not examples of initial displacement. The root is semantically close to pile d80 and approach d79; audit an alternative broad family collapse rather than treating semantic similarity as proof of one root.	medium	DEDR 84	core	Target initial-order comparison; literal exchange, assimilation and syncope distinguished in the derivation and language notes	reviewed	2026-09-09
d88	d64+d88	areca nut and its implements	*aṭ-ay-kkāy; *aṭay + tool/bag	Ø	a	short	ṭ	singleton	a	VC-ay + compound noun	noun	Fruit, bag and tool components compared independently; root is shared with d64.	Tamil aṭaikkāy, Malayalam aṭakka/aṭekka and Kannada aḍake support the areca + fruit compound; Kannada aḍa and tool compounds support a reduced first member independently.	high	Vowel-first ordering is supported by several SD I languages. Koraga initial ḍ can arise by loss of initial a in a locally contracted areca word, without importing a Telugu history.	*aṭay-kkāy > aṭaikkāy / aḍake, then in Tappu Koraga *aḍakke > ḍakke by aphaeresis and local compound reduction. Telugu aḍa-katti etc. retain the first member; aḍḍa-kattera has additional strengthening.	Koraga preserves short a after the initial stop and a following geminate, so this is compatible with straightforward aphaeresis; a literal vowel/stop exchange is not demonstrated. Telugu has tools/bag attendants, not the identical inherited fruit noun; contact among areca-using communities remains plausible. Kannada Areca catecʰu is a botanical Latin fragment misparsed as a Kannada form and is excluded. Count d64+d88 once as the areca/bag family.	medium	DEDR 88,64; K03 SD I areca reconstruction	compound-contact-control	Target initial-order comparison; literal exchange, assimilation and syncope distinguished in the derivation and language notes	reviewed	2026-09-09
d89	d89	sign, token	regional *aṭay-āḷ-am? (internal analysis uncertain)	Ø	a	short	ṭ	singleton	a	VCay-VVCV(m)	noun	Opaque internal segmentation; no outcome-based boundary is invented.	Tamil aṭaiyāḷam, Malayalam aṭayāḷam and Kannada aḍayāḷa agree in a long word; Telugu has aḍiyālamu. The inherited morpheme structure is not independently established.	low	All comparison languages have a before the apical. The Toda source explicitly compares Tamil, so Toda is not an independent proto-stage witness.	Regional aṭayāḷam > aḍayāḷa / aḍiyālamu is a plausible transmission/adaptation series; exact vowel, lateral and direction of loans need separate evidence. No displacement is required.	Do not use the starred database PSTDr string as proof of ancient inheritance. This word may have spread after the sound change or contain an ineligible boundary. Neither explanation is established by its retained outcome, so it remains outside the decisive inherited denominator.	medium	DEDR 89; Emeneau 1984 p.10 via Toda record	compound-contact-control	Target initial-order comparison; literal exchange, assimilation and syncope distinguished in the derivation and language notes	reviewed	2026-09-09
