Entry_ID	Family_ID	Concept	Language_ID	Clade	Eligibility	C1	V1	V1_Quantity	C2	C2_Structure	V2	Structure	Grammatical_Category	Input_Confidence	Confidence	Outcome	Evidence_Forms	Evidence_IDs	N_Database_Records	N_Supplemental_Observations	Notes
d63	d63	hide, subdue, be compressed	Konda	S. Dravidian II	core	Ø	a	short	ṭ	singleton	a	VC-a-NP / VC-a-NPP	verb	high	high	D	ḍāŋ- (-it-)|ḍāp	f_e2dymctjz7p7k;f_bambfikmg7hwe	2	0	Vowel-initial apical promoted; low long vowel. Derivational consonants differ by transitivity.
d63	d63	hide, subdue, be compressed	Koraga	S. Dravidian I	core	Ø	a	short	ṭ	singleton	a	VC-a-NP / VC-a-NPP	verb	high	high	missing			0	0	
d63	d63	hide, subdue, be compressed	Kota	S. Dravidian I	core	Ø	a	short	ṭ	singleton	a	VC-a-NP / VC-a-NPP	verb	high	high	R	aṛg- (aṛgy-)|aṛk- (aṛky-)	f_pe6n3sbv4xltm;f_3ffda2nan4gsa	9	0	Medial vowel deletion yields aṛ-C; no initial displacement.
d63	d63	hide, subdue, be compressed	Kudiya	S. Dravidian I	core	Ø	a	short	ṭ	singleton	a	VC-a-NP / VC-a-NPP	verb	high	high	missing			0	0	
d63	d63	hide, subdue, be compressed	Kui	S. Dravidian II	core	Ø	a	short	ṭ	singleton	a	VC-a-NP / VC-a-NPP	verb	high	high	M	āṛpa (āṛt-)|āṭpa (āṭt-)|ḍāpa (ḍāt-)	f_2lop65gm7nwpw;f_dzxs7wemkwyl6;f_wwn327xmgxgmo	3	0	Retained and displaced related formations; length in retained root requires separate quantity history.
d63	d63	hide, subdue, be compressed	Kurumba	S. Dravidian I	core	Ø	a	short	ṭ	singleton	a	VC-a-NP / VC-a-NPP	verb	high	high	missing			0	0	
d63	d63	hide, subdue, be compressed	Kurux	N. Dravidian	core	Ø	a	short	ṭ	singleton	a	VC-a-NP / VC-a-NPP	verb	high	high	R	aṛknā	f_njgmwhq3lchug	1	0	Order retained with suffix-vowel syncope.
d63	d63	hide, subdue, be compressed	Kuwi	S. Dravidian II	core	Ø	a	short	ṭ	singleton	a	VC-a-NP / VC-a-NPP	verb	high	high	missing			0	0	
d63	d63	hide, subdue, be compressed	MalaMalasar	S. Dravidian I	core	Ø	a	short	ṭ	singleton	a	VC-a-NP / VC-a-NPP	verb	high	high	missing			0	0	
d63	d63	hide, subdue, be compressed	MalaPulaya	S. Dravidian I	core	Ø	a	short	ṭ	singleton	a	VC-a-NP / VC-a-NPP	verb	high	high	missing			0	0	
d63	d63	hide, subdue, be compressed	Malasar	S. Dravidian I	core	Ø	a	short	ṭ	singleton	a	VC-a-NP / VC-a-NPP	verb	high	high	missing			0	0	
d63	d63	hide, subdue, be compressed	Malayalam	S. Dravidian I	core	Ø	a	short	ṭ	singleton	a	VC-a-NP / VC-a-NPP	verb	high	high	R	aṭaŋŋuka|aṭakkuka	f_4vqdnztpjafzg;f_sdddavbegthf6	3	0	Same order and formative distinction.
d63	d63	hide, subdue, be compressed	Malto	N. Dravidian	core	Ø	a	short	ṭ	singleton	a	VC-a-NP / VC-a-NPP	verb	high	high	R	aṛge|aṛke	f_bzfbx5dsqhuq2;f_hi4xqrdmonsn4	3	0	Order retained with suffix-vowel syncope.
d63	d63	hide, subdue, be compressed	Manda	S. Dravidian II	core	Ø	a	short	ṭ	singleton	a	VC-a-NP / VC-a-NPP	verb	high	high	missing			0	0	
d63	d63	hide, subdue, be compressed	Mannan	S. Dravidian I	core	Ø	a	short	ṭ	singleton	a	VC-a-NP / VC-a-NPP	verb	high	high	missing			0	0	
d63	d63	hide, subdue, be compressed	Muduga	S. Dravidian I	core	Ø	a	short	ṭ	singleton	a	VC-a-NP / VC-a-NPP	verb	high	high	missing			0	0	
d63	d63	hide, subdue, be compressed	Muthuvan	S. Dravidian I	core	Ø	a	short	ṭ	singleton	a	VC-a-NP / VC-a-NPP	verb	high	high	missing			0	0	
d63	d63	hide, subdue, be compressed	Naiki	C. Dravidian	core	Ø	a	short	ṭ	singleton	a	VC-a-NP / VC-a-NPP	verb	high	high	missing			0	0	
d63	d63	hide, subdue, be compressed	Naikri	C. Dravidian	core	Ø	a	short	ṭ	singleton	a	VC-a-NP / VC-a-NPP	verb	high	high	B	ḍʰāŋ|ḍʰāp	f_66vm44y7urzsy;f_smfegdm6uchnu	3	0	K03 early Telugu loan diagnosis; aspiration is separate.
d63	d63	hide, subdue, be compressed	OMal	S. Dravidian I	core	Ø	a	short	ṭ	singleton	a	VC-a-NP / VC-a-NPP	verb	high	high	missing			0	0	
d63	d63	hide, subdue, be compressed	OTelugu	S. Dravidian II	core	Ø	a	short	ṭ	singleton	a	VC-a-NP / VC-a-NPP	verb	high	high	missing			0	0	
d63	d63	hide, subdue, be compressed	Paliya	S. Dravidian I	core	Ø	a	short	ṭ	singleton	a	VC-a-NP / VC-a-NPP	verb	high	high	missing			0	0	
d63	d63	hide, subdue, be compressed	PaluKurumba	S. Dravidian I	core	Ø	a	short	ṭ	singleton	a	VC-a-NP / VC-a-NPP	verb	high	high	missing			0	0	
d63	d63	hide, subdue, be compressed	Parji	C. Dravidian	core	Ø	a	short	ṭ	singleton	a	VC-a-NP / VC-a-NPP	verb	high	high	missing			0	0	
d63	d63	hide, subdue, be compressed	Pengo	S. Dravidian II	core	Ø	a	short	ṭ	singleton	a	VC-a-NP / VC-a-NPP	verb	high	high	missing			0	0	
d63	d63	hide, subdue, be compressed	Sholaga	S. Dravidian I	core	Ø	a	short	ṭ	singleton	a	VC-a-NP / VC-a-NPP	verb	high	high	missing			0	0	
d63	d63	hide, subdue, be compressed	Tamil	S. Dravidian I	core	Ø	a	short	ṭ	singleton	a	VC-a-NP / VC-a-NPP	verb	high	high	R	aṭaŋku|aṭakku	f_n24eeudesckqa;f_ozoclt2zgnm4u	3	0	Both root and formative vowels remain.
d63	d63	hide, subdue, be compressed	Telugu	S. Dravidian II	core	Ø	a	short	ṭ	singleton	a	VC-a-NP / VC-a-NPP	verb	high	high	M	aḍagu|aḍãgu|aḍacu|ḍāgu|ḍā̃gu|dā̃gu|ḍācu|dā̃cu	f_jyl2im2bylpky;f_7dpiziz3womlk;f_ba2xhgycj3vys;f_6rdekkcsrmxj4;f_i77nwvutqgc7i;f_sp7jg6ayxkr4m;f_ccljx3athxqva;f_4b2n5ptvxwd5w	17	0	Semantic specialization accompanies divergent reflexes; both orders are attested.
d63	d63	hide, subdue, be compressed	Toda	S. Dravidian I	core	Ø	a	short	ṭ	singleton	a	VC-a-NP / VC-a-NPP	verb	high	high	R	oḍg- (oḍgy-)|oṛk- (oṛky-)	f_uaxdlfyps5cgi;f_kvaqlmzkbxmv6	8	0	Vowel change and syncope preserve V–apical order.
d63	d63	hide, subdue, be compressed	Tulu	S. Dravidian I	core	Ø	a	short	ṭ	singleton	a	VC-a-NP / VC-a-NPP	verb	high	high	A	aḍeŋgɯ|ḍeŋgɯ|deŋguni	f_iucnjfjzlv64k;f_wyvbjmqvb57ve;f_f52ior4auvizw	6	0	Local aphaeresis retains the attested second vowel e; insufficient evidence for the same contraction as Telugu.
d63	d63	hide, subdue, be compressed	Urali	S. Dravidian I	core	Ø	a	short	ṭ	singleton	a	VC-a-NP / VC-a-NPP	verb	high	high	missing			0	0	
d63	d63	hide, subdue, be compressed	markodi	S. Dravidian I	core	Ø	a	short	ṭ	singleton	a	VC-a-NP / VC-a-NPP	verb	high	high	missing			0	0	
d63	d63	hide, subdue, be compressed	pampa	S. Dravidian I	core	Ø	a	short	ṭ	singleton	a	VC-a-NP / VC-a-NPP	verb	high	high	missing			0	0	
d72	d72	foot, base	AluKurumba	S. Dravidian I	core	Ø	a	short	ṭ	singleton	unknown	VC-V(k)	noun	medium	medium	missing			0	0	
d72	d72	foot, base	Badaga	S. Dravidian I	core	Ø	a	short	ṭ	singleton	unknown	VC-V(k)	noun	medium	medium	R	adi-	f_rp5sa6e7beeki	10	0	Order retained; uncertainty tag belongs to the source/import.
d72	d72	foot, base	Belari	S. Dravidian I	core	Ø	a	short	ṭ	singleton	unknown	VC-V(k)	noun	medium	medium	missing			0	0	
d72	d72	foot, base	BettaKurumba	S. Dravidian I	core	Ø	a	short	ṭ	singleton	unknown	VC-V(k)	noun	medium	medium	missing			0	0	
d72	d72	foot, base	Brahui	Brahui	core	Ø	a	short	ṭ	singleton	unknown	VC-V(k)	noun	medium	medium	missing			0	0	
d72	d72	foot, base	Eravallan	S. Dravidian I	core	Ø	a	short	ṭ	singleton	unknown	VC-V(k)	noun	medium	medium	missing			0	0	
d72	d72	foot, base	Gadaba	C. Dravidian	core	Ø	a	short	ṭ	singleton	unknown	VC-V(k)	noun	medium	medium	B	aḍugu	f_zgesrx6clumay	1	0	Source explicitly says from Telugu.
d72	d72	foot, base	Gondi	S. Dravidian II	core	Ø	a	short	ṭ	singleton	unknown	VC-V(k)	noun	medium	medium	R	aḍi|aṛgi|aḍita	f_kwbi3ezqxay76;f_pmci7phqgjnqs;f_ewxusotoaccry;f_7f6757uq4t7jg;f_g3pw46aygu47s	11	0	Several dialects preserve initial V; geminate variant is separate strengthening.
d72	d72	foot, base	Irula	S. Dravidian I	core	Ø	a	short	ṭ	singleton	unknown	VC-V(k)	noun	medium	medium	missing			0	0	
d72	d72	foot, base	Kadar	S. Dravidian I	core	Ø	a	short	ṭ	singleton	unknown	VC-V(k)	noun	medium	medium	missing			0	0	
d72	d72	foot, base	Kannada	S. Dravidian I	core	Ø	a	short	ṭ	singleton	unknown	VC-V(k)	noun	medium	medium	R	aḍi|aḍime	f_3mexxqauz2kpo;f_b6s2zjwqpujcu	3	0	Same order.
d72	d72	foot, base	Kodagu	S. Dravidian I	core	Ø	a	short	ṭ	singleton	unknown	VC-V(k)	noun	medium	medium	R	aḍi	f_udmhtbfyw7ga2	1	0	Same order.
d72	d72	foot, base	Kolami	C. Dravidian	core	Ø	a	short	ṭ	singleton	unknown	VC-V(k)	noun	medium	medium	missing			0	0	
d72	d72	foot, base	Konda	S. Dravidian II	core	Ø	a	short	ṭ	singleton	unknown	VC-V(k)	noun	medium	medium	R	aḍgi	f_mxvsk2lo5gwdk	4	0	Syncope produces medial cluster; no metathesis.
d72	d72	foot, base	Koraga	S. Dravidian I	core	Ø	a	short	ṭ	singleton	unknown	VC-V(k)	noun	medium	medium	missing			0	0	
d72	d72	foot, base	Kota	S. Dravidian I	core	Ø	a	short	ṭ	singleton	unknown	VC-V(k)	noun	medium	medium	R	aṛy	f_l6ud7ipfqtotg	12	0	Postvocalic apical with later glide.
d72	d72	foot, base	Kudiya	S. Dravidian I	core	Ø	a	short	ṭ	singleton	unknown	VC-V(k)	noun	medium	medium	missing			0	0	
d72	d72	foot, base	Kui	S. Dravidian II	core	Ø	a	short	ṭ	singleton	unknown	VC-V(k)	noun	medium	medium	missing			0	0	
d72	d72	foot, base	Kurumba	S. Dravidian I	core	Ø	a	short	ṭ	singleton	unknown	VC-V(k)	noun	medium	medium	missing			0	0	
d72	d72	foot, base	Kurux	N. Dravidian	core	Ø	a	short	ṭ	singleton	unknown	VC-V(k)	noun	medium	medium	missing			0	0	
d72	d72	foot, base	Kuwi	S. Dravidian II	core	Ø	a	short	ṭ	singleton	unknown	VC-V(k)	noun	medium	medium	missing			0	0	
d72	d72	foot, base	MalaMalasar	S. Dravidian I	core	Ø	a	short	ṭ	singleton	unknown	VC-V(k)	noun	medium	medium	missing			0	0	
d72	d72	foot, base	MalaPulaya	S. Dravidian I	core	Ø	a	short	ṭ	singleton	unknown	VC-V(k)	noun	medium	medium	missing			0	0	
d72	d72	foot, base	Malasar	S. Dravidian I	core	Ø	a	short	ṭ	singleton	unknown	VC-V(k)	noun	medium	medium	missing			0	0	
d72	d72	foot, base	Malayalam	S. Dravidian I	core	Ø	a	short	ṭ	singleton	unknown	VC-V(k)	noun	medium	medium	R	aṭi|aṭima	f_qmdxre7upwoya;f_katdlrmocjk24	4	0	Same order.
d72	d72	foot, base	Malto	N. Dravidian	core	Ø	a	short	ṭ	singleton	unknown	VC-V(k)	noun	medium	medium	missing			0	0	
d72	d72	foot, base	Manda	S. Dravidian II	core	Ø	a	short	ṭ	singleton	unknown	VC-V(k)	noun	medium	medium	missing			0	0	
d72	d72	foot, base	Mannan	S. Dravidian I	core	Ø	a	short	ṭ	singleton	unknown	VC-V(k)	noun	medium	medium	missing			0	0	
d72	d72	foot, base	Muduga	S. Dravidian I	core	Ø	a	short	ṭ	singleton	unknown	VC-V(k)	noun	medium	medium	missing			0	0	
d72	d72	foot, base	Muthuvan	S. Dravidian I	core	Ø	a	short	ṭ	singleton	unknown	VC-V(k)	noun	medium	medium	missing			0	0	
d72	d72	foot, base	Naiki	C. Dravidian	core	Ø	a	short	ṭ	singleton	unknown	VC-V(k)	noun	medium	medium	missing			0	0	
d72	d72	foot, base	Naikri	C. Dravidian	core	Ø	a	short	ṭ	singleton	unknown	VC-V(k)	noun	medium	medium	missing			0	0	
d72	d72	foot, base	OMal	S. Dravidian I	core	Ø	a	short	ṭ	singleton	unknown	VC-V(k)	noun	medium	medium	missing			0	0	
d72	d72	foot, base	OTelugu	S. Dravidian II	core	Ø	a	short	ṭ	singleton	unknown	VC-V(k)	noun	medium	medium	missing			0	0	
d72	d72	foot, base	Paliya	S. Dravidian I	core	Ø	a	short	ṭ	singleton	unknown	VC-V(k)	noun	medium	medium	missing			0	0	
d72	d72	foot, base	PaluKurumba	S. Dravidian I	core	Ø	a	short	ṭ	singleton	unknown	VC-V(k)	noun	medium	medium	missing			0	0	
d72	d72	foot, base	Parji	C. Dravidian	core	Ø	a	short	ṭ	singleton	unknown	VC-V(k)	noun	medium	medium	missing			0	0	
d72	d72	foot, base	Pengo	S. Dravidian II	core	Ø	a	short	ṭ	singleton	unknown	VC-V(k)	noun	medium	medium	missing			0	0	
d72	d72	foot, base	Sholaga	S. Dravidian I	core	Ø	a	short	ṭ	singleton	unknown	VC-V(k)	noun	medium	medium	missing			0	0	
d72	d72	foot, base	Tamil	S. Dravidian I	core	Ø	a	short	ṭ	singleton	unknown	VC-V(k)	noun	medium	medium	R	aṭi|aṭimai	f_32volkpfuzpk6;f_y2gkehxi5ozmw	7	0	Short-vowel base and derived noun retain order.
d72	d72	foot, base	Telugu	S. Dravidian II	core	Ø	a	short	ṭ	singleton	unknown	VC-V(k)	noun	medium	medium	R	aḍugu|aḍime	f_a57tvmje7sedi;f_b6gtt7wm2j7f4	4	0	Relevant derivatives preserve vowel-first order.
d72	d72	foot, base	Toda	S. Dravidian I	core	Ø	a	short	ṭ	singleton	unknown	VC-V(k)	noun	medium	medium	R	oṛy	f_gua22tnrtmfx4;f_xwlxh5qynvqh6	2	0	Root-vowel change; no apical displacement.
d72	d72	foot, base	Tulu	S. Dravidian I	core	Ø	a	short	ṭ	singleton	unknown	VC-V(k)	noun	medium	medium	R	aḍi	f_iral76aquwvns	3	0	Same order.
d72	d72	foot, base	Urali	S. Dravidian I	core	Ø	a	short	ṭ	singleton	unknown	VC-V(k)	noun	medium	medium	missing			0	0	
d72	d72	foot, base	markodi	S. Dravidian I	core	Ø	a	short	ṭ	singleton	unknown	VC-V(k)	noun	medium	medium	missing			0	0	
d72	d72	foot, base	pampa	S. Dravidian I	core	Ø	a	short	ṭ	singleton	unknown	VC-V(k)	noun	medium	medium	missing			0	0	
d77	d77	pound, beat	AluKurumba	S. Dravidian I	core	Ø	a	short	ṭ	singleton	unknown	VC-V-NP and other formations	verb	medium	medium	missing			0	0	
d77	d77	pound, beat	Badaga	S. Dravidian I	core	Ø	a	short	ṭ	singleton	unknown	VC-V-NP and other formations	verb	medium	medium	missing			0	0	
d77	d77	pound, beat	Belari	S. Dravidian I	core	Ø	a	short	ṭ	singleton	unknown	VC-V-NP and other formations	verb	medium	medium	missing			0	0	
d77	d77	pound, beat	BettaKurumba	S. Dravidian I	core	Ø	a	short	ṭ	singleton	unknown	VC-V-NP and other formations	verb	medium	medium	missing			0	0	
d77	d77	pound, beat	Brahui	Brahui	core	Ø	a	short	ṭ	singleton	unknown	VC-V-NP and other formations	verb	medium	medium	missing			0	0	
d77	d77	pound, beat	Eravallan	S. Dravidian I	core	Ø	a	short	ṭ	singleton	unknown	VC-V-NP and other formations	verb	medium	medium	missing			0	0	
d77	d77	pound, beat	Gadaba	C. Dravidian	core	Ø	a	short	ṭ	singleton	unknown	VC-V-NP and other formations	verb	medium	medium	R	aṭ|aṭṭ	f_7opmbjxm44zsk;f_6senj2ewqs3ik	2	0	Ollari and Salur source labels preserved in corpus.
d77	d77	pound, beat	Gondi	S. Dravidian II	core	Ø	a	short	ṭ	singleton	unknown	VC-V-NP and other formations	verb	medium	medium	missing			0	0	
d77	d77	pound, beat	Irula	S. Dravidian I	core	Ø	a	short	ṭ	singleton	unknown	VC-V-NP and other formations	verb	medium	medium	missing			0	0	
d77	d77	pound, beat	Kadar	S. Dravidian I	core	Ø	a	short	ṭ	singleton	unknown	VC-V-NP and other formations	verb	medium	medium	missing			0	0	
d77	d77	pound, beat	Kannada	S. Dravidian I	core	Ø	a	short	ṭ	singleton	unknown	VC-V-NP and other formations	verb	medium	medium	R	aḍi|aḍar|aḍacu	f_amgrwqvrcqtos;f_xd36qsctyvzqu;f_fs2tz7eijs5y2	6	0	Order retained; aṇe is an additional consonant development.
d77	d77	pound, beat	Kodagu	S. Dravidian I	core	Ø	a	short	ṭ	singleton	unknown	VC-V-NP and other formations	verb	medium	medium	R	aḍi- (aḍip-, aḍic-)	f_3jrrbncgh5uuq	1	0	Order retained.
d77	d77	pound, beat	Kolami	C. Dravidian	core	Ø	a	short	ṭ	singleton	unknown	VC-V-NP and other formations	verb	medium	medium	missing			0	0	
d77	d77	pound, beat	Konda	S. Dravidian II	core	Ø	a	short	ṭ	singleton	unknown	VC-V-NP and other formations	verb	medium	medium	M	aṭ- (-t-)|ḍaŋ- (-it-)|ḍak- (-t-)|ḍas- (-t-)	f_njfakfvwvy47e;f_som7y7eqnohmq;f_zylieid5j4mvk;f_ccytnxr5jxsq4	4	0	Non-displaced hit root alongside displaced pound/beat derivatives.
d77	d77	pound, beat	Koraga	S. Dravidian I	core	Ø	a	short	ṭ	singleton	unknown	VC-V-NP and other formations	verb	medium	medium	missing			0	0	
d77	d77	pound, beat	Kota	S. Dravidian I	core	Ø	a	short	ṭ	singleton	unknown	VC-V-NP and other formations	verb	medium	medium	R	ayṛ- (aṛc-)	f_36rqgbvs25ohc	9	0	Apical remains after vowel; glide position needs separate Kota analysis.
d77	d77	pound, beat	Kudiya	S. Dravidian I	core	Ø	a	short	ṭ	singleton	unknown	VC-V-NP and other formations	verb	medium	medium	missing			0	0	
d77	d77	pound, beat	Kui	S. Dravidian II	core	Ø	a	short	ṭ	singleton	unknown	VC-V-NP and other formations	verb	medium	medium	D	ḍāmba (ḍāmbi-)	f_6kk3mka5267pq	1	0	Displaced long-vowel labial formation.
d77	d77	pound, beat	Kurumba	S. Dravidian I	core	Ø	a	short	ṭ	singleton	unknown	VC-V-NP and other formations	verb	medium	medium	missing			0	0	
d77	d77	pound, beat	Kurux	N. Dravidian	core	Ø	a	short	ṭ	singleton	unknown	VC-V-NP and other formations	verb	medium	medium	missing			0	0	
d77	d77	pound, beat	Kuwi	S. Dravidian II	core	Ø	a	short	ṭ	singleton	unknown	VC-V-NP and other formations	verb	medium	medium	D	ḍamb- (-it-)|ḍap- (-h-)	f_g6algi3qtxmi2;f_etiw3vfzf7tmq	2	0	Displaced labial derivatives, including Sunkarametta.
d77	d77	pound, beat	MalaMalasar	S. Dravidian I	core	Ø	a	short	ṭ	singleton	unknown	VC-V-NP and other formations	verb	medium	medium	missing			0	0	
d77	d77	pound, beat	MalaPulaya	S. Dravidian I	core	Ø	a	short	ṭ	singleton	unknown	VC-V-NP and other formations	verb	medium	medium	missing			0	0	
d77	d77	pound, beat	Malasar	S. Dravidian I	core	Ø	a	short	ṭ	singleton	unknown	VC-V-NP and other formations	verb	medium	medium	missing			0	0	
d77	d77	pound, beat	Malayalam	S. Dravidian I	core	Ø	a	short	ṭ	singleton	unknown	VC-V-NP and other formations	verb	medium	medium	R	aṭi|aṭikka|aṭar	f_d3qufpp6u6duc;f_gbqnbozo5zkec;f_tusvojk5y7kuo	8	0	Order retained.
d77	d77	pound, beat	Malto	N. Dravidian	core	Ø	a	short	ṭ	singleton	unknown	VC-V-NP and other formations	verb	medium	medium	missing			0	0	
d77	d77	pound, beat	Manda	S. Dravidian II	core	Ø	a	short	ṭ	singleton	unknown	VC-V-NP and other formations	verb	medium	medium	missing			0	0	
d77	d77	pound, beat	Mannan	S. Dravidian I	core	Ø	a	short	ṭ	singleton	unknown	VC-V-NP and other formations	verb	medium	medium	missing			0	0	
d77	d77	pound, beat	Muduga	S. Dravidian I	core	Ø	a	short	ṭ	singleton	unknown	VC-V-NP and other formations	verb	medium	medium	missing			0	0	
d77	d77	pound, beat	Muthuvan	S. Dravidian I	core	Ø	a	short	ṭ	singleton	unknown	VC-V-NP and other formations	verb	medium	medium	missing			0	0	
d77	d77	pound, beat	Naiki	C. Dravidian	core	Ø	a	short	ṭ	singleton	unknown	VC-V-NP and other formations	verb	medium	medium	missing			0	0	
d77	d77	pound, beat	Naikri	C. Dravidian	core	Ø	a	short	ṭ	singleton	unknown	VC-V-NP and other formations	verb	medium	medium	missing			0	0	
d77	d77	pound, beat	OMal	S. Dravidian I	core	Ø	a	short	ṭ	singleton	unknown	VC-V-NP and other formations	verb	medium	medium	missing			0	0	
d77	d77	pound, beat	OTelugu	S. Dravidian II	core	Ø	a	short	ṭ	singleton	unknown	VC-V-NP and other formations	verb	medium	medium	missing			0	0	
d77	d77	pound, beat	Paliya	S. Dravidian I	core	Ø	a	short	ṭ	singleton	unknown	VC-V-NP and other formations	verb	medium	medium	missing			0	0	
d77	d77	pound, beat	PaluKurumba	S. Dravidian I	core	Ø	a	short	ṭ	singleton	unknown	VC-V-NP and other formations	verb	medium	medium	missing			0	0	
d77	d77	pound, beat	Parji	C. Dravidian	core	Ø	a	short	ṭ	singleton	unknown	VC-V-NP and other formations	verb	medium	medium	R	aṭṭ	f_r5edz4iifflgy	3	0	Order retained; geminate strengthened formation.
d77	d77	pound, beat	Pengo	S. Dravidian II	core	Ø	a	short	ṭ	singleton	unknown	VC-V-NP and other formations	verb	medium	medium	missing			0	0	
d77	d77	pound, beat	Sholaga	S. Dravidian I	core	Ø	a	short	ṭ	singleton	unknown	VC-V-NP and other formations	verb	medium	medium	missing			0	0	
d77	d77	pound, beat	Tamil	S. Dravidian I	core	Ø	a	short	ṭ	singleton	unknown	VC-V-NP and other formations	verb	medium	medium	R	aṭu|aṭi|aṭar	f_hmvxhnxifr2e2;f_gbu5e2v54ulz4;f_lfrpjjvqj3a2u;f_zyh3wzb6xvj2e	8	0	Retained root ordering in multiple derivatives.
d77	d77	pound, beat	Telugu	S. Dravidian II	core	Ø	a	short	ṭ	singleton	unknown	VC-V-NP and other formations	verb	medium	medium	M	aḍupu|aḍucu|aḍaru|ḍaŋgu|daŋgu|ḍancu|dancu|dampu	f_5om2wvp6x5pcu;f_gyswcvqfxkoiu;f_e5iah74rikmqu;f_vamndeveceg4i;f_yu3lxrlzvmafs;f_yclhpsvgoowz6;f_evtufgngj723g;f_6ekcbbq2hx3i2	11	0	Displacement restricted among related beat/pound formations; no output-independent suffix law yet established.
d77	d77	pound, beat	Toda	S. Dravidian I	core	Ø	a	short	ṭ	singleton	unknown	VC-V-NP and other formations	verb	medium	medium	missing			0	0	
d77	d77	pound, beat	Tulu	S. Dravidian I	core	Ø	a	short	ṭ	singleton	unknown	VC-V-NP and other formations	verb	medium	medium	A	darpuni|aḍikai|aṇepuni	f_hqnhx7dujvi2m;f_m7eizrykk22tw;f_tkhoz5u4ro5xy	6	0	Initial loss/reordering in dar-; derivation and cognacy of individual extensions unresolved.
d77	d77	pound, beat	Urali	S. Dravidian I	core	Ø	a	short	ṭ	singleton	unknown	VC-V-NP and other formations	verb	medium	medium	missing			0	0	
d77	d77	pound, beat	markodi	S. Dravidian I	core	Ø	a	short	ṭ	singleton	unknown	VC-V-NP and other formations	verb	medium	medium	missing			0	0	
d77	d77	pound, beat	pampa	S. Dravidian I	core	Ø	a	short	ṭ	singleton	unknown	VC-V-NP and other formations	verb	medium	medium	missing			0	0	
d78	d78	be fit, be able	AluKurumba	S. Dravidian I	core-formation-uncertain	Ø	a	short	ṭ	singleton	unknown	VC-V / VC-VC	verb	medium	medium	missing			0	0	
d78	d78	be fit, be able	Badaga	S. Dravidian I	core-formation-uncertain	Ø	a	short	ṭ	singleton	unknown	VC-V / VC-VC	verb	medium	medium	missing			0	0	
