K80_Item	Entry_ID	Language_ID	Input_Support_Tier	K80_Reports_Lowering	Reviewed_Evidence_Available	Evidence_Forms	Evidence_IDs	Sources	Interpretation	Scope
2	d513	Kui	root-low-only	1	1	leti;lāa;lāvenju	f_a64vayiytb3ak;f_oiejzkyy3dxau;f_ykrwxz4m6gqzq	dedr	Low young formations independent; eastern human cognacy partly reassigned using the rule.	Source-reported vowel-lowering incidence is not automatically accepted from these unclassified surface vowels; consult etymon and formation notes.
2	d513	Kuwi	root-low-only	1	1	liddi;lāa;rā'a;ṛa'a ( -sika);ṛaˀ a	f_5acjxas55yfwu;f_7fovllgpns4t2;f_hvbl6q7rtshlk;f_hw22a5a5ksahe;f_px5k3t4ubepke	dedr;F-Kuwi;dedr;F-Kuwi;S-Kuwi;dedr;Isr-Kuwi;dedr;S-Kuwi;dedr;Ḍ-Kuwi	Low young formations independent; eastern human cognacy partly reassigned using the rule.	Source-reported vowel-lowering incidence is not automatically accepted from these unclassified surface vowels; consult etymon and formation notes.
2	d513	Pengo	root-low-only	0	0				Low young formations independent; eastern human cognacy partly reassigned using the rule.	Source-reported vowel-lowering incidence is not automatically accepted from these unclassified surface vowels; consult etymon and formation notes.
2	d513	Manda	root-low-only	1	0				Low young formations independent; eastern human cognacy partly reassigned using the rule.	Source-reported vowel-lowering incidence is not automatically accepted from these unclassified surface vowels; consult etymon and formation notes.
3	d495	Telugu	root-low-only	0	0				Southern -av versus eastern -ak; Kui is missing, not a retained counterexample.	Source-reported vowel-lowering incidence is not automatically accepted from these unclassified surface vowels; consult etymon and formation notes.
3	d495	Gondi	root-low-only	0	1	leke;lēki;lɛkee	f_2qlvnielel7ma;f_5jzc6f33lykmk;f_auuco4hnwnosi	dedr;M-Gondi;dedr;burrow-emeneau1972den1[p. 400, entry 421]	Southern -av versus eastern -ak; Kui is missing, not a retained counterexample.	Source-reported vowel-lowering incidence is not automatically accepted from these unclassified surface vowels; consult etymon and formation notes.
3	d495	Konda	root-low-only	0	1	lēka maran	f_4bw5ffnltuslg	dedr	Southern -av versus eastern -ak; Kui is missing, not a retained counterexample.	Source-reported vowel-lowering incidence is not automatically accepted from these unclassified surface vowels; consult etymon and formation notes.
3	d495	Kui	root-low-only	0	0				Southern -av versus eastern -ak; Kui is missing, not a retained counterexample.	Source-reported vowel-lowering incidence is not automatically accepted from these unclassified surface vowels; consult etymon and formation notes.
3	d495	Kuwi	root-low-only	1	1	lēko;lēko marnu;ḍākāngi	f_2gfkyqlpmqnuq;f_ebc7og7hwmcw4;f_spqpphja544e4	dedr;dedr;Isr-Kuwi;dedr;Mah-Kuwi	Southern -av versus eastern -ak; Kui is missing, not a retained counterexample.	Source-reported vowel-lowering incidence is not automatically accepted from these unclassified surface vowels; consult etymon and formation notes.
3	d495	Pengo	root-low-only	0	0				Southern -av versus eastern -ak; Kui is missing, not a retained counterexample.	Source-reported vowel-lowering incidence is not automatically accepted from these unclassified surface vowels; consult etymon and formation notes.
3	d495	Manda	root-low-only	0	0				Southern -av versus eastern -ak; Kui is missing, not a retained counterexample.	Source-reported vowel-lowering incidence is not automatically accepted from these unclassified surface vowels; consult etymon and formation notes.
4	d2674	Telugu	full-low-formation	0	1	ogaru;uppana;uppani;uppaḷamu;uppu;vagaru	f_dkds6vf4sblba;f_hblsuttes6yts;f_hk75lslhob6va;f_ujnk7kkurjcwy;f_x47lnccjbzr32;f_xmylvyd3cqaxa	dedr	Full cow-ar/ov-ar has independent southern and Gondi support; no apical promotion.	Source-reported vowel-lowering incidence is not automatically accepted from these unclassified surface vowels; consult etymon and formation notes.
4	d2674	Gondi	full-low-formation	0	1	havar;hovar;ovar;ovor;savvar;savvor	f_dpcp34eficax6;f_etzf5pp5wznim;f_mj6sk7aqm3ykc;f_obqenbww26bh4;f_pt363jya2b736;f_qdalhfs5sm2qc;f_sqk6xbmyxen7s	dedr;dedr;L-Gondi;dedr;M-Gondi;dedr;Tr-Gondi	Full cow-ar/ov-ar has independent southern and Gondi support; no apical promotion.	Source-reported vowel-lowering incidence is not automatically accepted from these unclassified surface vowels; consult etymon and formation notes.
4	d2674	Konda	full-low-formation	0	1	sōru	f_w7vi6p74nhkt4	dedr	Full cow-ar/ov-ar has independent southern and Gondi support; no apical promotion.	Source-reported vowel-lowering incidence is not automatically accepted from these unclassified surface vowels; consult etymon and formation notes.
4	d2674	Kui	full-low-formation	1	1	sāru	f_a35zwj3fmxgee	dedr	Full cow-ar/ov-ar has independent southern and Gondi support; no apical promotion.	Source-reported vowel-lowering incidence is not automatically accepted from these unclassified surface vowels; consult etymon and formation notes.
4	d2674	Kuwi	full-low-formation	1	1	hāru;hārū	f_n757m2k6ohip6;f_oez2uysnfgnmc	dedr;F-Kuwi;dedr;S-Kuwi	Full cow-ar/ov-ar has independent southern and Gondi support; no apical promotion.	Source-reported vowel-lowering incidence is not automatically accepted from these unclassified surface vowels; consult etymon and formation notes.
4	d2674	Pengo	full-low-formation	0	1	sōr	f_ap5gsrqkqmxtk	dedr	Full cow-ar/ov-ar has independent southern and Gondi support; no apical promotion.	Source-reported vowel-lowering incidence is not automatically accepted from these unclassified surface vowels; consult etymon and formation notes.
4	d2674	Manda	full-low-formation	1	1	jār	f_y6km262nyxu4m	dedr	Full cow-ar/ov-ar has independent southern and Gondi support; no apical promotion.	Source-reported vowel-lowering incidence is not automatically accepted from these unclassified surface vowels; consult etymon and formation notes.
5	d516	Telugu	alternative-cognacy	0	1	erãgu;erãguḍu;eṟãgu;rēvu;ṟēvu	f_2ev7zelqpwhym;f_e5od7okyckgem;f_uy6bi7fk3wgza;f_x56ndqpatzxga;f_xmjor7la2kyae	dedr;dedr;Inscr1-Telugu	Eastern jāpa also belongs to cāy incline d2456; not two independent observations.	Source-reported vowel-lowering incidence is not automatically accepted from these unclassified surface vowels; consult etymon and formation notes.
5	d516	Gondi	alternative-cognacy	0	1	raggānā;ragstānā;ray;rehtānā;rey;reyānā	f_5qbomrsowssha;f_b4ft7zxgk5yje;f_ccnblmod4vmio;f_eyddwqoelnepo;f_j4lrewvddp6ts;f_rd66nn7ofj4hw;f_rsss2d4yk7him	dedr;A-Gondi;dedr;SR-Gondi;dedr;Tr-Gondi	Eastern jāpa also belongs to cāy incline d2456; not two independent observations.	Source-reported vowel-lowering incidence is not automatically accepted from these unclassified surface vowels; consult etymon and formation notes.
5	d516	Konda	alternative-cognacy	0	1	ṟe- (-t-);ṟep;ṟes- (-t-)	f_aq7chbwltcuhq;f_f3yi6uslztpf2;f_zit6dg3vn6mam	dedr;dedr;BB-Konda	Eastern jāpa also belongs to cāy incline d2456; not two independent observations.	Source-reported vowel-lowering incidence is not automatically accepted from these unclassified surface vowels; consult etymon and formation notes.
5	d516	Kui	alternative-cognacy	1	1	jāpa (jāt-);jāppa (jāpt-)	f_k5r5g2sqx6yry;f_mpwzmpzefmfzq	dedr	Eastern jāpa also belongs to cāy incline d2456; not two independent observations.	Source-reported vowel-lowering incidence is not automatically accepted from these unclassified surface vowels; consult etymon and formation notes.
5	d516	Kuwi	alternative-cognacy	1	1	jespi;re'nai;recali;repʰali	f_etd4hza7e4cgc;f_hzxumv3pdwsyk;f_jwk33nkz5spkk;f_tb365k33mk3be	dedr;F-Kuwi;dedr;S-Kuwi	Eastern jāpa also belongs to cāy incline d2456; not two independent observations.	Source-reported vowel-lowering incidence is not automatically accepted from these unclassified surface vowels; consult etymon and formation notes.
5	d516	Pengo	alternative-cognacy	0	1	jū- (-t-)	f_4fffrhsrtjxmc	dedr	Eastern jāpa also belongs to cāy incline d2456; not two independent observations.	Source-reported vowel-lowering incidence is not automatically accepted from these unclassified surface vowels; consult etymon and formation notes.
5	d516	Manda	alternative-cognacy	0	1	hē;hēpa- (for Manḍ. and its relationship vitʰ Kui in tʰis entry, see Burrov 1976, pp. 40-1);jē;jēpa- (for Manḍ. and its relationship vitʰ Kui in tʰis entry, see Burrov 1976, pp. 40-1)	f_ar4do5izanhmg;f_osczmqvgvl5g2;f_po5qfoxqm6qa2;f_ud2v52zozxjpy	dedr	Eastern jāpa also belongs to cāy incline d2456; not two independent observations.	Source-reported vowel-lowering incidence is not automatically accepted from these unclassified surface vowels; consult etymon and formation notes.
6	d1574	Telugu	root-low-only	0	1	celãgu;kelayu;kilārincu;kilārucu	f_5kk5uxdsc4owo;f_6ddaebvruwkxg;f_ltmm5hiotyowu;f_rwdas7v5z363q	dedr;dedr;K-Telugu	Southern cilai/kele supports low root derivative; labial eastern formation differs.	Source-reported vowel-lowering incidence is not automatically accepted from these unclassified surface vowels; consult etymon and formation notes.
6	d1574	Gondi	root-low-only	0	1	kil;kilh;kili;kilih;kiliyānā;kill;killītānā;kilānā;kilītānā;kīlitānā	f_2dkbaqwj3o22c;f_2zlvkzz67gcik;f_7iwshvnk5hhig;f_asazoppe473kq;f_gwelz6xahq24e;f_jkfikxtreyqeo;f_khf5olg6r723s;f_o354guxro6nam;f_qu44ruspt4umq;f_tqxm63psrs3ks;f_u47quzr7rsdns	dedr;dedr;M-Gondi;dedr;SR-Gondi;dedr;W-Gondi	Southern cilai/kele supports low root derivative; labial eastern formation differs.	Source-reported vowel-lowering incidence is not automatically accepted from these unclassified surface vowels; consult etymon and formation notes.
6	d1574	Konda	root-low-only	0	0				Southern cilai/kele supports low root derivative; labial eastern formation differs.	Source-reported vowel-lowering incidence is not automatically accepted from these unclassified surface vowels; consult etymon and formation notes.
6	d1574	Kui	root-low-only	1	1	klāpa (klāt-);klīri inba;klīri klīri ṛīva;klīsi klīsi ṛīva	f_d5xqo4v3h6xyy;f_gkov7euge77q2;f_ksbphdv6tqtom;f_pq62i4x4kuel6	dedr	Southern cilai/kele supports low root derivative; labial eastern formation differs.	Source-reported vowel-lowering incidence is not automatically accepted from these unclassified surface vowels; consult etymon and formation notes.
6	d1574	Kuwi	root-low-only	0	1	kileri-kīali;kileḍi kīnai;klīri innai;klīrinai	f_mmxrjh7unhig4;f_pakuj32usm7b6;f_q4gieywq7rr3i;f_vowuo6gnx6bym	dedr;dedr;F-Kuwi;dedr;S-Kuwi	Southern cilai/kele supports low root derivative; labial eastern formation differs.	Source-reported vowel-lowering incidence is not automatically accepted from these unclassified surface vowels; consult etymon and formation notes.
6	d1574	Pengo	root-low-only	0	0				Southern cilai/kele supports low root derivative; labial eastern formation differs.	Source-reported vowel-lowering incidence is not automatically accepted from these unclassified surface vowels; consult etymon and formation notes.
6	d1574	Manda	root-low-only	0	0				Southern cilai/kele supports low root derivative; labial eastern formation differs.	Source-reported vowel-lowering incidence is not automatically accepted from these unclassified surface vowels; consult etymon and formation notes.
7	d1818	Telugu	different-formations	0	1	goppu;goyyi;groccu;groyyi;groyyu;kroccu;krōlu;krōvi;kukki;kōlu;kṛ̆occe;kṛ̆ocu;kṛ̆ōce	f_4qzjchlammmqe;f_54wyozhofd25s;f_5culweofdbrd6;f_6apfcyxs2r7nk;f_7ezjpvvutew54;f_dedl5wyt5agce;f_f7b32xf2qsqai;f_h2yol63wxiceq;f_hos3a4hrtzpp6;f_jby43elvgqkno;f_monkpbbbfc3ss;f_uqri5hnye5yxk;f_ymftqos4hvizq	dedr;dedr;B-Telugu;dedr;B-Telugu;K-also-Telugu;dedr;Inscr-Telugu;dedr;Inscr2-Telugu;dedr;K-Telugu;K-also-Telugu;dedr;VPK-Telugu	Independent low-a tube versus high-i pit; lowered pit and mid-vowel tube must not be interchanged.	Source-reported vowel-lowering incidence is not automatically accepted from these unclassified surface vowels; consult etymon and formation notes.
7	d1818	Gondi	different-formations	0	1	gumiya;gumiyā;koṛi;koṛpanj ( koṛpahk)	f_35swhbwkhowos;f_55yaooermxbee;f_62gcmflzmzto6;f_bye4aordgi4k4;f_pqk26yeerl46u	dedr;dedr;L-Gondi	Independent low-a tube versus high-i pit; lowered pit and mid-vowel tube must not be interchanged.	Source-reported vowel-lowering incidence is not automatically accepted from these unclassified surface vowels; consult etymon and formation notes.
7	d1818	Konda	different-formations	0	1	gumi;kuṛk- (-t-);kuṛŋi- (-t-)	f_auwykm3b2iqz2;f_cmnucrccs5f3o;f_cywswj7nezdfm	dedr	Independent low-a tube versus high-i pit; lowered pit and mid-vowel tube must not be interchanged.	Source-reported vowel-lowering incidence is not automatically accepted from these unclassified surface vowels; consult etymon and formation notes.
7	d1818	Kui	different-formations	1	1	krōḍu ( krōṭka);krūpa;kṛāu ( kṛānga)	f_irmypoejwk5ug;f_mugi7j4foexfc;f_ueojsqwhol6pi	dedr	Independent low-a tube versus high-i pit; lowered pit and mid-vowel tube must not be interchanged.	Source-reported vowel-lowering incidence is not automatically accepted from these unclassified surface vowels; consult etymon and formation notes.
7	d1818	Kuwi	different-formations	1	1	glāyu;graiyū ( grānga);gṛāyu	f_dkykmnqyfbrfg;f_fl2x6lrhyynmc;f_uc2dgvkf36zui;f_vxlcnf6oajwsc	dedr;dedr;F-Kuwi;dedr;S-Kuwi	Independent low-a tube versus high-i pit; lowered pit and mid-vowel tube must not be interchanged.	Source-reported vowel-lowering incidence is not automatically accepted from these unclassified surface vowels; consult etymon and formation notes.
7	d1818	Pengo	different-formations	0	1	kṛoy	f_2wcx67yyqnyz6	dedr	Independent low-a tube versus high-i pit; lowered pit and mid-vowel tube must not be interchanged.	Source-reported vowel-lowering incidence is not automatically accepted from these unclassified surface vowels; consult etymon and formation notes.
7	d1818	Manda	different-formations	0	1	kṛay	f_wdjwehijhomvq	dedr	Independent low-a tube versus high-i pit; lowered pit and mid-vowel tube must not be interchanged.	Source-reported vowel-lowering incidence is not automatically accepted from these unclassified surface vowels; consult etymon and formation notes.
8	d1859	Telugu	root-low-only	0	1	kōṟa	f_lz4qpfdk4uwss	dedr;Inscr-Telugu	Low-ay cut independent, precise eastern labial derivative is reconstructed.	Source-reported vowel-lowering incidence is not automatically accepted from these unclassified surface vowels; consult etymon and formation notes.
8	d1859	Gondi	root-low-only	0	0				Low-ay cut independent, precise eastern labial derivative is reconstructed.	Source-reported vowel-lowering incidence is not automatically accepted from these unclassified surface vowels; consult etymon and formation notes.
8	d1859	Konda	root-low-only	0	0				Low-ay cut independent, precise eastern labial derivative is reconstructed.	Source-reported vowel-lowering incidence is not automatically accepted from these unclassified surface vowels; consult etymon and formation notes.
8	d1859	Kui	root-low-only	1	1	krāpa (krāt-)	f_gxva74k6dtn3e	dedr	Low-ay cut independent, precise eastern labial derivative is reconstructed.	Source-reported vowel-lowering incidence is not automatically accepted from these unclassified surface vowels; consult etymon and formation notes.
8	d1859	Kuwi	root-low-only	0	0				Low-ay cut independent, precise eastern labial derivative is reconstructed.	Source-reported vowel-lowering incidence is not automatically accepted from these unclassified surface vowels; consult etymon and formation notes.
8	d1859	Pengo	root-low-only	0	0				Low-ay cut independent, precise eastern labial derivative is reconstructed.	Source-reported vowel-lowering incidence is not automatically accepted from these unclassified surface vowels; consult etymon and formation notes.
8	d1859	Manda	root-low-only	0	0				Low-ay cut independent, precise eastern labial derivative is reconstructed.	Source-reported vowel-lowering incidence is not automatically accepted from these unclassified surface vowels; consult etymon and formation notes.
9	d2018	Telugu	root-low-only	0	0				Short kiḷai independent beside long kēḷ; Kui -mbu not attested in that comparandum.	Source-reported vowel-lowering incidence is not automatically accepted from these unclassified surface vowels; consult etymon and formation notes.
9	d2018	Gondi	root-low-only	0	0				Short kiḷai independent beside long kēḷ; Kui -mbu not attested in that comparandum.	Source-reported vowel-lowering incidence is not automatically accepted from these unclassified surface vowels; consult etymon and formation notes.
9	d2018	Konda	root-low-only	0	0				Short kiḷai independent beside long kēḷ; Kui -mbu not attested in that comparandum.	Source-reported vowel-lowering incidence is not automatically accepted from these unclassified surface vowels; consult etymon and formation notes.
9	d2018	Kui	root-low-only	1	1	klāmbu ( klāpka)	f_baluuupon4fbk	dedr	Short kiḷai independent beside long kēḷ; Kui -mbu not attested in that comparandum.	Source-reported vowel-lowering incidence is not automatically accepted from these unclassified surface vowels; consult etymon and formation notes.
9	d2018	Kuwi	root-low-only	0	0				Short kiḷai independent beside long kēḷ; Kui -mbu not attested in that comparandum.	Source-reported vowel-lowering incidence is not automatically accepted from these unclassified surface vowels; consult etymon and formation notes.
9	d2018	Pengo	root-low-only	0	0				Short kiḷai independent beside long kēḷ; Kui -mbu not attested in that comparandum.	Source-reported vowel-lowering incidence is not automatically accepted from these unclassified surface vowels; consult etymon and formation notes.
9	d2018	Manda	root-low-only	0	0				Short kiḷai independent beside long kēḷ; Kui -mbu not attested in that comparandum.	Source-reported vowel-lowering incidence is not automatically accepted from these unclassified surface vowels; consult etymon and formation notes.
10	d3259	Telugu	root-low-only	0	1	teṟa;teṟacu;teṟapa;teṟapi	f_bsir5okg6tahm;f_e7hwkfnfyq3ec;f_fdp2d4dpeqmi2;f_kgb6tkj5urbr6	dedr	Southern low open formation independent; labial ending and initial cluster loss separate.	Source-reported vowel-lowering incidence is not automatically accepted from these unclassified surface vowels; consult etymon and formation notes.
10	d3259	Gondi	root-low-only	0	1	rehānā;tarh;tarih;tarritānā;tarī;tarītānā;taṛi;terr;teṛ;tugaituna	f_3n73yltqpjiok;f_4qesstv52tbfu;f_4vjtdzxqckfls;f_a5m3tzhkq6zbs;f_akfrz3c3xv6m2;f_inmojv4vrt45u;f_m6qopie3bvala;f_px6nsuukkh3sk;f_qsu4sotdkvofc;f_th4nvc2vt6jzk	dedr;dedr;LuS-Gondi;dedr;Ph-Gondi;dedr;SR-Gondi;dedr;Tr-Gondi	Southern low open formation independent; labial ending and initial cluster loss separate.	Source-reported vowel-lowering incidence is not automatically accepted from these unclassified surface vowels; consult etymon and formation notes.
10	d3259	Konda	root-low-only	0	1	teṟe;ṟe;ṟē	f_5o53e3nhrq2ae;f_ri6j5siywrhei;f_zeatzwkp33nnk	dedr	Southern low open formation independent; labial ending and initial cluster loss separate.	Source-reported vowel-lowering incidence is not automatically accepted from these unclassified surface vowels; consult etymon and formation notes.
10	d3259	Kui	root-low-only	1	1	dari inba;dāpa (dāt-)	f_lh23fls4f32ya;f_zju5m6wads7gi	dedr	Southern low open formation independent; labial ending and initial cluster loss separate.	Source-reported vowel-lowering incidence is not automatically accepted from these unclassified surface vowels; consult etymon and formation notes.
10	d3259	Kuwi	root-low-only	0	1	de'- (det-);de'nai	f_5vg6rc4ajzatw;f_opoekmtrez4he	dedr;dedr;S-Kuwi	Southern low open formation independent; labial ending and initial cluster loss separate.	Source-reported vowel-lowering incidence is not automatically accepted from these unclassified surface vowels; consult etymon and formation notes.
10	d3259	Pengo	root-low-only	0	1	jē- (-t-)	f_t5c5t2oouvypg	dedr	Southern low open formation independent; labial ending and initial cluster loss separate.	Source-reported vowel-lowering incidence is not automatically accepted from these unclassified surface vowels; consult etymon and formation notes.
10	d3259	Manda	root-low-only	0	1	jē- (-t-)	f_6u25r2krxcfnu	dedr	Southern low open formation independent; labial ending and initial cluster loss separate.	Source-reported vowel-lowering incidence is not automatically accepted from these unclassified surface vowels; consult etymon and formation notes.
11	d3754	Telugu	root-low-only	0	1	nela;ven nela	f_6fda6logqz64s;f_rv5br5e25rhdq	dedr	Low moon base independent; eastern -nj versus southern -v requires morphology.	Source-reported vowel-lowering incidence is not automatically accepted from these unclassified surface vowels; consult etymon and formation notes.
11	d3754	Gondi	root-low-only	0	1	lalenj;lelenj;lenj;lēnj;nalenj;nalenj ( nalesk);nalēnj;nelenj	f_4vlbhcjqspkrg;f_d7f4opyytqnak;f_ffvbtkxps4cty;f_gl66tmnpcngku;f_ivlpvjvlytgou;f_ivwx6jzed2nva;f_mnf2x2a3nu4dc;f_n47kbg34myaas;f_qfh3qnds4y3ug;f_vw35ekurisnts;f_xe5nexicaql2i;f_ywgshdmez6ffc	dedr;dedr;A-Gondi;dedr;M-Gondi;dedr;SR-Gondi;M-Gondi;dedr;Tr-Gondi;dedr;W-Gondi;Ph-Gondi	Low moon base independent; eastern -nj versus southern -v requires morphology.	Source-reported vowel-lowering incidence is not automatically accepted from these unclassified surface vowels; consult etymon and formation notes.
11	d3754	Konda	root-low-only	0	1	lēnz;lēnzu;nela;neleŋ	f_is22wexk3vogm;f_kzwqyumr6lmco;f_pttxs6whl7s6g;f_ta7i2c7hapxyg	dedr;dedr;BB-Konda	Low moon base independent; eastern -nj versus southern -v requires morphology.	Source-reported vowel-lowering incidence is not automatically accepted from these unclassified surface vowels; consult etymon and formation notes.
11	d3754	Kui	root-low-only	1	1	ḍānju ( ḍāska)	f_zsylqzseracv6	dedr	Low moon base independent; eastern -nj versus southern -v requires morphology.	Source-reported vowel-lowering incidence is not automatically accepted from these unclassified surface vowels; consult etymon and formation notes.
11	d3754	Kuwi	root-low-only	0	1	lenjū ( leska);lēnju;lēnju ( lēska)	f_kfkv3cnn36rgy;f_rplz55outimpm;f_wbxzlfgi3jmkc;f_wrztujxjzki4e	dedr;F-Kuwi;dedr;Isr-Kuwi;dedr;S-Kuwi	Low moon base independent; eastern -nj versus southern -v requires morphology.	Source-reported vowel-lowering incidence is not automatically accepted from these unclassified surface vowels; consult etymon and formation notes.
11	d3754	Pengo	root-low-only	0	1	lēnj ( lēc-, lēcku)	f_6udh3denuukjg	dedr	Low moon base independent; eastern -nj versus southern -v requires morphology.	Source-reported vowel-lowering incidence is not automatically accepted from these unclassified surface vowels; consult etymon and formation notes.
11	d3754	Manda	root-low-only	0	1	lēnj	f_tbcabluqbv63g	dedr	Low moon base independent; eastern -nj versus southern -v requires morphology.	Source-reported vowel-lowering incidence is not automatically accepted from these unclassified surface vowels; consult etymon and formation notes.
12	d4536	Telugu	unknown	0	0				Konda por has no independent -a; separation from spread partly uses vowel outcome.	Source-reported vowel-lowering incidence is not automatically accepted from these unclassified surface vowels; consult etymon and formation notes.
12	d4536	Gondi	unknown	0	0				Konda por has no independent -a; separation from spread partly uses vowel outcome.	Source-reported vowel-lowering incidence is not automatically accepted from these unclassified surface vowels; consult etymon and formation notes.
12	d4536	Konda	unknown	0	1	por- (-t-)	f_6m27b55oxb6pc	dedr	Konda por has no independent -a; separation from spread partly uses vowel outcome.	Source-reported vowel-lowering incidence is not automatically accepted from these unclassified surface vowels; consult etymon and formation notes.
12	d4536	Kui	unknown	1	1	prāpa (prāt-)	f_6onmb42o6blg2	dedr	Konda por has no independent -a; separation from spread partly uses vowel outcome.	Source-reported vowel-lowering incidence is not automatically accepted from these unclassified surface vowels; consult etymon and formation notes.
12	d4536	Kuwi	unknown	1	1	pra'- (prat-);prahnai;prā- (-t-);pār- (-h-);pṛācali	f_27sllfmxiqgea;f_i3q5kwajzhr7q;f_tp4r3gyro32m4;f_vyofekgmepg7g;f_wv5pefddd4ejk	dedr;dedr;F-Kuwi;dedr;Isr-Kuwi;dedr;S-Kuwi	Konda por has no independent -a; separation from spread partly uses vowel outcome.	Source-reported vowel-lowering incidence is not automatically accepted from these unclassified surface vowels; consult etymon and formation notes.
12	d4536	Pengo	unknown	0	1	pro- (-t-)	f_m2wyl73m6ucce	dedr	Konda por has no independent -a; separation from spread partly uses vowel outcome.	Source-reported vowel-lowering incidence is not automatically accepted from these unclassified surface vowels; consult etymon and formation notes.
12	d4536	Manda	unknown	0	1	pre	f_ukhoc2cgzlvqe	dedr	Konda por has no independent -a; separation from spread partly uses vowel outcome.	Source-reported vowel-lowering incidence is not automatically accepted from these unclassified surface vowels; consult etymon and formation notes.
13	d3982	Telugu	unknown	0	1	prālu	f_277gnmswzytey	dedr	Rice has high-u and plural velar comparanda; proposed -a not independently matched.	Source-reported vowel-lowering incidence is not automatically accepted from these unclassified surface vowels; consult etymon and formation notes.
13	d3982	Gondi	unknown	0	1	paraik;paraík;pariku;paṛek;paṛem;paṛēk;pere;perek	f_c76isodrccebe;f_hh6qf7q7be2oq;f_hmv6lzrhrct2c;f_l6bysxhy7lohc;f_t7jbsgx373jce;f_tzt77sxdsvbr6;f_uyu5kezkxowdu;f_w4wglvcmaittw;f_xmcmfouy5b64a	dedr;dedr;A-Gondi;dedr;Ph-Gondi;dedr;SR-Gondi;dedr;Tr-Gondi;dedr;W-Gondi	Rice has high-u and plural velar comparanda; proposed -a not independently matched.	Source-reported vowel-lowering incidence is not automatically accepted from these unclassified surface vowels; consult etymon and formation notes.
13	d3982	Konda	unknown	0	1	per;peru	f_jnpzaswfztif2;f_r6iyf5usaeiqy	dedr	Rice has high-u and plural velar comparanda; proposed -a not independently matched.	Source-reported vowel-lowering incidence is not automatically accepted from these unclassified surface vowels; consult etymon and formation notes.
13	d3982	Kui	unknown	1	1	kōruvau;kōruvrau;prāma;prāu	f_kbiach7ob7lb4;f_m2qbuxbllvtcy;f_mkvel5rjmrjis;f_pu2yfjc57whl4	dedr	Rice has high-u and plural velar comparanda; proposed -a not independently matched.	Source-reported vowel-lowering incidence is not automatically accepted from these unclassified surface vowels; consult etymon and formation notes.
