Observation_ID	Language_ID	Stem	Suffix	Surface_Form	Independent_Stem_Evidence	Gloss	Source	Locator	Candidate_Entry_ID	Linked_Database_IDs	Notes	Input_Class	Historical_Caution	Observed_Order
H02-Kui-dik	Kui	ḍik	pi / pa	ḍipki; ḍiksa	ḍiki; ḍikte	light fire	Hume2002 September manuscript, https://roa.rutgers.edu/files/546-0902/546-0902-HUME-0-0.PDF	p.38 ex.38 second conjugation			Hume2002 table labels ḍiksa/kaksa as infinitives, but Winfield1928 p.72 places -sa in the PERFECT verbal participle and -pa in the infinitive. The lexical source has kapka. Preserve the discrepancy; do not count the apparent -sa infinitives as independently confirmed grammatical cells.	velar+labial	Synchronic morphological input is not automatically a phonetic ancestral string; analogical creation of the alternation competes with sound change.	D-labial-before-velar
H02-Kui-kak	Kui	kak	pi / pa	kapki; kaksa	kakki; kakte	laugh	Hume2002 September manuscript, https://roa.rutgers.edu/files/546-0902/546-0902-HUME-0-0.PDF	p.38 ex.38 second conjugation	d1080	f_ds72snylx7xny	Hume2002 table labels ḍiksa/kaksa as infinitives, but Winfield1928 p.72 places -sa in the PERFECT verbal participle and -pa in the infinitive. The lexical source has kapka. Preserve the discrepancy; do not count the apparent -sa infinitives as independently confirmed grammatical cells.	velar+labial	Synchronic morphological input is not automatically a phonetic ancestral string; analogical creation of the alternation competes with sound change.	D-labial-before-velar
H02-Kui-sol	Kui	sol	bi / ba	solbi; solba	soli; soṭe	enter	Hume2002 September manuscript, https://roa.rutgers.edu/files/546-0902/546-0902-HUME-0-0.PDF	p.38 ex.38 fourth conjugation				nonvelar+labial	Synchronic morphological input is not automatically a phonetic ancestral string; analogical creation of the alternation competes with sound change.	R-input-order
H02-Kui-pan	Kui	paṇ	bi / ba	paṇbi; paṇba	pai; paṭe	obtain	Hume2002 September manuscript, https://roa.rutgers.edu/files/546-0902/546-0902-HUME-0-0.PDF	p.38 ex.38 fourth conjugation				nonvelar+labial	Synchronic morphological input is not automatically a phonetic ancestral string; analogical creation of the alternation competes with sound change.	R-input-order
H02-Kui-nog	Kui	nog	bi / ba	nobgi; nobga	nogi; nogde	wash	Hume2002 September manuscript, https://roa.rutgers.edu/files/546-0902/546-0902-HUME-0-0.PDF	p.38 ex.38 fourth conjugation	d3783	f_mkjsnqeyhyxs6		velar+labial	Synchronic morphological input is not automatically a phonetic ancestral string; analogical creation of the alternation competes with sound change.	D-labial-before-velar
H02-Kui-geg	Kui	geg	bi / ba	gebgi; gebga	gegi; gegde	associate	Hume2002 September manuscript, https://roa.rutgers.edu/files/546-0902/546-0902-HUME-0-0.PDF	p.38 ex.38 fourth conjugation	d1980	f_zec6tdhg4tmzu		velar+labial	Synchronic morphological input is not automatically a phonetic ancestral string; analogical creation of the alternation competes with sound change.	D-labial-before-velar
H02-Kui-ag	Kui	ag	bi / ba	abgi; abga	agi; agde	be fitting	Hume2002 September manuscript, https://roa.rutgers.edu/files/546-0902/546-0902-HUME-0-0.PDF	p.38 ex.38 fourth conjugation	d325	f_2shiah6khbeyq		velar+labial	Synchronic morphological input is not automatically a phonetic ancestral string; analogical creation of the alternation competes with sound change.	D-labial-before-velar
H02-Kuvi-gok	Kuwi	gok	pi-n-esi	gop-ki-n-esis	Underlying form explicitly segmented in source	caught continuously, he	Hume2002 September manuscript, https://roa.rutgers.edu/files/546-0902/546-0902-HUME-0-0.PDF	p.38 ex.39, citing Israel1979			Israel1979 original pages not directly inspected; source-only comparison. For laugh, compare separate DEDR Schulze kakpinai retaining k-p.	velar+labial	Synchronic morphological input is not automatically a phonetic ancestral string; analogical creation of the alternation competes with sound change.	D-labial-before-velar
H02-Kuvi-mek	Kuwi	mek	pi-t-u	mep-ki-t-u	Underlying form explicitly segmented in source	plucked, they	Hume2002 September manuscript, https://roa.rutgers.edu/files/546-0902/546-0902-HUME-0-0.PDF	p.38 ex.39, citing Israel1979			Israel1979 original pages not directly inspected; source-only comparison. For laugh, compare separate DEDR Schulze kakpinai retaining k-p.	velar+labial	Synchronic morphological input is not automatically a phonetic ancestral string; analogical creation of the alternation competes with sound change.	D-labial-before-velar
H02-Kuvi-kak	Kuwi	kak	pi a-	kap-ki a-	Underlying form explicitly segmented in source	laugh at each other	Hume2002 September manuscript, https://roa.rutgers.edu/files/546-0902/546-0902-HUME-0-0.PDF	p.38 ex.39, citing Israel1979	d1080		Israel1979 original pages not directly inspected; source-only comparison. For laugh, compare separate DEDR Schulze kakpinai retaining k-p.	velar+labial	Synchronic morphological input is not automatically a phonetic ancestral string; analogical creation of the alternation competes with sound change.	D-labial-before-velar
H02-Kuvi-nik	Kuwi	nik	pi ki	nip-ki ki-	Underlying form explicitly segmented in source	cause to stand	Hume2002 September manuscript, https://roa.rutgers.edu/files/546-0902/546-0902-HUME-0-0.PDF	p.38 ex.39, citing Israel1979	d3665		Israel1979 original pages not directly inspected; source-only comparison. For laugh, compare separate DEDR Schulze kakpinai retaining k-p.	velar+labial	Synchronic morphological input is not automatically a phonetic ancestral string; analogical creation of the alternation competes with sound change.	D-labial-before-velar
H02-Kuvi-ok	Kuwi	ok	pi ki	op ki ki-	Underlying form explicitly segmented in source	cause to carry	Hume2002 September manuscript, https://roa.rutgers.edu/files/546-0902/546-0902-HUME-0-0.PDF	p.38 ex.39, citing Israel1979	d931		Israel1979 original pages not directly inspected; source-only comparison. For laugh, compare separate DEDR Schulze kakpinai retaining k-p.	velar+labial	Synchronic morphological input is not automatically a phonetic ancestral string; analogical creation of the alternation competes with sound change.	D-labial-before-velar
H02-Kuvi-tuk	Kuwi	tuk	p-esi	tup-k-esi	Underlying form explicitly segmented in source	let him weigh	Hume2002 September manuscript, https://roa.rutgers.edu/files/546-0902/546-0902-HUME-0-0.PDF	p.38 ex.39, citing Israel1979			Israel1979 original pages not directly inspected; source-only comparison. For laugh, compare separate DEDR Schulze kakpinai retaining k-p.	velar+labial	Synchronic morphological input is not automatically a phonetic ancestral string; analogical creation of the alternation competes with sound change.	D-labial-before-velar
H02-Kuvi-huk	Kuwi	huk	p-esi	hup-k-esi	Underlying form explicitly segmented in source	let him remove it	Hume2002 September manuscript, https://roa.rutgers.edu/files/546-0902/546-0902-HUME-0-0.PDF	p.38 ex.39, citing Israel1979			Israel1979 original pages not directly inspected; source-only comparison. For laugh, compare separate DEDR Schulze kakpinai retaining k-p.	velar+labial	Synchronic morphological input is not automatically a phonetic ancestral string; analogical creation of the alternation competes with sound change.	D-labial-before-velar
GB09-Pengo-kat	Pengo	kat	ka	kat-ka	Free root listed in source table	cut	Garrett and Blevins2009, https://julietteblevins.ws.gc.cuny.edu/files/2013/04/GarrettBlevins2009d-AnalogicalMorphophonology.pdf	p.538 ex.19–20			Source p.538 image checked; IPA retroflex symbols rendered as corresponding dotted consonants and length as macrons. Source affix and velar/labial ordering are explicit. Published example set, not random lexical denominator.	other-suffix	Synchronic morphological input is not automatically a phonetic ancestral string; analogical creation of the alternation competes with sound change.	R-input-order
GB09-Pengo-ker	Pengo	kēr	ka	kēr-ka	Free root listed in source table	sing	Garrett and Blevins2009, https://julietteblevins.ws.gc.cuny.edu/files/2013/04/GarrettBlevins2009d-AnalogicalMorphophonology.pdf	p.538 ex.19–20			Source p.538 image checked; IPA retroflex symbols rendered as corresponding dotted consonants and length as macrons. Source affix and velar/labial ordering are explicit. Published example set, not random lexical denominator.	other-suffix	Synchronic morphological input is not automatically a phonetic ancestral string; analogical creation of the alternation competes with sound change.	R-input-order
GB09-Pengo-hip	Pengo	hīp	ka	hīp-ka	Free root listed in source table	sweep	Garrett and Blevins2009, https://julietteblevins.ws.gc.cuny.edu/files/2013/04/GarrettBlevins2009d-AnalogicalMorphophonology.pdf	p.538 ex.19–20			Source p.538 image checked; IPA retroflex symbols rendered as corresponding dotted consonants and length as macrons. Source affix and velar/labial ordering are explicit. Published example set, not random lexical denominator.	other-suffix	Synchronic morphological input is not automatically a phonetic ancestral string; analogical creation of the alternation competes with sound change.	R-input-order
GB09-Pengo-raz	Pengo	raz	ka	ras-ka	Free root listed in source table	cut	Garrett and Blevins2009, https://julietteblevins.ws.gc.cuny.edu/files/2013/04/GarrettBlevins2009d-AnalogicalMorphophonology.pdf	p.538 ex.19–20			Source p.538 image checked; IPA retroflex symbols rendered as corresponding dotted consonants and length as macrons. Source affix and velar/labial ordering are explicit. Published example set, not random lexical denominator.	other-suffix	Synchronic morphological input is not automatically a phonetic ancestral string; analogical creation of the alternation competes with sound change.	R-input-order
GB09-Pengo-kap	Pengo	kap	pa	kap-pa	Free root listed in source table	bite	Garrett and Blevins2009, https://julietteblevins.ws.gc.cuny.edu/files/2013/04/GarrettBlevins2009d-AnalogicalMorphophonology.pdf	p.538 ex.19–20			Source p.538 image checked; IPA retroflex symbols rendered as corresponding dotted consonants and length as macrons. Source affix and velar/labial ordering are explicit. Published example set, not random lexical denominator.	nonvelar+labial	Synchronic morphological input is not automatically a phonetic ancestral string; analogical creation of the alternation competes with sound change.	R-input-order
GB09-Pengo-grut	Pengo	grūt	pa	grūt-pa	Free root listed in source table	fell	Garrett and Blevins2009, https://julietteblevins.ws.gc.cuny.edu/files/2013/04/GarrettBlevins2009d-AnalogicalMorphophonology.pdf	p.538 ex.19–20			Source p.538 image checked; IPA retroflex symbols rendered as corresponding dotted consonants and length as macrons. Source affix and velar/labial ordering are explicit. Published example set, not random lexical denominator.	nonvelar+labial	Synchronic morphological input is not automatically a phonetic ancestral string; analogical creation of the alternation competes with sound change.	R-input-order
GB09-Pengo-pat	Pengo	paṭ	pa	paṭ-pa	Free root listed in source table	break	Garrett and Blevins2009, https://julietteblevins.ws.gc.cuny.edu/files/2013/04/GarrettBlevins2009d-AnalogicalMorphophonology.pdf	p.538 ex.19–20			Source p.538 image checked; IPA retroflex symbols rendered as corresponding dotted consonants and length as macrons. Source affix and velar/labial ordering are explicit. Published example set, not random lexical denominator.	nonvelar+labial	Synchronic morphological input is not automatically a phonetic ancestral string; analogical creation of the alternation competes with sound change.	R-input-order
GB09-Pengo-hon	Pengo	hon	pa	hon-pa	Free root listed in source table	run	Garrett and Blevins2009, https://julietteblevins.ws.gc.cuny.edu/files/2013/04/GarrettBlevins2009d-AnalogicalMorphophonology.pdf	p.538 ex.19–20			Source p.538 image checked; IPA retroflex symbols rendered as corresponding dotted consonants and length as macrons. Source affix and velar/labial ordering are explicit. Published example set, not random lexical denominator.	nonvelar+labial	Synchronic morphological input is not automatically a phonetic ancestral string; analogical creation of the alternation competes with sound change.	R-input-order
GB09-Pengo-tub	Pengo	tūb	ba	tūb-ba	Free root listed in source table	blow	Garrett and Blevins2009, https://julietteblevins.ws.gc.cuny.edu/files/2013/04/GarrettBlevins2009d-AnalogicalMorphophonology.pdf	p.538 ex.19–20			Source p.538 image checked; IPA retroflex symbols rendered as corresponding dotted consonants and length as macrons. Source affix and velar/labial ordering are explicit. Published example set, not random lexical denominator.	nonvelar+labial	Synchronic morphological input is not automatically a phonetic ancestral string; analogical creation of the alternation competes with sound change.	R-input-order
GB09-Pengo-kaz	Pengo	kāḍ	ba	kāḍ-ba	Free root listed in source table	burn	Garrett and Blevins2009, https://julietteblevins.ws.gc.cuny.edu/files/2013/04/GarrettBlevins2009d-AnalogicalMorphophonology.pdf	p.538 ex.19–20			Source p.538 image checked; IPA retroflex symbols rendered as corresponding dotted consonants and length as macrons. Source affix and velar/labial ordering are explicit. Published example set, not random lexical denominator.	nonvelar+labial	Synchronic morphological input is not automatically a phonetic ancestral string; analogical creation of the alternation competes with sound change.	R-input-order
GB09-Pengo-ven	Pengo	ven	ba	ven-ba	Free root listed in source table	hear	Garrett and Blevins2009, https://julietteblevins.ws.gc.cuny.edu/files/2013/04/GarrettBlevins2009d-AnalogicalMorphophonology.pdf	p.538 ex.19–20			Source p.538 image checked; IPA retroflex symbols rendered as corresponding dotted consonants and length as macrons. Source affix and velar/labial ordering are explicit. Published example set, not random lexical denominator.	nonvelar+labial	Synchronic morphological input is not automatically a phonetic ancestral string; analogical creation of the alternation competes with sound change.	R-input-order
GB09-Pengo-hi	Pengo	hī	ba	hī-ba	Free root listed in source table	give	Garrett and Blevins2009, https://julietteblevins.ws.gc.cuny.edu/files/2013/04/GarrettBlevins2009d-AnalogicalMorphophonology.pdf	p.538 ex.19–20			Source p.538 image checked; IPA retroflex symbols rendered as corresponding dotted consonants and length as macrons. Source affix and velar/labial ordering are explicit. Published example set, not random lexical denominator.	nonvelar+labial	Synchronic morphological input is not automatically a phonetic ancestral string; analogical creation of the alternation competes with sound change.	R-input-order
GB09-Pengo-rik	Pengo	ḍrik	pa	ḍripka	Free root listed in source table	break	Garrett and Blevins2009, https://julietteblevins.ws.gc.cuny.edu/files/2013/04/GarrettBlevins2009d-AnalogicalMorphophonology.pdf	p.538 ex.19–20			Source p.538 image checked; IPA retroflex symbols rendered as corresponding dotted consonants and length as macrons. Source affix and velar/labial ordering are explicit. Published example set, not random lexical denominator.	velar+labial	Synchronic morphological input is not automatically a phonetic ancestral string; analogical creation of the alternation competes with sound change.	D-labial-before-velar
GB09-Pengo-kuk	Pengo	kūk	pa	kūpka	Free root listed in source table	call	Garrett and Blevins2009, https://julietteblevins.ws.gc.cuny.edu/files/2013/04/GarrettBlevins2009d-AnalogicalMorphophonology.pdf	p.538 ex.19–20			Source p.538 image checked; IPA retroflex symbols rendered as corresponding dotted consonants and length as macrons. Source affix and velar/labial ordering are explicit. Published example set, not random lexical denominator.	velar+labial	Synchronic morphological input is not automatically a phonetic ancestral string; analogical creation of the alternation competes with sound change.	D-labial-before-velar
GB09-Pengo-rek	Pengo	ḍēk	pa	ḍēpka	Free root listed in source table	seek	Garrett and Blevins2009, https://julietteblevins.ws.gc.cuny.edu/files/2013/04/GarrettBlevins2009d-AnalogicalMorphophonology.pdf	p.538 ex.19–20			Source p.538 image checked; IPA retroflex symbols rendered as corresponding dotted consonants and length as macrons. Source affix and velar/labial ordering are explicit. Published example set, not random lexical denominator.	velar+labial	Synchronic morphological input is not automatically a phonetic ancestral string; analogical creation of the alternation competes with sound change.	D-labial-before-velar
GB09-Pengo-kak	Pengo	kak	ba	kabga	Free root listed in source table	vomit	Garrett and Blevins2009, https://julietteblevins.ws.gc.cuny.edu/files/2013/04/GarrettBlevins2009d-AnalogicalMorphophonology.pdf	p.538 ex.19–20	d1079		Source p.538 image checked; IPA retroflex symbols rendered as corresponding dotted consonants and length as macrons. Source affix and velar/labial ordering are explicit. Published example set, not random lexical denominator.	velar+labial	Synchronic morphological input is not automatically a phonetic ancestral string; analogical creation of the alternation competes with sound change.	D-labial-before-velar
GB09-Pengo-rak	Pengo	ṛāk	ba	ṛābga	Free root listed in source table	sacrifice	Garrett and Blevins2009, https://julietteblevins.ws.gc.cuny.edu/files/2013/04/GarrettBlevins2009d-AnalogicalMorphophonology.pdf	p.538 ex.19–20	d297		Source p.538 image checked; IPA retroflex symbols rendered as corresponding dotted consonants and length as macrons. Source affix and velar/labial ordering are explicit. Published example set, not random lexical denominator.	velar+labial	Synchronic morphological input is not automatically a phonetic ancestral string; analogical creation of the alternation competes with sound change.	D-labial-before-velar
GB09-Pengo-hok	Pengo	hōk	ba	hōbga	Free root listed in source table	wash clothes	Garrett and Blevins2009, https://julietteblevins.ws.gc.cuny.edu/files/2013/04/GarrettBlevins2009d-AnalogicalMorphophonology.pdf	p.538 ex.19–20	d2872		Source p.538 image checked; IPA retroflex symbols rendered as corresponding dotted consonants and length as macrons. Source affix and velar/labial ordering are explicit. Published example set, not random lexical denominator.	velar+labial	Synchronic morphological input is not automatically a phonetic ancestral string; analogical creation of the alternation competes with sound change.	D-labial-before-velar
GB09-Pengo-paglong	Pengo	pāg	ba	pābga	Free root listed in source table	kill	Garrett and Blevins2009, https://julietteblevins.ws.gc.cuny.edu/files/2013/04/GarrettBlevins2009d-AnalogicalMorphophonology.pdf	p.538 ex.19–20			Source p.538 image checked; IPA retroflex symbols rendered as corresponding dotted consonants and length as macrons. Source affix and velar/labial ordering are explicit. Published example set, not random lexical denominator.	velar+labial	Synchronic morphological input is not automatically a phonetic ancestral string; analogical creation of the alternation competes with sound change.	D-labial-before-velar
GB09-Pengo-pag	Pengo	pag	ba	pabga	Free root listed in source table	be split	Garrett and Blevins2009, https://julietteblevins.ws.gc.cuny.edu/files/2013/04/GarrettBlevins2009d-AnalogicalMorphophonology.pdf	p.538 ex.19–20			Source p.538 image checked; IPA retroflex symbols rendered as corresponding dotted consonants and length as macrons. Source affix and velar/labial ordering are explicit. Published example set, not random lexical denominator.	velar+labial	Synchronic morphological input is not automatically a phonetic ancestral string; analogical creation of the alternation competes with sound change.	D-labial-before-velar
GB09-Pengo-tog	Pengo	tog	ba	tobga	Free root listed in source table	trample	Garrett and Blevins2009, https://julietteblevins.ws.gc.cuny.edu/files/2013/04/GarrettBlevins2009d-AnalogicalMorphophonology.pdf	p.538 ex.19–20			Source p.538 image checked; IPA retroflex symbols rendered as corresponding dotted consonants and length as macrons. Source affix and velar/labial ordering are explicit. Published example set, not random lexical denominator.	velar+labial	Synchronic morphological input is not automatically a phonetic ancestral string; analogical creation of the alternation competes with sound change.	D-labial-before-velar
W28-lek	Kui	lek	p-a / p-i	lepka; lepki	lek base; leksa perfect participle; lekte past	break	Winfield1928, https://ignca.gov.in/Asi_data/37202.pdf	p.72, PDF89 image checked	d5200	f_3o5nmdtypifz2	Velar-before-s in perfect participle is distinct from velar+labial class; suffix identity independently predicts the alternation.	velar+labial	Synchronic morphological input is not automatically a phonetic ancestral string; analogical creation of the alternation competes with sound change.	D-labial-before-velar
W28-sug	Kui	sug	b-a / b-i	subga; subgi	sug base; sugde past; sugdi past relative	roast	Winfield1928, https://ignca.gov.in/Asi_data/37202.pdf	p.74, PDF91 image checked	d2654	f_ejxzdnny5tjf6	Voiced g before b reverses; g before the past dental instead induces voicing, retaining g-d order.	velar+labial	Synchronic morphological input is not automatically a phonetic ancestral string; analogical creation of the alternation competes with sound change.	D-labial-before-velar
W28-grap	Kui	grāp	p-a	grāppa / grāpa	grāp base; grāpai present; grāpsa perfect; grāpte past	teach	Winfield1928, https://ignca.gov.in/Asi_data/37202.pdf	p.73, PDF90 image checked			p-final base retains p; double-p infinitive is sometimes spelled with one p. Present allomorph is -ai, not an automatically added -pi.	nonvelar+labial	Synchronic morphological input is not automatically a phonetic ancestral string; analogical creation of the alternation competes with sound change.	R-input-order
W28-meh	Kui	meh	p-a / p-i	mehpa; mehpi	meh base; meha perfect; mehte past	see	Winfield1928, https://ignca.gov.in/Asi_data/37202.pdf	p.73, PDF90 image checked			h+p is retained; h affects the perfect participle differently.	nonvelar+labial	Synchronic morphological input is not automatically a phonetic ancestral string; analogical creation of the alternation competes with sound change.	R-input-order
W28-nol	Kui	nol	p-a	nolpa	nol base; noṭe past; noṭi past relative	ladle out	Winfield1928, https://ignca.gov.in/Asi_data/37202.pdf	p.73, PDF90 image checked			l+p remains; l disappears before t with retroflexion, a separate conditioned change.	nonvelar+labial	Synchronic morphological input is not automatically a phonetic ancestral string; analogical creation of the alternation competes with sound change.	R-input-order
W28-p-strengthening-dī	Kui	dī	p + ki	dīpki	dīva third-conjugation citation form	fall	Winfield1928, https://ignca.gov.in/Asi_data/37202.pdf	p.73, PDF90 image checked			Winfield explicitly adds p to strengthen a vowel-final base before -ki. The output pk therefore does not prove a velar-before-labial input. Relevant to Garrett and Blevins2009 double-marking hypothesis, without proving every proposed historical stage.	vowel+complex-pk-formative	Synchronic morphological input is not automatically a phonetic ancestral string; analogical creation of the alternation competes with sound change.	O-original-p-before-k
W28-p-strengthening-gī	Kui	gī	p + ki	gīpki	gīva third-conjugation citation form	do	Winfield1928, https://ignca.gov.in/Asi_data/37202.pdf	p.73, PDF90 image checked	d1957		Winfield explicitly adds p to strengthen a vowel-final base before -ki. The output pk therefore does not prove a velar-before-labial input. Relevant to Garrett and Blevins2009 double-marking hypothesis, without proving every proposed historical stage.	vowel+complex-pk-formative	Synchronic morphological input is not automatically a phonetic ancestral string; analogical creation of the alternation competes with sound change.	O-original-p-before-k
W28-p-strengthening-kī	Kui	kī	p + ki	kīpki	kīva third-conjugation citation form	pour	Winfield1928, https://ignca.gov.in/Asi_data/37202.pdf	p.73, PDF90 image checked			Winfield explicitly adds p to strengthen a vowel-final base before -ki. The output pk therefore does not prove a velar-before-labial input. Relevant to Garrett and Blevins2009 double-marking hypothesis, without proving every proposed historical stage.	vowel+complex-pk-formative	Synchronic morphological input is not automatically a phonetic ancestral string; analogical creation of the alternation competes with sound change.	O-original-p-before-k
W28-p-strengthening-sī	Kui	sī	p + ki	sīpki	sīva third-conjugation citation form	give	Winfield1928, https://ignca.gov.in/Asi_data/37202.pdf	p.73, PDF90 image checked			Winfield explicitly adds p to strengthen a vowel-final base before -ki. The output pk therefore does not prove a velar-before-labial input. Relevant to Garrett and Blevins2009 double-marking hypothesis, without proving every proposed historical stage.	vowel+complex-pk-formative	Synchronic morphological input is not automatically a phonetic ancestral string; analogical creation of the alternation competes with sound change.	O-original-p-before-k
W28-p-strengthening-vī	Kui	vī	p + ki	vīpki	vīva third-conjugation citation form	shoot	Winfield1928, https://ignca.gov.in/Asi_data/37202.pdf	p.73, PDF90 image checked			Winfield explicitly adds p to strengthen a vowel-final base before -ki. The output pk therefore does not prove a velar-before-labial input. Relevant to Garrett and Blevins2009 double-marking hypothesis, without proving every proposed historical stage.	vowel+complex-pk-formative	Synchronic morphological input is not automatically a phonetic ancestral string; analogical creation of the alternation competes with sound change.	O-original-p-before-k
