Group_ID	Display_Form	Display_Gloss	Head_Strategy	N_Records	N_Attested	N_Telugu_Records	Languages	Reconstructions	Reconstruction_IDs	Reconstructed_Input_Flags	Comparative_Input_Flags	Telugu_Forms	Status
d1	*aṯṯ-	that day, then; 3neu sg; he, that man; 3f sg; there, then; that time, then; that place/time/much/many/manner; there; she; men/persons; that; that place, manner; they; she/it; that place	krishnamurti-pfeiffer	850	805	71	Badaga;Brahui;Gadaba;Gondi;Kannada;Kodagu;Kolami;Konda;Kota;Kui;Kurux;Kuwi;Malayalam;Malto;Naiki;Naikri;Parji;Pengo;Tamil;Telugu;Toda;Tulu;markodi	*aṯṯ- | *av-ay | *a-n(V)k | *aw-ay | *aH | *ā | *a-nV | *a-mpV | *aṯṯ-/*āṯṯ- | *aw-anṯu | *ā-n(V)k | *avan | *a-tu | *a-nṯu | *av-aḷ | *ā-tt | *a-llV | *av-ar | *awan- | *āṯṯ | *aṯṯ | *a- | *aw-aḷ | *av-anṯu | *ap-pōẓ | *aH-/*ā | *a-lV | *āṯ(ṯ)- | *aw-ar | *ā-t	d1;f_2dtblrfvsy572;f_2wsn3x6ugpixu;f_2yvfykxmjwjzs;f_3apxoonjk5zii;f_3ob6u57avxtau;f_4pp2klgygk4dg;f_5gammdkmwxkai;f_5hrn7pnjo57um;f_64ktd7rhs5wqo;f_7y72m74pha6gm;f_7yipckmt7ecqe;f_asr467jjpl2k4;f_bpx53g6r7pd6o;f_d6myob6wg3q54;f_dp37zg5upvelc;f_dxykfbmjr66ds;f_e3f6lk33yh6jq;f_eszajgw54hs4m;f_ezbpsd43l47lq;f_ftnsw2zlbiurs;f_h2544kxvegb64;f_kxsnbhmdng4co;f_lo4qsxqxlcjl6;f_m2gd23xi5fnwe;f_mfwknxir4xyna;f_mkqcv5bk4zgqu;f_ned2r26pgyj5w;f_nuqtr3zliunkc;f_pr3bnh2qe3in2;f_ruyc5zs3tvr7c;f_td6qqwexldvbs;f_tk7xi7u7fvmhe;f_ubykmwnrt5shs;f_udqzts2q2ph4o;f_ux2lj6yiia4g6;f_vrvvnr7wbfqmc;f_w3qafwcukhmli;f_wwll7wrhoxfca;f_xcugejkcvic6e;f_xrexchmqkpsjk;f_xuipgp4ib6hoy;f_zeqmgikk4gewi;f_zwqjsszl5xzhi;f_zzpr5qazjrqsy	geminate-apical-control;long-vowel-apical-control;nonapical-control;postapical-cluster;short-vowel-apical	geminate-apical-control;long-vowel-apical-control;nonapical-control;postapical-cluster;short-vowel-apical	āviḍe | ani | aṭulu | adē | avvi | anni | aṭlu | addi | āyama | āpe | andoṟu | allade | ātaḍu | aṭṭi | vāṇḍlu | andali | āḍa | anta | aṭṭidi | accōṭu | aṭa | aṭṭī̃ḍu | alla | ala | akkaḍa | andaṟu | adigō | antagā | āyana | appaṭi | āme | accaṭu | aṭu | vāru ( vāri-) | ante | attĩḍu | antē | ātagā̃ḍu | appuḍu | alladigo | ataḍu | adigo | apuḍu | ātanu | aṭṭē | ade | ābiḍa | acoṭu | andu | ābiḍe | atagā̃ḍu | āyavi | akkaḍi | avi ( vāṭi-) | āviḍa | acaṭu | aṭṭe | accaṭa | antaṭa | antu | ā | ayyavi | atanu | āyadi | āke | aṭula | vā̃ḍu ( vāni-) | ayyadi | adi ( dāni-) | aṭṭulu | avvala	entry
d10	akavu		dedr-reflex	14	12	0	Badaga;Malayalam;Tamil	*aga-	f_7cjw44uutq5wg	nonapical-control	nonapical-control		entry
d100	aṭṭaiy-āṭal		dedr-reflex	7	5	1	Badaga;Kannada;Tamil;Telugu	*aṭai	f_5i3mxc3l2mliu	short-vowel-apical	geminate-apical-control;nonapical-control;postapical-cluster;short-vowel-apical	aṭṭa	entry
d1000	*òl-		merriam-pdr	10	8	3	Kolami;Naikri;Parji;Tamil;Telugu;Tulu	*òl-	d1000;f_ddoahibvh656a	short-vowel-apical	postapical-cluster;short-vowel-apical	olucu | olupu | oliyu	entry
d1001	**ol-		krishnamurti-pfeiffer	8	5	1	Kurux;Parji;Telugu	**ol- | **ol | *ōl-	d1001;f_25eqlblawn6b4;f_wnaxoq4jjrkma	long-vowel-apical-control;short-vowel-apical	long-vowel-apical-control;postapical-cluster;short-vowel-apical	oliki	entry
d1002	oluŋku		dedr-reflex	6	4	0	Kodagu;Malayalam;Tamil	*oluŋku	f_7vrrrhgufbgm4	short-vowel-apical	short-vowel-apical		entry
d1003	olku		dedr-reflex	40	38	4	Kannada;Kodagu;Malayalam;Tamil;Telugu;Tulu	*Ul-	f_ypvwhkqzwahug	short-vowel-apical	postapical-cluster;short-vowel-apical	olayu | nuliyu | ulucu | uliyu	entry
d1004	olku		dedr-reflex	11	9	1	Malayalam;Tamil;Telugu;Tulu	*ol-	f_v3r5p7fotqqos	short-vowel-apical	geminate-apical-control;postapical-cluster;short-vowel-apical	ollã-bōvu	entry
d1005	oliyal		dedr-reflex	15	13	4	Kannada;Malayalam;Tamil;Telugu;Tulu	*ol(l)-	f_c3va2c4gqhac6	short-vowel-apical	geminate-apical-control;postapical-cluster;short-vowel-apical	valuvu | valuva | olliya | olle	entry
d1006	ollu		dedr-reflex	55	52	6	Badaga;Kannada;Kota;Kui;Malayalam;Tamil;Telugu;Toda;Tulu	*ol- | *val-	f_fovnihodhqlbs;f_jfucxme5roa6g	short-vowel-apical	geminate-apical-control;long-vowel-apical-control;postapical-cluster;short-vowel-apical	valadu | valapu | vaddu | ōlimika | valacu (neg. gerund ollaka) | ollami	entry
d1007	ollu		dedr-reflex	11	9	0	Gondi;Malayalam;Tamil	*ollu (olli-)	f_erkpbwn6oszey	geminate-apical-control;postapical-cluster;short-vowel-apical	geminate-apical-control;postapical-cluster;short-vowel-apical		entry
d1008	ollai		dedr-reflex	8	4	0	Malayalam;Tamil	*ollai | *ollē | *oll-en_a	f_7rlb4qfuqu22q;f_hnron6ab5t77q;f_zfywoolw4ohlq	geminate-apical-control;postapical-cluster;short-vowel-apical	geminate-apical-control;postapical-cluster;short-vowel-apical		entry
d1009	oṛ̆i		dedr-reflex	44	42	4	Kannada;Kodagu;Malayalam;Tamil;Telugu;Toda;Tulu	*oẓ-i-	f_4zujqrtakgrvu	short-vowel-apical	nonapical-control;postapical-cluster;short-vowel-apical	uḍuvu | uḍi-vōvu | uḍupu | uḍugu	entry
d101	aṭ		dedr-reflex	30	28	0	Badaga;Kota;Toda	*aṭ- (?)	f_k6xfugvwyp4c2	short-vowel-apical	long-vowel-apical-control;nonapical-control;postapical-cluster;short-vowel-apical		entry
d1010	oṛ̆uku		dedr-reflex	25	23	0	Kannada;Kodagu;Kota;Malayalam;Tamil;Toda;Tulu	*ō̆ẓ-	f_7mi4sov6np4ys		long-vowel-apical-control;nonapical-control;postapical-cluster;short-vowel-apical		entry
d1011	oṛ̆uku		dedr-reflex	10	8	0	Malayalam;Tamil	*oẓuku (oẓuki-)	f_a4gg3yplj6fca	short-vowel-apical	short-vowel-apical		entry
d1012	*oẓ-ukk-	; to spin	krishnamurti-pfeiffer	31	24	2	Gondi;Kota;Kui;Kurux;Kuwi;Malto;Manda;Naiki;Pengo;Tamil;Telugu;Toda;Tulu	*oẓ-ukk- | *oẓ- | *oẓ-ukk | **oẓVcV | *oḍ-	d1012;f_4zseb4uqfxecg;f_6klezekfwlhsc;f_iykyyezgagwjs;f_skf7rtg7sp3wg;f_ugokohun5qqjq	postapical-cluster;short-vowel-apical	geminate-apical-control;long-vowel-apical-control;nonapical-control;postapical-cluster;short-vowel-apical	vaḍuku | oḍuku	entry
d1013	oṛ- (oṛt-)		dedr-reflex	5	3	0	Gadaba;Parji	*oṛ-	f_qbecoahrjmyvc	short-vowel-apical	long-vowel-apical-control;short-vowel-apical		entry
d1014	oṛ̆uŋkai		dedr-reflex	6	4	0	Kannada;Tamil;Tulu	*oẓ-uŋk-	f_nhhmsrcr45nyo	short-vowel-apical	postapical-cluster;short-vowel-apical		entry
d1015	**oḷi		krishnamurti-pfeiffer	46	44	2	Badaga;Gadaba;Gondi;Kannada;Kodagu;Koraga;Kota;Kurux;Malayalam;Tamil;Telugu;Toda;Tulu	**oḷi | *oḷ-	d1015;f_t7tnj7fbjewzk	short-vowel-apical	long-vowel-apical-control;nonapical-control;postapical-cluster;short-vowel-apical	oḷavu | ōlamu	entry
d1016	oḷi		dedr-reflex	26	24	0	Badaga;Kannada;Konda;Malayalam;Tamil;Tulu	*oḷ-i-	f_sjl6qv4ymvsuq	short-vowel-apical	long-vowel-apical-control;postapical-cluster;short-vowel-apical		entry
d1017	oḷi		dedr-reflex	39	37	0	Badaga;Kannada;Kota;Tamil;Toda	*oḷ-i	f_qzwskqcfzgrnk	short-vowel-apical	geminate-apical-control;postapical-cluster;short-vowel-apical		entry
d1018	oḷḷe		dedr-reflex	10	6	0	Kannada;Kodagu;Tulu	*oḷḷe | *hoḷḷe | *uḷḷi	f_j2bkalzehz4uq;f_vaorfzep7wjc4;f_xbcnqswomsthw	geminate-apical-control;postapical-cluster;short-vowel-apical	geminate-apical-control;postapical-cluster;short-vowel-apical		entry
d1019	oṟu		dedr-reflex	19	17	8	Kannada;Malayalam;Tamil;Telugu	*or_u (-pp-, -tt-)	f_hb7jecc2bwjfs	short-vowel-apical	nonapical-control;short-vowel-apical	orudala | rompi | rō̃ta | roccu | ṟoccu | rōta | ṟōyu | rōyu	entry
d102	aṭṭnā		dedr-reflex	5	3	0	Kurux;Malto	*aṭṭ-	f_tuhro6tmpl27m	geminate-apical-control;postapical-cluster;short-vowel-apical	geminate-apical-control;postapical-cluster;short-vowel-apical		entry
d1020	oṟṟi		dedr-reflex	7	5	0	Kannada;Malayalam;Tamil;Tulu	*ot_-i	f_izr5hevdu56js	nonapical-control	geminate-apical-control;nonapical-control;postapical-cluster;short-vowel-apical		entry
d1021	oṟṟu		dedr-reflex	35	33	2	Badaga;Kannada;Kodagu;Kota;Kuwi;Malayalam;Tamil;Telugu;Tulu	*ot_-	f_3i6wsi7wi6fte	nonapical-control	geminate-apical-control;nonapical-control;postapical-cluster;short-vowel-apical	ottu | ottaḍamu	entry
d1022	oṟṟu		dedr-reflex	12	10	0	Malayalam;Tamil	*or_r_u (or_r_i-)	f_l4idz3tpb6xku	short-vowel-apical	geminate-apical-control;postapical-cluster;short-vowel-apical		entry
d1023	oṟṟu		dedr-reflex	6	4	1	Malayalam;Tamil;Telugu	*or_r_u	f_3axzpj7vinbjy	short-vowel-apical	geminate-apical-control;nonapical-control;postapical-cluster;short-vowel-apical	ottulu	entry
d1024	on'nā		dedr-reflex	4	2	0	Kurux;Malto	*on-	f_dfdvdywuasoew	short-vowel-apical	postapical-cluster;short-vowel-apical		entry
d1025	*on-patV	ten minus one	krishnamurti-pfeiffer	51	46	0	Badaga;Gondi;Kannada;Kodagu;Kota;Malayalam;Tamil;Toda;Tulu;markodi	*on-patV | *on-pad- | *ten, teṯ-kku	d1025;f_bsamqb6zpxgck;f_mq76jpntl6jo4;f_nu4jutgkkvhha;f_qjiqlydpnafzk	postapical-cluster;short-vowel-apical	long-vowel-apical-control;nonapical-control;postapical-cluster;short-vowel-apical		entry
d1026	ō-nāy		dedr-reflex	4	2	0	Malayalam;Tamil	*ō-nāy	f_6s5rvlxxtsv6g	long-vowel-apical-control	long-vowel-apical-control		entry
d1027	ō		dedr-reflex	6	4	0	Malayalam;Tamil	*ō	f_a5hkaandy3ooc				entry
d1028	ōkaḷi		dedr-reflex	7	4	0	Kannada;Tulu	*ōkaḷi | *ōkuḷi	f_f5yeozui6w7uo;f_onsbbpjymonlg				entry
d1029	*ōṅkk-		krishnamurti-pfeiffer	35	30	6	Kannada;Malayalam;Tamil;Telugu;Tulu	*ōṅkk- | *ō(ŋ)kaL- | *ōŋkk	d1029;f_bffg2kr6tm4us;f_h67wn2nleolie		nonapical-control	ōkili | ōkarinta | ōkarincu | ōkilinta | ōkara | ōkilincu	entry
d103	aḍeyḷm		dedr-reflex	5	3	0	Kota;Tulu	*aḍḍagVl-	f_w6jkxrp3qi5cg	geminate-apical-control;postapical-cluster;short-vowel-apical	geminate-apical-control;postapical-cluster;short-vowel-apical		entry
d1030	ōrai		dedr-reflex	8	6	2	Kannada;Malayalam;OTelugu;Tamil;Telugu	*ōrai	f_ocuda7uln7olo	long-vowel-apical-control	long-vowel-apical-control	ōremu | ōgiramu	entry
d1031	ōgnā (ūgyas)		dedr-reflex	6	4	0	Kurux;Malto	*ōg-	f_c6pujja74aodg		nonapical-control		entry
d1032	o·garv- (o·gard-)		dedr-reflex	10	7	0	Kota;Toda;Tulu	*ōŋoṇuni | *ōŋgēruni	f_mikri2cx3fz7m;f_vijphh5gkabom				entry
d1033	ōŋku		dedr-reflex	19	17	0	Kannada;Kota;Malayalam;Tamil;Toda	*ōŋ-	f_i2co4ep2cceva				entry
d1034	ōcaram		dedr-reflex	8	6	2	Kannada;Tamil;Telugu	*ōcaram	f_czqorufu4v3ca			kōsaramu | kōsamu	entry
d1035	ōsā		dedr-reflex	4	2	0	Kurux;Malto	*ōs-	f_zmfbvsuwcayu6		nonapical-control		entry
d1036	ōcai		dedr-reflex	9	8	0	Kota;Malayalam;Tamil				nonapical-control		entry
d1037	ōspa (ōst-)		dedr-reflex	14	12	0	Kui;Kuwi	*ōǯ-	f_6o36k6tqosjqk		nonapical-control		entry
d1038	ōje		dedr-reflex	6	4	1	Kannada;Telugu	*ōǯ-	f_i432d6gdon2tu			ōja	entry
d1039	*ōḍ-		merriam-pdr	33	13	1	Gondi;Kannada;Malayalam;Parji;Tamil;Telugu;Tulu	*ōḍ-	d1039;f_5u5uoq72o77za	long-vowel-apical-control	long-vowel-apical-control;nonapical-control	ōḍa	entry
d104	aḍm ( aḍt-)		dedr-reflex	7	5	1	Badaga;Kannada;Kota;Telugu	*aḍḍa-	f_pgaqbme3lexde	geminate-apical-control;postapical-cluster;short-vowel-apical	geminate-apical-control;nonapical-control;postapical-cluster;short-vowel-apical	aḍḍuga	entry
d1040	ōṛā		dedr-reflex	5	3	0	Kurux	*ōṛ-ā	f_o66r5o7swjlpc	long-vowel-apical-control	long-vowel-apical-control;short-vowel-apical		entry
d1041	*ōṭu	to flee; defeat	krishnamurti-pfeiffer	60	56	11	Badaga;Gadaba;Gondi;Kannada;Kodagu;Kota;Kui;Malayalam;Tamil;Telugu;Toda;Tulu	*ōṭu | *ōḍ- | *ōṭṭ-am | *ōṭṭam	d1041;f_5g4u5rwxcyppu;f_bzrek4dio3bvw;f_eg4hw2ox6h562	long-vowel-apical-control	long-vowel-apical-control;nonapical-control;postapical-cluster;short-vowel-apical	ōṭa | ōrcu | ōṭāṟu | ōṭamu | ōḍu | ōḍigillu | ōṭami | ōḍincu | ōṭaṟu | ōṭu | oḍucu	entry
d1042	ōṭu ( ōṭṭ		dedr-reflex	22	20	1	Badaga;Kannada;Kodagu;Kota;Malayalam;Tamil;Telugu;Toda;Tulu	*ōḍ-	f_zewk4xo7nscss	long-vowel-apical-control	long-vowel-apical-control;nonapical-control;postapical-cluster;short-vowel-apical	ōḍu-billa	entry
d1043	ōṭai		dedr-reflex	26	24	0	Badaga;Kannada;Kodagu;Kota;Malayalam;Tamil;Toda;Tulu	*ōḍ-ai	f_5kdxouv6bhbcy	long-vowel-apical-control	geminate-apical-control;long-vowel-apical-control;nonapical-control;postapical-cluster;short-vowel-apical		entry
d1044	ōṭe		dedr-reflex	6	5	0	Kannada;Tulu				long-vowel-apical-control;postapical-cluster;short-vowel-apical		entry
d1045	ōṭai		dedr-reflex	3	2	0	Malayalam;Tamil				long-vowel-apical-control		entry
d1046	ōṇi		dedr-reflex	12	10	1	Badaga;Kannada;Kodagu;Malayalam;Telugu;Tulu	*ōṇ-i	f_huvu35ldujebi	long-vowel-apical-control	geminate-apical-control;long-vowel-apical-control;nonapical-control;postapical-cluster;short-vowel-apical	ōni-kaṭṭu	entry
d1047	*odd-		merriam-pdr	9	7	0	Kannada;Malayalam;Naiki;Tamil;Tulu	*odd-	d1047;f_ejgljoeez7e26	nonapical-control	nonapical-control		entry
d1048	ōda		dedr-reflex	5	3	1	Kannada;Telugu	*ōda-m	f_wn7ckik32tnvw			ōdamu	entry
d1049	ōti		dedr-reflex	3	2	0	Kodagu;Malayalam						entry
d105	aḍḍa		dedr-reflex	5	3	1	Konda;Kuwi;Telugu	*aḍ-a	f_on34ur25ogv74	short-vowel-apical	short-vowel-apical	aḍḍa	entry
d1050	ōti		dedr-reflex	5	4	0	Malayalam;Tamil						entry
d1051	*uj		merriam-pdr	6	4	0	Gadaba;Kurux;Parji	*uj	d1051;f_pxryzg2p3rpgs	nonapical-control	nonapical-control		entry
d1052	*ōtu	to recite, read	krishnamurti-pfeiffer	35	31	0	Badaga;Kannada;Kodagu;Kota;Malayalam;Tamil;Toda;Tulu	*ōtu | *ōṭu | *ōd-	d1052;f_2lshtbnvlxl4s;f_636juvbbw4ezi;f_osiychx74bjga	long-vowel-apical-control			entry
d1053	*ōntti	bloodsucker lizard	krishnamurti-pfeiffer	22	19	0	Badaga;Kannada;Kodagu;Malayalam;Malto;Tamil;Toda;Tulu	*ōntti | *ōnt-i	d1053;f_eu3wsjyngyq44;f_qdntreomz3usq	long-vowel-apical-control	long-vowel-apical-control;nonapical-control;postapical-cluster;short-vowel-apical		entry
d1054	ōmam		dedr-reflex	16	14	1	Badaga;Kannada;Malayalam;Tamil;Telugu;Tulu	*ōm-	f_qvqpmwxtpkoke		nonapical-control	ōmamu	entry
d1055	ōmal		dedr-reflex	3	2	0	Malayalam;Tamil						entry
d1056	ōmpu		dedr-reflex	10	8	1	Kannada;Malayalam;Tamil;Telugu;Tulu	*ōm-	f_7qncgkywqfflk			ōmu	entry
d1057	ōy		dedr-reflex	10	8	1	Malayalam;Tamil;Telugu	*ov-	f_b53aewnd55e64	nonapical-control	nonapical-control	ovvu	entry
d1058	ōy		dedr-reflex	6	5	2	Kannada;Tamil;Telugu;Tulu					ōyī | ōyi	entry
d1059	ōr		dedr-reflex	28	26	4	Kannada;Kota;Malayalam;Tamil;Telugu;Toda	*ōr-	f_taaoritl3ziea	long-vowel-apical-control	long-vowel-apical-control	rōyu | vārcu | ṟōyu | vārucu	entry
d106	aḍḍa		dedr-reflex	4	2	1	Konda;Telugu	*aḍ[ḍ]-a	f_537ggpgiv3aac	short-vowel-apical	short-vowel-apical	aḍḍa	entry
d1060	ōram		dedr-reflex	24	22	1	Badaga;Kannada;Konda;Kota;Malayalam;Tamil;Telugu	*ōr-	f_56b7ylq5yqg72	long-vowel-apical-control	geminate-apical-control;long-vowel-apical-control;nonapical-control;postapical-cluster;short-vowel-apical	ōra	entry
d1061	*ōr-		merriam-pdr	6	4	0	Gadaba;Malayalam;Tamil;Tulu	*ōr-	d1061;f_enql44amt6pdq	long-vowel-apical-control	long-vowel-apical-control		entry
d1062	vɨ·ry		dedr-reflex	45	43	5	Badaga;Kannada;Kodagu;Konda;Telugu;Toda;Tulu	*ōr-ai	f_snuzvlke4or6s	long-vowel-apical-control	geminate-apical-control;long-vowel-apical-control;nonapical-control;postapical-cluster;short-vowel-apical	ōragilu | ōrasilu | ōragincu | ōrasillu | ōra	entry
d1063	**ōr-		krishnamurti-pfeiffer	18	15	8	Kurux;Kuwi;Tamil;Telugu	**ōr- | *ōr- | **ōr	d1063;f_6ijpbfpvqbios;f_nm3huoct3nvlq	long-vowel-apical-control	long-vowel-apical-control;postapical-cluster;short-vowel-apical	ōrucu | ōrcu | ōrmi | ōrupari | ōrupu | ōpu | ōrpari | ōrpu	entry
d1064	*ōr- (?)		merriam-pdr	7	5	0	Kui;Kurux;Malto	*ōr- (?)	d1064;f_ciak7vzmu5w2o	long-vowel-apical-control	long-vowel-apical-control;nonapical-control;postapical-cluster;short-vowel-apical		entry
d1065	ōr		dedr-reflex	7	5	0	Kurux;Malto	*ōṛ	f_3wa7ohasylhqa	long-vowel-apical-control	long-vowel-apical-control;short-vowel-apical		entry
d1066	o·l- (o·lt-)		dedr-reflex	5	3	0	Kolami;Naikri	*ōl-	f_qi72lc2purvrm	long-vowel-apical-control	long-vowel-apical-control		entry
d1067	*ol-		merriam-pdr	6	4	0	Gadaba;Gondi	*ol-	d1067;f_godka25jphcfm	short-vowel-apical	long-vowel-apical-control;short-vowel-apical		entry
d1068	ōl-āḍu		dedr-reflex	5	3	2	Kannada;Telugu	*ōl-	f_qz47yndrzrtxm	long-vowel-apical-control	long-vowel-apical-control	ōlal-āḍu | ōl-āḍu	entry
d1069	ōlaṉ		dedr-reflex	5	4	0	Malayalam;Tamil				long-vowel-apical-control		entry
d107	*aḍr- (*-rl-)		merriam-pdr	7	5	0	Gondi;Kolami;Kui;Parji	*aḍr- (*-rl-)	d107;f_aa5hpdjru6p4s	postapical-cluster;short-vowel-apical	postapical-cluster;short-vowel-apical		entry
d1070	ōlai		dedr-reflex	28	26	0	Badaga;Kannada;Kodagu;Kota;Malayalam;Tamil;Toda;Tulu	*ōl-ai	f_w7z7cuormqxse	long-vowel-apical-control	long-vowel-apical-control;nonapical-control;postapical-cluster;short-vowel-apical		entry
d1071	ō		dedr-reflex	10	8	0	Kannada;Kodagu;Malayalam;Tamil	*ō[ḷ]-	f_paotqighrkmhq		long-vowel-apical-control		entry
d1072	ōṛ		dedr-reflex	5	3	0	Gadaba;Parji	*ōṛ-	f_2grzki4i4pemc	long-vowel-apical-control	long-vowel-apical-control		entry
d1073	*ōṛ-		merriam-pdr	8	6	0	Gadaba;Gondi;Konda;Parji	*ōṛ-	d1073;f_dgrgriussmo2e	long-vowel-apical-control	long-vowel-apical-control		entry
d1074	ōṟe		dedr-reflex	5	3	1	Kannada;Telugu	*ōr_-	f_xogspcyuphakg	long-vowel-apical-control	long-vowel-apical-control	ōru	entry
d1075	kakulāte		dedr-reflex	9	7	2	Badaga;Kannada;Telugu	*kakulat-	f_swadzz6ti5odm	nonapical-control	nonapical-control	kakkūṟiti | kakkuṟiti	entry
d1076	kakkaṭa		dedr-reflex	5	3	0	Kannada;Malayalam	*kakaḍ-ai	f_p73d33lgov42e	nonapical-control	nonapical-control;postapical-cluster;short-vowel-apical		entry
d1077	kakadg <i> ('our k.')		dedr-reflex	12	10	0	Badaga;Kota;Toda	*kak- (?)	f_tcd5rwcjtvcae	nonapical-control	nonapical-control;short-vowel-apical		entry
d1078	*kakar-		merriam-pdr	6	4	0	Gondi;Kolami;Parji	*kakar-	d1078;f_rm2br2gheusyg	nonapical-control	nonapical-control		entry
d1079	*kak-		merriam-pdr	50	48	4	Badaga;Gadaba;Gondi;Kannada;Kodagu;Konda;Kota;Kuwi;Malayalam;Malto;Manda;Pengo;Tamil;Telugu;Toda;Tulu	*kak-	d1079;f_qratb5odof3ym	nonapical-control	nonapical-control;postapical-cluster;short-vowel-apical	krakku | kakkũ-devulu | kakku | kakkuḍu	entry
d108	aḍrnā		dedr-reflex	5	3	0	Kurux;Malto	*aḍr-	f_poynv372prwn6	postapical-cluster;short-vowel-apical	postapical-cluster;short-vowel-apical		entry
d1080	kapka (&lt; kak-p-; kakt-)		dedr-reflex	9	7	0	Kui;Kuwi	*kak-	f_h3qarkvlnayiy	nonapical-control	nonapical-control		entry
d1081	kakke		dedr-reflex	7	5	0	Kannada;Tamil;Tulu	*kaḍk-ai	f_kxnnkp5olzu2u	postapical-cluster;short-vowel-apical	nonapical-control;short-vowel-apical		entry
d1082	xakkʰnā		dedr-reflex	5	3	0	Kurux;Malto	*qaq	f_zljsii3soe7xw		nonapical-control		entry
d1083	kaŋkaṇam		dedr-reflex	4	2	1	Tamil;Telugu	*Kaŋkaṇ-	f_xjfxgqcxwhk22			kaŋkaṇamu	entry
d1084	kaŋki		dedr-reflex	5	3	1	Kannada;Telugu	*kaŋk-	f_j53q5rbcacmkk			kaŋki	entry
d1085	kaŋku		dedr-reflex	3	2	0	Kota;Tamil				nonapical-control		entry
d1086	kacak		dedr-reflex	15	13	0	Gondi;Kannada;Kota;Tulu	*kacak-	f_mgxrupj36ky4i	nonapical-control	nonapical-control		entry
d1087	**kaccV-		krishnamurti-pfeiffer	11	8	0	Kurux;Malayalam;Tamil	**kaccV- | *Kas-aŋk- | **kaccV	d1087;f_mvuonelwkz2vu;f_xlkzv4fsvs6uc	nonapical-control	nonapical-control		entry
d1088	**kacV		krishnamurti-pfeiffer	54	52	3	Badaga;Kannada;Kota;Kurux;Malayalam;Malto;Pengo;Tamil;Telugu;Toda;Tulu	**kacV | *k̂ac-	d1088;f_fcejkwf5xd362	nonapical-control	nonapical-control;postapical-cluster;short-vowel-apical	gasi | kasaṭu | kasavu	entry
d1089	*kac-		merriam-pdr	40	38	11	Badaga;Gadaba;Kannada;Kota;Kui;Kurux;Kuwi;Malayalam;Parji;Tamil;Telugu;Tulu	*kac-	d1089;f_w7xkxehbxhcbk	nonapical-control	long-vowel-apical-control;nonapical-control	āḷincu | kasugu | kayyamu | kasi | gayy&lt | kisaru | gayāḷi | gayyāḷi | &gt | gay&lt | kasaru	entry
d109	*aḌ[Ḍ]- (?)		merriam-pdr	15	13	3	Gadaba;Kannada;Kolami;Naikri;Parji;Telugu	*aḌ[Ḍ]- (?)	d109;f_orlodfqeryeke	short-vowel-apical	geminate-apical-control;long-vowel-apical-control;postapical-cluster;short-vowel-apical	dappi | ḍappi | dappika	entry
d1090	kas- (-t-)		dedr-reflex	6	4	0	Konda;Kuwi;Pengo	*kah-	f_pqtbcgkmhm75g	nonapical-control	nonapical-control		entry
d1091	kacaṉai		dedr-reflex	9	7	0	Kannada;Kuwi;Tamil	*kas-	f_piwbiadkjs4je	nonapical-control	nonapical-control		entry
d1092	*kasur		merriam-pdr	5	3	0	Gondi	*kasur	d1092;f_e7hiaq2hkzk7k	nonapical-control	nonapical-control		entry
d1093	kaya		dedr-reflex	12	10	3	Kuwi;Malayalam;Pengo;Tamil;Telugu	*kaǯ- (?)	f_kveytbha2a2xq		nonapical-control	"Citrus bergamia </i> (cf. <i><xref=""dbia"">DBIA</xref=""dbia""></i> 229) | gaja | gaja nimma"	entry
d1094	kaccāṉ		dedr-reflex	4	2	0	Malayalam;Tamil	*Kac-	f_u3vlm6o66a2xs	nonapical-control	nonapical-control		entry
d1095	kaccitam		dedr-reflex	4	2	1	Tamil;Telugu	*Kacit-	f_iszcccbqlswsc	nonapical-control	nonapical-control	kaccitamu	entry
d1096	*kac-		merriam-pdr	12	10	0	Gondi;Kolami	*kac-	d1096;f_aymshfngimfhm	nonapical-control	nonapical-control		entry
d1097	**kaṯV-		krishnamurti-pfeiffer	37	34	0	Badaga;Gadaba;Gondi;Kannada;Kolami;Kui;Kurux;Kuwi;Malto;Manda;Parji;Pengo;Tamil;Toda;Tulu	**kaṯV- | *kac- | **kaṯV	d1097;f_wsvll5wnthfre;f_z2lzgvv4uefuk	nonapical-control;postapical-cluster;short-vowel-apical	nonapical-control;postapical-cluster;short-vowel-apical		entry
