turner	proto_headword	proto_accent_nucleus	proto_nuclei	source_glosses	palula	gil	koh	gur	Astor	dr	bro	source_rows	proto_entry	assessment_codes	historical_assessment	verification_scope
1288	ā́yāti	1	3	to come				oónu				gur:873	1288 ā́yāti 'comes near' RV. 2. āyāta- MBh. [√yā]	M	Modern infinitive versus OIA finite verb; inherently accented infinitive ending prevents direct comparison.	First-pass comparison; see family-notes.md for independently page-checked central examples
1869	útsa	1	2	spring (of water)	uts [spring (of water)]	uts	utsh	uts	uts			gil:630; koh:631; gur:632; Astor:633	1869 útsa m. 'spring of water' RV. 2. utsíya- (utsyà-) 'coming from a spring (of water)' AV. [√ud²].	U	Short monosyllables; inflection required to determine fixed versus mobile class.	First-pass comparison; see family-notes.md for independently page-checked central examples
1921	udaká	3	3	water	wíi [water]	wey	wói; wíi	vói	wói			gil:429; koh:430; koh:431; gur:432; Astor:433	1921 udaká n. 'water'. RV. 2. daka- n. Suśr., BHSk. [udán-: √ud²]	M	Substantial loss and glide/contraction history; old accented a does not survive as an independently identifiable vowel.	First-pass comparison; see family-notes.md for independently page-checked central examples
1929	udanyú	3	3	hungry		uyáno						gil:1068	1929 udanyú 'seeking water' RV. [udán-: √ud²]	M	Extended hungry adjective has medial accent; suffix and stem remodeling needed before testing udanyú.	First-pass comparison; see family-notes.md for independently page-checked central examples
2349	úraṇa	1	3	lamb		urán		urán	urán			gil:1384; gur:1385; Astor:1386	2349 úraṇa m. 'ram, sheep, young ram' ŚBr. [úrā-]	X	Final urán does not mechanically continue initial úraṇa. Check derivative formation and class before positing a retraction/advancement law.	First-pass comparison; see family-notes.md for independently page-checked central examples
2485	ḗkādaśa	1	4	eleven	akóoš [eleven]		akáai	akáai	akáai			koh:1016; gur:1017; Astor:1018	2485 ḗkādaśa¹ 'eleven' VS. [ḗka-, dáśa]	M	Teen compound contraction and numeral analogy; first-member OIA accent cannot be copied onto the resulting diphthong.	First-pass comparison; see family-notes.md for independently page-checked central examples
2563	ṓṣṭha	1	2	lip		óo~ṭo		óo~ṭi	óo~ṭ			gil:98; gur:99; Astor:100	2563 ṓṣṭha m. 'lip' RV.	R	Old accented long/diphthongal nucleus corresponds to early long accent; final gender vowels vary.	First-pass comparison; see family-notes.md for independently page-checked central examples
2574	ká	1	1	who? (m.); who? (f.); who? (pl.)		keé; keéi	koé		koí			koh:1296; Astor:1298; gil:1299; gil:1301	2574 ká², nom. sg. m. káḥ, f. kā́, n. kím q.v., gen. sg. m.n. kásya, inst. kḗna. In nom. m.f. largely replaced by kaḥ punar and kō'paraḥ.	M	Interrogative pronouns have added/contracted material and number/gender variation, not a bare reflex of ká.	First-pass comparison; see family-notes.md for independently page-checked central examples
2588	kákṣa	1	2	armpit				kácɨ̥		khiṅ	caṅ'khoṅ	gur:6; dr:7; bro:8	2588 kákṣa¹ m. 'armpit' RV., 'groin (?)' AV., kakṣā- f. 'armpit' Suśr. which despite EWA i 561 (correcting i 136) is to be distinguished from kakṣyāˋ- 'girdle'.	R	Initial accent compatible with kákṣa; cluster and final vowel history remain separate.	First-pass comparison; see family-notes.md for independently page-checked central examples
2589	kákṣa	1	2	grass/fodder	káac̣ [straw; hay]	kac̣	kac̣	kac̣				gil:810; koh:811; gur:812	2589 kákṣa² m. 'undergrowth' RV. (?), VS. 'dead wood' VS., 'grass' lex.	U;R	Short Shina citation forms uninformative; Palula early aa compatible with later closed-a lengthening.	First-pass comparison; see family-notes.md for independently page-checked central examples
2830	kárṇa	1	2	ear	káaṇ [ear]	koṇ	koṇ	koṇ	koṇ			gil:35; koh:36; gur:37; Astor:38	2830 kárṇa m. 'ear, handle of a vessel' RV., 'end, tip (?)' RV. ii 34, 3. [Cf. *kāra- ⁶]	U;D	Palula fixed ear versus Gilgiti mobile kon/konéṭ in Radloff as cited by Baart; do not infer class from short Shina kon alone.	First-pass comparison; see family-notes.md for independently page-checked central examples
2892	kárman	1	2	work	kráam [work; deed, behaviour]	kom	kom	krom	krom			gil:386; koh:387; gur:388; Astor:389	2892 kárman¹ n. 'act, work' RV. [√kr̥¹]	U;R	Palula B kram/kráama versus A kráam demonstrates accent-conditioned open then closed lengthening; Shina bare forms uninformative.	First-pass comparison; see family-notes.md for independently page-checked central examples
2993	kā́ka	1	2	crow	kóok [crow]			káa	káa			gur:677; Astor:678	2993 kā́ka m. 'crow' Mn., °kī- f. Pāṇ. [kākōla- m. 'raven' Mn., kākāla- m. Vet. Onom. cf. kākākr̥t- 'cawing' MBh. — In NIA. with various suffixes and partially onom. with -k- and -g-]	R	Early accent on old ā compatible with retention; Palula raising ā > oo and final consonant require separate history.	First-pass comparison; see family-notes.md for independently page-checked central examples
3023	kā́ṇḍa	1	2	arrow	kóoṇ [arrow]	kóoṇ	kóoṇ	kóoṇ	kóoṇ			gil:247; koh:248; gur:249; Astor:250	3023 kā́ṇḍa (kāṇḍá- TS.) m.n. 'single joint of a plant' AV., 'arrow' MBh., 'cluster, heap' (in tr̥ṇa-kāṇḍa- Pāṇ. Kāś.). [Poss. connexion with gaṇḍa-² makes prob. non-Aryan origin (not with P. Tedesco Language 22, 190 &lt; kr̥ntáti). Prob. ← Drav., cf. Tam. kaṇ 'joint of bamboo or sugarcane' EWA i 197]	R	Early long accent retained; ā-quality changes are separate from the position of accent.	First-pass comparison; see family-notes.md for independently page-checked central examples
3084	kālá	2	2	year	kaál [year]	kaál; sáal	kaál		sáal			gil:578; gil:581; koh:579; Astor:582	3084 kālá² m. 'time' AV., 'fixed point of time' ŚBr. 'fate, death' MBh.	A	Late kaál compatible with old final accent plus apocope. sáal is a separate Iranian comparison/loan, not another reflex of kālá.	First-pass comparison; see family-notes.md for independently page-checked central examples
3120	kāṣṭhá	2	2	wood		káaṭo	káaṭho	káaṭo	káaṭho			gil:381; koh:382; gur:383; Astor:384	3120 kāṣṭhá n. 'piece of wood' ŚBr., °ikā- f. 'small do.' Pañcat.	M	Extended wood forms have early root accent despite final OIA accent; cluster retention/aspiration and suffix history need control.	First-pass comparison; see family-notes.md for independently page-checked central examples
3241	kuṭṭáyati	2	4	to beat				kuṭyoónu	kuṭoónu			gur:857; Astor:858	3241 kuṭṭáyati 'crushes, grinds' AVPariś., 'pounds' VarBr̥S. 2. *kōṭṭayati. [√kuṭṭ]	M	Infinitives carry their own accent; compare full verbal paradigms rather than OIA causative finite form.	First-pass comparison; see family-notes.md for independently page-checked central examples
3451	kr̥ṣṇá	2	2	black	kriṣíṇu [black]	kíṇo	kíṇo	kíṇu	kíṇo			gil:990; koh:991; gur:992; Astor:993	3451 kr̥ṣṇá 'dark blue, black' RV., kŕ̥ṣṇaka- 'blackish' Pāṇ. 2. Nom. prop. esp. of the incarnation of Viṣṇu.	M	Accent on final root syllable before gender vowel; Palula epenthesis splits kṛṣṇ while main Shina reduces it.	First-pass comparison; see family-notes.md for independently page-checked central examples
3735	kṣḗtra	1	2	field	c̣híitr [field; (tilled) land]	c̣héec̣		c̣héec̣	c̣héec̣			gil:285; gur:286; Astor:287	3735 kṣḗtra n. 'land' RV. [√kṣi¹]	R	Early long root accent compatible with inherited kṣḗtra; r and affricate/retroflex history separate.	First-pass comparison; see family-notes.md for independently page-checked central examples
3781	kháṭvā	1	2	bed				khaṭ	khaṭ			gur:258; Astor:259	3781 kháṭvā f. 'bedstead' Kauś., °vākā- f. Pāṇ., °vikā- Kāś., khaṭṭā- f., °ṭaka- m. Apte. [Cf. khaṭṭi-, khaḍū-¹, khāṭa- m., °ṭā, °ṭĭ̄-, °ṭikā- f. 'bier' lex. and Pa. khaṭōpikā- f. 'bed']	U	Short monosyllables cannot test mora position or noun-class retention.	First-pass comparison; see family-notes.md for independently page-checked central examples
3792	khaṇḍá	2	2	mountain	kháaṇ [mountain; mountain pass; Lowari Pass]	khaṇ	khoṇ; khaṇ	khoṇ				gil:611; koh:612; koh:613; gur:614	3792 khaṇḍá¹ 'broken, crippled' VarBr̥S., 'having gaps or chasms' Suśr., m.n. 'fragment' R., °ḍaka-¹ 'having no nails' lex., °ḍikā- f. Pān. [Cf. 'defective' words listed s.v. baṇḍá-. — √khaṇḍ]	U;X	Palula kháaṇ violates unrestricted aspirated-onset late lengthening. Alternative skandhá also has late OIA accent; etymology swap alone does not solve it.	First-pass comparison; see family-notes.md for independently page-checked central examples
3832	kharvá	2	2	left (direction)		khábo	khábooto	khái	kháau			gil:1074; koh:1075; gur:1077; Astor:1078	3832 kharvá (RV. ákharva-) 'mutilated, imperfect' TS., 'dwarfish' lex., khárvaka- AV., khalvāṭa- 'bald' Bhartr̥. ['Defective' word, cf. *karva- beside Av. kaurva- 'bald' ('short' H. W. Bailey BSOS vi 598 ff.), Pers. karve 'decayed teeth' ← Sogd. krw- W. B. Henning BSOS x 96. EWA i 304 rejects non-IE. origin, but if they are connected with kárvati, khárvati, gárvati 'is haughty' Dhātup., there is the characteristic interchange of initial in such words.]	M	Root-final accent before extended ending; dialects show different loss/contraction of v and final material.	First-pass comparison; see family-notes.md for independently page-checked central examples
3865	khā́dati	1	3	to eat	khóo [to eat]	khoók	khoón	khoónu	khoónu			gil:889; koh:890; gur:891; Astor:892	3865 khā́dati 'chews, bites' RV., 'eats' ŚBr. 2. Pp. khāditá- ŚBr. 3. Caus. khādayati Mn. 4. Pass. khādyatē Mr̥cch. [√khād]	M	Infinitive accent is suffixal; modern imperative/perfective comparison needed. Kohistani khy- perfective is probably analogical to drink.	First-pass comparison; see family-notes.md for independently page-checked central examples
4336	gōṣṭhá	2	2	house	ghoóṣṭ [house, home]	góoṭ	góoṣ	góoṣ	goóṣ			gil:314; koh:315; gur:316; Astor:317	4336 gōṣṭhá m. 'cow-house' RV., 'meeting place' MBh. 2. *gōstha-. [gṓ-, stha-]	S;D	2008 tables reverse Gilgit/Astor readings. Independent Gilgit goóṭ supported; Kohistani and Guresi fixed góoṣ genuinely differ from Palula mobile ghoóṣṭ.	First-pass comparison; see family-notes.md for independently page-checked central examples
4368	grā́ma	1	2	village	ghróom [village; permanent settlement (in contrast with sóon 'summer pasture'); Ashret proper, also atshareét xaás]				giróom			Astor:379	4368 grā́ma m. 'troop, village' RV., °aka- m. MBh.	R	Old accented ā corresponds to early oo. Astori epenthesis does not displace accent from inherited root vowel.	First-pass comparison; see family-notes.md for independently page-checked central examples
4501	ghr̥tá	2	2	ghee	ghiíṛ [ghee; semi-liquid butter (used for cooking)]	gií	gií	gií	gií			gil:297; koh:298; gur:299; Astor:300	4501 ghr̥tá n. 'fluid grease, clarified butter or ghee' RV. [√ghr̥¹]	A;M	Late gií compatible with loss/coalescence following old final accent; Palula retains a different extended consonantal formation.	First-pass comparison; see family-notes.md for independently page-checked central examples
4655	catvā́raḥ	2	3	four	čúur [four]	cáar	cáar	cáar	cáar			gil:1036; koh:1037; gur:1038; Astor:1039	4655 catvā́raḥ m. pl. 'four' RV. 2. catvā́ri n. pl. 3. catúraḥ m. acc. pl. [catur-]	R	Accent continues the old accented long ā after initial-syllable and cluster reduction; modern first syllable is not the OIA first syllable.	First-pass comparison; see family-notes.md for independently page-checked central examples
4701	cárman	1	2	skin		com	com	com	com			gil:123; koh:124; gur:125; Astor:126	4701 cárman n. 'hide, skin' RV.	U	Short monosyllables; noun inflection needed.	First-pass comparison; see family-notes.md for independently page-checked central examples
5110	jantú	2	2	snake	ǰhanduraá [snake]	jon	judraá	jon	jon			gil:761; gur:762; Astor:763; koh:764	5110 jantú m. 'offspring, creature, man' RV., 'any animal of lowest order, insect, worm' Mn. 2. *jantī-. [√jan]	M	Simple versus extended snake nouns not equivalent accent tests; judraá/ǰhanduraá have additional derivational material.	First-pass comparison; see family-notes.md for independently page-checked central examples
5198	jā́mātr̥	1	3	son-in-law	ǰhaamatroó [son-in-law; daughter's husband]	jamac̣oó	jamc̣ó	jaməc̣óo	jamac̣óo			gil:235; koh:236; gur:237; Astor:238	5198 jā́mātr̥ m. 'daughter's husband' RV. 2. *jāmātra-, °aka-.	M;D	Final accent in remodeled masculine forms. Gilgit/Palula late oo versus Guresi/Astori early oo and Kohistani short ó; do not posit uniform contour.	First-pass comparison; see family-notes.md for independently page-checked central examples
5228	jihvā́	2	2	tongue	ǰip [tongue]	jib	jip	jip	jip			gil:139; koh:140; gur:141; Astor:142	5228 jihvā́ f. 'tongue' RV. 2. juhū́- f. RV.	U;D	Citation short throughout. Kohistani ǰip/ǰíba fixed versus Palula ǰip/ǰipí mobile supplies real class divergence.	First-pass comparison; see family-notes.md for independently page-checked central examples
5301	jyṓtsnā	1	2	moon	yúun [moon; month]	yúun	yúun	yúun	yúun			gil:404; koh:405; gur:406; Astor:407	5301 jyṓtsnā f. 'moonlit night' TBr., 'moonlight' MBh. 2. *yōtsnā- (dissimilated from *dyōtsnā- ?).	R;S	2008 early yúun compatible with old jyṓtsnā; Ahmed 2016 Gurezi juún has late accent. Source/locality distinction required.	First-pass comparison; see family-notes.md for independently page-checked central examples
5637	taṇḍulá	3	3	rice (paddy)			talúuṇ					koh:1417	5637 taṇḍulá m. 'grain, esp. rice, after threshing and winnowing' AV. [Perh. of similar non-Aryan (Drav. Bloch BSOS v 737 or, less probably, Austro-as. S.K. Chatterji ZII ix 32) as *cāmala- cf. esp. forms in K. B. Si.]	M	Metathesis and extension in talúuṇ; cannot align accents by syllable number alone.	First-pass comparison; see family-notes.md for independently page-checked central examples
5679	taptá	2	2	hot	táatu [hot]	taáto	táto	tátu	tátto			gil:1060; koh:1061; gur:1062; Astor:1063	5679 taptá 'heated, hot' RV. [√tap]	M;D	Hot: Gilgit taáto, Kohistani táto, Guresi tátu, Astori tátto, Palula táatu. Test distinct geminate reduction/lengthening after morphological root-accent assignment.	First-pass comparison; see family-notes.md for independently page-checked central examples
5806	tiktá	2	2	bitter		c̣íṭo	cíṭo	cíṭu	c̣íṭo			gil:986; koh:987; gur:988; Astor:989	5806 tiktá 'pungent, bitter' MBh., tiktaka- R. [√tij]	M	Root accent in extended adjective; short vowel after cluster simplification opposes universal compensatory lengthening.	First-pass comparison; see family-notes.md for independently page-checked central examples
5839	tīkṣṇá	2	2	sharp	tíiṇu [sharp]	tíino	tíiṇo	tíiṇu	tíiṇo			gil:1129; koh:1130; gur:1131; Astor:1132	5839 tīkṣṇá 'sharp' RV., 'hot, pungent' MBh. 2. *trīkṣṇa- 'sharp', Tibetan-Sanskrit Dictionary of Dīrghāyu Indrajina folio 98 a 3 has trīkṣṇaṁ = rnaba 'sharp' (H. W. Bailey): prob. X tr̥ṣṭá- (AO xix 95 tīkṣṇá- &gt; *tīkṣra- &gt; *trīkṣa-). [√tij]	M	Early root accent in extended adjective, with old ī retained. Late OIA accent does not survive mechanically.	First-pass comparison; see family-notes.md for independently page-checked central examples
5889	tuvám	2	2	you (sg.)	tu [you (2sg nom subject or direct object)]	tu	tu					gil:1303; koh:1305	5889 tuvám (metr.), tvám 'thou'. 2. Acc. tuvā́m (metr.), tvā́m. 3. Inst. tvā́ 4. Gen. táva. 5. Dat. túbhya{m} RV.	U	Short monosyllabic pronoun; paradigm and enclisis needed.	First-pass comparison; see family-notes.md for independently page-checked central examples
5994	tráyaḥ	1	2	three	tróo [three]	c̣ée	c̣ée		c̣ée			gil:1162; koh:1163; Astor:1165	5994 tráyaḥ nom. m. 'three' RV. 2. *trāyaḥ cf. Av. θrāyō NTS xii 131. 3. trī́ṇi nom. acc. n. RV. 4. trīṇā́m gen. m. n. [tri-]	R;M	Initial accent compatible with retention, but diphthong/contracted endings and different Palula vowel require reconstruction.	First-pass comparison; see family-notes.md for independently page-checked central examples
6119	dákṣiṇa	1	3	right (direction)	deec̣híṇu [right]	dac̣híno	dac̣híṇo	dac̣íṇu	daṣínu			gil:1112; koh:1114; gur:1115; Astor:1116	6119 dákṣiṇa 'right (hand)' RV., 'southern' AV. [√dakṣ]	M	Final-root-syllable accent shared against initial dákṣiṇa. Strong evidence for formation-specific resetting, not arbitrary lexical retraction.	First-pass comparison; see family-notes.md for independently page-checked central examples
6152	dánta	1	2	tooth	dáand [tooth]	don	don	don	don			gil:143; koh:144; gur:145; Astor:146	6152 dánta m. 'tooth' RV. [dánt- RV.]	U;R	Kohistani don/dódi fixed supports old initial accent; Palula dáand fixed. Other short citation forms alone are uninformative.	First-pass comparison; see family-notes.md for independently page-checked central examples
6227	dáśa	1	2	ten	dáaš [ten]	day	dáai	dái	dái			gil:1149; koh:1150; gur:1151; Astor:1152	6227 dáśa 'ten' RV.	R;M	Initial accent compatible with retention through loss/contraction; individual Shina forms have diphthongs rather than a uniform long monophthong.	First-pass comparison; see family-notes.md for independently page-checked central examples
6260	dā́tra	1	2	sickle					dáli			Astor:366	6260 dā́tra² n. 'knife, sickle' RV. 2. *dātrī- of which dāti- f. Gal. is MIA. form. [Northern word Pat. MBhāṣ. i 9, 27 which may account for NW forms in H. and Brj. — √dō]	M	Early accent compatible, but Astori dáli has shortened root and feminine morphology to explain.	First-pass comparison; see family-notes.md for independently page-checked central examples
6273	dāntá	2	2	bull				dóonu				gur:659	6273 dāntá 'tamed' TBr., m. 'tamed ox' Rājat. [√dam]	M	Bull adjective/noun has extended masculine formation and root accent; not direct retention of dāntá.	First-pass comparison; see family-notes.md for independently page-checked central examples
6333	divasá	3	3	day	deés [day; point in time]	déez	deés	dées	déez			gil:448; koh:449; gur:450; Astor:451	6333 divasá m. 'heaven' TBr., 'day' MBh. [√div¹]	D	Kohistani/Palula late versus Gilgit/Guresi/Astori early. Independent Gilgit dictionary supports early. Paradigms must explain the split.	First-pass comparison; see family-notes.md for independently page-checked central examples
6368	dīrghá	2	2	long	dhrígu [long, tall]	j̣ígo	ẓígo	j̣ígu				gil:1079; koh:1080; gur:1081	6368 dīrghá 'long, tall, deep' RV. [~ *draṅgha-¹]	M	Early root accent before gender vowel despite final OIA accent; old length is shortened in closed/cluster history before the observed forms.	First-pass comparison; see family-notes.md for independently page-checked central examples
6391	dugdhá	2	2	milk		dut	dut	dut	dut			gil:339; koh:340; gur:341; Astor:342	6391 dugdhá n. 'milk' AV. [√duh]	U	Short monosyllables conceal accent class; cluster reduction did not uniformly leave long vowels.	First-pass comparison; see family-notes.md for independently page-checked central examples
6481	duhitŕ̥	3	3	daughter	dhií [daughter]	dií	dií	dií	diíh			gil:165; koh:166; gur:167; Astor:168	6481 duhitŕ̥ f. 'daughter' RV.	A;M	Late daughter vowels are compatible with accent preservation after contraction/loss, but old kinship inflection must be reconstructed.	First-pass comparison; see family-notes.md for independently page-checked central examples
6495	dūrá	2	2	far	dhúura [far away; away]	duúr	dúur	dúur	dúur			gil:1344; koh:1345; gur:1346; Astor:1347	6495 dūrá 'distant' RV., n. 'distance' ŚBr., dūrám, dūrḗ adv. 'far away' RV. [~ *dūna-². — √du³]	D;M	Gilgit late duúr versus early other Shina and Palula dhúura. Formation and analogy needed; aspiration cannot distinguish these Shina forms.	First-pass comparison; see family-notes.md for independently page-checked central examples
6658	dvā́daśa	1	3	twelve	bóoš [twelve]	báay	báai	báai	báai			gil:1171; koh:1172; gur:1173; Astor:1174	6658 dvā́daśa 'twelve' RV. 2. duvā́daśa RV.	R;M	Old first-member accent compatible after compound contraction; vowel qualities and loss of daśa differ by branch.	First-pass comparison; see family-notes.md for independently page-checked central examples
6849	dhūmá	2	2	smoke	dhuumíi [smoke, fume]	duúm	duúm	duúm	duúm			gil:367; koh:368; gur:369; Astor:370	6849 dhūmá m. 'smoke, vapour, mist' RV. 2. dhūmikā- f. 'smoke' Kathās., 'fog' lex., or *dhūmiyā-, dhūmyā- f. 'thick cloud of smoke' Mālatīm.	A	Late duúm compatible with final-accent apocope; Palula dhuumíi is a separate suffixed formation.	First-pass comparison; see family-notes.md for independently page-checked central examples
6906	ná	1	1	not	na [not; don't]		na					koh:1217	6906 ná 'not' RV.	U	Unaccented negation in connected speech is not a lexical noun-accent test.	First-pass comparison; see family-notes.md for independently page-checked central examples
6920	nakhará	3	3	fingernail		nóoro	núuro	nóor	nóor			gil:58; koh:59; gur:60; Astor:61	6920 nakhará 'shaped like a claw' ŚBr., m.n. 'claw' Pañcat., 'nail-scratch' Cat. [nakhá-]	M	Extended nail nouns with early root accent; loss of internal kh and vowel contraction precede modern forms.	First-pass comparison; see family-notes.md for independently page-checked central examples
6983	náva	1	2	new	náawu [new]	naáwo	nóo~	náa~	náu~			gil:1088; koh:1089; gur:1090; Astor:1091	6983 náva¹ 'new, young' RV., navaka-¹ Vās.	D;M	Gilgit naáwo has late accent against early/shorter related forms. Do not infer its late aa directly from náva; contraction and analogical class require checking.	First-pass comparison; see family-notes.md for independently page-checked central examples
6984	náva	1	2	nine	núu [nine]	naw		náu	náu			gil:1092; gur:1094; Astor:1095	6984 náva² 'nine' RV.	R;M	Old initial accent compatible; glide and diphthong outcomes differ.	First-pass comparison; see family-notes.md for independently page-checked central examples
7067	nā́man	1	2	name	nóo [name]	nóom	núum	nóom	nóom			gil:218; koh:219; gur:220; Astor:221	7067 nā́man n. 'name' RV.	R	Early long accent consistently compatible with nā́man; Palula m > w and final w loss affect segmental shape.	First-pass comparison; see family-notes.md for independently page-checked central examples
7200	nidrā́	2	2	sleep	níindra [sleep]	nir						gil:1433	7200 nidrā́ f. 'sleep' RV. [√drai]	U;X	Shina nir needs paradigm. Palula níindra differs from nidrā́; Dybo considers pre-Vedic accent, but this requires independent comparative evidence.	First-pass comparison; see family-notes.md for independently page-checked central examples
7563	nī́la	1	2	green	níilu [green, blue]	níilo	níilo	níilu	níilu			gil:1056; koh:1057; gur:1058; Astor:1059	7563 nī́la 'dark blue, dark green, black' RV., nīlaka- lex. 2. nī́la- n. 'blue substance' ŚBr., 'indigo' Yājñ.	R	Early accent on retained old ī compatible with inheritance before gender suffix.	First-pass comparison; see family-notes.md for independently page-checked central examples
7627	pakṣá	2	2	feather				páṭu				gur:693	7627 pakṣá m. 'wing, feather, fin, shoulder, side' RV., 'side of a building' AV., 'party, troop' MBh., pákṣas- n. 'side' RV., 'side of door' VS., pakṣaka- m. 'side' Śiś., 'fan' Gal.	M	Root-accented extended feather noun; same CC history controls quantity, not OIA accent alone.	First-pass comparison; see family-notes.md for independently page-checked central examples
7655	páñca	1	2	five	páanǰ [five]	poš	poš	po~š	po~š			gil:1028; koh:1029; gur:1030; Astor:1031	7655 páñca 'five'.	U;R	Shina short forms uninformative; Palula early aa compatible with accented short-a lengthening after cluster history.	First-pass comparison; see family-notes.md for independently page-checked central examples
7662	páñcadaśa	1	4	fifteen	panǰíiš [fifteen]	panzéy						gil:1024	7662 páñcadaśa 'fifteen' RV.	M	Compound restructuring/teen-series analogy; modern final accent not direct continuation of first-member páñca.	First-pass comparison; see family-notes.md for independently page-checked central examples
7733	páttra	1	2	leaf		páṭo	páṭho	páṭu	páṭo			gil:814; koh:815; gur:816; Astor:817	7733 páttra n. 'wing-feather' VS., 'wing' (in cmpd.) RV., 'leaf, petal' KātyŚr., 'leaf of book' Kāv., °traka- m.n. lex., °trikā- f. Kāv. [&lt; earlier pátra- Wackernagel AiGr ii 2, 855. — See also paṭṭa-¹. — √pat]	R	Initial accent compatible, with short vowel after cluster simplification; counterexample to universal compensation after any CC loss.	First-pass comparison; see family-notes.md for independently page-checked central examples
7785	pánthā	1	2	path	páand [path, road]	pon	pon	pon	pon			gil:344; koh:345; gur:346; Astor:347	7785 pánthā m. 'path, road' RV.	U;R	Palula fixed páand supports old accent; bare Shina pon requires inflection.	First-pass comparison; see family-notes.md for independently page-checked central examples
