Chart	View	Row	Category	Family_ID	Evidence_or_Formation_IDs
inputs	All following-vowel classes	Vowel-initial, short vowel + single apical	Retained, no displacement	d524	f_6fmhwsrps47ig;f_b37yzbbfqmmco;f_bwwlsnbq6lnci;f_csfruyzxt6je2;f_d4afpd47y6ut4;f_deuynngiiwcx2;f_j3nw42kexnnbg;f_j6mdttckswdkk;f_qvuudidf5tso4
inputs	All following-vowel classes	Vowel-initial, short vowel + single apical	Displaced and retained	d527	f_fsguringnvhhk;f_z55xejz2iehee
inputs	All following-vowel classes	Vowel-initial, short vowel + single apical	Retained, no displacement	d528	f_xmnwq5lqtgvb2
inputs	All following-vowel classes	Vowel-initial, short vowel + single apical	Retained, no displacement	d529	f_bqtfy7oba67j2
inputs	All following-vowel classes	Vowel-initial, short vowel + single apical	Retained, no displacement	d586	f_lsxcxuxy6apxe;f_w2ece5qyc2e7e
inputs	All following-vowel classes	Vowel-initial, short vowel + single apical	Retained, no displacement	d587	f_cv4l4xl2sicn4
inputs	All following-vowel classes	Vowel-initial, short vowel + single apical	Retained, no displacement	d588	f_5ja3bgpoxf62u;f_bk5cw7r3ife5i;f_kc3glohvnk7ca;f_owiwczrlvn5pc
inputs	All following-vowel classes	Vowel-initial, short vowel + single apical	Retained, no displacement	d589	f_3r3fxwgnacwjg
inputs	All following-vowel classes	Vowel-initial, short vowel + single apical	Retained, no displacement	d590	f_x5c3k2wku5yqy
inputs	All following-vowel classes	Vowel-initial, short vowel + single apical	Retained, no displacement	d592	f_goj7itue33zqu
inputs	All following-vowel classes	Vowel-initial, short vowel + single apical	Retained, no displacement	d593	f_5wpnj765xtkhq;f_eofl3optqhdr2;f_gv4pqg7pjdjkw;f_rwap2pbzy6ybk;f_xodkexw77s47k
inputs	All following-vowel classes	Vowel-initial, short vowel + single apical	Retained, no displacement	d61	f_3q5xbq5rhq75c;f_nhqmog2x777im
inputs	All following-vowel classes	Vowel-initial, short vowel + single apical	Displaced and retained	d63	f_4b2n5ptvxwd5w;f_6rdekkcsrmxj4;f_7dpiziz3womlk;f_ba2xhgycj3vys;f_ccljx3athxqva;f_i77nwvutqgc7i;f_jyl2im2bylpky;f_sp7jg6ayxkr4m
inputs	All following-vowel classes	Vowel-initial, short vowel + single apical	Retained, no displacement	d64+d88	f_26rtmygv6su5a;f_i3kdjtgtub5tq;f_khhlvdoxcql3g;f_oe5gof547efpk;f_olnrtertjnd6q;f_rbxef5qs3fuus;f_zjn6k7u4v6agu
inputs	All following-vowel classes	Vowel-initial, short vowel + single apical	Displaced and retained	d648	f_7kukhkrndkqic;f_g3tocbxdksz7e;f_ina7tj47g6g5u;f_ntcvqb2qsscau;f_xohvrljyei7kq;f_zluumdebjzs2w
inputs	All following-vowel classes	Vowel-initial, short vowel + single apical	Other only	d649	f_teoc5iq7k6tf4
inputs	All following-vowel classes	Vowel-initial, short vowel + single apical	Displaced, no retention	d651	f_m3vyg4md2asvu;f_x4pwvek6ghyki
inputs	All following-vowel classes	Vowel-initial, short vowel + single apical	Retained, no displacement	d655	f_3r5oc7xu3ahcc;f_jhzhaevacxxww;f_sq7aeyugs6u76;f_zdasvedrt4k3a
inputs	All following-vowel classes	Vowel-initial, short vowel + single apical	Retained, no displacement	d656	f_2hgugtyusmuwo;f_bpadk2esrwkr2;f_c3fwzy2cn42us;f_h55dkvhqhdzry;f_hjaubujdrspwa;f_lodlpfjq7lqpu
inputs	All following-vowel classes	Vowel-initial, short vowel + single apical	Uncertain (with or without other)	d657	f_bbonyqwjlvy5c;f_voikotwaja7cg
inputs	All following-vowel classes	Vowel-initial, short vowel + single apical	Retained, no displacement	d658	f_2ivdrlkat7ilm
inputs	All following-vowel classes	Vowel-initial, short vowel + single apical	Other only	d661	f_blqakidyr2tns
inputs	All following-vowel classes	Vowel-initial, short vowel + single apical	Other only	d663	f_mj3yuxik2x4uu
inputs	All following-vowel classes	Vowel-initial, short vowel + single apical	Retained, no displacement	d664	f_2s4q2f6gxixo2;f_4cojh5wziuzao;f_7j45i7plicrwm;f_k2ix3adnipdwm;f_le6iryukb4h7y;f_mhhhpmvyrmfee;f_shnqvq5xosxj2;f_spe53lu2hkoya
inputs	All following-vowel classes	Vowel-initial, short vowel + single apical	Displaced and retained	d665	f_2phvv346pd5yg;f_af7bdsrd3aslg;f_by57fgmyly4gw;f_eyb7yifzmw6ug;f_khc2ieubs6xdk;f_mi74tsrybn3k6;f_q64arbjsvuxda;f_relhjannylmyi;f_tjibk3ef3bpdi;f_v2xdao7jpfhcy
inputs	All following-vowel classes	Vowel-initial, short vowel + single apical	Missing	d672	
inputs	All following-vowel classes	Vowel-initial, short vowel + single apical	Retained, no displacement	d675	f_5wpjnmlg6y63k;f_jrobnf5jpsttg
inputs	All following-vowel classes	Vowel-initial, short vowel + single apical	Displaced, no retention	d686+d689	f_3bcttth6tqdk2;f_gmahf4mq2t44a;f_w3pngkzhkqi3a
inputs	All following-vowel classes	Vowel-initial, short vowel + single apical	Displaced, no retention	d688	f_232xjhmdnpfs2;f_tm7iqnx5wiskm;f_zsdykfen5jepc
inputs	All following-vowel classes	Vowel-initial, short vowel + single apical	Other only	d690	f_2r47wx7v3nbls
inputs	All following-vowel classes	Vowel-initial, short vowel + single apical	Displaced, no retention	d692	f_6sktwdc2utfhk
inputs	All following-vowel classes	Vowel-initial, short vowel + single apical	Uncertain (with or without other)	d693	f_eb4gjdkkm7pci
inputs	All following-vowel classes	Vowel-initial, short vowel + single apical	Displaced, no retention	d694	f_gyfzg7pv2m4qm
inputs	All following-vowel classes	Vowel-initial, short vowel + single apical	Other only	d696	f_3p6pepgeykxd4
inputs	All following-vowel classes	Vowel-initial, short vowel + single apical	Other only	d697	f_ladqv5cmlr4gs;f_luxwptyfsoemc;f_yf7k4kfglyfho;f_yldu2gmhldv62
inputs	All following-vowel classes	Vowel-initial, short vowel + single apical	Retained, no displacement	d699	f_ke4wojrfnts4y
inputs	All following-vowel classes	Vowel-initial, short vowel + single apical	Uncertain (with or without other)	d700	f_fmkgx3vhc4qd6
inputs	All following-vowel classes	Vowel-initial, short vowel + single apical	Missing	d706	
inputs	All following-vowel classes	Vowel-initial, short vowel + single apical	Retained, no displacement	d707	f_4lrrh5sysmbaa;f_5fj6qtdtju6xe;f_g4vwq7xocssey;f_glk66zoi3e65e;f_s7e2u6npdcr2o;f_tcefbsplmv4pq
inputs	All following-vowel classes	Vowel-initial, short vowel + single apical	Missing	d709	
inputs	All following-vowel classes	Vowel-initial, short vowel + single apical	Retained, no displacement	d710	f_4av2ms6lwyqty;f_65acleguslgay;f_7isn6r6pljtow;f_ldvu3pr4pwzcw;f_t4sb7hycuaoik
inputs	All following-vowel classes	Vowel-initial, short vowel + single apical	Retained, no displacement	d711	f_ca534ltqmfwo6;f_cyoevd764dk2u;f_dnn33giav3qzw;f_jdgr7qsuxpimu;f_kd4v7jyz4vxw6;f_ochgvs5twkhwi
inputs	All following-vowel classes	Vowel-initial, short vowel + single apical	Retained, no displacement	d712	f_gah7ot7yis7jq
inputs	All following-vowel classes	Vowel-initial, short vowel + single apical	Retained, no displacement	d713	f_az3wknfz7npy6;f_ecemj6qng7zpi;f_osyqtz3oqjv76
inputs	All following-vowel classes	Vowel-initial, short vowel + single apical	Missing	d715	
inputs	All following-vowel classes	Vowel-initial, short vowel + single apical	Displaced and retained	d718	f_3ffh7wgvhadic;f_fckpbufr66zpc;f_g76hbf3iffdzo;f_i46ewddu6kt6g;f_ipbf4hkx7c43c;f_logfsgdkjo6uo;f_pq2gjbkidkrvu
inputs	All following-vowel classes	Vowel-initial, short vowel + single apical	Displaced and retained	d719	f_e7abshb3nhkpi;f_h3bx2a4tsypaq;f_k7gr7lb4dodvu;f_sedlhsgn3kjj2;f_ulsqwhjqi2svo;f_ux2bkuaww4mxo;f_yfgjji5rlntdc
inputs	All following-vowel classes	Vowel-initial, short vowel + single apical	Retained, no displacement	d72	f_a57tvmje7sedi;f_b6gtt7wm2j7f4
inputs	All following-vowel classes	Vowel-initial, short vowel + single apical	Retained, no displacement	d721	f_56xmjpxzdc3x6;f_gnqqri3j5i2yg;f_xptnm7a7derlm
inputs	All following-vowel classes	Vowel-initial, short vowel + single apical	Retained, no displacement	d723	f_e75tavhhlk77e;f_i2dwveankx4ls
inputs	All following-vowel classes	Vowel-initial, short vowel + single apical	Retained, no displacement	d75	f_npdkiu6aup6ci
inputs	All following-vowel classes	Vowel-initial, short vowel + single apical	Retained, no displacement	d76	f_2y6vxshlckupi;f_km5iruujn6hz2;f_np5uvaetesff2;f_oaicvmfv6cppq
inputs	All following-vowel classes	Vowel-initial, short vowel + single apical	Displaced and retained	d77	f_5om2wvp6x5pcu;f_6ekcbbq2hx3i2;f_e5iah74rikmqu;f_evtufgngj723g;f_gyswcvqfxkoiu;f_vamndeveceg4i;f_yclhpsvgoowz6;f_yu3lxrlzvmafs
inputs	All following-vowel classes	Vowel-initial, short vowel + single apical	Retained, no displacement	d78	f_uozmojogquqli
inputs	All following-vowel classes	Vowel-initial, short vowel + single apical	Displaced and retained	d79	f_52de2l2gjglkq;f_6ud64zlrr5o3a;f_k4y6jfdltdh4y;f_nfiovvrlffkag;f_q4h3lpx6xi6ow;f_xcacbitxwveko;f_yq3xcphvgf2xs
inputs	All following-vowel classes	Vowel-initial, short vowel + single apical	Retained, no displacement	d80	f_z3onimgv2kbbe
inputs	All following-vowel classes	Vowel-initial, short vowel + single apical	Missing	d800	
inputs	All following-vowel classes	Vowel-initial, short vowel + single apical	Retained, no displacement	d81	f_ssqxolnzzhyuq
inputs	All following-vowel classes	Vowel-initial, short vowel + single apical	Retained, no displacement	d810	f_osp2lo5tvwr5u;f_rclhwxuq75stm;f_sj2e7vsrzx6q4
inputs	All following-vowel classes	Vowel-initial, short vowel + single apical	Retained, no displacement	d811	f_2vsv7dvqhpkvu;f_ax6ztffa6joom;f_ezkyngizg5giq;f_j5tkwwu2evtic;f_myiblmusv7756;f_rl7tvwmzyic7m;f_stpcytabwbgog
inputs	All following-vowel classes	Vowel-initial, short vowel + single apical	Retained, no displacement	d813	f_7e56wf3pykgom;f_zzgxlrml5enc4
inputs	All following-vowel classes	Vowel-initial, short vowel + single apical	Uncertain (with or without other)	d815	f_dtrefvpzqofz2;f_dxjywspcepx3i;f_l22r7hinig6im;f_nf2wl3ei555jc
inputs	All following-vowel classes	Vowel-initial, short vowel + single apical	Other only	d816	f_4wroeao7kgh3e;f_5swcwm6qxh7ey;f_p2srcauxc7uhs;f_tkvb7mcvk6xhm;f_wmldojmoqalqc
inputs	All following-vowel classes	Vowel-initial, short vowel + single apical	Displaced, no retention	d817	f_mnzrj7d6cou2g;f_nwwdms524xmne
inputs	All following-vowel classes	Vowel-initial, short vowel + single apical	Displaced, no retention	d820	f_fibnppczkk74s;f_n5gtgqy7thqgm
inputs	All following-vowel classes	Vowel-initial, short vowel + single apical	Retained, no displacement	d822	f_peetpu2vnvrws;f_rtred35nura4k
inputs	All following-vowel classes	Vowel-initial, short vowel + single apical	Retained, no displacement	d829	f_mb5xayq5lsqug
inputs	All following-vowel classes	Vowel-initial, short vowel + single apical	Retained, no displacement	d832	f_afciguott7odm;f_cy5hsivdgrchw;f_ieqnxrxtxqxye;f_oflbxn2nkbgtw;f_ukoolapkenz2k
inputs	All following-vowel classes	Vowel-initial, short vowel + single apical	Retained, no displacement	d833	f_5b5jmzobxktbu;f_642cs5fkle5i6;f_6i6arn5e34tpg
inputs	All following-vowel classes	Vowel-initial, short vowel + single apical	Retained, no displacement	d835	f_56em7didg4bju;f_ab6lm7r5llvp6;f_nwio2mrrkmqd2;f_nx6iz2xeasndm
inputs	All following-vowel classes	Vowel-initial, short vowel + single apical	Missing	d837	
inputs	All following-vowel classes	Vowel-initial, short vowel + single apical	Uncertain (with or without other)	d839	f_5neiivqvt4e5c;f_kafnsi6vvzrp4;f_op2pyu4jfwqj6;f_rszipo6ny3znq
inputs	All following-vowel classes	Vowel-initial, short vowel + single apical	Retained, no displacement	d84	f_3u3em7cpbm3ps;f_6dwdgnqq73qeq;f_eynm7a23m67ps;f_p63j66pzb5y4w;f_qlr7ichhhihvy;f_udy2vnaz6nh2i
inputs	All following-vowel classes	Vowel-initial, short vowel + single apical	Retained, no displacement	d857	f_47z5t4h23suxg;f_c4aalaqdu6o32
inputs	All following-vowel classes	Vowel-initial, short vowel + single apical	Displaced, no retention	d86	f_6lm5yuchfts6k;f_fwhhaejmlon5s;f_od5d6qhvd3ncw;f_tveuktoelmakq;f_xo7olulbxcnbo
inputs	All following-vowel classes	Vowel-initial, short vowel + single apical	Retained, no displacement	d89	f_vusva7tdjpzmw
inputs	All following-vowel classes	Vowel-initial, short vowel + single apical	Retained, no displacement	d944	f_xonljylst26m6
inputs	All following-vowel classes	Vowel-initial, short vowel + single apical	Retained, no displacement	d947	f_cgnu6ylmljwls;f_wzr5zbjqbykfu
inputs	All following-vowel classes	Vowel-initial, short vowel + single apical	Retained, no displacement	d949	f_zdnudiw5vkyhk
inputs	All following-vowel classes	Vowel-initial, short vowel + single apical	Retained, no displacement	d950	f_hhssj6t2t7jlq;f_m6lm7i263q2q6
inputs	All following-vowel classes	Vowel-initial, short vowel + single apical	Displaced and retained	d954	f_a3mddc5yszinm;f_bxc3olasvi4re;f_dv6pb243m7mq2;f_er2aspxshysro;f_ladcd3ubww5gw;f_y4jcm65lcerzy
inputs	All following-vowel classes	Vowel-initial, short vowel + single apical	Retained, no displacement	d967	f_3736hcruaccac
inputs	All following-vowel classes	Consonant-initial, short vowel + single r/ẓ	Displaced and retained	d1287	f_g36apaatcn5zk;f_kdmnbvdga7mv2
inputs	All following-vowel classes	Consonant-initial, short vowel + single r/ẓ	Displaced, no retention	d1291	f_iisnwj7yl53wq;f_pofjweny2dmxm
inputs	All following-vowel classes	Consonant-initial, short vowel + single r/ẓ	Displaced and retained	d1292	f_5gwnxam7vnqwu;f_6izbed5d6rws6;f_ezgquf3fctkxi;f_grhexalqobqte;f_pwigqj3wf4cyi;f_xkyq4cpz52abe
inputs	All following-vowel classes	Consonant-initial, short vowel + single r/ẓ	Displaced, no retention	d1347	f_pu6o6irnx6zf2;f_xrgs6g6gqjumu
inputs	All following-vowel classes	Consonant-initial, short vowel + single r/ẓ	Displaced, no retention	d1349	f_52ktuc4bcwtqq;f_a7huamixn3ge4;f_g2emb2ud5fcbw
inputs	All following-vowel classes	Consonant-initial, short vowel + single r/ẓ	Displaced, no retention	d1359	f_6hi2bvq3t5k2o;f_loq3jelndwedg
