family_id	formation_basis	documented_input_alternative	analysis	unresolved
5206	lover/friend, old a-stem person noun	0	Gilgit ǰaár has late long accent and the old friend/lover meaning, matching final-accent apocope. Older yār forms may instead reflect the Iranian friend word or contamination; their initial consonant and donor history need separate treatment. A late contour in the inherited-looking ǰ- form is a useful apocope datum, while isolated j/y are fragments.	Distinguish inherited ǰār from Iranian yār and any mixed forms before counting the family.
5958	oil, old neuter a-stem substance noun	0	Degener teél and Buddruss's explicitly rare teél match final-accent apocope after ai-to-ee monophthongization. Buddruss's usual téel is early in the same entry. This is stronger evidence of actual lexical variation than a discrepancy between independently compiled dictionaries, because both alignments are printed as alternatives by one source. Kundal tɛ̄l is unmarked.	Investigate whether frequency, speaker, inflection or contact predicts the early variant; retain the usual/rare distinction in counts.
6547	village/region, old a-stem place noun; retained as a possible counterexample	0	Palula díiš/Biori déeš is fixed and early, against final-accented dēśá. Ashret raising proves that root accent was already early before the early-ee-to-ii change, so a late post-raising retraction is not enough. Liljegren explicitly identifies this as an unexplained earlier shift. An analogical relationship to another fixed village/place noun is possible, but requires independent evidence.	Retain as a diagnostic early retraction/formation residual; neither short-vowel lengthening nor aspiration explains it.
6849	smoke, old a-stem substance noun	0	Shina duúm is consistently late long in the major modern sources, matching loss of final accented a after old long ū. Palula dhuumíi instead has an accented final feminine/derived ending and cannot be scored as a different contour on the simple smoke stem. Kundal dùmā̂ contains both low and contour notation in another formation, requiring original-source decoding.	Keep simple and feminine smoke nouns separate; the derivative's final accent is not a failure of the simple apocope rule.
9072	ploughshare, old a-stem implement noun	0	Ashret phóol, Biori pháal and Gilgit pháal agree on early accent on the old long root. The Ashret/Biori vowel correspondence gives independent evidence for early-accented ā raising in Ashret. Initial aspiration does not force late accent when the vowel was already long, distinguishing this class from later lengthening of old short a in aspirated closed monosyllables. Sauji phal supplies cognacy but no comparable contour.	Check inflected cells as a control on fixed versus mobile noun accent.
9108	foam/steam, old a-stem substance noun; related senses kept distinct in the dossier	0	Strand phʹîṇ ‘foam’ has early accent, whereas Liljegren phiíṇ ‘steam, vapour’ is late. Both have the raised vowel expected from an earlier early-accented ē stage, so the late modern form may involve subsequent reaccentuation or a semantic/lexical split. The two senses are related but must not be silently merged into one contradictory token or resolved by averaging sources.	Inspect each paradigm and speaker/dialect information to distinguish lexical split, variation and transcription disagreement.
9216	child, independently attested nominal use of the old a-stem adjective	0	Gilgit and Kohistani baál ‘child’ show late accent on the preserved old long root after loss of final accented a. Independent Gilgit sources agree. This is a clean counterpart to early long-root barytones and does not require postulating newly created vowel length or a surviving accent-bearing suffix. The wider family's bālaka and feminine forms should remain separate formations.	Confirm mobility in the noun paradigm and add cognates in languages where the concept is lexically replaced.
9250	seed, old neuter a-stem noun	0	Palula and all four Schmidt Shina dialects bíi retain early accent on the inherited long root after intervocalic j and final a disappear. This provides a particularly clean early-accent control because old ī does not undergo the ā-to-oo raising that complicates many western examples. Hultman's Kalkoti bii is explicitly toneless, a meaningful contrast requiring a separate tonal analysis rather than treating its missing acute as missing data.	Hultman2023Table9p16's explicitly toneless seed record is linked and coded0-explicit. The remaining task is a complete nominal-mobility comparison; Brokskat seedbii is unmarked in print and does not provide the same tonal evidence.
9459	load/burden, old a-stem noun; short bhara alternative separately documented	1	Gilgit baár fits the old long-root oxytone class directly. Palula bháaru has an unaccented ending and early root prominence, but its unraised aa is unexpected if it directly continued early-retracted old ā. The same word is linked by Strand to short-root bhára, which could acquire new length after extension and after the old raising change. This alternative is motivated by segmental chronology and an attested base, not merely by the desired accent.	Test both inputs against morphology and Biori/Sauji evidence; retain the proposed short-base derivation as tentative rather than a database correction.
9982	flesh, old neuter a-stem mass noun; old consonant-stem maas is a separate alternative	1	Palula mhaás and Gilgit/Kohistani/Guresi moós consistently have late accent on the old long root after loss of final accented a. Secondary aspiration and nasal developments differ across branches while the contour agrees. This provides a clean late-accent comparison against early-accented mā́sa ‘month’; the independently recorded contracted old mā́s must remain an alternative formation rather than silently replace the principal input.	Inspect paradigms and explain why Kalkoti meat lacks the low tone associated with some other aspirated Palula cognates.
10042	nest, old a-stem dwelling noun with semantic specialization	0	Palula móoṇ ‘nest’ has early accent and raised oo, compatible with inherited early long ā. The semantic change from dwelling to an animal's dwelling is straightforward; the older spider-web sense also refers to a constructed habitation. The retroflex nasal still requires its regular segmental context to be documented, but accent and vowel quality jointly support the inherited-root analysis.	Inspect inflection and distinguish this family from other māna homonyms and Iranian house terms.
10104	month, old a-stem time noun	0	Gilgit máaz and Kohistani/Guresi/Astori móos have early accent on inherited long ā. This contrasts directly with late moós ‘flesh’ from māṁsá in several of the same dialects. The month/flesh pair isolates inherited accent more closely than comparisons drawn from unrelated modern vowel qualities, although the old nasal and resulting segmental histories must still be retained in the table.	Add independent Gilgit dictionary tokens and noun paradigms; preserve the distinct early máaz vowel quality rather than normalizing it to moos.
10234	urine, old neuter a-stem mass noun	0	Palula múutr preserves early accent on inherited long ū with tr retained. Kundal mutrā̂̃ and Sauji mutre add vocalic material whose grammatical or derivational status must be established before comparing accent position. The Palula form is a clean retention example, while the other languages provide segmental cognacy without a straightforward shared citation cell.	Determine Kundal's final nasal vowel notation and the case/number of Sauji mutre.
11572	hair, old a-stem body-material noun	0	Palula bóolu/Biori búulu and Shina báal/báalo/báali preserve early prominence on the old long root, with different gender or unit endings. The Kohistani báal ‘hair’ versus baál ‘child’ is a particularly clear modern contrast corresponding to vā́la versus bālá. Kalkoti baál is explicitly high-rising in Liljegren 2013 Tables 12–13, a different outcome plausibly associated with loss of the unaccented final vowel found in Palula bóolu.	Compare the exact source cells and test final-vowel-loss conditioning across the complete Kalkoti set; distinguish hair units from hair-rope derivatives.
11591	lodging, old a-stem residence noun	0	Gilgit baás ‘night's lodging, residence’ has late accent on inherited long ā after final accented a is lost. This cleanly joins baál, baár and other old-long-root oxytones, without extra modern derivational material. The older bazí inflection suggests possible mobility that should be confirmed directly rather than inferred from the late citation alone.	Read the complete residence paradigm and retain the short historical spellings as source-specific quantity evidence.
12497	head, old neuter a-stem body-part noun	0	Palula, Gilgit and Kohistani ṣiṣ are short, while Guresi/Astori ṣiíṣ retain a late long vowel compatible with the old oxytone. This demonstrates that inherited accent and later shortening must be modeled separately: a short form does not refute late alignment in the long-vowel branches. Ear-of-corn and fir-cone records contain additional endings and specialized senses, not identical head-noun cells.	Kalkoti headṣiṣ is explicitly toneless in Hultman2023Table9p16 and has been linked and coded accordingly; the2013 high-level contour is recorded separately. Mobile versus fixed paradigms and the environment of old long-vowel shortening remain the historical questions.
12575	labor pain, old a-stem pain noun with narrowed sense	0	Gilgit šúul ‘labor pains’ preserves early accent on the old long root. The old family independently includes sharp pain and colic, so the specialized childbirth sense does not require a new derivational input. This is a clean retention example with no added modern ending or newly created root length.	Inspect plural or collective usage and the full inflection to confirm that the citation is a comparable lexical cell.
12619	ashes, old a-stem heat noun with semantic specialization	1	Kohistani šóo ‘ashes’ has early accent on inherited long ō after k and final a disappear, compatible with the early-accented heat noun. The old source also records an oxytone adjective ‘hot’, so semantic/category evidence should select the nominal input rather than ignoring that variation. The meaning change from heat/fire-related material to ashes remains plausible but should be checked against regional ash words.	Read the original etymological comparison and noun paradigm, retaining the competing old accent as a sensitivity case.
13561	thread, old neuter a-stem implement/material noun	0	Palula súutr preserves early accent on inherited long ū while retaining tr. It is a clean counterpart to late-contracted needle suú in Shina and an early-root control with minimal vowel-quality ambiguity. The independently attested sūtraka need not be invoked for a consonant-final modern noun without further morphological evidence.	Inspect nominal mobility and search for tone-aware cognates in other Shinaic languages.
