item	gloss	nom_singular	nom_plural	obl_singular	obl_plural	input_formation	observed_pattern	source	table	page	db_gloss_candidate_ids	analysis
11	ring (thumb-ring)	aṅgüüṭhí / aṅgüǘṭh	aṅguuṭhíi	aṅguuṭhíi	aṅguuṭhíin	feminine-ii-with-truncated-nominative	final-short-i-or-root-R; umlaut	Rehman and Baart, draft 9 January 2004	11	11	[]	Explicit author classification; normalizing font glyphs to Unicode does not change the printed accent position. Matching DB IDs are gloss candidates only and are not new ancestry assignments. Full feminine forms independently demonstrate the lost/shortened accented ii; fronting is a segmental trace of that ending. This is stronger evidence for truncation than the isolated nominative tone.
12	ring	wɛɛǰí	waaǰíi	waaǰíi	waaǰíin	feminine-ii-with-truncated-nominative	final-short-i; umlaut	Rehman and Baart, draft 9 January 2004	11	11	[]	Explicit author classification; normalizing font glyphs to Unicode does not change the printed accent position. Matching DB IDs are gloss candidates only and are not new ancestry assignments. Full feminine forms independently demonstrate the lost/shortened accented ii; fronting is a segmental trace of that ending. This is stronger evidence for truncation than the isolated nominative tone.
13	pillar	thuún	thuuníi	thuuníi	thuuníin	feminine-ii-with-truncated-nominative	root-R	Rehman and Baart, draft 9 January 2004	11	11	[]	Explicit author classification; normalizing font glyphs to Unicode does not change the printed accent position. Matching DB IDs are gloss candidates only and are not new ancestry assignments. Full feminine forms independently demonstrate the lost/shortened accented ii; fronting is a segmental trace of that ending. This is stronger evidence for truncation than the isolated nominative tone.
14	lamp	bɛtí / bɛ̀t	batíi	batíi	batíin	feminine-ii-with-truncated-nominative	final-short-i-or-short-root-Low; umlaut	Rehman and Baart, draft 9 January 2004	11	11	[]	Explicit author classification; normalizing font glyphs to Unicode does not change the printed accent position. Matching DB IDs are gloss candidates only and are not new ancestry assignments. Full feminine forms independently demonstrate the lost/shortened accented ii; fronting is a segmental trace of that ending. This is stronger evidence for truncation than the isolated nominative tone.
15	river	nad	nadíi	nadíi	nadíin	feminine-ii-with-truncated-nominative	short-root-unmarked/post-accented	Rehman and Baart, draft 9 January 2004	11	11	"[""f_ox3x5fu2qduy4""]"	Explicit author classification; normalizing font glyphs to Unicode does not change the printed accent position. Matching DB IDs are gloss candidates only and are not new ancestry assignments. Full feminine forms independently demonstrate the lost/shortened accented ii; fronting is a segmental trace of that ending. This is stronger evidence for truncation than the isolated nominative tone.
16	chair	kürsí	kursíi	kursíi	kursíin	feminine-ii-with-truncated-nominative	final-short-i; umlaut	Rehman and Baart, draft 9 January 2004	11	11	[]	Explicit author classification; normalizing font glyphs to Unicode does not change the printed accent position. Matching DB IDs are gloss candidates only and are not new ancestry assignments. Full feminine forms independently demonstrate the lost/shortened accented ii; fronting is a segmental trace of that ending. This is stronger evidence for truncation than the isolated nominative tone.
17	button	ṭax	ṭax	ṭàx	ṭaxán	post-accenting-noun-origin-unexplained	non-R-stem; suffix-accented-oblique-plural	Rehman and Baart, draft 9 January 2004	12	12	[]	Explicit author classification; normalizing font glyphs to Unicode does not change the printed accent position. Matching DB IDs are gloss candidates only and are not new ancestry assignments. The authors explicitly leave this class unexplained. Ox and shoe have long roots, refuting a blanket short-stem explanation. A floating accent describes the paradigm but does not establish its historical source.
18	face	mukh	mux	mùx	muxɔ́n	post-accenting-noun-origin-unexplained	non-R-stem; suffix-accented-oblique-plural	Rehman and Baart, draft 9 January 2004	12	12	[]	Explicit author classification; normalizing font glyphs to Unicode does not change the printed accent position. Matching DB IDs are gloss candidates only and are not new ancestry assignments. The authors explicitly leave this class unexplained. Ox and shoe have long roots, refuting a blanket short-stem explanation. A floating accent describes the paradigm but does not establish its historical source.
19	plough	hal	hal	hàl	halán	post-accenting-noun-origin-unexplained	non-R-stem; suffix-accented-oblique-plural	Rehman and Baart, draft 9 January 2004	12	12	[]	Explicit author classification; normalizing font glyphs to Unicode does not change the printed accent position. Matching DB IDs are gloss candidates only and are not new ancestry assignments. The authors explicitly leave this class unexplained. Ox and shoe have long roots, refuting a blanket short-stem explanation. A floating accent describes the paradigm but does not establish its historical source.
20	ox	daan	daan	dàan	daanán	post-accenting-noun-origin-unexplained	non-R-LONG-stem; suffix-accented-oblique-plural	Rehman and Baart, draft 9 January 2004	12	12	[]	Explicit author classification; normalizing font glyphs to Unicode does not change the printed accent position. Matching DB IDs are gloss candidates only and are not new ancestry assignments. The authors explicitly leave this class unexplained. Ox and shoe have long roots, refuting a blanket short-stem explanation. A floating accent describes the paradigm but does not establish its historical source.
21	shoe	buuṭ	buuṭ	bùuṭ	buuṭɔ́n	post-accenting-noun-origin-unexplained	non-R-LONG-stem; suffix-accented-oblique-plural	Rehman and Baart, draft 9 January 2004	12	12	[]	Explicit author classification; normalizing font glyphs to Unicode does not change the printed accent position. Matching DB IDs are gloss candidates only and are not new ancestry assignments. The authors explicitly leave this class unexplained. Ox and shoe have long roots, refuting a blanket short-stem explanation. A floating accent describes the paradigm but does not establish its historical source.
