input_class	language	all_families	eligible_families	outcome_family_counts	note
old-long-barytone	Kalk	12	10	"{""0-explicit"": 1, ""H1@-1"": 1, ""H2@-1"": 2, ""Low"": 2, ""P-high-rising"": 1, ""P-high-rising@-1"": 1, ""P-low-level"": 1, ""unmarked"": 6}"	Outcome counts overlap when one family has multiple dialect/source/cell outcomes; not independent token votes.
old-long-barytone	Kund	11	11	"{""F@-1"": 2, ""unmarked"": 9}"	Outcome counts overlap when one family has multiple dialect/source/cell outcomes; not independent token votes.
old-long-barytone	bro	15	13	"{""stress-marked@-2"": 4, ""unmarked"": 9}"	Outcome counts overlap when one family has multiple dialect/source/cell outcomes; not independent token votes.
old-long-barytone	Ush	15	15	"{""stress-marked@-1"": 1, ""stress-marked@-2"": 3, ""unmarked"": 12}"	Outcome counts overlap when one family has multiple dialect/source/cell outcomes; not independent token votes.
old-long-oxytone	Sh	72	67	"{""E@-1"": 7, ""E@-2"": 8, ""F"": 3, ""F@-2"": 2, ""L@-1"": 18, ""LR@-1"": 8, ""R@-1"": 8, ""S@-1"": 2, ""S@-2"": 5, ""short-monosyllable"": 3, ""stress-marked@-1"": 9, ""stress-marked@-2"": 7, ""syllable-marked@-1"": 6, ""syllable-marked@-2"": 4, ""unmarked"": 61}"	Outcome counts overlap when one family has multiple dialect/source/cell outcomes; not independent token votes.
old-long-oxytone	Phal	43	40	"{""E@-1"": 7, ""E@-2"": 8, ""L@-1"": 13, ""S@-1"": 7, ""S@-2"": 3, ""short-monosyllable"": 4, ""syllable-marked@-1"": 6, ""syllable-marked@-2"": 5, ""unmarked"": 27}"	Outcome counts overlap when one family has multiple dialect/source/cell outcomes; not independent token votes.
old-long-oxytone	Sv	15	13	"{""syllable-marked@-1"": 1, ""syllable-marked@-2"": 1, ""unmarked"": 11}"	Outcome counts overlap when one family has multiple dialect/source/cell outcomes; not independent token votes.
old-long-oxytone	Kalk	14	14	"{""0-explicit"": 1, ""H1@-1"": 1, ""Hshort@-1"": 1, ""Low"": 1, ""Low+H2@-1"": 1, ""P-high-falling"": 2, ""P-high-level"": 1, ""P-high-rising"": 2, ""P-low-level"": 1, ""P-low-rising"": 1, ""unmarked"": 7}"	Outcome counts overlap when one family has multiple dialect/source/cell outcomes; not independent token votes.
old-long-oxytone	Kund	11	10	"{""F@-1"": 1, ""R@-1"": 2, ""unmarked"": 7}"	Outcome counts overlap when one family has multiple dialect/source/cell outcomes; not independent token votes.
old-long-oxytone	bro	13	11	"{""stress-marked@-1"": 1, ""stress-marked@-2"": 2, ""unmarked"": 8}"	Outcome counts overlap when one family has multiple dialect/source/cell outcomes; not independent token votes.
old-long-oxytone	Ush	17	15	"{""stress-marked@-1"": 1, ""stress-marked@-2"": 4, ""unmarked"": 10}"	Outcome counts overlap when one family has multiple dialect/source/cell outcomes; not independent token votes.
old-short-barytone	Sh	83	80	"{""E@-1"": 8, ""E@-2"": 3, ""F"": 2, ""L@-1"": 4, ""L@-2"": 4, ""LR@-1"": 1, ""R@-1"": 1, ""S@-1"": 3, ""S@-2"": 13, ""S@-3"": 1, ""short-monosyllable"": 29, ""stress-marked@-1"": 8, ""stress-marked@-2"": 13, ""syllable-marked@-1"": 8, ""syllable-marked@-2"": 5, ""unmarked"": 69}"	Outcome counts overlap when one family has multiple dialect/source/cell outcomes; not independent token votes.
old-short-barytone	Phal	52	50	"{""E@-1"": 23, ""E@-2"": 13, ""L@-1"": 6, ""L@-2"": 1, ""S@-1"": 5, ""S@-2"": 4, ""short-monosyllable"": 14, ""syllable-marked@-1"": 3, ""syllable-marked@-2"": 5, ""unmarked"": 37}"	Outcome counts overlap when one family has multiple dialect/source/cell outcomes; not independent token votes.
old-short-barytone	Sv	26	23	"{""syllable-marked@-1"": 3, ""syllable-marked@-3"": 1, ""unmarked"": 21}"	Outcome counts overlap when one family has multiple dialect/source/cell outcomes; not independent token votes.
old-short-barytone	Kalk	19	17	"{""0-explicit"": 1, ""Hshort@-2"": 1, ""Low"": 1, ""P-high-level"": 4, ""unmarked"": 15}"	Outcome counts overlap when one family has multiple dialect/source/cell outcomes; not independent token votes.
old-short-barytone	Kund	19	19	"{""F@-1"": 1, ""H-marked"": 1, ""unmarked"": 17}"	Outcome counts overlap when one family has multiple dialect/source/cell outcomes; not independent token votes.
old-short-barytone	bro	23	20	"{""stress-marked@-1"": 6, ""stress-marked@-2"": 3, ""unmarked"": 13}"	Outcome counts overlap when one family has multiple dialect/source/cell outcomes; not independent token votes.
old-short-barytone	Ush	24	21	"{""stress-marked@-1"": 1, ""stress-marked@-2"": 8, ""unmarked"": 12}"	Outcome counts overlap when one family has multiple dialect/source/cell outcomes; not independent token votes.
old-short-oxytone	Sh	122	116	"{""E@-1"": 7, ""E@-2"": 3, ""F@-2"": 1, ""L@-1"": 5, ""L@-2"": 4, ""R@-2"": 3, ""S@-1"": 7, ""S@-2"": 18, ""S@-3"": 1, ""short-monosyllable"": 33, ""stress-marked"": 1, ""stress-marked@-1"": 9, ""stress-marked@-2"": 16, ""syllable-marked@-1"": 11, ""syllable-marked@-2"": 8, ""unmarked"": 101}"	Outcome counts overlap when one family has multiple dialect/source/cell outcomes; not independent token votes.
old-short-oxytone	Phal	75	75	"{""E@-1"": 16, ""E@-2"": 21, ""L@-1"": 12, ""L@-2"": 3, ""S@-1"": 12, ""S@-2"": 7, ""short-monosyllable"": 21, ""syllable-marked@-1"": 5, ""syllable-marked@-2"": 7, ""unmarked"": 51}"	Outcome counts overlap when one family has multiple dialect/source/cell outcomes; not independent token votes.
old-short-oxytone	Sv	43	37	"{""syllable-marked@-1"": 4, ""syllable-marked@-3"": 1, ""unmarked"": 35}"	Outcome counts overlap when one family has multiple dialect/source/cell outcomes; not independent token votes.
old-short-oxytone	Kalk	18	18	"{""Hshort@-1"": 1, ""Low"": 1, ""P-high-falling"": 1, ""P-low-level"": 2, ""unmarked"": 16}"	Outcome counts overlap when one family has multiple dialect/source/cell outcomes; not independent token votes.
old-short-oxytone	Kund	17	17	"{""H-marked"": 1, ""unmarked"": 16}"	Outcome counts overlap when one family has multiple dialect/source/cell outcomes; not independent token votes.
old-short-oxytone	bro	23	22	"{""multiple-stress"": 1, ""stress-marked@-1"": 2, ""stress-marked@-2"": 4, ""unmarked"": 15}"	Outcome counts overlap when one family has multiple dialect/source/cell outcomes; not independent token votes.
old-short-oxytone	Ush	27	21	"{""stress-marked@-2"": 5, ""stress-marked@-3"": 1, ""unmarked"": 15}"	Outcome counts overlap when one family has multiple dialect/source/cell outcomes; not independent token votes.
other-accented-formation	Sh	294	214	"{""E@-1"": 23, ""E@-2"": 13, ""F"": 4, ""F@-1"": 1, ""F@-2"": 3, ""L@-1"": 18, ""L@-2"": 12, ""LR@-1"": 5, ""R@-1"": 4, ""S@-1"": 10, ""S@-2"": 17, ""short-monosyllable"": 14, ""stress-marked@-1"": 20, ""stress-marked@-2"": 29, ""syllable-marked@-1"": 15, ""syllable-marked@-2"": 19, ""unmarked"": 179}"	Outcome counts overlap when one family has multiple dialect/source/cell outcomes; not independent token votes.
other-accented-formation	Phal	161	155	"{""E@-1"": 48, ""E@-2"": 40, ""L@-1"": 17, ""L@-2"": 2, ""S@-1"": 17, ""S@-2"": 23, ""marked-contour-needs-reading@-1"": 1, ""short-monosyllable"": 6, ""syllable-marked@-1"": 35, ""syllable-marked@-2"": 18, ""unmarked"": 84}"	Outcome counts overlap when one family has multiple dialect/source/cell outcomes; not independent token votes.
other-accented-formation	Sv	67	50	"{""syllable-marked@-1"": 14, ""syllable-marked@-2"": 1, ""unmarked"": 41}"	Outcome counts overlap when one family has multiple dialect/source/cell outcomes; not independent token votes.
other-accented-formation	Kalk	56	53	"{""0-explicit"": 2, ""H1@-1"": 2, ""H2@-1"": 13, ""Hshort@-2"": 1, ""Low"": 5, ""P-low-level"": 1, ""unmarked"": 43}"	Outcome counts overlap when one family has multiple dialect/source/cell outcomes; not independent token votes.
other-accented-formation	Kund	42	42	"{""F@-1"": 5, ""F@-2"": 1, ""H-marked"": 4, ""R@-1"": 4, ""unmarked"": 29}"	Outcome counts overlap when one family has multiple dialect/source/cell outcomes; not independent token votes.
other-accented-formation	bro	37	33	"{""stress-marked@-1"": 6, ""stress-marked@-2"": 11, ""unmarked"": 17}"	Outcome counts overlap when one family has multiple dialect/source/cell outcomes; not independent token votes.
other-accented-formation	Ush	49	44	"{""stress-marked@-1"": 6, ""stress-marked@-2"": 20, ""stress-marked@-3"": 1, ""unmarked"": 17}"	Outcome counts overlap when one family has multiple dialect/source/cell outcomes; not independent token votes.
