ledger_id	source_table	source_row	family_id	record_id	language	status	explanation	unresolved	full_evidence
R011	old-long-screen-residuals.tsv	12	6495		Sh	conflicting	Gilgit duúr is late, compatible with final-accent apocope, whereas Kohistani/Guresi/Astori dúur is early. Palula dhúura retains a final vowel and early root prominence; its adverbial formation may therefore differ. The other Shina dialects remain early even with consonant-final citations, so retained modern endings alone do not explain the whole split. Kalkoti dùúr adds an independent L from aspiration history.	Test adjective versus adverb formation and inflection across dialects; aspiration cannot distinguish the main Shina early/late forms.	"{""test"": ""old-long-oxytone"", ""language"": ""Sh"", ""family_id"": ""6495"", ""expected"": ""L"", ""observed"": ""[\""E\"", \""L\""]"", ""status"": ""conflicting"", ""forms"": ""[\""duúr [gil;degener-shina2008]\"", \""duúr [gil;schmidt]\"", \""dúur [Astor;schmidt]\"", \""dúur [gur;schmidt]\"", \""dúur [koh;schmidt]\""]"", ""explanation"": ""Gilgit duúr is late, compatible with final-accent apocope, whereas Kohistani/Guresi/Astori dúur is early. Palula dhúura retains a final vowel and early root prominence; its adverbial formation may therefore differ. The other Shina dialects remain early even with consonant-final citations, so retained modern endings alone do not explain the whole split. Kalkoti dùúr adds an independent L from aspiration history."", ""unresolved"": ""Test adjective versus adverb formation and inflection across dialects; aspiration cannot distinguish the main Shina early/late forms.""}"
R012	old-long-screen-residuals.tsv	13	10016		Sh	conflicting	Gilgit and Kohistani maá~ have late long-root accent compatible with the old oxytone, while Guresi máa~ is early. Buddruss also gives early Gilgit máa~, conflicting with Schmidt and Degener within the same named dialect. Mother is an irregular kinship noun with possessive and address forms, so cell alignment must precede an explanation, but the source conflict remains real until those cells are demonstrated to differ.	Read the complete mother entries and possessive paradigms; do not force Buddruss into agreement by majority vote.	"{""test"": ""old-long-oxytone"", ""language"": ""Sh"", ""family_id"": ""10016"", ""expected"": ""L"", ""observed"": ""[\""E\"", \""L\""]"", ""status"": ""conflicting"", ""forms"": ""[\""maá~ [gil;degener-shina2008]\"", \""maá~ [gil;schmidt]\"", \""maá~ [koh;schmidt]\"", \""máa~ [gil;buddruss-shina1996]\"", \""máa~ [gur;schmidt]\""]"", ""explanation"": ""Gilgit and Kohistani maá~ have late long-root accent compatible with the old oxytone, while Guresi máa~ is early. Buddruss also gives early Gilgit máa~, conflicting with Schmidt and Degener within the same named dialect. Mother is an irregular kinship noun with possessive and address forms, so cell alignment must precede an explanation, but the source conflict remains real until those cells are demonstrated to differ."", ""unresolved"": ""Read the complete mother entries and possessive paradigms; do not force Buddruss into agreement by majority vote.""}"
R013	old-long-screen-residuals.tsv	14	12774		Sh	opposite	Gilgit šéeyo/Astori šéeo have early long-root prominence before an unaccented ending; Kohistani/Guresi šóo contracts the fuller sequence. The outcome fits root-final adjective reaccentuation from old final a, followed by dialectal contraction. Because the old root is monosyllabic, the class's locus prediction is clear but its historical -aka versus analogical extension requires independent morphology.	Read adjective paradigms and determine whether oo results from contracted root-plus-ending material rather than a direct ē shift.	"{""test"": ""old-long-oxytone"", ""language"": ""Sh"", ""family_id"": ""12774"", ""expected"": ""L"", ""observed"": ""[\""E\""]"", ""status"": ""opposite"", ""forms"": ""[\""šóo [gur;schmidt]\"", \""šóo [koh;schmidt]\""]"", ""explanation"": ""Gilgit šéeyo/Astori šéeo have early long-root prominence before an unaccented ending; Kohistani/Guresi šóo contracts the fuller sequence. The outcome fits root-final adjective reaccentuation from old final a, followed by dialectal contraction. Because the old root is monosyllabic, the class's locus prediction is clear but its historical -aka versus analogical extension requires independent morphology."", ""unresolved"": ""Read adjective paradigms and determine whether oo results from contracted root-plus-ending material rather than a direct ē shift.""}"
R014	old-long-screen-residuals.tsv	15	2426		Phal	opposite	Liljegren húuṇḍ has early long accent, whereas Strand hûʹnḍ- is late. Both show extensive rd(h)v cluster remodeling and aspiration placement. The late reading is compatible with old final-accent apocope if a long root survives; the early reading requires a different quantity chronology or accentual reanalysis. Treat the disagreement as source evidence rather than a dated change.	A single preferred accent cannot be selected without speaker/paradigm checks; short huṇḍ and directional suffixes may be relevant.	"{""test"": ""old-long-oxytone"", ""language"": ""Phal"", ""family_id"": ""2426"", ""expected"": ""L"", ""observed"": ""[\""E\""]"", ""status"": ""opposite"", ""forms"": ""[\""húuṇḍ [Phal;liljegren]\""]"", ""explanation"": ""Liljegren húuṇḍ has early long accent, whereas Strand hûʹnḍ- is late. Both show extensive rd(h)v cluster remodeling and aspiration placement. The late reading is compatible with old final-accent apocope if a long root survives; the early reading requires a different quantity chronology or accentual reanalysis. Treat the disagreement as source evidence rather than a dated change."", ""unresolved"": ""A single preferred accent cannot be selected without speaker/paradigm checks; short huṇḍ and directional suffixes may be relevant.""}"
R015	old-long-screen-residuals.tsv	16	4531		Phal	opposite	Palula ghróoṇ/Strand ghrʹôṇ is early and raised despite old final accent. Unlike the transparent kālá class, the outcome requires root prominence before the aa-to-oo change, making a recent retraction after raising insufficient. An action/result noun or older adjectival formation is a possible source, but no accented alternate is supplied in the current old entry.	Keep this as an early-retraction or formation residual; aspiration cannot explain the early raised long vowel.	"{""test"": ""old-long-oxytone"", ""language"": ""Phal"", ""family_id"": ""4531"", ""expected"": ""L"", ""observed"": ""[\""E\""]"", ""status"": ""opposite"", ""forms"": ""[\""ghróoṇ [Phal;liljegren]\"", \""ghrʹôṇ [Phal;strand]\""]"", ""explanation"": ""Palula ghróoṇ/Strand ghrʹôṇ is early and raised despite old final accent. Unlike the transparent kālá class, the outcome requires root prominence before the aa-to-oo change, making a recent retraction after raising insufficient. An action/result noun or older adjectival formation is a possible source, but no accented alternate is supplied in the current old entry."", ""unresolved"": ""Keep this as an early-retraction or formation residual; aspiration cannot explain the early raised long vowel.""}"
R016	old-long-screen-residuals.tsv	17	5182		Phal	opposite	Palula ǰóo is the citation for a paradigm whose present is ǰáanu and perfective ǰóolu. The old past participle jātá pertains specifically to the perfective; modern ǰóolu has early raised root prominence rather than mechanically retained final accent. The same modern lexeme is also represented under 5204, so those two Turner families are not independent confirmations.	Reconstruct the perfective -l formation and its root accent; count the paired present and perfective as one verbal complex in independence-sensitive analyses.	"{""test"": ""old-long-oxytone"", ""language"": ""Phal"", ""family_id"": ""5182"", ""expected"": ""L"", ""observed"": ""[\""E\""]"", ""status"": ""opposite"", ""forms"": ""[\""ǰóo [Phal;liljegren]\"", \""ǰúu [biori;liljegren]\""]"", ""explanation"": ""Palula ǰóo is the citation for a paradigm whose present is ǰáanu and perfective ǰóolu. The old past participle jātá pertains specifically to the perfective; modern ǰóolu has early raised root prominence rather than mechanically retained final accent. The same modern lexeme is also represented under 5204, so those two Turner families are not independent confirmations."", ""unresolved"": ""Reconstruct the perfective -l formation and its root accent; count the paired present and perfective as one verbal complex in independence-sensitive analyses.""}"
R017	old-long-screen-residuals.tsv	18	6547		Phal	opposite	Palula díiš/Biori déeš is fixed and early, against final-accented dēśá. Ashret raising proves that root accent was already early before the early-ee-to-ii change, so a late post-raising retraction is not enough. Liljegren explicitly identifies this as an unexplained earlier shift. An analogical relationship to another fixed village/place noun is possible, but requires independent evidence.	Retain as a diagnostic early retraction/formation residual; neither short-vowel lengthening nor aspiration explains it.	"{""test"": ""old-long-oxytone"", ""language"": ""Phal"", ""family_id"": ""6547"", ""expected"": ""L"", ""observed"": ""[\""E\""]"", ""status"": ""opposite"", ""forms"": ""[\""déeš [biori;liljegren]\"", \""díiš [Phal;liljegren]\""]"", ""explanation"": ""Palula díiš/Biori déeš is fixed and early, against final-accented dēśá. Ashret raising proves that root accent was already early before the early-ee-to-ii change, so a late post-raising retraction is not enough. Liljegren explicitly identifies this as an unexplained earlier shift. An analogical relationship to another fixed village/place noun is possible, but requires independent evidence."", ""unresolved"": ""Retain as a diagnostic early retraction/formation residual; neither short-vowel lengthening nor aspiration explains it.""}"
R018	old-long-screen-residuals.tsv	19	7047		Phal	conflicting	Palula neeṛíi ‘root’, early nóoṛ/Biori náaṛ ‘canal’, and Strand late nâʹṛ ‘tube/bamboo’ show distinct formations and senses. Early canal accent must predate Ashret aa raising; the late tube form is compatible with final-accent loss, while the root derivative retains an accented feminine ending with fronted stem. The old entry independently offers both consonant-final/short-a and long-ī formations, so the first headword is not the unique input.	Assign each sense to an independently supported old formation and retain the dictionary's nāḍi versus source nāḍī quantity correction; do not flatten the family into a single exception.	"{""test"": ""old-long-oxytone"", ""language"": ""Phal"", ""family_id"": ""7047"", ""expected"": ""L"", ""observed"": ""[\""E\"", \""L\""]"", ""status"": ""conflicting"", ""forms"": ""[\""náaṛ [biori;liljegren]\"", \""nâʹṛ [Phal;strand]\"", \""nóoṛ [Phal;liljegren]\"", \""nʹôṛ [Phal;strand]\""]"", ""explanation"": ""Palula neeṛíi ‘root’, early nóoṛ/Biori náaṛ ‘canal’, and Strand late nâʹṛ ‘tube/bamboo’ show distinct formations and senses. Early canal accent must predate Ashret aa raising; the late tube form is compatible with final-accent loss, while the root derivative retains an accented feminine ending with fronted stem. The old entry independently offers both consonant-final/short-a and long-ī formations, so the first headword is not the unique input."", ""unresolved"": ""Assign each sense to an independently supported old formation and retain the dictionary's nāḍi versus source nāḍī quantity correction; do not flatten the family into a single exception.""}"
R019	old-long-nominal-residuals.tsv	2	3735		Sh	residual	Palula c̣híitr/Biori c̣héetr and Schmidt/Degener Shina c̣héec̣ have early accent on the inherited long root, with Ashret raising ee to ii. Buddruss's Gilgit c̣heéc instead has late accent. This is a direct primary-source disagreement in a diagnostic old-long barytone family, and must appear in the exception/source table rather than be resolved by majority vote.	Check Buddruss's printed form and paradigm; source, speaker and consonant-transcription differences may accompany the accent difference.	"{""family_id"": ""3735"", ""language"": ""Sh"", ""input_class"": ""old-long-barytone"", ""expected"": ""E"", ""observed"": ""[\""E\"", \""L\""]"", ""forms"": ""[\""c̣heéc [buddruss-shina1996;gil]\"", \""c̣héec̣ [degener-shina2008;gil]\"", \""c̣héec̣ [schmidt;Astor]\"", \""c̣héec̣ [schmidt;dr]\"", \""c̣héec̣ [schmidt;gil]\"", \""c̣héec̣ [schmidt;gur]\""]"", ""analysis"": ""Palula c̣híitr/Biori c̣héetr and Schmidt/Degener Shina c̣héec̣ have early accent on the inherited long root, with Ashret raising ee to ii. Buddruss's Gilgit c̣heéc instead has late accent. This is a direct primary-source disagreement in a diagnostic old-long barytone family, and must appear in the exception/source table rather than be resolved by majority vote."", ""unresolved"": ""Check Buddruss's printed form and paradigm; source, speaker and consonant-transcription differences may accompany the accent difference.""}"
R020	old-long-nominal-residuals.tsv	3	9108		Phal	residual	Strand phʹîṇ ‘foam’ has early accent, whereas Liljegren phiíṇ ‘steam, vapour’ is late. Both have the raised vowel expected from an earlier early-accented ē stage, so the late modern form may involve subsequent reaccentuation or a semantic/lexical split. The two senses are related but must not be silently merged into one contradictory token or resolved by averaging sources.	Inspect each paradigm and speaker/dialect information to distinguish lexical split, variation and transcription disagreement.	"{""family_id"": ""9108"", ""language"": ""Phal"", ""input_class"": ""old-long-barytone"", ""expected"": ""E"", ""observed"": ""[\""E\"", \""L\""]"", ""forms"": ""[\""phiíṇ [liljegren;Phal]\"", \""phʹîṇ [strand;Phal]\""]"", ""analysis"": ""Strand phʹîṇ ‘foam’ has early accent, whereas Liljegren phiíṇ ‘steam, vapour’ is late. Both have the raised vowel expected from an earlier early-accented ē stage, so the late modern form may involve subsequent reaccentuation or a semantic/lexical split. The two senses are related but must not be silently merged into one contradictory token or resolved by averaging sources."", ""unresolved"": ""Inspect each paradigm and speaker/dialect information to distinguish lexical split, variation and transcription disagreement.""}"
R021	old-long-nominal-residuals.tsv	4	4336		Sh	residual	Palula ghoóṣṭ and independently Degener/Buddruss Gilgit goóṭ have late long accent, matching final-accent apocope. Kohistani/Guresi góoṣ is early, with fixed inflection documented elsewhere, requiring a real class difference. Schmidt's Gilgit góoṭ versus Astori goóṣ belongs to a known table reversal/conflict and cannot override the independent Gilgit sources. Aspiration migration in Palula and cluster reduction in Shina are separate preconditions.	Resolve the printed table readings and Astori paradigm; do not turn an editorial reversal into a geographic sound law.	"{""family_id"": ""4336"", ""language"": ""Sh"", ""input_class"": ""old-long-oxytone"", ""expected"": ""L"", ""observed"": ""[\""E\"", \""L\""]"", ""forms"": ""[\""goóṣ [schmidt;Astor]\"", \""goóṭ [buddruss-shina1996;gil]\"", \""goóṭ [degener-shina2008;gil]\"", \""goóṭ [schmidt;dr]\"", \""góoṣ [schmidt;gur]\"", \""góoṣ [schmidt;koh]\"", \""góoṭ [schmidt;gil]\""]"", ""analysis"": ""Palula ghoóṣṭ and independently Degener/Buddruss Gilgit goóṭ have late long accent, matching final-accent apocope. Kohistani/Guresi góoṣ is early, with fixed inflection documented elsewhere, requiring a real class difference. Schmidt's Gilgit góoṭ versus Astori goóṣ belongs to a known table reversal/conflict and cannot override the independent Gilgit sources. Aspiration migration in Palula and cluster reduction in Shina are separate preconditions."", ""unresolved"": ""Resolve the printed table readings and Astori paradigm; do not turn an editorial reversal into a geographic sound law.""}"
R022	old-long-nominal-residuals.tsv	5	5958		Sh	residual	Degener teél and Buddruss's explicitly rare teél match final-accent apocope after ai-to-ee monophthongization. Buddruss's usual téel is early in the same entry. This is stronger evidence of actual lexical variation than a discrepancy between independently compiled dictionaries, because both alignments are printed as alternatives by one source. Kundal tɛ̄l is unmarked.	Investigate whether frequency, speaker, inflection or contact predicts the early variant; retain the usual/rare distinction in counts.	"{""family_id"": ""5958"", ""language"": ""Sh"", ""input_class"": ""old-long-oxytone"", ""expected"": ""L"", ""observed"": ""[\""E\"", \""L\""]"", ""forms"": ""[\""teél [buddruss-shina1996;gil]\"", \""teél [degener-shina2008;gil]\"", \""téel [buddruss-shina1996;gil]\""]"", ""analysis"": ""Degener teél and Buddruss's explicitly rare teél match final-accent apocope after ai-to-ee monophthongization. Buddruss's usual téel is early in the same entry. This is stronger evidence of actual lexical variation than a discrepancy between independently compiled dictionaries, because both alignments are printed as alternatives by one source. Kundal tɛ̄l is unmarked."", ""unresolved"": ""Investigate whether frequency, speaker, inflection or contact predicts the early variant; retain the usual/rare distinction in counts.""}"
