family_id	gloss	palula	palula_gloss	palula_nuclei	palula_final	palula_outcome	palula_accent_from_right	kalkoti	kalkoti_source	kalkoti_outcome	kalkoti_low_status	kalkoti_record_id	palula_record_id
4655	four	čúur	four	1	consonant-final	E	1	čoor	hultman2023kalkoti	0-explicit		f_a6czihnjrvck4	f_6mtdurggxxe6y
9250	seed	bíi	seed	1	long-final-vowel	E	1	bii	hultman2023kalkoti	0-explicit		f_4ju6v7tkpqq2m	f_2357lw35sowk2
12379	wood	šaák	wood	1	consonant-final	L	1	šáak	hultman2023kalkoti	H1		f_xcz7dqtcqka66	f_vtca5gbhbbbmi
8399	boy	phoó	boy; son; boy	1	long-final-vowel	L	1	púu	hultman2023kalkoti	H1		f_ucngi42xnlqxk	f_6goypw42a5tgu
10716	song, music	rhoó	song; music	1	long-final-vowel	L	1	róo	hultman2023kalkoti	H1	explicitly-no-Low-in-primary-discussion	f_zdv7rejopn4em	f_i4epwziehkgiq
5798	star	tóoru	star	2	short-final-vowel	E	2	taár	hultman2023kalkoti	H2		f_jol5pkjs53ivu	f_s6qaocpdipeio
6261	father's mother	déedi	grandmother; father's mother	2	short-final-vowel	E	2	deéd	hultman2023kalkoti	H2		f_2yh5nee557btm	f_qppwuknx5uo6u
1351	mother	yéei	mother	2	short-final-vowel	vowel-sequence-marked	2	yeé	hultman2023kalkoti	H2		f_jfztywnp2mui6	f_rjnv7k27abukq
6368	long	dhrígu	long, tall	2	short-final-vowel	S	2	dríg	hultman2023kalkoti	Hshort		f_iownsiukc44uu	f_u5326otvtzozy
9828	man	míiš	man; person	1	consonant-final	E	1	meéš	hultman2023kalkoti	H2		f_ese4x54zxby7u	f_2rmhvuusytymy
5589	belly	ḍheér	belly	1	consonant-final	L	1	ḍä̀är	hultman2023kalkoti	Low		f_u2weg4yclo2nw	f_hbsaja5etrfak
10978	salt	lhoóṇ	salt	1	consonant-final	L	1	lùun	hultman2023kalkoti	Low		f_qxq45u7zcs7wo	f_3sbkaab5ucw2e
6495	far away	dhúura	far away; away	2	short-final-vowel	E	2	dùúr	hultman2023kalkoti	Low+H2		f_6j4eipdomd5pk	f_sazczz3jtup2g
3865	eat	khóo	to eat	1	long-final-vowel	E	1	khuun	hultman2023kalkoti	unmarked		f_fiqbh7b6nybzu	f_5gk3xsw4hc7iq
3865	eat	khóo	to eat	1	long-final-vowel	E	1	khaál	hultman2023kalkoti	H2		f_gtt6sunhpruik	f_5gk3xsw4hc7iq
10452	come	yhíi	to come, arrive; become, come into existence	1	long-final-vowel	E	1	yaál	hultman2023kalkoti	H2		f_phuhrfd7gk2dk	f_oawjhqw3lwtfe
10452	come	yhíi	to come, arrive; become, come into existence	1	long-final-vowel	E	1	yeél	hultman2023kalkoti	H2		f_nyn46hcwix3kk	f_oawjhqw3lwtfe
10452	come	yhíi	to come, arrive; become, come into existence	1	long-final-vowel	E	1	yùun	hultman2023kalkoti	Low		f_gbav3mquoj3la	f_oawjhqw3lwtfe
10452	come	yhíi	to come, arrive; become, come into existence	1	long-final-vowel	E	1	yä	hultman2023kalkoti	unmarked		f_b6yarzkmresym	f_oawjhqw3lwtfe
13756	do	thíi	to do, make	1	long-final-vowel	E	1	thää́l	hultman2023kalkoti	H2		f_mttqfnuthcij6	f_eglhkdsbofymk
13756	do	thíi	to do, make	1	long-final-vowel	E	1	thuun	hultman2023kalkoti	unmarked		f_isiqzgmoui2vc	f_eglhkdsbofymk
13756	do	thíi	to do, make	1	long-final-vowel	E	1	thä	hultman2023kalkoti	unmarked		f_oas2fi6yzuqa6	f_eglhkdsbofymk
5046	cut	čhína	to cut, cut off; reduce; make (part. milk products)	2	short-final-vowel	S	2	čhin	hultman2023kalkoti	unmarked		f_gbctpardk64ww	f_qq3qcioh7ly34
4008	go	bíi	to go, leave, move	1	long-final-vowel	E	1	goo	hultman2023kalkoti	unmarked		f_cyweerstaxgug	f_py7rhudl7jpgc
4008	go	bíi	to go, leave, move	1	long-final-vowel	E	1	gee	hultman2023kalkoti	unmarked		f_mjs2neqlqcrxw	f_py7rhudl7jpgc
12225	go	bíi	to go, leave, move	1	long-final-vowel	E	1	buun	hultman2023kalkoti	unmarked		f_taakryy4sxzlu	f_z5jfyte7gpffo
12225	go	bíi	to go, leave, move	1	long-final-vowel	E	1	bä	hultman2023kalkoti	unmarked		f_c3sgfw4hr47wu	f_z5jfyte7gpffo
10452	come	yhíi	to come, arrive; become, come into existence	1	long-final-vowel	E	1	yee	hultman2023kalkoti	unmarked		f_7m4gi2w6fax32	f_oawjhqw3lwtfe
10452	come	yhíi	to come, arrive; become, come into existence	1	long-final-vowel	E	1	yääl	hultman2023kalkoti	unmarked		f_buxyv5fykrllw	f_oawjhqw3lwtfe
3865	eat	khóo	to eat	1	long-final-vowel	E	1	khee	hultman2023kalkoti	unmarked		f_qykr64bacuv4k	f_5gk3xsw4hc7iq
8012	see	páaša	to see; notice	2	short-final-vowel	E	2	piš	hultman2023kalkoti	unmarked		f_bvxceyec4wxuc	f_cuhqhsomnizlm
9837	say, speak	maníi	to say, call; read, recite; obey	2	long-final-vowel	E	1	min	hultman2023kalkoti	unmarked		f_6lwwn24ev4bk2	f_bapxvoonh7yss
8209	drink	píla	to drink	2	short-final-vowel	S	2	píil	hultman2023kalkoti	H1		f_vcp5wwd57jlcq	f_6numt3gujkarm
8209	drink	píla	to drink	2	short-final-vowel	S	2	pil	hultman2023kalkoti	unmarked		f_wdeyuavrbjmbe	f_6numt3gujkarm
841	come down	whíi	to come down, come or go downhill/downstream	1	long-final-vowel	E	1	waat	hultman2023kalkoti	unmarked		f_uzt75fry4qago	f_45kdsrh7mfnky
841	come down	whíi	to come down, come or go downhill/downstream	1	long-final-vowel	E	1	wuun	hultman2023kalkoti	unmarked		f_rc34fbcudumfw	f_45kdsrh7mfnky
841	come down	whíi	to come down, come or go downhill/downstream	1	long-final-vowel	E	1	waal	hultman2023kalkoti	unmarked		f_e53r7e63om2fs	f_45kdsrh7mfnky
2462	one	áak	one; one (person), someone	1	consonant-final	E	1	äk	hultman2023kalkoti	unmarked		f_45cqtntl6b4ca	f_ndm7sgvqas5h2
2462	one	áa	one; one (person), someone	1	long-final-vowel	E	1	äk	hultman2023kalkoti	unmarked		f_45cqtntl6b4ca	f_e5ptsrrsr5ncy
6648	two	dúu	two	1	long-final-vowel	E	1	duu	hultman2023kalkoti	unmarked		f_ruqzrgiycpz4m	f_ky22likdlg36w
6658	twelve	bóoš	twelve	1	consonant-final	E	1	baáš	hultman2023kalkoti	H2		f_nqgd33l5hhkfo	f_iu5minc42dt7i
6001	thirteen	tríiš	thirteen	1	consonant-final	E	1	treéš	hultman2023kalkoti	H2		f_kg3kpvjbpbbwo	f_ewzpbbjprv3hu
7655	five	páanǰ	five	1	consonant-final	E	1	paanǰ	hultman2023kalkoti	unmarked		f_tsp7ffcuqkvmw	f_a6lnhdjqs3q4k
13139	seven	sáat	seven	1	consonant-final	E	1	saat	hultman2023kalkoti	unmarked		f_uxwou6xa2rn32	f_bkvropwimluxu
941	eight	áaṣṭ	eight	1	consonant-final	E	1	iṣ	hultman2023kalkoti	unmarked		f_np4vsuapmqtaq	f_rsldl4hnjzwoo
6984	nine	núu	nine	1	long-final-vowel	E	1	num	hultman2023kalkoti	unmarked		f_7grzdersjvifq	f_xwhsjzmk7plme
6227	ten	dáaš	ten	1	consonant-final	E	1	diš	hultman2023kalkoti	unmarked		f_7jxxuvd2ejex2	f_zbq6o45kmzoyk
11616	twenty	bhiíš	twenty; the twenty sth or people; 20	1	consonant-final	L	1	bíiš	hultman2023kalkoti	H1		f_7jfvb5xq3n4mi	f_6pzjkzzpb25ng
1921	water	wíi	water	1	long-final-vowel	E	1	wää	hultman2023kalkoti	unmarked		f_ufha55sjjd3n6	f_izuotzqoy7wuk
7785	path	páand	path, road	1	consonant-final	E	1	paan	hultman2023kalkoti	unmarked		f_5byfzo77linx6	f_sr7ofangymbyy
7200	sleep	níindra	sleep	2	short-final-vowel	E	2	niin	hultman2023kalkoti	unmarked		f_ulktu7jc5ckus	f_ljwjwikhzurw6
12225	go	bíi	to go, leave, move	1	long-final-vowel	E	1	baan	hultman2023kalkoti	unmarked		f_qrwsqkf27zq3e	f_z5jfyte7gpffo
12225	go	bíi	to go, leave, move	1	long-final-vowel	E	1	biin	hultman2023kalkoti	unmarked		f_g3d4itsngni7a	f_z5jfyte7gpffo
6141	give	díi	to give, put	1	long-final-vowel	E	1	duun	hultman2023kalkoti	unmarked		f_wfsoop7gpiqx4	f_drydonmaob7e6
6141	give	díi	to give, put	1	long-final-vowel	E	1	daan	hultman2023kalkoti	unmarked		f_klkqz6nyi5lia	f_drydonmaob7e6
6141	give	díi	to give, put	1	long-final-vowel	E	1	diin	hultman2023kalkoti	unmarked		f_hom5dpjgnkjv6	f_drydonmaob7e6
10452	come	yhíi	to come, arrive; become, come into existence	1	long-final-vowel	E	1	yàan	hultman2023kalkoti	Low		f_uwtqdffiibziw	f_oawjhqw3lwtfe
10452	come	yhíi	to come, arrive; become, come into existence	1	long-final-vowel	E	1	yìin	hultman2023kalkoti	Low		f_k7bfcxwwxus2k	f_oawjhqw3lwtfe
6141	give	díi	to give, put	1	long-final-vowel	E	1	dit	hultman2023kalkoti	unmarked		f_jino56umwtaye	f_drydonmaob7e6
10278	die	máara	to die	2	short-final-vowel	E	2	múr	hultman2023kalkoti	Hshort		f_wtpjhrtfpas2g	f_so5ozbkspwz36
2462	one	áak	one; one (person), someone	1	consonant-final	E	1	ä	hultman2023kalkoti	unmarked		f_gikfn2biveqiy	f_ndm7sgvqas5h2
2462	one	áa	one; one (person), someone	1	long-final-vowel	E	1	ä	hultman2023kalkoti	unmarked		f_gikfn2biveqiy	f_e5ptsrrsr5ncy
4236	take	ghína	to take, get, seize; buy	2	short-final-vowel	S	2	gì	hultman2023kalkoti	Low		f_tozuviwi2atbw	f_shwiighc4vjly
13085	put on	ṣóo	to put on, wear	1	long-final-vowel	E	1	ṣuun	hultman2023kalkoti	unmarked		f_vlropil4ltkdm	f_nvxz3kom47iui
2462	a, one	áak	one; one (person), someone	1	consonant-final	E	1	ä	hultman2023kalkoti	unmarked		f_7g5vujphqzjmy	f_ndm7sgvqas5h2
2462	a, one	áa	one; one (person), someone	1	long-final-vowel	E	1	ä	hultman2023kalkoti	unmarked		f_7g5vujphqzjmy	f_e5ptsrrsr5ncy
5994	three	tróo	three	1	long-final-vowel	E	1	trä	hultman2023kalkoti	unmarked		f_spledddx5bg5q	f_u7ls4eyuoroxs
6648	two	dúu	two	1	long-final-vowel	E	1	du	hultman2023kalkoti	unmarked		f_odkqoytys2px6	f_ky22likdlg36w
6141	give	díi	to give, put	1	long-final-vowel	E	1	dam	hultman2023kalkoti	unmarked		f_jfzzr2ihjxsti	f_drydonmaob7e6
6983	new	náawu	new	2	short-final-vowel	E	2	num	hultman2023kalkoti	unmarked		f_owx7gir2gapgs	f_gyj7em6aqpm4e
3696	milk	c̣hiír	milk	1	consonant-final	L	1	c̣iir	hultman2023kalkoti	unmarked		f_6kjbevxh3cc5e	f_5jp2hjpo2nqwi
9982	meat	mhaás	meat, piece of flesh	1	consonant-final	L	1	maas	hultman2023kalkoti	unmarked	explicitly-no-Low-in-primary-discussion	f_nofw24hqorr32	f_nlvpea42ce6sy
4424	big	gháanu	large, big	2	short-final-vowel	E	2	gän	hultman2023kalkoti	unmarked		f_xqhdq27mxnk62	f_vzzbfoon65zbu
6651	door	dáar	door	1	consonant-final	E	1	där	hultman2023kalkoti	unmarked		f_uqrovhffu5bbi	f_ma7oj2akp5mry
13574	sun	súuri	sun	2	short-final-vowel	E	2	siir	hultman2023kalkoti	unmarked		f_xcffh3i7y4om4	f_f5ppuzenbgtk6
12225	go	bíi	to go, leave, move	1	long-final-vowel	E	1	baans	hultman2023kalkoti	unmarked		f_5ngceqohtjin4	f_z5jfyte7gpffo
6141	give	díi	to give, put	1	long-final-vowel	E	1	deens	hultman2023kalkoti	unmarked		f_gyl3zdsswcdio	f_drydonmaob7e6
13756	do	thíi	to do, make	1	long-final-vowel	E	1	tham	hultman2023kalkoti	unmarked		f_27ele6gdpp2n4	f_eglhkdsbofymk
12225	go	bíi	to go, leave, move	1	long-final-vowel	E	1	bi	hultman2023kalkoti	unmarked		f_gjlxwwuav2ou4	f_z5jfyte7gpffo
5994	three	tróo	three	1	long-final-vowel	E	1	troo	hultman2023kalkoti	unmarked		f_bccgol32yggls	f_u7ls4eyuoroxs
2574	who	koó	who, somebody, anybody (nom)	1	long-final-vowel	L	1	kii	hultman2023kalkoti	unmarked		f_446d5oer3nram	f_cvdcqs2s4pewm
48	walnut	ac̣hoóṛ	walnut	2	consonant-final	L	1	c̣hòor	hultman2023kalkoti	Low		f_kjp2enyafdm32	f_r3ifxkdwc3rmq
2445	bear	iṇc̣	bear	1	consonant-final	short-monosyllable		ic̣	hultman2023kalkoti	unmarked		f_u32idysy4lxwy	f_syfbldorjhmje
2512	sheep	yíiṛi	sheep, ewe	2	short-final-vowel	E	2	eér	hultman2023kalkoti	H2		f_ic3egyhplwkxe	f_fbcxgvjerlk6m
13085	put on	ṣóo	to put on, wear	1	long-final-vowel	E	1	ṣaál	hultman2023kalkoti	H2		f_sx3txrvd6wd4o	f_nvxz3kom47iui
7785	path	páand	path, road	1	consonant-final	E	1	paand	hultman2023kalkoti	unmarked		f_pnuyt3bkovr3k	f_sr7ofangymbyy
10716	song	rhoó	song; music	1	long-final-vowel	L	1	róo	hultman2023kalkoti	H1	explicitly-no-Low-in-primary-discussion	f_6wshauqvurlp2	f_i4epwziehkgiq
