input_class	family_id	palula	glosses	kalkoti_forms	observed	status	sources	exclusions	adjudication
Palula-E-without-short-final-vowel	6141	díi	"[""give"", ""to give""]"	"[""daan"", ""dam"", ""deens"", ""diin"", ""dit"", ""duun""]"	[]	excluded	"[""hultman2023kalkoti"", ""kalkoti""]"	"[""unmatched-verbal-cells""]"	Palula díi, bare d-, Kalkoti duun and Kundal di represent different renewed cells of a highly irregular verb. Initial reduplication and old finite morphology are largely lost, so the old third-person accent cannot be projected onto all citations. The perfective requires the separate dattá/dita family.
Palula-E-without-short-final-vowel	13756	thíi	"[""do""]"	"[""tham"", ""thuun"", ""thä"", ""thääl"", ""thää́l""]"	[]	excluded	"[""hultman2023kalkoti"", ""kalkoti""]"	"[""unmatched-verbal-cells""]"	Palula thíi and Gilgit th-/thu belong to a highly reduced do/make/say paradigm, with much of the old causative stem lost. The modern citation vowel or finite ending carries grammatical information and cannot be equated directly with the old accented pā/yā material. Kalkoti thuun is a present cell, requiring alignment with comparable forms rather than a bare consonantal root.
Palula-E-without-short-final-vowel	10452	yhíi	"[""come""]"	"[""yaal"", ""yaál"", ""yee"", ""yeél"", ""yuun"", ""yàan"", ""yä"", ""yääl"", ""yìin"", ""yùun""]"	[]	excluded	"[""hultman2023kalkoti"", ""kalkoti""]"	"[""unmatched-verbal-cells""]"	Palula yhíi/Biori yíi accents the citation ending after substantial contraction or stem reduction, whereas Gilgit yayoók is an infinitive and Kundal yɛ an imperative. Their cell differences and come/go semantic organization prevent a direct comparison of old yā́ti with every modern whole word. The linked Kalkoti yuun citation is from Liljegren 2013; Hultman's yùun supplies explicit low-tone evidence associated with lost aspiration, requiring comparison of the same present cell.
Palula-E-without-short-final-vowel	12225	bíi	"[""go""]"	"[""baan"", ""baans"", ""bi"", ""biin"", ""buun"", ""bä""]"	[]	excluded	"[""hultman2023kalkoti"", ""kalkoti""]"	"[""unmatched-verbal-cells""]"	Palula bíi is a modern citation ending attached to a heavily reduced motion root; Strand gives consonantal b-. Shina buž-/bož- and Kalkoti buun preserve different present formations, while perfective go words belong to other historical roots. The database's isolated vr and ẓ are comparative phonological fragments, not independent attested lexical outcomes.
Palula-E-without-short-final-vowel	9250	bíi	"[""seed""]"	"[""bii""]"	"[""zero-High-or-default""]"	consistent	"[""hultman2023kalkoti""]"	[]	Palula and all four Schmidt Shina dialects bíi retain early accent on the inherited long root after intervocalic j and final a disappear. This provides a particularly clean early-accent control because old ī does not undergo the ā-to-oo raising that complicates many western examples. Hultman's Kalkoti bii is explicitly toneless, a meaningful contrast requiring a separate tonal analysis rather than treating its missing acute as missing data.
Palula-E-without-short-final-vowel	3865	khóo	"[""eat""]"	"[""khaál"", ""khee"", ""khuun""]"	[]	excluded	"[""hultman2023kalkoti""]"	"[""unmatched-verbal-cells""]"	Palula khóo/Biori khúu has early root prominence and vowel raising, while Shina khoók/khoónu has late accent in infinitival formations. These are systematic morphological differences, not a single opposite inherited contour. Old khāditá is the relevant perfective comparison and Kohistani khy- may be analogical to the drink perfective; that proposal needs its own paradigm evidence.
Palula-E-without-short-final-vowel	4008	bíi	"[""go""]"	"[""gee"", ""goo""]"	[]	excluded	"[""hultman2023kalkoti""]"	"[""unmatched-verbal-cells""]"	Strand gʹûm and Kalkoti goo belong to the perfective go stem. Palula bíi is the dictionary's suppletive citation, not a phonological reflex of gatá and must be excluded from direct sound correspondences. A long early perfective vowel implies either contraction/lengthening followed by morphological root accent or a reformed perfective stem; old final-accent apocope alone is insufficient.
Palula-E-without-short-final-vowel	9837	maníi	"[""say, speak""]"	"[""min""]"	[]	excluded	"[""hultman2023kalkoti""]"	"[""unmatched-verbal-cells;Palula-polysyllabic-other-formation""]"	Palula maníi ‘say, call, recite’ accents a modern verbal ending and has lost the old tr material if this etymology is correct. Strand instead links the short man- root to manutḗ. The two proposals cannot be counted as separate lexical outcomes, and modern final accent by itself does not decide the competing segmental derivations.
Palula-E-without-short-final-vowel	841	whíi	"[""come down""]"	"[""waal"", ""waat"", ""wuun""]"	[]	excluded	"[""hultman2023kalkoti""]"	"[""unmatched-verbal-cells""]"	Palula whíi and Strand wh- are reduced downhill/downstream motion stems, while older wahāndu is a participial form and Kalkoti wuun a present. The proposed ava-vah compound supplies a plausible direction and root, but no old accent is independently attested. The forms must be compared within the motion paradigm and against source-specific low-tone evidence if available.
Palula-E-without-short-final-vowel	6001	tríiš	"[""thirteen""]"	"[""treéš""]"	"[""final-High-or-rising""]"	residual	"[""hultman2023kalkoti""]"	[]	Thirteen tríiš/treéš joins the independently recognizable Kalkoti teen series with final High. This is compound-series reaccentuation; the old first-accented tráyōdaśa is not a transparent unextended monosyllabic input.
Palula-E-without-short-final-vowel	1921	wíi	"[""water""]"	"[""wää""]"	[]	unscorable	"[""hultman2023kalkoti""]"	[]	Palula wíi is early long, while Shina wói/wei has a diphthongal sequence. Both have lost enough segmental material that the old three-syllable accent cannot be transferred by counting syllables. A contraction and stem-selection analysis is required; final-accent docking alone would predict the wrong Palula mora if it assumed an already long surviving vowel.
Palula-E-without-short-final-vowel	13085	ṣóo	"[""put on""]"	"[""ṣaál"", ""ṣuun""]"	[]	excluded	"[""hultman2023kalkoti""]"	"[""unmatched-verbal-cells""]"	Palula ṣáača ‘climb’, ṣóo ‘put on’ and ṣaawóo ‘dress someone, light’ differ in valency and stem formation, matching an old family that independently contains passive, causative and participial stems. Their different accents cannot be reduced to one sound outcome of sájati. The source explicitly discusses retroflex ṣ spreading from prefixed formations, supplying an independent morphological route for the unusual initial consonant.
Palula-L-without-short-final-vowel	4287	ghoóm	"[""wheat""]"	"[""ɡoom""]"	"[""Low-without-marked-High""]"	Low-interaction	"[""kalkoti""]"	[]	Wheat ghoóm/goom has a documented low-level contour in 2013, alongside secondary aspiration/metathesis in Palula. It is not an unmarked no-tone observation.
Palula-L-without-short-final-vowel	5589	ḍheér	"[""belly""]"	"[""ḍä̀är""]"	"[""Low-without-marked-High""]"	Low-interaction	"[""hultman2023kalkoti"", ""kalkoti""]"	[]	Belly ḍheér/ḍä̀är has the same Palula L versus Kalkoti Low pattern as salt and wheat. Old root-quantity variants prevent identifying its older mora history from the headword alone.
Palula-L-without-short-final-vowel	9349	bheéṇ	"[""sister""]"	"[""bään""]"	"[""Low-without-marked-High""]"	Low-interaction	"[""kalkoti""]"	[]	Palula bheéṇ/Strand bhêʹṇ has late ee after contraction and final-vowel loss. Kalkoti bään belongs to the explicitly low-level set in Liljegren 2013. The old feminine formation and multiple medial-loss stages independently distinguish it from a simple long-root noun; neither parent bhága nor bhagín can be assigned as its accent without argument.
Palula-L-without-short-final-vowel	11616	bhiíš	"[""twenty""]"	"[""biš"", ""bíiš""]"	"[""early-High-or-falling""]"	consistent	"[""hultman2023kalkoti"", ""kalkoti""]"	[]	Palula bhiíš and Gilgit/Kohistani/Guresi bií have late long-vowel prominence after substantial contraction of an old finally accented numeral. Their agreement is strong, but the old first vowel was short, so the long vowel must be derived from cluster loss or contraction. Kundal bī̌ requires interpretation of its source's contour notation. The linked Kalkoti biš is a segmental citation in Liljegren 2013; tone must be recovered from an explicitly analyzed token or its source context.
Palula-L-without-short-final-vowel	12379	šaák	"[""wood""]"	"[""šaàk"", ""šáak""]"	"[""early-High-or-falling""]"	consistent	"[""hultman2023kalkoti"", ""kalkoti""]"	[]	Palula šaák has late accent on old long ā, compatible with final accent in śākhyá after loss of the ending. The parent noun śā́khā has a different accent and must not be substituted silently. Liljegren 2013 analyzes Kalkoti šaàk's falling contour as Low on the second mora, whereas Hultman 2023 analyzes šáak as early High. These are partly alternative phonological analyses of a similar falling pattern, not by themselves evidence of a sound change between 2013 and 2023.
Palula-L-without-short-final-vowel	13952	haáḍ	"[""bone""]"	"[""aḍ"", ""aṛ""]"	[]	unscorable	"[""kalkoti""]"	[]	Palula haáḍ beside Biori haḍ provides a strong late-new-aa example with h in a closed monosyllable. haṇḍúk/haḍúng and Strand haḍʹung are extended skeleton or bone forms, not the same cell; marrow is a compound. Kalkoti aḍ/aṛ loses initial h and has separate tone evidence to establish. Turner explicitly calls the ásthi connection very doubtful.
Palula-L-without-short-final-vowel	8399	phoó	"[""boy""]"	"[""puu"", ""púu""]"	"[""early-High-or-falling""]"	consistent	"[""hultman2023kalkoti"", ""kalkoti""]"	[]	Boy phoó/púu has an accented LONG final vowel in Palula; it is not in the short unaccented final-u apocope class.
Palula-L-without-short-final-vowel	10716	rhoó	"[""song"", ""song, music""]"	"[""róo""]"	"[""early-High-or-falling""]"	consistent	"[""hultman2023kalkoti""]"	[]	Song rhoó/róo follows Palula L→Kalkoti H1, while explicitly lacking Low despite rh. These two dimensions must be kept separate.
Palula-L-without-short-final-vowel	10978	lhoóṇ	"[""salt""]"	"[""lùun""]"	"[""Low-without-marked-High""]"	Low-interaction	"[""hultman2023kalkoti""]"	[]	Salt lhoóṇ/lùun is a Palula L versus Kalkoti Low correspondence. It is compatible with Low obscuring an otherwise expected early High, but that tonal interaction is a hypothesis rather than a recovered stage.
Palula-L-without-short-final-vowel	3696	c̣hiír	"[""milk""]"	"[""c̣iir""]"	[]	unscorable	"[""hultman2023kalkoti""]"	[]	Palula c̣hiír and Strand c̣hîʹr retain old ī and place accent on its second mora after loss of final accented a. This is a clean long-root oxytone apocope example with aspiration retained; aspiration is not needed to create the contrast. Sauji c̣hir lacks a reliable contour and may have reduced quantity.
Palula-L-without-short-final-vowel	9982	mhaás	"[""meat""]"	"[""maas""]"	[]	unscorable	"[""hultman2023kalkoti""]"	[]	Meat maas is explicitly said to lack Low despite Palula mhaás. Its unmarked High status remains conservative/unscored; absence of Low alone does not prove a zero-High category.
Palula-L-without-short-final-vowel	2574	koó	"[""who""]"	"[""kii""]"	[]	unscorable	"[""hultman2023kalkoti""]"	[]	Shina koó/keé and Palula kôʹ have late long prominence, while Kohistani/Astori koé/koí preserve unequal-vowel sequences. Turner independently identifies compound replacements for the simple interrogative; their contraction supplies extra moraic material and a reason not to derive every modern form from bare ká. Gender and number also affect the outcomes.
Palula-L-without-short-final-vowel	48	ac̣hoóṛ	"[""walnut""]"	"[""c̣hòor""]"	[]	excluded	"[""hultman2023kalkoti""]"	"[""Palula-polysyllabic-other-formation""]"	Walnut ac̣hoóṛ/c̣hòor also reduces an entire initial syllable. Its Low may interact with aspiration and onset reanalysis, so it is not a simple same-root monosyllable correspondence.
Palula-prefinal-accent-plus-short-final-vowel	1351	yéei	"[""mother""]"	"[""yee"", ""yeé""]"	[]	excluded	"[""hultman2023kalkoti"", ""kalkoti""]"	"[""Palula-vowel-sequence""]"	Mother yéei has an unequal-vowel sequence; Hultman explicitly treats final-vowel loss as relevant, but the conservative automated nucleus test excludes it. Include separately as primary-author analysis.
Palula-prefinal-accent-plus-short-final-vowel	3243	khúṭu	"[""knee""]"	"[""kuṭ""]"	"[""final-High-or-rising""]"	consistent	"[""kalkoti""]"	[]	Palula, four Shina dialects, Dras and Brokskat all show initial short-root prominence in kúṭo/khúṭu-type forms where marked. Kalkoti kuṭ loses the final vowel; Liljegren 2013 Table 12 places it in the high-rising/glottalized group. This supports testing final-unaccented-vowel loss as a Kalkoti conditioning factor without needing an independently known Sanskrit accent.
Palula-prefinal-accent-plus-short-final-vowel	4147	ghaáu	"[""cow""]"	"[""ɡaa""]"	[]	excluded	"[""kalkoti""]"	"[""Palula-vowel-sequence""]"	Cow ghaáu has a vowel sequence and cannot be classified as a transparent unaccented short-u ending. Its apparent counterexample to apocope is excluded for this independent structural reason.
Palula-prefinal-accent-plus-short-final-vowel	4236	ghína	"[""take""]"	"[""gì"", ""ɡiin""]"	[]	excluded	"[""hultman2023kalkoti"", ""kalkoti""]"	"[""unmatched-verbal-cells""]"	Palula ghína and Shina gin- most directly reflect a nasal-present stem rather than the first dictionary headword. Their root accent is assigned in the modern citation/imperative cell; the old finite nasal inflection carried accent on a different morpheme. Kalkoti giin is a perfective form and giy aal/giyaal a further formation; the newer tone-marked gìin is a key aspiration-loss comparison to check separately.
Palula-prefinal-accent-plus-short-final-vowel	5798	tóoru	"[""star""]"	"[""taár""]"	"[""final-High-or-rising""]"	consistent	"[""hultman2023kalkoti"", ""kalkoti""]"	[]	Palula tóoru and Shina táaro/táaru have early long-root prominence before a gender ending, while Kalkoti taár is high-rising/late H after final-vowel loss. The old entry independently supplies both initially accented tā́rakā and suffix-accented tāraká, so choosing the immediate input requires morphological evidence. The modern ending-loss contrast can be tested without resolving every older accent alternative.
Palula-prefinal-accent-plus-short-final-vowel	5839	tíiṇu	"[""sharp""]"	"[""tiin""]"	[]	unscorable	"[""kalkoti""]"	[]	Palula tíiṇu and the four Shina tíiṇo/tíiṇu forms have early long root accent before their gender ending, against old final accent. Retention of old long ī while kṣṇ simplifies makes this a strong extension example with little vowel-alignment ambiguity. Kalkoti tiin adds segmental coverage but no reliable tone in the older unmarked source.
Palula-prefinal-accent-plus-short-final-vowel	6261	dóodu	"[""father's father""]"	"[""daad""]"	"[""final-High-or-rising""]"	consistent	"[""kalkoti""]"	[]	Grandfather and grandmother are two lexemes in one expressive kin family. Both independently retain a short gender vowel in Palula and lose it in Kalkoti. Count lexical cells and broad families separately.
Palula-prefinal-accent-plus-short-final-vowel	6261	déedi	"[""father's mother""]"	"[""deed"", ""deéd""]"	"[""final-High-or-rising""]"	consistent	"[""hultman2023kalkoti"", ""kalkoti""]"	[]	Grandfather and grandmother are two lexemes in one expressive kin family. Both independently retain a short gender vowel in Palula and lose it in Kalkoti. Count lexical cells and broad families separately.
Palula-prefinal-accent-plus-short-final-vowel	6368	dhrígu	"[""long"", ""long, tall""]"	"[""driɡ"", ""dríg""]"	"[""final-High-or-rising""]"	consistent	"[""hultman2023kalkoti"", ""kalkoti""]"	[]	Long is short-vowel dhrígu/dríg. Its Kalkoti outcome is Hshort, which belongs to the final-High result of apocope rather than an invented long rising vowel.
Palula-prefinal-accent-plus-short-final-vowel	6835	dúṛi	"[""dust""]"	"[""dur"", ""duṛ""]"	[]	unscorable	"[""kalkoti""]"	[]	Palula dúṛi has initial short-root accent before i, with shortening and loss of aspiration relative to the reconstructed long root. Kalkoti dur/duṛ loses the final vowel. Neither unmarked Kalkoti tokens nor the unaccented reconstruction license a zero-tone or inherited-accent claim.
Palula-prefinal-accent-plus-short-final-vowel	7200	níindra	"[""sleep""]"	"[""niin""]"	[]	unscorable	"[""hultman2023kalkoti"", ""kalkoti""]"	[]	Palula níindra and Kundal níndr have initial prominence against old final-accented ā, with an extra nasal and new root length in Palula. Shina nir is short and hides its class. The retained Palula final a means simple final-vowel apocope is not an adequate account; an older nominal formation, paradigm leveling or earlier accent pattern is needed. A pre-Vedic hypothesis requires external comparative evidence, not just this mismatch.
Palula-prefinal-accent-plus-short-final-vowel	8416	púutru	"[""son's son""]"	"[""pootr""]"	"[""final-High-or-rising""]"	consistent	"[""kalkoti""]"	[]	Palula púutru and all four Schmidt Shina dialects póoc̣o preserve early root prominence with a surviving final gender vowel. Sanskrit au is one long nucleus, so its accent must not be misread as accent on a second syllable. The Palula tr versus Shina retroflex affricate provides an independent segmental correspondence. Liljegren 2013 Table 12 explicitly assigns Kalkoti pootr to the high-rising, glottalized group, although the linked segmental citation lacks an acute. That source-level classification supplies a real prosodic comparison.
Palula-prefinal-accent-plus-short-final-vowel	8417	púutri	"[""son's daughter""]"	"[""peetr""]"	[]	unscorable	"[""kalkoti""]"	[]	Palula púutri and Shina póoc̣i retain early prominence on the reflex of old au before the feminine ending. The masculine's independently known accent cannot automatically be assigned to unaccented pautrī. Kalkoti peetr contrasts with grandson pootr, supporting a gender-conditioned vowel history before final-vowel loss.
Palula-prefinal-accent-plus-short-final-vowel	9089	phéepi	"[""father's sister""]"	"[""pheep""]"	"[""final-High-or-rising""]"	consistent	"[""kalkoti""]"	[]	Palula phéepi has early long prominence before the feminine ending, while Strand phʹôpo denotes the aunt's husband and shows a different vowel and masculine ending. These are a useful gender pair, not variants of one aunt form. Kalkoti pheep is explicitly in Liljegren 2013's low-rising glottalized class; its segment-only token is not toneless.
Palula-prefinal-accent-plus-short-final-vowel	9209	báabu	"[""father""]"	"[""bab""]"	[]	unscorable	"[""kalkoti""]"	[]	Palula báabu has early aa, Gilgit and Astori baábo late aa, and Kohistani bubáa final aa. This is a real cross-language morphological and mora difference within a nursery kin term. The unaccented expressive input provides no deterministic inherited-accent prediction; kinship declension and vocative reshaping are concrete alternatives to examine. Kalkoti bab is short.
Palula-prefinal-accent-plus-short-final-vowel	10001	méeši	"[""mother's sister""]"	"[""meeš""]"	[]	unscorable	"[""kalkoti""]"	[]	Palula méeši/Strand mʹêši has early long ee before the feminine ending after contraction of a maternal-aunt compound. This should be compared with phéepi ‘paternal aunt’ as a kinship/gender class, not as direct retention of either mātŕ̥ or svásr̥ accent. Kalkoti meeš lacks final i and requires explicit source tone evidence.
Palula-prefinal-accent-plus-short-final-vowel	10058	méemi	"[""mother's mother""]"	"[""meem""]"	[]	unscorable	"[""kalkoti""]"	[]	Palula méemi ‘mother's mother’ and móomu ‘mother's father’ have early long root prominence with feminine fronting versus masculine oo. The reconstructed feminine -ikā independently motivates the first form but is not literally the masculine input. Kalkoti meem preserves the fronted vowel after final-vowel loss, providing an independent gender-history control.
Palula-prefinal-accent-plus-short-final-vowel	13574	súuri	"[""sun""]"	"[""siir""]"	[]	unscorable	"[""hultman2023kalkoti"", ""kalkoti""]"	[]	Palula and all four Shina dialects súuri retain early long-root prominence with final i. Unlike many unaccented reconstructed extensions, the old family independently records initial accent on sū́riya and sū́rya, making this a strong formation-controlled retention example. Kundal sūr/sīr has lost the ending and varies in vowel quality; Sauji surya preserves fuller consonantal material.
Palula-prefinal-accent-plus-short-final-vowel	6518	páaša	"[""see"", ""to see""]"	"[""driṣ""]"	[]	excluded	"[""hultman2023kalkoti"", ""kalkoti""]"	"[""unmatched-verbal-cells""]"	Strand dhrîʹsṭo is an explicitly irregular past form with late long root accent; Kalkoti driṣ and Sauji dərṣo are other perfective reflexes. Palula páaša is the suppletive present/citation and not a phonological reflex of dr̥ṣṭá. The old short vocalic r and modern long ī require a separate stem/quantity history, while final o is morphological.
