class_id	language	selected_family_or_unlinked_member_count	families_or_members_with_counterpart_records	families_or_members_without_counterpart_records	observed_counterpart_outcome_counts	note
short-a-with-h	Kalk	10	1	9	"{""unmarked"": 1}"	Outcome counts overlap for source/lect/cell variants. These are counterpart ranges, not direct tests of identical morphology in all languages.
short-a-with-h	Kund	10	2	8	"{""R@-1"": 1, ""unmarked"": 1}"	Outcome counts overlap for source/lect/cell variants. These are counterpart ranges, not direct tests of identical morphology in all languages.
short-a-with-h	bro	10	3	7	"{""unmarked"": 3}"	Outcome counts overlap for source/lect/cell variants. These are counterpart ranges, not direct tests of identical morphology in all languages.
short-a-with-h	Ush	10	4	6	"{""unmarked"": 4}"	Outcome counts overlap for source/lect/cell variants. These are counterpart ranges, not direct tests of identical morphology in all languages.
Gilgit-short-o-adjectives	Sh	114	114	0	"{""E@-1"": 3, ""E@-2"": 29, ""F@-2"": 4, ""L@-1"": 3, ""L@-2"": 27, ""LR@-1"": 1, ""R@-1"": 1, ""R@-2"": 3, ""S@-1"": 2, ""S@-2"": 58, ""S@-3"": 1, ""multiple-accents"": 1, ""short-monosyllable"": 4, ""stress-marked@-1"": 7, ""stress-marked@-2"": 23, ""stress-marked@position-unresolved"": 5, ""syllable-marked@-1"": 3, ""syllable-marked@-2"": 11, ""syllable-marked@position-unresolved"": 2, ""unmarked"": 50, ""vowel-sequence-marked@position-unresolved"": 5}"	Outcome counts overlap for source/lect/cell variants. These are counterpart ranges, not direct tests of identical morphology in all languages.
Gilgit-short-o-adjectives	Phal	114	31	83	"{""E@-1"": 3, ""E@-2"": 14, ""L@-1"": 3, ""L@-2"": 1, ""S@-1"": 1, ""S@-2"": 13, ""short-monosyllable"": 2, ""syllable-marked@-1"": 2, ""syllable-marked@-2"": 14, ""syllable-marked@-3"": 1, ""unmarked"": 21, ""vowel-sequence-marked@position-unresolved"": 1}"	Outcome counts overlap for source/lect/cell variants. These are counterpart ranges, not direct tests of identical morphology in all languages.
Gilgit-short-o-adjectives	Sv	114	14	100	"{""syllable-marked@-1"": 4, ""syllable-marked@-2"": 1, ""unmarked"": 10}"	Outcome counts overlap for source/lect/cell variants. These are counterpart ranges, not direct tests of identical morphology in all languages.
Gilgit-short-o-adjectives	Kalk	114	8	106	"{""Hshort@-1"": 2, ""P-high-rising"": 1, ""P-low-level"": 1, ""unmarked"": 6}"	Outcome counts overlap for source/lect/cell variants. These are counterpart ranges, not direct tests of identical morphology in all languages.
Gilgit-short-o-adjectives	Kund	114	14	100	"{""F@-2"": 1, ""R@-1"": 1, ""unmarked"": 13}"	Outcome counts overlap for source/lect/cell variants. These are counterpart ranges, not direct tests of identical morphology in all languages.
Gilgit-short-o-adjectives	bro	114	13	101	"{""stress-marked@-2"": 10, ""stress-marked@position-unresolved"": 1, ""unmarked"": 3}"	Outcome counts overlap for source/lect/cell variants. These are counterpart ranges, not direct tests of identical morphology in all languages.
Gilgit-short-o-adjectives	Ush	114	21	93	"{""stress-marked@-2"": 14, ""stress-marked@-3"": 1, ""stress-marked@position-unresolved"": 2, ""unmarked"": 5}"	Outcome counts overlap for source/lect/cell variants. These are counterpart ranges, not direct tests of identical morphology in all languages.
Palula-short-u-adjectives	Sh	124	31	93	"{""E@-1"": 2, ""E@-2"": 5, ""F@-2"": 2, ""L@-1"": 2, ""L@-2"": 7, ""R@-2"": 3, ""S@-2"": 13, ""short-monosyllable"": 1, ""stress-marked"": 1, ""stress-marked@-1"": 3, ""stress-marked@-2"": 15, ""stress-marked@position-unresolved"": 3, ""syllable-marked@-1"": 2, ""syllable-marked@-2"": 6, ""syllable-marked@position-unresolved"": 1, ""unmarked"": 28, ""vowel-sequence-marked@position-unresolved"": 1}"	Outcome counts overlap for source/lect/cell variants. These are counterpart ranges, not direct tests of identical morphology in all languages.
Palula-short-u-adjectives	Phal	124	124	0	"{""E@-1"": 1, ""E@-2"": 69, ""L@-2"": 3, ""S@-1"": 9, ""S@-2"": 43, ""short-monosyllable"": 1, ""syllable-marked@-1"": 1, ""syllable-marked@-2"": 27, ""syllable-marked@-3"": 2, ""syllable-marked@position-unresolved"": 1, ""unmarked"": 30, ""vowel-sequence-marked@position-unresolved"": 7}"	Outcome counts overlap for source/lect/cell variants. These are counterpart ranges, not direct tests of identical morphology in all languages.
Palula-short-u-adjectives	Sv	124	16	108	"{""syllable-marked@-1"": 3, ""syllable-marked@-2"": 2, ""unmarked"": 13}"	Outcome counts overlap for source/lect/cell variants. These are counterpart ranges, not direct tests of identical morphology in all languages.
Palula-short-u-adjectives	Kalk	124	7	117	"{""Hshort@-1"": 1, ""P-high-rising"": 1, ""unmarked"": 6}"	Outcome counts overlap for source/lect/cell variants. These are counterpart ranges, not direct tests of identical morphology in all languages.
Palula-short-u-adjectives	Kund	124	8	116	"{""R@-1"": 1, ""unmarked"": 8}"	Outcome counts overlap for source/lect/cell variants. These are counterpart ranges, not direct tests of identical morphology in all languages.
Palula-short-u-adjectives	bro	124	8	116	"{""stress-marked@-2"": 6, ""stress-marked@position-unresolved"": 1, ""unmarked"": 2}"	Outcome counts overlap for source/lect/cell variants. These are counterpart ranges, not direct tests of identical morphology in all languages.
Palula-short-u-adjectives	Ush	124	13	111	"{""stress-marked@-2"": 9, ""stress-marked@-3"": 1, ""stress-marked@position-unresolved"": 2, ""unmarked"": 3}"	Outcome counts overlap for source/lect/cell variants. These are counterpart ranges, not direct tests of identical morphology in all languages.
Palula-aa-ee-i-nouns	Sh	73	3	70	"{""E@-2"": 1, ""F"": 1, ""F@-2"": 1, ""stress-marked@-2"": 1, ""syllable-marked@-2"": 1, ""unmarked"": 2}"	Outcome counts overlap for source/lect/cell variants. These are counterpart ranges, not direct tests of identical morphology in all languages.
Palula-aa-ee-i-nouns	Phal	73	73	0	"{""E@-1"": 1, ""L@-1"": 73, ""syllable-marked@-1"": 2, ""unmarked"": 4, ""vowel-sequence-marked@position-unresolved"": 1}"	Outcome counts overlap for source/lect/cell variants. These are counterpart ranges, not direct tests of identical morphology in all languages.
Palula-aa-ee-i-nouns	Sv	73	3	70	"{""syllable-marked@-1"": 1, ""unmarked"": 2}"	Outcome counts overlap for source/lect/cell variants. These are counterpart ranges, not direct tests of identical morphology in all languages.
Palula-aa-ee-i-nouns	Kalk	73	1	72	"{""Low"": 1, ""P-low-level"": 1}"	Outcome counts overlap for source/lect/cell variants. These are counterpart ranges, not direct tests of identical morphology in all languages.
Palula-aa-ee-i-nouns	Kund	73	1	72	"{""unmarked"": 1}"	Outcome counts overlap for source/lect/cell variants. These are counterpart ranges, not direct tests of identical morphology in all languages.
Palula-aa-ee-i-nouns	bro	73	1	72	"{""unmarked"": 1}"	Outcome counts overlap for source/lect/cell variants. These are counterpart ranges, not direct tests of identical morphology in all languages.
Palula-aa-ee-i-nouns	Ush	73	1	72	"{""stress-marked@-2"": 1}"	Outcome counts overlap for source/lect/cell variants. These are counterpart ranges, not direct tests of identical morphology in all languages.
Palula-other-i-nouns	Sh	35	6	29	"{""E@-1"": 1, ""S@-2"": 1, ""short-monosyllable"": 1, ""stress-marked@-1"": 1, ""stress-marked@-2"": 2, ""syllable-marked@-1"": 1, ""syllable-marked@-2"": 1, ""unmarked"": 6}"	Outcome counts overlap for source/lect/cell variants. These are counterpart ranges, not direct tests of identical morphology in all languages.
Palula-other-i-nouns	Phal	35	35	0	"{""E@-1"": 8, ""E@-2"": 2, ""L@-1"": 24, ""S@-1"": 5, ""multiple-accents"": 1, ""short-monosyllable"": 7, ""syllable-marked@-1"": 5, ""syllable-marked@-2"": 1, ""syllable-marked@position-unresolved"": 1, ""unmarked"": 6, ""vowel-sequence-marked@position-unresolved"": 1}"	Outcome counts overlap for source/lect/cell variants. These are counterpart ranges, not direct tests of identical morphology in all languages.
Palula-other-i-nouns	Sv	35	3	32	"{""syllable-marked@-1"": 1, ""syllable-marked@position-unresolved"": 1, ""unmarked"": 1}"	Outcome counts overlap for source/lect/cell variants. These are counterpart ranges, not direct tests of identical morphology in all languages.
Palula-other-i-nouns	Kalk	35	2	33	"{""Low"": 1, ""P-high-level"": 1}"	Outcome counts overlap for source/lect/cell variants. These are counterpart ranges, not direct tests of identical morphology in all languages.
Palula-other-i-nouns	Kund	35	1	34	"{""unmarked"": 1}"	Outcome counts overlap for source/lect/cell variants. These are counterpart ranges, not direct tests of identical morphology in all languages.
Palula-other-i-nouns	bro	35	2	33	"{""stress-marked@-2"": 1, ""unmarked"": 2}"	Outcome counts overlap for source/lect/cell variants. These are counterpart ranges, not direct tests of identical morphology in all languages.
Palula-other-i-nouns	Ush	35	1	34	"{""stress-marked@-2"": 1, ""unmarked"": 1}"	Outcome counts overlap for source/lect/cell variants. These are counterpart ranges, not direct tests of identical morphology in all languages.
Palula-umlaut-u-adjectives	Sh	37	11	26	"{""E@-1"": 1, ""E@-2"": 1, ""F@-2"": 2, ""L@-1"": 1, ""L@-2"": 4, ""R@-2"": 1, ""S@-2"": 4, ""short-monosyllable"": 1, ""stress-marked@-1"": 2, ""stress-marked@-2"": 5, ""stress-marked@position-unresolved"": 1, ""syllable-marked@-1"": 1, ""syllable-marked@-2"": 4, ""unmarked"": 10, ""vowel-sequence-marked@position-unresolved"": 1}"	Outcome counts overlap for source/lect/cell variants. These are counterpart ranges, not direct tests of identical morphology in all languages.
Palula-umlaut-u-adjectives	Phal	37	37	0	"{""E@-1"": 1, ""E@-2"": 35, ""L@-2"": 1, ""S@-2"": 2, ""multiple-accents"": 1, ""syllable-marked@-2"": 11, ""syllable-marked@-3"": 1, ""syllable-marked@position-unresolved"": 1, ""unmarked"": 11, ""vowel-sequence-marked@position-unresolved"": 2}"	Outcome counts overlap for source/lect/cell variants. These are counterpart ranges, not direct tests of identical morphology in all languages.
Palula-umlaut-u-adjectives	Sv	37	7	30	"{""syllable-marked@-1"": 1, ""unmarked"": 7}"	Outcome counts overlap for source/lect/cell variants. These are counterpart ranges, not direct tests of identical morphology in all languages.
Palula-umlaut-u-adjectives	Kalk	37	4	33	"{""unmarked"": 4}"	Outcome counts overlap for source/lect/cell variants. These are counterpart ranges, not direct tests of identical morphology in all languages.
Palula-umlaut-u-adjectives	Kund	37	4	33	"{""unmarked"": 4}"	Outcome counts overlap for source/lect/cell variants. These are counterpart ranges, not direct tests of identical morphology in all languages.
Palula-umlaut-u-adjectives	bro	37	2	35	"{""stress-marked@-2"": 1, ""unmarked"": 1}"	Outcome counts overlap for source/lect/cell variants. These are counterpart ranges, not direct tests of identical morphology in all languages.
Palula-umlaut-u-adjectives	Ush	37	6	31	"{""stress-marked@-2"": 5, ""unmarked"": 2}"	Outcome counts overlap for source/lect/cell variants. These are counterpart ranges, not direct tests of identical morphology in all languages.
Palula-grammatical-u-adjectives	Sh	126	31	95	"{""E@-1"": 2, ""E@-2"": 5, ""F@-2"": 2, ""L@-1"": 2, ""L@-2"": 7, ""R@-2"": 3, ""S@-2"": 13, ""short-monosyllable"": 1, ""stress-marked"": 1, ""stress-marked@-1"": 4, ""stress-marked@-2"": 15, ""stress-marked@position-unresolved"": 3, ""syllable-marked@-1"": 1, ""syllable-marked@-2"": 6, ""syllable-marked@position-unresolved"": 1, ""unmarked"": 28, ""vowel-sequence-marked@position-unresolved"": 1}"	Outcome counts overlap for source/lect/cell variants. These are counterpart ranges, not direct tests of identical morphology in all languages.
Palula-grammatical-u-adjectives	Phal	126	126	0	"{""E@-1"": 1, ""E@-2"": 71, ""L@-2"": 3, ""S@-1"": 8, ""S@-2"": 44, ""multiple-accents"": 1, ""short-monosyllable"": 1, ""syllable-marked@-1"": 1, ""syllable-marked@-2"": 27, ""syllable-marked@-3"": 2, ""syllable-marked@position-unresolved"": 1, ""unmarked"": 30, ""vowel-sequence-marked@position-unresolved"": 6}"	Outcome counts overlap for source/lect/cell variants. These are counterpart ranges, not direct tests of identical morphology in all languages.
Palula-grammatical-u-adjectives	Sv	126	16	110	"{""syllable-marked@-1"": 3, ""syllable-marked@-2"": 2, ""unmarked"": 13}"	Outcome counts overlap for source/lect/cell variants. These are counterpart ranges, not direct tests of identical morphology in all languages.
Palula-grammatical-u-adjectives	Kalk	126	7	119	"{""Hshort@-1"": 1, ""P-high-rising"": 1, ""unmarked"": 6}"	Outcome counts overlap for source/lect/cell variants. These are counterpart ranges, not direct tests of identical morphology in all languages.
Palula-grammatical-u-adjectives	Kund	126	9	117	"{""R@-1"": 1, ""unmarked"": 9}"	Outcome counts overlap for source/lect/cell variants. These are counterpart ranges, not direct tests of identical morphology in all languages.
Palula-grammatical-u-adjectives	bro	126	9	117	"{""stress-marked@-2"": 6, ""stress-marked@position-unresolved"": 1, ""unmarked"": 3}"	Outcome counts overlap for source/lect/cell variants. These are counterpart ranges, not direct tests of identical morphology in all languages.
Palula-grammatical-u-adjectives	Ush	126	13	113	"{""stress-marked@-2"": 9, ""stress-marked@-3"": 1, ""stress-marked@position-unresolved"": 2, ""unmarked"": 3}"	Outcome counts overlap for source/lect/cell variants. These are counterpart ranges, not direct tests of identical morphology in all languages.
raising-Biori-early-a-long-final-closed	Sh	51	14	37	"{""E@-1"": 8, ""E@-2"": 2, ""S@-2"": 1, ""stress-marked@-1"": 4, ""stress-marked@-2"": 2, ""stress-marked@position-unresolved"": 2, ""syllable-marked@-1"": 1, ""syllable-marked@position-unresolved"": 2, ""unmarked"": 12, ""vowel-sequence-marked@position-unresolved"": 2}"	Outcome counts overlap for source/lect/cell variants. These are counterpart ranges, not direct tests of identical morphology in all languages.
raising-Biori-early-a-long-final-closed	Phal	51	51	0	"{""E@-1"": 51, ""L@-1"": 1, ""syllable-marked@-1"": 5, ""syllable-marked@-2"": 1, ""unmarked"": 14}"	Outcome counts overlap for source/lect/cell variants. These are counterpart ranges, not direct tests of identical morphology in all languages.
raising-Biori-early-a-long-final-closed	Sv	51	11	40	"{""syllable-marked@-1"": 3, ""unmarked"": 11}"	Outcome counts overlap for source/lect/cell variants. These are counterpart ranges, not direct tests of identical morphology in all languages.
raising-Biori-early-a-long-final-closed	Kalk	51	9	42	"{""0-explicit"": 1, ""H2@-1"": 5, ""P-high-falling"": 1, ""unmarked"": 6}"	Outcome counts overlap for source/lect/cell variants. These are counterpart ranges, not direct tests of identical morphology in all languages.
raising-Biori-early-a-long-final-closed	Kund	51	5	46	"{""H-marked"": 1, ""unmarked"": 4}"	Outcome counts overlap for source/lect/cell variants. These are counterpart ranges, not direct tests of identical morphology in all languages.
raising-Biori-early-a-long-final-closed	bro	51	7	44	"{""stress-marked@-1"": 2, ""stress-marked@-2"": 2, ""unmarked"": 3}"	Outcome counts overlap for source/lect/cell variants. These are counterpart ranges, not direct tests of identical morphology in all languages.
raising-Biori-early-a-long-final-closed	Ush	51	7	44	"{""stress-marked@-1"": 3, ""stress-marked@position-unresolved"": 1, ""unmarked"": 3}"	Outcome counts overlap for source/lect/cell variants. These are counterpart ranges, not direct tests of identical morphology in all languages.
raising-Biori-early-e-long-final-closed	Sh	12	8	4	"{""E@-1"": 3, ""L@-1"": 1, ""S@-1"": 1, ""short-monosyllable"": 1, ""stress-marked"": 1, ""stress-marked@-1"": 3, ""stress-marked@-2"": 1, ""stress-marked@position-unresolved"": 1, ""syllable-marked@-1"": 1, ""syllable-marked@position-unresolved"": 3, ""unmarked"": 7, ""vowel-sequence-marked@position-unresolved"": 1}"	Outcome counts overlap for source/lect/cell variants. These are counterpart ranges, not direct tests of identical morphology in all languages.
raising-Biori-early-e-long-final-closed	Phal	12	12	0	"{""E@-1"": 12, ""syllable-marked@-1"": 2, ""syllable-marked@position-unresolved"": 1, ""unmarked"": 8}"	Outcome counts overlap for source/lect/cell variants. These are counterpart ranges, not direct tests of identical morphology in all languages.
raising-Biori-early-e-long-final-closed	Sv	12	6	6	"{""syllable-marked@-1"": 3, ""unmarked"": 6}"	Outcome counts overlap for source/lect/cell variants. These are counterpart ranges, not direct tests of identical morphology in all languages.
raising-Biori-early-e-long-final-closed	Kalk	12	7	5	"{""H2@-1"": 5, ""Hshort@-2"": 1, ""P-high-rising"": 1, ""multiple-H"": 1, ""unmarked"": 2}"	Outcome counts overlap for source/lect/cell variants. These are counterpart ranges, not direct tests of identical morphology in all languages.
raising-Biori-early-e-long-final-closed	Kund	12	0	12	{}	Outcome counts overlap for source/lect/cell variants. These are counterpart ranges, not direct tests of identical morphology in all languages.
raising-Biori-early-e-long-final-closed	bro	12	5	7	"{""stress-marked@-2"": 3, ""unmarked"": 2}"	Outcome counts overlap for source/lect/cell variants. These are counterpart ranges, not direct tests of identical morphology in all languages.
raising-Biori-early-e-long-final-closed	Ush	12	3	9	"{""stress-marked@-2"": 1, ""stress-marked@position-unresolved"": 1, ""unmarked"": 1}"	Outcome counts overlap for source/lect/cell variants. These are counterpart ranges, not direct tests of identical morphology in all languages.
raising-Biori-late-a-long-final-closed	Sh	4	0	4	{}	Outcome counts overlap for source/lect/cell variants. These are counterpart ranges, not direct tests of identical morphology in all languages.
raising-Biori-late-a-long-final-closed	Phal	4	4	0	"{""L@-1"": 4}"	Outcome counts overlap for source/lect/cell variants. These are counterpart ranges, not direct tests of identical morphology in all languages.
raising-Biori-late-a-long-final-closed	Sv	4	0	4	{}	Outcome counts overlap for source/lect/cell variants. These are counterpart ranges, not direct tests of identical morphology in all languages.
raising-Biori-late-a-long-final-closed	Kalk	4	0	4	{}	Outcome counts overlap for source/lect/cell variants. These are counterpart ranges, not direct tests of identical morphology in all languages.
raising-Biori-late-a-long-final-closed	Kund	4	0	4	{}	Outcome counts overlap for source/lect/cell variants. These are counterpart ranges, not direct tests of identical morphology in all languages.
raising-Biori-late-a-long-final-closed	bro	4	0	4	{}	Outcome counts overlap for source/lect/cell variants. These are counterpart ranges, not direct tests of identical morphology in all languages.
raising-Biori-late-a-long-final-closed	Ush	4	0	4	{}	Outcome counts overlap for source/lect/cell variants. These are counterpart ranges, not direct tests of identical morphology in all languages.
Kalkoti-comparison-Palula-E-without-short-final-vowel	Sh	24	23	1	"{""E@-1"": 10, ""F"": 1, ""S@-1"": 1, ""S@-2"": 1, ""short-monosyllable"": 15, ""stress-marked"": 1, ""stress-marked@-1"": 4, ""stress-marked@-2"": 2, ""stress-marked@-3"": 1, ""stress-marked@position-unresolved"": 4, ""syllable-marked@-1"": 2, ""syllable-marked@position-unresolved"": 2, ""unmarked"": 23, ""vowel-sequence-marked@position-unresolved"": 4}"	Outcome counts overlap for source/lect/cell variants. These are counterpart ranges, not direct tests of identical morphology in all languages.
Kalkoti-comparison-Palula-E-without-short-final-vowel	Phal	24	24	0	"{""E@-1"": 24, ""S@-1"": 1, ""S@-2"": 1, ""short-monosyllable"": 12, ""syllable-marked@-2"": 1, ""syllable-marked@-3"": 1, ""unmarked"": 23}"	Outcome counts overlap for source/lect/cell variants. These are counterpart ranges, not direct tests of identical morphology in all languages.
Kalkoti-comparison-Palula-E-without-short-final-vowel	Sv	24	22	2	"{""syllable-marked@-1"": 1, ""syllable-marked@position-unresolved"": 1, ""unmarked"": 21}"	Outcome counts overlap for source/lect/cell variants. These are counterpart ranges, not direct tests of identical morphology in all languages.
Kalkoti-comparison-Palula-E-without-short-final-vowel	Kalk	24	24	0	"{""0-explicit"": 4, ""H2@-1"": 4, ""Hshort@-2"": 1, ""P-high-level"": 5, ""multiple-H"": 1, ""unmarked"": 20}"	Outcome counts overlap for source/lect/cell variants. These are counterpart ranges, not direct tests of identical morphology in all languages.
Kalkoti-comparison-Palula-E-without-short-final-vowel	Kund	24	14	10	"{""unmarked"": 14}"	Outcome counts overlap for source/lect/cell variants. These are counterpart ranges, not direct tests of identical morphology in all languages.
Kalkoti-comparison-Palula-E-without-short-final-vowel	bro	24	20	4	"{""stress-marked@-1"": 2, ""stress-marked@-2"": 1, ""stress-marked@position-unresolved"": 1, ""unmarked"": 18}"	Outcome counts overlap for source/lect/cell variants. These are counterpart ranges, not direct tests of identical morphology in all languages.
Kalkoti-comparison-Palula-E-without-short-final-vowel	Ush	24	17	7	"{""stress-marked@position-unresolved"": 3, ""unmarked"": 14}"	Outcome counts overlap for source/lect/cell variants. These are counterpart ranges, not direct tests of identical morphology in all languages.
Kalkoti-comparison-Palula-L-without-short-final-vowel	Sh	12	7	5	"{""E@-1"": 1, ""F"": 2, ""F@-2"": 1, ""L@-1"": 4, ""L@-2"": 1, ""LR@-1"": 4, ""R@-1"": 3, ""marked-contour-needs-reading@position-unresolved"": 1, ""multiple-contours@position-unresolved"": 1, ""stress-marked@-1"": 3, ""stress-marked@-2"": 2, ""stress-marked@position-unresolved"": 2, ""syllable-marked@-2"": 1, ""syllable-marked@position-unresolved"": 1, ""unmarked"": 7, ""vowel-sequence-marked@position-unresolved"": 1}"	Outcome counts overlap for source/lect/cell variants. These are counterpart ranges, not direct tests of identical morphology in all languages.
Kalkoti-comparison-Palula-L-without-short-final-vowel	Phal	12	12	0	"{""L@-1"": 12, ""S@-1"": 1, ""marked-contour-needs-reading@-1"": 1, ""multiple-accents"": 1, ""short-monosyllable"": 1, ""syllable-marked@-1"": 3, ""syllable-marked@position-unresolved"": 1, ""unmarked"": 10, ""vowel-sequence-marked@position-unresolved"": 1}"	Outcome counts overlap for source/lect/cell variants. These are counterpart ranges, not direct tests of identical morphology in all languages.
Kalkoti-comparison-Palula-L-without-short-final-vowel	Sv	12	9	3	"{""unmarked"": 9}"	Outcome counts overlap for source/lect/cell variants. These are counterpart ranges, not direct tests of identical morphology in all languages.
Kalkoti-comparison-Palula-L-without-short-final-vowel	Kalk	12	12	0	"{""H1@-1"": 4, ""Low"": 2, ""P-high-falling"": 1, ""P-low-level"": 3, ""unmarked"": 7}"	Outcome counts overlap for source/lect/cell variants. These are counterpart ranges, not direct tests of identical morphology in all languages.
Kalkoti-comparison-Palula-L-without-short-final-vowel	Kund	12	4	8	"{""F@-1"": 1, ""R@-1"": 1, ""unmarked"": 2}"	Outcome counts overlap for source/lect/cell variants. These are counterpart ranges, not direct tests of identical morphology in all languages.
Kalkoti-comparison-Palula-L-without-short-final-vowel	bro	12	3	9	"{""stress-marked@-1"": 1, ""unmarked"": 3}"	Outcome counts overlap for source/lect/cell variants. These are counterpart ranges, not direct tests of identical morphology in all languages.
Kalkoti-comparison-Palula-L-without-short-final-vowel	Ush	12	7	5	"{""stress-marked@-2"": 1, ""stress-marked@position-unresolved"": 1, ""unmarked"": 5}"	Outcome counts overlap for source/lect/cell variants. These are counterpart ranges, not direct tests of identical morphology in all languages.
Kalkoti-comparison-Palula-prefinal-accent-plus-short-final-vowel	Sh	19	17	2	"{""E@-1"": 3, ""E@-2"": 7, ""F"": 1, ""F@-2"": 3, ""L@-1"": 2, ""L@-2"": 2, ""LR@-1"": 1, ""R@-1"": 1, ""R@-2"": 1, ""S@-2"": 2, ""short-monosyllable"": 1, ""stress-marked@-1"": 1, ""stress-marked@-2"": 7, ""stress-marked@position-unresolved"": 1, ""syllable-marked@-2"": 1, ""unmarked"": 16, ""vowel-sequence-marked@position-unresolved"": 1}"	Outcome counts overlap for source/lect/cell variants. These are counterpart ranges, not direct tests of identical morphology in all languages.
Kalkoti-comparison-Palula-prefinal-accent-plus-short-final-vowel	Phal	19	19	0	"{""E@-1"": 1, ""E@-2"": 16, ""L@-2"": 1, ""S@-2"": 3, ""syllable-marked@-1"": 1, ""syllable-marked@-2"": 7, ""unmarked"": 14}"	Outcome counts overlap for source/lect/cell variants. These are counterpart ranges, not direct tests of identical morphology in all languages.
Kalkoti-comparison-Palula-prefinal-accent-plus-short-final-vowel	Sv	19	8	11	"{""syllable-marked@-1"": 1, ""syllable-marked@-2"": 1, ""unmarked"": 7}"	Outcome counts overlap for source/lect/cell variants. These are counterpart ranges, not direct tests of identical morphology in all languages.
Kalkoti-comparison-Palula-prefinal-accent-plus-short-final-vowel	Kalk	19	19	0	"{""H2@-1"": 3, ""Hshort@-1"": 1, ""Low+H2@-1"": 2, ""P-high-rising"": 4, ""P-high-rising@-1"": 1, ""P-low-rising"": 2, ""P-low-rising@-1"": 1, ""unmarked"": 10}"	Outcome counts overlap for source/lect/cell variants. These are counterpart ranges, not direct tests of identical morphology in all languages.
Kalkoti-comparison-Palula-prefinal-accent-plus-short-final-vowel	Kund	19	6	13	"{""H-marked"": 1, ""R@-1"": 2, ""unmarked"": 4}"	Outcome counts overlap for source/lect/cell variants. These are counterpart ranges, not direct tests of identical morphology in all languages.
Kalkoti-comparison-Palula-prefinal-accent-plus-short-final-vowel	bro	19	7	12	"{""stress-marked@-2"": 6, ""unmarked"": 2}"	Outcome counts overlap for source/lect/cell variants. These are counterpart ranges, not direct tests of identical morphology in all languages.
Kalkoti-comparison-Palula-prefinal-accent-plus-short-final-vowel	Ush	19	7	12	"{""stress-marked@-2"": 4, ""unmarked"": 4}"	Outcome counts overlap for source/lect/cell variants. These are counterpart ranges, not direct tests of identical morphology in all languages.
