analysis_token_id	record_id	family_id	language	dialect	source	form	gloss	historical_input	input_basis	input_id	input_class	old_nuclei	old_accent_count	old_accent_position	old_accent_from_right	old_accent_quantity	old_final_quantity	old_later_long	old_reconstructed	old_aspiration	old_initial_h	old_quantity_pattern	old_first_quantity	old_first_vowel	old_intervocalic_cluster	old_shape	notation	outcome	raw_outcome	modern_nuclei	accent_from_right	stress_from_right	screening_exclusions	family_analysis	family_unresolved	individual_review
f_o7lfd4wnm2gi6	f_o7lfd4wnm2gi6	43	Phal	Phal	strand	ac̣hʹî	eye	ákṣi	nearest-formation	43	old-short-barytone	2	1	1	2	short	short	0	0	0	0	SS	short	a	kṣ	VV	strand-phonatory-accent	E@-1	E	2	1			Palula ac̣híi and the four principal modern Shina citations have early accent on the final long vowel, not late accent. Independently attested accented dual akṣī́ is a plausible input, with number and gender reanalysis; the singular ákṣi alone does not predict the modern final syllable. Kalkoti2013 has both an unmarked long-final ic̣ii citation and explicitly Low short-final ic̣ì in p144footnote15. Preserve that source distinction rather than invent a uniform High category. Short Kundal aś has lost the diagnostic final material.	The exact number-to-lexeme and gender transition needs a fuller historical paradigm. Kalkoti final quantity variation and Low history require matched lexical/grammatical cells.	family-context-first-pass
f_ciicxpap6v5ts	f_ciicxpap6v5ts	43	Sh	Gupis	backstrom1992	ɑˈč̣ʰi	eye	ákṣi	nearest-formation	43	old-short-barytone	2	1	1	2	short	short	0	0	0	0	SS	short	a	kṣ	VV	survey-phonetic	stress-marked@-1	stress-marked	2		1		Palula ac̣híi and the four principal modern Shina citations have early accent on the final long vowel, not late accent. Independently attested accented dual akṣī́ is a plausible input, with number and gender reanalysis; the singular ákṣi alone does not predict the modern final syllable. Kalkoti2013 has both an unmarked long-final ic̣ii citation and explicitly Low short-final ic̣ì in p144footnote15. Preserve that source distinction rather than invent a uniform High category. Short Kundal aś has lost the diagnostic final material.	The exact number-to-lexeme and gender transition needs a fuller historical paradigm. Kalkoti final quantity variation and Low history require matched lexical/grammatical cells.	family-context-first-pass
f_b6rkaz65fzwck	f_b6rkaz65fzwck	43	Sh	punl	backstrom1992	ɑˈč̣ʰi	eye	ákṣi	nearest-formation	43	old-short-barytone	2	1	1	2	short	short	0	0	0	0	SS	short	a	kṣ	VV	survey-phonetic	stress-marked@-1	stress-marked	2		1		Palula ac̣híi and the four principal modern Shina citations have early accent on the final long vowel, not late accent. Independently attested accented dual akṣī́ is a plausible input, with number and gender reanalysis; the singular ákṣi alone does not predict the modern final syllable. Kalkoti2013 has both an unmarked long-final ic̣ii citation and explicitly Low short-final ic̣ì in p144footnote15. Preserve that source distinction rather than invent a uniform High category. Short Kundal aś has lost the diagnostic final material.	The exact number-to-lexeme and gender transition needs a fuller historical paradigm. Kalkoti final quantity variation and Low history require matched lexical/grammatical cells.	family-context-first-pass
f_m7vrdllm2atac	f_m7vrdllm2atac	43	Sh	HunzaNasirabad	backstrom1992	ɑˈč̣ʰi	eye	ákṣi	nearest-formation	43	old-short-barytone	2	1	1	2	short	short	0	0	0	0	SS	short	a	kṣ	VV	survey-phonetic	stress-marked@-1	stress-marked	2		1		Palula ac̣híi and the four principal modern Shina citations have early accent on the final long vowel, not late accent. Independently attested accented dual akṣī́ is a plausible input, with number and gender reanalysis; the singular ákṣi alone does not predict the modern final syllable. Kalkoti2013 has both an unmarked long-final ic̣ii citation and explicitly Low short-final ic̣ì in p144footnote15. Preserve that source distinction rather than invent a uniform High category. Short Kundal aś has lost the diagnostic final material.	The exact number-to-lexeme and gender transition needs a fuller historical paradigm. Kalkoti final quantity variation and Low history require matched lexical/grammatical cells.	family-context-first-pass
f_fb7k3zwxv2w5a	f_fb7k3zwxv2w5a	43	Sh	NagarThol	backstrom1992	ɑˈč̣ʰi	eye	ákṣi	nearest-formation	43	old-short-barytone	2	1	1	2	short	short	0	0	0	0	SS	short	a	kṣ	VV	survey-phonetic	stress-marked@-1	stress-marked	2		1		Palula ac̣híi and the four principal modern Shina citations have early accent on the final long vowel, not late accent. Independently attested accented dual akṣī́ is a plausible input, with number and gender reanalysis; the singular ákṣi alone does not predict the modern final syllable. Kalkoti2013 has both an unmarked long-final ic̣ii citation and explicitly Low short-final ic̣ì in p144footnote15. Preserve that source distinction rather than invent a uniform High category. Short Kundal aś has lost the diagnostic final material.	The exact number-to-lexeme and gender transition needs a fuller historical paradigm. Kalkoti final quantity variation and Low history require matched lexical/grammatical cells.	family-context-first-pass
f_m4dd5wrt35pi6	f_m4dd5wrt35pi6	43	Sh	NagarChalt	backstrom1992	ɑˈč̣ʰi	eye	ákṣi	nearest-formation	43	old-short-barytone	2	1	1	2	short	short	0	0	0	0	SS	short	a	kṣ	VV	survey-phonetic	stress-marked@-1	stress-marked	2		1		Palula ac̣híi and the four principal modern Shina citations have early accent on the final long vowel, not late accent. Independently attested accented dual akṣī́ is a plausible input, with number and gender reanalysis; the singular ákṣi alone does not predict the modern final syllable. Kalkoti2013 has both an unmarked long-final ic̣ii citation and explicitly Low short-final ic̣ì in p144footnote15. Preserve that source distinction rather than invent a uniform High category. Short Kundal aś has lost the diagnostic final material.	The exact number-to-lexeme and gender transition needs a fuller historical paradigm. Kalkoti final quantity variation and Low history require matched lexical/grammatical cells.	family-context-first-pass
f_aabpouqz5sami	f_aabpouqz5sami	43	Sh	gil	backstrom1992	ɑˈč̣ʰi̱	eye	ákṣi	nearest-formation	43	old-short-barytone	2	1	1	2	short	short	0	0	0	0	SS	short	a	kṣ	VV	survey-phonetic	stress-marked@-1	stress-marked	2		1		Palula ac̣híi and the four principal modern Shina citations have early accent on the final long vowel, not late accent. Independently attested accented dual akṣī́ is a plausible input, with number and gender reanalysis; the singular ákṣi alone does not predict the modern final syllable. Kalkoti2013 has both an unmarked long-final ic̣ii citation and explicitly Low short-final ic̣ì in p144footnote15. Preserve that source distinction rather than invent a uniform High category. Short Kundal aś has lost the diagnostic final material.	The exact number-to-lexeme and gender transition needs a fuller historical paradigm. Kalkoti final quantity variation and Low history require matched lexical/grammatical cells.	family-context-first-pass
f_r76725s7k64a6	f_r76725s7k64a6	43	Sh	gil	backstrom1992	ɑˈṣ̌i	eye	ákṣi	nearest-formation	43	old-short-barytone	2	1	1	2	short	short	0	0	0	0	SS	short	a	kṣ	VV	survey-phonetic	stress-marked@-1	stress-marked	2		1		Palula ac̣híi and the four principal modern Shina citations have early accent on the final long vowel, not late accent. Independently attested accented dual akṣī́ is a plausible input, with number and gender reanalysis; the singular ákṣi alone does not predict the modern final syllable. Kalkoti2013 has both an unmarked long-final ic̣ii citation and explicitly Low short-final ic̣ì in p144footnote15. Preserve that source distinction rather than invent a uniform High category. Short Kundal aś has lost the diagnostic final material.	The exact number-to-lexeme and gender transition needs a fuller historical paradigm. Kalkoti final quantity variation and Low history require matched lexical/grammatical cells.	family-context-first-pass
f_rtllb24ycuvnc	f_rtllb24ycuvnc	43	Sh	Haramosh	backstrom1992	ɑˈč̣ʰi	eye	ákṣi	nearest-formation	43	old-short-barytone	2	1	1	2	short	short	0	0	0	0	SS	short	a	kṣ	VV	survey-phonetic	stress-marked@-1	stress-marked	2		1		Palula ac̣híi and the four principal modern Shina citations have early accent on the final long vowel, not late accent. Independently attested accented dual akṣī́ is a plausible input, with number and gender reanalysis; the singular ákṣi alone does not predict the modern final syllable. Kalkoti2013 has both an unmarked long-final ic̣ii citation and explicitly Low short-final ic̣ì in p144footnote15. Preserve that source distinction rather than invent a uniform High category. Short Kundal aś has lost the diagnostic final material.	The exact number-to-lexeme and gender transition needs a fuller historical paradigm. Kalkoti final quantity variation and Low history require matched lexical/grammatical cells.	family-context-first-pass
f_uxcdzghafcjhc	f_uxcdzghafcjhc	43	Sh	Bagrot	backstrom1992	ɑˈč̣ʰi	eye	ákṣi	nearest-formation	43	old-short-barytone	2	1	1	2	short	short	0	0	0	0	SS	short	a	kṣ	VV	survey-phonetic	stress-marked@-1	stress-marked	2		1		Palula ac̣híi and the four principal modern Shina citations have early accent on the final long vowel, not late accent. Independently attested accented dual akṣī́ is a plausible input, with number and gender reanalysis; the singular ákṣi alone does not predict the modern final syllable. Kalkoti2013 has both an unmarked long-final ic̣ii citation and explicitly Low short-final ic̣ì in p144footnote15. Preserve that source distinction rather than invent a uniform High category. Short Kundal aś has lost the diagnostic final material.	The exact number-to-lexeme and gender transition needs a fuller historical paradigm. Kalkoti final quantity variation and Low history require matched lexical/grammatical cells.	family-context-first-pass
f_ewbm73plvpffa	f_ewbm73plvpffa	43	Sh	Bunji	backstrom1992	ɑ̱ˈṣ̌i	eye	ákṣi	nearest-formation	43	old-short-barytone	2	1	1	2	short	short	0	0	0	0	SS	short	a	kṣ	VV	survey-phonetic	stress-marked@-1	stress-marked	2		1		Palula ac̣híi and the four principal modern Shina citations have early accent on the final long vowel, not late accent. Independently attested accented dual akṣī́ is a plausible input, with number and gender reanalysis; the singular ákṣi alone does not predict the modern final syllable. Kalkoti2013 has both an unmarked long-final ic̣ii citation and explicitly Low short-final ic̣ì in p144footnote15. Preserve that source distinction rather than invent a uniform High category. Short Kundal aś has lost the diagnostic final material.	The exact number-to-lexeme and gender transition needs a fuller historical paradigm. Kalkoti final quantity variation and Low history require matched lexical/grammatical cells.	family-context-first-pass
f_zxf75ha7v24ke	f_zxf75ha7v24ke	43	Sh	Rondu	backstrom1992	ʌˈč̣i	eye	ákṣi	nearest-formation	43	old-short-barytone	2	1	1	2	short	short	0	0	0	0	SS	short	a	kṣ	VV	survey-phonetic	stress-marked@-1	stress-marked	2		1		Palula ac̣híi and the four principal modern Shina citations have early accent on the final long vowel, not late accent. Independently attested accented dual akṣī́ is a plausible input, with number and gender reanalysis; the singular ákṣi alone does not predict the modern final syllable. Kalkoti2013 has both an unmarked long-final ic̣ii citation and explicitly Low short-final ic̣ì in p144footnote15. Preserve that source distinction rather than invent a uniform High category. Short Kundal aś has lost the diagnostic final material.	The exact number-to-lexeme and gender transition needs a fuller historical paradigm. Kalkoti final quantity variation and Low history require matched lexical/grammatical cells.	family-context-first-pass
f_uuiz6fxf65glw	f_uuiz6fxf65glw	43	Sh	Gahorabad	backstrom1992	ʌč̣i	eye	ákṣi	nearest-formation	43	old-short-barytone	2	1	1	2	short	short	0	0	0	0	SS	short	a	kṣ	VV	survey-phonetic	unmarked	unmarked	2				Palula ac̣híi and the four principal modern Shina citations have early accent on the final long vowel, not late accent. Independently attested accented dual akṣī́ is a plausible input, with number and gender reanalysis; the singular ákṣi alone does not predict the modern final syllable. Kalkoti2013 has both an unmarked long-final ic̣ii citation and explicitly Low short-final ic̣ì in p144footnote15. Preserve that source distinction rather than invent a uniform High category. Short Kundal aś has lost the diagnostic final material.	The exact number-to-lexeme and gender transition needs a fuller historical paradigm. Kalkoti final quantity variation and Low history require matched lexical/grammatical cells.	family-context-first-pass
f_op3hxuumcudua	f_op3hxuumcudua	43	Sh	DashkinAstor	backstrom1992	ɑˈč̣ʰi	eye	ákṣi	nearest-formation	43	old-short-barytone	2	1	1	2	short	short	0	0	0	0	SS	short	a	kṣ	VV	survey-phonetic	stress-marked@-1	stress-marked	2		1		Palula ac̣híi and the four principal modern Shina citations have early accent on the final long vowel, not late accent. Independently attested accented dual akṣī́ is a plausible input, with number and gender reanalysis; the singular ákṣi alone does not predict the modern final syllable. Kalkoti2013 has both an unmarked long-final ic̣ii citation and explicitly Low short-final ic̣ì in p144footnote15. Preserve that source distinction rather than invent a uniform High category. Short Kundal aś has lost the diagnostic final material.	The exact number-to-lexeme and gender transition needs a fuller historical paradigm. Kalkoti final quantity variation and Low history require matched lexical/grammatical cells.	family-context-first-pass
f_o3f3uefcw6tns	f_o3f3uefcw6tns	43	Sh	Astor	backstrom1992	ɑˈč̣ʰi	eye	ákṣi	nearest-formation	43	old-short-barytone	2	1	1	2	short	short	0	0	0	0	SS	short	a	kṣ	VV	survey-phonetic	stress-marked@-1	stress-marked	2		1		Palula ac̣híi and the four principal modern Shina citations have early accent on the final long vowel, not late accent. Independently attested accented dual akṣī́ is a plausible input, with number and gender reanalysis; the singular ákṣi alone does not predict the modern final syllable. Kalkoti2013 has both an unmarked long-final ic̣ii citation and explicitly Low short-final ic̣ì in p144footnote15. Preserve that source distinction rather than invent a uniform High category. Short Kundal aś has lost the diagnostic final material.	The exact number-to-lexeme and gender transition needs a fuller historical paradigm. Kalkoti final quantity variation and Low history require matched lexical/grammatical cells.	family-context-first-pass
f_oby5zda2w3yyc	f_oby5zda2w3yyc	43	Sh	KachuraJel	backstrom1992	ʌˈč̣i	eye	ákṣi	nearest-formation	43	old-short-barytone	2	1	1	2	short	short	0	0	0	0	SS	short	a	kṣ	VV	survey-phonetic	stress-marked@-1	stress-marked	2		1		Palula ac̣híi and the four principal modern Shina citations have early accent on the final long vowel, not late accent. Independently attested accented dual akṣī́ is a plausible input, with number and gender reanalysis; the singular ákṣi alone does not predict the modern final syllable. Kalkoti2013 has both an unmarked long-final ic̣ii citation and explicitly Low short-final ic̣ì in p144footnote15. Preserve that source distinction rather than invent a uniform High category. Short Kundal aś has lost the diagnostic final material.	The exact number-to-lexeme and gender transition needs a fuller historical paradigm. Kalkoti final quantity variation and Low history require matched lexical/grammatical cells.	family-context-first-pass
f_3i7lqstux2eto	f_3i7lqstux2eto	43	Sh	Satpara	backstrom1992	ʌˈč̣i	eye	ákṣi	nearest-formation	43	old-short-barytone	2	1	1	2	short	short	0	0	0	0	SS	short	a	kṣ	VV	survey-phonetic	stress-marked@-1	stress-marked	2		1		Palula ac̣híi and the four principal modern Shina citations have early accent on the final long vowel, not late accent. Independently attested accented dual akṣī́ is a plausible input, with number and gender reanalysis; the singular ákṣi alone does not predict the modern final syllable. Kalkoti2013 has both an unmarked long-final ic̣ii citation and explicitly Low short-final ic̣ì in p144footnote15. Preserve that source distinction rather than invent a uniform High category. Short Kundal aś has lost the diagnostic final material.	The exact number-to-lexeme and gender transition needs a fuller historical paradigm. Kalkoti final quantity variation and Low history require matched lexical/grammatical cells.	family-context-first-pass
f_lw47xdu6h5hhy	f_lw47xdu6h5hhy	43	Sh	Gultari	backstrom1992	ɑˈč̣ʰi	eye	ákṣi	nearest-formation	43	old-short-barytone	2	1	1	2	short	short	0	0	0	0	SS	short	a	kṣ	VV	survey-phonetic	stress-marked@-1	stress-marked	2		1		Palula ac̣híi and the four principal modern Shina citations have early accent on the final long vowel, not late accent. Independently attested accented dual akṣī́ is a plausible input, with number and gender reanalysis; the singular ákṣi alone does not predict the modern final syllable. Kalkoti2013 has both an unmarked long-final ic̣ii citation and explicitly Low short-final ic̣ì in p144footnote15. Preserve that source distinction rather than invent a uniform High category. Short Kundal aś has lost the diagnostic final material.	The exact number-to-lexeme and gender transition needs a fuller historical paradigm. Kalkoti final quantity variation and Low history require matched lexical/grammatical cells.	family-context-first-pass
f_vinnxawbecwns	f_vinnxawbecwns	43	Sh	Kharmang	backstrom1992	ɑ̱ˈčʰi	eye	ákṣi	nearest-formation	43	old-short-barytone	2	1	1	2	short	short	0	0	0	0	SS	short	a	kṣ	VV	survey-phonetic	stress-marked@-1	stress-marked	2		1		Palula ac̣híi and the four principal modern Shina citations have early accent on the final long vowel, not late accent. Independently attested accented dual akṣī́ is a plausible input, with number and gender reanalysis; the singular ákṣi alone does not predict the modern final syllable. Kalkoti2013 has both an unmarked long-final ic̣ii citation and explicitly Low short-final ic̣ì in p144footnote15. Preserve that source distinction rather than invent a uniform High category. Short Kundal aś has lost the diagnostic final material.	The exact number-to-lexeme and gender transition needs a fuller historical paradigm. Kalkoti final quantity variation and Low history require matched lexical/grammatical cells.	family-context-first-pass
f_zgkpvwifaw22q	f_zgkpvwifaw22q	43	Sh	dr	backstrom1992	ɑˈčʰe	eye	ákṣi	nearest-formation	43	old-short-barytone	2	1	1	2	short	short	0	0	0	0	SS	short	a	kṣ	VV	survey-phonetic	stress-marked@-1	stress-marked	2		1		Palula ac̣híi and the four principal modern Shina citations have early accent on the final long vowel, not late accent. Independently attested accented dual akṣī́ is a plausible input, with number and gender reanalysis; the singular ákṣi alone does not predict the modern final syllable. Kalkoti2013 has both an unmarked long-final ic̣ii citation and explicitly Low short-final ic̣ì in p144footnote15. Preserve that source distinction rather than invent a uniform High category. Short Kundal aś has lost the diagnostic final material.	The exact number-to-lexeme and gender transition needs a fuller historical paradigm. Kalkoti final quantity variation and Low history require matched lexical/grammatical cells.	family-context-first-pass
f_2ee566ly4m74w	f_2ee566ly4m74w	43	Sh	ChilasKhinar	backstrom1992	ʌˈč̣i	eye	ákṣi	nearest-formation	43	old-short-barytone	2	1	1	2	short	short	0	0	0	0	SS	short	a	kṣ	VV	survey-phonetic	stress-marked@-1	stress-marked	2		1		Palula ac̣híi and the four principal modern Shina citations have early accent on the final long vowel, not late accent. Independently attested accented dual akṣī́ is a plausible input, with number and gender reanalysis; the singular ákṣi alone does not predict the modern final syllable. Kalkoti2013 has both an unmarked long-final ic̣ii citation and explicitly Low short-final ic̣ì in p144footnote15. Preserve that source distinction rather than invent a uniform High category. Short Kundal aś has lost the diagnostic final material.	The exact number-to-lexeme and gender transition needs a fuller historical paradigm. Kalkoti final quantity variation and Low history require matched lexical/grammatical cells.	family-context-first-pass
f_txbt6mw3b43di	f_txbt6mw3b43di	43	Sh	ChilasJelil	backstrom1992	ʌˈṣ̌i	eye	ákṣi	nearest-formation	43	old-short-barytone	2	1	1	2	short	short	0	0	0	0	SS	short	a	kṣ	VV	survey-phonetic	stress-marked@-1	stress-marked	2		1		Palula ac̣híi and the four principal modern Shina citations have early accent on the final long vowel, not late accent. Independently attested accented dual akṣī́ is a plausible input, with number and gender reanalysis; the singular ákṣi alone does not predict the modern final syllable. Kalkoti2013 has both an unmarked long-final ic̣ii citation and explicitly Low short-final ic̣ì in p144footnote15. Preserve that source distinction rather than invent a uniform High category. Short Kundal aś has lost the diagnostic final material.	The exact number-to-lexeme and gender transition needs a fuller historical paradigm. Kalkoti final quantity variation and Low history require matched lexical/grammatical cells.	family-context-first-pass
f_tsng3gdvh7zdk	f_tsng3gdvh7zdk	43	Sh	Darel	backstrom1992	ʌˈṣ̌i	eye	ákṣi	nearest-formation	43	old-short-barytone	2	1	1	2	short	short	0	0	0	0	SS	short	a	kṣ	VV	survey-phonetic	stress-marked@-1	stress-marked	2		1		Palula ac̣híi and the four principal modern Shina citations have early accent on the final long vowel, not late accent. Independently attested accented dual akṣī́ is a plausible input, with number and gender reanalysis; the singular ákṣi alone does not predict the modern final syllable. Kalkoti2013 has both an unmarked long-final ic̣ii citation and explicitly Low short-final ic̣ì in p144footnote15. Preserve that source distinction rather than invent a uniform High category. Short Kundal aś has lost the diagnostic final material.	The exact number-to-lexeme and gender transition needs a fuller historical paradigm. Kalkoti final quantity variation and Low history require matched lexical/grammatical cells.	family-context-first-pass
f_dedm7qdcpif76	f_dedm7qdcpif76	43	Sh	Tangir	backstrom1992	ɑˈč̣ʰi	eye	ákṣi	nearest-formation	43	old-short-barytone	2	1	1	2	short	short	0	0	0	0	SS	short	a	kṣ	VV	survey-phonetic	stress-marked@-1	stress-marked	2		1		Palula ac̣híi and the four principal modern Shina citations have early accent on the final long vowel, not late accent. Independently attested accented dual akṣī́ is a plausible input, with number and gender reanalysis; the singular ákṣi alone does not predict the modern final syllable. Kalkoti2013 has both an unmarked long-final ic̣ii citation and explicitly Low short-final ic̣ì in p144footnote15. Preserve that source distinction rather than invent a uniform High category. Short Kundal aś has lost the diagnostic final material.	The exact number-to-lexeme and gender transition needs a fuller historical paradigm. Kalkoti final quantity variation and Low history require matched lexical/grammatical cells.	family-context-first-pass
