class_id	record_id	analysis_token_id	family_id	language	form	gloss
short-a-with-h	f_v72oq5oe2lou4	f_v72oq5oe2lou4	3662	Phal	c̣haár	waterfall
short-a-with-h	f_ma6j5px33fee6	f_ma6j5px33fee6	3792	Phal	kháaṇ	mountain; mountain pass; Lowari Pass
short-a-with-h	f_nh34cikdbtqdu	f_nh34cikdbtqdu	14000	Phal	haál	plough
short-a-with-h	f_lw6ysqpig3ng2	f_lw6ysqpig3ng2	3818	Phal	khar	donkey
short-a-with-h	f_pk7mdyfdru6se	f_pk7mdyfdru6se	3792	Phal	khaṇ	mountain; mountain pass; Lowari Pass
short-a-with-h	f_wvnncfjrwgy76	f_wvnncfjrwgy76	4362	Phal	ghrast	wolf (or predatory animal in general)
short-a-with-h	f_yzdlwulp7kem2	f_yzdlwulp7kem2	6628	Phal	dhráac̣	grape
short-a-with-h	f_5jv2k6r5iiuew	f_5jv2k6r5iiuew	5334	Phal	ǰhaṭ	goat's hair; fur
short-a-with-h	f_mgz7vtmsj5v2k	f_mgz7vtmsj5v2k	13627	Phal	kháaṇ	mountain; mountain pass; Lowari Pass
short-a-with-h	f_wtijmo6m4yece	f_wtijmo6m4yece	3818	Phal	khaár	donkey
short-a-with-h	f_a3qxhivbqwmwu	f_a3qxhivbqwmwu	14000	Phal	hal	plough
short-a-with-h	f_zhqwjvhzncmiy	f_zhqwjvhzncmiy	13952	Phal	haḍ	bone
short-a-with-h	f_2zh7okudbyv4i	f_2zh7okudbyv4i	4362	Phal	ghraást	wolf (or predatory animal in general)
short-a-with-h	f_gecdeusqdghyo	f_gecdeusqdghyo	13627	Phal	khaṇ	mountain; mountain pass; Lowari Pass
short-a-with-h	f_gwlbk3wvxksls	f_gwlbk3wvxksls	6628	Phal	dhrac̣	grape
short-a-with-h	f_7u5cqjsh3cqo2	f_7u5cqjsh3cqo2	14024	Phal	hat	hand
short-a-with-h	f_4is2ibguxjqkg	f_4is2ibguxjqkg	5334	Phal	ǰhaáṭ	goat's hair; fur
Gilgit-short-o-adjectives	f_azd3ekpr2htve	f_azd3ekpr2htve		Sh	atúulo	weak
Gilgit-short-o-adjectives	f_qrpgoksexpmpe	f_qrpgoksexpmpe		Sh	khiriíno	located below
Gilgit-short-o-adjectives	f_yi6ssx6g2r2dw	f_yi6ssx6g2r2dw		Sh	píito	narrow; tight
Gilgit-short-o-adjectives	f_njytmydn2hxgc	f_njytmydn2hxgc		Sh	abaáto	sluggish, lazy
Gilgit-short-o-adjectives	f_rbp53fukb3sya	f_rbp53fukb3sya	10514	Sh	ǰuwáno	lice-ridden
Gilgit-short-o-adjectives	f_icrp52ucre4go	f_icrp52ucre4go	13990	Sh	halíẓo	yellow
Gilgit-short-o-adjectives	f_rad6q24xpqvhy	f_rad6q24xpqvhy		Sh	čáa~ṭo	mute, weak; mute person; fool
Gilgit-short-o-adjectives	f_nab7j676cfyfo	f_nab7j676cfyfo		Sh	gúčo	free from; somehow, without reason, to no purpose
Gilgit-short-o-adjectives	f_xl3kmfsnqx522	f_xl3kmfsnqx522	6983	Sh	naáwo	new
Gilgit-short-o-adjectives	f_2alfis35dlgmm	f_2alfis35dlgmm	6368	Sh	ẓígo	long
Gilgit-short-o-adjectives	f_gyzeastg5fb3y	f_gyzeastg5fb3y		Sh	kóolo ka~óolo	dishonest; crooked person
Gilgit-short-o-adjectives	f_qvnyce5n3r6w2	f_qvnyce5n3r6w2		Sh	šatílo	mighty
Gilgit-short-o-adjectives	f_xvijxbaxtnvha	f_xvijxbaxtnvha		Sh	šiéelo	generous
Gilgit-short-o-adjectives	f_tfna7dxbzzxhu	f_tfna7dxbzzxhu		Sh	tatáro	old, worn out
Gilgit-short-o-adjectives	f_q67ynpv7gvpow	f_q67ynpv7gvpow	722	Sh	aápo	little, slight
Gilgit-short-o-adjectives	f_xbjqhfbvaxdds	f_xbjqhfbvaxdds	13519	Sh	soóno	golden
Gilgit-short-o-adjectives	f_6neyqix5cshlg	f_6neyqix5cshlg	13990	Sh	haliẓo	yellow
Gilgit-short-o-adjectives	f_rzpwf7cgep3k6	f_rzpwf7cgep3k6	11168	Sh	loólyo	red
Gilgit-short-o-adjectives	f_zzmlzkqi52edc	f_zzmlzkqi52edc	12774	Sh	šéeyo	white
Gilgit-short-o-adjectives	f_brhzdpsx6grlk	f_brhzdpsx6grlk	1962	Sh	hagúro	heavy
Gilgit-short-o-adjectives	f_yksbutvuxheg4	f_yksbutvuxheg4		Sh	básko	more, superabundant
Gilgit-short-o-adjectives	f_c6qkbbmjoebj4	f_c6qkbbmjoebj4		Sh	yupóošo	fitting, suitable
Gilgit-short-o-adjectives	f_o7mzywdyvmsli	f_o7mzywdyvmsli		Sh	go~yálo	from the cowshed, also as a personal name
Gilgit-short-o-adjectives	f_hh5x5cslm3ejw	f_hh5x5cslm3ejw	4850	Sh	čúrko	sour
Gilgit-short-o-adjectives	f_m22rxlfp2rxsu	f_m22rxlfp2rxsu		Sh	búṭo	whole, all
Gilgit-short-o-adjectives	f_r3u7jvmxk7o5o	f_r3u7jvmxk7o5o	11225	Sh	báṛo	big
Gilgit-short-o-adjectives	f_zvmu3eieotcls	f_zvmu3eieotcls	7638	Sh	paṣílo	woolen
Gilgit-short-o-adjectives	f_nq2snqzzpvp4u	f_nq2snqzzpvp4u		Sh	aǰóono	foreign, stranger
Gilgit-short-o-adjectives	f_zzfintjsdl77e	f_zzfintjsdl77e	12548	Sh	šúko	dry
Gilgit-short-o-adjectives	f_2oundzqezuhiq	f_2oundzqezuhiq		Sh	ṣa-máazo	six-month
Gilgit-short-o-adjectives	f_owbsqvlvxua2y	f_owbsqvlvxua2y		Sh	héṭo	free
Gilgit-short-o-adjectives	f_xevsmvbpuyey6	f_xevsmvbpuyey6		Sh	kusagáṭo	malicious
Gilgit-short-o-adjectives	f_bxbo6r4diopba	f_bxbo6r4diopba	10299	Sh	míṣṭo	good
Gilgit-short-o-adjectives	f_utshnozod57fw	f_utshnozod57fw	10278	Sh	múu~o	dead; dead person
Gilgit-short-o-adjectives	f_zbmx64np3na7w	f_zbmx64np3na7w	4889	Sh	čúno	small
Gilgit-short-o-adjectives	f_wonoxjz6fwlqe	f_wonoxjz6fwlqe		Sh	karóowo	crooked
Gilgit-short-o-adjectives	f_7xc5vdqk2ywvo	f_7xc5vdqk2ywvo	8283	Sh	puróono	old
Gilgit-short-o-adjectives	f_m56csu6guov3q	f_m56csu6guov3q		Sh	ukeéṣo	steep, sloping (of a mountain or path)
Gilgit-short-o-adjectives	f_esdb7wpul7uyw	f_esdb7wpul7uyw	3533	Sh	kóolo	crooked
Gilgit-short-o-adjectives	f_wnmnquvpmw44y	f_wnmnquvpmw44y	3941	Sh	khúro	lame
Gilgit-short-o-adjectives	f_os754xrsqryue	f_os754xrsqryue		Sh	čáa~lo	open (of the hand), wide, broad
Gilgit-short-o-adjectives	f_czm6kmw3mcpyu	f_czm6kmw3mcpyu	2613	Sh	khačeélo	stingy; miser
Gilgit-short-o-adjectives	f_75am3jmtjhvkm	f_75am3jmtjhvkm	905	Sh	ašaáto	weak
Gilgit-short-o-adjectives	f_zav4yn4r7ekh4	f_zav4yn4r7ekh4		Sh	ariíno	inner, own
Gilgit-short-o-adjectives	f_fihurqt7xqbya	f_fihurqt7xqbya		Sh	garúuwo	goitrous, person with a goiter
Gilgit-short-o-adjectives	f_23ecjlw2f54ng	f_23ecjlw2f54ng		Sh	ariíno	inside; inner
Gilgit-short-o-adjectives	f_szevgf5gonuwo	f_szevgf5gonuwo	11168	Sh	loólyo	red
Gilgit-short-o-adjectives	f_vqeendba23sye	f_vqeendba23sye		Sh	šaruúko	autumnal
Gilgit-short-o-adjectives	f_lb76pjzmnq2pm	f_lb76pjzmnq2pm	1929	Sh	uyáno	hungry
Gilgit-short-o-adjectives	f_7umqq3swigitu	f_7umqq3swigitu		Sh	paǰugalíto	salty, salt-
Gilgit-short-o-adjectives	f_w2ky7z26czu5o	f_w2ky7z26czu5o		Sh	phaṭóoro	strong, thick
Gilgit-short-o-adjectives	f_7xzrim4tncrds	f_7xzrim4tncrds	5244	Sh	ǰoóno	alive; living
Gilgit-short-o-adjectives	f_4uexzdsgnavzg	f_4uexzdsgnavzg	3832	Sh	khábo	left
Gilgit-short-o-adjectives	f_4ycjw6cdeb7d2	f_4ycjw6cdeb7d2	5983	Sh	toómo	own
Gilgit-short-o-adjectives	f_4hg43qu6wffve	f_4hg43qu6wffve	6368	Sh	ẓigo	long
Gilgit-short-o-adjectives	f_rohkcynhsbly6	f_rohkcynhsbly6	12487	Sh	šidálo	cold
Gilgit-short-o-adjectives	f_igbor7h7xjpr4	f_igbor7h7xjpr4		Sh	phatiíno	second, rear
Gilgit-short-o-adjectives	f_yvcqczxn47k64	f_yvcqczxn47k64	6651	Sh	dariino	located outside, foreign
Gilgit-short-o-adjectives	f_kzca6t4hrx53u	f_kzca6t4hrx53u		Sh	minaliílo	beautiful; pretty
Gilgit-short-o-adjectives	f_rk4klfqo2vrqu	f_rk4klfqo2vrqu		Sh	bubuúlo	lukewarm
Gilgit-short-o-adjectives	f_a5apbgwled6z2	f_a5apbgwled6z2	13355	Sh	sáa~ro	clever, strong; clever one
Gilgit-short-o-adjectives	f_3bmhotsfswjsm	f_3bmhotsfswjsm		Sh	niriṣkúno	healthy
Gilgit-short-o-adjectives	f_riom4zpctpxje	f_riom4zpctpxje	11056	Sh	líic̣o	wretched; poor
Gilgit-short-o-adjectives	f_cgia6xwrygi52	f_cgia6xwrygi52	3602	Sh	kúro	mighty; strong
Gilgit-short-o-adjectives	f_svloyl3ng4nsa	f_svloyl3ng4nsa	9568	Sh	búto	whole; all
Gilgit-short-o-adjectives	f_jganqvz5aon34	f_jganqvz5aon34		Sh	dawáno	crazy, mad
Gilgit-short-o-adjectives	f_ym6aganf23zvc	f_ym6aganf23zvc		Sh	ragóoṭo	sick, sick person
Gilgit-short-o-adjectives	f_ehvlrorhsnmo4	f_ehvlrorhsnmo4	3895	Sh	khúṭo	short
Gilgit-short-o-adjectives	f_hjbylbhyn2wj2	f_hjbylbhyn2wj2		Sh	c̣óko	weak, brittle
Gilgit-short-o-adjectives	f_6ijc7fkpggmqs	f_6ijc7fkpggmqs		Sh	šóno	barren
Gilgit-short-o-adjectives	f_5svsl2qm3nptg	f_5svsl2qm3nptg	7621	Sh	páko	ripe, perfect, strong; firm, hard
Gilgit-short-o-adjectives	f_rlu5uzlf3my2i	f_rlu5uzlf3my2i	5938	Sh	c̣íṭo	bitter
Gilgit-short-o-adjectives	f_5xcz75q64rnfk	f_5xcz75q64rnfk	13548	Sh	súu~c̣o	straight, right; truth
Gilgit-short-o-adjectives	f_ynifwldnvpkt4	f_ynifwldnvpkt4		Sh	lóogo	foreign
Gilgit-short-o-adjectives	f_vk4gbyyhcc6v4	f_vk4gbyyhcc6v4	10896	Sh	loóko	fast
Gilgit-short-o-adjectives	f_uiwpjb3aqkqru	f_uiwpjb3aqkqru		Sh	náro	difficult; hard
Gilgit-short-o-adjectives	f_riswpbts4ihiu	f_riswpbts4ihiu		Sh	ekaálo	only, sole
Gilgit-short-o-adjectives	f_zep57ed3ptpho	f_zep57ed3ptpho	7989	Sh	puyoóno	rich
Gilgit-short-o-adjectives	f_kk6nzod5mpbvo	f_kk6nzod5mpbvo	10151	Sh	múto	other
Gilgit-short-o-adjectives	f_vz7yfu2v3ziqq	f_vz7yfu2v3ziqq		Sh	ekčhíro	one-year-old (billy goat)
Gilgit-short-o-adjectives	f_k77jcznkbn4zu	f_k77jcznkbn4zu	12774	Sh	šéeo	white
Gilgit-short-o-adjectives	f_k6ji3yazriyco	f_k6ji3yazriyco		Sh	sác̣o	easy; not difficult
Gilgit-short-o-adjectives	f_3jbwbtlwhmfue	f_3jbwbtlwhmfue		Sh	phaṭáko	bald-headed (or scabby; of a disease causing hair loss and itching)
Gilgit-short-o-adjectives	f_ud7mj456uf466	f_ud7mj456uf466		Sh	tanúlo	thin
Gilgit-short-o-adjectives	f_xvyjzmztgbjb2	f_xvyjzmztgbjb2	12056	Sh	biiro	male
Gilgit-short-o-adjectives	f_fxyp5otnoczcg	f_fxyp5otnoczcg		Sh	čamraáto	flexible; elastic
Gilgit-short-o-adjectives	f_oppdc234uwqru	f_oppdc234uwqru	5244	Sh	ǰiino	alive; healthy
Gilgit-short-o-adjectives	f_6wl4kujjpngx2	f_6wl4kujjpngx2	5839	Sh	tíino	sharp, fast, active, clever
Gilgit-short-o-adjectives	f_g2q4wwqnhcwna	f_g2q4wwqnhcwna		Sh	barádo	(!) pregnant
Gilgit-short-o-adjectives	f_yheygsgjgamwu	f_yheygsgjgamwu		Sh	ajiíno	situated above
Gilgit-short-o-adjectives	f_nt7yvuegn4dzo	f_nt7yvuegn4dzo	2613	Sh	kháčo	bad
Gilgit-short-o-adjectives	f_vvrae4vr2soca	f_vvrae4vr2soca	11054	Sh	léṛo	bastard; born out of wedlock
Gilgit-short-o-adjectives	f_jik6ftmpvansy	f_jik6ftmpvansy	13924	Sh	ispáao	sweet; tasty
Gilgit-short-o-adjectives	f_ojvqhk5b6rhdo	f_ojvqhk5b6rhdo	47	Sh	ac̣héemo	evil, malicious
Gilgit-short-o-adjectives	f_p3m6qkli4ayhk	f_p3m6qkli4ayhk	5679	Sh	taáto	warm
Gilgit-short-o-adjectives	f_jyfklcrrp5xck	f_jyfklcrrp5xck		Sh	aǰiíno	located above; following (year, day)
Gilgit-short-o-adjectives	f_p4cwuhzhuvala	f_p4cwuhzhuvala		Sh	pišíko	farting
Gilgit-short-o-adjectives	f_2truhurbxrbxs	f_2truhurbxrbxs		Sh	ṣéewo	blind
Gilgit-short-o-adjectives	f_getxj7hzotwps	f_getxj7hzotwps		Sh	sác̣o	easy, simple
Gilgit-short-o-adjectives	f_urmvtwugtgr4o	f_urmvtwugtgr4o		Sh	rúulo	frail, weak
Gilgit-short-o-adjectives	f_kudamwuoo36sm	f_kudamwuoo36sm		Sh	bódo	much, many
Gilgit-short-o-adjectives	f_klhmiporttwf6	f_klhmiporttwf6	8330	Sh	púuro	whole, all; fulfilled
Gilgit-short-o-adjectives	f_srd7xbbp4h3qo	f_srd7xbbp4h3qo	8156	Sh	phičílo	beautiful, pretty
Gilgit-short-o-adjectives	f_ysfgf2sowocqi	f_ysfgf2sowocqi	7563	Sh	níilo	blue, green
Gilgit-short-o-adjectives	f_56lcmyw3gkudo	f_56lcmyw3gkudo	7266	Sh	niráno	hungry, hungry person
Gilgit-short-o-adjectives	f_ochwcqbyjmkq4	f_ochwcqbyjmkq4	3451	Sh	kino	black
Gilgit-short-o-adjectives	f_6pur72tqsh6ko	f_6pur72tqsh6ko		Sh	kúuṭo	deaf
Gilgit-short-o-adjectives	f_l34kzhx6brex6	f_l34kzhx6brex6	12196	Sh	báato	open
Gilgit-short-o-adjectives	f_zz3c6hhlkbqwa	f_zz3c6hhlkbqwa	6119	Sh	dac̣híno	right(-hand)
Gilgit-short-o-adjectives	f_cvpx43xzfyvpe	f_cvpx43xzfyvpe	6926	Sh	náno	naked
Gilgit-short-o-adjectives	f_icspxecheusga	f_icspxecheusga	13924	Sh	ispáawo	sweet; tasty
Gilgit-short-o-adjectives	f_f67vhqjdaemms	f_f67vhqjdaemms		Sh	guṭúmo	deep
Gilgit-short-o-adjectives	f_qvjwriuno2ijg	f_qvjwriuno2ijg	7563	Sh	niílo	blue
Gilgit-short-o-adjectives	f_pekcrj6kamvvk	f_pekcrj6kamvvk		Sh	siǰóono	known
Gilgit-short-o-adjectives	f_cwb47jtepvelo	f_cwb47jtepvelo		Sh	uthálo	high
Gilgit-short-o-adjectives	f_m2twc3dmadmxi	f_m2twc3dmadmxi	3451	Sh	kíno	black
Gilgit-short-o-adjectives	f_2ojcjarhnasuu	f_2ojcjarhnasuu		Sh	parúlo	equal, same
Gilgit-short-o-adjectives	f_4n3ojcdeoy5da	f_4n3ojcdeoy5da	5145	Sh	ǰáro	old
Gilgit-short-o-adjectives	f_gh3x3otn2xny2	f_gh3x3otn2xny2		Sh	čimaáro	iron, made of iron
Gilgit-short-o-adjectives	f_icr36tq2zotdg	f_icr36tq2zotdg		Sh	náro	difficult; hard
Gilgit-short-o-adjectives	f_glg7ya6bmyg3e	f_glg7ya6bmyg3e		Sh	phaṛáko	bald-headed (or scabby; of a disease causing hair loss and itching)
Gilgit-short-o-adjectives	f_wbmmfvxtmhuag	f_wbmmfvxtmhuag		Sh	nilaálo	worthless, tasteless, insipid
Gilgit-short-o-adjectives	f_eqvt7fvcyg7zc	f_eqvt7fvcyg7zc		Sh	galalíto	wounded
Palula-short-u-adjectives	f_vh44fout4fin6	f_vh44fout4fin6		Phal	eetheelúku	of that time
Palula-short-u-adjectives	f_luu5elo3b4yo4	f_luu5elo3b4yo4	4119	Phal	ghaḍeerú	older; older one; elder
Palula-short-u-adjectives	f_ff4rkot57t4uy	f_ff4rkot57t4uy	8283	Phal	puróoṇu	old
Palula-short-u-adjectives	f_723oa6bnsjj2a	f_723oa6bnsjj2a	11168	Phal	lhoílu	red; money (substantivized in plural; i.e. red like the 100 rupee note)
Palula-short-u-adjectives	f_e4yxmlio3soxg	f_e4yxmlio3soxg		Phal	kooṭáaṭu	hard
Palula-short-u-adjectives	f_t5orddkbgsdvw	f_t5orddkbgsdvw	3364	Phal	khúšu	left; left-handed
Palula-short-u-adjectives	f_psbipjecrgbfe	f_psbipjecrgbfe		Phal	lúungu	new; fresh; soft
Palula-short-u-adjectives	f_oalouf5f65klk	f_oalouf5f65klk	3451	Phal	kriṣíṇu	black
Palula-short-u-adjectives	f_r3tktzz6kipyk	f_r3tktzz6kipyk		Phal	milaáu	joined; met
Palula-short-u-adjectives	f_ingw6xl7i252y	f_ingw6xl7i252y	3941	Phal	khúṭu	lame (not able to walk normally)
Palula-short-u-adjectives	f_o374kg3sa2qxa	f_o374kg3sa2qxa	11168	Phal	lohílu	red; money (substantivized in plural; i.e. red like the 100 rupee note)
Palula-short-u-adjectives	f_qpquk4q7x3wow	f_qpquk4q7x3wow	2613	Phal	kháču	bad
Palula-short-u-adjectives	f_vtpgawfvin4jk	f_vtpgawfvin4jk		Phal	kirpuṭú	unfaithful
Palula-short-u-adjectives	f_ciq5nophmpy46	f_ciq5nophmpy46		Phal	ateeṇú	like that, just like that; such, so
Palula-short-u-adjectives	f_hf2c3szfsnhfs	f_hf2c3szfsnhfs		Phal	lhookeerú	younger; the younger one
Palula-short-u-adjectives	f_x44vqtch65enm	f_x44vqtch65enm		Phal	heeṇṣukóoku	this year's
Palula-short-u-adjectives	f_p5kfqitphd65a	f_p5kfqitphd65a	9793	Phal	mhoóru	sweet; tasty
Palula-short-u-adjectives	f_mrjb5iywyd3pq	f_mrjb5iywyd3pq		Phal	thiáaḍu	and a half
Palula-short-u-adjectives	f_yijq4jevqjtt6	f_yijq4jevqjtt6		Phal	kaalúku	of age, aged
Palula-short-u-adjectives	f_q5rdzvnehfcam	f_q5rdzvnehfcam		Phal	bhiooṛúuču	from Biori, of Biori; person from Biori
Palula-short-u-adjectives	f_tugwjsztopnme	f_tugwjsztopnme		Phal	pac̣hélu	rotten, spoiled
Palula-short-u-adjectives	f_kffd6gadmjs24	f_kffd6gadmjs24	7563	Phal	níilu	green, blue
Palula-short-u-adjectives	f_55ww7ppfj4keu	f_55ww7ppfj4keu	12487	Phal	šidáalu	cold
Palula-short-u-adjectives	f_kahzrlygezcq2	f_kahzrlygezcq2		Phal	piṇḍúuru	round
Palula-short-u-adjectives	f_jkmzjeewxde2m	f_jkmzjeewxde2m		Phal	sóoru	whole; good, healthy
Palula-short-u-adjectives	f_d3chen4jxfn4a	f_d3chen4jxfn4a		Phal	lhéṇḍu	bald; the bald one
Palula-short-u-adjectives	f_ryksi5mhaxg3w	f_ryksi5mhaxg3w		Phal	čeemáaru	of steel, iron
Palula-short-u-adjectives	f_2qalct2ama34g	f_2qalct2ama34g	8283	Phal	purúuṇu	old
Palula-short-u-adjectives	f_mnm3phpk6csga	f_mnm3phpk6csga	1236	Phal	úumu	unripe; raw
Palula-short-u-adjectives	f_uq3b5itdnhxrs	f_uq3b5itdnhxrs		Phal	kóṇḍu	widowed; hornless
Palula-short-u-adjectives	f_pcfgv3phwnl66	f_pcfgv3phwnl66		Phal	sáamu	like, equal to
Palula-short-u-adjectives	f_yr3bcs6m4torm	f_yr3bcs6m4torm	5839	Phal	tíiṇu	sharp
Palula-short-u-adjectives	f_amxvj4efbsqto	f_amxvj4efbsqto		Phal	dutagháanu	talkative
Palula-short-u-adjectives	f_efhxiql5vlq72	f_efhxiql5vlq72	13548	Phal	c̣húuṇc̣u	straight
Palula-short-u-adjectives	f_tql5kc4xttury	f_tql5kc4xttury	4850	Phal	čúkru	sour
Palula-short-u-adjectives	f_u4bsctvtcv3rg	f_u4bsctvtcv3rg		Phal	lhístu	with little hair or fur; barren
Palula-short-u-adjectives	f_mqnygkujf5e4w	f_mqnygkujf5e4w		Phal	kiṣṭúuču	Nuristani, from Nuristan; person from Nuristan
Palula-short-u-adjectives	f_kydp377akevme	f_kydp377akevme	4118	Phal	gáaḍu	big, large; grown, old; great; adult (man), elder
Palula-short-u-adjectives	f_4j2ms2wmgl2dc	f_4j2ms2wmgl2dc		Phal	khoṇḍáatu	talkative
