record_id	family_id	form	gloss	source	input	prediction	observed_from_right	observed_mora	status	exclusion	description
f_723oa6bnsjj2a	11168	lhoílu	red; money (substantivized in plural; i.e. red like the 100 rupee note)	liljegren	source-tagged-adjective-with-final-short-u-including-ú	penultimate-nucleus	2	vowel-sequence-marked	unscorable	vowel-sequence-unresolved	Inflection: Reg (Fem): lhoíli; Morphemic form: lohíl-
f_o374kg3sa2qxa	11168	lohílu	red; money (substantivized in plural; i.e. red like the 100 rupee note)	liljegren	source-tagged-adjective-with-final-short-u-including-ú	penultimate-nucleus	2	S	consistent		Inflection: Reg (Fem): lhoíli; Morphemic form: lohíl-; Variant restriction: Biori
f_efo43vlpmki4q	11168	lhoyílu	red; money (substantivized in plural; i.e. red like the 100 rupee note)	liljegren	source-tagged-adjective-with-final-short-u-including-ú	penultimate-nucleus	2	S	consistent		Inflection: Reg (Fem): lhoíli; Morphemic form: lohíl-; Variant restriction: Biori
f_deergxlqmiyvw	11338	aaghaabáanu	sky-coloured	liljegren	source-tagged-adjective-with-final-short-u-including-ú	penultimate-nucleus	2	E	consistent		Inflection: Uml (Fem): aaghaabéeni
f_ex6dxbujvjsvq	11751	bidráagu	ill, sick; the sick (person)	liljegren	source-tagged-adjective-with-final-short-u-including-ú	penultimate-nucleus	2	E	consistent		Inflection: Uml (Fem): bidréegi; Morphemic form: bidrág-
f_pa7dh2435bsry	11929	bíiḍu	many; much; very; really	liljegren	source-tagged-adjective-with-final-short-u-including-ú	penultimate-nucleus	2	E	consistent		Inflection: Reg (Fem): bíiḍi; Morphemic form: bíiḍ-
f_qi4wlcejlnqo2	12009	bistíiṇu	wide, broad; loose	liljegren	source-tagged-adjective-with-final-short-u-including-ú	penultimate-nucleus	2	E	consistent		Inflection: Reg (Fem): bistíiṇi; Morphemic form: bistíiṇ-
f_55ww7ppfj4keu	12487	šidáalu	cold	liljegren	source-tagged-adjective-with-final-short-u-including-ú	penultimate-nucleus	2	E	consistent		Inflection: Uml (Fem): šidéeli; Morphemic form: šidál-
f_f2ix3lgckfyla	12642	šišáwu	beautiful	liljegren	source-tagged-adjective-with-final-short-u-including-ú	penultimate-nucleus	2	S	consistent		Inflection: Reg (Fem): šišáwi
f_h4poxjgevd7km	12717	ṣíiṛu	blind (person)	liljegren	source-tagged-adjective-with-final-short-u-including-ú	penultimate-nucleus	2	E	consistent		Inflection: Reg (Fem): ṣíiṛi; Morphemic form: ṣeéṛ-
f_lc2nlvqh5ysjs	13363	sáatru	low (about building, etc.)	liljegren	source-tagged-adjective-with-final-short-u-including-ú	penultimate-nucleus	2	E	consistent		Inflection: Uml (Fem): séetri; Morphemic form: satr-
f_xzus37vudq3ks	13534	šišáwu	beautiful	liljegren	source-tagged-adjective-with-final-short-u-including-ú	penultimate-nucleus	2	S	consistent		Inflection: Reg (Fem): šišáwi
f_efhxiql5vlq72	13548	c̣húuṇc̣u	straight	liljegren	source-tagged-adjective-with-final-short-u-including-ú	penultimate-nucleus	2	E	consistent		Inflection: Reg (Fem): c̣húuṇc̣i; Morphemic form: c̣húuṇc̣-
f_dpdhpb32rfazk	13693	síndu	wet	liljegren	source-tagged-adjective-with-final-short-u-including-ú	penultimate-nucleus	2	S	consistent		Inflection: Reg (Fem): síndi; Morphemic form: sind-
f_3l6lzdn7huya4	2613	kháaču	bad	liljegren	source-tagged-adjective-with-final-short-u-including-ú	penultimate-nucleus	2	E	consistent		Inflection: Uml (Fem): khéeči; Morphemic form: khač-
f_qpquk4q7x3wow	2613	kháču	bad	liljegren	source-tagged-adjective-with-final-short-u-including-ú	penultimate-nucleus	2	S	consistent		Inflection: Uml (Fem): khéeči; Morphemic form: khač-; Variant restriction: Biori
f_ej2tgspf33d4a	3364	khúšu	left; left-handed	liljegren	source-tagged-adjective-with-final-short-u-including-ú	penultimate-nucleus	2	S	consistent		Inflection: Reg (Fem): khúši
f_6ooztl6qyvw6q		aaǰúku	today's	liljegren	source-tagged-adjective-with-final-short-u-including-ú	penultimate-nucleus	2	S	consistent		Inflection: Reg (Fem): aaǰúki
f_fgmogivdj72p4		ac̣híiwu	sane	liljegren	source-tagged-adjective-with-final-short-u-including-ú	penultimate-nucleus	2	E	consistent		
f_2ptb4aviyy6gi		amilóolu	unsalted	liljegren	source-tagged-adjective-with-final-short-u-including-ú	penultimate-nucleus	2	E	consistent		Inflection: Uml (Fem): amiléeli; Morphemic form: amilál-
f_qrlzfflxe3dee		atíitu	like that; that much	liljegren	source-tagged-adjective-with-final-short-u-including-ú	penultimate-nucleus	2	E	consistent		Inflection: Reg (Fem): atíiti
f_xscsjsn3hqnwc		atsharíitu	from Ashret, of Ashret; person from Ashret	liljegren	source-tagged-adjective-with-final-short-u-including-ú	penultimate-nucleus	2	E	consistent		Inflection: Reg (Fem): atsharíiti
f_gvckqnihomlgs		baa~ílu	made of oak	liljegren	source-tagged-adjective-with-final-short-u-including-ú	penultimate-nucleus	2	S	consistent		Inflection: Reg (Fem): baa~íli; Morphemic form: baa~íl-
f_vul4mnjzxehag		bhiaalúku	last night's	liljegren	source-tagged-adjective-with-final-short-u-including-ú	penultimate-nucleus	2	vowel-sequence-marked	unscorable	vowel-sequence-unresolved	Inflection: Reg (Fem): bhiaalúki; Morphemic form: bhiáal-úk-
f_q5rdzvnehfcam		bhiooṛúuču	from Biori, of Biori; person from Biori	liljegren	source-tagged-adjective-with-final-short-u-including-ú	penultimate-nucleus	2	vowel-sequence-marked	unscorable	vowel-sequence-unresolved	Inflection: Reg (Fem): bhiooṛúuči
f_utujdnpqw6vzi		buc̣hóolu	hungry	liljegren	source-tagged-adjective-with-final-short-u-including-ú	penultimate-nucleus	2	E	consistent		Inflection: Uml (Fem): buc̣héeli; Morphemic form: buc̣háal-
f_tznb47hr7kv56		búku	dull	liljegren	source-tagged-adjective-with-final-short-u-including-ú	penultimate-nucleus	2	S	consistent		Inflection: Reg (Fem): búki; Morphemic form: buk-
f_nuf2g2rnmtano		móḍu	dull	liljegren	source-tagged-adjective-with-final-short-u-including-ú	penultimate-nucleus	2	S	consistent		Inflection: Reg (Fem): búki; Morphemic form: buk-; Variant restriction: Biori
f_ryksi5mhaxg3w		čeemáaru	of steel, iron	liljegren	source-tagged-adjective-with-final-short-u-including-ú	penultimate-nucleus	2	E	consistent		Inflection: Uml (Fem): čeeméeri; Morphemic form: čeemár-
f_pztwchelayioq		čimaríilu	of steel, iron	liljegren	source-tagged-adjective-with-final-short-u-including-ú	penultimate-nucleus	2	E	consistent		Inflection: Reg (Fem): čimaríili
f_gd3uhtbi7kwqy		čóolu	wide, thick, big (about inanimates)	liljegren	source-tagged-adjective-with-final-short-u-including-ú	penultimate-nucleus	2	E	consistent		Inflection: Uml (Fem): čéeli; Morphemic form: čáal-
f_n53qiu223svli		čúulu	wide, thick, big (about inanimates)	liljegren	source-tagged-adjective-with-final-short-u-including-ú	penultimate-nucleus	2	E	consistent		Inflection: Uml (Fem): čéeli; Morphemic form: čáal-; Variant restriction: Biori
f_5krpj4xdrbupk		c̣híiku	timid	liljegren	source-tagged-adjective-with-final-short-u-including-ú	penultimate-nucleus	2	E	consistent		Inflection: Reg (Fem): c̣híiki
f_bj33vifiqb57i		dhooṛúku	yesterday's; younger	liljegren	source-tagged-adjective-with-final-short-u-including-ú	penultimate-nucleus	2	S	consistent		Inflection: Reg (Fem): dhooṛúki; Morphemic form: dhoóṛ-uk-
f_amxvj4efbsqto		dutagháanu	talkative	liljegren	source-tagged-adjective-with-final-short-u-including-ú	penultimate-nucleus	2	E	consistent		Inflection: Uml (Fem): dutaghéeni; Morphemic form: dhut-a-ghán-
f_4j2ms2wmgl2dc		khoṇḍáatu	talkative	liljegren	source-tagged-adjective-with-final-short-u-including-ú	penultimate-nucleus	2	E	consistent		Inflection: Uml (Fem): dutaghéeni; Morphemic form: dhut-a-ghán-
f_ubdaiww3bug5c		eeteeṇú	like that, just like that; such, so	liljegren	source-tagged-adjective-with-final-short-u-including-ú	penultimate-nucleus	1	S	exception		Inflection: Reg (Fem): eeteeṇí, ateeṇí
f_ciq5nophmpy46		ateeṇú	like that, just like that; such, so	liljegren	source-tagged-adjective-with-final-short-u-including-ú	penultimate-nucleus	1	S	exception		Inflection: Reg (Fem): eeteeṇí, ateeṇí
f_p5k2zpyzwlmzu		hateeṇú	like that, just like that; such, so	liljegren	source-tagged-adjective-with-final-short-u-including-ú	penultimate-nucleus	1	S	exception		Inflection: Reg (Fem): eeteeṇí, ateeṇí; Variant restriction: Biori
f_vh44fout4fin6		eetheelúku	of that time	liljegren	source-tagged-adjective-with-final-short-u-including-ú	penultimate-nucleus	2	S	consistent		Inflection: Reg (Fem): eetheelúki; Morphemic form: eetheél-uk-
f_i35dx6ihc3ygm		eetiitíitu	exactly such	liljegren	source-tagged-adjective-with-final-short-u-including-ú	penultimate-nucleus	2	E	consistent		Inflection: Reg (Fem): eetiitíiti
f_x44vqtch65enm		heeṇṣukóoku	this year's	liljegren	source-tagged-adjective-with-final-short-u-including-ú	penultimate-nucleus	2	E	consistent		Inflection: Uml (Fem): heeṇṣukéeki; Morphemic form: heeṇṣ-úk-áak-
f_fiiy45egdcmn2		ǰáaru	old; hardened; not fresh	liljegren	source-tagged-adjective-with-final-short-u-including-ú	penultimate-nucleus	2	E	consistent		Inflection: Uml (Fem): ǰéeri; Morphemic form: ǰar-
f_zhge6pthpvojw		ǰhaṭíilu	(made) of fur	liljegren	source-tagged-adjective-with-final-short-u-including-ú	penultimate-nucleus	2	E	consistent		Inflection: Reg (Fem): ǰhaṭíili
f_igqacbiliw4rq		ǰhaṭílu	hairy, fur-clad	liljegren	source-tagged-adjective-with-final-short-u-including-ú	penultimate-nucleus	2	S	consistent		Inflection: Reg (Fem): ǰhaṭíli
f_jvhv7yliln5sk		kaaláaṣu	Kalasha; of Kalasha origin (a neighbouring, non-Muslim, group); Kalasha person	liljegren	source-tagged-adjective-with-final-short-u-including-ú	penultimate-nucleus	2	E	consistent		Inflection: Uml (Fem): kaaléeṣi; Morphemic form: kaaláṣ-
f_yijq4jevqjtt6		kaalúku	of age, aged	liljegren	source-tagged-adjective-with-final-short-u-including-ú	penultimate-nucleus	2	S	consistent		Inflection: Reg (Fem): kaalúki; Morphemic form: kaal-úk-
f_q7sgl57kkttks		kaantíiru	insane (person); crazy, mad	liljegren	source-tagged-adjective-with-final-short-u-including-ú	penultimate-nucleus	2	E	consistent		Inflection: Reg (Fem): kaantíiri; Morphemic form: kaantíir-
f_cx3s74iwxjmeo		kateeṇú	what kind of; such kind of	liljegren	source-tagged-adjective-with-final-short-u-including-ú	penultimate-nucleus	1	S	exception		Inflection: Reg (Fem): kateeṇí
f_udxwwbx4zqrhi		katíitu	that big; what a big [sth]; how big; of such size	liljegren	source-tagged-adjective-with-final-short-u-including-ú	penultimate-nucleus	2	E	consistent		Inflection: Reg (Fem): katíiti; Morphemic form: katíit-
f_abfkmdm2dtynu		khaṭáanu	short	liljegren	source-tagged-adjective-with-final-short-u-including-ú	penultimate-nucleus	2	E	consistent		Inflection: Uml (Fem): khaṭéeni; Morphemic form: khaṭán-
f_vtpgawfvin4jk		kirpuṭú	unfaithful	liljegren	source-tagged-adjective-with-final-short-u-including-ú	penultimate-nucleus	1	S	exception		Inflection: Reg (Fem): kirpuṭí
f_mqnygkujf5e4w		kiṣṭúuču	Nuristani, from Nuristan; person from Nuristan	liljegren	source-tagged-adjective-with-final-short-u-including-ú	penultimate-nucleus	2	E	consistent		Inflection: Reg (Fem): kiṣṭúuči; Morphemic form: kiṣṭ-óoč-
f_uq3b5itdnhxrs		kóṇḍu	widowed; hornless	liljegren	source-tagged-adjective-with-final-short-u-including-ú	penultimate-nucleus	2	S	consistent		Inflection: Reg (Fem agr): kóṇḍi; Morphemic form: koṇḍ-
f_mmy6muqnv4olu		kooíilu	made from olive tree wood	liljegren	source-tagged-adjective-with-final-short-u-including-ú	penultimate-nucleus	2	vowel-sequence-marked	unscorable	vowel-sequence-unresolved	Inflection: Reg (Fem): kooíili
f_e4yxmlio3soxg		kooṭáaṭu	hard	liljegren	source-tagged-adjective-with-final-short-u-including-ú	penultimate-nucleus	2	E	consistent		Inflection: Uml (Fem): kooṭéeṭi; Morphemic form: kooṭáṭ-
f_llp4p5ogns3ci		kramačúuru	lazy	liljegren	source-tagged-adjective-with-final-short-u-including-ú	penultimate-nucleus	2	E	consistent		Inflection: Reg (Fem): kramačúuri
f_rd2tfutqfwfyi		kúulu	bent; crooked; not straight	liljegren	source-tagged-adjective-with-final-short-u-including-ú	penultimate-nucleus	2	E	consistent		Inflection: Reg (Fem): kúuli; Morphemic form: kúul-
f_2x5egyolhpa7k		lameeṭičhinilú	tail-less	liljegren	source-tagged-adjective-with-final-short-u-including-ú	penultimate-nucleus	1	S	exception		Inflection: Reg (Fem): lameeṭičhinilí
f_kdq7bq55yqhgu		léku	small	liljegren	source-tagged-adjective-with-final-short-u-including-ú	penultimate-nucleus	2	S	consistent		Inflection: Reg (Fem): léki; Morphemic form: lek-
f_d3chen4jxfn4a		lhéṇḍu	bald; the bald one	liljegren	source-tagged-adjective-with-final-short-u-including-ú	penultimate-nucleus	2	S	consistent		Inflection: Reg (Fem): lhéṇḍi
f_u4bsctvtcv3rg		lhístu	with little hair or fur; barren	liljegren	source-tagged-adjective-with-final-short-u-including-ú	penultimate-nucleus	2	S	consistent		Inflection: Reg (Fem): lhísti
f_hf2c3szfsnhfs		lhookeerú	younger; the younger one	liljegren	source-tagged-adjective-with-final-short-u-including-ú	penultimate-nucleus	1	S	exception		Inflection: Reg (Fem): lhookeerí; Variant restriction: Biori
f_pcvr4zir2hoow		lhúuṇu	salty	liljegren	source-tagged-adjective-with-final-short-u-including-ú	penultimate-nucleus	2	E	consistent		Inflection: Reg (Fem): lhúuṇi; Morphemic form: lhoóṇ-
f_psbipjecrgbfe		lúungu	new; fresh; soft	liljegren	source-tagged-adjective-with-final-short-u-including-ú	penultimate-nucleus	2	E	consistent		Inflection: Reg (Fem): lúungi; Morphemic form: lúung-
f_mai5vdmi34kxa		lúugu	strange (person); non-related	liljegren	source-tagged-adjective-with-final-short-u-including-ú	penultimate-nucleus	2	E	consistent		Inflection: Reg (Fem): lúugi; a-decl (Obl, pl): lúuga; Morphemic form: loog-
f_vixvbszxadhfy		meeṭíilu	of clay	liljegren	source-tagged-adjective-with-final-short-u-including-ú	penultimate-nucleus	2	E	consistent		Inflection: Reg (Fem): meeṭíili; Morphemic form: meeṭíil-
f_r3tktzz6kipyk		milaáu	joined; met	liljegren	source-tagged-adjective-with-final-short-u-including-ú	penultimate-nucleus	2	vowel-sequence-marked	unscorable	vowel-sequence-unresolved	Usage: Primarily used as a non-verb element in complex predicates
f_js6xgmvlfyzza		muṣṭú	of the past; forward; before, first	liljegren	source-tagged-adjective-with-final-short-u-including-ú	penultimate-nucleus	1	S	exception		
f_kzp57hxyqrdyw		muṣṭúku	of the past, olden	liljegren	source-tagged-adjective-with-final-short-u-including-ú	penultimate-nucleus	2	S	consistent		Inflection: Reg (Fem): muṣṭúki; Morphemic form: muṣṭ-úk-
f_xp4lzuq6ge24o		muxaakúku	of the past, olden	liljegren	source-tagged-adjective-with-final-short-u-including-ú	penultimate-nucleus	2	S	consistent		Inflection: Reg (Fem): muṣṭúki; Morphemic form: muṣṭ-úk-; Variant restriction: Biori
f_sd7jhqskewqwm		paalúulu	Palulo (person)	liljegren	source-tagged-adjective-with-final-short-u-including-ú	penultimate-nucleus	2	E	consistent		Inflection: Reg (Fem): paalúuli; Usage: A self-designation common among Palula speakers in the Biori Valley, and slightly less used in the Ashret Valley
f_tugwjsztopnme		pac̣hélu	rotten, spoiled	liljegren	source-tagged-adjective-with-final-short-u-including-ú	penultimate-nucleus	2	S	consistent		Inflection: Reg (Fem): pac̣héli; Morphemic form: pac̣hél-
f_3pdwx5j3hoztm		pamíilu	woolen	liljegren	source-tagged-adjective-with-final-short-u-including-ú	penultimate-nucleus	2	E	consistent		Inflection: Reg (Fem agr): pamíili; Morphemic form: pam-íil-
f_6vhmdrctmbmqy		parúku	last year's	liljegren	source-tagged-adjective-with-final-short-u-including-ú	penultimate-nucleus	2	S	consistent		Inflection: Reg (Fem): parúki; Morphemic form: par-úk-
f_6ysclmsnw6n4s		phalúuṛu	sole, only	liljegren	source-tagged-adjective-with-final-short-u-including-ú	penultimate-nucleus	2	E	consistent		Inflection: Reg (Fem): phalúuṛi; Morphemic form: phalúuṛ-
f_qeagm36teblt2		pičhílu	slippery	liljegren	source-tagged-adjective-with-final-short-u-including-ú	penultimate-nucleus	2	S	consistent		Inflection: Reg (Fem): pičhíli; Morphemic form: pičhíl-
f_kahzrlygezcq2		piṇḍúuru	round	liljegren	source-tagged-adjective-with-final-short-u-including-ú	penultimate-nucleus	2	E	consistent		Inflection: Reg (Fem): piṇḍúuri; Morphemic form: piṇḍúur-
f_q2wn3qv65bwia		raatúku	of night (and day) periods	liljegren	source-tagged-adjective-with-final-short-u-including-ú	penultimate-nucleus	2	S	consistent		Inflection: Reg (Fem): raatúki; Morphemic form: raat-úk-
f_pcfgv3phwnl66		sáamu	like, equal to	liljegren	source-tagged-adjective-with-final-short-u-including-ú	penultimate-nucleus	2	E	consistent		Inflection: Uml (Fem): séemi
f_jkmzjeewxde2m		sóoru	whole; good, healthy	liljegren	source-tagged-adjective-with-final-short-u-including-ú	penultimate-nucleus	2	E	consistent		Inflection: Uml (Fem): séeri; Morphemic form: sáar-
f_5pab4miqfzss2		súuru	whole; good, healthy	liljegren	source-tagged-adjective-with-final-short-u-including-ú	penultimate-nucleus	2	E	consistent		Inflection: Uml (Fem): séeri; Morphemic form: sáar-; Variant restriction: Biori
f_jsqqumrn4b7ei		šaakíilu	wooden	liljegren	source-tagged-adjective-with-final-short-u-including-ú	penultimate-nucleus	2	E	consistent		Inflection: Reg (Fem): šaakíili; Morphemic form: šaák-íil-
f_mrjb5iywyd3pq		thiáaḍu	and a half	liljegren	source-tagged-adjective-with-final-short-u-including-ú	penultimate-nucleus	2	vowel-sequence-marked	unscorable	vowel-sequence-unresolved	Inflection: Uml (Fem): thiéeḍi
f_w4tup63su3j4q		tipúku	present	liljegren	source-tagged-adjective-with-final-short-u-including-ú	penultimate-nucleus	2	S	consistent		Inflection: Reg (Fem): tipúki; Morphemic form: tip-úk-
f_qfcfmpspbh7km		tríimbu	thick (about plants, forest)	liljegren	source-tagged-adjective-with-final-short-u-including-ú	penultimate-nucleus	2	E	consistent		Inflection: Reg (Fem): tríimbi; Morphemic form: triimb-
f_vjapbnuo56evc		triṣéelu	thirsty	liljegren	source-tagged-adjective-with-final-short-u-including-ú	penultimate-nucleus	2	E	consistent		Inflection: Reg (Fem): triṣéeli
f_mn6v5vwt45rdu		tróku	thin, skinny; weak, worn	liljegren	source-tagged-adjective-with-final-short-u-including-ú	penultimate-nucleus	2	S	consistent		Inflection: Reg (Fem): tróki; Morphemic form: trok-
f_ze3frt2tqujw2		wíilu	watery	liljegren	source-tagged-adjective-with-final-short-u-including-ú	penultimate-nucleus	2	E	consistent		Inflection: Reg (Fem): wíili
f_iufdvjszekuyi		giḍúuču	from Damel, of Damel; person from Damel	liljegren	source-tagged-adjective-with-final-short-u-including-ú	penultimate-nucleus	2	E	consistent		Inflection: Reg (Fem): giḍúuči; Morphemic form: giḍ-óoč-
f_3tct4vlrxvt6e		guṭúmbu	deep	liljegren	source-tagged-adjective-with-final-short-u-including-ú	penultimate-nucleus	2	S	consistent		Inflection: Reg (Fem): guṭúmbi; Morphemic form: guṭúmb-
