group	family	note
36		diːja both plausibly belongs to the two family, but the added j and ending require a full pronominal comparison before assignment.
37		pu/pi- boy belongs to pōta; ǰitak- boy is a different lexical formation and is left unresolved.
38		ǰitaka boys is the plural of ǰitak-, not evidence for dāraka simply because both mean boys.
39	9735	mandili bread matches older Sauji mēṇḍili and the maṇḍa family; diminutive/extended formation remains part of the analysis.
40	4855	t͡ʃut͡ʃuː breast is the reduplicated cuccu set; expressive origin limits deep accent inference.
41	13585	si bridge compares to sētu/sīu; contraction removes the original syllable boundary, so mora history cannot be read from unmarked si.
42	13585	sia bridges is the inflected plural of si bridge.
43	178	ataan-/aṭ- bring matches the aṭṭ family only at the lexical-root level; the added imperfective and agreement morphology is retained.
44	9661	bra/braː brother corresponds to bhrātr̥ with cluster reduction.
45	9661	brawu brothers is the brother plural; uw morphology prevents treating it as an independent etymon.
46	6248	daǰaan-u burn contains the intransitive/passive daj- stem comparable to dahyate, not the causative dahayati by default.
47		xo but/however is the Pashto-type regional conjunction; contact evidence only.
48	8298	piši cat matches puśśī; the vowel difference and feminine morphology remain visible.
49	3208	kukuṛ-/kukuṛ-ee chicken is the kukkuṭa set with a plural/oblique ending in the longer form.
50	10896	laːvu child/small matches older Sauji lau and the laghu property family; semantic nominalization does not create a separate accent history.
51		paaɣas clean has no demonstrated cognate among the proposed splendid/clean roots; do not assign by gloss alone.
52		ban close likely belongs to the regional band closure verb/adjective, but context is insufficient for a strict inherited input.
53		yaan-/yeen-/y- come can be compared to yāti; wol- is a separate perfective stem and remains unassigned.
54	7654	pačowaan-/pačoaal- cook show causative/tense extensions of pac-; link the lexical family, not the exact inherited finite formation.
55	7621	peekibo cooked is a pakva-family participial formation with additional morphology; its vowels do not supply accent.
56		leka counting likely corresponds to the regional lekh reckoning noun, but no input accent should be imputed without the relevant entry.
57		riŋɡeen-i cry is not segmentally matched to rodati by meaning alone; leave unresolved.
58		dawudi is a personal name with case morphology; exclude from inherited common-noun inference.
59	13756	thilo did belongs to the th- do paradigm with a perfective l extension.
60	10278	muṛ-oo die is a perfective/dead-stem citation; mṛta is the formation comparator, not an unqualified present-root reflex.
61	10278	muro died is the perfective/dead-stem formation corresponding to mṛta.
62		rakam different is the regional kind/sort contact word, not an inherited other adjective.
63		čoor-ee disturb has no secure root assignment in the selected evidence.
64	13756	thaan-/theen- and thil-/til-/ṭil- are the do paradigm; imperfective, perfective and agreement cells remain separate.
65	13756	thaanu does is the imperfective do stem with agreement.
66	3219	kučuroo/kučuri/kučure dog are masculine, feminine or inflected members of kuccura; final oo is a genuine length distinction, not an acute mark.
67	3219	kučuree dogs is the plural of kučuroo.
68	2830	kaːɳ ear is already linked to karṇa.
69	3865	khuwaan-/khaal-/khaa eat represent imperfective, perfective and imperative cells of the khād family.
70		mačo echo has no secure cognate here; do not confuse it with the fish word.
71	1111	aɳɖoː egg matches āṇḍa; the long final gender vowel must be distinguished from a short-u adjective ending.
72	941	aaš eight is already linked to aṣṭā.
73	946	aštiyaš eighteen is the eight-plus-ten compound, with an expanded medial sequence.
74	2485	yekaaš eleven is the same compound as jakɑːʃ, a transcription/variant pair.
75		degar evening is the Persian-type time-of-day word, not the inherited vikāla set by meaning alone.
76		har every is the Iranian regional quantifier.
77	43	anʈ͡ʂiː eye matches akṣi through the characteristic affricate outcome and feminine extension; final length alone is not pitch accent.
78	10158	mox-e face belongs to mukha; -e is case/number morphology, and a secondary mukhya formation remains a possible finer comparison.
79	9209	baabu father is already linked to the expressive bāppa family.
80	7627	phanti feather is a pakṣa-family candidate supported by regional phaaṭu-type forms; the nasal and i ending need further phonological explanation, so confidence is provisional.
81	2447	inčeṛi female bear is assigned to the independently feminine r̥kṣī family rather than treating its ending as part of the masculine citation.
82	3208	kukuri female chicken is the feminine member of the kukkuṭa paradigm.
83	3219	kučuri female dog is the feminine member of kuccura, supported by the source's own kučuroo paradigm.
84	7662	panǰiš fifteen is the inherited five-plus-ten compound; compound accent must be modeled separately.
85		dešaan dubiša fifty is a vigesimal phrase ten plus two twenties; no single OIA fifty headword is appropriate.
86		jaŋg fight/conflict is the Iranian jang contact word, same lexical item as yang battle.
87	135	aŋguri/anguri finger corresponds to aṅguli with rhotic outcome.
88	6914	naːkʰ fingernail matches nakha; long aa and retained aspiration are directly observed, accent unmarked.
89	135	angure fingers is the plural of anguri.
90	125	hangaːru fire corresponds to aṅgāra with initial h and broadened ember-to-fire meaning.
91	9758	matsiɳ fish contains the matsya stem plus an unexplained final extension; do not assign the rohitamatsya compound because of fish alone.
92	7655	paanǰ five is already linked to pañca.
93		xawar flat resembles a regional adjective but lacks a secure reconstruction in the present evidence.
94	8218	pišu/pišo flour are the piṣṭa nominal set; the grinding verb pēṣayati is related but not the immediate noun formation.
95	8306	poš-a flower belongs to the regional poś/pōṣ flower set under puṣya; the final a is inflectional.
96		zaŋgali forest is the regional jangal word with a case/derivational ending; contact versus inherited history is unresolved and no tone is supplied.
97		dubiša forty is transparently two twenties, a compositional numeral; keep separate from an unmodified twenty reflex.
98	4655	čoor/čur four are the catvāraḥ set; vowel quantity varies by citation/cell.
99	4605	čadiš fourteen is already linked to the four-plus-ten compound.
100	11153	lambaṛi/lumbaṛi fox correspond to the lōmaṭaka regional fox family, with a feminine/extended ending.
101		biyaal-u frighten plausibly contains the fear root, but causative formation and precise ancestor are not established here.
102	9746	munɖaːko frog is the maṇḍūka set; modern vowel quality and quantity are separate from inherited accent.
103		diyon/diyaan/diyo from are grammatical postposition forms; no etymology follows from superficial similarity to a holding root.
104	986	asondiyo from us contains the first-person plural pronoun plus the source's diyo postposition; phrase-level grammatical evidence, not a simplex accent reflex.
105	6140	dito gave corresponds to the datta perfective stem.
106	8399	pu-yee/poo-yee girl compare to the pōta-family boy/girl paradigm; female and case extensions are retained.
107		daan-/d- give and dit- given are linked to their separate present and perfective formations below.
108	6141	daano gives is the present giving stem.
109		baan- go and g- perfective go require separate vrájati and gata formation links.
110		baan-al-e go/become is semantically ambiguous between the two source paradigms; no forced historical assignment.
111	4963	čhaal-u/t͡ʃʰɑːlɛ goat match the chagala set, with sex/number morphology. chāgala is an alternative historical formation, not an interchangeable accent input.
112	12225	baanu goes is the going imperfective; distinguish the homophonous becoming verb.
113		xwax good is Pashto-type contact vocabulary; bal is a different citation requiring source-context clarification. Neither is assigned to śubha by gloss.
114		yarime government is opaque here; a semantic match with rājya is insufficient.
115		nawaasi granddaughter belongs with regional nawasa/nawasi; borrowing route and deeper formation need investigation, not substitution of pautrī.
116		nawaasu grandson is the male counterpart of nawaasi; do not equate it with the segmentally different pautra set.
117		drab grass plausibly reflects darbha with metathesis, an etymological lead needing the full entry; not a reflex of ghāsa by meaning alone.
118	7563	nil-i green is the nīla adjective with a gender ending; source supplies no accent.
119		nilbel-ee-n-ee grow has substantial verbal morphology and no secure lexical match; do not assign vardhate solely from the gloss.
120	14024	haat-/haːtʰ hand matches hasta; haat-o-de is an inflected/postpositional form, not the same citation cell.
121		la-/le-/li- proximate pronouns form a distinct deictic paradigm. Several cells are explicitly secondary Buddruss citations not confirmed by Knobloch's speakers; retain that distinction and leave deep ancestry open.
122		se versus t- remote-pronoun stems are suppletive within a paradigm. Link se to sa only; t- requires its own demonstrative formation.
123	12497	šeš head corresponds to śīrṣa and older Sauji ṣiṣ; source's unmarked spelling is not a tonelessness claim.
124		bud͡ʒiloː hear plausibly contains a budh/buj knowing/hearing stem, but the prefix and formation are not established; do not force śṛṇoti.
125		kumaak help is the regional Persian komak contact word.
126	3208	kukuṛ-/kukuṛi hen are the kukkuṭa bird paradigm; some masculine-shaped citations under hen require the original grammatical cell to be retained.
127	3208	kukuṛe hens is the plural of the chicken/hen stem.
128		laadee/lade here are locative formations of the proximal la- demonstrative, not independent lexical roots.
129	12583	ʂinga horn corresponds to śṛṅga; retained final a prevents a monosyllabic mora comparison.
130	4516	guṛu horse corresponds to ghōṭa with the regional retroflex-rhotic outcome and masculine ending.
131	4336	gooš/goš- house belongs to goṣṭha as already linked in this source; case/number alternants differ in root quantity.
132	3167	keti how many belongs to the kiyatta quantifier set; its final vowel is grammatical, accent unknown.
133		paanǰbiša/paanǰbisa hundred are five twenties; sawa hundred is a different formation, assigned separately below.
134		dešaan paanǰbiša hundred and ten is a compositional phrase ten plus five twenties, not an inherited simplex numeral.
135		ṣubiša hundred and twenty is six twenties; the vigesimal construction must be analyzed as a compound.
136	9284	buṣaag-u hungry plausibly continues the bubhukṣaka family through the hunger stem plus adjectival ending; cluster simplification and g require further source comparison, so provisional.
137		ǰaleen-i hurt is a verbal stem with imperfective morphology; resemblance to śūlate is insufficient without a supported affricate correspondence.
138	9828	miʃa husband belongs to the contracted miš man/husband set, distinct from uncontracted maanuṣ.
139	9691	ma/mi first-person singular forms belong to the ma pronominal stem, with case variation.
140		muškani/muxaamšuṇi in front of contain front/face-related material and further morphology; the exact division and borrowing history remain unresolved.
141		daḍee direction-of is a directional postposition, with no secure lexical ancestor assigned.
142		ṣaa into is a grammatical item; no lexical cognacy follows from the retrieved English-gloss matches.
143		hinu/hino is belong to the hin- copula; historical derivation remains open rather than inheriting bhavati accent through a modern translation.
144		musaaferi/musafari/musaphari journey are Arabic/Persian-origin contact vocabulary; the ph/f variants are transcription/phonological evidence only.
145		qaziː judge is an Arabic-origin contact noun, here explicitly a secondary Buddruss citation.
146		kamtili is a place-name citation; no common-noun etymology is assumed.
147	10066	moraan-/moreen-/moril- kill belong to the causative mārayati family; perfective l and agreement morphology are separated from the root.
148	10066	morilo killed is the perfective of moraan- kill.
149		gozan-/gozel- knead form an imperfective/perfective pair, but their base is not a supported mard- reflex.
150		ḍuṅgo knee may relate to a bent/rounded-body-part term, but it is not a secure kuṭṭha reflex; no forced cognacy.
151		piyaanil-/piyonaan- know may be a prefixed knowing/recognizing formation; jānāti without the prefix does not establish the history.
152	14021	hansil-i laugh corresponds to hasati with nasal and perfective extension; the exact finite Sanskrit citation is only a root-family comparator.
153	7733	paːɬu leaf matches pattra, with the Sauji lateral outcome also seen in three; final u and cluster history distinguish it from pallava.
154		garazaṛ-ee lender appears related to the regional qarz loan vocabulary, but source segmentation and agentive formation need checking.
155		zindagi life is the Persian-origin contact noun.
156	10896	laaw-u/leew-i little show the laghu adjective's gender/umlaut alternation; do not substitute alpa because of the shared meaning.
157		wosedal/wasedal live preserve a Pashto-type verbal infinitive; contact origin or calqued integration needs primary lexical confirmation.
158		jiːnuː liver is segmentally unlike yakṛt in these data; leave the lexical replacement unexplained.
159		čed loan is the base associated with čeduaṇ-ee borrower, but its deeper etymology is unresolved.
160		agil-u look is not securely linked to lakṣati or dṛkṣati; retain as an unresolved verbal formation.
161	10512	d͡ʒuj louse belongs to the yūkā set through the widespread ju/jū form; glide quality and final shape remain source observations.
162	2445	inč male bear is the unextended masculine ṛkṣa comparator.
163	3208	kukur male chicken is the masculine kukkuṭa stem.
164	3219	kučuroo male dog is the masculine kuccura form with long final oo.
165	10049	maanuṣ- man has a retained long first vowel and uncontracted stem, making mānuṣa a plausible formation distinct from miš husband and short-root mánuṣa. Provisional until the exact historical variant is checked; do not infer its accent from length.
166		bazaar-ee market is the Iranian contact noun with local case morphology.
167	9691	maṭe/maṭee to me are first-person ma plus the dative ṭe; secondary versus new source attestations remain separate.
168	3696	ʈ͡ʂir milk is the kṣīra set with affricate outcome; quantity and pitch are not independently resolved by this spelling.
169		menat-a minute is the modern international time-unit loan with local ending.
170		rupa-ya/rupai money are the regional rupee noun, a contact currency term; do not assign the red adjective merely because money can be called red in Palula.
171		yon-e month may continue a moon-related stem, but no secure māsa derivation is supported by these segments.
172		laalapare morning has more structure than the candidate dawn roots; leave it unresolved without a supported segmentation.
173	1351	yeey/jeːj mother match āryikā-family contraction and the regional yēy maternal term.
174		moṛ-u mountain is a separate lexical item from khaṇḍa mountain; the supplied evidence does not establish its root.
175	7067	naːm name corresponds to nāman; this is source Table2's unaccented phonetic citation, not a marked mora.
176	2618	keči near is comparable to the regional kacchi near/side set under kaccha; kakṣyā is an alternative formation. The exact ancestor is provisional.
177		sagardan nervous is the regional Persian sar-gardān type adjective with reduced r; contact history needs confirmation.
178	6984	nu nine is the contracted nava numeral.
179	2411	uṛiš nineteen compares to ūnaviṁśati with strong contraction; numeral-series analogy may participate, and the exact phonological steps remain uncertain.
180	7031	naːs nose corresponds to nasta and the regional nās stem.
181		na and ne negation have distinct potential formations; assign na to na, leave contracted ne ambiguous between naiva and other negative-copular combinations.
182		n-eel-i not be is a segmented negative copula; it cannot be treated as a simplex reflex of naiva.
183		ɖaːgu/ḍag-i old is a masculine/feminine property pair, but no secure relation to jāra or buḍḍha is demonstrated here.
184	4424	ganu old/big/tall is the same ghan- property family as gaan-o; the age sense does not by itself identify gāḍha.
185	4424	ganeeroo older is the comparative of gan- big, with the independently visible -eer- suffix. It parallels Palula age comparatives morphologically but is not a direct reflex of gāḍhatara4119. Final long oo is printed without accent.
186		rate-/rati on is a postpositional paradigm; no exact historical input is established by the accidental lexical-gloss matches.
187	2462	jak/yak/ek/eki one are members of the one-numeral paradigm; forms differ in initial glide and ending.
188	6402	dwi other matches the second-to-other development of dutīya; retained w may reflect the two-stem, so the exact derivation is provisional.
189		taandor-e oven is the regional tandoor contact noun with local case ending.
190		kačo particles has an underspecified gloss; no reconstruction is defensible without context.
191	11564	bora-bato Pashto language contains the language/speech word bato of the vārtta family plus an ethnolinguistic modifier; compound, not a bare speech reflex.
192		paːpi paternal aunt resembles an expressive kinship formation but is not securely established as pitṛṣvasṛ by these segments.
193		bowṛi paternal uncle is a distinct kin term; do not map it to maternal-uncle mātula by generic uncle meaning.
194		bowṛiyee ɬeṛi paternal uncle's wife is an analytic kinship phrase, literally uncle's woman/wife. Components can be compared separately; no simplex etymon assigned.
195	7785	pʰaːnt path corresponds to panthā with the characteristic aspirated outcome and retained nasal-stop cluster.
196		xalak-a people is regional Pashto/Arabic-origin xalak, integrated with local number morphology.
197		šair-e poet is an Arabic-origin contact noun with case ending.
198		talaan-/taleen-/tel- pour constitute a verbal paradigm, but no supported derivation from the retrieved pouring roots exists.
199		tayar prepare is the regional Arabic-origin ready word used predicatively; not an inherited sanoti reflex.
200	f_prhj2ccra7c5a	topos question is the same regional tapos inquiry word grouped under the database's unknown-etymon placeholder. This is lexical comparison only and supplies no reconstructed input.
201		aya question marker is the Iranian interrogative particle, distinct from the lexical noun topos question.
202	4336	gooš-ee room is the inflected house word with narrower room meaning, independently attested as house in the same source.
203		paṛa-yee rope has no secure match to rajju/dāman in this evidence; feminine/case morphology is identifiable but not the root history.
204		salim is a personal name, not a common-noun sound-law datum.
205		sau/sau-gaṛi are place-name and demonym material; their deep ancestry is unresolved.
206	11564	saujibid-ee Sauji language plausibly includes the same speech/language bati stem with compounding reduction; provisional component-level comparison only.
207	9837	men-aal-oo/men-oo say belong to the regional man/men say set assigned to mantrayate; tense and agreement are separate.
208	9837	man-ani say/speak/read has the same man- stem; the broad English sense range does not justify a different rásati link.
209	5478	ʈikut͡ʃ scorpion resembles the regional ṭinčuk/ṭičuk formation under ṭoṅka, but metathesis and the deeper semantic derivation remain provisional.
210		pašaan- see and deeš-/deš- seen are the independently identifiable present and perfective stems; assign to paśyati and dṛṣṭa separately.
211	13139	saat seven is the same numeral as the source's digit-glossed citation.
212		saat-sawa seven hundred is a compositional seven plus hundred expression, not a simple saptá reflex.
213	13146	satiyaš seventeen is the seven-plus-ten compound with an expanded medial sequence.
214		dešaan ɬaabiša seventy is ten plus three twenties; retain its vigesimal composition.
215		ša is a proper-name or insufficiently glossed citation; do not equate it with oath or king without context.
216		špank-ay shepherd is a Pashto-type shepherd word with local morphology; it is not segmentally a barkarapāla reflex.
217		šergala is a place name.
218	8134	paša/pašuwanu/pašuanu show are causatives of the see stem; the optional w is printed as an explicit source alternative.
219		čaŋ sieve is a different lexical item from paripavana; no secure history is established here.
220		gošte similar to is a comparative/postpositional item; similarity to the house spelling does not establish cognacy.
221	9349	beeṇ/bhyeṇ sister corresponds to bhaginī with contraction; source variants preserve different glide/aspiration representations.
222	9349	beeṇa sisters is the inflected plural of beeṇ.
223	14327	beeṭ- sit contains the upaviṣṭa-type perfective stem plus further tense/agreement suffixes, distinct from the present viś/bish stem.
224	12803	ṣo/ʂo six are the ṣaṣ numeral set.
225	12812	ṣuṛaš sixteen is already linked to ṣoḍaśa.
226		ɬaabiša sixty is three twenties, not a direct simplex ṣaṣṭi reflex.
227		gaːɬ skin is not a secure carman reflex; a body/limb term such as gātra could be investigated because of the lateral correspondence, but that is an unverified new proposal.
228		suaan-/sueen- sleep and sot- slept require svapati versus supta formation comparison; do not map the entire paradigm to one finite headword.
229	10896	law-ee small is the plural/oblique laghu adjective form.
230	5110	ǰandraaw snake corresponds to the extended jantu family and Palula jhandurā, with final aw and nominal extension retained.
231		sum soil clearly matches Palula/Shina sum lexically, but their database súmahānt link is explicitly very doubtful. Record the cross-language lexical set without propagating that old-accent input.
232		ade/aḍe some are quantifier forms whose exact historical formation remains open.
233		aḍi-bi some/also combines the quantifier with an additive particle; do not treat it as one inherited root.
234	11564	bati/bata speech belong to the vārtta tidings/speech family and older Sauji bātya.
235		qaʃuq spoon is the Turkic-origin regional spoon word, a secondary Buddruss citation here.
236	5798	taːri star belongs to tārā with a feminine ending; modern stress unmarked.
237	12379	šaank-ee stick compares to šaŋko wood and the śākhya/śākhā branch family; nasal and immediate derivative remain uncertain, so provisional.
238	11348	baːʈ stone corresponds to varta and the regional baṭ stem.
239	11348	baːʈa stones is the plural of baːʈ, with final a retained.
240		kamaqal stupid is the Persian/Arabic kam-aql compound, a contact adjective.
241	13574	suːri/suri sun belongs to sūra with final i; the source gives quantity variants without accent analysis.
242	13574	sure suns is the plural of suri.
243		terčapera surrounding repeats the around adverb; its internal history remains unresolved.
244		meez table is the Persian contact noun; meez-aan is an inflected cell, not a different etymon.
245		meeza tables is the local plural of borrowed meez.
246	6152	daːnda teeth is the plural of daːnd tooth, corresponding to danta.
247	6227	deš/dɛʃ/daš ten belong to daśa; source variants differ in vowel representation.
248		Mixed demonstratives se/t- remote and la proximal must be separated; se alone is assigned to sa, while the other stems remain unresolved.
249		Remote plural se/t- forms belong to one suppletive demonstrative paradigm, but not one unqualified old headword; se alone receives the sa link.
250	4424	ganeere elders/leaders is the plural/substantivized age comparative of gan- big; independent -eer- morphology parallels ganeeroo older.
251		bi and giri then are separate discourse particles; no common historical input is warranted.
252		giri then/again resembles a turn/again adverb but lacks a demonstrated route from phirati; leave unresolved.
253		le-/lin- proximal plural pronouns are the la- paradigm's number/case alternants; preserve secondary-source labels and unknown ancestry.
254		Remote plural se/t- pronouns have suppletive stem formation; only se is assigned to sa.
255		muṣaaṛi thief plausibly derives from a steal root muṣ- with an agentive suffix, a useful etymological lead; exact formation and accent are unresolved.
256	6001	troyiš thirteen is the three-plus-ten compound and should be compared to the teen series, not the simple numeral three.
257		dešaan biš thirty is ten plus twenty, not a direct triṁśat reflex.
258		aštiyašaan biš thirty-eight is eighteen plus twenty; preserve the phrase's composition.
259		panǰišaan biš thirty-five is fifteen plus twenty.
260		čadišaan biš thirty-four is fourteen plus twenty.
261		uṛišaan biš thirty-nine is nineteen plus twenty.
262		yakaašaan biš thirty-one is eleven plus twenty.
263		satiyaašaan biš thirty-seven is seventeen plus twenty.
264		ṣuṛešaan biš thirty-six is sixteen plus twenty.
265		troyišaan biš thirty-three is thirteen plus twenty.
266		baašaan biš thirty-two is twelve plus twenty.
267		la-/le-/li- this forms belong to the proximal demonstrative paradigm; no supported derivation from ayam or ana is established.
268		le/lena/lini/leni this-plural are proximal plural/case forms, several cited secondarily from Buddruss.
269	5994	ɬaa three corresponds to trayaḥ with the diagnostic Sauji tr-to-lateral outcome.
270	137	anguṭo thumb corresponds to aṅguṣṭha and older Sauji aṅguṭho; aspiration loss and ending are explicit differences.
271	4353	gan tie matches granthayati-family knot/tying stems; exact verbal formation remains distinct from the Sanskrit finite citation.
272		vaxti/waxta time are inflections of the Arabic-origin regional waqt word.
273		ṭe/ṭee and diya to are separate postpositional forms; no simplex lexical ancestor assigned.
274		di towards is a grammatical directional item with unresolved deeper history.
275		ṭee to/towards/at is the same dative postposition found after pronouns, not an independent content-word etymon.
276		si together is a comitative item; its short form alone does not establish a derivation from sārtha.
277		si together with is the same comitative as si together; ancestry unresolved.
278	5228	ǰib/d͡ʒib tongue corresponds to jihvā with the regional b outcome.
279	5228	ǰiba tongues is the plural of ǰib.
280	6152	daːnd/daːndu tooth correspond to danta; bare and u-ending forms are distinct cells/shapes.
281		torsan is a place-name citation.
282		keeṇi towards is a directional form whose relation to the -keṇ- postposition series merits study; no accent input assigned.
283		musaːpʰar traveler/journey is the Arabic/Persian-origin musāfir contact word; semantic nominal use does not make it inherited OIA vocabulary.
284	5355	ǰul-e tree compares to the jhalla forest/tree family; narrowed versus broad vegetation senses are plausible, but exact vowel history remains uncertain.
285	6658	baaš twelve is already linked to dvādaśa.
286	11616	biš/biʃ twenty correspond to viṁśati; separate from the many larger vigesimal compounds.
287		aašaan biš twenty-eight is eight plus twenty.
288		paanǰaan biš twenty-five is five plus twenty.
289		čuraan biš twenty-four is four plus twenty.
290		nuwaan biš twenty-nine is nine plus twenty.
291		yakaan biš twenty-one is one plus twenty.
292		saataan biš twenty-seven is seven plus twenty.
293		ṣuwaan biš twenty-six is six plus twenty.
294		ɬaawaan biš twenty-three is three plus twenty.
295		duwaan biš twenty-two is two plus twenty.
296	6648	du/duu/duː two are already linked to dva; long spelling alone is not accent.
297	6648	due two/both is an inflected or extended two form; the vowel sequence prevents an automatic mora-location score.
298		ṭoopee under is a postposition with no securely established tala derivation.
299	986	asan/asa/asonṭee us belong to the asmad oblique plural paradigm; final ṭee is the dative postposition.
300		daro valley may be regional Iranian dara or an inherited cleft term; the borrowing versus inheritance alternative remains unresolved.
301	4368	grɑːm/grom-/grome village correspond to grāma; root-vowel variation and case endings are preserved as source evidence.
302	12225	baan-oo walk is the going verb used with a walking sense, supported by baan- go in the same source.
303	4474	geraan-al-ee walk around belongs to the ghir turn/go-round family with aspect/agreement extensions.
304		alu was is the al- past copula; an āsate derivation is not established by a shared translation.
305	1921	i water matches the regional wi/ūi water set under udaka through contraction; tiny surviving shape makes deeper reconstruction provisional.
306		First-person plural be belongs to vayam, while as- forms belong to asmad; preserve the paradigm's suppletion.
307	4008	go went corresponds to gata, distinct from baan- go.
308	3164	ga what matches the regional interrogative ga under kim, but the exact case formation is not recovered.
309		kaaree/karee when correspond to karhi; bo when is a different form and remains unresolved.
310		kanee where is interrogative k- plus locative morphology, but its exact ancestor is not established from kuha alone.
311	8047	paṛaṇ-o white corresponds to pāṇḍara and older Sauji parãṛó; the new source omits accent, so it cannot resolve the older final accent.
312	2574	ko who belongs to the ka interrogative family.
313		gašeyṭe why is a grammatical question expression with final dative ṭe; component segmentation and its middle element remain unresolved.
314	13871	saraaṇi wife's sister belongs to the extended syāla affinal-kin family, with a feminine suffix; not the wife's-sister's-husband formation.
315		saraaṇiyee miš wife's sister's husband is an analytic genitive-plus-husband phrase; compare components separately, not as one inherited compound.
316	178	aṭomo will bring is the future of the aṭ- bring stem.
317	10452	yomo/yomi will come are future/agreement cells of y- come, with source alternatives preserved.
318	13756	thomno will do is a future of th- do.
319	3865	khamno/khomno will eat are futures of kh- eat; the second is explicitly secondary Buddruss evidence.
320		uːʃiː wind has no secure match in the supplied family candidates; leave the replacement/etymology unresolved.
321		dee with is an instrumental/comitative postposition; no supported relation to saṅga or sārtha is established.
322	13736	ɬeṛ-/ɬer- woman belongs to the straika set, already linked for two forms; gender/number endings remain explicit.
323	12379	ʃaŋko wood matches the śākhya/śākhā branch/wood set, but nasal and final o favor keeping the immediate derivation provisional rather than copying the bare Palula šaák history.
324		gap word is an Iranian regional speech noun, here a secondary Buddruss citation.
325	2892	kraam work corresponds to karman with metathesis, as in Palula kram/kráam.
326	3438	kirmi worm corresponds to kṛmi with expanded initial vowel and retained final i.
327	11392	baːriʂ year corresponds to varṣa through the rains-to-year development; not an Iranian saal token.
328	6590	dooṛ/doːɽ yesterday belongs to the doṣā night/yesterday family with rhotic outcome.
329	5889	tuː/thi you are singular second-person cells; case alternation does not supply an independent accent contrast.
330	10511	tus- plural you forms belong to yuṣmad; the isolated tu under plural you may be analogical/syncretic and is marked separately below.
331	5889	tu/či/tuṭee/ti/tusi singular you are source-labeled members of the singular paradigm; tusi overlaps the plural shape and requires source-cell verification, not forced reclassification.
332	10896	lawu young/small belongs to the laghu property family.
333		zahir is a personal name.
334		zaŋgabošo is a place-name citation.
