group	gloss	record_id	form	source	proposed_family	retained_previous_family	status	confidence	relation	analysis	source_locator	description
21	beautiful	f_qaysydt4fec6y	šubaaṇ-u	knobloch2020sauji	12540		new-family-association	high	manually-reviewed-lexical-family	šubaaṇ-u beautiful matches older Sauji šobaṇo and the śubhvan family; the printed hyphen separates gender morphology.		
22	became	f_kvfptzcfocob4	bilo	knobloch2020sauji	9552		new-family-association	high	manually-reviewed-lexical-family	bilo became belongs to the bil- perfective, distinguished from baan- imperfective.		
23	because of	f_7wrmnrgo7bqai	ṣači	knobloch2020sauji			assessed-no-secure-input			ṣači because of is a postposition; no secure lexical reconstruction from these comparanda.		
24	become	f_z6q3oacjuty72	baan-u	knobloch2020sauji	9416		new-family-association	high	root-family-only	Mixed baan- imperfective and bil- perfective become are assigned separately by stem below.		
24	become	f_cnysxpbuaez6o	baan-e	knobloch2020sauji	9416		new-family-association	high	root-family-only	Mixed baan- imperfective and bil- perfective become are assigned separately by stem below.		
24	become	f_5lqkoxsvhxj4e	bil-i	knobloch2020sauji	9552		new-family-association	high	root-family-only	Mixed baan- imperfective and bil- perfective become are assigned separately by stem below.		
24	become	f_odgbpfwqdtilg	bil-o	knobloch2020sauji	9552		new-family-association	high	root-family-only	Mixed baan- imperfective and bil- perfective become are assigned separately by stem below.		
24	become	f_fcrlidy3773hg	baan-ee	knobloch2020sauji	9416		new-family-association	high	root-family-only	Mixed baan- imperfective and bil- perfective become are assigned separately by stem below.		
25	become, go	f_thgqi7an7kjvo	baan-al-ee	knobloch2020sauji			assessed-no-secure-input			baan-al-ee become/go has both verbal extension and tense/agreement morphology; root-family link only, not a direct reflex of the Sanskrit finite citation.		
26	becomes	f_ouqaphurp64si	baanu	knobloch2020sauji	9416		new-family-association	high	root-family-only	baanu becomes is the imperfective becoming stem.		
27	behind	f_4t2tr7uvw4y3m	patkeṇo	knobloch2020sauji	7732		new-family-association	high	manually-reviewed-lexical-family	patkeṇo/patkeṇi behind contain back pat- plus extended adjectival/postpositional morphology; suffix accent is unknown.		
27	behind	f_i57vtvchsye3q	patkeṇi	knobloch2020sauji	7732		new-family-association	high	manually-reviewed-lexical-family	patkeṇo/patkeṇi behind contain back pat- plus extended adjectival/postpositional morphology; suffix accent is unknown.		
28	between	f_krghfijdm4ngc	menǰi	knobloch2020sauji	9804		new-family-association	high	manually-reviewed-lexical-family	menǰi between matches madhya and the regional middle postposition; the nasal is retained as an observed segmental difference.		
29	big	f_a3yjut4bpyzry	gaːnu	knobloch2020sauji	4424		new-family-association	high	manually-reviewed-lexical-family	gaan-/gan- big agrees with older Sauji and Palula ghāṇu/ghan-; compare gender and number endings separately.		
29	big	f_eyddsxshytslc	gan-ee	knobloch2020sauji	4424		new-family-association	high	manually-reviewed-lexical-family	gaan-/gan- big agrees with older Sauji and Palula ghāṇu/ghan-; compare gender and number endings separately.		
29	big	f_vkswzslqg7jxa	gaan-o	knobloch2020sauji	4424		new-family-association	high	manually-reviewed-lexical-family	gaan-/gan- big agrees with older Sauji and Palula ghāṇu/ghan-; compare gender and number endings separately.		
29	big	f_6gonqi56ymfu4	gan-oo	knobloch2020sauji	4424		new-family-association	high	manually-reviewed-lexical-family	gaan-/gan- big agrees with older Sauji and Palula ghāṇu/ghan-; compare gender and number endings separately.		
30	black	f_7qkqfzy5qir7c	kašaṇ-i	knobloch2020sauji	3451		new-family-association	high	manually-reviewed-lexical-family	kašaṇ-i black matches the kr̥ṣṇa family through the known Sauji expanded consonant sequence and feminine ending.		
31	blood	f_5ct4dl6agxaxc	raːt	knobloch2020sauji	10539	10539	previous-research-link	high	manually-reviewed-lexical-family	raːt blood belongs to rakta, not the homophonous night set.		
32	bone	f_rnmknc54y7yfu	haːɖ	knobloch2020sauji	13952		new-family-association	high	manually-reviewed-lexical-family	haːɖ/haːɖu bone belong together; the final u and bare stem are distinct citation shapes.		
32	bone	f_4nhj5b2zgrii2	haːɖu	knobloch2020sauji	13952	13952	previous-research-link	high	manually-reviewed-lexical-family	haːɖ/haːɖu bone belong together; the final u and bare stem are distinct citation shapes.		
33	book	f_2eiej5hknkq56	kitaːb	knobloch2020sauji			assessed-no-secure-input			kitaab book is the Arabic-origin contact noun.		
33	book	f_giks7tkso5mx6	kitaab	knobloch2020sauji			assessed-no-secure-input			kitaab book is the Arabic-origin contact noun.		
34	books	f_uacg3pw3pig6m	kitaaba	knobloch2020sauji			assessed-no-secure-input			kitaaba books is the local plural of the contact noun kitaab; useful morphology, not inherited OIA accent.		
35	borrower	f_7can5t6eecqsg	čeduaṇ-ee	knobloch2020sauji			assessed-no-secure-input			čeduaṇ-ee borrower has agentive morphology, but the verbal base is not established here.		
36	both	f_is5amye6k4biw	diːja	knobloch2020sauji			assessed-no-secure-input			diːja both plausibly belongs to the two family, but the added j and ending require a full pronominal comparison before assignment.		
37	boy	f_4doelvd3ui7ru	pu	knobloch2020sauji	8399		new-family-association	high	manually-reviewed-lexical-family	pu/pi- boy belongs to pōta; ǰitak- boy is a different lexical formation and is left unresolved.		
37	boy	f_ono6cpzorzpsm	ǰitak-a	knobloch2020sauji			assessed-no-secure-input			pu/pi- boy belongs to pōta; ǰitak- boy is a different lexical formation and is left unresolved.		
37	boy	f_rzsteampffz6i	pi-yee	knobloch2020sauji	8399		new-family-association	high	manually-reviewed-lexical-family	pu/pi- boy belongs to pōta; ǰitak- boy is a different lexical formation and is left unresolved.		
37	boy	f_yugbvxhv35osi	ǰitak-u	knobloch2020sauji			assessed-no-secure-input			pu/pi- boy belongs to pōta; ǰitak- boy is a different lexical formation and is left unresolved.		
37	boy	f_d2aynov2pkhr6	piyee	knobloch2020sauji	8399		new-family-association	high	manually-reviewed-lexical-family	pu/pi- boy belongs to pōta; ǰitak- boy is a different lexical formation and is left unresolved.		
38	boys	f_r3c5xqq7w24mm	ǰitaka	knobloch2020sauji			assessed-no-secure-input			ǰitaka boys is the plural of ǰitak-, not evidence for dāraka simply because both mean boys.		
39	bread	f_unq6d3s2edc5i	mandili	knobloch2020sauji	9735		new-family-association	high	manually-reviewed-lexical-family	mandili bread matches older Sauji mēṇḍili and the maṇḍa family; diminutive/extended formation remains part of the analysis.		
40	breast	f_zu2rkemy2w5ba	t͡ʃut͡ʃuː	knobloch2020sauji	4855		new-family-association	high	manually-reviewed-lexical-family	t͡ʃut͡ʃuː breast is the reduplicated cuccu set; expressive origin limits deep accent inference.		
41	bridge	f_6csa6seyn4lzw	si	knobloch2020sauji	13585		new-family-association	high	manually-reviewed-lexical-family	si bridge compares to sētu/sīu; contraction removes the original syllable boundary, so mora history cannot be read from unmarked si.		
42	bridges	f_tdnga65h5z6xw	sia	knobloch2020sauji	13585		new-family-association	high	manually-reviewed-lexical-family	sia bridges is the inflected plural of si bridge.		
43	bring	f_bzw2p6afld6ic	ataan-o	knobloch2020sauji	178		new-family-association	high	root-family-only	ataan-/aṭ- bring matches the aṭṭ family only at the lexical-root level; the added imperfective and agreement morphology is retained.		
43	bring	f_2kk66ttmzcgkq	aṭ-oom-oo	knobloch2020sauji	178		new-family-association	high	root-family-only	ataan-/aṭ- bring matches the aṭṭ family only at the lexical-root level; the added imperfective and agreement morphology is retained.		
43	bring	f_gwqavnvpqfo5y	ataan-oo	knobloch2020sauji	178		new-family-association	high	root-family-only	ataan-/aṭ- bring matches the aṭṭ family only at the lexical-root level; the added imperfective and agreement morphology is retained.		
44	brother	f_4oo6dmq2nj6ws	brɑː	knobloch2020sauji	9661		new-family-association	high	manually-reviewed-lexical-family	bra/braː brother corresponds to bhrātr̥ with cluster reduction.		
44	brother	f_o7sbyyhjszoxs	bra	knobloch2020sauji	9661		new-family-association	high	manually-reviewed-lexical-family	bra/braː brother corresponds to bhrātr̥ with cluster reduction.		
45	brothers	f_2kmszu37q746o	brawu	knobloch2020sauji	9661		new-family-association	high	manually-reviewed-lexical-family	brawu brothers is the brother plural; uw morphology prevents treating it as an independent etymon.		
46	burn	f_s3ejbnqf2tpj4	daǰaan-u	knobloch2020sauji	6248		new-family-association	high	root-family-only	daǰaan-u burn contains the intransitive/passive daj- stem comparable to dahyate, not the causative dahayati by default.		
47	but, however	f_67wu4jooht5oc	xo	knobloch2020sauji			assessed-no-secure-input			xo but/however is the Pashto-type regional conjunction; contact evidence only.		
48	cat	f_77ohtoj3x64ik	piši	knobloch2020sauji	8298		new-family-association	high	manually-reviewed-lexical-family	piši cat matches puśśī; the vowel difference and feminine morphology remain visible.		
49	chicken	f_2ke3e3l2mj4hi	kukuṛ-ee	knobloch2020sauji	3208		new-family-association	high	manually-reviewed-lexical-family	kukuṛ-/kukuṛ-ee chicken is the kukkuṭa set with a plural/oblique ending in the longer form.		
49	chicken	f_vldrhysptgtpc	kukuṛ	knobloch2020sauji	3208		new-family-association	high	manually-reviewed-lexical-family	kukuṛ-/kukuṛ-ee chicken is the kukkuṭa set with a plural/oblique ending in the longer form.		
50	child, small	f_m2m2z4qeu56b4	laːvu	knobloch2020sauji	10896		new-family-association	high	manually-reviewed-lexical-family	laːvu child/small matches older Sauji lau and the laghu property family; semantic nominalization does not create a separate accent history.		
51	clean	f_msfmzowrht6sa	paːɣas	knobloch2020sauji			assessed-no-secure-input			paaɣas clean has no demonstrated cognate among the proposed splendid/clean roots; do not assign by gloss alone.		
51	clean	f_hp24x5mx7au72	paaɣas	knobloch2020sauji			assessed-no-secure-input			paaɣas clean has no demonstrated cognate among the proposed splendid/clean roots; do not assign by gloss alone.		
52	close	f_qt4qr34mqkjuk	ban	knobloch2020sauji			assessed-no-secure-input			ban close likely belongs to the regional band closure verb/adjective, but context is insufficient for a strict inherited input.		
53	come	f_smwrh4rtbelpy	yaan-	knobloch2020sauji	10452		new-family-association	high	root-family-only	yaan-/yeen-/y- come can be compared to yāti; wol- is a separate perfective stem and remains unassigned.		
53	come	f_h52lly6ogynnu	yeen-	knobloch2020sauji	10452		new-family-association	high	root-family-only	yaan-/yeen-/y- come can be compared to yāti; wol- is a separate perfective stem and remains unassigned.		
53	come	f_ajg4hf7a3knei	wol-	knobloch2020sauji			assessed-no-secure-input			yaan-/yeen-/y- come can be compared to yāti; wol- is a separate perfective stem and remains unassigned.		
53	come	f_p26jly4bdcxp4	y-om-oo	knobloch2020sauji	10452		new-family-association	high	root-family-only	yaan-/yeen-/y- come can be compared to yāti; wol- is a separate perfective stem and remains unassigned.		
53	come	f_d6zfvgmhvaary	yaan-u	knobloch2020sauji	10452		new-family-association	high	root-family-only	yaan-/yeen-/y- come can be compared to yāti; wol- is a separate perfective stem and remains unassigned.		
53	come	f_kbksucoh3srim	wol-aal-oo	knobloch2020sauji			assessed-no-secure-input			yaan-/yeen-/y- come can be compared to yāti; wol- is a separate perfective stem and remains unassigned.		
54	cook	f_4oyuy7vjycajc	pačowaan-	knobloch2020sauji	7654		new-family-association	high	root-family-only	pačowaan-/pačoaal- cook show causative/tense extensions of pac-; link the lexical family, not the exact inherited finite formation.		
54	cook	f_6ghnfgimrmqc6	pačoaal-	knobloch2020sauji	7654		new-family-association	high	root-family-only	pačowaan-/pačoaal- cook show causative/tense extensions of pac-; link the lexical family, not the exact inherited finite formation.		
54	cook	f_wpgxyg3nsbo54	pačowaan-i	knobloch2020sauji	7654		new-family-association	high	root-family-only	pačowaan-/pačoaal- cook show causative/tense extensions of pac-; link the lexical family, not the exact inherited finite formation.		
54	cook	f_33onmdpq75gpg	pačoaal-i	knobloch2020sauji	7654		new-family-association	high	root-family-only	pačowaan-/pačoaal- cook show causative/tense extensions of pac-; link the lexical family, not the exact inherited finite formation.		
55	cooked	f_736vwu2qg7qrg	peekibo	knobloch2020sauji	7621		new-family-association	high	root-family-only	peekibo cooked is a pakva-family participial formation with additional morphology; its vowels do not supply accent.		
56	counting	f_rh5r7eau6e5lw	leka	knobloch2020sauji			assessed-no-secure-input			leka counting likely corresponds to the regional lekh reckoning noun, but no input accent should be imputed without the relevant entry.		
57	cry	f_nomhccx3faq34	riŋɡeen-i	knobloch2020sauji			assessed-no-secure-input			riŋɡeen-i cry is not segmentally matched to rodati by meaning alone; leave unresolved.		
58	dawud	f_h562lcfqoi33a	dawudi	knobloch2020sauji			assessed-no-secure-input			dawudi is a personal name with case morphology; exclude from inherited common-noun inference.		
59	did	f_thxigit4rm5gc	thilo	knobloch2020sauji	13756		new-family-association	high	root-family-only	thilo did belongs to the th- do paradigm with a perfective l extension.		
60	die	f_ld7cyyqugws5i	muṛ-oo	knobloch2020sauji	10278		new-family-association	high	root-family-only	muṛ-oo die is a perfective/dead-stem citation; mṛta is the formation comparator, not an unqualified present-root reflex.		
61	died	f_k4ssr3qm7dinw	muro	knobloch2020sauji	10278		new-family-association	high	root-family-only	muro died is the perfective/dead-stem formation corresponding to mṛta.		
62	different	f_bgfs5tbe243uo	rakam	knobloch2020sauji			assessed-no-secure-input			rakam different is the regional kind/sort contact word, not an inherited other adjective.		
63	disturb	f_45sywlutjdbue	čoor-ee	knobloch2020sauji			assessed-no-secure-input			čoor-ee disturb has no secure root assignment in the selected evidence.		
64	do	f_jlrmrk53lxvbe	tʰaanu	knobloch2020sauji	13756		new-family-association	high	root-family-only	thaan-/theen- and thil-/til-/ṭil- are the do paradigm; imperfective, perfective and agreement cells remain separate.		
64	do	f_2pftcsfdul7iq	thaan-	knobloch2020sauji	13756		new-family-association	high	root-family-only	thaan-/theen- and thil-/til-/ṭil- are the do paradigm; imperfective, perfective and agreement cells remain separate.		
64	do	f_dp63726gxwovw	theen-	knobloch2020sauji	13756		new-family-association	high	root-family-only	thaan-/theen- and thil-/til-/ṭil- are the do paradigm; imperfective, perfective and agreement cells remain separate.		
64	do	f_ao7wakm3wnvfc	thil-	knobloch2020sauji	13756		new-family-association	high	root-family-only	thaan-/theen- and thil-/til-/ṭil- are the do paradigm; imperfective, perfective and agreement cells remain separate.		
64	do	f_7pqshtvocb4aq	thaan-u	knobloch2020sauji	13756		new-family-association	high	root-family-only	thaan-/theen- and thil-/til-/ṭil- are the do paradigm; imperfective, perfective and agreement cells remain separate.		
64	do	f_gzyk6xf7gt4wg	thaan-al-oo	knobloch2020sauji	13756		new-family-association	high	root-family-only	thaan-/theen- and thil-/til-/ṭil- are the do paradigm; imperfective, perfective and agreement cells remain separate.		
64	do	f_ydkf32e6gzzes	th-omn-ee	knobloch2020sauji	13756		new-family-association	high	root-family-only	thaan-/theen- and thil-/til-/ṭil- are the do paradigm; imperfective, perfective and agreement cells remain separate.		
64	do	f_szuz2vtb3h4vi	til-u	knobloch2020sauji	13756		new-family-association	high	root-family-only	thaan-/theen- and thil-/til-/ṭil- are the do paradigm; imperfective, perfective and agreement cells remain separate.		
64	do	f_zrpivsgmcjf3u	til-ee	knobloch2020sauji	13756		new-family-association	high	root-family-only	thaan-/theen- and thil-/til-/ṭil- are the do paradigm; imperfective, perfective and agreement cells remain separate.		
64	do	f_fevxojpx5vvui	ṭil-u	knobloch2020sauji	13756		new-family-association	high	root-family-only	thaan-/theen- and thil-/til-/ṭil- are the do paradigm; imperfective, perfective and agreement cells remain separate.		
64	do	f_r5wn4mpksrete	til-i	knobloch2020sauji	13756		new-family-association	high	root-family-only	thaan-/theen- and thil-/til-/ṭil- are the do paradigm; imperfective, perfective and agreement cells remain separate.		
64	do	f_rvshk7jliqtjs	thaan-ee	knobloch2020sauji	13756		new-family-association	high	root-family-only	thaan-/theen- and thil-/til-/ṭil- are the do paradigm; imperfective, perfective and agreement cells remain separate.		
64	do	f_slqgf7lpecikk	thil-i	knobloch2020sauji	13756		new-family-association	high	root-family-only	thaan-/theen- and thil-/til-/ṭil- are the do paradigm; imperfective, perfective and agreement cells remain separate.		
64	do	f_tupiqpowrvmm2	than-ee	knobloch2020sauji	13756		new-family-association	high	root-family-only	thaan-/theen- and thil-/til-/ṭil- are the do paradigm; imperfective, perfective and agreement cells remain separate.		
64	do	f_wrygz3rgf3wfg	theen-e	knobloch2020sauji	13756		new-family-association	high	root-family-only	thaan-/theen- and thil-/til-/ṭil- are the do paradigm; imperfective, perfective and agreement cells remain separate.		
64	do	f_ezqpwoyk7ae5m	thil-o	knobloch2020sauji	13756		new-family-association	high	root-family-only	thaan-/theen- and thil-/til-/ṭil- are the do paradigm; imperfective, perfective and agreement cells remain separate.		
65	does	f_ekjplm56xogaw	thaanu	knobloch2020sauji	13756		new-family-association	high	root-family-only	thaanu does is the imperfective do stem with agreement.		
66	dog	f_dc7yiawvk3gmi	kut͡ʃuroː	knobloch2020sauji	3219		new-family-association	high	manually-reviewed-lexical-family	kučuroo/kučuri/kučure dog are masculine, feminine or inflected members of kuccura; final oo is a genuine length distinction, not an acute mark.		
66	dog	f_ttkxv5btpz6qk	kučuroo	knobloch2020sauji	3219	3219	previous-research-link	high	manually-reviewed-lexical-family	kučuroo/kučuri/kučure dog are masculine, feminine or inflected members of kuccura; final oo is a genuine length distinction, not an acute mark.		
66	dog	f_bbcygfqk5ote4	kučuri	knobloch2020sauji	3219		new-family-association	high	manually-reviewed-lexical-family	kučuroo/kučuri/kučure dog are masculine, feminine or inflected members of kuccura; final oo is a genuine length distinction, not an acute mark.		
66	dog	f_hagot76vhtt7m	kučure	knobloch2020sauji	3219		new-family-association	high	manually-reviewed-lexical-family	kučuroo/kučuri/kučure dog are masculine, feminine or inflected members of kuccura; final oo is a genuine length distinction, not an acute mark.		
67	dogs	f_atz5lia4nv3pq	kučuree	knobloch2020sauji	3219		new-family-association	high	manually-reviewed-lexical-family	kučuree dogs is the plural of kučuroo.		
68	ear	f_y6enpyvsr2h2s	kaːɳ	knobloch2020sauji	2830	2830	previous-research-link	high	manually-reviewed-lexical-family	kaːɳ ear is already linked to karṇa.		
69	eat	f_jbrovj52jkr5q	kʰa:lo	knobloch2020sauji	3865		new-family-association	high	root-family-only	khuwaan-/khaal-/khaa eat represent imperfective, perfective and imperative cells of the khād family.		
69	eat	f_3kk2vj5hmhks4	khuwaan-	knobloch2020sauji	3865		new-family-association	high	root-family-only	khuwaan-/khaal-/khaa eat represent imperfective, perfective and imperative cells of the khād family.		
69	eat	f_lnubrtl5gdhho	khaal-	knobloch2020sauji	3865		new-family-association	high	root-family-only	khuwaan-/khaal-/khaa eat represent imperfective, perfective and imperative cells of the khād family.		
69	eat	f_q6m5zndvbzrss	khaal-oo	knobloch2020sauji	3865		new-family-association	high	root-family-only	khuwaan-/khaal-/khaa eat represent imperfective, perfective and imperative cells of the khād family.		
69	eat	f_7kf3qpvlha4ee	khaal-oo-n-oo	knobloch2020sauji	3865		new-family-association	high	root-family-only	khuwaan-/khaal-/khaa eat represent imperfective, perfective and imperative cells of the khād family.		
69	eat	f_ff7h7ueh2cff2	khuwaan-e	knobloch2020sauji	3865		new-family-association	high	root-family-only	khuwaan-/khaal-/khaa eat represent imperfective, perfective and imperative cells of the khād family.		
69	eat	f_7ndbg7fragqca	khaa	knobloch2020sauji	3865		new-family-association	high	root-family-only	khuwaan-/khaal-/khaa eat represent imperfective, perfective and imperative cells of the khād family.		
70	echo	f_56xlmy6avj5bg	mačo	knobloch2020sauji			assessed-no-secure-input			mačo echo has no secure cognate here; do not confuse it with the fish word.		
71	egg	f_5u5el3vovz66k	aɳɖoː	knobloch2020sauji	1111		new-family-association	high	manually-reviewed-lexical-family	aɳɖoː egg matches āṇḍa; the long final gender vowel must be distinguished from a short-u adjective ending.		
72	eight	f_xkk2divmrvucw	aaš	knobloch2020sauji	941	941	previous-research-link	high	manually-reviewed-lexical-family	aaš eight is already linked to aṣṭā.		
73	eighteen	f_7vbz7lgym2xeo	aštiyaš	knobloch2020sauji	946		new-family-association	high	manually-reviewed-lexical-family	aštiyaš eighteen is the eight-plus-ten compound, with an expanded medial sequence.		
74	eleven	f_jly4ng3yz4ley	yekaaš	knobloch2020sauji	2485		new-family-association	high	manually-reviewed-lexical-family	yekaaš eleven is the same compound as jakɑːʃ, a transcription/variant pair.		
75	evening	f_5jhh5d6tkas2s	degar	knobloch2020sauji			assessed-no-secure-input			degar evening is the Persian-type time-of-day word, not the inherited vikāla set by meaning alone.		
76	every	f_ueuuumxb2zpkq	har	knobloch2020sauji			assessed-no-secure-input			har every is the Iranian regional quantifier.		
77	eye	f_ub5rf7dp6awsc	anʈ͡ʂiː	knobloch2020sauji	43		new-family-association	high	manually-reviewed-lexical-family	anʈ͡ʂiː eye matches akṣi through the characteristic affricate outcome and feminine extension; final length alone is not pitch accent.		
