source_key	bibliography	raw_records	languages	notation	access_and_review	url
rajapurohit2012	"B. B. Rajapurohit.
*Grammar of Shina Language and Vocabulary: Based on the Dialect Spoken around Dras*.
B. B. Rajapurohit, 2012.
Self-published electronic book.
URL: [https://www.aa.tufs.ac.jp/~tjun/shina/Grammar\\_of\\_Shina\\_Language\\_And\\_Vocabulary.pdf](https://www.aa.tufs.ac.jp/~tjun/shina/Grammar_of_Shina_Language_And_Vocabulary.pdf)."	3021	"[""Sh""]"	Acute is stress; colon is vowel length. Repeated aá/uú can be separate nuclei, not Gilgit first/second-mora notation. Multiple acute marks and inconsistent paradigms are preserved.	Notation and nominal grammar checked in primary PDF; all287 plural citations reviewed with available singular comparators. Selected anomalous vocabulary entries checked against print; the entire3021-record source was not individually revalidated.	https://www.aa.tufs.ac.jp/~tjun/shina/Grammar_of_Shina_Language_And_Vocabulary.pdf
backstrom1992	"Peter C. Backstrom and Carla F. Radloff.
*Sociolinguistic Survey of Northern Pakistan, Volume 2. Languages of Northern Areas*.
National Institute of Pakistan Studies, Islamabad, 1992.
URL: [https://github.com/lexibank/backstromnorthernpakistan](https://github.com/lexibank/backstromnorthernpakistan), [doi:10.5281/zenodo.13149113](https://doi.org/10.5281/zenodo.13149113)."	6151	"[""Sh""]"	Pre-syllable stress and marked phonetic contours are distinct. First-mora grave/falling and second-mora acute/rising interpretation is source-specific. Unmarked survey words have unknown accent.	Primary methodological discussion and notation footnote read. Database forms included in every family appendix; not all survey tokens individually phonologically reanalyzed.	https://github.com/lexibank/backstromnorthernpakistan
rensch-decker-hallberg1992	"Calvin R. Rensch, Sandra J. Decker, and Daniel G. Hallberg.
*Sociolinguistic Survey of Northern Pakistan, Volume 1. Languages of Kohistan*.
National Institute of Pakistan Studies and Summer Institute of Linguistics, Islamabad, 1992.
ISBN 969-8023-11-9."	516	"[""Kalk"", ""Ush""]"	Survey pre-syllable marks record stress. Word boundaries, alternatives and secondary marks must not be parsed as one ordinary long-vowel accent.	All selected previously unlinked Ushojo records assessed; boundary corrections and source comparisons preserved. This does not establish a full Ushojo tonal system from the wordlist.	
decker1992	"Kendall D. Decker.
*Sociolinguistic Survey of Northern Pakistan, Volume 5. Languages of Chitral*.
National Institute of Pakistan Studies and Summer Institute of Linguistics, Islamabad, 1992.
ISBN 969-8023-15-1."	800	"[""Phal"", ""Sv""]"	Survey stress marks are retained. Segmental quantity alone does not identify mora accent. Slash alternatives and multiword numeral expressions need separate treatment.	Database forms compared in family and selected lexical panels; no complete primary wordlist-page audit.	
schmidt	"Ruth Laila Schmidt and Vijay Kumar Kaul.
A comparative analysis of shina and kashmiri vocabularies.
*Acta Orientalia*, 69:231–302, 2008."	2008	"[""Sh"", ""bro""]"	Non-Brokskat first/second doubled-vowel acute represents high-falling/low-rising mora accent. Brokskat notation records syllable stress, not that mora contrast. Short monosyllables may be unmarked.	Primary notation discussion pp234,244–245 and all269 Brokskat Table2 items read against print; selected other diagnostic Shina table entries checked. Source glyph quality remains uncertain for some central vowels.	https://www.wisdomlib.org/uploads/journals/acta-orie/vol-69-2008/7372-6759-23258.pdf
knobloch2020sauji	"Nina Knobloch.
A grammar sketch of sauji: an indo-aryan language of afghanistan.
Independent thesis, Degree of Master (One Year), 15 ECTS, Stockholm University, Stockholm, 2020.
Department of Linguistics, General Linguistics; supervised by Henrik Liljegren; produced within the project “Language Contact and Relatedness in the Hindu Kush Region” (Swedish Research Council VR 421-2014-631).
URL: [https://urn.kb.se/resolve?urn=urn:nbn:se:su:diva-182519](https://urn.kb.se/resolve?urn=urn:nbn:se:su:diva-182519)."	573	"[""Sv""]"	The author explicitly did not analyze stress and pitch accent. Unmarked tokens therefore carry unknown accent; tentative suffix observations are not propagated as lexical stress labels.	Primary phonology discussion read; all573 database source records reviewed in335 gloss groups, including verbs, loans and compounds.	https://urn.kb.se/resolve?urn=urn:nbn:se:su:diva-182519
buddruss1967sau	"Georg Buddruss.
*Die Sprache von Sau in Ostafghanistan: Beiträge zur Kenntnis des dardischen Phalūra*.
Münchener Studien zur Sprachwissenschaft, Beiheft M.
Kitzinger in Kommission, Munich, 1967.
The first grammar sketch of Sauji, based on two days of work with a single consultant in Jalalabad in 1956."	44	"[""Sv""]"	Historical accented-vowel citations can supply syllable location; do not automatically convert a macron-acute to modern E/L.	Database citations retained with their bibliographic identity; the whole primary monograph was not reread.	
AO	Acta Orientalia. Leiden. [Unless otherwise stated, the author of the article referred to is G. Morgenstierne.]	20	"[""Phal"", ""Sh"", ""Sv""]"	Legacy citation or abbreviated authority within a composite historical source; no uniform accent interpretation assigned independently.	Citation metadata preserved; see the primary source containing the quotation. This is not an independent new phonological study.	
BKPD	Georg Buddruss, Beiträge zur Kenntnis der Pašai-Dialekte. [Abhandlungen für die Kunde des Morgenlandes xxxiii, 2.]	1	"[""Sv""]"	Legacy citation or abbreviated authority within a composite historical source; no uniform accent interpretation assigned independently.	Citation metadata preserved; see the primary source containing the quotation. This is not an independent new phonological study.	
Bailey ShGr	T. Grahame Bailey, Grammar of the Shina (Ṣiṇā) Language. London, 1924.	3	"[""Sh""]"	Legacy citation or abbreviated authority within a composite historical source; no uniform accent interpretation assigned independently.	Citation metadata preserved; see the primary source containing the quotation. This is not an independent new phonological study.	
BelvalkarVol	Dr. S. K. Belvalkar Felicitation Volume. [All references, unless otherwise stated, are to the article by G. Morgenstierne.]	2	"[""Phal"", ""Sh""]"	Legacy citation or abbreviated authority within a composite historical source; no uniform accent interpretation assigned independently.	Citation metadata preserved; see the primary source containing the quotation. This is not an independent new phonological study.	
Buddruss	(or G.B.) Personally communicated by Professor G. Buddruss.	10	"[""Sh"", ""Sv""]"	Legacy citation or abbreviated authority within a composite historical source; no uniform accent interpretation assigned independently.	Citation metadata preserved; see the primary source containing the quotation. This is not an independent new phonological study.	
Buddruss Woṭ	Georg Buddruss, Die Sprache von Woṭapūr und Kaṭārqalā. Bonn, 1960.	2	"[""Phal"", ""Sh""]"	Legacy citation or abbreviated authority within a composite historical source; no uniform accent interpretation assigned independently.	Citation metadata preserved; see the primary source containing the quotation. This is not an independent new phonological study.	
G.M	See Morgenstierne.	1	"[""Sh""]"	Legacy citation or abbreviated authority within a composite historical source; no uniform accent interpretation assigned independently.	Citation metadata preserved; see the primary source containing the quotation. This is not an independent new phonological study.	
Grahame Bailey	Personally communicated by Dr. T. Grahame Bailey.	4	"[""Sh""]"	Legacy citation or abbreviated authority within a composite historical source; no uniform accent interpretation assigned independently.	Citation metadata preserved; see the primary source containing the quotation. This is not an independent new phonological study.	
IIFL	G. Morgenstierne, Indo-Iranian Frontier Languages. Oslo, 1929-56.	12	"[""Phal"", ""Sh"", ""Sv""]"	Legacy citation or abbreviated authority within a composite historical source; no uniform accent interpretation assigned independently.	Citation metadata preserved; see the primary source containing the quotation. This is not an independent new phonological study.	
Lor	(or Lorimer) Personally communicated by Lt. Col. D. L. R. Lorimer C.I.E.	62	"[""Sh""]"	Legacy citation or abbreviated authority within a composite historical source; no uniform accent interpretation assigned independently.	Citation metadata preserved; see the primary source containing the quotation. This is not an independent new phonological study.	
Lorimer BurLg	D. L. R. Lorimer, The Burushaski Language. Oslo, 1935.	2	"[""Sh""]"	Legacy citation or abbreviated authority within a composite historical source; no uniform accent interpretation assigned independently.	Citation metadata preserved; see the primary source containing the quotation. This is not an independent new phonological study.	
Morgenstierne	(or G.M.) Personally communicated by Professor G. Morgenstierne.	10	"[""Phal"", ""Sh""]"	Legacy citation or abbreviated authority within a composite historical source; no uniform accent interpretation assigned independently.	Citation metadata preserved; see the primary source containing the quotation. This is not an independent new phonological study.	
NOGaw	Georg Morgenstierne, Notes on Gawar-Bati. [Skrifter utgitt av Det Norske Videnskaps-Akademi i Oslo, II Hist.-Filos. Klasse. 1950 No. 1.] Oslo, 1950.	1	"[""Sv""]"	Legacy citation or abbreviated authority within a composite historical source; no uniform accent interpretation assigned independently.	Citation metadata preserved; see the primary source containing the quotation. This is not an independent new phonological study.	
NOPhal	Georg Morgenstierne, Notes on Phalūṛa an unknown Dardic language of Chitral. [Skrifter utgitt av Det Norske Videnskaps-Akademi i Oslo, II Hist.-Filos. Klasse. 1940 No. 5.] Oslo, 1941.	40	"[""Phal"", ""Sv""]"	Legacy citation or abbreviated authority within a composite historical source; no uniform accent interpretation assigned independently.	Citation metadata preserved; see the primary source containing the quotation. This is not an independent new phonological study.	
NTS	Norsk Tidsskrift for Sprogvidenskap. Oslo. [Unless otherwise stated, the author of the article referred to is G. Morgenstierne.]	11	"[""Sh"", ""Sv"", ""bro""]"	Legacy citation or abbreviated authority within a composite historical source; no uniform accent interpretation assigned independently.	Citation metadata preserved; see the primary source containing the quotation. This is not an independent new phonological study.	
ShahidullahPresVol	Shahidullah Presentation Volume. Ed. A. S. Dil. Pakistani Linguistics Series VII. Lahore, 1966.	1	"[""Sh""]"	Legacy citation or abbreviated authority within a composite historical source; no uniform accent interpretation assigned independently.	Citation metadata preserved; see the primary source containing the quotation. This is not an independent new phonological study.	
ZDMG	Zeitschrift der Deutschen Morgenländischen Gesellschaft.	5	"[""Sh"", ""Sv""]"	Legacy citation or abbreviated authority within a composite historical source; no uniform accent interpretation assigned independently.	Citation metadata preserved; see the primary source containing the quotation. This is not an independent new phonological study.	
liljegren2016	Henrik Liljegren. 2016. A grammar of Palula. Language Science Press.	0	[]	Supplementary primary analysis, not a frozen database source.	Primary morphology, dialect comparison and phonology: pp28–29,78–81,112–123,162–164,178 and cited examples.	https://langsci-press.org/catalog/view/82/85/399-1.pdf
liljegren2009	Henrik Liljegren. 2009. The Dangari tongue of Choke and Machoke: Tracing the proto-language of Shina enclaves in the Hindu Kush.	0	[]	Supplementary primary analysis, not a frozen database source.	Primary dialect correspondence discussion pp20–25, including proposed proto-au and quantity chronology.	https://doi.org/10.5617/ao.5341
gomes2014	Andrew Gomes. 2014. Investigating the tonal contours of Sawi nouns: A contrastive analysis with established tonal features of Palula. Stockholm University.	0	[]	Supplementary primary analysis, not a frozen database source.	Primary methods, results and limitations read:71 nouns, one male speaker,284 recordings. The proposed absence of Palula-like lexical pitch accent is limited by this sample.	https://www.diva-portal.org/smash/get/diva2%3A1055060/FULLTEXT01.pdf
