input_class	language	family_id	headword	eligible_outcomes	excluded_outcomes	eligible_tokens	all_tokens	sources	forms
input-accent-undetermined	Kalk	13846	sphuṇṭati	[]	"[""unmarked""]"	0	1	"[""hultman2023kalkoti""]"	"[""phuṇ""]"
input-accent-undetermined	Kalk	13952	haḍḍa	"[""unmarked""]"	[]	3	3	"[""kalkoti"", ""liljegren-hindukush""]"	"[""aḍ"", ""aṛ"", ""ɑɽ""]"
input-accent-undetermined	Kalk	14327	upaviṣṭa	"[""Low"", ""unmarked""]"	[]	4	4	"[""hultman2023kalkoti"", ""kalkoti""]"	"[""bä̀s"", ""bä̀ṭ"", ""bäṭ""]"
input-accent-undetermined	Kalk	1962	*udguru	"[""unmarked""]"	[]	2	2	"[""kalkoti""]"	"[""uɡur"", ""uɣur""]"
input-accent-undetermined	Kalk	2411	ūnaviṁśati	"[""H1@-1""]"	[]	1	1	"[""hultman2023kalkoti""]"	"[""änbíiš""]"
input-accent-undetermined	Kalk	2512	ēḍa	"[""H2@-1""]"	[]	1	1	"[""hultman2023kalkoti""]"	"[""eér""]"
input-accent-undetermined	Kalk	283	ana	[]	"[""unmarked""]"	0	1	"[""hultman2023kalkoti""]"	"[""un""]"
input-accent-undetermined	Kalk	3167	*kiyatta	[]	"[""unmarked""]"	0	3	"[""hultman2023kalkoti""]"	"[""kiteek"", ""käteeyi""]"
input-accent-undetermined	Kalk	3219	*kuccura	"[""stress-marked@-2"", ""unmarked""]"	[]	3	3	"[""hultman2023kalkoti"", ""liljegren-hindukush"", ""rensch-decker-hallberg1992""]"	"[""'kucur"", ""kutɕur"", ""kučur""]"
input-accent-undetermined	Kalk	3243	*kuṭṭha	"[""P-high-rising""]"	[]	1	1	"[""kalkoti""]"	"[""kuṭ""]"
input-accent-undetermined	Kalk	3519	*kōppara	"[""unmarked""]"	[]	1	1	"[""kalkoti""]"	"[""koopär""]"
input-accent-undetermined	Kalk	3916	khēṭa	"[""H2@-1"", ""P-low-rising""]"	[]	2	2	"[""hultman2023kalkoti"", ""kalkoti""]"	"[""kheer"", ""kheér""]"
input-accent-undetermined	Kalk	4116	*gāḍḍa	"[""unmarked""]"	[]	2	2	"[""hultman2023kalkoti"", ""kalkoti""]"	"[""gaaḍi"", ""ɡaaṛi""]"
input-accent-undetermined	Kalk	4147	*gāva	"[""P-high-level""]"	[]	1	1	"[""kalkoti""]"	"[""ɡaa""]"
input-accent-undetermined	Kalk	4321	gōla	[]	"[""H2@-1""]"	0	2	"[""hultman2023kalkoti""]"	"[""geél""]"
input-accent-undetermined	Kalk	447	*apalīyatē	"[""H2@-1"", ""unmarked""]"	[]	3	3	"[""hultman2023kalkoti""]"	"[""pälaál"", ""päluun""]"
input-accent-undetermined	Kalk	4516	ghōṭa	"[""Low+H2@-1"", ""P-low-rising@-1""]"	[]	2	2	"[""hultman2023kalkoti"", ""kalkoti""]"	"[""gòór"", ""ɡòór""]"
input-accent-undetermined	Kalk	48	akṣōṭa	"[""Low""]"	[]	1	1	"[""hultman2023kalkoti""]"	"[""c̣hòor""]"
input-accent-undetermined	Kalk	5009	chāgala	"[""P-low-rising@-1""]"	[]	1	1	"[""kalkoti""]"	"[""čhèél""]"
input-accent-undetermined	Kalk	5046	*chindati	"[""H2@-1"", ""unmarked""]"	[]	9	9	"[""hultman2023kalkoti""]"	"[""čhin"", ""čhinaan"", ""čhinawaál"", ""čhini"", ""čhiniin"", ""čhinil"", ""čhinuun"", ""čhinǰil""]"
input-accent-undetermined	Kalk	5060	churayati	"[""unmarked""]"	[]	1	1	"[""kalkoti""]"	"[""čhoon""]"
input-accent-undetermined	Kalk	5429	ṭaṅka	"[""unmarked""]"	[]	1	1	"[""hultman2023kalkoti""]"	"[""ṭangur""]"
input-accent-undetermined	Kalk	5481	*ṭōppa	[]	"[""unmarked""]"	0	1	"[""hultman2023kalkoti""]"	"[""ṭip""]"
input-accent-undetermined	Kalk	5589	*ḍhiḍḍha	"[""Low"", ""P-low-level""]"	[]	2	2	"[""hultman2023kalkoti"", ""kalkoti""]"	"[""ḍä̀är""]"
input-accent-undetermined	Kalk	5647	tathāpi	"[""unmarked""]"	"[""H1@-1""]"	1	2	"[""hultman2023kalkoti"", ""kalkoti""]"	"[""tee"", ""tée""]"
input-accent-undetermined	Kalk	5727	*tarpati	"[""unmarked""]"	[]	2	2	"[""hultman2023kalkoti"", ""kalkoti""]"	"[""trap"", ""trapuun""]"
input-accent-undetermined	Kalk	5798	tārā	"[""H2@-1"", ""P-high-rising@-1""]"	[]	2	2	"[""hultman2023kalkoti"", ""kalkoti""]"	"[""taár""]"
input-accent-undetermined	Kalk	5853	tuṇḍa	"[""P-low-level""]"	[]	1	1	"[""kalkoti""]"	"[""dut""]"
input-accent-undetermined	Kalk	5860	tundi	"[""unmarked""]"	[]	1	1	"[""kalkoti""]"	"[""tind""]"
input-accent-undetermined	Kalk	6261	*dādda	"[""H2@-1"", ""P-high-rising""]"	[]	3	3	"[""hultman2023kalkoti"", ""kalkoti""]"	"[""daad"", ""deed"", ""deéd""]"
input-accent-undetermined	Kalk	6592	*dōhati	"[""unmarked""]"	[]	1	1	"[""kalkoti""]"	"[""dooyil""]"
input-accent-undetermined	Kalk	6638	*drumadaṇḍa	"[""H2@-1""]"	[]	1	1	"[""kalkoti""]"	"[""lumaáṭ""]"
input-accent-undetermined	Kalk	6648	dva	"[""unmarked""]"	[]	5	5	"[""hultman2023kalkoti"", ""kalkoti"", ""liljegren-hindukush"", ""rensch-decker-hallberg1992""]"	"[""du"", ""duu"", ""duː""]"
input-accent-undetermined	Kalk	6651	*dvara	"[""unmarked""]"	[]	2	2	"[""hultman2023kalkoti"", ""kalkoti""]"	"[""där""]"
input-accent-undetermined	Kalk	6833	*dhuvati	"[""H2@-1"", ""unmarked""]"	[]	2	2	"[""hultman2023kalkoti""]"	"[""duwaál"", ""duwuun""]"
input-accent-undetermined	Kalk	6835	*dhūḍi	"[""unmarked""]"	[]	2	2	"[""kalkoti""]"	"[""dur"", ""duṛ""]"
input-accent-undetermined	Kalk	7114	*niḥṣkadati	"[""unmarked""]"	[]	3	3	"[""hultman2023kalkoti"", ""kalkoti""]"	"[""nikhät""]"
input-accent-undetermined	Kalk	7136	nikaṭam	"[""unmarked""]"	[]	1	1	"[""hultman2023kalkoti""]"	"[""niyär""]"
input-accent-undetermined	Kalk	7479	*niṣkasati	"[""unmarked""]"	[]	2	2	"[""hultman2023kalkoti"", ""kalkoti""]"	"[""nikhuun""]"
input-accent-undetermined	Kalk	8134	*pāśayati	"[""H2@-1"", ""unmarked""]"	[]	3	3	"[""hultman2023kalkoti""]"	"[""päša"", ""päšaál"", ""päšuun""]"
input-accent-undetermined	Kalk	841	*avavahati	"[""unmarked""]"	[]	4	4	"[""hultman2023kalkoti"", ""kalkoti""]"	"[""waal"", ""waat"", ""wuun""]"
input-accent-undetermined	Kalk	8417	pautrī	"[""unmarked""]"	[]	1	1	"[""kalkoti""]"	"[""peetr""]"
input-accent-undetermined	Kalk	8574	*pratipūrta	"[""unmarked""]"	[]	2	2	"[""kalkoti""]"	"[""čubuṭ"", ""čupuṭ""]"
input-accent-undetermined	Kalk	8956	*prārthyaka	[]	"[""unmarked""]"	0	1	"[""hultman2023kalkoti""]"	"[""traač""]"
input-accent-undetermined	Kalk	9085	*phutta	[]	"[""unmarked""]"	0	1	"[""hultman2023kalkoti""]"	"[""phit""]"
input-accent-undetermined	Kalk	9089	*phupphu	"[""P-low-rising""]"	[]	1	1	"[""kalkoti""]"	"[""pheep""]"
input-accent-undetermined	Kalk	9209	*bāppa	"[""unmarked""]"	[]	1	1	"[""kalkoti""]"	"[""bab""]"
input-accent-undetermined	Kalk	9284	*bubhukṣaka	[]	"[""unmarked""]"	0	4	"[""hultman2023kalkoti""]"	"[""buṣilyiis"", ""buṣilyiit""]"
input-accent-undetermined	Kalk	9349	bhaginī	"[""P-low-level""]"	[]	1	1	"[""kalkoti""]"	"[""bään""]"
input-accent-undetermined	Kalk	9467	*bhāriyāpa	"[""unmarked""]"	[]	1	1	"[""kalkoti""]"	"[""bärä""]"
input-accent-undetermined	Kalk	9691	ma	"[""unmarked""]"	[]	7	7	"[""hultman2023kalkoti"", ""kalkoti""]"	"[""ma"", ""maṭä"", ""mi""]"
input-accent-undetermined	Kalk	9828	manuṣyà	"[""H2@-1"", ""Hshort@-2"", ""multiple-H"", ""unmarked""]"	[]	6	6	"[""hultman2023kalkoti"", ""kalkoti""]"	"[""meeš"", ""meéš"", ""mišaal"", ""míšaal"", ""míšaalúm""]"
input-accent-undetermined	Kalk	986	asmad	"[""unmarked""]"	[]	5	5	"[""hultman2023kalkoti"", ""kalkoti""]"	"[""is"", ""äsaan"", ""äsi""]"
input-accent-undetermined	Kalk	f_2ig5mcwn2zgm2	*?	"[""unmarked""]"	[]	2	2	"[""hultman2023kalkoti"", ""kalkoti""]"	"[""tipä""]"
input-accent-undetermined	Kalk	f_dxexl5ub5kgl4	*?	"[""unmarked""]"	[]	7	7	"[""hultman2023kalkoti"", ""kalkoti""]"	"[""čuṇil"", ""čuṇis"", ""čuṇuun"", ""čuṇuuns""]"
input-accent-undetermined	Kalk	f_iizwuh3wokzh6	meva	"[""Hshort@-2""]"	[]	1	1	"[""hultman2023kalkoti""]"	"[""máwa""]"
input-accent-undetermined	Kalk	f_prhj2ccra7c5a	*?	"[""unmarked""]"	[]	1	1	"[""kalkoti""]"	"[""tapoos""]"
input-accent-undetermined	Kund	10187	*muṭṭa	"[""unmarked""]"	[]	1	1	"[""kund""]"	"[""muṭ""]"
input-accent-undetermined	Kund	10511	yuṣmad	"[""unmarked""]"	[]	1	1	"[""kund""]"	"[""tus""]"
input-accent-undetermined	Kund	10539	rakta	"[""unmarked""]"	[]	2	2	"[""kund"", ""liljegren-hindukush""]"	"[""raːt"", ""rāt""]"
input-accent-undetermined	Kund	10883	lakṣati	"[""unmarked""]"	[]	1	1	"[""kund""]"	"[""rak""]"
input-accent-undetermined	Kund	10930	*latta	"[""unmarked""]"	[]	1	1	"[""kund""]"	"[""latr""]"
input-accent-undetermined	Kund	11348	*varta	"[""unmarked""]"	[]	1	1	"[""kund""]"	"[""baṭō""]"
input-accent-undetermined	Kund	11503	vātiṅgaṇa	"[""unmarked""]"	[]	1	1	"[""kund""]"	"[""baŋgā̃""]"
input-accent-undetermined	Kund	12694	*śrāya	"[""unmarked""]"	[]	2	2	"[""kund""]"	"[""śō"", ""śɔ""]"
input-accent-undetermined	Kund	13845	*sphuṭyati	"[""unmarked""]"	[]	1	1	"[""kund""]"	"[""pʰiṭgel""]"
input-accent-undetermined	Kund	1388	ālu	"[""unmarked""]"	[]	1	1	"[""kund""]"	"[""ālū̃""]"
input-accent-undetermined	Kund	13952	haḍḍa	"[""unmarked""]"	[]	2	2	"[""kund"", ""liljegren-hindukush""]"	"[""heːɽ"", ""hiṛ""]"
input-accent-undetermined	Kund	13992	haridrā	"[""H-marked""]"	"[""unmarked""]"	1	2	"[""kund""]"	"[""lut"", ""lɛ̄dár""]"
input-accent-undetermined	Kund	14028	*hastakūṭa	"[""unmarked""]"	[]	2	2	"[""kund""]"	"[""hatēṛi"", ""tēṛi""]"
input-accent-undetermined	Kund	2665	kaṇika	"[""unmarked""]"	[]	1	1	"[""kund""]"	"[""kaṇak""]"
input-accent-undetermined	Kund	2668	kaṇṭa	"[""unmarked""]"	[]	1	1	"[""kund""]"	"[""kaṇḍ""]"
input-accent-undetermined	Kund	2712	kadala	"[""H-marked""]"	[]	1	1	"[""kund""]"	"[""kēlá""]"
input-accent-undetermined	Kund	2757	kaphōṇi	"[""unmarked""]"	[]	1	1	"[""kund""]"	"[""bɛkʰin""]"
input-accent-undetermined	Kund	2871	karpaṭa	"[""unmarked""]"	[]	1	1	"[""kund""]"	"[""kapuṛ""]"
input-accent-undetermined	Kund	3153	*kicca	"[""unmarked""]"	[]	1	1	"[""kund""]"	"[""cical""]"
input-accent-undetermined	Kund	3167	*kiyatta	"[""unmarked""]"	[]	1	1	"[""kund""]"	"[""kiti""]"
input-accent-undetermined	Kund	3219	*kuccura	"[""S"", ""unmarked""]"	[]	2	2	"[""kund"", ""liljegren-hindukush""]"	"[""kucúr"", ""kutɕur""]"
input-accent-undetermined	Kund	3244	kuṭhāra	"[""unmarked""]"	[]	2	2	"[""kund""]"	"[""kvāṛ"", ""kvēṛ""]"
input-accent-undetermined	Kund	3245	*kuḍa	"[""unmarked""]"	[]	2	2	"[""kund""]"	"[""kiṛ"", ""kuṛ""]"
input-accent-undetermined	Kund	3895	*khuṭṭa	"[""unmarked""]"	[]	1	1	"[""kund""]"	"[""xaṭūṭ""]"
input-accent-undetermined	Kund	4270	gōjihvikā	"[""unmarked""]"	[]	2	2	"[""kund""]"	"[""gobi"", ""gēb""]"
input-accent-undetermined	Kund	4428	ghara	"[""Low""]"	[]	2	2	"[""kund""]"	"[""gàrvāl"", ""gàrvēl""]"
input-accent-undetermined	Kund	4889	cūrṇa	"[""unmarked""]"	[]	1	1	"[""kund""]"	"[""cunu""]"
input-accent-undetermined	Kund	4969	*chaṭṭa	"[""unmarked""]"	[]	1	1	"[""kund""]"	"[""cʰeṭ""]"
input-accent-undetermined	Kund	5071	*chōṭṭa	"[""unmarked""]"	[]	1	1	"[""kund""]"	"[""cʰoṭ""]"
input-accent-undetermined	Kund	5214	jālakāra	"[""H-marked""]"	[]	1	1	"[""kund""]"	"[""zarál""]"
input-accent-undetermined	Kund	5334	*jhaṇṭa	"[""R@-1""]"	[]	2	2	"[""kund""]"	"[""gʸē̌ṭ"", ""jē̌ṭ""]"
input-accent-undetermined	Kund	5731	tala	"[""unmarked""]"	[]	1	1	"[""kund""]"	"[""tēl""]"
input-accent-undetermined	Kund	5798	tārā	"[""unmarked""]"	[]	2	2	"[""kund"", ""liljegren-hindukush""]"	"[""taːr"", ""tār""]"
input-accent-undetermined	Kund	6648	dva	"[""unmarked""]"	"[""unmarked""]"	1	2	"[""kund"", ""liljegren-hindukush""]"	"[""duī"", ""duːi""]"
input-accent-undetermined	Kund	6651	*dvara	"[""unmarked""]"	[]	1	1	"[""kund""]"	"[""dar""]"
input-accent-undetermined	Kund	7031	nasta	"[""unmarked""]"	[]	2	2	"[""kund"", ""liljegren-hindukush""]"	"[""natʰ""]"
input-accent-undetermined	Kund	9201	*bājjara	"[""unmarked""]"	[]	1	1	"[""kund""]"	"[""bājrā""]"
input-accent-undetermined	Kund	9286	bubhukṣā	"[""unmarked""]"	[]	1	1	"[""kund""]"	"[""bōś""]"
input-accent-undetermined	Kund	9321	*bōll	"[""unmarked""]"	[]	1	1	"[""kund""]"	"[""bol""]"
input-accent-undetermined	Kund	9691	ma	"[""unmarked""]"	[]	2	2	"[""kund"", ""liljegren-hindukush""]"	"[""mã""]"
input-accent-undetermined	Kund	9757	matsara	"[""unmarked""]"	[]	1	1	"[""kund""]"	"[""macʰar""]"
input-accent-undetermined	Kund	9875	marīca	"[""unmarked""]"	[]	1	1	"[""kund""]"	"[""marc""]"
input-accent-undetermined	Kund	9935	mahallaka	"[""R@-1"", ""unmarked""]"	[]	2	2	"[""kund"", ""liljegren-hindukush""]"	"[""maːl"", ""mā̌l""]"
input-accent-undetermined	Phal	10001	mātuḥṣvasr̥	"[""E@-2"", ""syllable-marked@-2""]"	[]	3	3	"[""CDIAL"", ""liljegren"", ""strand""]"	"[""méeši"", ""mʹêši"", ""mḗši""]"
input-accent-undetermined	Phal	10044	*māna	"[""E@-2"", ""syllable-marked@-2""]"	[]	4	4	"[""CDIAL"", ""liljegren"", ""strand""]"	"[""móonu"", ""mʹôno"", ""mṓno"", ""mṓnu""]"
input-accent-undetermined	Phal	10055	māma	"[""E@-2"", ""L@-1"", ""syllable-marked@-1""]"	[]	4	4	"[""CDIAL"", ""liljegren"", ""strand""]"	"[""maamaá"", ""mâmâʹ"", ""māmā́"", ""mʹômo""]"
input-accent-undetermined	Phal	10058	*māmikā	"[""E@-2"", ""syllable-marked@-2""]"	[]	4	4	"[""CDIAL"", ""liljegren""]"	"[""méemi"", ""móomu"", ""mḗmi"", ""mṓmo""]"
input-accent-undetermined	Phal	10151	mukta	"[""S@-2"", ""unmarked""]"	[]	4	4	"[""CDIAL"", ""CDIAL;NOPhal"", ""liljegren""]"	"[""muto"", ""mutto"", ""múča"", ""múče""]"
input-accent-undetermined	Phal	10187	*muṭṭa	"[""S@-1"", ""short-monosyllable"", ""unmarked""]"	[]	3	3	"[""CDIAL"", ""liljegren"", ""strand""]"	"[""muṭ"", ""muṭh"", ""mʹuṭ""]"
input-accent-undetermined	Phal	10191	muṇḍa	"[""S@-2"", ""syllable-marked@-2""]"	[]	2	2	"[""CDIAL"", ""liljegren""]"	"[""móṇḍu"", ""múṇḍo""]"
input-accent-undetermined	Phal	10257	mūlya	"[""L@-1"", ""short-monosyllable"", ""unmarked""]"	[]	3	3	"[""CDIAL"", ""liljegren""]"	"[""mul"", ""muúl"", ""mūl""]"
input-accent-undetermined	Phal	10258	mūṣa	"[""E@-2"", ""unmarked""]"	[]	3	3	"[""CDIAL"", ""liljegren"", ""strand""]"	"[""múuṣu"", ""mū̃ṣo"", ""mʹûṣo""]"
input-accent-undetermined	Phal	10261	*mūṣala	"[""L@-1"", ""syllable-marked@-1""]"	[]	3	3	"[""CDIAL"", ""liljegren"", ""strand""]"	"[""muuṣoó"", ""mû˜ṣôʹ"", ""mūṣṓ""]"
input-accent-undetermined	Phal	10308	*mēṭṭa	"[""E@-2""]"	[]	1	1	"[""strand""]"	"[""mʹîṇo""]"
input-accent-undetermined	Phal	10310	mēṇḍha	"[""S@-1"", ""short-monosyllable"", ""syllable-marked@-1"", ""unmarked""]"	[]	5	5	"[""CDIAL"", ""CDIAL;liljegren"", ""liljegren"", ""strand""]"	"[""miḍ"", ""miṇ"", ""miṇḍ"", ""miṇḍṓl"", ""mʹinḍ""]"
input-accent-undetermined	Phal	10496	*yuṭati	"[""E@-2"", ""unmarked""]"	[]	4	4	"[""CDIAL"", ""liljegren"", ""strand""]"	"[""yúuṛu"", ""yū̃ṛo"", ""yūṛa"", ""yʹûra""]"
input-accent-undetermined	Phal	10511	yuṣmad	"[""E@-1"", ""S@-1"", ""short-monosyllable"", ""unmarked""]"	[]	4	4	"[""CDIAL"", ""CDIAL;liljegren"", ""strand""]"	"[""tus"", ""tusām"", ""tusʹî"", ""tʹus""]"
input-accent-undetermined	Phal	10519	*yūniya	"[""E@-2"", ""unmarked""]"	[]	3	3	"[""CDIAL"", ""liljegren"", ""strand""]"	"[""ǰhúuṇi"", ""ǰhūṇī"", ""ǰhʹûṇi""]"
input-accent-undetermined	Phal	10539	rakta	"[""E@-1"", ""short-monosyllable"", ""unmarked""]"	[]	6	6	"[""CDIAL"", ""liljegren"", ""liljegren-hindukush"", ""strand""]"	"[""rat"", ""raːt"", ""ráat"", ""rāt"", ""rʹât""]"
input-accent-undetermined	Phal	10609	ráthyā	"[""syllable-marked@-1""]"	[]	1	1	"[""CDIAL""]"	"[""rahī́""]"
input-accent-undetermined	Phal	10685	rājamudga	"[""S@-1"", ""syllable-marked@-1""]"	[]	2	2	"[""CDIAL"", ""strand""]"	"[""râmʹung"", ""rāmúṅg""]"
input-accent-undetermined	Phal	10700	rātra	"[""E@-1"", ""unmarked""]"	[]	5	5	"[""decker1992"", ""liljegren"", ""strand""]"	"[""rot"", ""róot"", ""rʹôt""]"
input-accent-undetermined	Phal	10716	rāva	"[""L@-1""]"	"[""multiple-accents""]"	2	4	"[""liljegren"", ""strand""]"	"[""rhooá díi"", ""rhoó"", ""rhoó díi"", ""rhôʹ""]"
input-accent-undetermined	Phal	10770	*ruḍa	"[""S@-2""]"	[]	1	1	"[""strand""]"	"[""rhʹonḍo""]"
input-accent-undetermined	Phal	10840	rōdati	"[""E@-1""]"	"[""short-monosyllable""]"	1	2	"[""liljegren"", ""strand""]"	"[""ro-"", ""ríi""]"
input-accent-undetermined	Phal	10856	rōṣa	"[""E@-1"", ""unmarked""]"	[]	2	2	"[""CDIAL"", ""liljegren""]"	"[""rúuṣ"", ""rūṣ""]"
input-accent-undetermined	Phal	10867	rōhitamatsya	"[""S@-1"", ""syllable-marked@-1"", ""syllable-marked@-2""]"	[]	4	4	"[""CDIAL"", ""liljegren"", ""strand""]"	"[""reemáts"", ""rêmʹać"", ""rḗmaċ"", ""wrēmaċī́""]"
input-accent-undetermined	Phal	10896	laghú	"[""syllable-marked@-2""]"	[]	2	2	"[""CDIAL""]"	"[""lhokḗro"", ""lohṓko""]"
input-accent-undetermined	Phal	10910	lajjā	"[""unmarked""]"	[]	1	1	"[""CDIAL""]"	"[""lāǰ""]"
input-accent-undetermined	Phal	10917	laṭṭa	"[""E@-1""]"	[]	1	1	"[""strand""]"	"[""lʹânḍ""]"
input-accent-undetermined	Phal	10946	labdha	"[""E@-2"", ""unmarked""]"	[]	4	4	"[""CDIAL"", ""liljegren""]"	"[""lhadū"", ""lháaya"", ""lháaye"", ""lādu""]"
input-accent-undetermined	Phal	10951	lamba	"[""E@-2""]"	[]	1	1	"[""strand""]"	"[""lamʹêṭi""]"
input-accent-undetermined	Phal	10956	lambayati	"[""E@-1"", ""syllable-marked@-1""]"	[]	3	3	"[""CDIAL"", ""liljegren""]"	"[""lamóo"", ""lamúu"", ""lamū́m""]"
input-accent-undetermined	Phal	10966	lardayati	"[""syllable-marked@-1""]"	[]	1	1	"[""CDIAL""]"	"[""lhadū́m""]"
input-accent-undetermined	Phal	10984	*lavaṇḍa	"[""syllable-marked@-1""]"	"[""unmarked""]"	3	4	"[""CDIAL""]"	"[""lawaṇḍī́"", ""lawā́ṇ"", ""lawā́ṇḍ"", ""l° kuṛi""]"
input-accent-undetermined	Phal	11009	lāṅgūlá	"[""syllable-marked@-2""]"	[]	1	1	"[""CDIAL""]"	"[""lamḗṭi""]"
input-accent-undetermined	Phal	11016	lāpayati	"[""E@-1"", ""unmarked""]"	"[""unmarked""]"	3	4	"[""CDIAL"", ""liljegren"", ""strand""]"	"[""leewóo"", ""leewúu"", ""lêw-"", ""lēw""]"
input-accent-undetermined	Phal	1103	*āḍu	"[""E@-2"", ""syllable-marked@-2""]"	[]	4	4	"[""CDIAL"", ""liljegren"", ""strand""]"	"[""óoru"", ""úuru"", ""ʹôro"", ""ṓru""]"
input-accent-undetermined	Phal	11076	*luṭṭa	"[""S@-2""]"	"[""syllable-marked@-2""]"	1	2	"[""CDIAL"", ""strand""]"	"[""lʹunḍur"", ""ṣiṣa-lúṭo""]"
input-accent-undetermined	Phal	11096	lūma	"[""E@-2"", ""syllable-marked@-2""]"	[]	2	2	"[""CDIAL"", ""liljegren""]"	"[""laméeṭi"", ""lumḗṭi""]"
input-accent-undetermined	Phal	11108	lēkhya	"[""E@-1"", ""E@-2"", ""syllable-marked@-1""]"	[]	3	3	"[""CDIAL"", ""liljegren"", ""strand""]"	"[""lekhíi"", ""lʹî˜čo"", ""lεkhū́m""]"
input-accent-undetermined	Phal	11120	*lōka	"[""L@-1"", ""S@-1""]"	"[""syllable-marked@-1"", ""unmarked""]"	2	4	"[""CDIAL"", ""liljegren"", ""strand""]"	"[""loomúṭ"", ""lôʹ"", ""lō-múṭ"", ""lōu""]"
input-accent-undetermined	Phal	11153	lōmaṭaka	"[""E@-1""]"	"[""syllable-marked@position-unresolved"", ""vowel-sequence-marked@position-unresolved""]"	1	4	"[""CDIAL"", ""liljegren"", ""strand""]"	"[""lhooméi"", ""luumái"", ""lûmʹô"", ""lūmḗi""]"
input-accent-undetermined	Phal	11168	*lōhila	"[""S@-2"", ""syllable-marked@-2""]"	"[""unmarked"", ""vowel-sequence-marked@position-unresolved""]"	4	6	"[""CDIAL"", ""liljegren"", ""strand""]"	"[""lhoyílu"", ""lhoílu"", ""lohílu"", ""lohʹoylo"", ""lᵊhōilo""]"
input-accent-undetermined	Phal	11169	*lōhiṣṭha	"[""E@-1"", ""unmarked""]"	[]	3	3	"[""CDIAL"", ""liljegren"", ""strand""]"	"[""loowíiṣṭ"", ""lôwʹîsṭ"", ""lōwīṣṭ""]"
input-accent-undetermined	Phal	11182	váṁśya	"[""unmarked""]"	[]	1	1	"[""CDIAL""]"	"[""bhē̃š""]"
input-accent-undetermined	Phal	1130	*ātr̥tīyam	"[""S@-2"", ""syllable-marked@-2""]"	[]	3	3	"[""CDIAL"", ""liljegren"", ""strand""]"	"[""eetríli"", ""êtrʹili"", ""ε῀tríli""]"
input-accent-undetermined	Phal	11348	*varta	"[""E@-1"", ""short-monosyllable"", ""unmarked""]"	[]	5	5	"[""CDIAL"", ""liljegren"", ""strand""]"	"[""baṭ"", ""báaṭ"", ""bāṭ"", ""bʹâṭ""]"
input-accent-undetermined	Phal	11385	*vardhira	"[""E@-1"", ""syllable-marked@-1""]"	[]	4	4	"[""CDIAL"", ""liljegren"", ""strand""]"	"[""baḍhíir"", ""baḍhī́r"", ""baḍhʹîr"", ""baḍʹîl""]"
