record_id	family_id	form	gloss	source	input	prediction	observed_from_right	observed_mora	status	exclusion
f_6pur72tqsh6ko		kúuṭo	deaf	degener-shina2008	source-tagged-adjective-with-final-short-o	penultimate-nucleus	2	E	consistent	
f_qrpgoksexpmpe		khiriíno	located below	degener-shina2008	source-tagged-adjective-with-final-short-o	penultimate-nucleus	2	L	consistent	
f_ynifwldnvpkt4		lóogo	foreign	degener-shina2008	source-tagged-adjective-with-final-short-o	penultimate-nucleus	2	E	consistent	
f_szevgf5gonuwo	11168	loólyo	red	degener-shina2008	source-tagged-adjective-with-final-short-o	penultimate-nucleus	2	L	consistent	
f_kzca6t4hrx53u		minaliílo	beautiful; pretty	degener-shina2008	source-tagged-adjective-with-final-short-o	penultimate-nucleus	2	L	consistent	
f_icr36tq2zotdg		náro	difficult; hard	degener-shina2008	source-tagged-adjective-with-final-short-o	penultimate-nucleus	2	S	consistent	
f_wbmmfvxtmhuag		nilaálo	worthless, tasteless, insipid	degener-shina2008	source-tagged-adjective-with-final-short-o	penultimate-nucleus	2	L	consistent	
f_3bmhotsfswjsm		niriṣkúno	healthy	degener-shina2008	source-tagged-adjective-with-final-short-o	penultimate-nucleus	2	S	consistent	
f_7umqq3swigitu		paǰugalíto	salty, salt-	degener-shina2008	source-tagged-adjective-with-final-short-o	penultimate-nucleus	2	S	consistent	
f_2ojcjarhnasuu		parúlo	equal, same	degener-shina2008	source-tagged-adjective-with-final-short-o	penultimate-nucleus	2	S	consistent	
f_p4cwuhzhuvala		pišíko	farting	degener-shina2008	source-tagged-adjective-with-final-short-o	penultimate-nucleus	2	S	consistent	
f_igbor7h7xjpr4		phatiíno	second, rear	degener-shina2008	source-tagged-adjective-with-final-short-o	penultimate-nucleus	2	L	consistent	
f_3jbwbtlwhmfue		phaṭáko	bald-headed (or scabby; of a disease causing hair loss and itching)	degener-shina2008	source-tagged-adjective-with-final-short-o	penultimate-nucleus	2	S	consistent	
f_glg7ya6bmyg3e		phaṛáko	bald-headed (or scabby; of a disease causing hair loss and itching)	degener-shina2008	source-tagged-adjective-with-final-short-o	penultimate-nucleus	2	S	consistent	
f_w2ky7z26czu5o		phaṭóoro	strong, thick	degener-shina2008	source-tagged-adjective-with-final-short-o	penultimate-nucleus	2	E	consistent	
f_ym6aganf23zvc		ragóoṭo	sick, sick person	degener-shina2008	source-tagged-adjective-with-final-short-o	penultimate-nucleus	2	E	consistent	
f_urmvtwugtgr4o		rúulo	frail, weak	degener-shina2008	source-tagged-adjective-with-final-short-o	penultimate-nucleus	2	E	consistent	
f_getxj7hzotwps		sác̣o	easy, simple	degener-shina2008	source-tagged-adjective-with-final-short-o	penultimate-nucleus	2	S	consistent	
f_pekcrj6kamvvk		siǰóono	known	degener-shina2008	source-tagged-adjective-with-final-short-o	penultimate-nucleus	2	E	consistent	
f_vqeendba23sye		šaruúko	autumnal	degener-shina2008	source-tagged-adjective-with-final-short-o	penultimate-nucleus	2	L	consistent	
f_qvnyce5n3r6w2		šatílo	mighty	degener-shina2008	source-tagged-adjective-with-final-short-o	penultimate-nucleus	2	S	consistent	
f_xvijxbaxtnvha		šiéelo	generous	degener-shina2008	source-tagged-adjective-with-final-short-o	penultimate-nucleus	2	vowel-sequence-marked	unscorable	vowel-sequence-unresolved
f_6ijc7fkpggmqs		šóno	barren	degener-shina2008	source-tagged-adjective-with-final-short-o	penultimate-nucleus	2	S	consistent	
f_2oundzqezuhiq		ṣa-máazo	six-month	degener-shina2008	source-tagged-adjective-with-final-short-o	penultimate-nucleus	2	E	unscorable	explicit-compound-boundary
f_2truhurbxrbxs		ṣéewo	blind	degener-shina2008	source-tagged-adjective-with-final-short-o	penultimate-nucleus	2	E	consistent	
f_ud7mj456uf466		tanúlo	thin	degener-shina2008	source-tagged-adjective-with-final-short-o	penultimate-nucleus	2	S	consistent	
f_tfna7dxbzzxhu		tatáro	old, worn out	degener-shina2008	source-tagged-adjective-with-final-short-o	penultimate-nucleus	2	S	consistent	
f_m56csu6guov3q		ukeéṣo	steep, sloping (of a mountain or path)	degener-shina2008	source-tagged-adjective-with-final-short-o	penultimate-nucleus	2	L	consistent	
f_cwb47jtepvelo		uthálo	high	degener-shina2008	source-tagged-adjective-with-final-short-o	penultimate-nucleus	2	S	consistent	
f_c6qkbbmjoebj4		yupóošo	fitting, suitable	degener-shina2008	source-tagged-adjective-with-final-short-o	penultimate-nucleus	2	E	consistent	
f_yheygsgjgamwu		ajiíno	situated above	buddruss-shina1996	source-tagged-adjective-with-final-short-o	penultimate-nucleus	2	L	consistent	
f_23ecjlw2f54ng		ariíno	inside; inner	buddruss-shina1996	source-tagged-adjective-with-final-short-o	penultimate-nucleus	2	L	consistent	
f_fxyp5otnoczcg		čamraáto	flexible; elastic	buddruss-shina1996	source-tagged-adjective-with-final-short-o	penultimate-nucleus	2	L	consistent	
f_rzpwf7cgep3k6	11168	loólyo	red	buddruss-shina1996	source-tagged-adjective-with-final-short-o	penultimate-nucleus	2	L	consistent	
f_uiwpjb3aqkqru		náro	difficult; hard	buddruss-shina1996	source-tagged-adjective-with-final-short-o	penultimate-nucleus	2	S	consistent	
f_yi6ssx6g2r2dw		píito	narrow; tight	buddruss-shina1996	source-tagged-adjective-with-final-short-o	penultimate-nucleus	2	E	consistent	
f_k6ji3yazriyco		sác̣o	easy; not difficult	buddruss-shina1996	source-tagged-adjective-with-final-short-o	penultimate-nucleus	2	S	consistent	
