family_id	gloss	palula	palula_gloss	palula_nuclei	palula_final	palula_outcome	palula_accent_from_right	kalkoti	kalkoti_source	kalkoti_outcome	kalkoti_low_status	kalkoti_record_id	palula_record_id	input_class	prediction	observed_category	status	exclusion	adjudication
4368	village	ghróom	village; permanent settlement (in contrast with sóon 'summer pasture'); Ashret proper, also atshareét xaás	1	consonant-final	E	1	draam	kalkoti	unmarked		f_jl3dx6w7fhq4u	f_ceqs73vbsapl4	Palula-E-without-short-final-vowel	zero-High-or-default	unknown	unscorable		Village ghróom/draám is a genuine counterexample to the simple Palula E→Kalkoti no-High mapping. Hultman Table6p12 explicitly prints draám beside ghróom. A former extra ending, analogical reaccentuation or contact could explain it, but none is independently demonstrated. Palula ghr also fails to predict Low here; do not hide that second issue.
4655	four	čúur	four	1	consonant-final	E	1	čoor	kalkoti	unmarked		f_l5e4enw3ttgw2	f_6mtdurggxxe6y	Palula-E-without-short-final-vowel	zero-High-or-default	unknown	unscorable		Palula čúur/Biori čáar and Shina cáar/čáar preserve early accent on a long vowel descending from the old accented vā. Loss of the initial syllable and cluster simplification mean modern initial accent is not retention of old first-syllable accent. Kalkoti čoor and Sauji čōr agree segmentally but their older spellings are not tone evidence. The old short-vowel accusative is a separate input possibility.
5589	belly	ḍheér	belly	1	consonant-final	L	1	ḍä̀är	kalkoti	P-low-level		f_mj3zepcgkambe	f_hbsaja5etrfak	Palula-L-without-short-final-vowel	early-High-or-falling	Low-without-marked-High	Low-interaction		Belly ḍheér/ḍä̀är has the same Palula L versus Kalkoti Low pattern as salt and wheat. Old root-quantity variants prevent identifying its older mora history from the headword alone.
5798	star	tóoru	star	2	short-final-vowel	E	2	taár	kalkoti	P-high-rising		f_cn2h6vtf66maq	f_s6qaocpdipeio	Palula-prefinal-accent-plus-short-final-vowel	final-High-or-rising	final-High-or-rising	consistent		Palula tóoru and Shina táaro/táaru have early long-root prominence before a gender ending, while Kalkoti taár is high-rising/late H after final-vowel loss. The old entry independently supplies both initially accented tā́rakā and suffix-accented tāraká, so choosing the immediate input requires morphological evidence. The modern ending-loss contrast can be tested without resolving every older accent alternative.
5839	sharp	tíiṇu	sharp	2	short-final-vowel	E	2	tiin	kalkoti	unmarked		f_vn7zpcxcmb4uc	f_yr3bcs6m4torm	Palula-prefinal-accent-plus-short-final-vowel	final-High-or-rising	unknown	unscorable		Palula tíiṇu and the four Shina tíiṇo/tíiṇu forms have early long root accent before their gender ending, against old final accent. Retention of old long ī while kṣṇ simplifies makes this a strong extension example with little vowel-alignment ambiguity. Kalkoti tiin adds segmental coverage but no reliable tone in the older unmarked source.
5994	three	tróo	three	1	long-final-vowel	E	1	traa	kalkoti	unmarked		f_e6gpjsokdkldy	f_u7ls4eyuoroxs	Palula-E-without-short-final-vowel	zero-High-or-default	unknown	unscorable		Palula tróo/Biori trúu and Shina c̣ée have early prominence after contraction, but their different vowel qualities reflect different monophthongization and raising histories. The old entry has independently distinct masculine, neuter and genitive stems; the exact modern source cannot be assumed from the first headword. Kalkoti traa and Kundal trā are unmarked.
6152	tooth	dáand	tooth	1	consonant-final	E	1	daan	kalkoti	P-high-level		f_ma7uwt6urpje6	f_7fzbbwvnqq5lw	Palula-E-without-short-final-vowel	zero-High-or-default	zero-High-or-default	consistent		Palula dáand/Biori dan and the Biori inflected dáanda show old root prominence with different lengthening environments. Short Shina don is fixed in the documented Kohistani don/dódi paradigm, supporting barytone inheritance even when the citation cannot show mora accent. Kalkoti daan is explicitly among the toneless comparisons in Hultman's tone table, making it stronger evidence than an ordinary unmarked glossary item.
6227	ten	dáaš	ten	1	consonant-final	E	1	deeš	kalkoti	unmarked		f_xcbz4fspwezdw	f_zbq6o45kmzoyk	Palula-E-without-short-final-vowel	zero-High-or-default	unknown	unscorable		Palula dáaš/Biori daš fits later Ashret closed-a lengthening with early accent, while Shina dáai/dái loses the sibilant and forms a vowel/glide sequence. Both preserve initial prominence at the level of the historical root, but their mora counts are not directly equivalent. Kalkoti deeš has an independent front-vowel history requiring comparison with other numerals.
6261	father's father	dóodu	grandfather; father's father; forefather	2	short-final-vowel	E	2	daad	kalkoti	P-high-rising		f_ute4p5wpcofeg	f_y3vozhhno6ssw	Palula-prefinal-accent-plus-short-final-vowel	final-High-or-rising	final-High-or-rising	consistent		Grandfather and grandmother are two lexemes in one expressive kin family. Both independently retain a short gender vowel in Palula and lose it in Kalkoti. Count lexical cells and broad families separately.
6261	father's mother	déedi	grandmother; father's mother	2	short-final-vowel	E	2	deed	kalkoti	P-high-rising		f_qwtpow6e7uzw6	f_qppwuknx5uo6u	Palula-prefinal-accent-plus-short-final-vowel	final-High-or-rising	final-High-or-rising	consistent		Grandfather and grandmother are two lexemes in one expressive kin family. Both independently retain a short gender vowel in Palula and lose it in Kalkoti. Count lexical cells and broad families separately.
6368	long, tall	dhrígu	long, tall	2	short-final-vowel	S	2	driɡ	kalkoti	P-high-rising		f_tiuw5ldstulbs	f_u5326otvtzozy	Palula-prefinal-accent-plus-short-final-vowel	final-High-or-rising	final-High-or-rising	consistent		Long is short-vowel dhrígu/dríg. Its Kalkoti outcome is Hshort, which belongs to the final-High result of apocope rather than an invented long rising vowel.
6648	two	dúu	two	1	long-final-vowel	E	1	duu	kalkoti	unmarked		f_kumba4tloakkq	f_ky22likdlg36w	Palula-E-without-short-final-vowel	zero-High-or-default	unknown	unscorable		Palula and Gilgit dúu have early long prominence; Astori du is short. The broad citation dva conceals accented historical case and gender forms. A development involving dvā́ and raising differs from contraction of duvaú, so modern uu alone cannot identify the antecedent. Kalkoti duu, Kundal duī and Sawi dū add segmental evidence but not uniform mora notation.
6651	door	dáar	door	1	consonant-final	E	1	där	kalkoti	unmarked		f_ohl4jl46urjjw	f_ma7oj2akp5mry	Palula-E-without-short-final-vowel	zero-High-or-default	unknown	unscorable		Palula dáar beside Biori dar supports early accent on newly lengthened a. The reconstructed short input is distinct from independently attested long dvā́ra. Palula darúṛi ‘window’, Shina darú ‘outside’ and adjectival dariino have additional material or grammatical uses; they are not exceptions in one door paradigm. Sawi darḗ may likewise reflect an ending.
6658	twelve	bóoš	twelve	1	consonant-final	E	1	baaš	kalkoti	unmarked		f_dvap6kvq7atdu	f_iu5minc42dt7i	Palula-E-without-short-final-vowel	zero-High-or-default	unknown	unscorable		Twelve bóoš/baáš differs in High location. It is an independently identifiable teen compound, and the Kalkoti teen series is reaccented toward the -eéš/-aáš element; report it as compound-series remodeling, not an exceptionless simplex rule.
6835	dust	dúṛi	dust	2	short-final-vowel	S	2	dur	kalkoti	unmarked		f_vukzhxvbeurqg	f_ttle26ebtsppi	Palula-prefinal-accent-plus-short-final-vowel	final-High-or-rising	unknown	unscorable		Palula dúṛi has initial short-root accent before i, with shortening and loss of aspiration relative to the reconstructed long root. Kalkoti dur/duṛ loses the final vowel. Neither unmarked Kalkoti tokens nor the unaccented reconstruction license a zero-tone or inherited-accent claim.
6835	dust	dúṛi	dust	2	short-final-vowel	S	2	duṛ	kalkoti	unmarked		f_qbep75mbfny46	f_ttle26ebtsppi	Palula-prefinal-accent-plus-short-final-vowel	final-High-or-rising	unknown	unscorable		Palula dúṛi has initial short-root accent before i, with shortening and loss of aspiration relative to the reconstructed long root. Kalkoti dur/duṛ loses the final vowel. Neither unmarked Kalkoti tokens nor the unaccented reconstruction license a zero-tone or inherited-accent claim.
6984	nine	núu	nine	1	long-final-vowel	E	1	nam	kalkoti	unmarked		f_f7doxnrdxqyvm	f_xwhsjzmk7plme	Palula-E-without-short-final-vowel	zero-High-or-default	unknown	unscorable		Palula núu and Shina náu/naw retain prominence on the first material of the old numeral after v weakening/coalescence. The western monophthong and Shina unequal-vowel sequence must not be scored as identical mora structures. Kalkoti nam has a separate final-sonorant development and unmarked tone.
7047	root	neeṛíi	root	2	long-final-vowel	E	1	neer	kalkoti	P-high-falling		f_gzmvztaxoxoou	f_cfjnikckhxgmi	Palula-E-without-short-final-vowel	zero-High-or-default	early-High-or-falling	excluded	Palula-polysyllabic-other-formation	Root neer corresponds to Palula neeṛíi with an accented long final vowel, a different derivation from the canal/bamboo simplex. It falls outside the unaccented short-final-vowel apocope class.
7200	sleep	níindra	sleep	2	short-final-vowel	E	2	niin	kalkoti	unmarked		f_el5jdpvzftaco	f_ljwjwikhzurw6	Palula-prefinal-accent-plus-short-final-vowel	final-High-or-rising	unknown	unscorable		Palula níindra and Kundal níndr have initial prominence against old final-accented ā, with an extra nasal and new root length in Palula. Shina nir is short and hides its class. The retained Palula final a means simple final-vowel apocope is not an adequate account; an older nominal formation, paradigm leveling or earlier accent pattern is needed. A pre-Vedic hypothesis requires external comparative evidence, not just this mismatch.
7655	five	páanǰ	five	1	consonant-final	E	1	paanǰ	kalkoti	unmarked		f_2liyesszlpefm	f_a6lnhdjqs3q4k	Palula-E-without-short-final-vowel	zero-High-or-default	unknown	unscorable		Palula páanǰ/Biori panǰ fits later closed-a lengthening with early accent; Shina poš/poi has nasal-environment backing and affricate/sibilant reduction. The old root prominence is compatible, but the short main-Shina citation cannot reveal a long-mora class. Kalkoti paanǰ and Kundal pā̃j add segmental coverage without a tone decision in these sources.
7785	path	páand	path, road	1	consonant-final	E	1	paand	kalkoti	P-high-level		f_6md7zxvzbyfsw	f_sr7ofangymbyy	Palula-E-without-short-final-vowel	zero-High-or-default	zero-High-or-default	consistent		Palula páand/Biori pan and fixed inflection are compatible with old root prominence followed by later Ashret lengthening. Shina pon is short and reflects nasal-environment backing; Sauji phantē has a retained ending. Since the old headword has short accented a followed by long ā but retains root accent, it is a necessary countercontrol to unrestricted attraction to any later long vowel. The irregular paradigm may explain why final ā is not an ordinary lexical long-vowel target.
8416	son's son	púutru	grandson; son's son	2	short-final-vowel	E	2	pootr	kalkoti	P-high-rising		f_5pmpl6sosdozu	f_exojng6zn4a36	Palula-prefinal-accent-plus-short-final-vowel	final-High-or-rising	final-High-or-rising	consistent		Palula púutru and all four Schmidt Shina dialects póoc̣o preserve early root prominence with a surviving final gender vowel. Sanskrit au is one long nucleus, so its accent must not be misread as accent on a second syllable. The Palula tr versus Shina retroflex affricate provides an independent segmental correspondence. Liljegren 2013 Table 12 explicitly assigns Kalkoti pootr to the high-rising, glottalized group, although the linked segmental citation lacks an acute. That source-level classification supplies a real prosodic comparison.
8417	son's daughter	púutri	granddaughter; son's daughter	2	short-final-vowel	E	2	peetr	kalkoti	unmarked		f_m6qfwausvk446	f_zzkbmjbsrx2di	Palula-prefinal-accent-plus-short-final-vowel	final-High-or-rising	unknown	unscorable		Palula púutri and Shina póoc̣i retain early prominence on the reflex of old au before the feminine ending. The masculine's independently known accent cannot automatically be assigned to unaccented pautrī. Kalkoti peetr contrasts with grandson pootr, supporting a gender-conditioned vowel history before final-vowel loss.
9089	father's sister	phéepi	aunt; father's sister	2	short-final-vowel	E	2	pheep	kalkoti	P-low-rising		f_owrwjd54j7xxe	f_2ka27pwuix3ie	Palula-prefinal-accent-plus-short-final-vowel	final-High-or-rising	final-High-or-rising	consistent		Palula phéepi has early long prominence before the feminine ending, while Strand phʹôpo denotes the aunt's husband and shows a different vowel and masculine ending. These are a useful gender pair, not variants of one aunt form. Kalkoti pheep is explicitly in Liljegren 2013's low-rising glottalized class; its segment-only token is not toneless.
9209	father	báabu	father	2	short-final-vowel	E	2	bab	kalkoti	unmarked		f_mdwgrqioxncrg	f_a7lxchtr3gljq	Palula-prefinal-accent-plus-short-final-vowel	final-High-or-rising	unknown	unscorable		Palula báabu has early aa, Gilgit and Astori baábo late aa, and Kohistani bubáa final aa. This is a real cross-language morphological and mora difference within a nursery kin term. The unaccented expressive input provides no deterministic inherited-accent prediction; kinship declension and vocative reshaping are concrete alternatives to examine. Kalkoti bab is short.
9349	sister	bheéṇ	sister	1	consonant-final	L	1	bään	kalkoti	P-low-level		f_yutxopiz56ogm	f_cin2ll6wvc2oq	Palula-L-without-short-final-vowel	early-High-or-falling	Low-without-marked-High	Low-interaction		Palula bheéṇ/Strand bhêʹṇ has late ee after contraction and final-vowel loss. Kalkoti bään belongs to the explicitly low-level set in Liljegren 2013. The old feminine formation and multiple medial-loss stages independently distinguish it from a simple long-root noun; neither parent bhága nor bhagín can be assigned as its accent without argument.
9661	brother	bhróo	brother; cousin, member of one's own tribe	1	long-final-vowel	E	1	dra	kalkoti	unmarked		f_xhzc5kdk5dq6a	f_cbygp6jqtngzk	Palula-E-without-short-final-vowel	zero-High-or-default	unknown	unscorable		Palula bhróo/Biori bhrúu and Shina ẓáa/j̣áa show early root accent, compatible with old long-root barytonesis despite strong segmental divergence. Published Palula bhroó variants elsewhere require separate recording, and Sauji brāū́ ‘my brother’ is a possessive form rather than a bare lexical duplicate. The linked Kalkoti dra is from Liljegren 2013 and is unmarked in that particular citation; its exact tone needs the primary source context.
9828	man	míiš	man; person	1	consonant-final	E	1	meeš	kalkoti	unmarked		f_3hsviwixgk6ws	f_2rmhvuusytymy	Palula-E-without-short-final-vowel	zero-High-or-default	unknown	unscorable		Man míiš/meéš is Hultman’s explicit counterexample. Palula míiš is EARLY (also Strand mʹîš), not miíš. Its competing manuṣya/martya ancestry and remodeled plurals do not independently establish the missing Kalkoti ending. Keep the High source unresolved.
10001	mother's sister	méeši	aunt; mother's sister	2	short-final-vowel	E	2	meeš	kalkoti	unmarked		f_25mlscjuadlve	f_66ntoicqhnxrq	Palula-prefinal-accent-plus-short-final-vowel	final-High-or-rising	unknown	unscorable		Palula méeši/Strand mʹêši has early long ee before the feminine ending after contraction of a maternal-aunt compound. This should be compared with phéepi ‘paternal aunt’ as a kinship/gender class, not as direct retention of either mātŕ̥ or svásr̥ accent. Kalkoti meeš lacks final i and requires explicit source tone evidence.
10058	mother's mother	méemi	grandmother; mother's mother	2	short-final-vowel	E	2	meem	kalkoti	unmarked		f_omn7go76zjuyq	f_6il4dlgc2i3gc	Palula-prefinal-accent-plus-short-final-vowel	final-High-or-rising	unknown	unscorable		Palula méemi ‘mother's mother’ and móomu ‘mother's father’ have early long root prominence with feminine fronting versus masculine oo. The reconstructed feminine -ikā independently motivates the first form but is not literally the masculine input. Kalkoti meem preserves the fronted vowel after final-vowel loss, providing an independent gender-history control.
10539	blood	ráat	blood	1	consonant-final	E	1	raat	kalkoti	P-high-level		f_tbzszaqefnaca	f_ngygjwbkf7xwa	Palula-E-without-short-final-vowel	zero-High-or-default	zero-High-or-default	consistent		Palula ráat/Strand rʹât beside Biori rat supports early length from a short stage after cluster reduction. Kalkoti raat is explicitly high-level/default in 2013 and explicitly toneless in Hultman 2023, an important case where zero is positively documented. Kundal and Sauji raːt add segmental evidence; their unmarked tokens do not independently establish zero tone.
11616	twenty	bhiíš	twenty; the twenty sth or people; 20	1	consonant-final	L	1	biš	kalkoti	unmarked		f_crn5oeh5lsx2u	f_6pzjkzzpb25ng	Palula-L-without-short-final-vowel	early-High-or-falling	unknown	unscorable		Palula bhiíš and Gilgit/Kohistani/Guresi bií have late long-vowel prominence after substantial contraction of an old finally accented numeral. Their agreement is strong, but the old first vowel was short, so the long vowel must be derived from cluster loss or contraction. Kundal bī̌ requires interpretation of its source's contour notation. The linked Kalkoti biš is a segmental citation in Liljegren 2013; tone must be recovered from an explicitly analyzed token or its source context.
12379	wood	šaák	wood	1	consonant-final	L	1	šaàk	kalkoti	P-high-falling		f_27r5oljrxsozy	f_vtca5gbhbbbmi	Palula-L-without-short-final-vowel	early-High-or-falling	early-High-or-falling	consistent		Palula šaák has late accent on old long ā, compatible with final accent in śākhyá after loss of the ending. The parent noun śā́khā has a different accent and must not be substituted silently. Liljegren 2013 analyzes Kalkoti šaàk's falling contour as Low on the second mora, whereas Hultman 2023 analyzes šáak as early High. These are partly alternative phonological analyses of a similar falling pattern, not by themselves evidence of a sound change between 2013 and 2023.
12753	father-in-law	šúur	father-in-law; husband's or wife's father	1	consonant-final	E	1	šoor	kalkoti	unmarked		f_h5qqxwv2sn6lm	f_nyc3xud7fztig	Palula-E-without-short-final-vowel	zero-High-or-default	unknown	unscorable		Gilgit šáyur/Astori šáwur retain first-syllable prominence, while Kohistani/Guresi šéer and Palula šúur/Biori šáar have contracted early-long forms. The common accent locus can survive very different contraction histories, providing an instructive retention class beyond simple CVCa nouns. Unequal-vowel or glide sequences in the fuller Shina forms require manual alignment.
13139	seven	sáat	seven	1	consonant-final	E	1	saat	kalkoti	unmarked		f_dlu53w6gbhvgk	f_bkvropwimluxu	Palula-E-without-short-final-vowel	zero-High-or-default	unknown	unscorable		Biori, Shina, Kundal and Sauji sat are short, while Ashret sáat is early-long. This is a strong demonstration that an old short-root oxytone can pass through a short monosyllable and later acquire an early long vowel; its history differs from kālá > kaál with inherited root length. The retained short forms provide independent chronological evidence rather than merely an inferred intermediate.
13254	lake	sáar	lake, pond, puddle	1	consonant-final	E	1	sär	kalkoti	P-high-level		f_plslnaqnzues4	f_stjehsosoczzo	Palula-E-without-short-final-vowel	zero-High-or-default	zero-High-or-default	consistent		Palula sáar versus Biori and Gilgit sar preserves initial/root prominence while Ashret alone has a long vowel. The old first vowel was short, and Biori supplies an independent short-stage control. This supports later monosyllabic lengthening with early alignment, complementary to old oxytones such as saptá that reach the same short stage before lengthening.
13574	sun	súuri	sun	2	short-final-vowel	E	2	siir	kalkoti	unmarked		f_t3jpshztsgh46	f_f5ppuzenbgtk6	Palula-prefinal-accent-plus-short-final-vowel	final-High-or-rising	unknown	unscorable		Palula and all four Shina dialects súuri retain early long-root prominence with final i. Unlike many unaccented reconstructed extensions, the old family independently records initial accent on sū́riya and sū́rya, making this a strong formation-controlled retention example. Kundal sūr/sīr has lost the ending and varies in vowel quality; Sauji surya preserves fuller consonantal material.
13952	bone	haáḍ	bone	1	consonant-final	L	1	aḍ	kalkoti	unmarked		f_rlpla7ri2qfxs	f_gylv2zfgesifi	Palula-L-without-short-final-vowel	early-High-or-falling	unknown	unscorable		Palula haáḍ beside Biori haḍ provides a strong late-new-aa example with h in a closed monosyllable. haṇḍúk/haḍúng and Strand haḍʹung are extended skeleton or bone forms, not the same cell; marrow is a compound. Kalkoti aḍ/aṛ loses initial h and has separate tone evidence to establish. Turner explicitly calls the ásthi connection very doubtful.
6141	to give	díi	to give, put	1	long-final-vowel	E	1	dit	kalkoti	unmarked		f_aiv3uay4tc6gk	f_drydonmaob7e6	Palula-E-without-short-final-vowel	zero-High-or-default	unknown	excluded	unmatched-verbal-cells	Palula díi, bare d-, Kalkoti duun and Kundal di represent different renewed cells of a highly irregular verb. Initial reduplication and old finite morphology are largely lost, so the old third-person accent cannot be projected onto all citations. The perfective requires the separate dattá/dita family.
6518	to see	páaša	to see; notice	2	short-final-vowel	E	2	driṣ	kalkoti	unmarked		f_tgh4lgdb3ae7e	f_bnqfxnbozzwlu	Palula-prefinal-accent-plus-short-final-vowel	final-High-or-rising	unknown	excluded	unmatched-verbal-cells	Strand dhrîʹsṭo is an explicitly irregular past form with late long root accent; Kalkoti driṣ and Sauji dərṣo are other perfective reflexes. Palula páaša is the suppletive present/citation and not a phonological reflex of dr̥ṣṭá. The old short vocalic r and modern long ī require a separate stem/quantity history, while final o is morphological.
6495	far away	dhúura	far away; away	2	short-final-vowel	E	2	duur	kalkoti	P-low-rising		f_2ybntmeeu7u6e	f_sazczz3jtup2g	Palula-prefinal-accent-plus-short-final-vowel	final-High-or-rising	final-High-or-rising	consistent		Gilgit duúr is late, compatible with final-accent apocope, whereas Kohistani/Guresi/Astori dúur is early. Palula dhúura retains a final vowel and early root prominence; its adverbial formation may therefore differ. The other Shina dialects remain early even with consonant-final citations, so retained modern endings alone do not explain the whole split. Kalkoti dùúr adds an independent L from aspiration history.
6518	see	páaša	to see; notice	2	short-final-vowel	E	2	driṣ	kalkoti	unmarked		f_6mqad6hd73ro6	f_bnqfxnbozzwlu	Palula-prefinal-accent-plus-short-final-vowel	final-High-or-rising	unknown	excluded	unmatched-verbal-cells	Strand dhrîʹsṭo is an explicitly irregular past form with late long root accent; Kalkoti driṣ and Sauji dərṣo are other perfective reflexes. Palula páaša is the suppletive present/citation and not a phonological reflex of dr̥ṣṭá. The old short vocalic r and modern long ī require a separate stem/quantity history, while final o is morphological.
2462	one	áak	one; one (person), someone	1	consonant-final	E	1	ä	kalkoti	unmarked		f_yfaslvwarfbvk	f_ndm7sgvqas5h2	Palula-E-without-short-final-vowel	zero-High-or-default	unknown	unscorable		The full numeral áak and reduced article áa have different coda shapes; do not count them as independent etyma or infer zero tone from unmarked äk/ä.
2462	one	áa	one; one (person), someone	1	long-final-vowel	E	1	ä	kalkoti	unmarked		f_yfaslvwarfbvk	f_e5ptsrrsr5ncy	Palula-E-without-short-final-vowel	zero-High-or-default	unknown	unscorable		The full numeral áak and reduced article áa have different coda shapes; do not count them as independent etyma or infer zero tone from unmarked äk/ä.
13756	do	thíi	to do, make	1	long-final-vowel	E	1	thääl	kalkoti	unmarked		f_qcbylladcerhe	f_eglhkdsbofymk	Palula-E-without-short-final-vowel	zero-High-or-default	unknown	excluded	unmatched-verbal-cells	Palula thíi and Gilgit th-/thu belong to a highly reduced do/make/say paradigm, with much of the old causative stem lost. The modern citation vowel or finite ending carries grammatical information and cannot be equated directly with the old accented pā/yā material. Kalkoti thuun is a present cell, requiring alignment with comparable forms rather than a bare consonantal root.
10452	come	yhíi	to come, arrive; become, come into existence	1	long-final-vowel	E	1	yä	kalkoti	unmarked		f_eyi354kd6cudc	f_oawjhqw3lwtfe	Palula-E-without-short-final-vowel	zero-High-or-default	unknown	excluded	unmatched-verbal-cells	Palula yhíi/Biori yíi accents the citation ending after substantial contraction or stem reduction, whereas Gilgit yayoók is an infinitive and Kundal yɛ an imperative. Their cell differences and come/go semantic organization prevent a direct comparison of old yā́ti with every modern whole word. The linked Kalkoti yuun citation is from Liljegren 2013; Hultman's yùun supplies explicit low-tone evidence associated with lost aspiration, requiring comparison of the same present cell.
6141	give	díi	to give, put	1	long-final-vowel	E	1	diin	kalkoti	unmarked		f_3pt4pcndjav6i	f_drydonmaob7e6	Palula-E-without-short-final-vowel	zero-High-or-default	unknown	excluded	unmatched-verbal-cells	Palula díi, bare d-, Kalkoti duun and Kundal di represent different renewed cells of a highly irregular verb. Initial reduplication and old finite morphology are largely lost, so the old third-person accent cannot be projected onto all citations. The perfective requires the separate dattá/dita family.
10452	come	yhíi	to come, arrive; become, come into existence	1	long-final-vowel	E	1	yuun	kalkoti	unmarked		f_wovjxiwxw6j6k	f_oawjhqw3lwtfe	Palula-E-without-short-final-vowel	zero-High-or-default	unknown	excluded	unmatched-verbal-cells	Palula yhíi/Biori yíi accents the citation ending after substantial contraction or stem reduction, whereas Gilgit yayoók is an infinitive and Kundal yɛ an imperative. Their cell differences and come/go semantic organization prevent a direct comparison of old yā́ti with every modern whole word. The linked Kalkoti yuun citation is from Liljegren 2013; Hultman's yùun supplies explicit low-tone evidence associated with lost aspiration, requiring comparison of the same present cell.
