family_id	formation	input	analysis	unresolved	status	annotation_history	revision_reason
242	unextended-adverb	adyá / adyā́	Palula aáǰ, independently late in Strand, opposes the general early contour of newly lengthened unaspirated short a in a closed monosyllable. Biori aǰ and short Shina aš show that the modern late long vowel is a branch-specific result, while the old final accent offers an inherited source for right-edge prominence. Either quantity was restored before the late-lengthening rule or this high-frequency adverb escaped its normal assignment.	The source does not decide between an older long input from adyā́, analogical quantity, and lexical preservation of late accent. Retain as a real late-lengthening residual.	unresolved-counterexample	"[""family_annotations.jsonl:11""]"	
395	unextended-nominal	ánna	Gilgit on preserves only one short nucleus. Nasal geminate reduction and a-to-o backing are compatible with its segmental history, but the bare short form cannot distinguish inherited fixed accent from a mobile class. Older ōn is a quantity disagreement, not independent mora-accent evidence.	A paradigm is required to test old barytonesis; no success or failure is assigned from the monosyllable.	citation-nondiagnostic	"[""family_annotations.jsonl:12""]"	
482	grammaticalized-postposition	apārá ‘near bank’, within the pāra spatial family	Gilgit -waary and older wāri/wāro are directional bound forms. Loss of the initial syllable and grammaticalization have obscured independent lexical accent; the dictionary stem is unmarked. Their deictic/spatial function supplies a reason to test clitic and phrase prosody separately from noun accent.	Neither the exact source stem nor the accent of the clitic in controlled contexts is established.	grammaticalization-nondiagnostic	"[""family_annotations.jsonl:13""]"	
549	extended-nominal	abhrá, with the separately attested abhríya derivative retained as an alternative	Palula áabru/áabur and Shina áẓo/áj̣u all place accent on the lexical root before the final gender vowel, against final-accented abhrá. Palula aa versus short Shina a separates open-syllable lengthening from the root accent assignment. The Palula metathetic variant adds a nucleus without changing which historical root vowel bears prominence.	An abhríya input would need its own vowel history; it must not be selected solely to match the final gender vowel.	extension-compatible	"[""family_annotations.jsonl:14""]"	
644	extended-nominal	ardhá ‘half’; the entry also notes comparison with barytone árdha	Palula áaḍu is early and root-accented before final u. This fits the extended-nominal pattern and subsequent root-a lengthening after rdh reduction. Because the old dictionary also points to árdha, this family is not an unambiguous demonstration of accent reset from an exclusively oxytone ancestor.	The exact relationship of the two old accent variants must remain visible in sensitivity calculations.	input-variant	"[""family_annotations.jsonl:15""]"	
722	extended-adjective	álpa; alpakám independently attests an extended old adjective	Kohistani ápa and Guresi/Astori ápo keep root prominence after lp reduction, whereas Degener's Gilgit aápo has late long aa. This is a further test of dialect-specific compensation: an originally short root vowel before a cluster can become late long in Gilgit while remaining short elsewhere. It enlarges the comparison beyond the familiar ‘hot’ example.	Gilgit quantity and mora accent should be checked against its paradigm and other sources; the old short a does not itself predict late rather than early compensation.	diagnostic-dialectal-quantity	"[""family_annotations.jsonl:16""]"	
726	bound-spatial-morpheme	áva	Palula -wʹe is a bound locative/directional element with substantial vowel loss and contraction. A short nucleus with prominence cannot distinguish the preservation of old initial accent from accent assigned to the surviving morpheme. Bound use also introduces phrase-level accent interactions.	No nominal sound-law count is justified; inspect constructions and morphological scope.	grammaticalization-nondiagnostic	"[""family_annotations.jsonl:17""]"	
910	nominal-input-alternative	aśáni ‘thunderbolt’ versus independently attested áśan ‘sling-stone’	Palula áašuṇ and Biori áašum are initial-accented with an unaccented second nucleus. They disagree with medial aśáni but agree in accent with the independently attested stone noun áśan. Hail as a stone-like object provides semantic motivation for that alternative, yet the u vowel and final nasal variants need a separate derivation. Shina aĩyĕ́r has later prominence and a different consonantal development.	The alternative old noun explains accent only provisionally; do not erase the disagreement by silently substituting it. Shina fragment records n and r are excluded from lexical outcome counts.	etymological-alternative	"[""family_annotations.jsonl:18""]"	
919	extended-nominal	áśru	Gilgit aá~ṣo has a late long initial vowel before an unaccented o despite old initial short accent. Together with ‘few’ and ‘hot’, it suggests a class of long vowels created after old consonant clusters. The preserved old root accent locus and changed within-vowel alignment must be coded separately.	Nasalization and śr reduction may have produced the compensatory mora; a single modern citation cannot establish its exact timing.	diagnostic-dialectal-quantity	"[""family_annotations.jsonl:19""]"	
920	vowel-final-nominal	áśva, with independently attested aśvaka/aśvikā extensions	Gilgit ášpo/á~špo keeps initial accent while retaining the śv-derived consonant cluster and a final vowel. Unlike ‘tear’ and ‘few’, it has no compensatory long nucleus in the modern primary sources. Brokskat apš metathesizes the cluster and lacks the final vowel, but its source is unmarked. This is a useful control against lengthening after every old consonant cluster.	The relation of the different final-vowel formations to the old simple and extended nouns is not uniquely resolved.	retention-control	"[""family_annotations.jsonl:20""]"	
941	simple-numeral	aṣṭā́ / aṣṭáu	Biori aṣṭ and short Shina aṣ show loss of the old accented ending with a short surviving stem; Ashret áaṣṭ then fits later unaspirated closed-a lengthening with early accent. Its early contour therefore does not refute inherited final accent. Kalkoti eeṣ requires an independent vowel/umlaut or numeral-paradigm history; its unmarked citation cannot supply tone.	The replacement of old ā/au and Kalkoti fronting remain segmental/morphological questions, separate from Ashret mora assignment.	ordered-apocope-and-lengthening	"[""family_annotations.jsonl:21""]"	
946	teen-compound	aṣṭā́daśa	Ashret aṣṭóoš, Biori aṣṭáaš and Strand asṭʹôš preserve early accent on the contracted teen constituent. The old long accented ā provides an appropriate precursor to early aa and Ashret oo raising. Shina and Sauji retain related contracted numeral shapes. This is an independently compatible model for accentual leveling elsewhere in the teen series.	The detailed loss of daśa and the sequence of vowel coalescence are reconstructed; it is not an unextended noun test.	compound-retention-compatible	"[""family_annotations.jsonl:22""]"	
977	copular-paradigm	ásti	Gilgit as-, áši and ašíl distribute accent differently across copular stems/cells. The short root form alone is noncontrastive, while the longer preterite formation has a later accent. The old finite present cannot be used as the immediate input for every tense formation.	A historical copular paradigm, including suffixal and suppletive material, is required before deriving the later accent.	paradigm-required	"[""family_annotations.jsonl:23""]"	
1008	contracted-nominal	ākāśá	Palula aaghaá/Strand âghâʹ has late accent on the surviving final long vowel. Loss of the old final śa and coalescence can preserve right-edge accent; internal k lenition/voicing produces gh. This supports a contraction class rather than the simple CVCá apocope class. Kalkoti äɡa and Kundal ay have more reduced, unmarked forms and need independent cognacy scrutiny.	The exact contraction and aspiration chronology remain open; source fragment records k and g are excluded as words.	contraction-compatible	"[""family_annotations.jsonl:24""]"	
1111	remodeled-vowel-final-nominal	āṇḍá / aṇḍá with independently attested -aka extension	Palula haṇoó and Guresi haṇoó~ have late accent on the final long ending; Gilgit haneé/haṇeé has the same alignment on a fronted final vowel, while Kohistani haṇó is short. Initial h, loss of old root quantity, medial ḍ reduction and gender/ending replacement show that the modern accented vowel is not a bare reflex of old ā. The shared late ending is consistent with a remodeled egg formation with a historically accented final syllable.	Old neuter morphology and the exact route to oo/ee differ by branch; the short Kohistani vowel cannot be treated as an early/late contrast.	formation-and-contraction	"[""family_annotations.jsonl:25""]"	
1127	feminine-derivative	ātí, with independently recorded āṭi/āḍi variants	Palula héeṛi and Strand hʹêṛi have early root accent, not the final accent of ātí. A feminine formation with a following i can account for root fronting, but ee has escaped the old early-ee-to-ii change. This independently suggests either a later umlaut layer, later accent retraction, or a later lexical entry into the inherited vowel pattern. Prothetic h and t/ḍ-to-ṛ are additional historical steps.	An early-accented old alternative is not supplied by this entry. Retain the accent discrepancy and the chronology of unraised ee.	unresolved-counterexample	"[""family_annotations_02.jsonl:1""]"	
1182	simple-versus-extended-nominals	āntrá / antrá	Gilgit óẓi ‘belly’ and azaló ‘entrails’ cannot be a single undifferentiated accent outcome: the latter has an extra final formation, the former a root-accented i-stem. The old ntr cluster accounts for a difficult root consonantal history, while the different nominal endings offer a morphological reason for the divergent prominence. Old ā versus short a is independently variable.	The exact -i and -aló derivations need to be reconstructed; neither form is clean evidence for final-vowel apocope alone.	formation-split	"[""family_annotations_02.jsonl:2""]"	
1236	extended-adjective	āmá; āmaka is independently attested	Palula óomu and Biori úumu have early root accent and retain the final gender vowel. This is diagnostic for accent assignment to a long root before extension: the long ā then undergoes Ashret/Biori raising. Copying final accent from āmá would not predict the early raised root. The independently attested āmaka formation makes extension substantially better grounded here than a suffix supplied only from modern u.	The accent of the historical extended formation itself is reconstructed; Shina's older unmarked āmŭ confirms shape only.	diagnostic-extension	"[""family_annotations_02.jsonl:3""]"	
1288	verbal-paradigm	ā́yāti and separately āyāta	Guresi oónu is an infinitive with its own accentual ending; Gilgit áal- is explicitly a perfect stem. The perfective can preserve prominence associated with contracted āyāta, whereas the infinitive cannot be compared directly with the old finite present. The two formations must remain separate in both syllable-locus and mora-outcome tables.	The history of l in the perfect and the exact infinitive contraction are not established by the headword links.	paradigm-required	"[""family_annotations_02.jsonl:4""]"	
1295	pronominal-paradigm	ārá pronominal family, with independently attested ārā́t and ārḗ	Palula aṛó/eeṛó and Biori haṛó have final prominence in an inflected demonstrative series. Short Shina ro/re/ri preserve only the last portion and are not a mora test. Different deictic categories in Strand and Liljegren caution against pooling their glosses as an unchanged lexical meaning. Final accent is broadly compatible with the old pronominal family's oblique forms.	Reconstruct the deictic stem, gender ending and contraction per cell; the bare stem ārá is insufficient to predict every demonstrative.	paradigm-required	"[""family_annotations_02.jsonl:5""]"	
1440	extended-adjective	ā́vr̥ta plus the modern u/o adjective formation	Palula aawíiṛu and Strand awʹiṛo both accent the final root syllable before the gender vowel, despite old initial ā́. The shift cannot be simple attraction to an inherited long vowel because the old second nucleus is vocalic r. An extended-adjective accent rule predicts the locus, while quantity differs between the primary modern sources. Covered or enclosed to narrow/tight is semantically plausible.	The vocalic-r-to-i and subsequent lengthening history needs separate evidence; source disagreement in i/ii must remain visible.	diagnostic-extension	"[""family_annotations_02.jsonl:6""]"	
1473	calendar-noun-and-semantic-derivative	āṣāḍhá	Strand's Palula âṣâʹṛ ‘apricot’ has late prominence on the surviving medial long vowel, compatible with loss of the old final accented syllable and retroflex-stop lenition. The fruit can be named for its season, providing an independent semantic bridge. Gilgit asát ‘month’ retains final short prominence but may reflect an adapted calendar term rather than the identical sound-change chain.	Inherited calendar vocabulary versus later learned/contact borrowing must be checked before combining the forms in a historical success rate.	semantic-derivative-and-contact	"[""family_annotations_02.jsonl:7""]"	
1577	compound-contraction	indradhanúṣ	Palula izraáṇ rainbow and inflected izreeṇí belong to the productive late-accented aa/ee i-declension class. Full Turner1577 connects izrāṇ with indradhanuṣ but explicitly leaves its z/ž development unexplained. Biori niildhráal is a segmentally different lexical alternative with early root accent. The dictionary variant record carries the izreeṇí inflection of izraáṇ; it is not evidence that niildhráal itself has that plural. Its initial niil may invite comparison with the blue adjective, but the remaining component and exact etymology are not established.	Recover the actual Biori niildhráal paradigm and test a possible compound analysis with independently attested components. Retain the historical z/ž problem of izraáṇ separately.	compound-history-open	"[""family_annotations_02.jsonl:8"", ""annotation_revisions_10.jsonl:2""]"	Full Turner entry and every aa/ee noun candidate checked; rejected an unmatched synonym/inflection pairing without deleting its actual early accent.
1600	remodeled-nominal	íṣṭakā, iṣṭikā, and contracted iṣṭā are independently recorded	Palula iṣṭú accents its final surviving vowel, contrary to the first vowel in the old headword. The loss of medial k and replacement/coalescence of the feminine ending make a reformed nominal stem plausible; an iṣṭā-like reduced base is independently attested. This is not evidence for generic attraction from short í to later ā unless the a-to-u and morphological ending are derived too.	No securely accented immediate predecessor of iṣṭú is established; keep this as a real formation-dependent accent problem.	unresolved-formation	"[""family_annotations_02.jsonl:9""]"	
1611	pronominal-adjective	īdŕ̥śa / īdr̥śaka; one nearest database section has an empty Original field	Gilgit ayóo ‘such’ has early accent on the final long vowel, following radical reduction of the demonstrative compound. The old accent was already on its later constituent, so retention of constituent prominence is plausible, but the segmental mapping is not transparent. The explicit old -aka extension is an alternative formation, not permission to align modern oo with vocalic r mechanically.	Resolve the empty ancestral Original field using its Form in the research display; reconstruct contraction before scoring accent.	contraction-nondiagnostic	"[""family_annotations_02.jsonl:10""]"	
1753	compound-verb	útkhanati and utkhāta	Gilgit okoó d- is a light-verb construction, while the older infinitives have accentual suffixes. Prefix loss/coalescence and reanalysis of the first member as a lexical predicate intervene between the old finite verb and the modern forms. The final oo of okoó is late-accented: its acute is on the second o. The two-word construction must not be parsed as one inherited finite word.	The precise nonfinite base of the light-verb construction is unresolved; do not score it as direct finite-verb accent retention.	paradigm-required	"[""family_annotations_02.jsonl:11"", ""annotation_revisions.jsonl:1""]"	Corrected contradictory early/late wording in the first pass.
1869	unextended-nominal	útsa	Palula uts and the short Shina cognates have only one short nucleus. They preserve the affricated cluster with branch-specific nasalization or aspiration but cannot reveal early/late long-vowel accent. The old barytone prediction concerns their inflected accent class, which is not given in these citation rows.	Read inflections before deciding fixed versus mobile; older ūċ is a quantity difference rather than a second accent observation.	citation-nondiagnostic	"[""family_annotations_02.jsonl:12""]"	
1883	verbal-paradigm-and-causative	útsiñcati versus causative utsēcayati	Gilgit usiǰ- ‘be filled’ is intransitive and has no marked accent in its bound citation. Older transitive/causative infinitives and finite forms differ morphologically; their suffix accents cannot be assigned to the Sanskrit finite stem. The final affricate and vowel sequence reflect both inherited root material and derivation.	The source already distinguishes causative formation, so a pooled family-level accent outcome would be linguistically misleading.	paradigm-required	"[""family_annotations_02.jsonl:13""]"	
1921	contracted-nominal	udaká, with daka and udan-related stems independently recorded	Palula wíi is early long, while Shina wói/wei has a diphthongal sequence. Both have lost enough segmental material that the old three-syllable accent cannot be transferred by counting syllables. A contraction and stem-selection analysis is required; final-accent docking alone would predict the wrong Palula mora if it assumed an already long surviving vowel.	The immediate water stem and ordering of glide formation, contraction and accent transfer remain open.	contraction-history-open	"[""family_annotations_02.jsonl:14""]"	
1929	extended-adjective	udanyú ‘seeking water’	Gilgit uyáno accents the final root syllable before the masculine o. The original -yu formation and loss of intervocalic d make the modern adjective a remodeled input, and seeking water to hungry involves a semantic generalization from thirst to appetite. The root-final extended-stem accent hypothesis predicts the locus but not all segments.	The n/o morphology and the old semantic bridge require independent confirmation before this can be a high-confidence extension example.	extension-compatible	"[""family_annotations_02.jsonl:15""]"	
2038	verbal-paradigm	údbharati, *udbhārayati, and *udbhr̥ta are different old formations	Palula urbhíi is a suffixed verbal citation; Strand urbh- is a bare stem. The metathesis of r and preservation of aspiration are relevant to the segmental history, but final íi is a verbal morphological exponent and does not demonstrate a sound shift from old initial ú. Raising to flying is a plausible change in motion semantics.	The intransitive formation and finite/imperative paradigms must be compared separately from the causative alternative.	paradigm-required	"[""family_annotations_02.jsonl:16""]"	
2056	unextended-nominal	udrá	Strand ʹudr has a short surviving nucleus, compatible with loss of old final accented a without an observable mora contrast. Shina ŭẓŭ retains an ending and Sauji uɬ has a distinctive cluster outcome. Their unmarked older citations do not determine accentual class. The otter identification fits the old aquatic-animal meaning.	Inflections and source-specific stress evidence are required; a short monosyllable is not evidence against inherited oxytone accent.	citation-nondiagnostic	"[""family_annotations_02.jsonl:17""]"	
2101	verbal-and-participial-derivatives	únnayati versus únnīta	Gilgit uni- ‘bring up’ and uníilo ‘nursling’ represent a verbal stem and an extended participial noun. The latter has early long ii on the final stem syllable before lo; its accent belongs to the derivative and cannot be projected back to the prefixed finite verb. Foster-parent compounds add further morphology.	The exact participial extension and shortening of the old prefix remain to be reconstructed.	formation-split	"[""family_annotations_02.jsonl:18""]"	
2190	kinship-etymology-question	upapatí ‘paramour’	Strand wʹîway ‘wife’s brother’ is early-accented and radically contracted relative to upapatí. Both the shift from paramour to an affinal male relative and the route to the final -way need justification. The family link is not sufficient to treat this as evidence for retraction from old final accent.	Compare other affinal kinship formations, including vivāha-related or possessive formations, before proposing a specific replacement etymon; no replacement is accepted here without segmental evidence.	etymology-question	"[""family_annotations_02.jsonl:19""]"	
2245	verbal-paradigm	úpaviśati, upaviṣṭa, and upavēśayati	Palula bhéša and causative bhešóo have different morphological accents, while Gilgit beéi-/bay- and Kalkoti bišuun represent still other stems/cells. Loss of initial upa- and aspiration displacement must precede comparison of their surviving root vowels. The past -ṭ- base derives from upaviṣṭa, independently distinguishing it from present -š-. The family is informative about a paradigm, not one mechanically retained lexical accent.	Test each present, perfective and causative cell separately; the bare Sanskrit present does not supply the accent of all three.	paradigm-required	"[""family_annotations_02.jsonl:20""]"	
2282	contracted-light-verb-base	upahāsá	Gilgit oó~s b- ‘smile’ retains late accent on a long contracted base. Loss of the old final accented vowel can produce right-edge prominence, while loss of internal h and the initial syllable explains why this is not a simple one-vowel apocope case. The light verb is a separate prosodic/morphological word.	The coalescence leading to oo and the stage at which h disappeared need checking against the independent smile paradigm.	contraction-compatible	"[""family_annotations_02.jsonl:21""]"	
2349	unextended-versus-derivative-nominals	úraṇa; compare úrā and the distinct urial formation	Gilgit, Guresi and Astori urán all have final short accent against old initial úraṇa. This is a shared substantive residual, not just uncertainty about mora accent: two modern nuclei remain and the wrong one is prominent under simple retention. Gilgit uriín ‘urial’ has additional vowel/derivational history and must be counted separately. A young-animal suffix or old alternate accent is a candidate explanation but is not independently demonstrated.	Keep urán as a counterexample to unrestricted syllable-accent retention unless an attested intermediate formation is found.	unresolved-counterexample	"[""family_annotations_02.jsonl:22""]"	
2387	unextended-nominal-with-contact-risk	úṣṭra	Gilgit úu~ṭ has early long accent, compatible with old root prominence through ṣṭr simplification. Since old u was short, the long vowel needs compensation or lexical/contact history; it cannot be cited as retention of an old long vowel. Camel vocabulary also circulates across neighboring Indo-Aryan languages, so the source alone does not date the quantity change.	Determine whether nasalization and length entered together and whether the form is inherited or borrowed before using it to define a cluster law.	quantity-history-open	"[""family_annotations_02.jsonl:23""]"	
2417	contracted-nominal	ū́badhya / ū́vadhya, with *ubbadhya also reconstructed in Turner	Strand wʹâǰ ‘rumen’ has early long prominence compatible with reduction of an initially accented compound-like noun. Semantics are unusually good: undigested stomach contents to the containing stomach chamber. However, old ū may have become the initial glide, leaving a different vowel as the modern nucleus; identity of accent locus cannot be read directly from the long-vowel match.	Contraction and the alternate ubbadhya quantity require explicit reconstruction; early modern accent alone does not distinguish the inputs.	contraction-compatible	"[""family_annotations_02.jsonl:24""]"	
2426	directional-adverb-with-source-conflict	ūrdhvá and independently attested ūrdhvaka	Liljegren húuṇḍ has early long accent, whereas Strand hûʹnḍ- is late. Both show extensive rd(h)v cluster remodeling and aspiration placement. The late reading is compatible with old final-accent apocope if a long root survives; the early reading requires a different quantity chronology or accentual reanalysis. Treat the disagreement as source evidence rather than a dated change.	A single preferred accent cannot be selected without speaker/paradigm checks; short huṇḍ and directional suffixes may be relevant.	source-conflict	"[""family_annotations_02.jsonl:25""]"	
2445	simple-noun-and-feminine-derivatives	ŕ̥kṣa versus ṛkṣī	Palula iṇc̣ and Gilgit ic̣ are short monosyllables and therefore do not test mora accent. Their i reflects vocalic-r development, and nasalization is secondary. Longer female-bear forms with final accented ī are derivatives of an independently attested feminine formation; they must not be treated as counterexamples to the root-accented masculine noun.	Inflection is needed for the simple noun's accent class; early citations disagree over quantity.	citation-nondiagnostic	"[""family_annotations_02.jsonl:26""]"	
2462	simple-numeral-with-geminate-remodeling	ḗka versus independently motivated *ēkka	Gilgit ek, Biori ak and Kalkoti äk show shortening/quality change before the modern citation stage. Ashret áak then fits later closed-a lengthening from Biori-like ak. Thus early aa is compatible with the historical accent but cannot be used as unchanged old e length. Turner explicitly discusses the strengthened kk formation, providing a structural reason for earlier shortening.	The chronology of emphatic gemination versus borrowing from Sanskrit is unresolved; both produce a different input from bare ḗka.	ordered-shortening-and-lengthening	"[""family_annotations_02.jsonl:27""]"	
2485	teen-compound	ḗkādaśa	Palula akóoš/Biori akáaš and Shina akáai accent the contracted teen constituent, not the original initial é. Unlike áṅgāra, the old accented vowel is itself long, so simple short-to-later-long attraction does not predict this family. Analogy to the teen series and compound restructuring provide a better class-level explanation. Ashret oo raising shows that the new constituent accent predates the relevant vowel shift.	The exact contraction and analogy chronology remain reconstructed; do not redefine attraction to include every long-plus-long numeral solely to fit it.	diagnostic-compound-analogy	"[""family_annotations_02.jsonl:28""]"	
2563	vowel-final-nominal	ṓṣṭha	Gilgit/Guresi óo~ṭo/óo~ṭi and Astori óo~ṭ preserve early accent on the inherited long root vowel. Different gender endings and their loss do not move the root accent. Nasalization and the ṣṭh-to-ṭ outcome are independent segmental changes. This is a strong retention control with both retained and lost final-vowel branches.	No accent anomaly in the principal citations; determine gender/sense distinctions before treating lip variants as independent words.	diagnostic-retention	"[""family_annotations_02.jsonl:29""]"	
2574	pronominal-compounds-and-paradigm	ká paradigm, with kaḥ punar and kō’paraḥ explicitly identified as replacement nominatives	Shina koó/keé and Palula kôʹ have late long prominence, while Kohistani/Astori koé/koí preserve unequal-vowel sequences. Turner independently identifies compound replacements for the simple interrogative; their contraction supplies extra moraic material and a reason not to derive every modern form from bare ká. Gender and number also affect the outcomes.	Kundal kō̂ uses its legacy contour convention; source checking is required before assigning a mora label.	compound-and-paradigm	"[""family_annotations_02.jsonl:30""]"	
2588	body-part-nominal-with-questionable-links	kákṣa ‘armpit’	Guresi kácɨ̥ preserves initial accent with a reduced/devoiced ending, fitting root-accent retention. Drasi khiṅ and especially Brokskat caṅ’khoṅ require substantial consonantal or compound history before they can be treated as direct reflexes. The latter's apostrophe marks stress, not a mora contrast. Sauji kačal-ṭɔ̈̄pe is a compound containing related material.	Brokskat may contain a borrowed or independently formed second constituent; cognacy must be justified before counting its noninitial stress as an accent shift.	etymology-question	"[""family_annotations_02.jsonl:31""]"	
2589	unextended-nominal	kákṣa ‘grass, undergrowth’	Short Shina kac̣ and early-long Palula káac̣ fit a common short accented stem after kṣ reduction, followed by Ashret closed-a lengthening. The Palula acute therefore records a newly created mora distinction, while inherited initial accent can be tested through its nominal paradigm. The homonymous armpit family is kept separate.	Shina citation forms alone do not establish fixed inflectional accent.	ordered-retention-and-lengthening	"[""family_annotations_02.jsonl:32""]"	
2598	feminine-derivative-and-contraction	káṅkata with independently attested kaṅkatī/kaṅkatikā and other stem variants	Palula kéengi and Sauji khḗṅgiā have root prominence in an i-containing comb formation, with fronting compatible with feminine umlaut. Gilgit koó~i is late and has lost the medial stop, creating a contraction context absent from Palula. The old entry explicitly contains several suffixes and stem shapes, so a single headword accent does not predict all these formations equally.	The inherited versus later origin of Palula ee and the precise Gilgit contraction require independent source/paradigm checks.	formation-and-contraction	"[""family_annotations_02.jsonl:33""]"	
2655	extended-adjective-substantive-with-later-long-vowel	káḍāra; independently attested karāla and *kaḷāra variants	Palula karáaṛu and Strand karʹâṛu have early accent on the inherited later long vowel. This is compatible with short-to-long attraction and with final-root-syllable accent in an extended adjective. The projecting-teeth to predator semantic development is plausible. Because both mechanisms predict the same result here, it cannot independently distinguish attraction from extension.	Do not double-count this family as independent proof of both mechanisms; consonantal variants and predator species labels remain separate issues.	mechanisms-confounded	"[""family_annotations_02.jsonl:34""]"	
