family_id	input	input_basis	input_vowel	cluster	form	source	dialect	observed	record_id	analysis	unresolved	scope
5589	*ḍhiḍḍha	nearest-formation	i	ḍḍh	ḍeér	schmidt	koh	L	f_ehshajzraiy76	Palula ḍheér and Shina ḍeér agree in late long-root prominence despite source variation in retroflex notation. Kalkoti ḍä̀är is explicitly Low in both modern tone analyses, plausibly associated with lost voiced aspiration. The old variant family has different quantities and no independently marked accent, so the shared late contour and Kalkoti Low must be analyzed as separate dimensions.	Read the exact old variant selection and noun paradigms and compare aspiration-loss Low without assuming it predicts mora alignment.	Modern first-nucleus long E/L forms with a two-nucleus short-root cluster input. Consonant-count and first-vowel alignment are retrieval approximations; input variants and derivations still require the dossier.
5589	*ḍhiḍḍha	nearest-formation	i	ḍḍh	ḍeér	schmidt	gur	L	f_v5kmbd3xppyym	Palula ḍheér and Shina ḍeér agree in late long-root prominence despite source variation in retroflex notation. Kalkoti ḍä̀är is explicitly Low in both modern tone analyses, plausibly associated with lost voiced aspiration. The old variant family has different quantities and no independently marked accent, so the shared late contour and Kalkoti Low must be analyzed as separate dimensions.	Read the exact old variant selection and noun paradigms and compare aspiration-loss Low without assuming it predicts mora alignment.	Modern first-nucleus long E/L forms with a two-nucleus short-root cluster input. Consonant-count and first-vowel alignment are retrieval approximations; input variants and derivations still require the dossier.
5589	*ḍhiḍḍha	nearest-formation	i	ḍḍh	ḍeér	degener-shina2008	gil	L	f_ububx3oh5szw4	Palula ḍheér and Shina ḍeér agree in late long-root prominence despite source variation in retroflex notation. Kalkoti ḍä̀är is explicitly Low in both modern tone analyses, plausibly associated with lost voiced aspiration. The old variant family has different quantities and no independently marked accent, so the shared late contour and Kalkoti Low must be analyzed as separate dimensions.	Read the exact old variant selection and noun paradigms and compare aspiration-loss Low without assuming it predicts mora alignment.	Modern first-nucleus long E/L forms with a two-nucleus short-root cluster input. Consonant-count and first-vowel alignment are retrieval approximations; input variants and derivations still require the dossier.
5589	*ḍhiḍḍha	nearest-formation	i	ḍḍh	deér	buddruss-shina1996	gil	L	f_r3ja7qpgfk5uo	Palula ḍheér and Shina ḍeér agree in late long-root prominence despite source variation in retroflex notation. Kalkoti ḍä̀är is explicitly Low in both modern tone analyses, plausibly associated with lost voiced aspiration. The old variant family has different quantities and no independently marked accent, so the shared late contour and Kalkoti Low must be analyzed as separate dimensions.	Read the exact old variant selection and noun paradigms and compare aspiration-loss Low without assuming it predicts mora alignment.	Modern first-nucleus long E/L forms with a two-nucleus short-root cluster input. Consonant-count and first-vowel alignment are retrieval approximations; input variants and derivations still require the dossier.
5679	taptá	nearest-formation	a	pt	taáto	schmidt	gil	L	f_6ep3v3rsl3cmk	Astori tátto preserves a geminate stage that links old pt reduction to the other dialects. Kohistani táto/Guresi tátu are short, Gilgit taáto is late long, and Palula táatu is early long. A common root-accented extended adjective followed by dialect-specific geminate treatment explains both shared locus and divergent mora alignment: preservation, simplification without lengthening, compensatory late lengthening, or a later Palula open-syllable lengthening layer.	The exact chronology remains a reconstruction and must be tested against all other old short-vowel cluster adjectives, not generalized from this family alone.	Modern first-nucleus long E/L forms with a two-nucleus short-root cluster input. Consonant-count and first-vowel alignment are retrieval approximations; input variants and derivations still require the dossier.
5679	taptá	nearest-formation	a	pt	taáto	degener-shina2008	gil	L	f_p3m6qkli4ayhk	Astori tátto preserves a geminate stage that links old pt reduction to the other dialects. Kohistani táto/Guresi tátu are short, Gilgit taáto is late long, and Palula táatu is early long. A common root-accented extended adjective followed by dialect-specific geminate treatment explains both shared locus and divergent mora alignment: preservation, simplification without lengthening, compensatory late lengthening, or a later Palula open-syllable lengthening layer.	The exact chronology remains a reconstruction and must be tested against all other old short-vowel cluster adjectives, not generalized from this family alone.	Modern first-nucleus long E/L forms with a two-nucleus short-root cluster input. Consonant-count and first-vowel alignment are retrieval approximations; input variants and derivations still require the dossier.
9083	*phuṅga	nearest-formation	u	ṅg	phúu~ṅɨ	schmidt	gur	E	f_tox5ejof3kuws	Palula phúngu, Gilgit phúṅe/phú~e, Kohistani phúgo and Astori phúṅi retain short-root prominence before differing endings. Guresi phúu~ṅɨ has early long quantity, plausibly tied to nasal or cluster history. The source rejects a simple *spaṁśuka derivation, so no accent should be imported from śmáśru. Endings and nasal retention provide independent comparison variables.	Determine number/gender of the endings and whether Guresi length accompanies nasal weakening.	Modern first-nucleus long E/L forms with a two-nucleus short-root cluster input. Consonant-count and first-vowel alignment are retrieval approximations; input variants and derivations still require the dossier.
9330	*bhakkha	nearest-formation	a	kkh	bhaák	schmidt	koh	L	f_6g6hldw2abq6e	Palula bhakúlu has short prominence on the final root syllable before u and an independently visible ul extension. Kohistani bhaák ‘bull’ instead has late aa in a closed monosyllable, compatible with a new-long aspirated environment but not directly the same formation. Lump-to-fat and lump-to-bull are separate semantic derivations.	Verify the bull etymology and compare the adjective's gender endings and the bull's quantity history.	Modern first-nucleus long E/L forms with a two-nucleus short-root cluster input. Consonant-count and first-vowel alignment are retrieval approximations; input variants and derivations still require the dossier.
9859	manyú	nearest-formation	a	ny	moón	degener-shina2008	gil	L	f_ujxr4na6zbmo4	Gilgit moón ‘jealousy’ has late accent on a newly long vowel after contraction of the old nyu sequence. The old word was finally accented but did not have a long first vowel, so this belongs with contraction-created length rather than inherited-long-root apocope. The semantic narrowing from anger/passion to jealousy does not itself require a new morphological formation.	Reconstruct the vowel and glide sequence and check the nominal paradigm for mobility.	Modern first-nucleus long E/L forms with a two-nucleus short-root cluster input. Consonant-count and first-vowel alignment are retrieval approximations; input variants and derivations still require the dossier.
10995	*lasta	nearest-formation	a	st	laáṭhi	schmidt	Astor	L	f_xbcifckxhghqs	Astori laáṭhi has late aa before i, while older lātṷ ‘low’ retains a different ending. Cluster history may create or preserve length, but the old input is unaccented and reconstructed. Adverb versus adjective formation offers an independent comparison; the late aa cannot simply be counted with an unextended noun class.	Verify the Astori transcription and local-adverb paradigm and the source's cluster derivation.	Modern first-nucleus long E/L forms with a two-nucleus short-root cluster input. Consonant-count and first-vowel alignment are retrieval approximations; input variants and derivations still require the dossier.
11056	*litta	nearest-formation	i	tt	líic̣o	degener-shina2008	gil	E	f_riom4zpctpxje	Gilgit líic̣o has early long ii before o, with a tr-related affricate independently motivating the selected branch. Older līc̣i ‘poverty’ is an abstract or feminine derivative and should be separated from the adjective. This new-long cluster reflex is an early control against any claim that all cluster-created Gilgit length is late.	Verify the exact litra derivation and compare adjective versus abstract-noun inflection.	Modern first-nucleus long E/L forms with a two-nucleus short-root cluster input. Consonant-count and first-vowel alignment are retrieval approximations; input variants and derivations still require the dossier.
12064	vr̥kká	nearest-formation	r	kk	ẓuúk	schmidt	koh	L	f_nsy2cvlmseyse	Palula bhruk and Gilgit/Astori j̣uk are short, Kohistani ẓuúk is late-long and Guresi j̣úuk early-long. Thus the same old family shows both quantity and mora divergence, a stringent test for any claim that old oxytone accent deterministically gives late length. The broad family has alternative formations, but those cannot be assigned to dialects solely to obtain the desired accent.	Verify the comparative source and paradigms, reconstruct when each branch lengthened, and assess the vŕ̥kya alternative with segmental evidence.	Modern first-nucleus long E/L forms with a two-nucleus short-root cluster input. Consonant-count and first-vowel alignment are retrieval approximations; input variants and derivations still require the dossier.
12064	vr̥kká	nearest-formation	r	kk	j̣úuk	schmidt	gur	E	f_auin7jr24c6ry	Palula bhruk and Gilgit/Astori j̣uk are short, Kohistani ẓuúk is late-long and Guresi j̣úuk early-long. Thus the same old family shows both quantity and mora divergence, a stringent test for any claim that old oxytone accent deterministically gives late length. The broad family has alternative formations, but those cannot be assigned to dialects solely to obtain the desired accent.	Verify the comparative source and paradigms, reconstruct when each branch lengthened, and assess the vŕ̥kya alternative with segmental evidence.	Modern first-nucleus long E/L forms with a two-nucleus short-root cluster input. Consonant-count and first-vowel alignment are retrieval approximations; input variants and derivations still require the dossier.
2387	úṣṭra	family-head-proxy	u	ṣṭr	úu~ṭ	schmidt	gil	E	f_msukojir3lkc2	Gilgit úu~ṭ has early long accent, compatible with old root prominence through ṣṭr simplification. Since old u was short, the long vowel needs compensation or lexical/contact history; it cannot be cited as retention of an old long vowel. Camel vocabulary also circulates across neighboring Indo-Aryan languages, so the source alone does not date the quantity change.	Determine whether nasalization and length entered together and whether the form is inherited or borrowed before using it to define a cluster law.	Modern first-nucleus long E/L forms with a two-nucleus short-root cluster input. Consonant-count and first-vowel alignment are retrieval approximations; input variants and derivations still require the dossier.
2387	úṣṭra	family-head-proxy	u	ṣṭr	úu~ṭ	schmidt	gur	E	f_atyvfibovvwak	Gilgit úu~ṭ has early long accent, compatible with old root prominence through ṣṭr simplification. Since old u was short, the long vowel needs compensation or lexical/contact history; it cannot be cited as retention of an old long vowel. Camel vocabulary also circulates across neighboring Indo-Aryan languages, so the source alone does not date the quantity change.	Determine whether nasalization and length entered together and whether the form is inherited or borrowed before using it to define a cluster law.	Modern first-nucleus long E/L forms with a two-nucleus short-root cluster input. Consonant-count and first-vowel alignment are retrieval approximations; input variants and derivations still require the dossier.
2387	úṣṭra	family-head-proxy	u	ṣṭr	úu~ṭ	schmidt	Astor	E	f_b7p6idevk5vxm	Gilgit úu~ṭ has early long accent, compatible with old root prominence through ṣṭr simplification. Since old u was short, the long vowel needs compensation or lexical/contact history; it cannot be cited as retention of an old long vowel. Camel vocabulary also circulates across neighboring Indo-Aryan languages, so the source alone does not date the quantity change.	Determine whether nasalization and length entered together and whether the form is inherited or borrowed before using it to define a cluster law.	Modern first-nucleus long E/L forms with a two-nucleus short-root cluster input. Consonant-count and first-vowel alignment are retrieval approximations; input variants and derivations still require the dossier.
5589	*ḍhiḍḍha	family-head-proxy	i	ḍḍh	ḍeér	schmidt	dr	L	f_xkma6t22ttm6s	Palula ḍheér and Shina ḍeér agree in late long-root prominence despite source variation in retroflex notation. Kalkoti ḍä̀är is explicitly Low in both modern tone analyses, plausibly associated with lost voiced aspiration. The old variant family has different quantities and no independently marked accent, so the shared late contour and Kalkoti Low must be analyzed as separate dimensions.	Read the exact old variant selection and noun paradigms and compare aspiration-loss Low without assuming it predicts mora alignment.	Modern first-nucleus long E/L forms with a two-nucleus short-root cluster input. Consonant-count and first-vowel alignment are retrieval approximations; input variants and derivations still require the dossier.
5355	*jhalla	family-head-proxy	a	ll	jeél	schmidt	dr	L	f_sg27so2yl4hbs	Gilgit/Kohistani/Guresi jeél consistently has late long-vowel prominence, while the reconstructed old bush word has short a and no accent. Cluster reduction, fronting and loss of aspiration must precede or accompany the modern long vowel. The agreement offers a potential newly long late class beyond Gilgit, but requires an independently supported intermediate.	Read paradigms and the front-vowel history and compare Chilas zol separately.	Modern first-nucleus long E/L forms with a two-nucleus short-root cluster input. Consonant-count and first-vowel alignment are retrieval approximations; input variants and derivations still require the dossier.
8298	*puśśī	family-head-proxy	u	śś	búuši	degener-shina2008	gil	E	f_sgslfl4ysnl6k	Palula púši and Shina púšo/púši have initial short-root prominence before gender vowels; Astori píši adds fronting. The expressive reconstruction has no independent old accent. Gender and umlaut provide a well-motivated formation comparison, but agreement across modern forms cannot be used to manufacture a historical accent for the expressive root.	Check masculine/feminine paradigms and the conditioning of Astori fronting.	Modern first-nucleus long E/L forms with a two-nucleus short-root cluster input. Consonant-count and first-vowel alignment are retrieval approximations; input variants and derivations still require the dossier.
