id	language_id	form	gloss	native	phonemic	original	cognateset	description	tags	source	etymology	redirect	status	language_name	dialect_tags	source_keys	ancestor_id	family_id	ancestor_form	ancestor_original	ancestor_form_field	ancestor_gloss	ancestor_language	family_form	ancestry_path	link_status	research_family_id	research_ancestor_id	research_gloss	research_relation	strict_exclusion	individual_review	research_link_evidence	research_link_confidence	record_decisions	additional_record_annotations	primary_table_readings	notation	modern_nuclei	modern_accent_count	modern_accent_position	modern_accent_from_right	modern_accent_quantity	modern_outcome	modern_single_word	stress_position	stress_from_right	contour_position	contour_from_right	contour_quantity	modern_vowel_sequence	modern_quantity_pattern	modern_vowel_bases	reading_issues	comparison_only	reading_form	explicit_low	modern_final_segment	modern_final_vowel	source_observations	lexical_comparison_key	formation_decisions	analysis_token_id	research_original	primary_reading_unresolved	split_evidence	branch_analysis	split_locator	primary_reading_forms	phonetic_contour	tone_status	research_link_locator	etymological_assessment	unlinked_review_locator	unlinked_review_status	primary_alignment	low_status
f_o7lfd4wnm2gi6	Phal	aʦ̣hī́	eye		əʈ͡ʂhí̬	ac̣hʹî			noun dialect:Palula	strand				Palula	dialect:Palula	strand	43	43	ákṣi	ákṣi	Original	eye	Indo-Aryan	ákṣi	"[{""Child_ID"": ""f_o7lfd4wnm2gi6"", ""Parent_ID"": ""43"", ""Kind"": ""reflex"", ""Rank"": ""1"", ""Pos"": """", ""Source"": """", ""Note"": """"}]"	linked	43	43	eye	database-link		family-context-first-pass		database-unverified	[]	[]	[]	strand-phonatory-accent	2	1	2	1	long	E	1						0	SL	ai		0	ac̣hʹî	0	i	1	[]	Phal|dialect:Palula|achi|eye	[]	f_o7lfd4wnm2gi6														
f_ciicxpap6v5ts	Sh	āʦ̣ʰī	eye		ɑˈʈʂʰi	ɑˈč̣ʰi			dialect:Sh:Gupis:Gupis	backstrom1992				Shina	dialect:Sh:Gupis:Gupis	backstrom1992	43	43	ákṣi	ákṣi	Original	eye	Indo-Aryan	ákṣi	"[{""Child_ID"": ""f_ciicxpap6v5ts"", ""Parent_ID"": ""43"", ""Kind"": ""reflex"", ""Rank"": ""1"", ""Pos"": """", ""Source"": """", ""Note"": """"}]"	linked	43	43	eye	database-link		family-context-first-pass		database-unverified	[]	[]	[]	survey-phonetic	2	0				stress-marked	1	2	1				0	SS	ɑi		0	ɑˈč̣ʰi	0	i	1	[]	Sh|dialect:Sh:Gupis:Gupis|achi|eye	[]	f_ciicxpap6v5ts														
f_b6rkaz65fzwck	Sh	āʦ̣ʰī	eye		ɑˈʈʂʰi	ɑˈč̣ʰi			dialect:Sh:punl:Puniali	backstrom1992				Shina	dialect:Sh:punl:Puniali	backstrom1992	43	43	ákṣi	ákṣi	Original	eye	Indo-Aryan	ákṣi	"[{""Child_ID"": ""f_b6rkaz65fzwck"", ""Parent_ID"": ""43"", ""Kind"": ""reflex"", ""Rank"": ""1"", ""Pos"": """", ""Source"": """", ""Note"": """"}]"	linked	43	43	eye	database-link		family-context-first-pass		database-unverified	[]	[]	[]	survey-phonetic	2	0				stress-marked	1	2	1				0	SS	ɑi		0	ɑˈč̣ʰi	0	i	1	[]	Sh|dialect:Sh:punl:Puniali|achi|eye	[]	f_b6rkaz65fzwck														
f_m7vrdllm2atac	Sh	āʦ̣ʰī	eye		ɑˈʈʂʰi	ɑˈč̣ʰi			dialect:Sh:HunzaNasirabad:Hunza	backstrom1992				Shina	dialect:Sh:HunzaNasirabad:Hunza	backstrom1992	43	43	ákṣi	ákṣi	Original	eye	Indo-Aryan	ákṣi	"[{""Child_ID"": ""f_m7vrdllm2atac"", ""Parent_ID"": ""43"", ""Kind"": ""reflex"", ""Rank"": ""1"", ""Pos"": """", ""Source"": """", ""Note"": """"}]"	linked	43	43	eye	database-link		family-context-first-pass		database-unverified	[]	[]	[]	survey-phonetic	2	0				stress-marked	1	2	1				0	SS	ɑi		0	ɑˈč̣ʰi	0	i	1	[]	Sh|dialect:Sh:HunzaNasirabad:Hunza|achi|eye	[]	f_m7vrdllm2atac														
f_fb7k3zwxv2w5a	Sh	āʦ̣ʰī	eye		ɑˈʈʂʰi	ɑˈč̣ʰi			dialect:Sh:NagarThol:Nagar%20%28Thol%29	backstrom1992				Shina	dialect:Sh:NagarThol:Nagar%20%28Thol%29	backstrom1992	43	43	ákṣi	ákṣi	Original	eye	Indo-Aryan	ákṣi	"[{""Child_ID"": ""f_fb7k3zwxv2w5a"", ""Parent_ID"": ""43"", ""Kind"": ""reflex"", ""Rank"": ""1"", ""Pos"": """", ""Source"": """", ""Note"": """"}]"	linked	43	43	eye	database-link		family-context-first-pass		database-unverified	[]	[]	[]	survey-phonetic	2	0				stress-marked	1	2	1				0	SS	ɑi		0	ɑˈč̣ʰi	0	i	1	[]	Sh|dialect:Sh:NagarThol:Nagar%20%28Thol%29|achi|eye	[]	f_fb7k3zwxv2w5a														
f_m4dd5wrt35pi6	Sh	āʦ̣ʰī	eye		ɑˈʈʂʰi	ɑˈč̣ʰi			dialect:Sh:NagarChalt:Nagar%20%28Chalt%29	backstrom1992				Shina	dialect:Sh:NagarChalt:Nagar%20%28Chalt%29	backstrom1992	43	43	ákṣi	ákṣi	Original	eye	Indo-Aryan	ákṣi	"[{""Child_ID"": ""f_m4dd5wrt35pi6"", ""Parent_ID"": ""43"", ""Kind"": ""reflex"", ""Rank"": ""1"", ""Pos"": """", ""Source"": """", ""Note"": """"}]"	linked	43	43	eye	database-link		family-context-first-pass		database-unverified	[]	[]	[]	survey-phonetic	2	0				stress-marked	1	2	1				0	SS	ɑi		0	ɑˈč̣ʰi	0	i	1	[]	Sh|dialect:Sh:NagarChalt:Nagar%20%28Chalt%29|achi|eye	[]	f_m4dd5wrt35pi6														
f_aabpouqz5sami	Sh	āʦ̣ʰī	eye		ɑˈʈʂʰi̠	ɑˈč̣ʰi̱			dialect:Sh:gil:Gilgit	backstrom1992				Shina	dialect:Sh:gil:Gilgit	backstrom1992	43	43	ákṣi	ákṣi	Original	eye	Indo-Aryan	ákṣi	"[{""Child_ID"": ""f_aabpouqz5sami"", ""Parent_ID"": ""43"", ""Kind"": ""reflex"", ""Rank"": ""1"", ""Pos"": """", ""Source"": """", ""Note"": """"}]"	linked	43	43	eye	database-link		family-context-first-pass		database-unverified	[]	[]	[]	survey-phonetic	2	0				stress-marked	1	2	1				0	SS	ɑi		0	ɑˈč̣ʰi̱	0	i	1	[]	Sh|dialect:Sh:gil:Gilgit|achi|eye	[]	f_aabpouqz5sami														
f_r76725s7k64a6	Sh	āṣī	eye		ɑˈʂi	ɑˈṣ̌i			dialect:Sh:gil:Gilgit	backstrom1992				Shina	dialect:Sh:gil:Gilgit	backstrom1992	43	43	ákṣi	ákṣi	Original	eye	Indo-Aryan	ákṣi	"[{""Child_ID"": ""f_r76725s7k64a6"", ""Parent_ID"": ""43"", ""Kind"": ""reflex"", ""Rank"": ""1"", ""Pos"": """", ""Source"": """", ""Note"": """"}]"	linked	43	43	eye	database-link		family-context-first-pass		database-unverified	[]	[]	[]	survey-phonetic	2	0				stress-marked	1	2	1				0	SS	ɑi		0	ɑˈṣ̌i	0	i	1	[]	Sh|dialect:Sh:gil:Gilgit|asi|eye	[]	f_r76725s7k64a6														
f_rtllb24ycuvnc	Sh	āʦ̣ʰī	eye		ɑˈʈʂʰi	ɑˈč̣ʰi			dialect:Sh:Haramosh:Haramosh	backstrom1992				Shina	dialect:Sh:Haramosh:Haramosh	backstrom1992	43	43	ákṣi	ákṣi	Original	eye	Indo-Aryan	ákṣi	"[{""Child_ID"": ""f_rtllb24ycuvnc"", ""Parent_ID"": ""43"", ""Kind"": ""reflex"", ""Rank"": ""1"", ""Pos"": """", ""Source"": """", ""Note"": """"}]"	linked	43	43	eye	database-link		family-context-first-pass		database-unverified	[]	[]	[]	survey-phonetic	2	0				stress-marked	1	2	1				0	SS	ɑi		0	ɑˈč̣ʰi	0	i	1	[]	Sh|dialect:Sh:Haramosh:Haramosh|achi|eye	[]	f_rtllb24ycuvnc														
f_uxcdzghafcjhc	Sh	āʦ̣ʰī	eye		ɑˈʈʂʰi	ɑˈč̣ʰi			dialect:Sh:Bagrot:Bagrot	backstrom1992				Shina	dialect:Sh:Bagrot:Bagrot	backstrom1992	43	43	ákṣi	ákṣi	Original	eye	Indo-Aryan	ákṣi	"[{""Child_ID"": ""f_uxcdzghafcjhc"", ""Parent_ID"": ""43"", ""Kind"": ""reflex"", ""Rank"": ""1"", ""Pos"": """", ""Source"": """", ""Note"": """"}]"	linked	43	43	eye	database-link		family-context-first-pass		database-unverified	[]	[]	[]	survey-phonetic	2	0				stress-marked	1	2	1				0	SS	ɑi		0	ɑˈč̣ʰi	0	i	1	[]	Sh|dialect:Sh:Bagrot:Bagrot|achi|eye	[]	f_uxcdzghafcjhc														
f_ewbm73plvpffa	Sh	āṣī	eye		ɑ̠ˈʂi	ɑ̱ˈṣ̌i			dialect:Sh:Bunji:Bunji	backstrom1992				Shina	dialect:Sh:Bunji:Bunji	backstrom1992	43	43	ákṣi	ákṣi	Original	eye	Indo-Aryan	ákṣi	"[{""Child_ID"": ""f_ewbm73plvpffa"", ""Parent_ID"": ""43"", ""Kind"": ""reflex"", ""Rank"": ""1"", ""Pos"": """", ""Source"": """", ""Note"": """"}]"	linked	43	43	eye	database-link		family-context-first-pass		database-unverified	[]	[]	[]	survey-phonetic	2	0				stress-marked	1	2	1				0	SS	ɑi		0	ɑ̱ˈṣ̌i	0	i	1	[]	Sh|dialect:Sh:Bunji:Bunji|asi|eye	[]	f_ewbm73plvpffa														
f_zxf75ha7v24ke	Sh	aʦ̣ī	eye		ɜˈʈʂi	ʌˈč̣i			dialect:Sh:Rondu:Rondu	backstrom1992				Shina	dialect:Sh:Rondu:Rondu	backstrom1992	43	43	ákṣi	ákṣi	Original	eye	Indo-Aryan	ákṣi	"[{""Child_ID"": ""f_zxf75ha7v24ke"", ""Parent_ID"": ""43"", ""Kind"": ""reflex"", ""Rank"": ""1"", ""Pos"": """", ""Source"": """", ""Note"": """"}]"	linked	43	43	eye	database-link		family-context-first-pass		database-unverified	[]	[]	[]	survey-phonetic	2	0				stress-marked	1	2	1				0	SS	ʌi		0	ʌˈč̣i	0	i	1	[]	Sh|dialect:Sh:Rondu:Rondu|ci|eye	[]	f_zxf75ha7v24ke														
f_uuiz6fxf65glw	Sh	aʦ̣ī	eye		ɜʈʂi	ʌč̣i			dialect:Sh:Gahorabad:Chilas%20%28Gahorabad%29	backstrom1992				Shina	dialect:Sh:Gahorabad:Chilas%20%28Gahorabad%29	backstrom1992	43	43	ákṣi	ákṣi	Original	eye	Indo-Aryan	ákṣi	"[{""Child_ID"": ""f_uuiz6fxf65glw"", ""Parent_ID"": ""43"", ""Kind"": ""reflex"", ""Rank"": ""1"", ""Pos"": """", ""Source"": """", ""Note"": """"}]"	linked	43	43	eye	database-link		family-context-first-pass		database-unverified	[]	[]	[]	survey-phonetic	2	0				unmarked	1						0	SS	ʌi		0	ʌč̣i	0	i	1	[]	Sh|dialect:Sh:Gahorabad:Chilas%20%28Gahorabad%29|ci|eye	[]	f_uuiz6fxf65glw														
f_op3hxuumcudua	Sh	āʦ̣ʰī	eye		ɑˈʈʂʰi	ɑˈč̣ʰi			dialect:Sh:DashkinAstor:Astor%20%28Dashkin%29	backstrom1992				Shina	dialect:Sh:DashkinAstor:Astor%20%28Dashkin%29	backstrom1992	43	43	ákṣi	ákṣi	Original	eye	Indo-Aryan	ákṣi	"[{""Child_ID"": ""f_op3hxuumcudua"", ""Parent_ID"": ""43"", ""Kind"": ""reflex"", ""Rank"": ""1"", ""Pos"": """", ""Source"": """", ""Note"": """"}]"	linked	43	43	eye	database-link		family-context-first-pass		database-unverified	[]	[]	[]	survey-phonetic	2	0				stress-marked	1	2	1				0	SS	ɑi		0	ɑˈč̣ʰi	0	i	1	[]	Sh|dialect:Sh:DashkinAstor:Astor%20%28Dashkin%29|achi|eye	[]	f_op3hxuumcudua														
f_o3f3uefcw6tns	Sh	āʦ̣ʰī	eye		ɑˈʈʂʰi	ɑˈč̣ʰi			dialect:Sh:Astor:Astor	backstrom1992				Shina	dialect:Sh:Astor:Astor	backstrom1992	43	43	ákṣi	ákṣi	Original	eye	Indo-Aryan	ákṣi	"[{""Child_ID"": ""f_o3f3uefcw6tns"", ""Parent_ID"": ""43"", ""Kind"": ""reflex"", ""Rank"": ""1"", ""Pos"": """", ""Source"": """", ""Note"": """"}]"	linked	43	43	eye	database-link		family-context-first-pass		database-unverified	[]	[]	[]	survey-phonetic	2	0				stress-marked	1	2	1				0	SS	ɑi		0	ɑˈč̣ʰi	0	i	1	[]	Sh|dialect:Sh:Astor:Astor|achi|eye	[]	f_o3f3uefcw6tns														
f_oby5zda2w3yyc	Sh	aʦ̣ī	eye		ɜˈʈʂi	ʌˈč̣i			dialect:Sh:KachuraJel:Kachura	backstrom1992				Shina	dialect:Sh:KachuraJel:Kachura	backstrom1992	43	43	ákṣi	ákṣi	Original	eye	Indo-Aryan	ákṣi	"[{""Child_ID"": ""f_oby5zda2w3yyc"", ""Parent_ID"": ""43"", ""Kind"": ""reflex"", ""Rank"": ""1"", ""Pos"": """", ""Source"": """", ""Note"": """"}]"	linked	43	43	eye	database-link		family-context-first-pass		database-unverified	[]	[]	[]	survey-phonetic	2	0				stress-marked	1	2	1				0	SS	ʌi		0	ʌˈč̣i	0	i	1	[]	Sh|dialect:Sh:KachuraJel:Kachura|ci|eye	[]	f_oby5zda2w3yyc														
f_3i7lqstux2eto	Sh	aʦ̣ī	eye		ɜˈʈʂi	ʌˈč̣i			dialect:Sh:Satpara:Satpara	backstrom1992				Shina	dialect:Sh:Satpara:Satpara	backstrom1992	43	43	ákṣi	ákṣi	Original	eye	Indo-Aryan	ákṣi	"[{""Child_ID"": ""f_3i7lqstux2eto"", ""Parent_ID"": ""43"", ""Kind"": ""reflex"", ""Rank"": ""1"", ""Pos"": """", ""Source"": """", ""Note"": """"}]"	linked	43	43	eye	database-link		family-context-first-pass		database-unverified	[]	[]	[]	survey-phonetic	2	0				stress-marked	1	2	1				0	SS	ʌi		0	ʌˈč̣i	0	i	1	[]	Sh|dialect:Sh:Satpara:Satpara|ci|eye	[]	f_3i7lqstux2eto														
f_lw47xdu6h5hhy	Sh	āʦ̣ʰī	eye		ɑˈʈʂʰi	ɑˈč̣ʰi			dialect:Sh:Gultari:Gultari	backstrom1992				Shina	dialect:Sh:Gultari:Gultari	backstrom1992	43	43	ákṣi	ákṣi	Original	eye	Indo-Aryan	ákṣi	"[{""Child_ID"": ""f_lw47xdu6h5hhy"", ""Parent_ID"": ""43"", ""Kind"": ""reflex"", ""Rank"": ""1"", ""Pos"": """", ""Source"": """", ""Note"": """"}]"	linked	43	43	eye	database-link		family-context-first-pass		database-unverified	[]	[]	[]	survey-phonetic	2	0				stress-marked	1	2	1				0	SS	ɑi		0	ɑˈč̣ʰi	0	i	1	[]	Sh|dialect:Sh:Gultari:Gultari|achi|eye	[]	f_lw47xdu6h5hhy														
f_vinnxawbecwns	Sh	ācʰī	eye		ɑ̠ˈtɕʰi	ɑ̱ˈčʰi			dialect:Sh:Kharmang:Kharmang	backstrom1992				Shina	dialect:Sh:Kharmang:Kharmang	backstrom1992	43	43	ákṣi	ákṣi	Original	eye	Indo-Aryan	ákṣi	"[{""Child_ID"": ""f_vinnxawbecwns"", ""Parent_ID"": ""43"", ""Kind"": ""reflex"", ""Rank"": ""1"", ""Pos"": """", ""Source"": """", ""Note"": """"}]"	linked	43	43	eye	database-link		family-context-first-pass		database-unverified	[]	[]	[]	survey-phonetic	2	0				stress-marked	1	2	1				0	SS	ɑi		0	ɑ̱ˈčʰi	0	i	1	[]	Sh|dialect:Sh:Kharmang:Kharmang|achi|eye	[]	f_vinnxawbecwns														
f_zgkpvwifaw22q	Sh	ācʰe	eye		ɑˈtɕʰe	ɑˈčʰe			dialect:Sh:dr:Dras	backstrom1992				Shina	dialect:Sh:dr:Dras	backstrom1992	43	43	ákṣi	ákṣi	Original	eye	Indo-Aryan	ákṣi	"[{""Child_ID"": ""f_zgkpvwifaw22q"", ""Parent_ID"": ""43"", ""Kind"": ""reflex"", ""Rank"": ""1"", ""Pos"": """", ""Source"": """", ""Note"": """"}]"	linked	43	43	eye	database-link		family-context-first-pass		database-unverified	[]	[]	[]	survey-phonetic	2	0				stress-marked	1	2	1				0	SS	ɑe		0	ɑˈčʰe	0	e	1	[]	Sh|dialect:Sh:dr:Dras|ache|eye	[]	f_zgkpvwifaw22q														
f_2ee566ly4m74w	Sh	aʦ̣ī	eye		ɜˈʈʂi	ʌˈč̣i			dialect:Sh:ChilasKhinar:Chilas%20%28Khinar%29	backstrom1992				Shina	dialect:Sh:ChilasKhinar:Chilas%20%28Khinar%29	backstrom1992	43	43	ákṣi	ákṣi	Original	eye	Indo-Aryan	ákṣi	"[{""Child_ID"": ""f_2ee566ly4m74w"", ""Parent_ID"": ""43"", ""Kind"": ""reflex"", ""Rank"": ""1"", ""Pos"": """", ""Source"": """", ""Note"": """"}]"	linked	43	43	eye	database-link		family-context-first-pass		database-unverified	[]	[]	[]	survey-phonetic	2	0				stress-marked	1	2	1				0	SS	ʌi		0	ʌˈč̣i	0	i	1	[]	Sh|dialect:Sh:ChilasKhinar:Chilas%20%28Khinar%29|ci|eye	[]	f_2ee566ly4m74w														
f_txbt6mw3b43di	Sh	aṣī	eye		ɜˈʂi	ʌˈṣ̌i			dialect:Sh:ChilasJelil:Chilas%20%28Jelil%29	backstrom1992				Shina	dialect:Sh:ChilasJelil:Chilas%20%28Jelil%29	backstrom1992	43	43	ákṣi	ákṣi	Original	eye	Indo-Aryan	ákṣi	"[{""Child_ID"": ""f_txbt6mw3b43di"", ""Parent_ID"": ""43"", ""Kind"": ""reflex"", ""Rank"": ""1"", ""Pos"": """", ""Source"": """", ""Note"": """"}]"	linked	43	43	eye	database-link		family-context-first-pass		database-unverified	[]	[]	[]	survey-phonetic	2	0				stress-marked	1	2	1				0	SS	ʌi		0	ʌˈṣ̌i	0	i	1	[]	Sh|dialect:Sh:ChilasJelil:Chilas%20%28Jelil%29|si|eye	[]	f_txbt6mw3b43di														
f_tsng3gdvh7zdk	Sh	aṣī	eye		ɜˈʂi	ʌˈṣ̌i			dialect:Sh:Darel:Darel	backstrom1992				Shina	dialect:Sh:Darel:Darel	backstrom1992	43	43	ákṣi	ákṣi	Original	eye	Indo-Aryan	ákṣi	"[{""Child_ID"": ""f_tsng3gdvh7zdk"", ""Parent_ID"": ""43"", ""Kind"": ""reflex"", ""Rank"": ""1"", ""Pos"": """", ""Source"": """", ""Note"": """"}]"	linked	43	43	eye	database-link		family-context-first-pass		database-unverified	[]	[]	[]	survey-phonetic	2	0				stress-marked	1	2	1				0	SS	ʌi		0	ʌˈṣ̌i	0	i	1	[]	Sh|dialect:Sh:Darel:Darel|si|eye	[]	f_tsng3gdvh7zdk														
f_dedm7qdcpif76	Sh	āʦ̣ʰī	eye		ɑˈʈʂʰi	ɑˈč̣ʰi			dialect:Sh:Tangir:Tangir	backstrom1992				Shina	dialect:Sh:Tangir:Tangir	backstrom1992	43	43	ákṣi	ákṣi	Original	eye	Indo-Aryan	ákṣi	"[{""Child_ID"": ""f_dedm7qdcpif76"", ""Parent_ID"": ""43"", ""Kind"": ""reflex"", ""Rank"": ""1"", ""Pos"": """", ""Source"": """", ""Note"": """"}]"	linked	43	43	eye	database-link		family-context-first-pass		database-unverified	[]	[]	[]	survey-phonetic	2	0				stress-marked	1	2	1				0	SS	ɑi		0	ɑˈč̣ʰi	0	i	1	[]	Sh|dialect:Sh:Tangir:Tangir|achi|eye	[]	f_dedm7qdcpif76														
