numeral	language	forms	outcomes	sources	excluded	analysis
12	Kalk	"[""baaš"", ""baáš"", ""ba̰ːɕ"", ""bɑʃ""]"	"[""H2@-1"", ""unmarked""]"	"[""hultman2023kalkoti"", ""kalkoti"", ""liljegren-hindukush"", ""rensch-decker-hallberg1992""]"	[]	Palula bóoš/báaš E versus Kalkoti baáš H2 is a real exception to the simple monosyllabic E→zero mapping, but it agrees with the independent ten-compound series. Shina baai vowel sequences require source-specific interpretation; Brokskat budeš has initial stress.
12	Kund	"[""bay"", ""baːi""]"	"[""unmarked""]"	"[""kund"", ""liljegren-hindukush""]"	[]	Palula bóoš/báaš E versus Kalkoti baáš H2 is a real exception to the simple monosyllabic E→zero mapping, but it agrees with the independent ten-compound series. Shina baai vowel sequences require source-specific interpretation; Brokskat budeš has initial stress.
12	bro	"[""'budeš"", ""budeɕ""]"	"[""stress-marked@-2"", ""unmarked""]"	"[""liljegren-hindukush"", ""schmidt""]"	[]	Palula bóoš/báaš E versus Kalkoti baáš H2 is a real exception to the simple monosyllabic E→zero mapping, but it agrees with the independent ten-compound series. Shina baai vowel sequences require source-specific interpretation; Brokskat budeš has initial stress.
12	Ush	"[""doaːɕ"", ""dwɑʃ""]"	"[""unmarked""]"	"[""liljegren-hindukush"", ""rensch-decker-hallberg1992""]"	[]	Palula bóoš/báaš E versus Kalkoti baáš H2 is a real exception to the simple monosyllabic E→zero mapping, but it agrees with the independent ten-compound series. Shina baai vowel sequences require source-specific interpretation; Brokskat budeš has initial stress.
13	Sh	"[""c̣ói"", ""c̣ói~"", ""c̣óoi"", ""c̣óo~y"", ""c̣õi"", ""c̣ṷäi"", ""ʈʂojĩː"", ""ʈʂoĩ"", ""ʈʂoːi"", ""ʈʂõ"", ""ṭṛōī""]"	"[""E@-1"", ""unmarked"", ""vowel-sequence-marked@position-unresolved""]"	"[""CDIAL"", ""liljegren-hindukush"", ""rajapurohit2012"", ""schmidt""]"	[]	Palula tríiš/tréeš E versus Kalkoti treéš H2 belongs to the same ten-compound pattern as twelve. Brokskat trobeš is unmarked in print, not assigned initial stress by analogy. Shina often contracts to a vowel sequence or monosyllable.
13	Phal	"[""triːɕ"", ""tréeš"", ""tríiš"", ""trʹîš""]"	"[""E@-1"", ""unmarked""]"	"[""liljegren"", ""liljegren-hindukush"", ""strand""]"	[]	Palula tríiš/tréeš E versus Kalkoti treéš H2 belongs to the same ten-compound pattern as twelve. Brokskat trobeš is unmarked in print, not assigned initial stress by analogy. Shina often contracts to a vowel sequence or monosyllable.
13	Sv	"[""trojĩɕ"", ""troyiš""]"	"[""unmarked""]"	"[""knobloch2020sauji"", ""liljegren-hindukush""]"	[]	Palula tríiš/tréeš E versus Kalkoti treéš H2 belongs to the same ten-compound pattern as twelve. Brokskat trobeš is unmarked in print, not assigned initial stress by analogy. Shina often contracts to a vowel sequence or monosyllable.
13	Kalk	"[""treéš"", ""trḛːɕ""]"	"[""H2@-1"", ""unmarked""]"	"[""hultman2023kalkoti"", ""liljegren-hindukush""]"	[]	Palula tríiš/tréeš E versus Kalkoti treéš H2 belongs to the same ten-compound pattern as twelve. Brokskat trobeš is unmarked in print, not assigned initial stress by analogy. Shina often contracts to a vowel sequence or monosyllable.
13	Kund	"[""troi""]"	"[""unmarked""]"	"[""liljegren-hindukush""]"	[]	Palula tríiš/tréeš E versus Kalkoti treéš H2 belongs to the same ten-compound pattern as twelve. Brokskat trobeš is unmarked in print, not assigned initial stress by analogy. Shina often contracts to a vowel sequence or monosyllable.
13	bro	"[""trobeš"", ""trøbeɕ""]"	"[""unmarked""]"	"[""liljegren-hindukush"", ""schmidt""]"	[]	Palula tríiš/tréeš E versus Kalkoti treéš H2 belongs to the same ten-compound pattern as twelve. Brokskat trobeš is unmarked in print, not assigned initial stress by analogy. Shina often contracts to a vowel sequence or monosyllable.
13	Ush	"[""'t͡ɕeiʃ"", ""ʈʂiːɕ""]"	"[""stress-marked@position-unresolved"", ""unmarked""]"	"[""liljegren-hindukush"", ""rensch-decker-hallberg1992""]"	[]	Palula tríiš/tréeš E versus Kalkoti treéš H2 belongs to the same ten-compound pattern as twelve. Brokskat trobeš is unmarked in print, not assigned initial stress by analogy. Shina often contracts to a vowel sequence or monosyllable.
14	Sh	"[""cahú~dee"", ""codé~i~"", ""coóde~i~"", ""coóndei"", ""tɕahundeː"", ""tɕondej"", ""tɕoːdiː"", ""čahúndēī"", ""čondai""]"	"[""L@-3"", ""S@-2"", ""syllable-marked@position-unresolved"", ""unmarked"", ""vowel-sequence-marked@position-unresolved""]"	"[""CDIAL"", ""liljegren-hindukush"", ""schmidt""]"	[]	Palula čandíiš/čandéeš E corresponds to Kalkoti čändeéš H2. Shina includes initial-long, medial-short and final-short marked variants, with different syllable reductions. Brokskat cuudeš and Ushojo cadʌš have initial stress; the western High pattern is not universal Shinaic final stress.
14	Phal	"[""tɕandiːɕ"", ""čandéeš"", ""čandíiš"", ""čandḗš""]"	"[""E@-1"", ""syllable-marked@-1"", ""unmarked""]"	"[""CDIAL"", ""liljegren"", ""liljegren-hindukush""]"	[]	Palula čandíiš/čandéeš E corresponds to Kalkoti čändeéš H2. Shina includes initial-long, medial-short and final-short marked variants, with different syllable reductions. Brokskat cuudeš and Ushojo cadʌš have initial stress; the western High pattern is not universal Shinaic final stress.
14	Sv	"[""tɕadiɕ"", ""čadiš"", ""čadī́š""]"	"[""syllable-marked@-1"", ""unmarked""]"	"[""CDIAL"", ""knobloch2020sauji"", ""liljegren-hindukush""]"	[]	Palula čandíiš/čandéeš E corresponds to Kalkoti čändeéš H2. Shina includes initial-long, medial-short and final-short marked variants, with different syllable reductions. Brokskat cuudeš and Ushojo cadʌš have initial stress; the western High pattern is not universal Shinaic final stress.
14	Kalk	"[""tɕandḛːɕ"", ""čändeéš""]"	"[""H2@-1"", ""unmarked""]"	"[""hultman2023kalkoti"", ""liljegren-hindukush""]"	[]	Palula čandíiš/čandéeš E corresponds to Kalkoti čändeéš H2. Shina includes initial-long, medial-short and final-short marked variants, with different syllable reductions. Brokskat cuudeš and Ushojo cadʌš have initial stress; the western High pattern is not universal Shinaic final stress.
14	Kund	"[""tɕodẽj""]"	"[""unmarked""]"	"[""liljegren-hindukush""]"	[]	Palula čandíiš/čandéeš E corresponds to Kalkoti čändeéš H2. Shina includes initial-long, medial-short and final-short marked variants, with different syllable reductions. Brokskat cuudeš and Ushojo cadʌš have initial stress; the western High pattern is not universal Shinaic final stress.
14	bro	"[""'cuudeš"", ""tɕydeɕ""]"	"[""stress-marked@-2"", ""unmarked""]"	"[""liljegren-hindukush"", ""schmidt""]"	[]	Palula čandíiš/čandéeš E corresponds to Kalkoti čändeéš H2. Shina includes initial-long, medial-short and final-short marked variants, with different syllable reductions. Brokskat cuudeš and Ushojo cadʌš have initial stress; the western High pattern is not universal Shinaic final stress.
14	Ush	"[""'cɑdʌʃ"", ""tɕadeɕ""]"	"[""stress-marked@-2"", ""unmarked""]"	"[""liljegren-hindukush"", ""rensch-decker-hallberg1992""]"	[]	Palula čandíiš/čandéeš E corresponds to Kalkoti čändeéš H2. Shina includes initial-long, medial-short and final-short marked variants, with different syllable reductions. Brokskat cuudeš and Ushojo cadʌš have initial stress; the western High pattern is not universal Shinaic final stress.
15	Sh	"[""panzej"", ""panzileĩ"", ""panzuleĩ"", ""panzuliː"", ""panzéy"", ""panzílee"", ""panzəleː"", ""paziléi"", ""pazilí~"", ""pa~zulé~i~"", ""pãzīu"", ""pănzăi"", ""pʌnzei"", ""pʌnzəlaī́"", ""pʌziläī""]"	"[""S@-1"", ""S@-2"", ""syllable-marked@position-unresolved"", ""unmarked"", ""vowel-sequence-marked@position-unresolved""]"	"[""CDIAL"", ""CDIAL;Lor"", ""liljegren-hindukush"", ""schmidt""]"	[]	Palula panǰíiš/panǰéeš E corresponds to Kalkoti pänǰeéš H2. Shina preserves several differently expanded formations with final prominence; Brokskat pããdeš has initial stress. Unmarked Sauji variants do not establish an E/L value.
15	Phal	"[""pandʑiːɕ"", ""panǰéeš"", ""panǰíiš"", ""panǰēš"", ""panǰīš"", ""panǰʹîš""]"	"[""E@-1"", ""unmarked""]"	"[""CDIAL"", ""liljegren"", ""liljegren-hindukush"", ""strand""]"	[]	Palula panǰíiš/panǰéeš E corresponds to Kalkoti pänǰeéš H2. Shina preserves several differently expanded formations with final prominence; Brokskat pããdeš has initial stress. Unmarked Sauji variants do not establish an E/L value.
15	Sv	"[""pandʑiɕ"", ""panǰiš"", ""penǰī́š""]"	"[""syllable-marked@-1"", ""unmarked""]"	"[""CDIAL"", ""knobloch2020sauji"", ""liljegren-hindukush""]"	[]	Palula panǰíiš/panǰéeš E corresponds to Kalkoti pänǰeéš H2. Shina preserves several differently expanded formations with final prominence; Brokskat pããdeš has initial stress. Unmarked Sauji variants do not establish an E/L value.
15	Kalk	"[""pandʑḛːɕ"", ""pänǰeéš""]"	"[""H2@-1"", ""unmarked""]"	"[""hultman2023kalkoti"", ""liljegren-hindukush""]"	[]	Palula panǰíiš/panǰéeš E corresponds to Kalkoti pänǰeéš H2. Shina preserves several differently expanded formations with final prominence; Brokskat pããdeš has initial stress. Unmarked Sauji variants do not establish an E/L value.
15	Kund	"[""pandrẽj""]"	"[""unmarked""]"	"[""liljegren-hindukush""]"	[]	Palula panǰíiš/panǰéeš E corresponds to Kalkoti pänǰeéš H2. Shina preserves several differently expanded formations with final prominence; Brokskat pããdeš has initial stress. Unmarked Sauji variants do not establish an E/L value.
15	bro	"[""'pããdeš"", ""pændeɕ""]"	"[""stress-marked@-2"", ""unmarked""]"	"[""liljegren-hindukush"", ""schmidt""]"	[]	Palula panǰíiš/panǰéeš E corresponds to Kalkoti pänǰeéš H2. Shina preserves several differently expanded formations with final prominence; Brokskat pããdeš has initial stress. Unmarked Sauji variants do not establish an E/L value.
15	Ush	"[""pĩːɕ""]"	"[""unmarked""]"	"[""liljegren-hindukush""]"	[]	Palula panǰíiš/panǰéeš E corresponds to Kalkoti pänǰeéš H2. Shina preserves several differently expanded formations with final prominence; Brokskat pããdeš has initial stress. Unmarked Sauji variants do not establish an E/L value.
16	Sh	"[""ʂõːi"", ""ʂõːj"", ""ṣuɔ̄̃i"", ""ṣói~"", ""ṣóoi"", ""ṣóo~i"", ""ṣóo~y"", ""ṣōĩ"", ""ṣō̃ĕi"", ""ṣō̃ī̃"", ""ṣō̃ṛäɪ"", ""ṣō̃ṛī"", ""ṣūṛ""]"	"[""E@-1"", ""E@-2"", ""unmarked"", ""vowel-sequence-marked@position-unresolved""]"	"[""CDIAL"", ""liljegren-hindukush"", ""schmidt""]"	[]	Palula ṣoṛíiš/ṣoṛéeš E corresponds to Kalkoti ṣureéš H2. Shina contracted ṣoo(y/i) variants and Brokskat ṣobeš are different surface formations; Brokskat has initial stress. A different stem spelling does not erase the independent ten-compound membership.
16	Phal	"[""ʂoɽiːɕ"", ""ṣoṛéeš"", ""ṣoṛíiš"", ""ṣoṛēš"", ""ṣoṛʹîš"", ""ṣʷọṛḗš""]"	"[""E@-1"", ""syllable-marked@-1"", ""unmarked""]"	"[""CDIAL"", ""liljegren"", ""liljegren-hindukush"", ""strand""]"	[]	Palula ṣoṛíiš/ṣoṛéeš E corresponds to Kalkoti ṣureéš H2. Shina contracted ṣoo(y/i) variants and Brokskat ṣobeš are different surface formations; Brokskat has initial stress. A different stem spelling does not erase the independent ten-compound membership.
16	Sv	"[""ʂuɽaɕ"", ""ṣuṛaš"", ""ṣuṛā́s""]"	"[""syllable-marked@-1"", ""unmarked""]"	"[""CDIAL"", ""knobloch2020sauji"", ""liljegren-hindukush""]"	[]	Palula ṣoṛíiš/ṣoṛéeš E corresponds to Kalkoti ṣureéš H2. Shina contracted ṣoo(y/i) variants and Brokskat ṣobeš are different surface formations; Brokskat has initial stress. A different stem spelling does not erase the independent ten-compound membership.
16	Kalk	"[""ʂurḛːɕ"", ""ṣureéš""]"	"[""H2@-1"", ""unmarked""]"	"[""hultman2023kalkoti"", ""liljegren-hindukush""]"	[]	Palula ṣoṛíiš/ṣoṛéeš E corresponds to Kalkoti ṣureéš H2. Shina contracted ṣoo(y/i) variants and Brokskat ṣobeš are different surface formations; Brokskat has initial stress. A different stem spelling does not erase the independent ten-compound membership.
16	Kund	"[""ɕeːɽiɕ""]"	"[""unmarked""]"	"[""liljegren-hindukush""]"	[]	Palula ṣoṛíiš/ṣoṛéeš E corresponds to Kalkoti ṣureéš H2. Shina contracted ṣoo(y/i) variants and Brokskat ṣobeš are different surface formations; Brokskat has initial stress. A different stem spelling does not erase the independent ten-compound membership.
16	bro	"[""'ṣobeš"", ""ʂøbeɕ""]"	"[""stress-marked@-2"", ""unmarked""]"	"[""liljegren-hindukush"", ""schmidt""]"	[]	Palula ṣoṛíiš/ṣoṛéeš E corresponds to Kalkoti ṣureéš H2. Shina contracted ṣoo(y/i) variants and Brokskat ṣobeš are different surface formations; Brokskat has initial stress. A different stem spelling does not erase the independent ten-compound membership.
16	Ush	"[""ʂeʂ"", ""ʂiːɕ""]"	"[""unmarked""]"	"[""liljegren-hindukush"", ""rensch-decker-hallberg1992""]"	[]	Palula ṣoṛíiš/ṣoṛéeš E corresponds to Kalkoti ṣureéš H2. Shina contracted ṣoo(y/i) variants and Brokskat ṣobeš are different surface formations; Brokskat has initial stress. A different stem spelling does not erase the independent ten-compound membership.
17	Sh	"[""sataːj"", ""sataːẽ"", ""sattáai"", ""sattáa~i~"", ""sattáa~y"", ""sattā̃i"", ""satā́i"", ""sătáĩ"", ""sətãːj"", ""sʌttá:i"", ""sʌtä́i""]"	"[""E@-1"", ""E@-2"", ""stress-marked@-2"", ""syllable-marked@position-unresolved"", ""unmarked"", ""vowel-sequence-marked@position-unresolved""]"	"[""CDIAL"", ""liljegren-hindukush"", ""rajapurohit2012"", ""schmidt""]"	[]	Palula satóoš/satáaš E corresponds to Kalkoti sätaáš H2. Unlike the earlier Brokskat teens, sattõõš has final stress. Shina final accented aa precedes y/i material whose syllabicity varies by source.
17	Phal	"[""satoːɕ"", ""sattṓš"", ""satáaš"", ""satóoš"", ""satā́š"", ""satʹôš""]"	"[""E@-1"", ""syllable-marked@-1"", ""unmarked""]"	"[""CDIAL"", ""liljegren"", ""liljegren-hindukush"", ""strand""]"	[]	Palula satóoš/satáaš E corresponds to Kalkoti sätaáš H2. Unlike the earlier Brokskat teens, sattõõš has final stress. Shina final accented aa precedes y/i material whose syllabicity varies by source.
17	Sv	"[""satijaːɕ"", ""satiyaš"", ""satāš""]"	"[""unmarked""]"	"[""CDIAL"", ""knobloch2020sauji"", ""liljegren-hindukush""]"	[]	Palula satóoš/satáaš E corresponds to Kalkoti sätaáš H2. Unlike the earlier Brokskat teens, sattõõš has final stress. Shina final accented aa precedes y/i material whose syllabicity varies by source.
17	Kalk	"[""sata̰ːɕ"", ""sätaáš""]"	"[""H2@-1"", ""unmarked""]"	"[""hultman2023kalkoti"", ""liljegren-hindukush""]"	[]	Palula satóoš/satáaš E corresponds to Kalkoti sätaáš H2. Unlike the earlier Brokskat teens, sattõõš has final stress. Shina final accented aa precedes y/i material whose syllabicity varies by source.
17	Kund	"[""sataːi""]"	"[""unmarked""]"	"[""liljegren-hindukush""]"	[]	Palula satóoš/satáaš E corresponds to Kalkoti sätaáš H2. Unlike the earlier Brokskat teens, sattõõš has final stress. Shina final accented aa precedes y/i material whose syllabicity varies by source.
17	bro	"[""sat'tõõš"", ""satũɕ""]"	"[""stress-marked@-1"", ""unmarked""]"	"[""liljegren-hindukush"", ""schmidt""]"	[]	Palula satóoš/satáaš E corresponds to Kalkoti sätaáš H2. Unlike the earlier Brokskat teens, sattõõš has final stress. Shina final accented aa precedes y/i material whose syllabicity varies by source.
17	Ush	"[""sataːɕ"", ""sʌ'tɑʃ""]"	"[""stress-marked@-1"", ""unmarked""]"	"[""liljegren-hindukush"", ""rensch-decker-hallberg1992""]"	[]	Palula satóoš/satáaš E corresponds to Kalkoti sätaáš H2. Unlike the earlier Brokskat teens, sattõõš has final stress. Shina final accented aa precedes y/i material whose syllabicity varies by source.
18	Sh	"[""asʈaːj"", ""a~ṣṭáai"", ""aṣṭáa~i"", ""aṣṭáa~y"", ""aṣṭā́i"", ""ãʂʈaːj"", ""ãʂʈaːẽ"", ""ẵṣṭáẽ""]"	"[""E@-1"", ""E@-2"", ""syllable-marked@position-unresolved"", ""unmarked"", ""vowel-sequence-marked@position-unresolved""]"	"[""CDIAL"", ""liljegren-hindukush"", ""schmidt""]"	[]	Palula aṣṭóoš/aṣṭáaš E corresponds to Kalkoti iṣṭaáš H2. Brokskat aṣṭõš also has final stress. The independent ten-compound series includes both mono- and polysyllabic modern words; its common Kalkoti H2 cannot be reduced to current syllable count.
18	Phal	"[""asṭʹôš"", ""aʂʈoːɕ"", ""aṣṭáaš"", ""aṣṭóoš"", ""aṣṭṓš"", ""ā́š""]"	"[""E@-1"", ""syllable-marked@-1"", ""unmarked""]"	"[""CDIAL"", ""liljegren"", ""liljegren-hindukush"", ""strand""]"	[]	Palula aṣṭóoš/aṣṭáaš E corresponds to Kalkoti iṣṭaáš H2. Brokskat aṣṭõš also has final stress. The independent ten-compound series includes both mono- and polysyllabic modern words; its common Kalkoti H2 cannot be reduced to current syllable count.
18	Sv	"[""aštiyaš"", ""aštā́š"", ""aɕtijɑːɕ""]"	"[""syllable-marked@-1"", ""unmarked""]"	"[""CDIAL;Buddruss"", ""knobloch2020sauji"", ""liljegren-hindukush""]"	[]	Palula aṣṭóoš/aṣṭáaš E corresponds to Kalkoti iṣṭaáš H2. Brokskat aṣṭõš also has final stress. The independent ten-compound series includes both mono- and polysyllabic modern words; its common Kalkoti H2 cannot be reduced to current syllable count.
18	Kalk	"[""eʂʈa̰ːɕ"", ""iṣṭaáš""]"	"[""H2@-1"", ""unmarked""]"	"[""hultman2023kalkoti"", ""liljegren-hindukush""]"	[]	Palula aṣṭóoš/aṣṭáaš E corresponds to Kalkoti iṣṭaáš H2. Brokskat aṣṭõš also has final stress. The independent ten-compound series includes both mono- and polysyllabic modern words; its common Kalkoti H2 cannot be reduced to current syllable count.
18	Kund	"[""ãɕtaːi""]"	"[""unmarked""]"	"[""liljegren-hindukush""]"	[]	Palula aṣṭóoš/aṣṭáaš E corresponds to Kalkoti iṣṭaáš H2. Brokskat aṣṭõš also has final stress. The independent ten-compound series includes both mono- and polysyllabic modern words; its common Kalkoti H2 cannot be reduced to current syllable count.
18	bro	"[""aʂtũɕ"", ""aṣ'ṭõš""]"	"[""stress-marked@-1"", ""unmarked""]"	"[""liljegren-hindukush"", ""schmidt""]"	[]	Palula aṣṭóoš/aṣṭáaš E corresponds to Kalkoti iṣṭaáš H2. Brokskat aṣṭõš also has final stress. The independent ten-compound series includes both mono- and polysyllabic modern words; its common Kalkoti H2 cannot be reduced to current syllable count.
18	Ush	"[""aʈʰaːɕ""]"	"[""unmarked""]"	"[""liljegren-hindukush""]"	[]	Palula aṣṭóoš/aṣṭáaš E corresponds to Kalkoti iṣṭaáš H2. Brokskat aṣṭõš also has final stress. The independent ten-compound series includes both mono- and polysyllabic modern words; its common Kalkoti H2 cannot be reduced to current syllable count.
19	Sh	"[""kunií"", ""kuniíh"", ""kuniː"", ""kũnní:"", ""kŭnīh"", ""ukaníi~"", ""ukniː"", ""ukənīh""]"	"[""E@-1"", ""L@-1"", ""stress-marked@-1"", ""unmarked""]"	"[""CDIAL"", ""liljegren-hindukush"", ""rajapurohit2012"", ""schmidt""]"	[]	Palula aṇabhiíš L and Kalkoti änbíiš H1 contain the twenty element, unlike 11–18 ten compounds. Their correspondence matches Palula bhiíš L/Kalkoti bíiš H1 twenty. Shina kuniih and Brokskat kunjaa have different one-less formations, so no identical whole-compound accent history is assumed.
19	Phal	"[""aɳabʰiːɕ"", ""aṇabhiíš"", ""aṇabhîʹš"", ""aṇabhī́š""]"	"[""L@-1"", ""syllable-marked@-1"", ""unmarked""]"	"[""CDIAL"", ""liljegren"", ""liljegren-hindukush"", ""strand""]"	[]	Palula aṇabhiíš L and Kalkoti änbíiš H1 contain the twenty element, unlike 11–18 ten compounds. Their correspondence matches Palula bhiíš L/Kalkoti bíiš H1 twenty. Shina kuniih and Brokskat kunjaa have different one-less formations, so no identical whole-compound accent history is assumed.
19	Sv	"[""uːɽĩɕ"", ""uṛiš"", ""ũṛī́š""]"	"[""syllable-marked@-1"", ""unmarked""]"	"[""CDIAL"", ""knobloch2020sauji"", ""liljegren-hindukush""]"	[]	Palula aṇabhiíš L and Kalkoti änbíiš H1 contain the twenty element, unlike 11–18 ten compounds. Their correspondence matches Palula bhiíš L/Kalkoti bíiš H1 twenty. Shina kuniih and Brokskat kunjaa have different one-less formations, so no identical whole-compound accent history is assumed.
19	Kalk	"[""änbíiš"", ""ɑnbiːɕ""]"	"[""H1@-1"", ""unmarked""]"	"[""hultman2023kalkoti"", ""liljegren-hindukush""]"	[]	Palula aṇabhiíš L and Kalkoti änbíiš H1 contain the twenty element, unlike 11–18 ten compounds. Their correspondence matches Palula bhiíš L/Kalkoti bíiš H1 twenty. Shina kuniih and Brokskat kunjaa have different one-less formations, so no identical whole-compound accent history is assumed.
19	Kund	"[""jakoĩ""]"	"[""unmarked""]"	"[""liljegren-hindukush""]"	[]	Palula aṇabhiíš L and Kalkoti änbíiš H1 contain the twenty element, unlike 11–18 ten compounds. Their correspondence matches Palula bhiíš L/Kalkoti bíiš H1 twenty. Shina kuniih and Brokskat kunjaa have different one-less formations, so no identical whole-compound accent history is assumed.
19	bro	"[""'kunjaa"", ""kundʑæ""]"	"[""stress-marked@-2"", ""unmarked""]"	"[""liljegren-hindukush"", ""schmidt""]"	[]	Palula aṇabhiíš L and Kalkoti änbíiš H1 contain the twenty element, unlike 11–18 ten compounds. Their correspondence matches Palula bhiíš L/Kalkoti bíiš H1 twenty. Shina kuniih and Brokskat kunjaa have different one-less formations, so no identical whole-compound accent history is assumed.
19	Ush	"[""ʌn'biʃ"", ""ẽɳbiː""]"	"[""stress-marked@-1"", ""unmarked""]"	"[""liljegren-hindukush"", ""rensch-decker-hallberg1992""]"	[]	Palula aṇabhiíš L and Kalkoti änbíiš H1 contain the twenty element, unlike 11–18 ten compounds. Their correspondence matches Palula bhiíš L/Kalkoti bíiš H1 twenty. Shina kuniih and Brokskat kunjaa have different one-less formations, so no identical whole-compound accent history is assumed.
20	Sh	"[""bi:"", ""bii"", ""bií"", ""biː"", ""bì"", ""bìí"", ""bēh"", ""bī"", ""bīh""]"	"[""L@-1"", ""LR@-1"", ""R@-1"", ""unmarked""]"	"[""CDIAL"", ""backstrom1992"", ""buddruss-shina1996"", ""grierson-lsi1928"", ""liljegren-hindukush"", ""rajapurohit2012"", ""schmidt""]"	[]	Palula bhiíš L corresponds to Kalkoti bíiš H1; Shina commonly has bií L, Kundal bī̌ rising, and Brokskat bižaa final syllable stress. Survey biš panj under twenty contains five as well and is not a clean twenty citation; preserve it with an explicit exclusion.
