numeral	formation_class	language	analysis_token_id	record_id	form	gloss	family_id	source	dialect	outcome	exclusion	reading_issues	analysis
11	ten-compound-series	Sh	f_n2aeriawhbvwi	f_n2aeriawhbvwi	ɪˈkɑi	eleven	2485	backstrom1992	dialect:Sh:HunzaNasirabad:Hunza	stress-marked@position-unresolved		unequal-vowel-sequence	Palula akóoš/akáaš has E in the final syllable; Kalkoti äkaáš has H2. Brokskat qudeš has initial stress and a distinct compound shape; Kundal yagáy marks final prominence without a recoverable mora contrast.
11	ten-compound-series	Sh	f_ypf52iwreyive	f_ypf52iwreyive	ɪˈkɑi	eleven	2485	backstrom1992	dialect:Sh:NagarThol:Nagar%20%28Thol%29	stress-marked@position-unresolved		unequal-vowel-sequence	Palula akóoš/akáaš has E in the final syllable; Kalkoti äkaáš has H2. Brokskat qudeš has initial stress and a distinct compound shape; Kundal yagáy marks final prominence without a recoverable mora contrast.
11	ten-compound-series	Sh	f_gqw6e2gxuczd2	f_gqw6e2gxuczd2	ʌˈkɑi	eleven	2485	backstrom1992	dialect:Sh:NagarChalt:Nagar%20%28Chalt%29	stress-marked@position-unresolved		unequal-vowel-sequence	Palula akóoš/akáaš has E in the final syllable; Kalkoti äkaáš has H2. Brokskat qudeš has initial stress and a distinct compound shape; Kundal yagáy marks final prominence without a recoverable mora contrast.
11	ten-compound-series	Sh	f_hzgvmmlmsjdp4	f_hzgvmmlmsjdp4	ʌˈkɑi	eleven	2485	backstrom1992	dialect:Sh:gil:Gilgit	stress-marked@position-unresolved		unequal-vowel-sequence	Palula akóoš/akáaš has E in the final syllable; Kalkoti äkaáš has H2. Brokskat qudeš has initial stress and a distinct compound shape; Kundal yagáy marks final prominence without a recoverable mora contrast.
11	ten-compound-series	Sh	f_hhthldf4yx3lw	f_hhthldf4yx3lw	ɛˈkɑi	eleven	2485	backstrom1992	dialect:Sh:Haramosh:Haramosh	stress-marked@position-unresolved		unequal-vowel-sequence	Palula akóoš/akáaš has E in the final syllable; Kalkoti äkaáš has H2. Brokskat qudeš has initial stress and a distinct compound shape; Kundal yagáy marks final prominence without a recoverable mora contrast.
11	ten-compound-series	Sh	f_c62l2yuah4uka	f_c62l2yuah4uka	ɛˈkɑi	eleven	2485	backstrom1992	dialect:Sh:Bagrot:Bagrot	stress-marked@position-unresolved		unequal-vowel-sequence	Palula akóoš/akáaš has E in the final syllable; Kalkoti äkaáš has H2. Brokskat qudeš has initial stress and a distinct compound shape; Kundal yagáy marks final prominence without a recoverable mora contrast.
11	ten-compound-series	Sh	f_htuo6mafmlgww	f_htuo6mafmlgww	i̱ˈkɑi	eleven	2485	backstrom1992	dialect:Sh:Bunji:Bunji	stress-marked@position-unresolved		unequal-vowel-sequence	Palula akóoš/akáaš has E in the final syllable; Kalkoti äkaáš has H2. Brokskat qudeš has initial stress and a distinct compound shape; Kundal yagáy marks final prominence without a recoverable mora contrast.
11	ten-compound-series	Sh	f_ygfjvrkbjmtqm	f_ygfjvrkbjmtqm	ɪˈkɑi	eleven	2485	backstrom1992	dialect:Sh:Rondu:Rondu	stress-marked@position-unresolved		unequal-vowel-sequence	Palula akóoš/akáaš has E in the final syllable; Kalkoti äkaáš has H2. Brokskat qudeš has initial stress and a distinct compound shape; Kundal yagáy marks final prominence without a recoverable mora contrast.
11	ten-compound-series	Sh	f_jpctovgcmtf6u	f_jpctovgcmtf6u	ʌkɑⁱ	eleven	2485	backstrom1992	dialect:Sh:Gahorabad:Chilas%20%28Gahorabad%29	unmarked			Palula akóoš/akáaš has E in the final syllable; Kalkoti äkaáš has H2. Brokskat qudeš has initial stress and a distinct compound shape; Kundal yagáy marks final prominence without a recoverable mora contrast.
11	ten-compound-series	Sh	f_zow4i3iwrtj2w	f_zow4i3iwrtj2w	ʌˈkɑi	eleven	2485	backstrom1992	dialect:Sh:DashkinAstor:Astor%20%28Dashkin%29	stress-marked@position-unresolved		unequal-vowel-sequence	Palula akóoš/akáaš has E in the final syllable; Kalkoti äkaáš has H2. Brokskat qudeš has initial stress and a distinct compound shape; Kundal yagáy marks final prominence without a recoverable mora contrast.
11	ten-compound-series	Sh	f_l634pg6tlbdlm	f_l634pg6tlbdlm	ʌˈkɑi	eleven	2485	backstrom1992	dialect:Sh:Astor:Astor	stress-marked@position-unresolved		unequal-vowel-sequence	Palula akóoš/akáaš has E in the final syllable; Kalkoti äkaáš has H2. Brokskat qudeš has initial stress and a distinct compound shape; Kundal yagáy marks final prominence without a recoverable mora contrast.
11	ten-compound-series	Sh	f_5yjwaibopsdc4	f_5yjwaibopsdc4	ʌˈkɑⁱ	eleven	2485	backstrom1992	dialect:Sh:KachuraJel:Kachura	stress-marked@-1			Palula akóoš/akáaš has E in the final syllable; Kalkoti äkaáš has H2. Brokskat qudeš has initial stress and a distinct compound shape; Kundal yagáy marks final prominence without a recoverable mora contrast.
11	ten-compound-series	Sh	f_ag2kobxvv4am2	f_ag2kobxvv4am2	ʌˈkɑⁱ	eleven	2485	backstrom1992	dialect:Sh:Satpara:Satpara	stress-marked@-1			Palula akóoš/akáaš has E in the final syllable; Kalkoti äkaáš has H2. Brokskat qudeš has initial stress and a distinct compound shape; Kundal yagáy marks final prominence without a recoverable mora contrast.
11	ten-compound-series	Sh	f_5rcfw3o2fnjyc	f_5rcfw3o2fnjyc	ʌˈkɑi	eleven	2485	backstrom1992	dialect:Sh:Gultari:Gultari	stress-marked@position-unresolved		unequal-vowel-sequence	Palula akóoš/akáaš has E in the final syllable; Kalkoti äkaáš has H2. Brokskat qudeš has initial stress and a distinct compound shape; Kundal yagáy marks final prominence without a recoverable mora contrast.
11	ten-compound-series	Sh	f_tnbrqel54k672	f_tnbrqel54k672	ʌˈkɑi	eleven	2485	backstrom1992	dialect:Sh:Kharmang:Kharmang	stress-marked@position-unresolved		unequal-vowel-sequence	Palula akóoš/akáaš has E in the final syllable; Kalkoti äkaáš has H2. Brokskat qudeš has initial stress and a distinct compound shape; Kundal yagáy marks final prominence without a recoverable mora contrast.
11	ten-compound-series	Sh	f_7yqkcmek7c7ai	f_7yqkcmek7c7ai	ʌˈkɑi	eleven	2485	backstrom1992	dialect:Sh:dr:Dras	stress-marked@position-unresolved		unequal-vowel-sequence	Palula akóoš/akáaš has E in the final syllable; Kalkoti äkaáš has H2. Brokskat qudeš has initial stress and a distinct compound shape; Kundal yagáy marks final prominence without a recoverable mora contrast.
11	ten-compound-series	Sh	f_kgnvu7lfdgdjg	f_kgnvu7lfdgdjg	ʌˈkɑⁱ	eleven	2485	backstrom1992	dialect:Sh:ChilasKhinar:Chilas%20%28Khinar%29	stress-marked@-1			Palula akóoš/akáaš has E in the final syllable; Kalkoti äkaáš has H2. Brokskat qudeš has initial stress and a distinct compound shape; Kundal yagáy marks final prominence without a recoverable mora contrast.
11	ten-compound-series	Sh	f_hvhi5p3wygl2i	f_hvhi5p3wygl2i	ʌˈkɑⁱ	eleven	2485	backstrom1992	dialect:Sh:ChilasJelil:Chilas%20%28Jelil%29	stress-marked@-1			Palula akóoš/akáaš has E in the final syllable; Kalkoti äkaáš has H2. Brokskat qudeš has initial stress and a distinct compound shape; Kundal yagáy marks final prominence without a recoverable mora contrast.
11	ten-compound-series	Sh	f_zirq6sk5zu434	f_zirq6sk5zu434	ʌˈkɑi	eleven	2485	backstrom1992	dialect:Sh:Darel:Darel	stress-marked@position-unresolved		unequal-vowel-sequence	Palula akóoš/akáaš has E in the final syllable; Kalkoti äkaáš has H2. Brokskat qudeš has initial stress and a distinct compound shape; Kundal yagáy marks final prominence without a recoverable mora contrast.
11	ten-compound-series	Sh	f_gfixnm3476qg6	f_gfixnm3476qg6	ʌˈkɑⁱ	eleven	2485	backstrom1992	dialect:Sh:Tangir:Tangir	stress-marked@-1			Palula akóoš/akáaš has E in the final syllable; Kalkoti äkaáš has H2. Brokskat qudeš has initial stress and a distinct compound shape; Kundal yagáy marks final prominence without a recoverable mora contrast.
11	ten-compound-series	Sh	f_cn3wcwfjszlce	f_cn3wcwfjszlce	ʌˈkɑⁱ	eleven	2485	backstrom1992	dialect:Sh:Sazin:Sazin	stress-marked@-1			Palula akóoš/akáaš has E in the final syllable; Kalkoti äkaáš has H2. Brokskat qudeš has initial stress and a distinct compound shape; Kundal yagáy marks final prominence without a recoverable mora contrast.
11	ten-compound-series	Sh	f_3zlpxvxdpqxb4	f_3zlpxvxdpqxb4	ʌˈkɑⁱ	eleven	2485	backstrom1992	dialect:Sh:Harban:Harban	stress-marked@-1			Palula akóoš/akáaš has E in the final syllable; Kalkoti äkaáš has H2. Brokskat qudeš has initial stress and a distinct compound shape; Kundal yagáy marks final prominence without a recoverable mora contrast.
11	ten-compound-series	Sh	f_xctenf62pylhq	f_xctenf62pylhq	ʌˈkɑi	eleven	2485	backstrom1992	dialect:Sh:Jalkot:Jalkot	stress-marked@position-unresolved		unequal-vowel-sequence	Palula akóoš/akáaš has E in the final syllable; Kalkoti äkaáš has H2. Brokskat qudeš has initial stress and a distinct compound shape; Kundal yagáy marks final prominence without a recoverable mora contrast.
11	ten-compound-series	Sh	f_zmgvdhc4ukali	f_zmgvdhc4ukali	ɑˈkɑⁱ	eleven	2485	backstrom1992	dialect:Sh:pales:Palesi	stress-marked@-1			Palula akóoš/akáaš has E in the final syllable; Kalkoti äkaáš has H2. Brokskat qudeš has initial stress and a distinct compound shape; Kundal yagáy marks final prominence without a recoverable mora contrast.
11	ten-compound-series	Sh	f_kal25xer4f6qc	f_kal25xer4f6qc	ɑˈkɑi	eleven	2485	backstrom1992	dialect:Sh:Kolai:Kolai	stress-marked@position-unresolved		unequal-vowel-sequence	Palula akóoš/akáaš has E in the final syllable; Kalkoti äkaáš has H2. Brokskat qudeš has initial stress and a distinct compound shape; Kundal yagáy marks final prominence without a recoverable mora contrast.
11	ten-compound-series	Sh	f_4pkfqmryhv6gs	f_4pkfqmryhv6gs	akáai	eleven	2485	schmidt	dialect:Sh:koh:Kohistani	vowel-sequence-marked@position-unresolved		unequal-vowel-sequence	Palula akóoš/akáaš has E in the final syllable; Kalkoti äkaáš has H2. Brokskat qudeš has initial stress and a distinct compound shape; Kundal yagáy marks final prominence without a recoverable mora contrast.
11	ten-compound-series	Sh	f_zwapa36frc6he	f_zwapa36frc6he	akáai	eleven	2485	schmidt	dialect:Sh:gur:Guresi	vowel-sequence-marked@position-unresolved		unequal-vowel-sequence	Palula akóoš/akáaš has E in the final syllable; Kalkoti äkaáš has H2. Brokskat qudeš has initial stress and a distinct compound shape; Kundal yagáy marks final prominence without a recoverable mora contrast.
11	ten-compound-series	Sh	f_l7n2psgu4unoy	f_l7n2psgu4unoy	akáai	eleven	2485	schmidt	dialect:Sh:Astor:Astor	vowel-sequence-marked@position-unresolved		unequal-vowel-sequence	Palula akóoš/akáaš has E in the final syllable; Kalkoti äkaáš has H2. Brokskat qudeš has initial stress and a distinct compound shape; Kundal yagáy marks final prominence without a recoverable mora contrast.
19	nineteen-comparison	Sh	f_3yl4v7gwle5u2	f_3yl4v7gwle5u2	kŭnīh	19	2499	CDIAL	dialect:Sh:gil:Gilgit	unmarked			Palula aṇabhiíš L and Kalkoti änbíiš H1 contain the twenty element, unlike 11–18 ten compounds. Their correspondence matches Palula bhiíš L/Kalkoti bíiš H1 twenty. Shina kuniih and Brokskat kunjaa have different one-less formations, so no identical whole-compound accent history is assumed.
19	nineteen-comparison	Sh	f_kfk44a4qrcpjg	f_kfk44a4qrcpjg	ukənīh	19	2499	CDIAL	dialect:Sh:pales:Palesi	unmarked			Palula aṇabhiíš L and Kalkoti änbíiš H1 contain the twenty element, unlike 11–18 ten compounds. Their correspondence matches Palula bhiíš L/Kalkoti bíiš H1 twenty. Shina kuniih and Brokskat kunjaa have different one-less formations, so no identical whole-compound accent history is assumed.
14	ten-compound-series	Sv	f_l77z3rzpr3t2m	f_l77z3rzpr3t2m	čadī́š	fourteen	4605	CDIAL		syllable-marked@-1			Palula čandíiš/čandéeš E corresponds to Kalkoti čändeéš H2. Shina includes initial-long, medial-short and final-short marked variants, with different syllable reductions. Brokskat cuudeš and Ushojo cadʌš have initial stress; the western High pattern is not universal Shinaic final stress.
14	ten-compound-series	Phal	f_cvgcfx6agdcqk	f_cvgcfx6agdcqk	čandḗš	fourteen	4605	CDIAL		syllable-marked@-1			Palula čandíiš/čandéeš E corresponds to Kalkoti čändeéš H2. Shina includes initial-long, medial-short and final-short marked variants, with different syllable reductions. Brokskat cuudeš and Ushojo cadʌš have initial stress; the western High pattern is not universal Shinaic final stress.
14	ten-compound-series	Sh	f_ulgekdwb5jzje	f_ulgekdwb5jzje	čondai	fourteen	4605	CDIAL		unmarked		unequal-vowel-sequence	Palula čandíiš/čandéeš E corresponds to Kalkoti čändeéš H2. Shina includes initial-long, medial-short and final-short marked variants, with different syllable reductions. Brokskat cuudeš and Ushojo cadʌš have initial stress; the western High pattern is not universal Shinaic final stress.
14	ten-compound-series	Sh	f_qytlgujhuyfns	f_qytlgujhuyfns	čahúndēī	fourteen	4605	CDIAL	dialect:Sh:pales:Palesi	syllable-marked@position-unresolved		unequal-vowel-sequence	Palula čandíiš/čandéeš E corresponds to Kalkoti čändeéš H2. Shina includes initial-long, medial-short and final-short marked variants, with different syllable reductions. Brokskat cuudeš and Ushojo cadʌš have initial stress; the western High pattern is not universal Shinaic final stress.
14	ten-compound-series	Phal	f_fd7tddjso7t6o	f_fd7tddjso7t6o	čandíiš	fourteen	4605	liljegren		E@-1			Palula čandíiš/čandéeš E corresponds to Kalkoti čändeéš H2. Shina includes initial-long, medial-short and final-short marked variants, with different syllable reductions. Brokskat cuudeš and Ushojo cadʌš have initial stress; the western High pattern is not universal Shinaic final stress.
14	ten-compound-series	Phal	f_zy5mckwbbsc62	f_zy5mckwbbsc62	čandéeš	fourteen	4605	liljegren	dialect:Phal:biori:Biori	E@-1			Palula čandíiš/čandéeš E corresponds to Kalkoti čändeéš H2. Shina includes initial-long, medial-short and final-short marked variants, with different syllable reductions. Brokskat cuudeš and Ushojo cadʌš have initial stress; the western High pattern is not universal Shinaic final stress.
13	ten-compound-series	Sh	f_qrgepqhhfzrry	f_qrgepqhhfzrry	c̣õi	thirteen	6001	CDIAL	dialect:Sh:gil:Gilgit	unmarked		unequal-vowel-sequence	Palula tríiš/tréeš E versus Kalkoti treéš H2 belongs to the same ten-compound pattern as twelve. Brokskat trobeš is unmarked in print, not assigned initial stress by analogy. Shina often contracts to a vowel sequence or monosyllable.
13	ten-compound-series	Sh	f_gnmurufhwwe5u	f_gnmurufhwwe5u	ṭṛōī	thirteen	6001	CDIAL	dialect:Sh:pales:Palesi	unmarked		unequal-vowel-sequence	Palula tríiš/tréeš E versus Kalkoti treéš H2 belongs to the same ten-compound pattern as twelve. Brokskat trobeš is unmarked in print, not assigned initial stress by analogy. Shina often contracts to a vowel sequence or monosyllable.
13	ten-compound-series	Sh	f_mi56cdd3ijux4	f_mi56cdd3ijux4	c̣ṷäi	thirteen	6001	CDIAL	dialect:Sh:jij:Jijelut	unmarked		unequal-vowel-sequence	Palula tríiš/tréeš E versus Kalkoti treéš H2 belongs to the same ten-compound pattern as twelve. Brokskat trobeš is unmarked in print, not assigned initial stress by analogy. Shina often contracts to a vowel sequence or monosyllable.
13	ten-compound-series	Phal	f_ewzpbbjprv3hu	f_ewzpbbjprv3hu	tríiš	thirteen	6001	liljegren		E@-1			Palula tríiš/tréeš E versus Kalkoti treéš H2 belongs to the same ten-compound pattern as twelve. Brokskat trobeš is unmarked in print, not assigned initial stress by analogy. Shina often contracts to a vowel sequence or monosyllable.
13	ten-compound-series	Phal	f_gb7ebqif4o4vm	f_gb7ebqif4o4vm	tréeš	thirteen	6001	liljegren	dialect:Phal:biori:Biori	E@-1			Palula tríiš/tréeš E versus Kalkoti treéš H2 belongs to the same ten-compound pattern as twelve. Brokskat trobeš is unmarked in print, not assigned initial stress by analogy. Shina often contracts to a vowel sequence or monosyllable.
13	ten-compound-series	Phal	f_eqodmd74kle4y	f_eqodmd74kle4y	trʹîš	13	6001	strand	dialect:Palula	E@-1			Palula tríiš/tréeš E versus Kalkoti treéš H2 belongs to the same ten-compound pattern as twelve. Brokskat trobeš is unmarked in print, not assigned initial stress by analogy. Shina often contracts to a vowel sequence or monosyllable.
12	ten-compound-series	Sv	f_iguojyyhxhcdi	f_iguojyyhxhcdi	baš	twelve	6658	CDIAL		unmarked			Palula bóoš/báaš E versus Kalkoti baáš H2 is a real exception to the simple monosyllabic E→zero mapping, but it agrees with the independent ten-compound series. Shina baai vowel sequences require source-specific interpretation; Brokskat budeš has initial stress.
12	ten-compound-series	Sv	f_kuex3f67nbysq	f_kuex3f67nbysq	bāš	twelve	6658	CDIAL		unmarked			Palula bóoš/báaš E versus Kalkoti baáš H2 is a real exception to the simple monosyllabic E→zero mapping, but it agrees with the independent ten-compound series. Shina baai vowel sequences require source-specific interpretation; Brokskat budeš has initial stress.
12	ten-compound-series	Phal	f_3vili47nncy5g	f_3vili47nncy5g	bāš	twelve	6658	CDIAL		unmarked			Palula bóoš/báaš E versus Kalkoti baáš H2 is a real exception to the simple monosyllabic E→zero mapping, but it agrees with the independent ten-compound series. Shina baai vowel sequences require source-specific interpretation; Brokskat budeš has initial stress.
12	ten-compound-series	Phal	f_xbs3ooub6faaw	f_xbs3ooub6faaw	bōš	twelve	6658	CDIAL		unmarked			Palula bóoš/báaš E versus Kalkoti baáš H2 is a real exception to the simple monosyllabic E→zero mapping, but it agrees with the independent ten-compound series. Shina baai vowel sequences require source-specific interpretation; Brokskat budeš has initial stress.
12	ten-compound-series	Sh	f_mqdbeqm2iv7eq	f_mqdbeqm2iv7eq	bāĭ	twelve	6658	CDIAL		unmarked		unequal-vowel-sequence	Palula bóoš/báaš E versus Kalkoti baáš H2 is a real exception to the simple monosyllabic E→zero mapping, but it agrees with the independent ten-compound series. Shina baai vowel sequences require source-specific interpretation; Brokskat budeš has initial stress.
12	ten-compound-series	Kalk	f_dvap6kvq7atdu	f_dvap6kvq7atdu	baaš	twelve	6658	kalkoti	dialect:Kalk:HKAT-xka:Kalkot%20%28HKAT%29	unmarked			Palula bóoš/báaš E versus Kalkoti baáš H2 is a real exception to the simple monosyllabic E→zero mapping, but it agrees with the independent ten-compound series. Shina baai vowel sequences require source-specific interpretation; Brokskat budeš has initial stress.
12	ten-compound-series	Kund	f_livj7ckxplybk	f_livj7ckxplybk	bay	twelve	6658	kund		unmarked			Palula bóoš/báaš E versus Kalkoti baáš H2 is a real exception to the simple monosyllabic E→zero mapping, but it agrees with the independent ten-compound series. Shina baai vowel sequences require source-specific interpretation; Brokskat budeš has initial stress.
12	ten-compound-series	Phal	f_iu5minc42dt7i	f_iu5minc42dt7i	bóoš	twelve	6658	liljegren		E@-1			Palula bóoš/báaš E versus Kalkoti baáš H2 is a real exception to the simple monosyllabic E→zero mapping, but it agrees with the independent ten-compound series. Shina baai vowel sequences require source-specific interpretation; Brokskat budeš has initial stress.
12	ten-compound-series	Phal	f_t3rtsjdzmtrqw	f_t3rtsjdzmtrqw	báaš	twelve	6658	liljegren	dialect:Phal:biori:Biori	E@-1			Palula bóoš/báaš E versus Kalkoti baáš H2 is a real exception to the simple monosyllabic E→zero mapping, but it agrees with the independent ten-compound series. Shina baai vowel sequences require source-specific interpretation; Brokskat budeš has initial stress.
12	ten-compound-series	Phal	f_7ucixmjfskyis	f_7ucixmjfskyis	bʹôš	12	6658	strand	dialect:Palula	E@-1			Palula bóoš/báaš E versus Kalkoti baáš H2 is a real exception to the simple monosyllabic E→zero mapping, but it agrees with the independent ten-compound series. Shina baai vowel sequences require source-specific interpretation; Brokskat budeš has initial stress.
