id	domain	claim_or_comparison	primary_source	locator	verification	supporting_evidence	limitation_or_opposition
SH-14	Shinaic formation	Root-final syllable accent before extensions	https://researchmap.jp/sakuraishikawa/presentations/51401293/attachment_file.pdf	Basu2025 abstract, PDF pp31–33	Original abstract and example tables checked	Black, right, white, cold oppose mechanical copying of each Sanskrit headword's accent	Conference abstract, not a complete published derivation; exact suffix histories must be independently controlled
SH-15	Shinaic formation	Attraction to an old long vowel	https://researchmap.jp/sakuraishikawa/presentations/51401293/attachment_file.pdf	Basu2025 abstract; Palula/Shina fire comparisons	Abstract plus original comparative forms	angóor/agáar/aṅgáaru beside áṅgāra gives a promising Shinaic case	pánthā and síkatā require final-vowel chronology; extended karáaṛu is not a uniquely diagnostic case
SH-16	Shina segmental history	Short a:o in nasal environments	https://www.wisdomlib.org/uploads/journals/acta-orie/vol-69-2008/7372-6759-23258.pdf	2008 pp258–264,268,271,275	Original page images checked	Ear, work, skin, tooth, five, path, snake share o correspondences	Mountain varies; pretonic fifteen retains a but Guresi thumb has o; conditioning is provisional
SH-17	Historical Shina description	Bailey versus Lorimer on tone	https://pahar.in/indian-subcontinent-books/	Bailey1924 pp4–6,84; Lorimer1924 pp206–208	Public original PDFs read in browser	Bailey recognizes contrast; Lorimer is skeptical and proposes a listening test	Publication dates do not date the origin of the contrast; Bailey's preface is1917
KUN-01	Kundal Shahi	báal/báalan versus baán/baanán; díiz/díizin	https://www.sil.org/system/files/reapdata/10/55/83/10558360034839761273787716304857102032/silewp2005_008.pdf	Rehman/Baart2005 pp12–14	Canonical 22-page PDF page images in browser	Fixed and advancing classes resemble Shina	Preliminary description; cannot reconstruct every class's history
KUN-02	Kundal Shahi	thuuníi/thuún; almaaríi/almɛɛ́r; batíi/bɛ̀t; kursíi/kürsí	https://www.sil.org/system/files/reapdata/10/55/83/10558360034839761273787716304857102032/silewp2005_008.pdf	Rehman/Baart2005 pp12–14	Canonical original page images	Shortening/deletion of accented final ii coexists with umlaut and post-accenting patterns	Palula's docking-to-last-mora rule does not predict low short bɛ̀t; productive truncation need not be ancient apocope
KUN-03	Kundal Shahi	Post-accenting button, face, plough, ox, shoe	https://www.sil.org/system/files/reapdata/10/55/83/10558360034839761273787716304857102032/silewp2005_008.pdf	Rehman/Baart2005 pp13–14	Canonical original page images	Accent appears on a suffix or following postposition	Authors leave the history open; not every word has an overt high mora in its bare stem
KAL-01	Kalkoti	Low and mora-associated high tone	https://www.diva-portal.org/smash/get/diva2%3A1772061/FULLTEXT01.pdf	Hultman2023 pp14–20	Original thesis text and page images	Early H, late H, L, LH and unmarked patterns; míšaalúm has multiple H	Unmarked glossary items can also reflect uncertain recordings, not proved tonelessness
KAL-02	Kalkoti	bùun/becomes versus buun/goes; gìin; lùun; ḍä̀är	https://www.diva-portal.org/smash/get/diva2%3A1772061/FULLTEXT01.pdf	Hultman2023 pp14–20	Original text and example tables	Historical voiced aspiration/h corresponds to lexical L; surviving voiceless aspiration lowers pitch predictably	Palula aspirated-sonorant comparisons do not all give L; chronology and contact matter
KAL-03	Kalkoti	taár, deéd, yeé beside tóoru, déedi, yéei	https://journals.dartmouth.edu/journals/xmlpage/1/article/423?htmlOnce=yes	Liljegren2013 pp143–144	Full primary paper; page images	Loss of unaccented final vowels is associated with new final H and utterance-final glottalization	Historical causal direction glottalization→tone is less secure than the correspondence
KAL-04	Kalkoti	Early Palula accent: unmarked; late: early H	https://www.diva-portal.org/smash/get/diva2%3A1772061/FULLTEXT01.pdf	Hultman2023 pp16–20	Original comparison tables	Tooth/blood/seed versus wood/boy/song support an inherited layer under new tones	Small explicit sample; wood differs between2013 and2023; meéš and ràat remain residuals
KAL-05	Kalkoti	Retained aa/ee/oo and new long aa	https://doi.org/10.5617/ao.5341	Liljegren2009 pp39–40	Original comparison tables	taar/goor/eer retain older qualities; taat/baaṭ/kaan show lengthened a	The2009 table does not provide a reliable tone analysis; quality correspondence is not mora-accent identity
SAW-01	Sawi	71-noun contour comparison	https://www.diva-portal.org/smash/get/diva2%3A1055060/FULLTEXT01.pdf	Gomes2014 pp19–23	Full study and results read	28 basic and26 inflected matches, mostly coinciding with common final prominence	One speaker; nouns only; tests are not a chance-controlled historical model; another tone system remains possible
SAW-02	Sauji	Vowel quantity and uninvestigated stress	https://www.diva-portal.org/smash/get/diva2%3A1440556/FULLTEXT01.pdf	Knobloch2020 pp12–15	Original text and p13 page image	Only a/aː is a pure quantity opposition; orthographic ee=/e/ versus e=/ɛ/	No full stress/accent analysis; naːm name differs from Liljegren2009 nom
USH-01	Ushojo	Reported Shina-type accent and advancement	https://doi.org/10.1075/z.189.01baa	Baart2014, Tone and stress in North-West Indo-Aryan: A survey	Public full chapter read	Places Ushojo with Shina-type systems despite Torwali contact	Accessible data do not support an independent detailed Ushojo sound-change chronology
USH-02	Ushojo	Earlier survey's uncertain tone and aspiration	https://www.sil.org/system/files/reapdata/10/84/73/108473746620733697887240640040710459748/32836_SSNP01.pdf	Decker1992 pp65,70–75,193–194	Public original PDF page images in browser	No tonal analysis attempted; instrumental hint of tone; doːn/noːm/ˈɽɑːti segmental forms	Twelve days of survey visits; faint aspiration tokens across ages16–60 do not date a generational loss
BRO-01	Brokskat	No rising contour detected; stress notation used	https://www.wisdomlib.org/uploads/journals/acta-orie/vol-69-2008/7372-6759-23258.pdf	Schmidt/Kaul2008 p234,pp260–261,276	Original text and page images	Possible merger/restructuring; printed hot is ˈtaato, not digital taáto	Falls could reflect list intonation; citation list is not an exhaustive paradigm/acoustic test
BRO-02	Brokskat	Mostly predictable vowel length in an independent description	https://pahar.in/indian-subcontinent-books/	Sharma1998 pp33–35	Public original PDF page images in browser	Grammar principally admits contrastive length in i/u	No adequate acoustic accent paradigms; cannot date a historical tone merger
DRA-01	Drasi	Stress notation and identical-vowel sequences	https://www.aa.tufs.ac.jp/~tjun/shina/Grammar_of_Shina_Language_And_Vocabulary.pdf	Rajapurohit2012 pp28–33	Original PDF and relevant page images	áʐo cloud versus aʐó inside; accent placements in identical-vowel diphthongs	Field data began in1970s; terminology stress does not establish tone loss
ETY-01	Palula eye	akṣī́ dual as input to ac̣híi	https://michaelmeyer.fr/sanskrit/meta/terms/ak%E1%B9%A3i	Monier-Williams s.v.akṣi; Palula dictionary	Accented dictionary entry checked	Attested dual supplies final long accented vowel	Number/gender remodeling and kṣ history remain necessary; no claim of scholarly priority
ETY-02	Palula load	bhára versus bhārá/bhāraka	https://dsal.uchicago.edu/dictionaries/soas/	Turner9393,9459; Palula bháaru	Existing source entries and dictionary forms	Short accented bhára plus extension predicts aa rather than raised oo	The required short-vowel extension is unproved; long bhāraka is attested
ETY-03	Palula self	zaán as possible Iranian loan	https://www.rekhta.org/urdudictionary?keyword=jaa.n	Platts jān; Pashto ځان; Palula vocabulary pp163–164	Dictionary meaning and original Palula page images	Long vowel/reflexive meaning and z versus inherited ǰáanu motivate loan hypothesis	ǰaán variant and native mobile ǰaní; donor unresolved; Pashto dzāˈe corresponds to Palula zhaáy/zhayí, requiring a different adaptation or borrowing history for zaán
ETY-04	Palula boy	phoó need not uniquely force an aa-to-oo derivation	https://doi.org/10.5617/ao.5341	Liljegren2009 p24; Turner8399 printed477; Palula2016 p124	Original paper and Turner page images	*pháa→*phóo→phoó requires late advancement if aa input holds	Turner's *phōta already has o with unspecified accent; irregular phaayá plural remains
ETY-05	Palula source inputs	nāḍī́; drā́kṣā/drākṣā́; skandhá/skándhas	https://siraiki.com/wp-content/uploads/2025/01/Turner-A-Comparative-Dictionary-of-the-Indo-Aryan-Languages-1966-1969_compressed.pdf	Turner7047 p404;6628 p378;13627 p785	Original page images checked	Entry families contain competing quantities, accents and formations	Do not substitute alternatives solely to fit an outcome; skándhas does not solve mountain's retroflex nasal
OLD-01	Pre-Vedic input	Dybo's older-accent hypothesis	https://www.rsuh.ru/upload/main/vestnik/fvir/Vestnik-16_11.pdf	Dybo2011 pp200–210, especially202–206	Original paper read	External Indo-European comparisons could distinguish pre-Vedic retention from later retraction	Palula mobile poison/tongue and divergent Shina kidney paradigms oppose an unchanged family-wide fixed class
OLD-02	Pre-Vedic input	Kulikov's criticism	https://www.rsuh.ru/upload/main/vestnik/fvir/Vestnik-16_11.pdf	Kulikov2011 pp210–211	Original reply read	Challenges parts of Dybo's verbal morphology and etymological reconstruction	Does not automatically refute every nominal comparison; nominal plausibility does not validate all verbal reconstructions
SH-18	Shina cluster controls	Gilgiti sat versus taáto; Kohistani/Astori baát; Gilgiti leéc̣ versus Kohistani léec̣i	https://www.wisdomlib.org/uploads/journals/acta-orie/vol-69-2008/7372-6759-23258.pdf	2008 pp244–245 n17,263,271,277,282	Original page images checked	Additional proposed compensation example; short versus long outcomes require cluster/formation/word-boundary control	Gilgiti bat loan proposal predates knowledge of Astori baát but still needs a borrowing history; short letra intermediate is reconstructed, not attested
SAW-03	Sauji and Brokskat	Accent-marked connected-text examples in a recent abstract	https://researchmap.jp/sakuraishikawa/presentations/51401293/attachment_file.pdf	Liljegren2025 abstract PDF pp6–7, examples1–2	Original abstract text	Sauji pi-eé and ǰandraw-eé identify current prosodically marked material	No tonal analysis or minimal-pair test; notation alone does not prove retention or refute Gomes
PAL-STRAND-01	Palula competing late-accent history	Strand 233-word OIA-accent comparison; 283 final-late forms	https://nuristan.info/PDFs/Strand%20-%20Phonatory%20Location-2016-06-07.pdf	2016 preprint p22 Table28 and following paragraph	Original PDF page image and text checked	Old noninitial: 37 late/63 early; old initial: 4 late/129 early; at least180/283 final-late words are loans; Strand proposes loan-induced offset habit and suffix extension	37/233 is whole-sample share;37/100 is conditional share, neither an adjusted historical success rate. Loan adaptation can target an existing pattern. Individual matched formations, quantities, paradigms and borrowing periods needed
PAL-STRAND-02	Palula source variation	pʹûtr/pʹûtra versus putr/putrá; ghâʹnu versus gháanu	https://nuristan.info/IndoAryan/Indus/Atsaret/AtsaretLanguage/Lexicon/phon.html	Phonation and Laryngeal Accent; Figures2 and9; transcription updated3June2011	Author phonology text read; examples explicitly labeled in source	Independent source has fixed long early son and late big	Do not pool as the same source datum or infer a dated language change from publication chronology; source, speaker and transcription variation unresolved
PAL-STRAND-03	Palula relative vowel chronology	Old ee raising before umlaut; umlaut probably before aa rounding	https://nuristan.info/IndoAryan/Indus/Atsaret/AtsaretLanguage/Lexicon/phon.html	Vocalic Processes within the Word and note1	Author phonology text read	dʹôdo/dʹêdi, *dʹâdo; serial ee→ii precedes aa→ee umlaut; umlaut before aa→oo avoids needing oo fronting	Author acknowledges exceptions and repeated cascades; morphological extension can preserve/recreate alternations, so no unique dating of all instances
PAL-NUM-01	Palula and Shina teen compounds	Regular older aa/ee versus raised oo/ii; possible series analogy	https://doi.org/10.17169/langsci.b82.85	Palula2016 p163 Table7.16; dictionary morphemic forms; Shina2008 p275; Turner6001 p342	Original Palula, Shina and Turner page images checked	11/12/17/18 have aa:oo;13–16 ee:ii. Proposed analogical accent on contracted teen ending has compatible old12/18 models; Shina11/15 also restructured	Not a complete contraction law; ee distribution and chandish consonants unresolved. Turner *trayēdaśa is not accent-marked, unlike the Palula etymological label
PAL-Q-01	Kohistani Shina and Palula deaccenting	Long vowel shortening when accent shifts	https://doi.org/10.17169/langsci.b82.85	Palula2016 pp79–80,233 Table9.38; Kohistani2008 pp47–50	Original grammar tables checked; Palula233 page image checked	Kohistani kaál/kalí; Palula utrap-áai/utrap-ai-nií require quantity adjustment with accent displacement	Class-specific: deesá retains long ee; some aa:a alternations can instead originate by lengthening only accented a
PAL-R-01	Palula night consonants	Morgenstierne dissimilated *rātti	https://mahraka.com/pdf/Notes%20on%20Phalura.pdf	1941 p15 §20	Original high-resolution page image checked; OCR initially misleading	Proposed tr→tt in already r-initial night explains absent second r without general tr loss	Does not explain late raát or its opposition to early róot; reconstructed *rātti is not an attested intermediate
SH-CL-01	Shina consonant history	Distinct outcomes of old sth and ṣṭ(h); asthi-ka rather than lexicographic aṣṭhi for bone	https://doi.org/10.30687/bhasha/2785-5953/2024/02/002	Halfmann2024 pp203–206, especially p205 n27	Publisher PDF text; original p205 image	Gilgiti ã́ṭi; Shina th- do; regional distribution and Gāndhārī orthographic evidence	Not an independent accent derivation; secondary nasalization and aspiration loss need stages; Palula haáḍ belongs to haḍḍa-family
