id	status	domain	input	output	conditioning	ordering	central_evidence	unresolved_limit
C8	Supported restricted vowel correspondence	Ashret/Biori Palula	*au; *ai	Ashret uu versus Biori aa from au; e from ai	Specified diphthong histories	Must distinguish diphthongs from inherited long monophthongs	Father-in-law šúur/šáar with ša(w)úra; be we	Not a complete monophthongization law for every source spelling; formation and accent still matter
V1	Supported core reconstruction, boundary qualification	Earlier Palula open syllables	Accented a; early aa; early ee; early oo	aa; Ashret oo/Biori uu; ii; uu	Core accented open-syllable environment; internal NC inflections require further analysis	Old and new vowels remain distinct; serial raising-before-lengthening is one implementation	B kram/kráama, méeš/míiša; A/B comparative vowels	No proof of discrete stages; parallel branch shifts possible; internal-NC analogy/syllabification unsettled
V2	Supported restricted reconstruction	Later Ashret closed syllables	Early aa; early ee	oo; ii	First-mora accent	Later than the core open-syllable differences; does not raise newly lengthened a in the same way	A/B contrasts and díiš requiring an earlier early-ee stage	Old late aa/ee retain quality; source etymologies do not all supply the immediate input
V3	Supported nominal pattern; historical limits	Later Ashret closed syllables	Accented short a	aá after aspiration or a preceding unaccented syllable; otherwise áa	Late short-a lengthening; h counts among aspirated onsets	After earlier open-syllable lengthening; aspiration must be present at the relevant stage	haát/háata, basaánd, báaṭ/baṭá; restricted36-entry descriptive audit	kháaṇ and dhráac̣ unresolved; modern short morphemes alone do not prove ancient short a; imperatives differ systematically
V4	Supported accent-conditioned correspondence	Biori closed syllables	Early óo	úu	First-mora accent	Separate from Ashret closed aa/ee raising	trúu versus retained late phoó	Dates of individual long vowels are not uniform
V5	Supported segmental correspondence	Kalkoti	Short a; older aa/ee/oo	Long aa; older qualities retained in cited families	Open and closed a in the2009 comparison	Independent branch history; must be combined with later tone evidence	taat, baaṭ, kaan; taar, eer, goor	The2009 examples do not by themselves establish tonal outcomes
V6	Supported broad segmental account	Sawi	Older aa/ee/oo and high-vowel quantity contrasts	o/i/u and reduced high-vowel quantity contrasts	Western comparison; later orthography distinguishes ee=/e/ from e=/ɛ/	Raising and quantity merger must be distinguished	Liljegren2009; Knobloch2020 vowel system	nom versus naːm name opposes an exceptionless modern mapping; accent loss is not proved to be caused by quantity merger
V7	Provisional correspondence	Main Shina varieties	Short a in nasal environments	o	Several closed stems; exact accent, cluster and compound conditioning unresolved	In work/skin, r must first move/disappear if the nasal condition is immediate	Tooth, ear, work, skin, five, path, snake	Mountain varies; fifteen a versus Guresi thumb o; cannot extend to every long aa or infer accent class from vowel quality
U1	Supported mechanism with multiple layers	Palula; independently Kundal Shahi and Kalkoti	Back vowel before later i	Fronted vowel	Palula primarily aa→ee; Kundal Shahi also shorter/other back vowels	Older Palula layer follows ee→ii and probably precedes aa→oo (Strand); umlaut precedes trigger deletion; later productive extension is possible	Strand dʹôdo/dʹêdi; táatu/téeti, kitaáb/kiteebí; almaaríi/almɛɛ́r	Similar umlaut does not prove one shared innovation; newer ee need not enter older raising
K1	Supported tonogenetic correspondence	Kalkoti	Voiced aspiration or h	Lexical low tone with loss of aspiration	Historical voiced aspirated onsets; surviving voiceless aspiration causes predictable low pitch	Aspiration must be present before its loss leaves a tonal distinction	bùun becomes/buun goes; gìin, lùun, ḍä̀är	Palula mh/nh/rh comparisons are not uniformly low; secondary aspiration and loans remain possible
K2	Provisional inherited-accent correspondence	Kalkoti	Old early versus late Palula-type accent	Unmarked versus early H	Small explicitly compared inherited sample	Working model places retiming/simplification before newly introduced final H	daan/raat/bii versus šáak/púu/róo	Wood conflicts across descriptions; an unmarked glossary form may reflect recording uncertainty
K3	Supported correspondence; causal direction tentative	Kalkoti	Word with unaccented final vowel	Apocope plus new final H, often utterance-final glottalization	Deletion of an unaccented ending, distinct from A1	New H follows or accompanies the late apocope; old vowel quality history separate	taár/tóoru, deéd/déedi, yeé/yéei	meéš lacks the expected visible Palula ending; glottalization→tone direction is not uniquely demonstrated
KS1	Supported productive truncation	Kundal Shahi	Accented final -íi	Short -í or zero with retained stem effects	Feminine nominal truncation in cited paradigms	Umlaut precedes complete trigger loss; surviving pitch depends on available stem material	thuuníi/thuún; batíi/bɛ̀t; kursíi/kürsí	Short stems may be low or post-accenting; not the same docking rule as Palula
M1	Morphological regularity, not an independent proven sound change	Palula imperatives	Verbal stems in imperative formation	Early accented aa, with other inherited-looking vowel alternations	Explicitly supplied aa imperatives and grammar's imperative paradigm	Possible leveling from other accented stem forms; historical date undemonstrated	34 early-aa imperatives including aspirated and pretonic environments	Do not count them as34 unrelated exceptions or invent a separate phonetic rule without a morphological account
P1	Provisional earlier accent change	Selected Shinaic families	Accented short vowel followed by an old long vowel	Accent on the long vowel	Only if old quantity, accent and comparable formation are independently known	Final-vowel loss can remove proposed triggers; ordering needs evidence	áṅgāra→angóor/agáar/aṅgáaru	káḍāra is formation-confounded; pánthā/síkatā oppose applying the rule directly to all Sanskrit labels
P2	Merger/restructuring hypothesis, no complete rule	Sawi and Brokskat	Inherited Shinaic prosodic distinctions	Reduced or reorganized contrasts	Language-specific evidence, not all speakers/word classes established	No secure dates or complete merger sequence	Gomes noun experiment; Brokskat contour observations and competing quantity description	Sawi alternative tone systems and Brokskat untested paradigms remain open
P3	Documentary gap	Ushojo	Reported Shina-type lexical accent	No language-specific chronology reconstructed	Requires accent-marked cognates and paradigms	Unknown	Baart's survey; Decker's preliminary tonal observations	Unmarked older wordlists cannot establish accent loss, tonelessness or a specific tonogenetic sequence
M2	Provisional morphological/contact mechanism, not a proven sound change	Palula borrowed and native vocabulary	Loans with final accent	Late contour and possible extension to native endings	Requires identifiable borrowing layers and models for extension	A loan concentration does not uniquely date the origin of the contrast	Strand2016 preprint p22: at least180/283 final-late forms are loans	Loans may have entered an existing accent class; 233-word aggregate OIA comparison does not control formation/quantity histories
V8	Supported restricted quantity mechanism	Kohistani Shina inflection and specified Palula formations	Accented long vowel	Shorter vowel when accent shifts away	Particular accentual classes and formations, not all unaccented vowels	Accent displacement precedes or accompanies shortening	kaál/kalí; utrap-áai/utrap-ai-nií	Palula deesá retains length; modern aa:a can also continue older lengthening restricted to accented forms
C9	Provisional segmental reconstruction	Palula night family	r...tr	r...tt, then single t	Dissimilation in an already r-initial word; reconstructed by Morgenstierne	Before final modern r-less stem; accent/quantity chronology separate	rā́trī; Morgenstierne *rātti; Palula róot	Does not explain late raát versus early róot; no claim that every tr cluster simplifies
M3	Provisional analogical mechanism, not a sound change	Palula teen numerals; related Shina forms	Contracted numeral compounds	Shared accent on the contracted teen ending	12/18 are compatible old models; 11/14/15/16 need changed accent	Before Palula aa→oo and ee→ii if the reconstructed stems are correct	akóoš/bóoš/satóoš/aṣṭóoš and tríiš/čandíiš/panǰíiš/ṣoṛíiš; Shina akáai/panzéy	Exact contractions and distribution of ee need explanation; Turner *trayēdaśa has no accent mark; not a complete numeral sound law
C10	Supported regional consonant account; not an accent law	Shina and related northwestern Indo-Aryan	Initial sth; internal sth/rth	th-; -ṭṭh- with later branch reductions	Original aspiration and word position; do not merge with st or ṣṭ(h)	Assimilation precedes later loss of aspiration and nasal developments	Gilgiti ã́ṭi bone, Shina th- do; Halfmann2024 pp203–206	Extended asthi-ka formation does not independently establish its accent; Palula haḍḍa-family bone is a separate etymon
