jambu_id	headword	gloss	turner	morphemic_form	literal_modern_short_a_alternation	aspirated_onset	pretonic_syllable	prediction_if_late_lengthening	observed	matches_prediction	source_marks_loan	etymology	inflection
f_haktt2flulack	daalaán	yard (outside house)			False	False	True	late	late	True	False		Inflection: i-decl (Obl, pl): daaleení
f_7fzbbwvnqq5lw	dáand	tooth	6152	dánd	True	False	False	early	early	True	False	dánta- 'tooth (masc)' (T: 6152)	Inflection: a-decl (Obl, pl): -a; Morphemic form: dánd
f_37y7iic4geeuy	dáand	hill side, peak, ridge	6724	dand	True	False	False	early	early	True	False	dhánu- 'dry land (fem); desert (masc)' (T: 6724)	Inflection: a-decl (Obl, pl): dandá; Morphemic form: dand
f_ma7oj2akp5mry	dáar	door	6651	dar	True	False	False	early	early	True	False	*dvara- 'door' (T: 6651)	Inflection: a-decl (Obl, pl): dará; Morphemic form: dar
f_waocajzlrcmyc	damdaár	appreciated			False	False	True	late	late	True	True	Origin: Persian 'comet'?: dum-daar	
f_6i4l5b5ognq26	dauraán	time period; phase			False	False	True	late	late	True	False		Inflection: i-decl (Obl, pl): daureení
f_xsgviuu6boc64	dhaán	goat (generic)		dhan	True	True	False	late	late	True	False		Inflection: a-decl (Obl): dhaná; Morphemic form: dhan; Usage: With plural reference
f_6i2i2vzpxitxg	dhaataár	fire place	6888	dhaatár	True	False	True	late	late	True	False	*dhmātra- 'fireplace' (T: 6888)	Inflection: a-decl (Obl, pl): dhaatará; Morphemic form: dhaatár
f_4jhbdvr5gy67e	dharaáṇ	ground; earth	6744	dharáṇ	True	False	True	late	late	True	False	dharáṇī- 'ground (fem)' (T: 6744)	Inflection: i-decl (Obl): dharaṇí; Morphemic form: dharáṇ
f_ttp3lv4oskdly	dhiaáṛ	pieces of rock; collection of stones in one place			False	False	True	late	late	True	False		Inflection: i-decl (Obl): dhieeṛí
f_yzdlwulp7kem2	dhráac̣	grape	6628	dhrac̣	True	True	False	late	early	False	False	drā́kṣā- 'vine, grape (fem)' (T: 6628)	Inflection: a-decl (Obl, pl): -a; Morphemic form: dhrac̣
f_ozxoc7v6tqizy	dhrumanaám	early evening (appr. 6-7 pm)			False	False	True	late	late	True	False		
f_xap43gnjpdgxs	dimaáɣ	brain; mind			False	False	True	late	late	True	True	Origin: Urdu/Persian (Arabic): dimaaɣ	Inflection: i-decl (Obl): dimeeɣí
f_4347nhvpndvda	dukaán	shop, store			False	False	True	late	late	True	True	Origin: Urdu (Persian): dukaan	Inflection: i-decl (Obl, pl): dukeení
f_zmogscvzmmmha	dukaandaár	shopkeeper			False	False	True	late	late	True	True	Origin: Urdu/Persian: dukaan-daar	Inflection: aan-decl (Obl): -á, (Pl): -aán
f_riq6shcudjksk	durbaáṭ	pot			False	False	True	late	late	True	False		Inflection: i-decl (Obl, pl): durbaṭí
f_mevndyazmie3m	duṣmaán	enemy			False	False	True	late	late	True	True	Origin: Pashto (Persian): duxman	Inflection: aan-decl (Obl): duṣmaná, (Pl): duṣmanaán
f_n3bocqps2kva2	ḍáab	plateau, plain area on top of a hill		ḍab	True	False	False	early	early	True	False		Inflection: i-decl (Obl, pl): ḍabí; Morphemic form: ḍab
f_ngs5aomfmojuu	ḍáag	markhor (a species of wild goat)		ḍag	True	False	False	early	early	True	False		Inflection: a-decl (Obl, pl): ḍagá; Morphemic form: ḍag
f_sobuihoreppgk	eetibaár	guarantee; trust			False	False	True	late	late	True	True	Origin: Urdu (Arabic): etibaar	
f_6thcsf3w6ho4w	faaidadaár	profitable, useful			False	False	True	late	late	True	False		
f_yul4byzkag7im	ɣaár	(large) cave			False	False	False	early	late	False	True	Origin: Urdu (Arabic): ɣaar	Inflection: i-decl (Obl, pl): ɣeerí
f_gylv2zfgesifi	haáḍ	bone	13952	haḍ	True	True	False	late	late	True	False	haḍḍa- 'bone (neut)' (T: 13952)	Inflection: a-decl (Obl, pl): háaḍa; Morphemic form: haḍ
f_nh34cikdbtqdu	haál	plough	14000		False	True	False	late	late	True	False	halá- 'plough (masc.neut)' (T: 14000)	Inflection: a-decl (Obl, pl): halá
f_j3ypcfayd3sri	haál	hall			False	True	False	late	late	True	True	Origin: Urdu (English): haal	Inflection: i-decl (Obl, pl): heelí
	haál	condition			False	True	False	late	late	True	True	Origin: Urdu (Arabic): haal	
f_qvus2ivqgr7ks	haalaát	condition; situation			False	False	True	late	late	True	True	Origin: Urdu (Arabic): haalaat	Inflection: i-decl (Obl, pl): haalatí
f_iwnmmgfsmstdq	haalhawaál	situation; news			False	False	True	late	late	True	False		
f_enduuhx4of64m	haár	defeat			False	True	False	late	late	True	False		Inflection: i-decl (Obl, pl): haarí
f_oevcjtgw3t5bo	haát	hand	14024	hat	True	True	False	late	late	True	False	hásta- 'hand (masc); forearm as measure of length' (T: 14024)	Inflection: a-decl (Obl, pl): háata; Morphemic form: hat
f_x256yppoxv4s6	haáṭ	flour	1338		False	True	False	late	late	True	False	*ārta- 'flour; food' (T: 1338)	Inflection: a-decl (Obl): -á
f_rezfmesnerung	hairaán	surprised			False	False	True	late	late	True	True	Origin: Urdu (Arabic): hairaan	
f_2hpgsqsmujvso	heewaánd	winter	14164	heewand-	True	False	True	late	late	True	False	hēmantá- 'winter' (T: 14164)	Inflection: a-decl (Obl, pl): heewandá; Morphemic form: heewand-
f_6tgwnoodhrkjg	hiimaál	glacier, packed snow; avalanche			False	False	True	late	late	True	False	*himacala- 'avalanche'	Inflection: i-decl (Obl, pl): hiimeelí
f_ksbh2zqg2ynjy	hooṭalwaál	hotel owner, innkeeper			False	False	True	late	late	True	False		Inflection: aan-decl (Obl): hooṭalwaalá, (Pl): hooṭalwaalaán
f_4ksth34gxekg4	ilaán	announcement			False	False	True	late	late	True	True	Origin: Urdu (Arabic): elaan	Inflection: i-decl (Obl): ileení; Usage: Primarily used as a non-verb element in complex predicates
f_oopmhew6iiosg	imtihaán	examination, test			False	True	True	late	late	True	True	Origin: Urdu (Arabic): imtehaan	Inflection: i-decl (Obl, pl): imtiheení
f_mw6pphenk7jtc	inaám	gift			False	False	True	late	late	True	True	Origin: Urdu (Arabic): inaam	Inflection: i-decl (Obl, pl): ineemí
f_62pfb2txpruqi	inkaár	refusal			False	False	True	late	late	True	True	Origin: Urdu (Arabic): inkaar	Inflection: i-decl (Obl, pl): -í; Usage: Primarily used as a non-verb element in complex predicates
f_zbdmmt6wyvn2q	insaáf	justice			False	False	True	late	late	True	True	Origin: Urdu (Arabic): insaaf	Inflection: i-decl (Obl, pl): inseefí
f_5p3uh3grfgwjk	insaán	human being, man; person			False	False	True	late	late	True	True	Origin: Urdu (Arabic): insaan	Inflection: aan-decl (Obl): -á, (Pl): -aán
f_5bm3wkpvr27dw	intizaár	waiting			False	False	True	late	late	True	True	Origin: Urdu (Arabic): intizaar	Inflection: i-decl (Obl, pl): intizeerí; Usage: Primarily used as a non-verb element in complex predicates
f_ld4mfv3ncdgp6	islaám	Islam			False	False	True	late	late	True	True	Origin: Urdu (Arabic): islaam	Inflection: i-decl (Obl): isleemí
f_4yg7lokbk2w5g	islaamabaád	Islamabad (the capital of Pakistan)			False	False	True	late	late	True	False		Inflection: a-decl (Obl): -á
f_y4k6pkpg463jm	izraáṇ	rainbow	1577		False	False	True	late	late	True	False	indradhanúṣ- 'rainbow' (T: 1577)	Inflection: i-decl (Obl): izreeṇí
f_5ymjqfies66eq	ǰaaidaád	property, estate			False	False	True	late	late	True	True	Origin: Urdu (Persian): ǰaaˈedaad	Inflection: i-decl (Obl, pl): ǰaaideedí
f_ac6wipepaczv2	ǰáar	fever	5303	ǰar	True	False	False	early	early	True	False	jvará- 'fever (masc)' (T: 5303) ; *jvāra- 'burning' (T: 5311)	Inflection: a-decl (Obl): ǰará; Morphemic form: ǰar
f_nuiq6pm44txcq	ǰahaáz	aeroplane; vessel			False	True	True	late	late	True	True	Origin: Urdu (Arabic): ǰahaaz	Inflection: i-decl (Obl, pl): ǰheezí
f_kbddrctgnldfe	ǰamaát	class, grade			False	False	True	late	late	True	True	Origin: Urdu (Persian/Arabic): ǰamaaˈat	Inflection: i-decl (Obl, pl): ǰameetí
f_47u3ly3ybbxl6	ǰanǰaál	quarrel; war			False	False	True	late	late	True	False		Inflection: i-decl (Obl, pl): ǰanǰeelí
f_a5s3m5ze2mbq6	ǰazbaát	emotion, feeling			False	False	True	late	late	True	True	Origin: Urdu: ǰazbaat	Inflection: i-decl (Obl, pl): ǰazbeetí
f_4is2ibguxjqkg	ǰhaáṭ	goat's hair; fur	5334	ǰhaṭ	True	True	False	late	late	True	False	*jhāṭṭha- 'hair' (T: 5334)	Inflection: i-decl (Obl (pl)): ǰhaṭí; Morphemic form: ǰhaṭ; Restriction: With plural reference
f_qrcbyjf3u4hkk	ǰhangaár	liver	10394		False	False	True	late	late	True	False	yákr̥t- 'liver (neut)' (T: 10394)	Inflection: i-decl (Obl, pl): ǰhangarí
f_5tiaysbvfnsmo	ǰuaár	maize			False	False	True	late	late	True	False		Inflection: i-decl (Obl, pl): ǰueerí
f_mrh5mss5kvm6s	ǰumaát	mosque			False	False	True	late	late	True	True	Origin: Urdu (Persian/Arabic): ǰamaaˈat	Inflection: i-decl (Obl, pl): ǰumeetí
f_tlhhnxieqkxe4	káac̣	straw; hay	2589	kac̣-	True	False	False	early	early	True	False	kákṣa- 'undergrowth; dead wood; grass (m)' (T: 2589)	Inflection: a-decl (Obl, pl): -a; Morphemic form: kac̣-
f_s5x526o46hyeo	kaaɣaáz	paper			False	False	True	late	late	True	True	Origin: Urdu (Persian): kaaɣaz	Inflection: i-decl (Obl, pl): kaaɣazí
f_gvgeozgrhtvj4	kaál	year	3084		False	False	False	early	late	False	False	kālá- 'time; fixed point of time; fate, death (masc)' (T: 3084)	Inflection: a-decl (Obl, pl): -á
f_nr53tpjnfb66y	káand	shoulder	13627	kand, kan	False	False	False	early	early	True	False	skandhá- 'shoulder, upper part of back; trunk of tree, mass (esp. of an army) (masc)' (T: 13627)	Inflection: a-decl (Obl, pl): kaná; Morphemic form: kand, kan
f_riwftdprddvuk	káaṇ	ear	2830		False	False	False	early	early	True	False	kárṇa- 'ear, handle of a vessel; end, tip(?) (masc)' (T: 2830)	Inflection: a-decl (Obl, pl): -a
f_kzijgydys2cfy	kakuaakmaáṇ	hen-coop			False	False	True	late	late	True	False		Inflection: i-decl (Obl, pl): kakuaakmeeṇí
f_simwwkbsatsx4	kalighaáṣ	big centipede			False	True	True	late	late	True	False		Inflection: i-decl (Obl, pl): kaligheeṣí
f_o7ny5fqgyqd5q	kaṛaáw	effort; extra work, burden			False	False	True	late	late	True	False		Inflection: i-decl (Obl, pl): kaṛeewí
f_p3fxnmy54zllg	kasaán	persons, people			False	False	True	late	late	True	True	Origin: Pashto (Persian): kas, kasaan	Restriction: With plural reference
f_34cev3avisiky	khaamaád	owner; husband			False	False	True	late	late	True	False		Inflection: a-decl (Obl, pl): khaamadá
f_ma6j5px33fee6	kháaṇ	mountain; mountain pass; Lowari Pass	3792		False	True	False	late	early	False	False	khaṇḍá- 'broken, crippled; having gaps or chasms; fragment (masc.neut)' (T: 3792) ; skandhá- 'shoulder, upper part of back; trunk of tree, mass (esp. of an army)' (T: 13627)	Inflection: a-decl (Obl, pl): -a
f_wtijmo6m4yece	khaár	donkey	3818	khar	True	True	False	late	late	True	False	khara- 'donkey (masc)' (T: 3818)	Inflection: a-decl (Obl, pl): khará; Morphemic form: khar
f_hosowncdj6bl2	khangaár	sword		khangár	True	False	True	late	late	True	False		Inflection: a-decl (Obl, pl): khangará; Morphemic form: khangár
f_lezpxxbwq73r4	kitaáb	book			False	False	True	late	late	True	True	Origin: Urdu (Arabic): kitaab	Inflection: i-decl (Obl, pl): kiteebí
f_7hyftv5pgyvaa	kráam	work; deed, behaviour	2892	kram	True	False	False	early	early	True	False	kárman- 'act, work (neut)' (T: 2892)	Inflection: a-decl (Obl, pl): -a; Morphemic form: kram
f_6j7bwjs46dzhc	kundaák	rifle butt; part of plough			False	False	True	late	late	True	False		Inflection: i-decl (Obl, pl): kundakí
f_pbkxduefswzwe	kuṇaák	child; boy			False	False	True	late	late	True	False		Inflection: a-decl (Obl, pl): -á
f_ws3wlawve5lpi	laawaáṇ	broth; soup			False	False	True	late	late	True	False		Inflection: i-decl (Obl): laaweeṇí
f_23sun5dwzxjiq	lhaáṣṭ	plain or flat area			False	True	False	late	late	True	False		Inflection: i-decl (Obl, pl): lhaṣṭí
f_pxbk4zgdimlww	lhoilaár	redness			False	False	True	late	late	True	False		Inflection: i-decl (Obl): lhoileerí
f_t44tfuzy6fyno	maáf	excuse			False	False	False	early	late	False	True	Origin: Urdu (Persian/Arabic): moˈaaf, maaf	Inflection: i-decl (Obl, pl): -í; Usage: Primarily used as a non-verb element in complex predicates
f_ee3jfeekcki2u	maaldaár	rich, wealthy			False	False	True	late	late	True	True	Origin: Urdu (Arabic and Persian): maal-daar	
f_ben4njjx7vqda	maalumaát	information			False	False	True	late	late	True	True	Origin: Urdu (Arabic): maluumaat	Inflection: i-decl (Obl, pl): maalumeetí
f_xjiinmx2pfobe	maaxaám	evening (appr. 6 to 7 pm)			False	False	True	late	late	True	True	Origin: Pashto: maaxaam	Inflection: i-decl (Obl, pl): maaxamí
f_gaedx6eqsry5g	maxluqaát	creature, living being			False	False	True	late	late	True	True	Origin: Urdu (Arabic): maxluuqaat	Inflection: i-decl (Obl, pl): -í
f_rsmxtt74fwrvc	mehmaán	guest			False	True	True	late	late	True	True	Origin: Urdu (Persian): mehmaan	Inflection: aan-decl (Obl): -á, (Pl): -aán
f_nlvpea42ce6sy	mhaás	meat, piece of flesh	9982		False	True	False	late	late	True	False	mām̆sá- 'flesh (neut)' (T: 9982)	Inflection: a-decl (Obl, pl): -á
f_prxoypkhk6au4	mheerabaán	thank, thanks			False	False	True	late	late	True	True	Origin: Urdu (Persian): mihrbaan, mehrbaan	Inflection: i-decl (Obl, pl): mheerabeení; Usage: Primarily used in its plural form, often in polite exchanges of greetings.
f_dfn7khd5ytara	misaál	example			False	False	True	late	late	True	True	Origin: Urdu (Arabic): misaal	Inflection: i-decl (Obl, pl): miseelí
f_w7mvth3bi2g4m	mulaaqaát	meeting, encountering			False	False	True	late	late	True	True	Origin: Urdu (Persian/Arabic): mulaaqaat	Inflection: i-decl (Obl, pl): mulaaqeetí; Usage: Primarily used as a non-verb element in complex predicates
f_ksbd2bhpxexq2	mulhaán	mullahs; religious scholars (irr plural)			False	True	True	late	late	True	False		
f_mkh4fvcir6lew	mumtaáz	superior			False	False	True	late	late	True	True	Origin: Urdu (Arabic): mumtaaz	
f_6andetkqqw5vw	muṣkaáṛ	crack, mouse (or snake) hole			False	False	True	late	late	True	False		Inflection: i-decl (Obl, pl): muṣkaṛí
f_zijj6calecfmk	naakaám	failed, useless			False	False	True	late	late	True	True	Origin: Urdu: naa-kaam	
f_iu66i4pnaulcm	náaṛ	stream			False	False	False	early	early	True	False		Inflection: i-decl (Obl, pl): naṛí
f_ujvlyk74hm24w	náas	nose	7031		False	False	False	early	early	True	False	*nastī- 'nose' (T: 7031)	Inflection: i-decl (Obl, pl): nastí
f_smayma6jnftik	nawaáb	prince (esp. with reference to the ruler of Dir)			False	False	True	late	late	True	True	Origin: Urdu (Arabic): nawwaab, nawaab	Inflection: aan-decl (Obl): -á, (Pl): ́-aán
f_223qkgvx3j4ra	niṣaanaát	indications, signs			False	False	True	late	late	True	False		Restriction: With plural reference
f_awz53ddkgnd7k	nuqsaán	damage			False	False	True	late	late	True	True	Origin: Urdu (Arabic): nuqsaan	Inflection: i-decl (Obl, pl): nuqseení
f_rkjainn5k3nog	oombaár	canal inlet			False	False	True	late	late	True	False		Inflection: i-decl (Obl, pl): oombeerí
f_foip3rz7t2qw4	ooraán	unclean, destroyed, broken			False	False	True	late	late	True	True	Origin: Pashto 'ruined, desolated': waraan	
f_zajbyhrrjxgna	paák	clean; holy; clear			False	False	False	early	late	False	True	Origin: Urdu (Persian): paak	
f_r42ycfa7hqthc	paakistaán	Pakistan			False	False	True	late	late	True	False		Inflection: i-decl (Obl): paakisteení
f_kpvkyqbdrezvw	paalawaáṇ	(athletic) strongman			False	False	True	late	late	True	True	Origin: Persian: pahlawaan	Inflection: aan-decl (Obl): -á, (Pl): -aán
f_tnld5kmccn6za	páam	lamb's wool	7638		False	False	False	early	early	True	False	pákṣman- 'eyelashes; hair of a deer, filament of a flower; petal of a flower; a thin thread (n)' (T: 7638)	Inflection: a-decl (Obl): páama
f_sr7ofangymbyy	páand	path, road	7785	pánd	True	False	False	early	early	True	False	pánthā- 'path, road (masc)' (T: 7785)	Inflection: a-decl (Obl, pl): -a; Morphemic form: pánd
f_6mac74tkfw43k	paás	passed, completed (an examination, etc.)			False	False	False	early	late	False	True	Origin: Urdu (English 'pass')	
f_y6trd5jbegznm	pakaár	of use, necessary, needed			False	False	True	late	late	True	True	Origin: Pashto: pa-kaar	
f_zleetkj5xpykk	palighaáṣ	four year old male goat			False	True	True	late	late	True	False		Inflection: i-decl (Obl, pl): paligheeṣí
f_btqx4timd52qu	paṇaraál	whiteness			False	False	True	late	late	True	False		
f_peyh23hgbodl4	parhaár	wound			False	True	True	late	late	True	True	Origin: Pashto: parhar	Inflection: i-decl (Obl, pl): parheerí
f_vhlyxtyjlf33c	peerišaán	worried			False	False	True	late	late	True	True	Origin: Urdu (Persian): parešaan	
f_uydedshhrm7fw	phaág	fig	9063		False	True	False	late	late	True	False	*phālgu- 'Ficus oppositifolia' (T: 9063)	Inflection: a-decl (Obl, pl): -á
f_bupkoxoe5lo6m	phiaaṛmaáǰ	side; part of back, below shoulder-blade			False	False	True	late	late	True	False		Inflection: i-decl (Obl, pl): phiaaṛmaǰí
f_3wmdxwz3zlsju	pišakaál	the hot season; the 80 hottest days of the summer (appr. 21 Jun-10 Sep)			False	False	True	late	late	True	True	Origin: Pashto 'rainy season': pašakaal	Inflection: a-decl (Obl): -á
f_eriylidlq3u62	práal	light	8711	pral	True	False	False	early	early	True	False	*prabhāla- 'light' (T: 8711)	Inflection: a-decl (Obl): pralá; Morphemic form: pral
f_g6nucgrncxiim	pruugraám	programme			False	False	True	late	late	True	True	Origin: Urdu (English 'programme')	Inflection: i-decl (Obl, pl): pruugreemí
f_lik272sgvn7da	qasaáb	butcher			False	False	True	late	late	True	True	Origin: Urdu (Arabic): qassaab	Inflection: aan-decl (Obl): -á, (Pl): -iaán
f_xvemz4z3alsdy	quraán	the Qur'an			False	False	True	late	late	True	True	Origin: Persian/Urdu (Arabic): quraan	Inflection: i-decl (Obl): qureení
f_65qtgf7zbnfua	qurbaán	sacrifice			False	False	True	late	late	True	True	Origin: Urdu (Arabic): qurbaan	Inflection: i-decl (Obl, pl): qurbaaní
f_pwufykb5b7jkm	ráaǰ	rope	10582	raǰ	True	False	False	early	early	True	False	rájju- 'rope, cord (fem)' (T: 10582)	Inflection: a-decl (Obl, pl): -a; Morphemic form: raǰ
f_yshdh3mtm2ed6	ráal	high	2208		False	False	False	early	early	True	False	*uparalla- 'upper' (T: 2208)	
f_zwahgkgiydy3e	ráang	colour; paint; complexion			False	False	False	early	early	True	False		Inflection: i-decl (Obl, pl): rangí
f_ngygjwbkf7xwa	ráat	blood	10539	rat	True	False	False	early	early	True	False	rakta- 'coloured, dyed; red; blood (neut)' (T: 10539)	Inflection: a-decl (Obl, pl): ratá; Morphemic form: rat
f_5iz34b66lch6i	raát	night (as a measure of time); 24-hour period	10702		False	False	False	early	late	False	False	rā́trī- 'night (fem)' (T: 10702)	Inflection: i-decl (Pl): reetí
f_rwkvrpwahrnk6	rawaán	moving			False	False	True	late	late	True	True	Origin: Urdu (Persian): rawaan	Usage: Primarily used as a non-verb element in complex predicates
f_wrbm4lkflf2p4	rhoošnaám	morning			False	False	True	late	late	True	False		Inflection: i-decl (Obl): rhoošneemí
f_pke6tngkb2kbc	rikaáḍ	recording; record			False	False	True	late	late	True	True	Origin: Urdu (English 'record')	Inflection: i-decl (Obl, pl): rikeeḍí; Usage: Primarily used as a non-verb element in complex predicates
f_jevhihyuwbjuo	riwaáǰ	custom, tradition			False	False	True	late	late	True	True	Origin: Urdu (Arabic): rawaaǰ, riwaaǰ	Inflection: i-decl (Obl, pl): riweeǰí
f_gquk24gpx5vng	rumiaál	handkerchief			False	False	True	late	late	True	True	Origin: Urdu (Persian): ruu-maal, rumaal	Inflection: i-decl (Obl, pl): rumieelí, rumeelí
f_jvs5aaq4v2pca	saamaán	things, stuff			False	False	True	late	late	True	True	Origin: Urdu (Persian): saamaan, samaan	Inflection: i-decl (Obl): saameení
f_stjehsosoczzo	sáar	lake, pond, puddle	13254	sar	True	False	False	early	early	True	False	sáras- 'lake, pool (neut)' (T: 13254)	Inflection: i-decl (Obl, pl): sarí; Morphemic form: sar
