turner	proto_headword	proto_accent_nucleus	proto_nuclei	source_glosses	palula	gil	koh	gur	Astor	dr	bro	source_rows	assessment_codes	historical_assessment	verification_scope
1921	udaká	3	3	water	wíi [water]	wey	wói; wíi	vói	wói			gil:429; koh:430; koh:431; gur:432; Astor:433	M	Substantial loss and glide/contraction history; old accented a does not survive as an independently identifiable vowel.	First-pass comparison; see family-notes.md for independently page-checked central examples
1929	udanyú	3	3	hungry		uyáno						gil:1068	M	Extended hungry adjective has medial accent; suffix and stem remodeling needed before testing udanyú.	First-pass comparison; see family-notes.md for independently page-checked central examples
2349	úraṇa	1	3	lamb		urán		urán	urán			gil:1384; gur:1385; Astor:1386	X	Final urán does not mechanically continue initial úraṇa. Check derivative formation and class before positing a retraction/advancement law.	First-pass comparison; see family-notes.md for independently page-checked central examples
2485	ḗkādaśa	1	4	eleven	akóoš [eleven]		akáai	akáai	akáai			koh:1016; gur:1017; Astor:1018	M	Teen compound contraction and numeral analogy; first-member OIA accent cannot be copied onto the resulting diphthong.	First-pass comparison; see family-notes.md for independently page-checked central examples
2563	ṓṣṭha	1	2	lip		óo~ṭo		óo~ṭi	óo~ṭ			gil:98; gur:99; Astor:100	R	Old accented long/diphthongal nucleus corresponds to early long accent; final gender vowels vary.	First-pass comparison; see family-notes.md for independently page-checked central examples
2574	ká	1	1	who? (m.); who? (f.); who? (pl.)		keé; keéi	koé		koí			koh:1296; Astor:1298; gil:1299; gil:1301	M	Interrogative pronouns have added/contracted material and number/gender variation, not a bare reflex of ká.	First-pass comparison; see family-notes.md for independently page-checked central examples
2588	kákṣa	1	2	armpit				kácɨ̥		khiṅ	caṅ'khoṅ	gur:6; dr:7; bro:8	R	Initial accent compatible with kákṣa; cluster and final vowel history remain separate.	First-pass comparison; see family-notes.md for independently page-checked central examples
2589	kákṣa	1	2	grass/fodder	káac̣ [straw; hay]	kac̣	kac̣	kac̣				gil:810; koh:811; gur:812	U;R	Short Shina citation forms uninformative; Palula early aa compatible with later closed-a lengthening.	First-pass comparison; see family-notes.md for independently page-checked central examples
2830	kárṇa	1	2	ear	káaṇ [ear]	koṇ	koṇ	koṇ	koṇ			gil:35; koh:36; gur:37; Astor:38	U;D	Palula fixed ear versus Gilgiti mobile kon/konéṭ in Radloff as cited by Baart; do not infer class from short Shina kon alone.	First-pass comparison; see family-notes.md for independently page-checked central examples
2892	kárman	1	2	work	kráam [work; deed, behaviour]	kom	kom	krom	krom			gil:386; koh:387; gur:388; Astor:389	U;R	Palula B kram/kráama versus A kráam demonstrates accent-conditioned open then closed lengthening; Shina bare forms uninformative.	First-pass comparison; see family-notes.md for independently page-checked central examples
2993	kā́ka	1	2	crow	kóok [crow]			káa	káa			gur:677; Astor:678	R	Early accent on old ā compatible with retention; Palula raising ā > oo and final consonant require separate history.	First-pass comparison; see family-notes.md for independently page-checked central examples
3023	kā́ṇḍa	1	2	arrow	kóoṇ [arrow]	kóoṇ	kóoṇ	kóoṇ	kóoṇ			gil:247; koh:248; gur:249; Astor:250	R	Early long accent retained; ā-quality changes are separate from the position of accent.	First-pass comparison; see family-notes.md for independently page-checked central examples
3084	kālá	2	2	year	kaál [year]	kaál; sáal	kaál		sáal			gil:578; gil:581; koh:579; Astor:582	A	Late kaál compatible with old final accent plus apocope. sáal is a separate Iranian comparison/loan, not another reflex of kālá.	First-pass comparison; see family-notes.md for independently page-checked central examples
3120	kāṣṭhá	2	2	wood		káaṭo	káaṭho	káaṭo	káaṭho			gil:381; koh:382; gur:383; Astor:384	M	Extended wood forms have early root accent despite final OIA accent; cluster retention/aspiration and suffix history need control.	First-pass comparison; see family-notes.md for independently page-checked central examples
3241	kuṭṭáyati	2	4	to beat				kuṭyoónu	kuṭoónu			gur:857; Astor:858	M	Infinitives carry their own accent; compare full verbal paradigms rather than OIA causative finite form.	First-pass comparison; see family-notes.md for independently page-checked central examples
3451	kr̥ṣṇá	2	2	black	kriṣíṇu [black]	kíṇo	kíṇo	kíṇu	kíṇo			gil:990; koh:991; gur:992; Astor:993	M	Accent on final root syllable before gender vowel; Palula epenthesis splits kṛṣṇ while main Shina reduces it.	First-pass comparison; see family-notes.md for independently page-checked central examples
3735	kṣḗtra	1	2	field	c̣híitr [field; (tilled) land]	c̣héec̣		c̣héec̣	c̣héec̣			gil:285; gur:286; Astor:287	R	Early long root accent compatible with inherited kṣḗtra; r and affricate/retroflex history separate.	First-pass comparison; see family-notes.md for independently page-checked central examples
3781	kháṭvā	1	2	bed				khaṭ	khaṭ			gur:258; Astor:259	U	Short monosyllables cannot test mora position or noun-class retention.	First-pass comparison; see family-notes.md for independently page-checked central examples
3792	khaṇḍá	2	2	mountain	kháaṇ [mountain; mountain pass; Lowari Pass]	khaṇ	khoṇ; khaṇ	khoṇ				gil:611; koh:612; koh:613; gur:614	U;X	Palula kháaṇ violates unrestricted aspirated-onset late lengthening. Alternative skandhá also has late OIA accent; etymology swap alone does not solve it.	First-pass comparison; see family-notes.md for independently page-checked central examples
3832	kharvá	2	2	left (direction)		khábo	khábooto	khái	kháau			gil:1074; koh:1075; gur:1077; Astor:1078	M	Root-final accent before extended ending; dialects show different loss/contraction of v and final material.	First-pass comparison; see family-notes.md for independently page-checked central examples
3865	khā́dati	1	3	to eat	khóo [to eat]	khoók	khoón	khoónu	khoónu			gil:889; koh:890; gur:891; Astor:892	M	Infinitive accent is suffixal; modern imperative/perfective comparison needed. Kohistani khy- perfective is probably analogical to drink.	First-pass comparison; see family-notes.md for independently page-checked central examples
4336	gōṣṭhá	2	2	house	ghoóṣṭ [house, home]	góoṭ	góoṣ	góoṣ	goóṣ			gil:314; koh:315; gur:316; Astor:317	S;D	2008 tables reverse Gilgit/Astor readings. Independent Gilgit goóṭ supported; Kohistani and Guresi fixed góoṣ genuinely differ from Palula mobile ghoóṣṭ.	First-pass comparison; see family-notes.md for independently page-checked central examples
4368	grā́ma	1	2	village	ghróom [village; permanent settlement (in contrast with sóon 'summer pasture'); Ashret proper, also atshareét xaás]				giróom			Astor:379	R	Old accented ā corresponds to early oo. Astori epenthesis does not displace accent from inherited root vowel.	First-pass comparison; see family-notes.md for independently page-checked central examples
4501	ghr̥tá	2	2	ghee	ghiíṛ [ghee; semi-liquid butter (used for cooking)]	gií	gií	gií	gií			gil:297; koh:298; gur:299; Astor:300	A;M	Late gií compatible with loss/coalescence following old final accent; Palula retains a different extended consonantal formation.	First-pass comparison; see family-notes.md for independently page-checked central examples
4655	catvā́raḥ	2	3	four	čúur [four]	cáar	cáar	cáar	cáar			gil:1036; koh:1037; gur:1038; Astor:1039	R	Accent continues the old accented long ā after initial-syllable and cluster reduction; modern first syllable is not the OIA first syllable.	First-pass comparison; see family-notes.md for independently page-checked central examples
4701	cárman	1	2	skin		com	com	com	com			gil:123; koh:124; gur:125; Astor:126	U	Short monosyllables; noun inflection needed.	First-pass comparison; see family-notes.md for independently page-checked central examples
5110	jantú	2	2	snake	ǰhanduraá [snake]	jon	judraá	jon	jon			gil:761; gur:762; Astor:763; koh:764	M	Simple versus extended snake nouns not equivalent accent tests; judraá/ǰhanduraá have additional derivational material.	First-pass comparison; see family-notes.md for independently page-checked central examples
5198	jā́mātr̥	1	3	son-in-law	ǰhaamatroó [son-in-law; daughter's husband]	jamac̣oó	jamc̣ó	jaməc̣óo	jamac̣óo			gil:235; koh:236; gur:237; Astor:238	M;D	Final accent in remodeled masculine forms. Gilgit/Palula late oo versus Guresi/Astori early oo and Kohistani short ó; do not posit uniform contour.	First-pass comparison; see family-notes.md for independently page-checked central examples
5228	jihvā́	2	2	tongue	ǰip [tongue]	jib	jip	jip	jip			gil:139; koh:140; gur:141; Astor:142	U;D	Citation short throughout. Kohistani ǰip/ǰíba fixed versus Palula ǰip/ǰipí mobile supplies real class divergence.	First-pass comparison; see family-notes.md for independently page-checked central examples
5301	jyṓtsnā	1	2	moon	yúun [moon; month]	yúun	yúun	yúun	yúun			gil:404; koh:405; gur:406; Astor:407	R;S	2008 early yúun compatible with old jyṓtsnā; Ahmed 2016 Gurezi juún has late accent. Source/locality distinction required.	First-pass comparison; see family-notes.md for independently page-checked central examples
5637	taṇḍulá	3	3	rice (paddy)			talúuṇ					koh:1417	M	Metathesis and extension in talúuṇ; cannot align accents by syllable number alone.	First-pass comparison; see family-notes.md for independently page-checked central examples
5679	taptá	2	2	hot	táatu [hot]	taáto	táto	tátu	tátto			gil:1060; koh:1061; gur:1062; Astor:1063	M;D	Hot: Gilgit taáto, Kohistani táto, Guresi tátu, Astori tátto, Palula táatu. Test distinct geminate reduction/lengthening after morphological root-accent assignment.	First-pass comparison; see family-notes.md for independently page-checked central examples
5806	tiktá	2	2	bitter		c̣íṭo	cíṭo	cíṭu	c̣íṭo			gil:986; koh:987; gur:988; Astor:989	M	Root accent in extended adjective; short vowel after cluster simplification opposes universal compensatory lengthening.	First-pass comparison; see family-notes.md for independently page-checked central examples
5839	tīkṣṇá	2	2	sharp	tíiṇu [sharp]	tíino	tíiṇo	tíiṇu	tíiṇo			gil:1129; koh:1130; gur:1131; Astor:1132	M	Early root accent in extended adjective, with old ī retained. Late OIA accent does not survive mechanically.	First-pass comparison; see family-notes.md for independently page-checked central examples
5889	tuvám	2	2	you (sg.)	tu [you (2sg nom subject or direct object)]	tu	tu					gil:1303; koh:1305	U	Short monosyllabic pronoun; paradigm and enclisis needed.	First-pass comparison; see family-notes.md for independently page-checked central examples
5994	tráyaḥ	1	2	three	tróo [three]	c̣ée	c̣ée		c̣ée			gil:1162; koh:1163; Astor:1165	R;M	Initial accent compatible with retention, but diphthong/contracted endings and different Palula vowel require reconstruction.	First-pass comparison; see family-notes.md for independently page-checked central examples
6119	dákṣiṇa	1	3	right (direction)	deec̣híṇu [right]	dac̣híno	dac̣híṇo	dac̣íṇu	daṣínu			gil:1112; koh:1114; gur:1115; Astor:1116	M	Final-root-syllable accent shared against initial dákṣiṇa. Strong evidence for formation-specific resetting, not arbitrary lexical retraction.	First-pass comparison; see family-notes.md for independently page-checked central examples
6152	dánta	1	2	tooth	dáand [tooth]	don	don	don	don			gil:143; koh:144; gur:145; Astor:146	U;R	Kohistani don/dódi fixed supports old initial accent; Palula dáand fixed. Other short citation forms alone are uninformative.	First-pass comparison; see family-notes.md for independently page-checked central examples
6227	dáśa	1	2	ten	dáaš [ten]	day	dáai	dái	dái			gil:1149; koh:1150; gur:1151; Astor:1152	R;M	Initial accent compatible with retention through loss/contraction; individual Shina forms have diphthongs rather than a uniform long monophthong.	First-pass comparison; see family-notes.md for independently page-checked central examples
6260	dā́tra	1	2	sickle					dáli			Astor:366	M	Early accent compatible, but Astori dáli has shortened root and feminine morphology to explain.	First-pass comparison; see family-notes.md for independently page-checked central examples
6273	dāntá	2	2	bull				dóonu				gur:659	M	Bull adjective/noun has extended masculine formation and root accent; not direct retention of dāntá.	First-pass comparison; see family-notes.md for independently page-checked central examples
6333	divasá	3	3	day	deés [day; point in time]	déez	deés	dées	déez			gil:448; koh:449; gur:450; Astor:451	D	Kohistani/Palula late versus Gilgit/Guresi/Astori early. Independent Gilgit dictionary supports early. Paradigms must explain the split.	First-pass comparison; see family-notes.md for independently page-checked central examples
6368	dīrghá	2	2	long	dhrígu [long, tall]	j̣ígo	ẓígo	j̣ígu				gil:1079; koh:1080; gur:1081	M	Early root accent before gender vowel despite final OIA accent; old length is shortened in closed/cluster history before the observed forms.	First-pass comparison; see family-notes.md for independently page-checked central examples
6391	dugdhá	2	2	milk		dut	dut	dut	dut			gil:339; koh:340; gur:341; Astor:342	U	Short monosyllables conceal accent class; cluster reduction did not uniformly leave long vowels.	First-pass comparison; see family-notes.md for independently page-checked central examples
6481	duhitŕ̥	3	3	daughter	dhií [daughter]	dií	dií	dií	diíh			gil:165; koh:166; gur:167; Astor:168	A;M	Late daughter vowels are compatible with accent preservation after contraction/loss, but old kinship inflection must be reconstructed.	First-pass comparison; see family-notes.md for independently page-checked central examples
6495	dūrá	2	2	far	dhúura [far away; away]	duúr	dúur	dúur	dúur			gil:1344; koh:1345; gur:1346; Astor:1347	D;M	Gilgit late duúr versus early other Shina and Palula dhúura. Formation and analogy needed; aspiration cannot distinguish these Shina forms.	First-pass comparison; see family-notes.md for independently page-checked central examples
6658	dvā́daśa	1	3	twelve	bóoš [twelve]	báay	báai	báai	báai			gil:1171; koh:1172; gur:1173; Astor:1174	R;M	Old first-member accent compatible after compound contraction; vowel qualities and loss of daśa differ by branch.	First-pass comparison; see family-notes.md for independently page-checked central examples
6849	dhūmá	2	2	smoke	dhuumíi [smoke, fume]	duúm	duúm	duúm	duúm			gil:367; koh:368; gur:369; Astor:370	A	Late duúm compatible with final-accent apocope; Palula dhuumíi is a separate suffixed formation.	First-pass comparison; see family-notes.md for independently page-checked central examples
6906	ná	1	1	not	na [not; don't]		na					koh:1217	U	Unaccented negation in connected speech is not a lexical noun-accent test.	First-pass comparison; see family-notes.md for independently page-checked central examples
6920	nakhará	3	3	fingernail		nóoro	núuro	nóor	nóor			gil:58; koh:59; gur:60; Astor:61	M	Extended nail nouns with early root accent; loss of internal kh and vowel contraction precede modern forms.	First-pass comparison; see family-notes.md for independently page-checked central examples
6983	náva	1	2	new	náawu [new]	naáwo	nóo~	náa~	náu~			gil:1088; koh:1089; gur:1090; Astor:1091	D;M	Gilgit naáwo has late accent against early/shorter related forms. Do not infer its late aa directly from náva; contraction and analogical class require checking.	First-pass comparison; see family-notes.md for independently page-checked central examples
6984	náva	1	2	nine	núu [nine]	naw		náu	náu			gil:1092; gur:1094; Astor:1095	R;M	Old initial accent compatible; glide and diphthong outcomes differ.	First-pass comparison; see family-notes.md for independently page-checked central examples
7067	nā́man	1	2	name	nóo [name]	nóom	núum	nóom	nóom			gil:218; koh:219; gur:220; Astor:221	R	Early long accent consistently compatible with nā́man; Palula m > w and final w loss affect segmental shape.	First-pass comparison; see family-notes.md for independently page-checked central examples
7200	nidrā́	2	2	sleep	níindra [sleep]	nir						gil:1433	U;X	Shina nir needs paradigm. Palula níindra differs from nidrā́; Dybo considers pre-Vedic accent, but this requires independent comparative evidence.	First-pass comparison; see family-notes.md for independently page-checked central examples
7563	nī́la	1	2	green	níilu [green, blue]	níilo	níilo	níilu	níilu			gil:1056; koh:1057; gur:1058; Astor:1059	R	Early accent on retained old ī compatible with inheritance before gender suffix.	First-pass comparison; see family-notes.md for independently page-checked central examples
7627	pakṣá	2	2	feather				páṭu				gur:693	M	Root-accented extended feather noun; same CC history controls quantity, not OIA accent alone.	First-pass comparison; see family-notes.md for independently page-checked central examples
7655	páñca	1	2	five	páanǰ [five]	poš	poš	po~š	po~š			gil:1028; koh:1029; gur:1030; Astor:1031	U;R	Shina short forms uninformative; Palula early aa compatible with accented short-a lengthening after cluster history.	First-pass comparison; see family-notes.md for independently page-checked central examples
7662	páñcadaśa	1	4	fifteen	panǰíiš [fifteen]	panzéy						gil:1024	M	Compound restructuring/teen-series analogy; modern final accent not direct continuation of first-member páñca.	First-pass comparison; see family-notes.md for independently page-checked central examples
7733	páttra	1	2	leaf		páṭo	páṭho	páṭu	páṭo			gil:814; koh:815; gur:816; Astor:817	R	Initial accent compatible, with short vowel after cluster simplification; counterexample to universal compensation after any CC loss.	First-pass comparison; see family-notes.md for independently page-checked central examples
7785	pánthā	1	2	path	páand [path, road]	pon	pon	pon	pon			gil:344; koh:345; gur:346; Astor:347	U;R	Palula fixed páand supports old accent; bare Shina pon requires inflection.	First-pass comparison; see family-notes.md for independently page-checked central examples
8056	pā́da	1	2	foot		páa	páa~	páa	páa			gil:66; koh:67; gur:68; Astor:69	R	Early long accent after intervocalic consonant/final-vowel loss compatible with pā́da.	First-pass comparison; see family-notes.md for independently page-checked central examples
8188	pítriya	1	3	father's brother	pitrí [uncle; father's brother; father's cousin]	picáa	picáar	pic̣íi				gil:179; koh:180; gur:181	M	Kinship derivatives and feminine/masculine ending differences; pítriya alone is not an adequate immediate input.	First-pass comparison; see family-notes.md for independently page-checked central examples
8201	pipīlá	3	3	ant	pilíilu [ant]	philíili	phibíili	pfiliíli	philíili			gil:639; koh:640; gur:641; Astor:642	M;D	Most early accent on old long medial vowel, Guresi late ii. Palula and Shina formations differ; inspect source before generalizing.	First-pass comparison; see family-notes.md for independently page-checked central examples
8249	púccha	1	2	tail		phacoó						gil:765	M	Final long suffix in phacoó is additional formation; cannot compare its accent directly with púccha.	First-pass comparison; see family-notes.md for independently page-checked central examples
8265	putrá	2	2	son	putr [son]	puc̣	puc̣	puc̣	puc̣			gil:230; koh:231; gur:232; Astor:233	U;A	Short son forms conceal contour; Palula putr/putrá supports lost-final-accent account.	First-pass comparison; see family-notes.md for independently page-checked central examples
8416	paútra	1	2	grandson	púutru [grandson; son's son]	póoc̣o	póoc̣o	póoc̣o	póoc̣o			gil:191; koh:192; gur:193; Astor:194	R	Old accented au gives early long accent; Palula raising distinguishes quality, not accent locus.	First-pass comparison; see family-notes.md for independently page-checked central examples
9029	plúṣi	1	2	flea	príiṇṣu [flea]			príij̣o	príiẓu			gur:705; Astor:706	M	Extended flea nouns preserve initial prominence but have complex vowel/nasal history; do not count as a direct vowel-to-vowel match.	First-pass comparison; see family-notes.md for independently page-checked central examples
9216	bālá	2	2	child		baál	baál		baál			gil:160; koh:161; Astor:162	A	Late baál compatible with bālá plus apocope; verify paradigm to distinguish retention from secondary class assignment.	First-pass comparison; see family-notes.md for independently page-checked central examples
9250	bī́ja	1	2	seed	bíi [seed]	bíi	bíi	bíi	bíi			gil:837; koh:838; gur:839; Astor:840	R	Early long accent compatible with old bī́ja after intervocalic consonant and final vowel loss.	First-pass comparison; see family-notes.md for independently page-checked central examples
9303	bŕ̥haspáti	1,3	4	Thursday		bréspat			bréspat			gil:474; Astor:475	M	Compound has two accents in cited OIA form; modern compound selection and syllable loss must be analyzed.	First-pass comparison; see family-notes.md for independently page-checked central examples
9568	bhū́yiṣṭha	1	3	all (countable); all (uncountable)		búṭo; búṭa	búṭa	búṭɨ				gil:975; gil:977; koh:978; gur:979	R;M	Initial accent compatible, but quantifier paradigm and cluster shortening complicate derivation.	First-pass comparison; see family-notes.md for independently page-checked central examples
9661	bhrā́tr̥	1	2	brother	bhróo [brother; cousin, member of one's own tribe]	ẓáa	ẓáa	j̣áa	ẓáa			gil:152; koh:153; gur:154; Astor:155	R;S	Main Shina early ẓáa is a strong old-long comparison. Palula brother has conflicting accent transcription and is excluded from fine chronology.	First-pass comparison; see family-notes.md for independently page-checked central examples
9982	māṁsá	2	2	flesh	mhaás [meat, piece of flesh]	moós	moós	moós	moós			gil:62; koh:63; gur:64; Astor:65	A	Late moós/mhaás compatible with final-accent apocope; nasal/aspiration/vowel-quality history is separate.	First-pass comparison; see family-notes.md for independently page-checked central examples
9989	mākṣiká	3	3	honey	meec̣hí [honey]	mac̣híi	mac̣íi	mac̣híi	mac̣híi			gil:310; koh:311; gur:312; Astor:313	M	Honey feminine derivative mākṣikā-type, not adjectival mākṣiká alone; final íi and earlier vowels need formation-specific history.	First-pass comparison; see family-notes.md for independently page-checked central examples
10016	mātŕ̥	2	2	mother		maá~	maá~	máa~				gil:204; koh:205; gur:206	M;D	Contracted kinship forms differ: Gilgit/Kohistani late versus Guresi early. Full old paradigm and contractions needed.	First-pass comparison; see family-notes.md for independently page-checked central examples
10104	mā́sa	1	2	month		máaz	móos	móos	móos			gil:498; koh:499; gur:500; Astor:501	R	Early accent compatible with mā́sa, contrasting late flesh. Gilgit máaz differs in quality, not mora accent.	First-pass comparison; see family-notes.md for independently page-checked central examples
10158	múkha	1	2	face		mukh	muk	muk	mukh			gil:49; koh:50; gur:51; Astor:52	U	Short citation forms uninformative; compare Kundal Shahi postaccenting oblique face rather than assume fixed class.	First-pass comparison; see family-notes.md for independently page-checked central examples
10221	muṣṭí	2	2	shoulder	múṣṭi [fist; shaft]; múṭi [arm]		muṭh	miṭhíj	miṭhíjo			koh:130; gur:131; Astor:132	M	Fist, arm and shoulder formations differ; Palula múṣṭi has retracted accent against muṣṭí, requiring further history.	First-pass comparison; see family-notes.md for independently page-checked central examples
10244	mūrtá	2	2	curds		múuṭo dut	múutho dut					gil:270; koh:271	M	Curdled adjective has early root accent before gender ending, despite final accent in mūrtá.	First-pass comparison; see family-notes.md for independently page-checked central examples
10250	mū́la	1	2	root	mulái [radish]	mulií						gil:836	M	Root/radish forms have extra feminine/derivational material; mulií and mulái are not bare continuations of mū́la.	First-pass comparison; see family-notes.md for independently page-checked central examples
10264	mr̥gá	2	2	bird	mring [markhor (generic)]	briṅ						gil:651	U;M	Short bird form uninformative; proposed bird/markhor cognacy needs semantic and consonantal justification separately.	First-pass comparison; see family-notes.md for independently page-checked central examples
10299	mr̥ṣṭá	2	2	good		míṣṭo	míṣṭho	míṣṭhu	míṣṭhu			gil:1049; koh:1050; gur:1051; Astor:1052	M	Extended good adjective has early root accent; cluster simplification and old vocalic-r development separately required.	First-pass comparison; see family-notes.md for independently page-checked central examples
10323	mḗdas	1	2	grease	míi [marrow; animal fat]	míi~	myú~	mií~	míi~			gil:301; koh:302; gur:303; Astor:304	R;D	Early accent in Gilgit/Astor/Palula compatible with mḗdas; Guresi late mií requires source/paradigm check.	First-pass comparison; see family-notes.md for independently page-checked central examples
10394	yákr̥t-,	1	2	liver	ǰhangaár [liver]	yúum	yúu~	yúu~	yúu~			gil:102; koh:103; gur:104; Astor:105	R;M	Initial accent broadly compatible but strong segmental remodeling and alternative old liver stems need reconstruction.	First-pass comparison; see family-notes.md for independently page-checked central examples
10412	yantrá	2	2	spinning wheel	yáandr [mill]			yo~ṣ				gur:374	U;X	Short Guresi citation uninformative. Palula fixed yáandr differs from yantrá; Dybo pre-Vedic hypothesis must be tested outside this one pair.	First-pass comparison; see family-notes.md for independently page-checked central examples
10442	yavyā́	2	2	irrigation channel	yáab [irrigation canal]	yap	yab	yab	yap			gil:319; koh:320; gur:321; Astor:322	U;X	Short Shina citation forms uninformative. Palula yáab has early accent and requires formation/earlier accent history against yavyā́.	First-pass comparison; see family-notes.md for independently page-checked central examples
10452	yā́ti	1	2	to walk	yhíi [to come, arrive; become, come into existence]	yayoók						gil:965	M	Modern infinitive/come versus old finite go: suffix accent and suppletion prevent direct comparison.	First-pass comparison; see family-notes.md for independently page-checked central examples
10652	rásati	1	3	to say		rayoók						gil:934	M	Modern infinitive versus OIA finite verb; inherently accented suffix is decisive.	First-pass comparison; see family-notes.md for independently page-checked central examples
10702	rā́trī	1	2	night	raát [night (as a measure of time); 24-hour period]	ráati	ráati	ráati	ráati			gil:536; koh:537; gur:538; Astor:539	R;D	Main Shina early ráati agrees with old rā́trī; Palula raát versus róot split remains unexplained, not two independent inherited cognates.	First-pass comparison; see family-notes.md for independently page-checked central examples
10978	lavaṇá	3	3	salt	lhoóṇ [salt]		luúṇi	luúṇi				koh:357; gur:358	M	Late luúṇi retains a final vowel; contraction and an extended feminine formation, not simple final apocope alone.	First-pass comparison; see family-notes.md for independently page-checked central examples
10988	lavítra	2	3	sickle		leéc̣	léec̣i					gil:361; koh:362	D;M	Gilgit leéc̣ late versus Kohistani léec̣i early: different retained endings and contraction history.	First-pass comparison; see family-notes.md for independently page-checked central examples
11009	lāṅgūlá	3	3	tail	laméeṭi [tail]		lamṭoó	lamóoṭu; lamṭoó	lamóṭi			koh:766; gur:767; gur:768; Astor:769	M;D	Tail formations have metathesis and distinct final-suffix accents; cannot treat them as a uniform reflex of lāṅgūlá.	First-pass comparison; see family-notes.md for independently page-checked central examples
11302	vayám	2	2	we	be [we (1pl nom)]	be; bes	be	beʔ	be; bes			gil:1281; gil:1282; koh:1283; gur:1285; Astor:1286; Astor:1287	U;M	Short pronouns; contraction and pronominal paradigm, not an independent mora-accent test.	First-pass comparison; see family-notes.md for independently page-checked central examples
11392	varṣá	2	2	year	báaṣ [rain]; béeriṣ [summer]	baríš						gil:580	M;D	Year/summer/rain comparison involves distinct formations. Palula báaṣ has later early aa but mobile paradigm; lexical falling does not imply historical barytonesis.	First-pass comparison; see family-notes.md for independently page-checked central examples
11572	vā́la	1	2	hair	bóolu [(straw of) hair]		báal	báal				koh:74; gur:75	R	Early long accent compatible with vā́la; Palula root raising plus extended gender vowel.	First-pass comparison; see family-notes.md for independently page-checked central examples
