gloss	plural	suffix	plural_stress_from_right	plural_outcome	singulars	singular_stress	singular_ids	plural_id	family_ids	plural_description	review_index	manual_lexical_note	reviewed_family_comparison	primary_check	morphological_assessment	final_vowel_accented	acute_count	suffix_accent_status
pebble	kha:ye	-e		unmarked	"[""kha:y""]"	"[""""]"	"[""f_ep6jbmfvenwnk""]"	f_xz7ap2v6xfgta	[]	f.pl	17	The matched source forms were inspected. The plural ending and its accent are retained as printed; no etymology is assigned from a shared English gloss alone.		database source citation and candidate lexemes inspected	Plain e/i must distinguish suffix addition, vowel replacement, glide formation, syncope and lexical stem alternants; the source marks are not normalized to the majority pattern.	0	0	unmarked
ray	gále	-e	2	stress-marked	"[""gálo""]"	[2]	"[""f_ot23sco5p3vuc""]"	f_onuqeu35mbxxi	[]	m.pl	18	The matched source forms were inspected. The plural ending and its accent are retained as printed; no etymology is assigned from a shared English gloss alone.		database source citation and candidate lexemes inspected	Plain e/i must distinguish suffix addition, vowel replacement, glide formation, syncope and lexical stem alternants; the source marks are not normalized to the majority pattern.	0	1	stem-accent-only
river	sine	-e		unmarked	[]	[]	[]	f_3sw4z5xlufzva	[]	f.pl	19	The matched source forms were inspected. The plural ending and its accent are retained as printed; no etymology is assigned from a shared English gloss alone. Research comparison: síndhu (13415), river, the Indus; flow (in general), sea. This links the root/lexeme, not each inflected cell directly to the old headword.	13415	database source citation and candidate lexemes inspected	Plain e/i must distinguish suffix addition, vowel replacement, glide formation, syncope and lexical stem alternants; the source marks are not normalized to the majority pattern.	0	0	unmarked
road	pone	-e		unmarked	[]	[]	[]	f_rbq72w4pjuxf6	[]	f.pl	20	The matched source forms were inspected. The plural ending and its accent are retained as printed; no etymology is assigned from a shared English gloss alone. Research comparison: pánthā (7785), path, road. This links the root/lexeme, not each inflected cell directly to the old headword.	7785	database source citation and candidate lexemes inspected	Plain e/i must distinguish suffix addition, vowel replacement, glide formation, syncope and lexical stem alternants; the source marks are not normalized to the majority pattern.	0	0	unmarked
rock	gí:re	-e	2	stress-marked	"[""gí:ro""]"	[2]	"[""f_eswuns6t53wkq""]"	f_rnzrq6o2dxnle	[]	m.pl	21	The matched source forms were inspected. The plural ending and its accent are retained as printed; no etymology is assigned from a shared English gloss alone. Research comparison: girí (4161), rock, mountain. This links the root/lexeme, not each inflected cell directly to the old headword.	4161	database source citation and candidate lexemes inspected	Plain e/i must distinguish suffix addition, vowel replacement, glide formation, syncope and lexical stem alternants; the source marks are not normalized to the majority pattern.	0	1	stem-accent-only
satellite; star	táre	-e	2	stress-marked	[]	[]	[]	f_3wk6hbnlovwik	[]	m.pl	22	The matched source forms were inspected. The plural ending and its accent are retained as printed; no etymology is assigned from a shared English gloss alone. Research comparison: tārā (5798), fixed star. This links the root/lexeme, not each inflected cell directly to the old headword.	5798	database source citation and candidate lexemes inspected	Plain e/i must distinguish suffix addition, vowel replacement, glide formation, syncope and lexical stem alternants; the source marks are not normalized to the majority pattern.	0	1	stem-accent-only
stone	bʌʈi	-i		unmarked	[]	[]	[]	f_6rgfqh2w7eylq	[]	m.pl	23	The matched source forms were inspected. The plural ending and its accent are retained as printed; no etymology is assigned from a shared English gloss alone. Research comparison: *varta (11348), round stone. This links the root/lexeme, not each inflected cell directly to the old headword.	11348	database source citation and candidate lexemes inspected	Plain e/i must distinguish suffix addition, vowel replacement, glide formation, syncope and lexical stem alternants; the source marks are not normalized to the majority pattern.	0	0	unmarked
blind	ʂé:ʋe	-e	2	stress-marked	"[""ʂé:ʋ""]"	[1]	"[""f_wymng5psl77f2""]"	f_r3ixsmxhzsp2o	[]		24	Blind has two plural formations ʂé:ʋe and ʂé:. The first retains the consonant and adds a vowel; the second contracts. The suggested śrēḍa comparison requires independent segmental support.		database source citation and candidate lexemes inspected	Plain e/i must distinguish suffix addition, vowel replacement, glide formation, syncope and lexical stem alternants; the source marks are not normalized to the majority pattern.	0	1	stem-accent-only
blind	ʂé:	other	1	stress-marked	"[""ʂé:ʋ""]"	[1]	"[""f_wymng5psl77f2""]"	f_gjnpvmnupfzvw	[]		25	Contracted plural of blind; keep separate from the extended ʂé:ʋe. Final accent is not the same suffixal mechanism as -éh.		database source citation and candidate lexemes inspected	Plain e/i must distinguish suffix addition, vowel replacement, glide formation, syncope and lexical stem alternants; the source marks are not normalized to the majority pattern.	1	1	final-accent-only
bridge	ɖaŋé:	other	1	stress-marked	"[""ɖaŋó:""]"	[1]	"[""f_k6lusr7u6osf4""]"	f_a4eke4atbh2w2	[]		26	The matched source forms were inspected. The plural ending and its accent are retained as printed; no etymology is assigned from a shared English gloss alone.		database source citation and candidate lexemes inspected	Plain e/i must distinguish suffix addition, vowel replacement, glide formation, syncope and lexical stem alternants; the source marks are not normalized to the majority pattern.	1	1	final-accent-only
father	bábe	-e	2	stress-marked	"[""bábo""]"	[2]	"[""f_vr57jlhqjqrbg""]"	f_faafle6drsa5y	"[""9209""]"	m.pl	27	The matched source forms were inspected. The plural ending and its accent are retained as printed; no etymology is assigned from a shared English gloss alone. Research comparison: *bāppa (9209), father. This links the root/lexeme, not each inflected cell directly to the old headword.	9209	database source citation and candidate lexemes inspected	Plain e/i must distinguish suffix addition, vowel replacement, glide formation, syncope and lexical stem alternants; the source marks are not normalized to the majority pattern.	0	1	stem-accent-only
marriage	kʌ́ʒe	-e	2	stress-marked	"[""kʌ́ʃ""]"	[1]	"[""f_mzoe27hbfiiee""]"	f_e5g44xfsyj2va	[]	f.pl	28	The matched source forms were inspected. The plural ending and its accent are retained as printed; no etymology is assigned from a shared English gloss alone.		database source citation and candidate lexemes inspected	Plain e/i must distinguish suffix addition, vowel replacement, glide formation, syncope and lexical stem alternants; the source marks are not normalized to the majority pattern.	0	1	stem-accent-only
maternal uncle’s wife	phʌpyé:	other	1	stress-marked	"[""phʌpi:""]"	"[""""]"	"[""f_bg7qlrtzqaw32""]"	f_evfsepjdpphca	[]	f.pl	29	The kin gloss maternal uncle’s wife needs checking against the phapi word’s usual paternal-aunt association; gender/kinship substitutions cannot be silently repaired.		database source citation and candidate lexemes inspected	Plain e/i must distinguish suffix addition, vowel replacement, glide formation, syncope and lexical stem alternants; the source marks are not normalized to the majority pattern.	1	1	final-accent-only
orphan	ʒʌró:e	-e	2	stress-marked	"[""ʒʌró:""]"	[1]	"[""f_fnkuehjwecepm""]"	f_qrhb3o3dex4uc	[]	m.pl	30	The matched source forms were inspected. The plural ending and its accent are retained as printed; no etymology is assigned from a shared English gloss alone.		database source citation and candidate lexemes inspected	Plain e/i must distinguish suffix addition, vowel replacement, glide formation, syncope and lexical stem alternants; the source marks are not normalized to the majority pattern.	0	1	stem-accent-only
people	ʤʌ́keɦ	-eh/-eɦ	2	stress-marked	"[""ʤʌ́k""]"	[1]	"[""f_fsywtcivnvyjk""]"	f_22tosiwomum3g	[]		31	People ʤʌ́k/ʤʌ́keɦ is stem-accented in vocabulary item170, whereas grammar p42 prints ʤʌ́kéɦ with an additional final acute. This is a real source-internal difference, not an exception to hide.		exact printed passage inspected	Final eh/eɦ is an independently identified suffix; compare final versus retained stem marks without defining membership by acute placement.	0	1	stem-accent-only
wife’s brother	ʃeiryé	-e	1	stress-in-vowel-sequence	"[""ʃeirí:""]"	[1]	"[""f_viceofat7mgqg""]"	f_bnm7fo262lr4y	[]		32	Wife’s brother has final-vowel/glide alternation, with several adjacent vowels; positional statistics require explicit syllabification.		database source citation and candidate lexemes inspected	Plain e/i must distinguish suffix addition, vowel replacement, glide formation, syncope and lexical stem alternants; the source marks are not normalized to the majority pattern.	1	1	final-accent-only
ass	ʐʌkúɳi	-i	2	stress-marked	"[""ʐʌkúɳ"", ""sṍʈʂiʐʌkúɳ""]"	"[1, """"]"	"[""f_74bkiyof6gw76"", ""f_3eymkbkcgcosw""]"	f_sx4euq4xe3awk	[]	m.pl	33	The gloss group contains plain donkey and a female-donkey compound. The plural is the simple stem plus i; do not treat all SG strings as the same grammatical cell.		database source citation and candidate lexemes inspected	Plain e/i must distinguish suffix addition, vowel replacement, glide formation, syncope and lexical stem alternants; the source marks are not normalized to the majority pattern.	0	1	stem-accent-only
monkey	ʃʌdyé:	other	1	stress-marked	"[""ʃʌdí:""]"	[1]	"[""f_hi65iloqnhqw2""]"	f_ydw4xjjmm4sn6	[]		34	The matched source forms were inspected. The plural ending and its accent are retained as printed; no etymology is assigned from a shared English gloss alone.		database source citation and candidate lexemes inspected	Plain e/i must distinguish suffix addition, vowel replacement, glide formation, syncope and lexical stem alternants; the source marks are not normalized to the majority pattern.	1	1	final-accent-only
bed bug	phʌ́ʃe	-e	2	stress-marked	"[""phə́:ʃe"", ""phə́:ʃi"", ""phʌ́ʃi""]"	[2, 2, 2]	"[""f_wggjsgeff7wdq"", ""f_qj7r7l3jvu6bs"", ""f_glojxshnsfnic""]"	f_eufzr3asgvtsm	[]		35	Bedbug has ə:/ʌ and e/i variants. The plural retains first-syllable stress across these variants.		database source citation and candidate lexemes inspected	Plain e/i must distinguish suffix addition, vowel replacement, glide formation, syncope and lexical stem alternants; the source marks are not normalized to the majority pattern.	0	1	stem-accent-only
bitch	sṍʈʂiʃúŋi	-i		multiple-stress	"[""sṍʈʂiʃúŋ""]"	"[""""]"	"[""f_hrflrjho6chwe""]"	f_nhrnmq4upmgzq	[]		36	Female-dog compound has two lexical stress marks; compound prosody is outside the one-stress simplex test.		database source citation and candidate lexemes inspected	Plain e/i must distinguish suffix addition, vowel replacement, glide formation, syncope and lexical stem alternants; the source marks are not normalized to the majority pattern.	0	2	stem-accent-only
boar	sú:re	-e	2	stress-marked	[]	[]	[]	f_dp4ssrhvxtquq	[]		37	The matched source forms were inspected. The plural ending and its accent are retained as printed; no etymology is assigned from a shared English gloss alone. Research comparison: sūkará (13544), boar. This links the root/lexeme, not each inflected cell directly to the old headword.	13544	database source citation and candidate lexemes inspected	Plain e/i must distinguish suffix addition, vowel replacement, glide formation, syncope and lexical stem alternants; the source marks are not normalized to the majority pattern.	0	1	stem-accent-only
buffalo (he)	bí:romʌ́iʂe	-e		multiple-stress	"[""bí:romʌ́iʂ"", ""sṍʈʂimʌ́iʂ""]"	"["""", """"]"	"[""f_b3ihyxy7mftdo"", ""f_wmhs563dwihte""]"	f_pyosnbwhbdaog	[]	pl. (she	38	Buffalo group conflates male/female compounds under a he-buffalo gloss. The two constituent accents must be retained; the compounds are not simple nominal citation words.		database source citation and candidate lexemes inspected	Plain e/i must distinguish suffix addition, vowel replacement, glide formation, syncope and lexical stem alternants; the source marks are not normalized to the majority pattern.	0	2	stem-accent-only
buffalo (he)	sṍʈʂimʌ́iʐi	-i		multiple-stress	"[""bí:romʌ́iʂ"", ""sṍʈʂimʌ́iʂ""]"	"["""", """"]"	"[""f_b3ihyxy7mftdo"", ""f_wmhs563dwihte""]"	f_n63ir53rpebp4	[]		39	Female-buffalo compound is present under the he-buffalo gloss. Its final i and consonant voicing belong to the female paradigm, not an alternative plural of the male compound.		database source citation and candidate lexemes inspected	Plain e/i must distinguish suffix addition, vowel replacement, glide formation, syncope and lexical stem alternants; the source marks are not normalized to the majority pattern.	0	2	stem-accent-only
cage	takʃé:	other	1	stress-marked	"[""takʃá:""]"	[1]	"[""f_ydprjty2vqrgq""]"	f_4pcjn67efb2dm	[]		40	The matched source forms were inspected. The plural ending and its accent are retained as printed; no etymology is assigned from a shared English gloss alone.		database source citation and candidate lexemes inspected	Plain e/i must distinguish suffix addition, vowel replacement, glide formation, syncope and lexical stem alternants; the source marks are not normalized to the majority pattern.	1	1	final-accent-only
cat	píʃe	-e	2	stress-marked	"[""píʃu""]"	[2]	"[""f_sxfthkg4cfxx4""]"	f_s6ywkq6xqp2nu	[]	male, pl	41	The matched source forms were inspected. The plural ending and its accent are retained as printed; no etymology is assigned from a shared English gloss alone. Research comparison: *puśśī (8298), cat. This links the root/lexeme, not each inflected cell directly to the old headword.	8298	database source citation and candidate lexemes inspected	Plain e/i must distinguish suffix addition, vowel replacement, glide formation, syncope and lexical stem alternants; the source marks are not normalized to the majority pattern.	0	1	stem-accent-only
claw	nó:re	-e	2	stress-marked	[]	[]	[]	f_m6slbozdxsaba	[]	f.pl	42	The matched source forms were inspected. The plural ending and its accent are retained as printed; no etymology is assigned from a shared English gloss alone.		database source citation and candidate lexemes inspected	Plain e/i must distinguish suffix addition, vowel replacement, glide formation, syncope and lexical stem alternants; the source marks are not normalized to the majority pattern.	0	1	stem-accent-only
cow	gáʋe	-e	2	stress-marked	"[""gá:ʋ""]"	[1]	"[""f_uis4oupb3v7xe""]"	f_p67c47ocrlk2a	[]		43	Dras gaa(v) belongs to the cow lexeme; comparative family gō is used as a root-level anchor, not proof that its citation singular is directly the old nominative. Research comparison: gṓ (4255), ox; cow. This links the root/lexeme, not each inflected cell directly to the old headword.	4255	database source citation and candidate lexemes inspected	Plain e/i must distinguish suffix addition, vowel replacement, glide formation, syncope and lexical stem alternants; the source marks are not normalized to the majority pattern.	0	1	stem-accent-only
crab	nɛzʌ́me	-e	2	stress-marked	"[""nɛzʌ́m""]"	[1]	"[""f_teqmoxosy5lwy""]"	f_klwkozc43j44c	[]		44	The matched source forms were inspected. The plural ending and its accent are retained as printed; no etymology is assigned from a shared English gloss alone.		database source citation and candidate lexemes inspected	Plain e/i must distinguish suffix addition, vowel replacement, glide formation, syncope and lexical stem alternants; the source marks are not normalized to the majority pattern.	0	1	stem-accent-only
crow	kórkuʦe	-e	3	stress-marked	"[""kórkus""]"	[2]	"[""f_fylgholqplcu4""]"	f_qne6kumtcolse	[]		45	The matched source forms were inspected. The plural ending and its accent are retained as printed; no etymology is assigned from a shared English gloss alone.		database source citation and candidate lexemes inspected	Plain e/i must distinguish suffix addition, vowel replacement, glide formation, syncope and lexical stem alternants; the source marks are not normalized to the majority pattern.	0	1	stem-accent-only
deer	ró:ŋse	-e	2	stress-marked	"[""ró:ŋs""]"	[1]	"[""f_jssd7focgul2o""]"	f_qnziq3ld4aq5w	[]		46	The matched source forms were inspected. The plural ending and its accent are retained as printed; no etymology is assigned from a shared English gloss alone.		database source citation and candidate lexemes inspected	Plain e/i must distinguish suffix addition, vowel replacement, glide formation, syncope and lexical stem alternants; the source marks are not normalized to the majority pattern.	0	1	stem-accent-only
dog	ʃúŋe	-e	2	stress-marked	"[""ʃúŋ""]"	[1]	"[""f_hmrl6kugz7eae""]"	f_vf3yxokaw3zju	[]		47	The matched source forms were inspected. The plural ending and its accent are retained as printed; no etymology is assigned from a shared English gloss alone. Research comparison: śuna (12528), dog. This links the root/lexeme, not each inflected cell directly to the old headword.	12528	database source citation and candidate lexemes inspected	Plain e/i must distinguish suffix addition, vowel replacement, glide formation, syncope and lexical stem alternants; the source marks are not normalized to the majority pattern.	0	1	stem-accent-only
earth worm	ʧh	other		unmarked	"[""ʧhí:mokrĩ́""]"	"[""""]"	"[""f_pscbvpdxzk5xe""]"	f_yicoqisu3pqme	[]		48	Plural earthworm ʧh is visibly truncated relative to its singular compound. Exclude from accent tests; source extraction needs independent repair outside this research task.		database source citation and candidate lexemes inspected	Plain e/i must distinguish suffix addition, vowel replacement, glide formation, syncope and lexical stem alternants; the source marks are not normalized to the majority pattern.	0	0	unmarked
egg	ʈhuléh	-eh/-eɦ	1	stress-marked	"[""ʈhú:l""]"	[1]	"[""f_s6k43ikowzeyq""]"	f_hkhfsiica2smk	[]		49	Vocabulary egg ʈhuléh has suffix stress, whereas grammar discussion prints ʈhúle. Competing -eh/-e plural formations are independently attested; do not choose one for regularity. Research comparison: sthūlá (13776), large, thick, stout. This links the root/lexeme, not each inflected cell directly to the old headword.	13776	exact printed passage inspected	Final eh/eɦ is an independently identified suffix; compare final versus retained stem marks without defining membership by acute placement.	1	1	final-accent-only
fish	ʧhí:me	-e	2	stress-marked	"[""ʧhí:mo""]"	[2]	"[""f_apuiig7xv7mqu""]"	f_2fpesg7axljfo	[]		50	The matched source forms were inspected. The plural ending and its accent are retained as printed; no etymology is assigned from a shared English gloss alone.		database source citation and candidate lexemes inspected	Plain e/i must distinguish suffix addition, vowel replacement, glide formation, syncope and lexical stem alternants; the source marks are not normalized to the majority pattern.	0	1	stem-accent-only
frog	mʌɳóke	-e	2	stress-marked	[]	[]	[]	f_zueja7bqyxbkq	[]		51	The matched source forms were inspected. The plural ending and its accent are retained as printed; no etymology is assigned from a shared English gloss alone. Research comparison: maṇḍū́ka (9746), frog. This links the root/lexeme, not each inflected cell directly to the old headword.	9746	database source citation and candidate lexemes inspected	Plain e/i must distinguish suffix addition, vowel replacement, glide formation, syncope and lexical stem alternants; the source marks are not normalized to the majority pattern.	0	1	stem-accent-only
gnat ]; mosquito ] pl.	mũẽ; mũẽ	other		unmarked	[]	[]	[]	f_xj7msdddoutdy	[]		52	The duplicated gnat/mosquito string and leaked number markers are extraction problems. Preserve as unresolved; do not parse as a single lexical form.		database source citation and candidate lexemes inspected	Plain e/i must distinguish suffix addition, vowel replacement, glide formation, syncope and lexical stem alternants; the source marks are not normalized to the majority pattern.	0	0	unmarked
goose	bulóe	-e	2	stress-in-vowel-sequence	[]	[]	[]	f_lqg27mm2cihp4	[]	mf.pl	53	The matched source forms were inspected. The plural ending and its accent are retained as printed; no etymology is assigned from a shared English gloss alone.		database source citation and candidate lexemes inspected	Plain e/i must distinguish suffix addition, vowel replacement, glide formation, syncope and lexical stem alternants; the source marks are not normalized to the majority pattern.	0	1	stem-accent-only
hoof	khó:re	-e	2	stress-marked	"[""khó:r""]"	[1]	"[""f_a3tnz7mk5sn4e""]"	f_gqgsb6ecreb2m	[]		54	The matched source forms were inspected. The plural ending and its accent are retained as printed; no etymology is assigned from a shared English gloss alone. Research comparison: khura (3906), hoof. This links the root/lexeme, not each inflected cell directly to the old headword.	3906	database source citation and candidate lexemes inspected	Plain e/i must distinguish suffix addition, vowel replacement, glide formation, syncope and lexical stem alternants; the source marks are not normalized to the majority pattern.	0	1	stem-accent-only
horn	ʂíŋe	-e	2	stress-marked	"[""ʂíŋo""]"	[2]	"[""f_x2xpg5ctt4plk""]"	f_dx6unaabtwwq6	[]	m.pl	55	The matched source forms were inspected. The plural ending and its accent are retained as printed; no etymology is assigned from a shared English gloss alone. Research comparison: śŕ̥ṅga (12583), horn. This links the root/lexeme, not each inflected cell directly to the old headword.	12583	database source citation and candidate lexemes inspected	Plain e/i must distinguish suffix addition, vowel replacement, glide formation, syncope and lexical stem alternants; the source marks are not normalized to the majority pattern.	0	1	stem-accent-only
horse	ã́ʃpe	-e	2	stress-marked	"[""ã́ʃup""]"	[2]	"[""f_cq2d42psfez7y""]"	f_j4tmrtck6y2pc	[]		56	Dras ašp-like horse has an sp cluster shared with Iranian horse vocabulary. The comparative áśva family is a root comparison; inherited versus contact transmission remains open. Research comparison: áśva (920), horse. This links the root/lexeme, not each inflected cell directly to the old headword.	920	database source citation and candidate lexemes inspected	Plain e/i must distinguish suffix addition, vowel replacement, glide formation, syncope and lexical stem alternants; the source marks are not normalized to the majority pattern.	0	1	stem-accent-only
lamb	oró:ɳe	-e	2	stress-marked	"[""oró:ɳ""]"	[1]	"[""f_5up3qdpujils4""]"	f_ki5krulsalkde	[]		57	The matched source forms were inspected. The plural ending and its accent are retained as printed; no etymology is assigned from a shared English gloss alone. Research comparison: úraṇa (2349), ram, sheep, young ram. This links the root/lexeme, not each inflected cell directly to the old headword.	2349	database source citation and candidate lexemes inspected	Plain e/i must distinguish suffix addition, vowel replacement, glide formation, syncope and lexical stem alternants; the source marks are not normalized to the majority pattern.	0	1	stem-accent-only
