record_id	family_id	citation	gloss	inflected	inflection_cells	dialect	citation_outcome	citation_accent_from_right	inflected_outcome	inflected_accent_from_right	prediction	status	description	adjudication	analysis
f_cr6siw6xhsxug		baáɣ	garden	beeɣí	Obl, pl		L	1	S	1	citation-final-root-L; inflected-final-short-i-accent	consistent	Inflection: i-decl (Obl, pl): beeɣí	comparable-lexical-stem	The same lexical stem has citation aa and inflected ee before i; the accents were not used to retrieve this pair. This supports a productive i-declension accent class, not an old-accent inheritance claim.
f_bftntasugazbc		bardaáš	endurance; patience	bardeeší	Obl		L	1	S	1	citation-final-root-L; inflected-final-short-i-accent	consistent	Inflection: i-decl (Obl): bardeeší; Usage: Primarily used as a non-verb element in complex predicates	comparable-lexical-stem	The same lexical stem has citation aa and inflected ee before i; the accents were not used to retrieve this pair. This supports a productive i-declension accent class, not an old-accent inheritance claim.
f_f236htapldwci		bhakulaár	fatness	bhakuleerí	Obl		L	1	S	1	citation-final-root-L; inflected-final-short-i-accent	consistent	Inflection: i-decl (Obl): bhakuleerí	comparable-lexical-stem	The same lexical stem has citation aa and inflected ee before i; the accents were not used to retrieve this pair. This supports a productive i-declension accent class, not an old-accent inheritance claim.
f_e5bausjld6bts		bigaár	serfdom	bigeerí	Obl		L	1	S	1	citation-final-root-L; inflected-final-short-i-accent	consistent	Inflection: i-decl (Obl): bigeerí	comparable-lexical-stem	The same lexical stem has citation aa and inflected ee before i; the accents were not used to retrieve this pair. This supports a productive i-declension accent class, not an old-accent inheritance claim.
f_wtrlz3erutpo6		čarbhaáng	dawn	čarbheengí	Obl, pl		L	1	S	1	citation-final-root-L; inflected-final-short-i-accent	consistent	Inflection: i-decl (Obl, pl): čarbheengí	comparable-lexical-stem	The same lexical stem has citation aa and inflected ee before i; the accents were not used to retrieve this pair. This supports a productive i-declension accent class, not an old-accent inheritance claim.
f_t5g2wjz342ciu		čarbaáng	dawn	čarbheengí	Obl, pl	dialect:Phal:biori:Biori	L	1	S	1	citation-final-root-L; inflected-final-short-i-accent	consistent	Inflection: i-decl (Obl, pl): čarbheengí; Variant restriction: Biori	comparable-lexical-stem	The same lexical stem has citation aa and inflected ee before i; the accents were not used to retrieve this pair. This supports a productive i-declension accent class, not an old-accent inheritance claim.
f_haktt2flulack		daalaán	yard (outside house)	daaleení	Obl, pl		L	1	S	1	citation-final-root-L; inflected-final-short-i-accent	consistent	Inflection: i-decl (Obl, pl): daaleení	comparable-lexical-stem	The same lexical stem has citation aa and inflected ee before i; the accents were not used to retrieve this pair. This supports a productive i-declension accent class, not an old-accent inheritance claim.
f_xap43gnjpdgxs		dimaáɣ	brain; mind	dimeeɣí	Obl		L	1	S	1	citation-final-root-L; inflected-final-short-i-accent	consistent	Inflection: i-decl (Obl): dimeeɣí	comparable-lexical-stem	The same lexical stem has citation aa and inflected ee before i; the accents were not used to retrieve this pair. This supports a productive i-declension accent class, not an old-accent inheritance claim.
f_4347nhvpndvda		dukaán	shop, store	dukeení	Obl, pl		L	1	S	1	citation-final-root-L; inflected-final-short-i-accent	consistent	Inflection: i-decl (Obl, pl): dukeení	comparable-lexical-stem	The same lexical stem has citation aa and inflected ee before i; the accents were not used to retrieve this pair. This supports a productive i-declension accent class, not an old-accent inheritance claim.
f_yul4byzkag7im		ɣaár	(large) cave	ɣeerí	Obl, pl		L	1	S	1	citation-final-root-L; inflected-final-short-i-accent	consistent	Inflection: i-decl (Obl, pl): ɣeerí	comparable-lexical-stem	The same lexical stem has citation aa and inflected ee before i; the accents were not used to retrieve this pair. This supports a productive i-declension accent class, not an old-accent inheritance claim.
f_j3ypcfayd3sri		haál	hall; condition	heelí	Obl, pl		L	1	S	1	citation-final-root-L; inflected-final-short-i-accent	consistent	Inflection: i-decl (Obl, pl): heelí	comparable-lexical-stem	The same lexical stem has citation aa and inflected ee before i; the accents were not used to retrieve this pair. This supports a productive i-declension accent class, not an old-accent inheritance claim.
f_6tgwnoodhrkjg		hiimaál	glacier, packed snow; avalanche	hiimeelí	Obl, pl		L	1	S	1	citation-final-root-L; inflected-final-short-i-accent	consistent	Inflection: i-decl (Obl, pl): hiimeelí	comparable-lexical-stem	The same lexical stem has citation aa and inflected ee before i; the accents were not used to retrieve this pair. This supports a productive i-declension accent class, not an old-accent inheritance claim.
f_4ksth34gxekg4		ilaán	announcement	ileení	Obl		L	1	S	1	citation-final-root-L; inflected-final-short-i-accent	consistent	Inflection: i-decl (Obl): ileení; Usage: Primarily used as a non-verb element in complex predicates	comparable-lexical-stem	The same lexical stem has citation aa and inflected ee before i; the accents were not used to retrieve this pair. This supports a productive i-declension accent class, not an old-accent inheritance claim.
f_oopmhew6iiosg		imtihaán	examination, test	imtiheení	Obl, pl		L	1	S	1	citation-final-root-L; inflected-final-short-i-accent	consistent	Inflection: i-decl (Obl, pl): imtiheení	comparable-lexical-stem	The same lexical stem has citation aa and inflected ee before i; the accents were not used to retrieve this pair. This supports a productive i-declension accent class, not an old-accent inheritance claim.
f_mw6pphenk7jtc		inaám	gift	ineemí	Obl, pl		L	1	S	1	citation-final-root-L; inflected-final-short-i-accent	consistent	Inflection: i-decl (Obl, pl): ineemí	comparable-lexical-stem	The same lexical stem has citation aa and inflected ee before i; the accents were not used to retrieve this pair. This supports a productive i-declension accent class, not an old-accent inheritance claim.
f_zbdmmt6wyvn2q		insaáf	justice	inseefí	Obl, pl		L	1	S	1	citation-final-root-L; inflected-final-short-i-accent	consistent	Inflection: i-decl (Obl, pl): inseefí	comparable-lexical-stem	The same lexical stem has citation aa and inflected ee before i; the accents were not used to retrieve this pair. This supports a productive i-declension accent class, not an old-accent inheritance claim.
f_5bm3wkpvr27dw		intizaár	waiting	intizeerí	Obl, pl		L	1	S	1	citation-final-root-L; inflected-final-short-i-accent	consistent	Inflection: i-decl (Obl, pl): intizeerí; Usage: Primarily used as a non-verb element in complex predicates	comparable-lexical-stem	The same lexical stem has citation aa and inflected ee before i; the accents were not used to retrieve this pair. This supports a productive i-declension accent class, not an old-accent inheritance claim.
f_ld4mfv3ncdgp6		islaám	Islam	isleemí	Obl		L	1	S	1	citation-final-root-L; inflected-final-short-i-accent	consistent	Inflection: i-decl (Obl): isleemí	comparable-lexical-stem	The same lexical stem has citation aa and inflected ee before i; the accents were not used to retrieve this pair. This supports a productive i-declension accent class, not an old-accent inheritance claim.
f_6qfjwqm6ha6ku		ǰhaáz	aeroplane; vessel	ǰheezí	Obl, pl		L	1	S	1	citation-final-root-L; inflected-final-short-i-accent	consistent	Inflection: i-decl (Obl, pl): ǰheezí	comparable-lexical-stem	The same lexical stem has citation aa and inflected ee before i; the accents were not used to retrieve this pair. This supports a productive i-declension accent class, not an old-accent inheritance claim.
f_kbddrctgnldfe		ǰamaát	class, grade	ǰameetí	Obl, pl		L	1	S	1	citation-final-root-L; inflected-final-short-i-accent	consistent	Inflection: i-decl (Obl, pl): ǰameetí	comparable-lexical-stem	The same lexical stem has citation aa and inflected ee before i; the accents were not used to retrieve this pair. This supports a productive i-declension accent class, not an old-accent inheritance claim.
f_47u3ly3ybbxl6		ǰanǰaál	quarrel; war	ǰanǰeelí	Obl, pl		L	1	S	1	citation-final-root-L; inflected-final-short-i-accent	consistent	Inflection: i-decl (Obl, pl): ǰanǰeelí	comparable-lexical-stem	The same lexical stem has citation aa and inflected ee before i; the accents were not used to retrieve this pair. This supports a productive i-declension accent class, not an old-accent inheritance claim.
f_a5s3m5ze2mbq6		ǰazbaát	emotion, feeling	ǰazbeetí	Obl, pl		L	1	S	1	citation-final-root-L; inflected-final-short-i-accent	consistent	Inflection: i-decl (Obl, pl): ǰazbeetí	comparable-lexical-stem	The same lexical stem has citation aa and inflected ee before i; the accents were not used to retrieve this pair. This supports a productive i-declension accent class, not an old-accent inheritance claim.
f_mrh5mss5kvm6s		ǰumaát	mosque	ǰumeetí	Obl, pl		L	1	S	1	citation-final-root-L; inflected-final-short-i-accent	consistent	Inflection: i-decl (Obl, pl): ǰumeetí	comparable-lexical-stem	The same lexical stem has citation aa and inflected ee before i; the accents were not used to retrieve this pair. This supports a productive i-declension accent class, not an old-accent inheritance claim.
f_simwwkbsatsx4		kalighaáṣ	big centipede	kaligheeṣí	Obl, pl		L	1	S	1	citation-final-root-L; inflected-final-short-i-accent	consistent	Inflection: i-decl (Obl, pl): kaligheeṣí	comparable-lexical-stem	The same lexical stem has citation aa and inflected ee before i; the accents were not used to retrieve this pair. This supports a productive i-declension accent class, not an old-accent inheritance claim.
f_o7ny5fqgyqd5q		kaṛaáw	effort; extra work, burden	kaṛeewí	Obl, pl		L	1	S	1	citation-final-root-L; inflected-final-short-i-accent	consistent	Inflection: i-decl (Obl, pl): kaṛeewí	comparable-lexical-stem	The same lexical stem has citation aa and inflected ee before i; the accents were not used to retrieve this pair. This supports a productive i-declension accent class, not an old-accent inheritance claim.
f_lezpxxbwq73r4		kitaáb	book	kiteebí	Obl, pl		L	1	S	1	citation-final-root-L; inflected-final-short-i-accent	consistent	Inflection: i-decl (Obl, pl): kiteebí	comparable-lexical-stem	The same lexical stem has citation aa and inflected ee before i; the accents were not used to retrieve this pair. This supports a productive i-declension accent class, not an old-accent inheritance claim.
f_ws3wlawve5lpi		laawaáṇ	broth; soup	laaweeṇí	Obl		L	1	S	1	citation-final-root-L; inflected-final-short-i-accent	consistent	Inflection: i-decl (Obl): laaweeṇí	comparable-lexical-stem	The same lexical stem has citation aa and inflected ee before i; the accents were not used to retrieve this pair. This supports a productive i-declension accent class, not an old-accent inheritance claim.
f_ben4njjx7vqda		maalumaát	information	maalumeetí	Obl, pl		L	1	S	1	citation-final-root-L; inflected-final-short-i-accent	consistent	Inflection: i-decl (Obl, pl): maalumeetí	comparable-lexical-stem	The same lexical stem has citation aa and inflected ee before i; the accents were not used to retrieve this pair. This supports a productive i-declension accent class, not an old-accent inheritance claim.
f_prxoypkhk6au4		mheerabaán	thank, thanks	mheerabeení	Obl, pl		L	1	S	1	citation-final-root-L; inflected-final-short-i-accent	consistent	Inflection: i-decl (Obl, pl): mheerabeení; Usage: Primarily used in its plural form, often in polite exchanges of greetings.	comparable-lexical-stem	The same lexical stem has citation aa and inflected ee before i; the accents were not used to retrieve this pair. This supports a productive i-declension accent class, not an old-accent inheritance claim.
f_dfn7khd5ytara		misaál	example	miseelí	Obl, pl		L	1	S	1	citation-final-root-L; inflected-final-short-i-accent	consistent	Inflection: i-decl (Obl, pl): miseelí	comparable-lexical-stem	The same lexical stem has citation aa and inflected ee before i; the accents were not used to retrieve this pair. This supports a productive i-declension accent class, not an old-accent inheritance claim.
f_o3be7ais4mwas		musaál	example	miseelí	Obl, pl		L	1	S	1	citation-final-root-L; inflected-final-short-i-accent	consistent	Inflection: i-decl (Obl, pl): miseelí	comparable-lexical-stem	The same lexical stem has citation aa and inflected ee before i; the accents were not used to retrieve this pair. This supports a productive i-declension accent class, not an old-accent inheritance claim.
f_w7mvth3bi2g4m		mulaaqaát	meeting, encountering	mulaaqeetí	Obl, pl		L	1	S	1	citation-final-root-L; inflected-final-short-i-accent	consistent	Inflection: i-decl (Obl, pl): mulaaqeetí; Usage: Primarily used as a non-verb element in complex predicates	comparable-lexical-stem	The same lexical stem has citation aa and inflected ee before i; the accents were not used to retrieve this pair. This supports a productive i-declension accent class, not an old-accent inheritance claim.
f_awz53ddkgnd7k		nuqsaán	damage	nuqseení	Obl, pl		L	1	S	1	citation-final-root-L; inflected-final-short-i-accent	consistent	Inflection: i-decl (Obl, pl): nuqseení	comparable-lexical-stem	The same lexical stem has citation aa and inflected ee before i; the accents were not used to retrieve this pair. This supports a productive i-declension accent class, not an old-accent inheritance claim.
f_rkx37v4beqbq2		noqsaán	damage	nuqseení	Obl, pl		L	1	S	1	citation-final-root-L; inflected-final-short-i-accent	consistent	Inflection: i-decl (Obl, pl): nuqseení	comparable-lexical-stem	The same lexical stem has citation aa and inflected ee before i; the accents were not used to retrieve this pair. This supports a productive i-declension accent class, not an old-accent inheritance claim.
f_rkjainn5k3nog		oombaár	canal inlet	oombeerí	Obl, pl		L	1	S	1	citation-final-root-L; inflected-final-short-i-accent	consistent	Inflection: i-decl (Obl, pl): oombeerí	comparable-lexical-stem	The same lexical stem has citation aa and inflected ee before i; the accents were not used to retrieve this pair. This supports a productive i-declension accent class, not an old-accent inheritance claim.
f_r42ycfa7hqthc		paakistaán	Pakistan	paakisteení	Obl		L	1	S	1	citation-final-root-L; inflected-final-short-i-accent	consistent	Inflection: i-decl (Obl): paakisteení	comparable-lexical-stem	The same lexical stem has citation aa and inflected ee before i; the accents were not used to retrieve this pair. This supports a productive i-declension accent class, not an old-accent inheritance claim.
f_zleetkj5xpykk		palighaáṣ	four year old male goat	paligheeṣí	Obl, pl		L	1	S	1	citation-final-root-L; inflected-final-short-i-accent	consistent	Inflection: i-decl (Obl, pl): paligheeṣí	comparable-lexical-stem	The same lexical stem has citation aa and inflected ee before i; the accents were not used to retrieve this pair. This supports a productive i-declension accent class, not an old-accent inheritance claim.
f_peyh23hgbodl4	8906	parhaár	wound	parheerí	Obl, pl		L	1	S	1	citation-final-root-L; inflected-final-short-i-accent	consistent	Inflection: i-decl (Obl, pl): parheerí	comparable-lexical-stem	The same lexical stem has citation aa and inflected ee before i; the accents were not used to retrieve this pair. This supports a productive i-declension accent class, not an old-accent inheritance claim.
f_g6nucgrncxiim		pruugraám	programme	pruugreemí	Obl, pl		L	1	S	1	citation-final-root-L; inflected-final-short-i-accent	consistent	Inflection: i-decl (Obl, pl): pruugreemí	comparable-lexical-stem	The same lexical stem has citation aa and inflected ee before i; the accents were not used to retrieve this pair. This supports a productive i-declension accent class, not an old-accent inheritance claim.
f_cxv6opo34xwla		puurgaám	programme	pruugreemí	Obl, pl		L	1	S	1	citation-final-root-L; inflected-final-short-i-accent	consistent	Inflection: i-decl (Obl, pl): pruugreemí	comparable-lexical-stem	The same lexical stem has citation aa and inflected ee before i; the accents were not used to retrieve this pair. This supports a productive i-declension accent class, not an old-accent inheritance claim.
f_xvemz4z3alsdy		quraán	the Qur'an	qureení	Obl		L	1	S	1	citation-final-root-L; inflected-final-short-i-accent	consistent	Inflection: i-decl (Obl): qureení	comparable-lexical-stem	The same lexical stem has citation aa and inflected ee before i; the accents were not used to retrieve this pair. This supports a productive i-declension accent class, not an old-accent inheritance claim.
f_wrbm4lkflf2p4		rhoošnaám	morning	rhoošneemí	Obl		L	1	S	1	citation-final-root-L; inflected-final-short-i-accent	consistent	Inflection: i-decl (Obl): rhoošneemí	comparable-lexical-stem	The same lexical stem has citation aa and inflected ee before i; the accents were not used to retrieve this pair. This supports a productive i-declension accent class, not an old-accent inheritance claim.
f_3orleu26h5sj6		roošnaám	morning	rhoošneemí	Obl	dialect:Phal:biori:Biori	L	1	S	1	citation-final-root-L; inflected-final-short-i-accent	consistent	Inflection: i-decl (Obl): rhoošneemí; Variant restriction: Biori	comparable-lexical-stem	The same lexical stem has citation aa and inflected ee before i; the accents were not used to retrieve this pair. This supports a productive i-declension accent class, not an old-accent inheritance claim.
f_pke6tngkb2kbc		rikaáḍ	recording; record	rikeeḍí	Obl, pl		L	1	S	1	citation-final-root-L; inflected-final-short-i-accent	consistent	Inflection: i-decl (Obl, pl): rikeeḍí; Usage: Primarily used as a non-verb element in complex predicates	comparable-lexical-stem	The same lexical stem has citation aa and inflected ee before i; the accents were not used to retrieve this pair. This supports a productive i-declension accent class, not an old-accent inheritance claim.
f_jevhihyuwbjuo		riwaáǰ	custom, tradition	riweeǰí	Obl, pl		L	1	S	1	citation-final-root-L; inflected-final-short-i-accent	consistent	Inflection: i-decl (Obl, pl): riweeǰí	comparable-lexical-stem	The same lexical stem has citation aa and inflected ee before i; the accents were not used to retrieve this pair. This supports a productive i-declension accent class, not an old-accent inheritance claim.
f_jvs5aaq4v2pca		saamaán	things, stuff	saameení	Obl		L	1	S	1	citation-final-root-L; inflected-final-short-i-accent	consistent	Inflection: i-decl (Obl): saameení	comparable-lexical-stem	The same lexical stem has citation aa and inflected ee before i; the accents were not used to retrieve this pair. This supports a productive i-declension accent class, not an old-accent inheritance claim.
f_no75pl6faee22		sahaát	time, a while	saheetí	Obl, pl		L	1	S	1	citation-final-root-L; inflected-final-short-i-accent	consistent	Inflection: i-decl (Obl, pl): saheetí	comparable-lexical-stem	The same lexical stem has citation aa and inflected ee before i; the accents were not used to retrieve this pair. This supports a productive i-declension accent class, not an old-accent inheritance claim.
f_3npdubdbsskkc		salaám	greeting	saleemí	Obl, pl		L	1	S	1	citation-final-root-L; inflected-final-short-i-accent	consistent	Inflection: i-decl (Obl, pl): saleemí; Usage: Primarily used as a non-verb element in complex predicates	comparable-lexical-stem	The same lexical stem has citation aa and inflected ee before i; the accents were not used to retrieve this pair. This supports a productive i-declension accent class, not an old-accent inheritance claim.
f_ptbsdpoffnm6o		sitaár	sitar (musical instrument)	siteerí	Pl, obl		L	1	S	1	citation-final-root-L; inflected-final-short-i-accent	consistent	Inflection: i-decl (Pl, obl): siteerí	comparable-lexical-stem	The same lexical stem has citation aa and inflected ee before i; the accents were not used to retrieve this pair. This supports a productive i-declension accent class, not an old-accent inheritance claim.
f_6bzbyubxz6s74		šaál	veil; sheet; shawl	šeelí	Obl, pl		L	1	S	1	citation-final-root-L; inflected-final-short-i-accent	consistent	Inflection: i-decl (Obl, pl): šeelí	comparable-lexical-stem	The same lexical stem has citation aa and inflected ee before i; the accents were not used to retrieve this pair. This supports a productive i-declension accent class, not an old-accent inheritance claim.
f_ad7axyvp23fn6		šaáx	branch (genealogical)	šeexí	Obl, pl		L	1	S	1	citation-final-root-L; inflected-final-short-i-accent	consistent	Inflection: i-decl (Obl, pl): šeexí	comparable-lexical-stem	The same lexical stem has citation aa and inflected ee before i; the accents were not used to retrieve this pair. This supports a productive i-declension accent class, not an old-accent inheritance claim.
f_k6jpyyb2jstte		šidalaár	coldness	šidaleerí	Obl		L	1	S	1	citation-final-root-L; inflected-final-short-i-accent	consistent	Inflection: i-decl (Obl): šidaleerí	comparable-lexical-stem	The same lexical stem has citation aa and inflected ee before i; the accents were not used to retrieve this pair. This supports a productive i-declension accent class, not an old-accent inheritance claim.
f_7fvsosyu2vpuk		šišawaár	beauty	šišaweerí	Obl, pl		L	1	S	1	citation-final-root-L; inflected-final-short-i-accent	consistent	Inflection: i-decl (Obl, pl): šišaweerí	comparable-lexical-stem	The same lexical stem has citation aa and inflected ee before i; the accents were not used to retrieve this pair. This supports a productive i-declension accent class, not an old-accent inheritance claim.
f_2jz5daavhokn6		taáǰ	crown	teeǰí	Obl, pl		L	1	S	1	citation-final-root-L; inflected-final-short-i-accent	consistent	Inflection: i-decl (Obl, pl): teeǰí	comparable-lexical-stem	The same lexical stem has citation aa and inflected ee before i; the accents were not used to retrieve this pair. This supports a productive i-declension accent class, not an old-accent inheritance claim.
f_4tpbyttjwfcn2		taár	wire	teerí	Pl, obl		L	1	S	1	citation-final-root-L; inflected-final-short-i-accent	consistent	Inflection: i-decl (Pl, obl): teerí	comparable-lexical-stem	The same lexical stem has citation aa and inflected ee before i; the accents were not used to retrieve this pair. This supports a productive i-declension accent class, not an old-accent inheritance claim.
f_cqtygeiirggyy		traambumaáṇ	wasp's nest	traambumeeṇí	Obl, pl		L	1	S	1	citation-final-root-L; inflected-final-short-i-accent	consistent	Inflection: i-decl (Obl, pl): traambumeeṇí	comparable-lexical-stem	The same lexical stem has citation aa and inflected ee before i; the accents were not used to retrieve this pair. This supports a productive i-declension accent class, not an old-accent inheritance claim.
f_sgvvv6rxcvvme		xabaár	news, information	xabeerí	Obl, pl		L	1	S	1	citation-final-root-L; inflected-final-short-i-accent	consistent	Inflection: i-decl (Obl, pl): xabeerí	comparable-lexical-stem	The same lexical stem has citation aa and inflected ee before i; the accents were not used to retrieve this pair. This supports a productive i-declension accent class, not an old-accent inheritance claim.
f_wjycsn4v4zsv2		xeeraát	happiness; peace	xeereetí	Obl, pl		L	1	S	1	citation-final-root-L; inflected-final-short-i-accent	consistent	Inflection: i-decl (Obl, pl): xeereetí	comparable-lexical-stem	The same lexical stem has citation aa and inflected ee before i; the accents were not used to retrieve this pair. This supports a productive i-declension accent class, not an old-accent inheritance claim.
f_trgo36y7pvdzc		xoraák	food; livelihood	xoreekí	Obl		L	1	S	1	citation-final-root-L; inflected-final-short-i-accent	consistent	Inflection: i-decl (Obl): xoreekí	comparable-lexical-stem	The same lexical stem has citation aa and inflected ee before i; the accents were not used to retrieve this pair. This supports a productive i-declension accent class, not an old-accent inheritance claim.
f_cjxfs33pltp7s		yaadgaár	memory	yaadgeerí	Obl, pl		L	1	S	1	citation-final-root-L; inflected-final-short-i-accent	consistent	Inflection: i-decl (Obl, pl): yaadgeerí	comparable-lexical-stem	The same lexical stem has citation aa and inflected ee before i; the accents were not used to retrieve this pair. This supports a productive i-declension accent class, not an old-accent inheritance claim.
f_26cwzonouzuqg		zabaán	language	zubeení	Obl, Pl		L	1	S	1	citation-final-root-L; inflected-final-short-i-accent	consistent	Inflection: i-decl (Obl, Pl): zubeení	comparable-lexical-stem	The same lexical stem has citation aa and inflected ee before i; the accents were not used to retrieve this pair. This supports a productive i-declension accent class, not an old-accent inheritance claim.
f_7qj52no7k4jg6		zubaán	language	zubeení	Obl, Pl		L	1	S	1	citation-final-root-L; inflected-final-short-i-accent	consistent	Inflection: i-decl (Obl, Pl): zubeení	comparable-lexical-stem	The same lexical stem has citation aa and inflected ee before i; the accents were not used to retrieve this pair. This supports a productive i-declension accent class, not an old-accent inheritance claim.
f_7uajz5tyhjtfu	9560	ghuumaál	earthquake	ghuumeelí	Obl, pl		L	1	S	1	citation-final-root-L; inflected-final-short-i-accent	consistent	Inflection: i-decl (Obl, pl): ghuumeelí	comparable-lexical-stem	The same lexical stem has citation aa and inflected ee before i; the accents were not used to retrieve this pair. This supports a productive i-declension accent class, not an old-accent inheritance claim.
f_ibawg2cct3mpe		gilaás	glass (drinking vessel)	gileesí	Obl, pl		L	1	S	1	citation-final-root-L; inflected-final-short-i-accent	consistent	Inflection: i-decl (Obl, pl): gileesí	comparable-lexical-stem	The same lexical stem has citation aa and inflected ee before i; the accents were not used to retrieve this pair. This supports a productive i-declension accent class, not an old-accent inheritance claim.
