locator	kind	record_ids	family_id	decision
record_decisions_09.jsonl:1	record_decisions*.jsonl	"[""f_t3jpshztsgh46""]"	13574	"{""record_id"": ""f_t3jpshztsgh46"", ""database_family_id"": ""13573"", ""research_family_id"": ""13574"", ""decision"": ""correct-editorial-reference"", ""evidence"": ""Liljegren2013p137Table9 explicitly compares Kalkoti siir sun with Palula/Kohistani súuri sun.20260825-liljegren-kalkoti-etymology.csv line133 carries13573 from the2022 editorial snapshot; source bibliography metadata confirms this is editorial, not a printed Turner reference. Turner13573 is soup;13574 is sun."", ""confidence"": ""high-family-level; immediate-formation-open""}"
record_decisions_09.jsonl:2	record_decisions*.jsonl	"[""f_k7rbgq26trhi2""]"		"{""record_id"": ""f_k7rbgq26trhi2"", ""database_family_id"": ""13726"", ""decision"": ""exclude-unsupported-ancestry-from-strict-accent-test"", ""evidence"": ""Liljegren2013p150example16 confirms suwaa all but supplies no old etymology.13726 praise is a2022 editorial crosswalk assignment. Adjacent13727 mass is only a semantic candidate, not a verified correction."", ""confidence"": ""high-exclusion; replacement-unresolved""}"
record_decisions_10.jsonl:1	record_decisions*.jsonl	"[""f_23hpzg5yz7omw""]"		"{""record_id"": ""f_23hpzg5yz7omw"", ""decision"": ""research-gloss-form-boundary-correction"", ""research_original"": ""khe"", ""research_gloss"": ""(he) bites"", ""evidence"": ""Checked-in raw Ushojo extraction item183 reads '(he) bites kh' followed by superscript-line e; installed parser incorrectly included English bites in the form."", ""confidence"": ""high-raw-boundary""}"
record_decisions_10.jsonl:2	record_decisions*.jsonl	"[""f_p7lhy2vdamh2g""]"		"{""record_id"": ""f_p7lhy2vdamh2g"", ""decision"": ""research-gloss-form-boundary-correction"", ""research_original"": ""beʂɛ'lɑlo"", ""research_gloss"": ""(he) was hungry"", ""evidence"": ""Raw Ushojo item184 '(he) was hungry beS7E'làlo'; English predicate belongs to gloss, not phonetic form."", ""confidence"": ""high-raw-boundary""}"
record_decisions_10.jsonl:3	record_decisions*.jsonl	"[""f_6bfg62hdkxoby""]"		"{""record_id"": ""f_6bfg62hdkxoby"", ""decision"": ""research-gloss-form-boundary-correction"", ""research_original"": ""piː"", ""research_gloss"": ""(he) drank"", ""evidence"": ""Raw Ushojo item185 '(he) drank pië'; English drank was included in installed form."", ""confidence"": ""high-raw-boundary""}"
record_decisions_10.jsonl:4	record_decisions*.jsonl	"[""f_ab5suchsyz2ww""]"		"{""record_id"": ""f_ab5suchsyz2ww"", ""decision"": ""research-gloss-form-boundary-correction"", ""research_original"": ""teʃɛ'lɑlo"", ""research_gloss"": ""(he) was thirsty"", ""evidence"": ""Raw Ushojo item186 '(he) was thirsty te}E'làlo'; English predicate belongs to gloss."", ""confidence"": ""high-raw-boundary""}"
record_decisions_10.jsonl:5	record_decisions*.jsonl	"[""f_yx44gt7dld2g4""]"		"{""record_id"": ""f_yx44gt7dld2g4"", ""decision"": ""research-gloss-form-boundary-correction"", ""research_original"": ""'suto"", ""research_gloss"": ""(he) slept"", ""evidence"": ""Raw Ushojo item187 '(he) slept 'suto'; English slept was included in installed form."", ""confidence"": ""high-raw-boundary""}"
record_decisions_10.jsonl:6	record_decisions*.jsonl	"[""f_5njdwsighneb4""]"		"{""record_id"": ""f_5njdwsighneb4"", ""decision"": ""research-gloss-form-boundary-correction"", ""research_original"": ""'mɑːre"", ""research_gloss"": ""(you) killed"", ""evidence"": ""Raw Ushojo item193 '(you) killed 'màëre'; English killed was included in installed form."", ""confidence"": ""high-raw-boundary""}"
record_decisions_10.jsonl:7	record_decisions*.jsonl	"[""f_wgqq4x6imxhfs""]"		"{""record_id"": ""f_wgqq4x6imxhfs"", ""decision"": ""research-gloss-form-boundary-correction"", ""research_original"": ""hun 'bili"", ""research_gloss"": ""(bird) flew"", ""evidence"": ""Raw Ushojo item194 '(bird) flew hun 'bili'; English flew was included in installed form."", ""confidence"": ""high-raw-boundary""}"
record_decisions_11.jsonl:1	record_decisions*.jsonl	"[""f_fwcnrggsewdje""]"	9827	"{""record_id"": ""f_fwcnrggsewdje"", ""decision"": ""research-reference-correction"", ""database_family_id"": ""11221"", ""research_family_id"": ""9827"", ""research_ancestor_id"": ""9827"", ""evidence"": ""Printed SchmidtKaul2008p261Table2item49 verifies Gilgit manúj̣o person; Degener independently links manúẓo to mánuṣa9827. The DB's11221ridgepole assignment is incompatible with both form and meaning and is not a Turner number printed in this table."", ""confidence"": ""high""}"
record_decisions_11.jsonl:2	record_decisions*.jsonl	"[""f_mydhsxe6ltqsc""]"	9827	"{""record_id"": ""f_mydhsxe6ltqsc"", ""decision"": ""research-reference-correction"", ""database_family_id"": ""11221"", ""research_family_id"": ""9827"", ""research_ancestor_id"": ""9827"", ""evidence"": ""Printed SchmidtKaul2008p261item49 verifies Kohistani manúuẓo person; the correct lexical family is mánuṣa9827, not11221ridgepole."", ""confidence"": ""high""}"
record_decisions_11.jsonl:3	record_decisions*.jsonl	"[""f_nhv3wxlrqsmhu""]"	9827	"{""record_id"": ""f_nhv3wxlrqsmhu"", ""decision"": ""research-reference-correction"", ""database_family_id"": ""11221"", ""research_family_id"": ""9827"", ""research_ancestor_id"": ""9827"", ""evidence"": ""Printed SchmidtKaul2008p261item49 verifies Guresi manúuj̣u person; the correct lexical family is mánuṣa9827, not11221ridgepole."", ""confidence"": ""high""}"
record_decisions_11.jsonl:4	record_decisions*.jsonl	"[""f_c74poxd64dw56""]"	9827	"{""record_id"": ""f_c74poxd64dw56"", ""decision"": ""research-reference-correction"", ""database_family_id"": ""11221"", ""research_family_id"": ""9827"", ""research_ancestor_id"": ""9827"", ""evidence"": ""Printed SchmidtKaul2008p261item49 verifies Astori manúuẓo person; the correct lexical family is mánuṣa9827, not11221ridgepole."", ""confidence"": ""high""}"
record_decisions_12.jsonl:1	record_decisions*.jsonl	"[""f_d4op4ldv3xkqc""]"		"{""record_id"": ""f_d4op4ldv3xkqc"", ""decision"": ""exclude-strict-vaksas-cluster-test"", ""basis"": ""Full Turner11188Addenda explicitly rejects the Shina lung attribution and redirects to tentative9423a; retain raw and research DB family for audit, but exclude its use as an independent kṣ-lengthening proof. Degener raw H381 gloss is Lunge, not armpit.""}"
record_decisions_12.jsonl:2	record_decisions*.jsonl	"[""f_yaof3njnm2gms""]"		"{""record_id"": ""f_yaof3njnm2gms"", ""decision"": ""exclude-inherited-devarajani-accent"", ""basis"": ""Full Turner6534 mentions Phal. abhīṇi as Pashto bən co-wife loan in a semantic aside. It is not a dēvarajāni descendant. Its real Palula accent and m-declension remain available for contact/morphology analysis.""}"
record_decisions_12.jsonl:3	record_decisions*.jsonl	"[""f_xxbem62yyjltc""]"		"{""record_id"": ""f_xxbem62yyjltc"", ""decision"": ""correct-source-row-gloss"", ""research_gloss"": ""highest summer pasture (source-row attachment provisional)"", ""basis"": ""Printed SchmidtKaulp268places caris after uulo tsib within118 before the separate119hill row zuŋ; exact layout should remain visible in appendix.""}"
record_decisions_12.jsonl:4	record_decisions*.jsonl	"[""f_zskaetabxilgu""]"		"{""record_id"": ""f_zskaetabxilgu"", ""decision"": ""correct-source-row-gloss"", ""research_gloss"": ""highest summer pasture (source-row attachment provisional)"", ""basis"": ""Printed SchmidtKaulp268places naglis after uulo tsib within118 before the separate119hill row zuŋ; raw hill gloss retained for audit.""}"
record_decisions_13.jsonl:1	record_decisions*.jsonl	"[""f_rkdga6af6yh3g""]"		"{""record_id"": ""f_rkdga6af6yh3g"", ""decision"": ""exclude-weight-light-from-turmeric"", ""research_gloss"": ""light in weight"", ""basis"": ""Kundal primary wordlist places lut under weight light; the DB link13992haridrā turmeric confuses weight/color senses. No secure replacement etymology accepted.""}"
record_decisions_13.jsonl:2	record_decisions*.jsonl	"[""f_ka3fnoozlo5v6""]"		"{""record_id"": ""f_ka3fnoozlo5v6"", ""decision"": ""correct-English-gloss-spillover"", ""research_original"": ""'kaṭe 'dae"", ""basis"": ""Ushojo raw SSNP item202: following English words belong to the gloss, not the form. This is a wood+burn phrase, not a simple inherited participle.""}"
record_decisions_13.jsonl:3	record_decisions*.jsonl	"[""f_xzhxdsi4zfe7g""]"		"{""record_id"": ""f_xzhxdsi4zfe7g"", ""decision"": ""correct-English-gloss-spillover"", ""research_original"": ""'horomos"", ""basis"": ""Ushojo raw SSNP item229: following English a moon is explanatory gloss. Internal month element plausible, exact construction/first member unresolved.""}"
record_decisions_13.jsonl:4	record_decisions*.jsonl	"[""f_hkx5jx4l23oou""]"		"{""record_id"": ""f_hkx5jx4l23oou"", ""decision"": ""correct-English-gloss-spillover"", ""research_original"": ""bʌ'jala bo"", ""basis"": ""Ushojo raw SSNP item199; English lay down excluded from source form. Multiword construction retained.""}"
record_decisions_13.jsonl:5	record_decisions*.jsonl	"[""f_l6b3j7lxbjo62""]"		"{""record_id"": ""f_l6b3j7lxbjo62"", ""decision"": ""correct-English-gloss-spillover"", ""research_original"": ""be"", ""basis"": ""Ushojo raw SSNP item200; English sit down is gloss. Short unmarked imperative does not give mora-accent evidence.""}"
record_decisions_13.jsonl:6	record_decisions*.jsonl	"[""f_cfwlt56ptpaw2""]"		"{""record_id"": ""f_cfwlt56ptpaw2"", ""decision"": ""correct-English-gloss-spillover"", ""research_original"": ""ɛk 'šei"", ""basis"": ""Ushojo raw SSNP same consists of one+thing phrase; English continuation excluded.""}"
record_decisions_13.jsonl:7	record_decisions*.jsonl	"[""f_u3kekobdvhesa""]"		"{""record_id"": ""f_u3kekobdvhesa"", ""decision"": ""correct-English-gloss-spillover"", ""research_original"": ""a'ni 'šei"", ""basis"": ""Ushojo raw SSNP these: demonstrative+thing phrase, English continuation excluded.""}"
record_decisions_13.jsonl:8	record_decisions*.jsonl	"[""f_ozkuquiaj7pog""]"		"{""record_id"": ""f_ozkuquiaj7pog"", ""decision"": ""correct-English-gloss-spillover"", ""research_original"": ""'pili 'šei"", ""basis"": ""Ushojo raw SSNP those: demonstrative+thing phrase, English continuation excluded.""}"
record_decisions_14.jsonl:1	record_decisions*.jsonl	"[""f_4z4oezpucqaty"", ""f_4wsrrfwzvmlma"", ""f_oacduhvj5qp36"", ""f_wdty6gphsqyga"", ""f_khnwvqiadybno"", ""f_eoqkwzlan3a3y"", ""f_i7pra2wshxrhc"", ""f_bdllatxx66xqu"", ""f_dk5u725b3htho"", ""f_vrwi2ivu6ywic""]"		"{""record_ids"": [""f_4z4oezpucqaty"", ""f_4wsrrfwzvmlma"", ""f_oacduhvj5qp36"", ""f_wdty6gphsqyga"", ""f_khnwvqiadybno"", ""f_eoqkwzlan3a3y"", ""f_i7pra2wshxrhc"", ""f_bdllatxx66xqu"", ""f_dk5u725b3htho"", ""f_vrwi2ivu6ywic""], ""decision"": ""exclude-Iranian-year-from-kala-inheritance"", ""basis"": ""saal/sɑl year is the regional Iranian year word; Liljegren explicitly labels saál an Urdu loan. It is not a segmentally regular reflex of kālá. Keep modern accent and loan morphology in full appendix; exclude from inherited kālá prediction.""}"
record_decisions_14.jsonl:2	record_decisions*.jsonl	"[""f_25d7iskw7rrny""]"		"{""record_id"": ""f_25d7iskw7rrny"", ""decision"": ""exclude-compound-from-spread-passive"", ""basis"": ""Degener baṭ-káaṭo is explicitly stone+wood, figuratively materialthings/hardships. Its raw T12010 citation points to vistīryate spread and is erroneous in the checked-in transcription; printed source unavailable. Components11348stone and3120wood separately supported. No passive-spread accent test.""}"
record_decisions_15.jsonl:1	record_decisions*.jsonl	"[""f_uydedshhrm7fw"", ""f_ezz5k3s44qs3y"", ""f_ui75a22orqdfy""]"	9063	"{""record_ids"": [""f_uydedshhrm7fw"", ""f_ezz5k3s44qs3y"", ""f_ui75a22orqdfy""], ""decision"": ""correct-nearest-formation-for-fig"", ""research_family_id"": ""9063"", ""research_ancestor_id"": ""9063-2"", ""basis"": ""Full Turner entry9063, printedpage509, branch2 explicitly gives *phālgu as the formation containing the Shina phāgu comparison. The corrupted broad digital heading pǹalgu is not an accented short-root input. Existing CDIAL records already use9063-2. Preserve the broad family and the observed late-mora forms; remove these tokens from the short-a cluster screen. This correction is based on the complete etymological entry, not the accent outcome.""}"
formation_decisions.jsonl:1	formation_decisions*.jsonl	[null]	8399	"{""family_id"": ""8399"", ""language"": ""Phal"", ""research_ancestor_id"": ""8399-9"", ""basis"": ""Full Turner8399 branch9 explicitly places Palula phō boy and phoyī/phōī girl under unaccented *phōta, distinct from accented pōta in branch1. Apply this documented nearest formation to Palula boy/girl tokens, including the reviewed two-source split. It removes a false old-barytone input; it does not explain the modern late accent or prove that *phōta differed accentually from pōta.""}"
formation_decisions.jsonl:2	formation_decisions*.jsonl	[null]	12664	"{""family_id"": ""12664"", ""gloss_regex"": ""spleen"", ""research_ancestor_id"": ""12664-3"", ""basis"": ""Full Turner12664 branch3 reconstructs unaccented *śyāmī specifically for spleen, with Palula šēmi and Shina šōm explicitly included. The initially accented Shina spleen forms must not be tested directly against the final-accented colour adjective śyāmá in branch1.""}"
formation_decisions.jsonl:3	formation_decisions*.jsonl	[null]	12664	"{""family_id"": ""12664"", ""gloss_regex"": ""monal|pheasant|hen of either bird"", ""research_ancestor_id"": ""12664-2"", ""basis"": ""Full Turner12664 branch2 gives śyāmā, without accent, for the dark female bird and explicitly lists Palula and Shina. This is independently a feminine nominal formation, distinct from branch1 śyāmá colour adjective and branch3 *śyāmī spleen.""}"
formation_decisions.jsonl:4	formation_decisions*.jsonl	[null]	6546	"{""family_id"": ""6546"", ""language"": ""Phal"", ""research_ancestor_id"": ""6546-2"", ""basis"": ""Full Turner6546 branch2 places Palula dīr under dēvará, explicitly also dḗvara, not directly under branch1 dēvṛ́. The machine-readable branch heading omits the barytone alternative; retain the old-accent ambiguity in interpretation and sensitivity analysis.""}"
formation_decisions.jsonl:5	formation_decisions*.jsonl	[null]	13355	"{""family_id"": ""13355"", ""gloss_regex"": ""ice|snow"", ""strict_exclusion"": ""source-explicitly-doubtful-ice-etymology"", ""basis"": ""Full Turner13355 explicitly calls the ice comparison phonetically doubtful and compares Wakhi sūr. Modern Palula soór is real late and raised, but cannot establish an exception to an inherited sā́ra sound law without first resolving this source-stated etymological doubt.""}"
source_observations.jsonl:1	source_observations*.jsonl	"[""f_gizidefpekmbm""]"		"{""record_id"": ""f_gizidefpekmbm"", ""source"": ""SchmidtKaul2008p258Table2item14, printed scan inspected"", ""reading_override"": {""reading_form"": ""moos"", ""modern_accent_count"": 0, ""modern_accent_position"": """", ""modern_accent_from_right"": """", ""modern_accent_quantity"": """", ""modern_outcome"": ""unmarked"", ""stress_position"": """", ""stress_from_right"": """"}, ""basis"": ""The Brokskat cell prints moos without acute or stress mark. Adjacent Shina columns print moós. Preserve the DB original but do not treat its imported acute as Brokskat pitch evidence.""}"
source_observations.jsonl:2	source_observations*.jsonl	"[""f_6zifxjh2klbeo""]"		"{""record_id"": ""f_6zifxjh2klbeo"", ""source"": ""SchmidtKaul2008p258Table2item10, printed scan inspected"", ""reading_override"": {""reading_form"": ""a'c̣hii"", ""modern_outcome"": ""stress-marked"", ""stress_position"": 2, ""stress_from_right"": 1}, ""basis"": ""Printed Brokskat uses a pre-syllable stress mark before c̣hii, while other Shina columns use acute on the first i. The correspondence concerns final syllable prominence only.""}"
source_observations.jsonl:3	source_observations*.jsonl	"[""f_le3pj7hscfhfa""]"		"{""record_id"": ""f_le3pj7hscfhfa"", ""source"": ""SchmidtKaul2008p275Table2item201, printed scan inspected"", ""reading_override"": {""reading_form"": ""'c̣ito"", ""modern_outcome"": ""stress-marked"", ""stress_position"": 1, ""stress_from_right"": 2}, ""basis"": ""Both Brokskat c̣ito and tiito are genuinely printed in the Brokskat column, with initial stress. This is not a displaced Shina cell; tiito is separately identified as Kashmiri borrowing onp247.""}"
source_observations.jsonl:4	source_observations*.jsonl	"[""f_kssdoynwqpxzq""]"		"{""record_id"": ""f_kssdoynwqpxzq"", ""source"": ""SchmidtKaul2008p261Table2item43, printed scan inspected"", ""reading_override"": {""reading_form"": ""'pooc̣o"", ""modern_outcome"": ""stress-marked"", ""stress_position"": 1, ""stress_from_right"": 2}, ""basis"": ""Brokskat grandson uses initial stress, not a mora-accent diacritic, in the printed table.""}"
source_observations_02.jsonl:1	source_observations*.jsonl	"[""f_b4eprwo2bbmc4""]"		"{""record_id"": ""f_b4eprwo2bbmc4"", ""source"": ""Rehman and Baart draft9January2004, wordlist water and tone discussion; printed page inspected"", ""reading_override"": {""reading_form"": ""pàaníi"", ""modern_outcome"": ""F"", ""modern_accent_count"": 1, ""modern_accent_position"": 2, ""modern_accent_from_right"": 1, ""modern_accent_quantity"": ""long"", ""contour_position"": 2, ""contour_from_right"": 1, ""contour_quantity"": ""long"", ""explicit_low"": 1}, ""basis"": ""Source has low first long syllable and acute on first i of final ii; DB pā̌nī̂ incorrectly turns the initial Low into a rising contour. Final syllable carries the early High/falling accent. Preserve preceding low pitch separately, not as a second lexical contour.""}"
source_observations_02.jsonl:2	source_observations*.jsonl	"[""f_nym735embdbbq"", ""f_zgqgxk3udasdy"", ""f_a6czihnjrvck4"", ""f_4ju6v7tkpqq2m"", ""f_mbamtr7djxwhg""]"		"{""record_ids"": [""f_nym735embdbbq"", ""f_zgqgxk3udasdy"", ""f_a6czihnjrvck4"", ""f_4ju6v7tkpqq2m"", ""f_mbamtr7djxwhg""], ""source"": ""Hultman2023Table9p16, explicitly toneless set"", ""reading_override"": {""modern_outcome"": ""0-explicit"", ""tone_status"": ""explicitly-toneless-primary-table""}, ""basis"": ""These five lexemes are explicitly placed in the toneless class. This override does not extend to the many unmarked lexical tokens whose tone Hultman says is uncertain.""}"
source_observations_03.jsonl:1	source_observations*.jsonl	"[""f_plslnaqnzues4"", ""f_6md7zxvzbyfsw"", ""f_gtboqkvbsytrc"", ""f_xdzllnipbgl4u"", ""f_4o7wrh2ypzy3q"", ""f_tbzszaqefnaca"", ""f_yzmpdqx6jwxn2"", ""f_ma7uwt6urpje6"", ""f_xqink2l2ysfxw""]"		"{""record_ids"": [""f_plslnaqnzues4"", ""f_6md7zxvzbyfsw"", ""f_gtboqkvbsytrc"", ""f_xdzllnipbgl4u"", ""f_4o7wrh2ypzy3q"", ""f_tbzszaqefnaca"", ""f_yzmpdqx6jwxn2"", ""f_ma7uwt6urpje6"", ""f_xqink2l2ysfxw""], ""source"": ""Liljegren2013Table12p142, phonetic high-level/default group"", ""reading_override"": {""modern_outcome"": ""P-high-level"", ""phonetic_contour"": ""high-level/default"", ""tone_status"": ""phonetic-group-not-final-phonemic-analysis""}, ""basis"": ""ExplicitF0classificationofthelexeme, includingsegment-onlyDBcitations. Table13separatelyanalyzeslakeandearaszero; high-levelisnotassumedtoequallexicalHigh.""}"
source_observations_03.jsonl:2	source_observations*.jsonl	"[""f_oqtdvwit3n4da"", ""f_rwvb6sbg7f4gs"", ""f_zn72wubwydxqu"", ""f_u7x5ggqez2si2"", ""f_jw636cd3gyj7i"", ""f_mj3zepcgkambe"", ""f_yutxopiz56ogm"", ""f_ajzy26li2gmp4""]"		"{""record_ids"": [""f_oqtdvwit3n4da"", ""f_rwvb6sbg7f4gs"", ""f_zn72wubwydxqu"", ""f_u7x5ggqez2si2"", ""f_jw636cd3gyj7i"", ""f_mj3zepcgkambe"", ""f_yutxopiz56ogm"", ""f_ajzy26li2gmp4""], ""source"": ""Liljegren2013Table12p142, phonetic low-level group"", ""reading_override"": {""modern_outcome"": ""P-low-level"", ""phonetic_contour"": ""low-level"", ""tone_status"": ""phonetic-group-not-final-phonemic-analysis""}, ""basis"": ""PrintedTable12explicitlygroupslip,wheat,left,grass,night,belly,sister,snowaslowlevel. Retainedvoicelessaspirationcancontributepredictablelowering; lexicalandphoneticLowarenotconflated.""}"
