record_id	family_id	citation	gloss	inflected	citation_outcome	citation_position	inflected_outcome	inflected_position	quantity_pattern	inflected_quantity_pattern	status	analysis	description
f_y2n5hwwg4och4	7031	nas	nose	nastí	short-monosyllable		S	1	S	SS	consistent	The full source inflection accents final i. Citation accent is retained as a separate outcome; the class was selected by consonant-final citation and source i-declension, not by either accent. 	Inflection: i-decl (Obl, pl): nastí; Variant restriction: Biori
f_l6qmicfapcklw	9387	babaáy	apple	babayí	L	1	S	1	SL	SSS	consistent	The full source inflection accents final i. Citation accent is retained as a separate outcome; the class was selected by consonant-final citation and source i-declension, not by either accent. 	Inflection: i-decl (Obl, pl): babayí; Morphemic form: babá-i
f_qrcbyjf3u4hkk	10394	ǰhangaár	liver	ǰhangarí	L	1	S	1	SL	SSS	consistent	The full source inflection accents final i. Citation accent is retained as a separate outcome; the class was selected by consonant-final citation and source i-declension, not by either accent. 	Inflection: i-decl (Obl, pl): ǰhangarí
f_gzfywzymjsego	12622	baṭoošaáṇṭ	sling-shot	baṭoošaṇṭí	L	1	S	1	SLL	SLSS	consistent	The full source inflection accents final i. Citation accent is retained as a separate outcome; the class was selected by consonant-final citation and source i-declension, not by either accent. 	Inflection: i-decl (Obl, pl): baṭoošaṇṭí
f_stjehsosoczzo	13254	sáar	lake, pond, puddle	sarí	E	1	S	1	L	SS	consistent	The full source inflection accents final i. Citation accent is retained as a separate outcome; the class was selected by consonant-final citation and source i-declension, not by either accent. Lake sáar/sarí has E after ordinary short-a lengthening, independently supported by short Biori sar; it is a mobile i-declension noun despite citation E.	Inflection: i-decl (Obl, pl): sarí; Morphemic form: sar
f_w36mmh5td7wuu	13254	sar	lake, pond, puddle	sarí	short-monosyllable		S	1	S	SS	consistent	The full source inflection accents final i. Citation accent is retained as a separate outcome; the class was selected by consonant-final citation and source i-declension, not by either accent. 	Inflection: i-decl (Obl, pl): sarí; Morphemic form: sar; Variant restriction: Biori
f_23ubcozln6vgm	13468	suthaán	trousers	suthaní	L	1	S	1	SL	SSS	consistent	The full source inflection accents final i. Citation accent is retained as a separate outcome; the class was selected by consonant-final citation and source i-declension, not by either accent. 	Inflection: i-decl (Obl, pl): suthaní; Morphemic form: suthán
f_ix3j27w2ljrcs	13468	suthán	trousers	suthaní	S	1	S	1	SS	SSS	consistent	The full source inflection accents final i. Citation accent is retained as a separate outcome; the class was selected by consonant-final citation and source i-declension, not by either accent. 	Inflection: i-decl (Obl, pl): suthaní; Morphemic form: suthán; Variant restriction: Biori
f_d6oho7dkvavmi	13878	šumaáṇ	trouser-cord	šumaṇí	L	1	S	1	SL	SSS	consistent	The full source inflection accents final i. Citation accent is retained as a separate outcome; the class was selected by consonant-final citation and source i-declension, not by either accent. 	Inflection: i-decl (Obl, pl): šumaṇí
f_4x43zgel26dd4		čal	manner, way, plan; skill, trick	čalí	short-monosyllable		S	1	S	SS	consistent	The full source inflection accents final i. Citation accent is retained as a separate outcome; the class was selected by consonant-final citation and source i-declension, not by either accent. 	Inflection: i-decl (Obl, pl): čalí
f_jlrtdh3hytmjq		čaál	manner, way, plan; skill, trick	čalí	L	1	S	1	L	SS	consistent	The full source inflection accents final i. Citation accent is retained as a separate outcome; the class was selected by consonant-final citation and source i-declension, not by either accent. 	Inflection: i-decl (Obl, pl): čalí
f_ntfg7qzdxwroq		čhaáṭ	shot, blow	čhaṭí	L	1	S	1	L	SS	consistent	The full source inflection accents final i. Citation accent is retained as a separate outcome; the class was selected by consonant-final citation and source i-declension, not by either accent. 	Inflection: i-decl (Obl, pl): čhaṭí
f_riq6shcudjksk		durbaáṭ	pot	durbaṭí	L	1	S	1	SL	SSS	consistent	The full source inflection accents final i. Citation accent is retained as a separate outcome; the class was selected by consonant-final citation and source i-declension, not by either accent. 	Inflection: i-decl (Obl, pl): durbaṭí
f_n3bocqps2kva2		ḍáab	plateau, plain area on top of a hill	ḍabí	E	1	S	1	L	SS	consistent	The full source inflection accents final i. Citation accent is retained as a separate outcome; the class was selected by consonant-final citation and source i-declension, not by either accent. Plateau ḍáab/ḍabí preserves the ordinary short-a/new-long correspondence, with short Biori ḍab. Its final plural accent shows that i-declension membership does not alone force citation L.	Inflection: i-decl (Obl, pl): ḍabí; Morphemic form: ḍab
f_nzfrt6zf2ixns		ḍab	plateau, plain area on top of a hill	ḍabí	short-monosyllable		S	1	S	SS	consistent	The full source inflection accents final i. Citation accent is retained as a separate outcome; the class was selected by consonant-final citation and source i-declension, not by either accent. 	Inflection: i-decl (Obl, pl): ḍabí; Morphemic form: ḍab; Variant restriction: Biori
f_qvus2ivqgr7ks		haalaát	condition; situation	haalatí	L	1	S	1	LL	LSS	consistent	The full source inflection accents final i. Citation accent is retained as a separate outcome; the class was selected by consonant-final citation and source i-declension, not by either accent. 	Inflection: i-decl (Obl, pl): haalatí
f_64lnwoc34il3e		haalát	condition; situation	haalatí	S	1	S	1	LS	LSS	consistent	The full source inflection accents final i. Citation accent is retained as a separate outcome; the class was selected by consonant-final citation and source i-declension, not by either accent. 	Inflection: i-decl (Obl, pl): haalatí; Variant restriction: Biori
f_enduuhx4of64m		haár	defeat	haarí	L	1	S	1	L	LS	consistent	The full source inflection accents final i. Citation accent is retained as a separate outcome; the class was selected by consonant-final citation and source i-declension, not by either accent. Defeat haár/haarí keeps aa in the inflected root and accents final i; absence of umlaut distinguishes this from aa/ee+i even though citation L is shared.	Inflection: i-decl (Obl, pl): haarí
f_s5x526o46hyeo		kaaɣaáz	paper	kaaɣazí	L	1	S	1	LL	LSS	consistent	The full source inflection accents final i. Citation accent is retained as a separate outcome; the class was selected by consonant-final citation and source i-declension, not by either accent. 	Inflection: i-decl (Obl, pl): kaaɣazí
f_6j7bwjs46dzhc		kundaák	rifle butt; part of plough	kundakí	L	1	S	1	SL	SSS	consistent	The full source inflection accents final i. Citation accent is retained as a separate outcome; the class was selected by consonant-final citation and source i-declension, not by either accent. 	Inflection: i-decl (Obl, pl): kundakí
f_23sun5dwzxjiq		lhaáṣṭ	plain or flat area	lhaṣṭí	L	1	S	1	L	SS	consistent	The full source inflection accents final i. Citation accent is retained as a separate outcome; the class was selected by consonant-final citation and source i-declension, not by either accent. 	Inflection: i-decl (Obl, pl): lhaṣṭí
f_xjiinmx2pfobe		maaxaám	evening (appr. 6 to 7 pm)	maaxamí	L	1	S	1	LL	LSS	consistent	The full source inflection accents final i. Citation accent is retained as a separate outcome; the class was selected by consonant-final citation and source i-declension, not by either accent. 	Inflection: i-decl (Obl, pl): maaxamí
f_7ulaz7vf427fk		maaxám	evening (appr. 6 to 7 pm)	maaxamí	S	1	S	1	LS	LSS	consistent	The full source inflection accents final i. Citation accent is retained as a separate outcome; the class was selected by consonant-final citation and source i-declension, not by either accent. 	Inflection: i-decl (Obl, pl): maaxamí; Variant restriction: Biori
f_6andetkqqw5vw		muṣkaáṛ	crack, mouse (or snake) hole	muṣkaṛí	L	1	S	1	SL	SSS	consistent	The full source inflection accents final i. Citation accent is retained as a separate outcome; the class was selected by consonant-final citation and source i-declension, not by either accent. 	Inflection: i-decl (Obl, pl): muṣkaṛí
f_iu66i4pnaulcm		náaṛ	stream	naṛí	E	1	S	1	L	SS	consistent	The full source inflection accents final i. Citation accent is retained as a separate outcome; the class was selected by consonant-final citation and source i-declension, not by either accent. Stream náaṛ/naṛí has E citation accent with a short inflected root and final i. It belongs to a different full paradigm from canal náaṛ/neeṛí and must not be merged merely because the citation spellings coincide.	Inflection: i-decl (Obl, pl): naṛí
f_65qtgf7zbnfua		qurbaán	sacrifice	qurbaaní	L	1	S	1	SL	SLS	consistent	The full source inflection accents final i. Citation accent is retained as a separate outcome; the class was selected by consonant-final citation and source i-declension, not by either accent. Sacrifice qurbaán/qurbaaní retains long aa before final i, a regional loan formation without ee umlaut. It independently supports suffix accent but not the aa/ee vowel rule.	Inflection: i-decl (Obl, pl): qurbaaní
f_zwahgkgiydy3e		ráang	colour; paint; complexion	rangí	E	1	S	1	L	SS	consistent	The full source inflection accents final i. Citation accent is retained as a separate outcome; the class was selected by consonant-final citation and source i-declension, not by either accent. Colour ráang/rangí has E in the long citation and final i in the plural; short Biori rang provides independent quantity evidence. A regional loan can enter the same mobile class.	Inflection: i-decl (Obl, pl): rangí
f_qoqc6cg66i3ji		rang	colour; paint; complexion	rangí	short-monosyllable		S	1	S	SS	consistent	The full source inflection accents final i. Citation accent is retained as a separate outcome; the class was selected by consonant-final citation and source i-declension, not by either accent. 	Inflection: i-decl (Obl, pl): rangí; Variant restriction: Biori
f_p2wioa7mhm24c		sateemaáǰ	groin	sateemaǰí	L	1	S	1	SLL	SLSS	consistent	The full source inflection accents final i. Citation accent is retained as a separate outcome; the class was selected by consonant-final citation and source i-declension, not by either accent. 	Inflection: i-decl (Obl): sateemaǰí
f_6binis63qnpm4		toobaák	gun; rifle	toobakí	L	1	S	1	LL	LSS	consistent	The full source inflection accents final i. Citation accent is retained as a separate outcome; the class was selected by consonant-final citation and source i-declension, not by either accent. 	Inflection: i-decl (Obl, pl): toobakí; Morphemic form: toobák
f_btzw7q43us6ic		thupéek	gun; rifle	toobakí	E	1	S	1	SL	LSS	excluded-unverified-variant-paradigm	The full source inflection accents final i. Citation accent is retained as a separate outcome; the class was selected by consonant-final citation and source i-declension, not by either accent. Biori thupéek is a variant of toobaák but the attached toobakí inflection belongs to the main lemma. The distinct stem frame and vowel history make this an unverified dialect paradigm, like the rainbow synonym problem; retain the real early citation accent but exclude this pair from the strict paradigm test.	Inflection: i-decl (Obl, pl): toobakí; Morphemic form: toobák; Variant restriction: Biori
f_yh3due6ygh6rc		xeerát	happiness; peace	xeereetí	S	1	S	1	LS	LLS	consistent	The full source inflection accents final i. Citation accent is retained as a separate outcome; the class was selected by consonant-final citation and source i-declension, not by either accent. Happiness xeerát/xeereetí has a short citation a and long inflected ee, so it is not in the long-aa citation subclass. The inflection nevertheless accents final i; verify the dialect quantity alternation before reconstructing an old stem.	Inflection: i-decl (Obl, pl): xeereetí; Variant restriction: Biori
f_7jos67dwczwrs		zhaáy	place; property	zhayí	L	1	S	1	L	SS	consistent	The full source inflection accents final i. Citation accent is retained as a separate outcome; the class was selected by consonant-final citation and source i-declension, not by either accent. 	Inflection: i-decl (Obl, pl): zhayí; Morphemic form: zhay
