biori	ashret	gloss	biori_family	ashret_family	biori_quality	ashret_quality	biori_quantity	ashret_quantity	biori_accent	biori_accent_position	ashret_accent	ashret_accent_position	record_ids	biori_description	ashret_description	tested_nucleus	biori_test_vowel	ashret_test_vowel	tested_syllable_domain	expected_raised_quality	input_class	predicted_quality	status	special_analysis	analysis
c̣héetr	c̣híitr	field; (tilled) land	3735	3735	e	i	L	L	E	1	E	1	"[""f_xtgxvpjbrsvsq"", ""f_b5kjievwi6mm2""]"	Inflection: a-decl (Obl, pl): -a; Morphemic form: c̣héetr; Variant restriction: Biori	Inflection: a-decl (Obl, pl): -a; Morphemic form: c̣héetr	1	e	i	word-final-closed	i	Biori-early-e-long-final-closed	i	consistent		Same consonantal frame and gloss; the Biori early long vowel is in the final closed syllable. Test aa→oo or ee→ii without changing the prediction for residuals. 
ghráam	ghróom	village; permanent settlement (in contrast with sóon 'summer pasture'); Ashret proper, also atshareét xaás	4368	4368	a	o	L	L	E	1	E	1	"[""f_t5btv6xk5bp3i"", ""f_ceqs73vbsapl4""]"	Inflection: a-decl (Obl, pl): -a; Morphemic form: ghráam; Variant restriction: Biori	Inflection: a-decl (Obl, pl): -a; Morphemic form: ghráam	1	a	o	word-final-closed	o	Biori-early-a-long-final-closed	o	consistent		Same consonantal frame and gloss; the Biori early long vowel is in the final closed syllable. Test aa→oo or ee→ii without changing the prediction for residuals. 
čandéeš	čandíiš	fourteen	4605	4605	ae	ai	SL	SL	E	2	E	2	"[""f_zy5mckwbbsc62"", ""f_fd7tddjso7t6o""]"	Morphemic form: čandéeš; Variant restriction: Biori	Morphemic form: čandéeš	2	e	i	word-final-closed	i	Biori-early-e-long-final-closed	i	consistent		Same consonantal frame and gloss; the Biori early long vowel is in the final closed syllable. Test aa→oo or ee→ii without changing the prediction for residuals. 
čáar	čúur	four	4655	4655	a	u	L	L	E	1	E	1	"[""f_lbo5y3fqj2la4"", ""f_6mtdurggxxe6y""]"	Morphemic form: čáur; Variant restriction: Biori	Morphemic form: čáur	1	a	u	word-final-closed	o	Biori-early-a-long-final-closed	o	other-quality	proto-au-proposal-in-primary-literature	Same consonantal frame and gloss; the Biori early long vowel is in the final closed syllable. Test aa→oo or ee→ii without changing the prediction for residuals. Liljegren2009pp21–25 explicitly reconstructs *au for čáar/čúur. This is an alternative proto-vowel analysis, not an exceptionless prediction from Biori aa alone.
ḍáak	ḍóok	back	5582	5582	a	o	L	L	E	1	E	1	"[""f_htzi7vinyiaki"", ""f_7umdlg25ohi2q""]"	Inflection: a-decl (Obl, pl): -a; Morphemic form: ḍáak; Variant restriction: Biori	Inflection: a-decl (Obl, pl): -a; Morphemic form: ḍáak	1	a	o	word-final-closed	o	Biori-early-a-long-final-closed	o	consistent		Same consonantal frame and gloss; the Biori early long vowel is in the final closed syllable. Test aa→oo or ee→ii without changing the prediction for residuals. 
tréeš	tríiš	thirteen	6001	6001	e	i	L	L	E	1	E	1	"[""f_gb7ebqif4o4vm"", ""f_ewzpbbjprv3hu""]"	Morphemic form: tréeš; Variant restriction: Biori	Morphemic form: tréeš	1	e	i	word-final-closed	i	Biori-early-e-long-final-closed	i	consistent		Same consonantal frame and gloss; the Biori early long vowel is in the final closed syllable. Test aa→oo or ee→ii without changing the prediction for residuals. 
dhráak	dhrúuk	stream; streambed, gorge	6429	6429	a	u	L	L	E	1	E	1	"[""f_o6calhkmzwrkm"", ""f_qkuc5sn57e4ze""]"	Inflection: a-decl (Obl, pl): -a; Variant restriction: Biori	Inflection: a-decl (Obl, pl): -a	1	a	u	word-final-closed	o	Biori-early-a-long-final-closed	o	other-quality	unresolved-aa-to-uu	Same consonantal frame and gloss; the Biori early long vowel is in the final closed syllable. Test aa→oo or ee→ii without changing the prediction for residuals. dhráak/dhrúuk has uu instead of predicted oo. Extending the *au reconstruction solely to fit this outcome would be circular; seek independent inflectional or older-source evidence.
páaše	páaša	to see; notice	6518	6518	ae	aa	LS	LS	E	1	E	1	"[""f_4anwpzvcbshz6"", ""f_bnqfxnbozzwlu""]"	Inflection: Suppl (Prs): pašáanu, (Pfv): dhríṣṭu, (Cv): paší, (Imp): páaš; Morphemic form: paš-, dhríṣṭ-; Variant restriction: Biori	Inflection: Suppl (Prs): pašáanu, (Pfv): dhríṣṭu, (Cv): paší, (Imp): páaš; Morphemic form: paš-, dhríṣṭ-	1	a	a	other	o	other-syllable-domain		outside-closed-syllable-test		The tested vowel is not in a final closed syllable. Most nonfinal aa pairs are verbal stems with additional morphology; their long aa may result from earlier short-vowel lengthening and cannot be assumed identical to inherited long aa. 
déer	díir	brother-in-law; a woman's husband's brother	6546	6546	e	i	L	L	E	1	E	1	"[""f_jyeonmmxspsiu"", ""f_mg5mx3zylkvrq""]"	Inflection: a-decl (Obl, pl): -a; Morphemic form: déer; Variant restriction: Biori	Inflection: a-decl (Obl, pl): -a; Morphemic form: déer	1	e	i	word-final-closed	i	Biori-early-e-long-final-closed	i	consistent		Same consonantal frame and gloss; the Biori early long vowel is in the final closed syllable. Test aa→oo or ee→ii without changing the prediction for residuals. 
déeš	díiš	(home) village	6547	6547	e	i	L	L	E	1	E	1	"[""f_rksdx76oapj5c"", ""f_p3hg4ip75suxu""]"	Inflection: a-decl (Obl, pl): -a; Morphemic form: déeš; Variant restriction: Biori	Inflection: a-decl (Obl, pl): -a; Morphemic form: déeš	1	e	i	word-final-closed	i	Biori-early-e-long-final-closed	i	consistent		Same consonantal frame and gloss; the Biori early long vowel is in the final closed syllable. Test aa→oo or ee→ii without changing the prediction for residuals. 
báaš	bóoš	twelve	6658	6658	a	o	L	L	E	1	E	1	"[""f_t3rtsjdzmtrqw"", ""f_iu5minc42dt7i""]"	Morphemic form: báaš; Variant restriction: Biori	Morphemic form: báaš	1	a	o	word-final-closed	o	Biori-early-a-long-final-closed	o	consistent		Same consonantal frame and gloss; the Biori early long vowel is in the final closed syllable. Test aa→oo or ee→ii without changing the prediction for residuals. 
náang	nóong	finger-nail	6914	6914	a	o	L	L	E	1	E	1	"[""f_xfa26pc33u5hi"", ""f_d7jo25vaj6y4e""]"	Inflection: a-decl (Obl, pl): -a; Morphemic form: náang; Variant restriction: Biori	Inflection: a-decl (Obl, pl): -a; Morphemic form: náang	1	a	o	word-final-closed	o	Biori-early-a-long-final-closed	o	consistent		Same consonantal frame and gloss; the Biori early long vowel is in the final closed syllable. Test aa→oo or ee→ii without changing the prediction for residuals. 
náaṛ	nóoṛ	canal; inlet; flume	7047	7047	a	o	L	L	E	1	E	1	"[""f_xkfe3dwmge3j2"", ""f_kfcfwhixxlmjg""]"	Inflection: a-decl (Obl, pl): -a; Morphemic form: náaṛ; Variant restriction: Biori	Inflection: a-decl (Obl, pl): -a; Morphemic form: náaṛ	1	a	o	word-final-closed	o	Biori-early-a-long-final-closed	o	consistent		Same consonantal frame and gloss; the Biori early long vowel is in the final closed syllable. Test aa→oo or ee→ii without changing the prediction for residuals. 
páače	páača	to ripen, become cooked	7621	7621	ae	aa	LS	LS	E	1	E	1	"[""f_ul5owfiqeqb3s"", ""f_wluok6rdamcbg""]"	Inflection: T (Prs): pačáanu, (Pfv Masc Sg): páaku, (Pfv Fem Sg): péeki, (Cv): pačí, (Imp): páač; Morphemic form: pač-, páak-; Variant restriction: Biori	Inflection: T (Prs): pačáanu, (Pfv Masc Sg): páaku, (Pfv Fem Sg): péeki, (Cv): pačí, (Imp): páač; Morphemic form: pač-, páak-	1	a	a	other	o	other-syllable-domain		outside-closed-syllable-test		The tested vowel is not in a final closed syllable. Most nonfinal aa pairs are verbal stems with additional morphology; their long aa may result from earlier short-vowel lengthening and cannot be assumed identical to inherited long aa. 
panǰéeš	panǰíiš	fifteen	7662	7662	ae	ai	SL	SL	E	2	E	2	"[""f_gdkyfh6amx5cq"", ""f_irdjwtnn2inog""]"	Morphemic form: panǰéeš; Variant restriction: Biori	Morphemic form: panǰéeš	2	e	i	word-final-closed	i	Biori-early-e-long-final-closed	i	consistent		Same consonantal frame and gloss; the Biori early long vowel is in the final closed syllable. Test aa→oo or ee→ii without changing the prediction for residuals. 
peeráaṇ	peeróoṇ	shirt	7838	7838	ea	eo	LL	LL	E	2	E	2	"[""f_5ve2ppopg62pu"", ""f_56ce4vgqoqs4i""]"	Inflection: a-decl (Obl, pl): -a; Variant restriction: Biori	Inflection: a-decl (Obl, pl): -a	2	a	o	word-final-closed	o	Biori-early-a-long-final-closed	o	consistent	contact-vocabulary-raising	Same consonantal frame and gloss; the Biori early long vowel is in the final closed syllable. Test aa→oo or ee→ii without changing the prediction for residuals. peeráaṇ/peeróoṇ is the regional shirt formation associated with Persian pairāhan; initial and final vowel histories should be separated. Only the final early aa-to-oo correspondence is tested here.
páaṣ	póoṣ	dung (from domestic animals)	8139	8139	a	o	L	L	E	1	E	1	"[""f_wjyaott6eyliu"", ""f_ii2cx25desta6""]"	Inflection: a-decl (Obl): -a; Morphemic form: páaṣ; Variant restriction: Biori	Inflection: a-decl (Obl): -a; Morphemic form: páaṣ	1	a	o	word-final-closed	o	Biori-early-a-long-final-closed	o	consistent		Same consonantal frame and gloss; the Biori early long vowel is in the final closed syllable. Test aa→oo or ee→ii without changing the prediction for residuals. 
pháal	phóol	ploughshare	9072	9072	a	o	L	L	E	1	E	1	"[""f_vbndlz7lvuupy"", ""f_jxzfbrvavutio""]"	Inflection: a-decl (Obl, pl): -a; Morphemic form: pháal; Variant restriction: Biori	Inflection: a-decl (Obl, pl): -a; Morphemic form: pháal	1	a	o	word-final-closed	o	Biori-early-a-long-final-closed	o	consistent		Same consonantal frame and gloss; the Biori early long vowel is in the final closed syllable. Test aa→oo or ee→ii without changing the prediction for residuals. 
bharéew	bharíiw	husband	9467	9467	ae	ai	SL	SL	E	2	E	2	"[""f_zkczgh3im7oro"", ""f_t6jlv7ls3576i""]"	Inflection: a-decl (Obl, pl): -a; Morphemic form: bharéew; Variant restriction: Biori	Inflection: a-decl (Obl, pl): -a; Morphemic form: bharéew	2	e	i	word-final-closed	i	Biori-early-e-long-final-closed	i	consistent		Same consonantal frame and gloss; the Biori early long vowel is in the final closed syllable. Test aa→oo or ee→ii without changing the prediction for residuals. 
méeš	míiš	man; person	9828	9828	e	i	L	L	E	1	E	1	"[""f_bxmzpz6hgrrdo"", ""f_2rmhvuusytymy""]"	Inflection: a-decl (Obl, pl): -a; Variant restriction: Biori	Inflection: a-decl (Obl, pl): -a	1	e	i	word-final-closed	i	Biori-early-e-long-final-closed	i	consistent		Same consonantal frame and gloss; the Biori early long vowel is in the final closed syllable. Test aa→oo or ee→ii without changing the prediction for residuals. 
máare	máara	to die	9871	9871	ae	aa	LS	LS	E	1	E	1	"[""f_m77zn34d44xbe"", ""f_ummlbfqpql5sg""]"	Inflection: T (Prs): maráanu, (Pfv): múṛu, (Cv): marí, (Imp): máar; Morphemic form: mar-, muṛ-; Variant restriction: Biori	Inflection: T (Prs): maráanu, (Pfv): múṛu, (Cv): marí, (Imp): máar; Morphemic form: mar-, muṛ-	1	a	a	other	o	other-syllable-domain		outside-closed-syllable-test		The tested vowel is not in a final closed syllable. Most nonfinal aa pairs are verbal stems with additional morphology; their long aa may result from earlier short-vowel lengthening and cannot be assumed identical to inherited long aa. 
láange	láanga	to cross; walk (across); swim (across)	10905	10905	ae	aa	LS	LS	E	1	E	1	"[""f_ge3sv46w3iv5y"", ""f_iuzxqcws5ftc2""]"	Inflection: L:cons (Prs): langáanu, (Pfv): langílu, (Cv): langí, (Imp): láang; Morphemic form: lang-; Variant restriction: Biori	Inflection: L:cons (Prs): langáanu, (Pfv): langílu, (Cv): langí, (Imp): láang; Morphemic form: lang-	1	a	a	other	o	other-syllable-domain		outside-closed-syllable-test		The tested vowel is not in a final closed syllable. Most nonfinal aa pairs are verbal stems with additional morphology; their long aa may result from earlier short-vowel lengthening and cannot be assumed identical to inherited long aa. 
lháaye	lháaya	to find	10946	10946	ae	aa	LS	LS	E	1	E	1	"[""f_trde5bxtr5ije"", ""f_rxm5mmwngnuyc""]"	Inflection: T (Prs): lhayáanu, (Pfv Masc Sg): láadu, lháadu, (Pfv Fem Sg): léedi, lhéedi, (Cv): lhayí, (Imp): lháay; Morphemic form: lhái-, láad-; Variant restriction: Biori	Inflection: T (Prs): lhayáanu, (Pfv Masc Sg): láadu, lháadu, (Pfv Fem Sg): léedi, lhéedi, (Cv): lhayí, (Imp): lháay; Morphemic form: lhái-, láad-	1	a	a	other	o	other-syllable-domain		outside-closed-syllable-test		The tested vowel is not in a final closed syllable. Most nonfinal aa pairs are verbal stems with additional morphology; their long aa may result from earlier short-vowel lengthening and cannot be assumed identical to inherited long aa. 
biṣáame	biṣáama	to rest	11949	11949	iae	iaa	SLS	SLS	E	2	E	2	"[""f_hfbotbvx73wnu"", ""f_uw4hh42d7bch2""]"	Inflection: L:cons (Prs): biṣamáanu, (Pfv): biṣamílu, (Cv): biṣamí, (Imp): biṣáam; Morphemic form: biṣám-; Variant restriction: Biori	Inflection: L:cons (Prs): biṣamáanu, (Pfv): biṣamílu, (Cv): biṣamí, (Imp): biṣáam; Morphemic form: biṣám-	2	a	a	other	o	other-syllable-domain		outside-closed-syllable-test		The tested vowel is not in a final closed syllable. Most nonfinal aa pairs are verbal stems with additional morphology; their long aa may result from earlier short-vowel lengthening and cannot be assumed identical to inherited long aa. 
šáang	šóong	branch (of tree)	12260	12260	a	o	L	L	E	1	E	1	"[""f_mrmjlibndsna2"", ""f_meems6e5ejkpm""]"	Inflection: a-decl (Obl, pl): -a; Morphemic form: šáang; Variant restriction: Biori	Inflection: a-decl (Obl, pl): -a; Morphemic form: šáang	1	a	o	word-final-closed	o	Biori-early-a-long-final-closed	o	consistent		Same consonantal frame and gloss; the Biori early long vowel is in the final closed syllable. Test aa→oo or ee→ii without changing the prediction for residuals. 
šéen	šíin	bed (charpoy, string bed)	12323	12323	e	i	L	L	E	1	E	1	"[""f_owegg2pm3xzgk"", ""f_bbmp5mitxaydq""]"	Inflection: a-decl (Obl, pl): -a; Morphemic form: šéen; Variant restriction: Biori	Inflection: a-decl (Obl, pl): -a; Morphemic form: šéen	1	e	i	word-final-closed	i	Biori-early-e-long-final-closed	i	consistent		Same consonantal frame and gloss; the Biori early long vowel is in the final closed syllable. Test aa→oo or ee→ii without changing the prediction for residuals. 
šiláak	šilúuk	story, tale	12748	12748	ia	iu	SL	SL	E	2	E	2	"[""f_e6d7bfzy6eqy6"", ""f_5t7zez6ciunua""]"	Inflection: a-decl (Obl, pl): -a; Variant restriction: Biori	Inflection: a-decl (Obl, pl): -a	2	a	u	word-final-closed	o	Biori-early-a-long-final-closed	o	other-quality	proto-au-proposal-in-primary-literature	Same consonantal frame and gloss; the Biori early long vowel is in the final closed syllable. Test aa→oo or ee→ii without changing the prediction for residuals. Liljegren2009p25 explicitly includes šiláak/šilúuk in the proposed proto-au class. The OIA śloka connection and intermediate vowel history require their own argument.
šáar	šúur	father-in-law; husband's or wife's father	12753	12753	a	u	L	L	E	1	E	1	"[""f_4ztuj6gmg7reg"", ""f_nyc3xud7fztig""]"	Inflection: a-decl (Obl): šúura; Morphemic form: šáur; Variant restriction: Biori	Inflection: a-decl (Obl): šúura; Morphemic form: šáur	1	a	u	word-final-closed	o	Biori-early-a-long-final-closed	o	other-quality	proto-au-with-internal-w-alternation	Same consonantal frame and gloss; the Biori early long vowel is in the final closed syllable. Test aa→oo or ee→ii without changing the prediction for residuals. Liljegren2009p21 cites ša(w)úra household of father-in-law as independent internal evidence for *au. The šáar/šúur correspondence cannot be derived from an undifferentiated proto-aa class.
ṣoṛéeš	ṣoṛíiš	sixteen	12812	12812	oe	oi	SL	SL	E	2	E	2	"[""f_eu5l67mnttz2i"", ""f_zw6hwi6npjnfw""]"	Morphemic form: ṣoṛéeš; Variant restriction: Biori	Morphemic form: ṣoṛéeš	2	e	i	word-final-closed	i	Biori-early-e-long-final-closed	i	consistent		Same consonantal frame and gloss; the Biori early long vowel is in the final closed syllable. Test aa→oo or ee→ii without changing the prediction for residuals. 
ṣáače	ṣáača	to climb, get up; appear, arise, spread	13085	13085	ae	aa	LS	LS	E	1	E	1	"[""f_mhdizu7qrrhye"", ""f_qiocurb4osay4""]"	Inflection: T (Prs): ṣačáanu, (Pfv Masc Sg): ṣáatu, (Pfv Fem Sg): ṣéeti, (Cv): ṣačí, (Imp): ṣáač; Morphemic form: šač-, ṣat-; Variant restriction: Biori	Inflection: T (Prs): ṣačáanu, (Pfv Masc Sg): ṣáatu, (Pfv Fem Sg): ṣéeti, (Cv): ṣačí, (Imp): ṣáač; Morphemic form: šač-, ṣat-	1	a	a	other	o	other-syllable-domain		outside-closed-syllable-test		The tested vowel is not in a final closed syllable. Most nonfinal aa pairs are verbal stems with additional morphology; their long aa may result from earlier short-vowel lengthening and cannot be assumed identical to inherited long aa. 
satáaš	satóoš	seventeen	13146	13146	aa	ao	SL	SL	E	2	E	2	"[""f_ni6hi4kdybykk"", ""f_menivji7rndby""]"	Morphemic form: satáaš; Variant restriction: Biori	Morphemic form: satáaš	2	a	o	word-final-closed	o	Biori-early-a-long-final-closed	o	consistent		Same consonantal frame and gloss; the Biori early long vowel is in the final closed syllable. Test aa→oo or ee→ii without changing the prediction for residuals. 
saṇḍaá	saṇḍá	buffalo bull	13331	13331	aa	aa	SL	SS	L	2	S	2	"[""f_thhtqwypc7ebm"", ""f_ubdwh4ic73zpc""]"	Inflection: aan-decl (Pl): saṇḍagaán; Variant restriction: Biori	Inflection: aan-decl (Pl): saṇḍagaán	2	a	a	other	o	other-syllable-domain		outside-closed-syllable-test	final-vowel-quantity-difference	The tested vowel is not in a final closed syllable. Most nonfinal aa pairs are verbal stems with additional morphology; their long aa may result from earlier short-vowel lengthening and cannot be assumed identical to inherited long aa. saṇḍaá/saṇḍá is a final accented vowel with a quantity difference, not a closed-syllable raising example. The lexical gender/citation formation needs comparison.
háare	háara	to pull, take (sb or sth) [away], abduct, bring, move	13980	13980	ae	aa	LS	LS	E	1	E	1	"[""f_r7bgx3fqusozy"", ""f_obyck2ceczkbs""]"	Inflection: T (Prs): haráanu, (Pfv): híṛu, (Cv): harí, (Imp): háar; Morphemic form: har-, hiṛ-; Variant restriction: Biori	Inflection: T (Prs): haráanu, (Pfv): híṛu, (Cv): harí, (Imp): háar; Morphemic form: har-, hiṛ-	1	a	a	other	o	other-syllable-domain		outside-closed-syllable-test		The tested vowel is not in a final closed syllable. Most nonfinal aa pairs are verbal stems with additional morphology; their long aa may result from earlier short-vowel lengthening and cannot be assumed identical to inherited long aa. 
háanse	háansa	to laugh	14021	14021	ae	aa	LS	LS	E	1	E	1	"[""f_w4533jwr75kfk"", ""f_2yhx6rvj4cszs""]"	Inflection: L:cons (Prs): hansáanu, (Pfv): hansílu, (Cv): hansí, (Imp): háans; Morphemic form: hans-; Variant restriction: Biori	Inflection: L:cons (Prs): hansáanu, (Pfv): hansílu, (Cv): hansí, (Imp): háans; Morphemic form: hans-	1	a	a	other	o	other-syllable-domain		outside-closed-syllable-test		The tested vowel is not in a final closed syllable. Most nonfinal aa pairs are verbal stems with additional morphology; their long aa may result from earlier short-vowel lengthening and cannot be assumed identical to inherited long aa. 
askáan	askóon	easy			aa	ao	SL	SL	E	2	E	2	"[""f_nhsfjxqgltvlo"", ""f_dycazcca4blsi""]"	Variant restriction: Biori		2	a	o	word-final-closed	o	Biori-early-a-long-final-closed	o	consistent		Same consonantal frame and gloss; the Biori early long vowel is in the final closed syllable. Test aa→oo or ee→ii without changing the prediction for residuals. 
báaṭe	báaṭa	to fit; get in			ae	aa	LS	LS	E	1	E	1	"[""f_angc27dp37y3q"", ""f_76mwqxiya3vto""]"	Inflection: L:cons (Prs): baṭáanu, (Pfv): baṭílu, (Cv): baṭí; Morphemic form: báṭ-; Variant restriction: Biori	Inflection: L:cons (Prs): baṭáanu, (Pfv): baṭílu, (Cv): baṭí; Morphemic form: báṭ-	1	a	a	other	o	other-syllable-domain		outside-closed-syllable-test		The tested vowel is not in a final closed syllable. Most nonfinal aa pairs are verbal stems with additional morphology; their long aa may result from earlier short-vowel lengthening and cannot be assumed identical to inherited long aa. 
baazáar	baazóor	bazaar, market			aa	ao	LL	LL	E	2	E	2	"[""f_djvox2bzxhwx2"", ""f_xigil7txv5xjq""]"	Inflection: a-decl (Obl, pl): -a; Variant restriction: Biori	Inflection: a-decl (Obl, pl): -a	2	a	o	word-final-closed	o	Biori-early-a-long-final-closed	o	consistent	contact-vocabulary-raising	Same consonantal frame and gloss; the Biori early long vowel is in the final closed syllable. Test aa→oo or ee→ii without changing the prediction for residuals. baazáar/baazóor is the Persian bazaar word. Liljegren2016Table3.15p80 also gives Biori baazáar/baazúura, an independent inflectional alternation showing that syllable structure matters.
buláaḍe	buláaḍa	to look for sb, call sb			uae	uaa	SLS	SLS	E	2	E	2	"[""f_tbya5eixkg2jk"", ""f_nlmfq5g5m4fvc""]"	Inflection: L:cons (Prs): bulaḍáanu, (Pfv): bulaḍílu, (Cv): bulaḍí, (Imp): buláaḍ; Morphemic form: buláḍ-; Variant restriction: Biori	Inflection: L:cons (Prs): bulaḍáanu, (Pfv): bulaḍílu, (Cv): bulaḍí, (Imp): buláaḍ; Morphemic form: buláḍ-	2	a	a	other	o	other-syllable-domain		outside-closed-syllable-test		The tested vowel is not in a final closed syllable. Most nonfinal aa pairs are verbal stems with additional morphology; their long aa may result from earlier short-vowel lengthening and cannot be assumed identical to inherited long aa. 
čáare	čáara	to graze			ae	aa	LS	LS	E	1	E	1	"[""f_mtzmlqj73oguk"", ""f_cczjw6gwwvfk4""]"	Inflection: L:cons (Prs): čaráanu, (Pfv): čarílu, (Cv): čarí, (Imp): čáar; Morphemic form: čar-; Variant restriction: Biori	Inflection: L:cons (Prs): čaráanu, (Pfv): čarílu, (Cv): čarí, (Imp): čáar; Morphemic form: čar-	1	a	a	other	o	other-syllable-domain		outside-closed-syllable-test		The tested vowel is not in a final closed syllable. Most nonfinal aa pairs are verbal stems with additional morphology; their long aa may result from earlier short-vowel lengthening and cannot be assumed identical to inherited long aa. 
