record_id	family_id	masculine	feminine	gloss	source_tags	input	prediction	observed_from_right	observed_mora	status	exclusion	description	family_analysis
f_t5orddkbgsdvw	3364	khúšu	khúši	left; left-handed	adj	Reg-u-masculine-with-feminine-i	penultimate-nucleus	2	S	consistent		Inflection: Reg (Fem): khúši	Palula khúšu ‘left’ has short root prominence before a gender ending, while Gilgit košóli ‘broken bowl, shards’ has an additional accented derivative. The broad old defective/mad family and related squint-eyed forms make the semantic connections plausible but not automatic. Aspiration and sibilant variation may reflect expressive or borrowed layers.
f_u24hs7hngc534	3451	kiṣíṇu	kriṣíṇi	black	f	Reg-u-masculine-with-feminine-i	penultimate-nucleus	2	S	consistent		Inflection: Reg (Fem): kriṣíṇi; Morphemic form: kriṣíṇ-	Palula kriṣíṇu/kiṣíṇu has accent on the final root syllable before u, while Shina kíṇo/kíṇu has only one root syllable after greater cluster reduction. Thus the modern first-versus-second syllable difference is predicted by root shape plus the same extension rule; it is not divergent inherited accent. The independently attested old extended adjective strengthens the morphological analysis.
f_oalouf5f65klk	3451	kriṣíṇu	kriṣíṇi	black	adj	Reg-u-masculine-with-feminine-i	penultimate-nucleus	2	S	consistent		Inflection: Reg (Fem): kriṣíṇi; Morphemic form: kriṣíṇ-	Palula kriṣíṇu/kiṣíṇu has accent on the final root syllable before u, while Shina kíṇo/kíṇu has only one root syllable after greater cluster reduction. Thus the modern first-versus-second syllable difference is predicted by root shape plus the same extension rule; it is not divergent inherited accent. The independently attested old extended adjective strengthens the morphological analysis.
f_ajjtn2tbz5rp2	3523	koomáalu	kooméeli	soft	adj	Uml-u-masculine-with-feminine-i	penultimate-nucleus	2	E	consistent		Inflection: Uml (Fem): kooméeli; Morphemic form: koomál-	Palula koomáalu and Strand komʹâlu accent the final root syllable and leave the older initial long o unaccented. This supports root-final accent assignment in an extended adjective; it is not quantity attraction to the first long vowel. The aa in the accented open root syllable can be secondary lengthening of old short a.
f_ingw6xl7i252y	3941	khúṭu	khúṭi	lame (not able to walk normally)	adj	Reg-u-masculine-with-feminine-i	penultimate-nucleus	2	S	consistent		Inflection: Reg (Fem): khúṭi	Palula khúṭu and Gilgit khúro both accent a short root before a gender ending, but their consonants select different independently recorded variants of the defective/lame family. The old short/long variants are unaccented, so the consistent modern adjective pattern is stronger evidence than a unique historical accent input.
f_kydp377akevme	4118	gáaḍu	géeḍi	big, large; grown, old; great; adult (man), elder	adj	Uml-u-masculine-with-feminine-i	penultimate-nucleus	2	E	consistent		Inflection: Uml (Fem): géeḍi; Morphemic form: gaḍ-	Palula gáaḍu ‘big, old’ has early long-root prominence before u, while baaugáaṛu ‘shoulder’ is an arm-plus-thick compound. The compound's accent on the second constituent is not an independent reflex of the simplex as a whole word. Unraised aa raises a chronological question if the vowel is inherited long and early; alternative geminate or later-lengthening histories must be independently established.
f_luu5elo3b4yo4	4119	ghaḍeerú	ghaḍeerí	older; older one; elder	adj dialect:Phal:biori:Biori	Reg-u-masculine-with-feminine-i	penultimate-nucleus	1	S	exception		Inflection: Reg (Fem): ghaḍeerí; Morphemic form: ghaḍeer-; Variant restriction: Biori	Biori ghaḍeerú and Ashret ghaḍeeró/gaḍheeró older accent the final gender vowel, unlike ordinary gáaḍu big. Liljegren2016Table7.4p153 explicitly pairs them with younger lhookeeró/ú and identifies both as older comparative formations. The independently attested gāḍhatara4119 comparison therefore supports a morphological class with ending accent, not an exceptionless rule for all short-u adjectives. Older gaḍhḗro has stem accent, so the cross-source trajectory remains unresolved.
f_vzzbfoon65zbu	4424	gháanu	ghéeni	large, big	adj	Uml-u-masculine-with-feminine-i	penultimate-nucleus	2	E	consistent		Inflection: Uml (Fem): ghéeni; Morphemic form: ghan-	Liljegren gháanu is early root-accented in the extended big adjective, compatible with open-syllable short-a lengthening. Strand ghâʹnu is late in the same apparent formation. The modern u/ee feminine alternation supports an inflectional formation, but does not remove the source disagreement. Sauji ghaṇyeṛo has extra derivation and cannot be counted as the same stem.
f_tql5kc4xttury	4850	čúkru	čúkri	sour	adj	Reg-u-masculine-with-feminine-i	penultimate-nucleus	2	S	consistent		Inflection: Reg (Fem): čúkri; Morphemic form: čukr-	Palula čúkru and Gilgit čúrko share root prominence before the gender vowel, against final-accented cukrá. Their kr/rk difference is metathesis within the root; it does not itself shift accent. The attested old extensions support morphological reaccentuation. The plant names with final ī are different derivatives and must not enter the adjective's outcome cell.
f_2s3dbgr747fbq	4889	čúṇu	čuṇi	thin, small	adj	Reg-u-masculine-with-feminine-i	penultimate-nucleus	2	S	consistent		Inflection: Reg (Fem): čuṇi; Morphemic form: čuṇ-	Palula and Shina čúṇu/čúno share short root prominence before an unaccented ending despite old long ū. The minute/pulverized-to-small meaning is independently supplied, and the adjective-class accent is consistent. Root shortening is a separate historical problem; the unaccented old input cannot resolve it or prove a particular reaccentuation.
f_7cgajcw3ofv62	5244	ǰáandu	ǰéendi	alive; living (person)	adj	Uml-u-masculine-with-feminine-i	penultimate-nucleus	2	E	consistent		Inflection: Uml (Fem): ǰéendi; Morphemic form: ǰand-	Palula ǰáandu is early-root-accented, and the old source already supplies barytone jī́vant as an alternative to final-accented jīvantá. Gilgit ǰoóno is late long, while ǰiino is unmarked. Contraction of īva and cluster reduction produce different root vowels, so this family cannot simply be scored as retained or shifted from the first headword.
f_nguvkfcw5lnf2	5679	táatu	téeti	hot	adj	Uml-u-masculine-with-feminine-i	penultimate-nucleus	2	E	consistent		Inflection: Uml (Fem): téeti; Morphemic form: tat-	Astori tátto preserves a geminate stage that links old pt reduction to the other dialects. Kohistani táto/Guresi tátu are short, Gilgit taáto is late long, and Palula táatu is early long. A common root-accented extended adjective followed by dialect-specific geminate treatment explains both shared locus and divergent mora alignment: preservation, simplification without lengthening, compensatory late lengthening, or a later Palula open-syllable lengthening layer.
f_yr3bcs6m4torm	5839	tíiṇu	tíiṇi	sharp	adj	Reg-u-masculine-with-feminine-i	penultimate-nucleus	2	E	consistent		Inflection: Reg (Fem): tíiṇi; Morphemic form: tíiṇ-	Palula tíiṇu and the four Shina tíiṇo/tíiṇu forms have early long root accent before their gender ending, against old final accent. Retention of old long ī while kṣṇ simplifies makes this a strong extension example with little vowel-alignment ambiguity. Kalkoti tiin adds segmental coverage but no reliable tone in the older unmarked source.
f_nxwwzu35he5kg	5938	tríṣṭu	triṣṭi	sour, bitter	adj	Reg-u-masculine-with-feminine-i	penultimate-nucleus	2	S	consistent		Inflection: Reg (Fem): triṣṭi; Morphemic form: triṣṭ	Palula tríṣṭu and Strand trʹisṭo preserve the root cluster and have root accent before o/u; Gilgit c̣íṭo has stronger cluster reduction. The extended-adjective rule predicts the locus in both. Some modern Gilgit forms are also linked to tiktá, so the old consonant history must decide between them; accent alone cannot.
f_gfwv3enm6jbls	6119	deec̣híṇu	deec̣híṇi	right	adj	Reg-u-masculine-with-feminine-i	penultimate-nucleus	2	S	consistent		Inflection: Reg (Fem): deec̣híṇi; Morphemic form: deec̣híṇ-	Palula deec̣híṇu and Shina dac̣híno/daṣínu all accent the final root syllable before the gender ending, although the old adjective is initially accented. The agreement survives different initial-vowel qualities and affricate histories. Because the old later vowel was short, this cannot be explained by attraction to a pre-existing long vowel; it is a diagnostic extended-stem accent case.
f_u5326otvtzozy	6368	dhrígu	dhrígi	long, tall	adj	Reg-u-masculine-with-feminine-i	penultimate-nucleus	2	S	consistent		Inflection: Reg (Fem): dhrígi; Morphemic form: dhríg-	Palula dhrígu and Shina ẓígo/j̣ígu have short root accent before the gender vowel, against the old final-accented adjective. Root-final accent assignment explains locus, while old ī shortening before the rg(h) history is independently required. Newer Kalkoti dríg has H associated with final-vowel loss, whereas the older unmarked drig is not itself evidence of no H. Kundal drī̌g is another distinct quantity outcome.
f_te7erw54blipe	6926	náanu	néeni	naked	adj	Uml-u-masculine-with-feminine-i	penultimate-nucleus	2	E	consistent		Inflection: Uml (Fem): néeni; Morphemic form: nan-	Palula náanu and Gilgit náno are root-accented before their gender vowel, agreeing with independently attested barytone nágnaka rather than the simple final-accented adjective. Palula long aa versus Gilgit short a then reflects different quantity history after gn simplification. Sauji niċaṅ requires separate suffix/consonant analysis and is unmarked.
f_gyj7em6aqpm4e	6983	náawu	néewi	new	adj	Uml-u-masculine-with-feminine-i	penultimate-nucleus	2	E	consistent		Inflection: Uml (Fem): néewi; Morphemic form: naw-	Palula náawu is early while Gilgit naáwo is late on a long vowel before a preserved w and gender ending. Kohistani nóo~, Guresi náa~ and Astori náu~ have early root prominence with different contraction. Gilgit's late aa therefore cannot be attributed to loss of the visible w alone; a historical extended-stem or geminate/glide stage is needed. This is a stringent residual for a cluster-only account of new late vowels.
f_kffd6gadmjs24	7563	níilu	níili	green, blue	adj	Reg-u-masculine-with-feminine-i	penultimate-nucleus	2	E	consistent		Inflection: Reg (Fem): níili; Morphemic form: níil-	Palula níilu and Schmidt/Degener Shina níilo/níilu preserve early root accent on old long ī. Buddruss niílo ‘blue’ is late in an otherwise comparable Gilgit adjective. Since the root was already long, this cannot be explained as the new short-vowel cluster compensation seen in ‘hot’. It is a direct source/lexical variation test for the early-long baseline.
f_dm4orq5vixtfi	8047	paṇáaru	paṇéeri	white	adj	Uml-u-masculine-with-feminine-i	penultimate-nucleus	2	E	consistent		Inflection: Uml (Fem): paṇéeri; Morphemic form: paṇár-	Palula paṇáaru has early accent on the final root syllable before u, while the old principal adjective is initially accented. Old later a was short, so extension-driven root-final accent plus open-syllable lengthening predicts the modern locus and new aa; old first ā has shortened. Kalkoti pänär and Sauji parãṛó represent additional vowel and ending histories. The old alternate pāṇḍurá must remain visible.
f_ff4rkot57t4uy	8283	puróoṇu	puréeṇi	old	adj	Uml-u-masculine-with-feminine-i	penultimate-nucleus	2	E	consistent		Inflection: Uml (Fem): puréeṇi; Morphemic form: puráaṇ-	Palula puróoṇu/Biori purúuṇu and Gilgit puróono have early accent on the final root syllable before the gender ending, against old final accent. The old long ā and its raised/rounded reflexes independently support a root-accented stage before the vowel changes. This is a clear multisyllabic extended-adjective comparison, unlike ordinary long-root apocope.
f_2qalct2ama34g	8283	purúuṇu	puréeṇi	old	adj dialect:Phal:biori:Biori	Uml-u-masculine-with-feminine-i	penultimate-nucleus	2	E	consistent		Inflection: Uml (Fem): puréeṇi; Morphemic form: puráaṇ-; Variant restriction: Biori	Palula puróoṇu/Biori purúuṇu and Gilgit puróono have early accent on the final root syllable before the gender ending, against old final accent. The old long ā and its raised/rounded reflexes independently support a root-accented stage before the vowel changes. This is a clear multisyllabic extended-adjective comparison, unlike ordinary long-root apocope.
f_6pxjcbhqnr7m4	9268	bhúuru	bhúuri	deaf	adj	Reg-u-masculine-with-feminine-i	penultimate-nucleus	2	E	consistent		Inflection: Reg (Fem): bhúuri; Morphemic form: bhóor-	Palula bhúuru ‘deaf’ has early long root prominence before u, but buuḍóolu ‘spider’ accents a later extended root syllable; Gilgit taṛabúulo has still more material. These are distinct formations within a loose expressive family. The deaf lexeme is also linked under 9530 and 9633 and must not count three times.
f_gugzwptdgrta2	9271	búuḍu	búuḍi	old	adj	Reg-u-masculine-with-feminine-i	penultimate-nucleus	2	E	consistent		Inflection: Reg (Fem): búuḍi	Palula búuḍu/Strand bʹûḍo has early long root prominence before the gender ending. Turner explicitly argues that initial b across languages excludes direct derivation from vr̥ddhá and offers contamination or a br̥h-related alternative. Importing vr̥ddhá's accent to create a late-to-early exception would ignore that independent segmental objection.
f_3uyd6wv23msu4	9330	bhakúlu	bhakúli	fat, thick; strong	adj	Reg-u-masculine-with-feminine-i	penultimate-nucleus	2	S	consistent		Inflection: Reg (Fem): bhakúli; Morphemic form: bhakúl-	Palula bhakúlu has short prominence on the final root syllable before u and an independently visible ul extension. Kohistani bhaák ‘bull’ instead has late aa in a closed monosyllable, compatible with a new-long aspirated environment but not directly the same formation. Lump-to-fat and lump-to-bull are separate semantic derivations.
f_rvrfovg54cto4	9530	bhúuru	bhúuri	deaf	adj	Reg-u-masculine-with-feminine-i	penultimate-nucleus	2	E	consistent		Inflection: Reg (Fem): bhúuri; Morphemic form: bhóor-	Palula bhúuru has early long prominence before u and is the same deaf lexeme also grouped under 9268 and 9633. The different reconstructed roots are alternatives within a broad defective-word family, not independent supporting cases. The modern adjective can be classified morphologically while historical input uncertainty remains explicit.
f_p5kfqitphd65a	9793	mhoóru	mhoóri	sweet; tasty	adj	Reg-u-masculine-with-feminine-i	penultimate-nucleus	2	L	consistent		Inflection: Reg (Fem): mhoóri	Palula mhoóru has late prominence on its long root before an unaccented u; older mohóro retains evidence for the contracted medial syllable. Its root-final accent locus is compatible with the extended adjective pattern, but its late mora is not the early mora of tíiṇu or puróoṇu. Contraction of multiple old syllables and aspiration relocation provide independent conditioning to test rather than forcing all u-final adjectives into one contour class.
f_sxefl3rjy3num	10496	yúuṛu	yúuṛi	twin (person)	adj	Reg-u-masculine-with-feminine-i	penultimate-nucleus	2	E	consistent		Inflection: Reg (Fem): yúuṛi	Palula yúuṛu and Strand yʹûra have early long root prominence with different gender or number endings. The immediate nominal *yōṭa, not the broad verb *yuṭati, is the relevant input. Turner explicitly calls derivation from yuta/yuktá phonetically difficult, so importing yuktá's accent would bypass a known segmental objection.
f_bfujkgwk5yhhy	10896	lhoóku	lhoóki	small; (small) child	adj	Reg-u-masculine-with-feminine-i	penultimate-nucleus	2	L	consistent		Inflection: Reg (Fem): lhoóki; Morphemic form: lhoók-	Palula lhoóku and Gilgit loóko have late long-root accent before an unaccented gender vowel, while older lohóko preserves a less contracted stage. This parallels madhurá > mhoóru: root-final accent is compatible with the adjective class, but mora alignment differs from early tíiṇu. Loss/reorganization of medial aspiration and contraction provide independently visible conditions for a late subclass.
f_723oa6bnsjj2a	11168	lhoílu	lhoíli	red; money (substantivized in plural; i.e. red like the 100 rupee note)	adj	Reg-u-masculine-with-feminine-i	penultimate-nucleus	2	vowel-sequence-marked	unscorable	vowel-sequence-unresolved	Inflection: Reg (Fem): lhoíli; Morphemic form: lohíl-	Palula lhoílu/lohílu/lhoyílu accents the final root syllable before u; Shina loólyo/loólu and Kohistani lhiílo have late long roots after h-related contraction. Blood léel has early long ee and a different substantivized formation. The source's money use is explicitly a modern plural metaphor based on red banknotes, not a historical etymological clue.
f_o374kg3sa2qxa	11168	lohílu	lhoíli	red; money (substantivized in plural; i.e. red like the 100 rupee note)	adj dialect:Phal:biori:Biori	Reg-u-masculine-with-feminine-i	penultimate-nucleus	2	S	consistent		Inflection: Reg (Fem): lhoíli; Morphemic form: lohíl-; Variant restriction: Biori	Palula lhoílu/lohílu/lhoyílu accents the final root syllable before u; Shina loólyo/loólu and Kohistani lhiílo have late long roots after h-related contraction. Blood léel has early long ee and a different substantivized formation. The source's money use is explicitly a modern plural metaphor based on red banknotes, not a historical etymological clue.
f_efo43vlpmki4q	11168	lhoyílu	lhoíli	red; money (substantivized in plural; i.e. red like the 100 rupee note)	adj dialect:Phal:biori:Biori	Reg-u-masculine-with-feminine-i	penultimate-nucleus	2	S	consistent		Inflection: Reg (Fem): lhoíli; Morphemic form: lohíl-; Variant restriction: Biori	Palula lhoílu/lohílu/lhoyílu accents the final root syllable before u; Shina loólyo/loólu and Kohistani lhiílo have late long roots after h-related contraction. Blood léel has early long ee and a different substantivized formation. The source's money use is explicitly a modern plural metaphor based on red banknotes, not a historical etymological clue.
f_deergxlqmiyvw	11338	aaghaabáanu	aaghaabéeni	sky-coloured	adj	Uml-u-masculine-with-feminine-i	penultimate-nucleus	2	E	consistent		Inflection: Uml (Fem): aaghaabéeni	Palula aaghaabáanu ‘sky-coloured’ is a compound, with accent in the colour constituent and an unaccented adjective ending. It therefore cannot be compared with várṇa as though the entire modern word were a simple sound reflex. The short old a and lost r also make the modern aa a later quantity development; its early alignment is compatible with root-final adjective accent in a monosyllabic second constituent.
f_ex6dxbujvjsvq	11751	bidráagu	bidréegi	ill, sick; the sick (person)	adj	Uml-u-masculine-with-feminine-i	penultimate-nucleus	2	E	consistent		Inflection: Uml (Fem): bidréegi; Morphemic form: bidrág-	Palula bidráagu ‘sick’ has early long prominence in the final root syllable before u, fitting the extended adjective pattern. Strand budrag- is a verbal stem ‘be sick’ and is not the same accent cell. The unusual reconstructed compound and dh/r/g developments need independent support, despite the plausible motionless-to-ill semantic path.
f_pa7dh2435bsry	11929	bíiḍu	bíiḍi	many; much; very; really	adj	Reg-u-masculine-with-feminine-i	penultimate-nucleus	2	E	consistent		Inflection: Reg (Fem): bíiḍi; Morphemic form: bíiḍ-	Palula bíiḍu/Strand bʹîḍo has early long root prominence before a gender ending after prefix and cluster reduction. The grown-to-much semantic path and participial formation independently motivate the class. The whole prefixed input is unaccented; the accent of bare vr̥ddhá cannot be substituted without justification.
f_qi4wlcejlnqo2	12009	bistíiṇu	bistíiṇi	wide, broad; loose	adj	Reg-u-masculine-with-feminine-i	penultimate-nucleus	2	E	consistent		Inflection: Reg (Fem): bistíiṇi; Morphemic form: bistíiṇ-	Liljegren bistíiṇu has early long ii before u; Strand bistʹiṇo has the same root-syllable placement but short i. The inherited long ī and rṇ cluster give independent structural controls. The quantity difference is a source or dialect issue requiring verification and must not be silently normalized away.
f_55ww7ppfj4keu	12487	šidáalu	šidéeli	cold	adj	Uml-u-masculine-with-feminine-i	penultimate-nucleus	2	E	consistent		Inflection: Uml (Fem): šidéeli; Morphemic form: šidál-	Palula šidáalu and Gilgit šidálo accent the final root syllable before an unaccented gender vowel, with western long versus Gilgit short a. Gilgit/Kohistani šaál ‘fever’ instead has a contracted late-long monosyllabic form and a different grammatical category. Both the retained adjective ending and the noun's contraction are independent conditioning features; the pair must not be collapsed into an irregular single outcome.
f_f2ix3lgckfyla	12642	šišáwu	šišáwi	beautiful	adj	Reg-u-masculine-with-feminine-i	penultimate-nucleus	2	S	consistent		Inflection: Reg (Fem): šišáwi	Palula šišáwu/šišówo accents the final root syllable before an unaccented gender ending, while the old reduplicated form was initially accented. This supports morphological reaccentuation of an adjective, but the w and changed vowel grades require an actual stem history. Sauji ṣoṣ ‘summer’ is a reduced seasonal noun with no secure mora marking and should not be treated as the same adjective cell.
f_h4poxjgevd7km	12717	ṣíiṛu	ṣíiṛi	blind (person)	adj	Reg-u-masculine-with-feminine-i	penultimate-nucleus	2	E	consistent		Inflection: Reg (Fem): ṣíiṛi; Morphemic form: ṣeéṛ-	Palula ṣíiṛu/Strand ṣʹîṛo has early long root prominence before u/o, whereas Sawi séṛo has short initial prominence. The old source entertains several competing defective or broken-root analyses, including contamination. Modern agreement in root placement supports a morphological class but cannot choose the proto-root or its accent.
f_lc2nlvqh5ysjs	13363	sáatru	séetri	low (about building, etc.)	adj	Uml-u-masculine-with-feminine-i	penultimate-nucleus	2	E	consistent		Inflection: Uml (Fem): séetri; Morphemic form: satr-	Palula sáatru/Strand sʹâtru has early long initial prominence before u. The old asylum/abode meaning does not directly mean low, so a building-related semantic derivation needs explanation. Long sārtra and short sattra alternatives also prevent a unique quantity history from being assumed solely because the modern root is long.
f_xzus37vudq3ks	13534	šišáwu	šišáwi	beautiful	adj	Reg-u-masculine-with-feminine-i	penultimate-nucleus	2	S	consistent		Inflection: Reg (Fem): šišáwi	Palula šišáwu has short prominence on the final root syllable before u, while older šišówo means clean. The prefix plus splendid formation independently motivates an extended adjective, and w reflects medial consonant history. Parent śōbhā́ is a different noun; its final accent cannot simply be treated as the whole adjective's input.
f_efhxiql5vlq72	13548	c̣húuṇc̣u	c̣húuṇc̣i	straight	adj	Reg-u-masculine-with-feminine-i	penultimate-nucleus	2	E	consistent		Inflection: Reg (Fem): c̣húuṇc̣i; Morphemic form: c̣húuṇc̣-	Palula c̣húuṇc̣u and Gilgit súu~c̣o have early long root prominence before gender endings; Strand's c̣hu~c̣- is a derived straighten stem. Turner explicitly proposes a connection with sū́kṣma, making old barytonesis a conditional, independently stated hypothesis rather than a certainty. The unusual initial affricate and nasal-cluster development remain crucial.
f_dpdhpb32rfazk	13693	síndu	síndi	wet	adj	Reg-u-masculine-with-feminine-i	penultimate-nucleus	2	S	consistent		Inflection: Reg (Fem): síndi; Morphemic form: sind-	Palula síndu/Strand sʹindo has initial short-root prominence before the gender ending and retains a voiced nasal cluster. The reconstructed wet participle and its relation to tintá should be kept explicit; an accent from another branch cannot automatically be transferred. This is a short-root extended adjective control.
f_vlzdjil7g3rao	13776	thúlu	thúli	fat; fat (about animals)		Reg-u-masculine-with-feminine-i	penultimate-nucleus	2	S	consistent		Inflection: Reg (Fem): thúli; Morphemic form: thul-	Palula thúlu has short root prominence before an unaccented gender ending, consistent in locus with the extended adjective class but with shortening of old ū. Kundal ṭʰūl ‘egg’ is semantically and phonologically distinct; it may be a separate derived or contact word and cannot count as the adjective's direct accent outcome merely because the DB links it here.
f_3l6lzdn7huya4	2613	kháaču	khéeči	bad	adj	Uml-u-masculine-with-feminine-i	penultimate-nucleus	2	E	consistent		Inflection: Uml (Fem): khéeči; Morphemic form: khač-	Palula kháaču/Biori kháču and Gilgit kháčo have root prominence before a gender ending, with western quantity variation. Strand khâčʹaṛo ‘ugly’ and Gilgit khačeélo ‘stingy’ add independently visible derivational material carrying later accent. The bad lexeme is also linked to the dirty/mud family, so the two etymologies must not inflate the lexical sample.
f_qpquk4q7x3wow	2613	kháču	khéeči	bad	adj dialect:Phal:biori:Biori	Uml-u-masculine-with-feminine-i	penultimate-nucleus	2	S	consistent		Inflection: Uml (Fem): khéeči; Morphemic form: khač-; Variant restriction: Biori	Palula kháaču/Biori kháču and Gilgit kháčo have root prominence before a gender ending, with western quantity variation. Strand khâčʹaṛo ‘ugly’ and Gilgit khačeélo ‘stingy’ add independently visible derivational material carrying later accent. The bad lexeme is also linked to the dirty/mud family, so the two etymologies must not inflate the lexical sample.
f_ej2tgspf33d4a	3364	khúšu	khúši	left; left-handed	adj	Reg-u-masculine-with-feminine-i	penultimate-nucleus	2	S	consistent		Inflection: Reg (Fem): khúši	Palula khúšu ‘left’ has short root prominence before a gender ending, while Gilgit košóli ‘broken bowl, shards’ has an additional accented derivative. The broad old defective/mad family and related squint-eyed forms make the semantic connections plausible but not automatic. Aspiration and sibilant variation may reflect expressive or borrowed layers.
f_6ooztl6qyvw6q		aaǰúku	aaǰúki	today's	adj	Reg-u-masculine-with-feminine-i	penultimate-nucleus	2	S	consistent		Inflection: Reg (Fem): aaǰúki	No established ancestral link; grammatical test remains possible.
f_ib7kb2mnuvoq2		áak thiáaḍu	áak thiéeḍi	one and a half	multiword-expression	Uml-u-masculine-with-feminine-i	penultimate-nucleus		multiple-accents	unscorable	multiple-words;vowel-sequence-unresolved;not-one-acute	Inflection: Uml (Fem): áak thiéeḍi	No established ancestral link; grammatical test remains possible.
f_2ptb4aviyy6gi		amilóolu	amiléeli	unsalted	adj	Uml-u-masculine-with-feminine-i	penultimate-nucleus	2	E	consistent		Inflection: Uml (Fem): amiléeli; Morphemic form: amilál-	No established ancestral link; grammatical test remains possible.
f_qrlzfflxe3dee		atíitu	atíiti	like that; that much	adj demonstrative	Reg-u-masculine-with-feminine-i	penultimate-nucleus	2	E	consistent		Inflection: Reg (Fem): atíiti	No established ancestral link; grammatical test remains possible.
